ID,Site name,Species code,Sampling method,Incub. Container,Vol. pre-filtered water (L),Incub. Start time (24h),Incub. End time (24h),Time elapsed (min),Wet mass (g),Dry mass (g),Comments,SRP (ug/L),P excretion (ug),P excretion rate (ug/h/ind),NH4 (ug/L),N excretion (ug),N excretion rate (ug/h/ind),Ambient historical DOC (mg C/L),Ambient DOC (mg C/L),DOC (mg C/L),C excretion (mg),C excretion (mg/h/ind),RamanArea,A254,SUVA,SUVA.excretion,A280,A350,A440,S275to295,S350to400,SR,SR.excretion,BA,BA.excretion,FI,FI.excretion,HIX,HIX.ohno,HIX.ohno.excretion,PeakA,PeakB,PeakC,PeakD,PeakE,PeakM,PeakN,PeakP,PeakT,Ambient.RamanArea,Ambient.A254,Ambient.SUVA,Ambient.A280,Ambient.A350,Ambient.A440,Ambient.S275to295,Ambient.S350to400,Ambient.SR,Ambient.BA,Ambient.FI,Ambient.HIX,Ambient.HIX.ohno,Ambient.PeakA,Ambient.PeakB,Ambient.PeakC,Ambient.PeakD,Ambient.PeakE,Ambient.PeakM,Ambient.PeakN,Ambient.PeakP,Ambient.PeakT
101,L239,YP,TN,1L WP,0.2,9.4,10.12,32,1.53,0.3825,dead after experiment,51.11644791,9.768620786,18.31616397,252.1642482,49.33954333,92.51164374,7.55,7.156,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,131.8678669,22.85293325,3.193534552,16.31082557,5.001376081,0.993513428,0.017443168,0.018364132,0.949849873,0.595713176,1.252223043,3.489308002,0.77724852,1.474159051,0.204865452,0.852968445,0.371489552,0.084953594,0.881021934,0.679312148,NA,0.942824391
102,L239,YP,TN,1L WP,0.3,9.42,10.19,37,4.26,1.065,,54.95631457,15.80489118,25.62955326,295.7907918,87.09727807,141.2388293,7.55,7.156,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,131.8678669,22.85293325,3.193534552,16.31082557,5.001376081,0.993513428,0.017443168,0.018364132,0.949849873,0.595713176,1.252223043,3.489308002,0.77724852,1.474159051,0.204865452,0.852968445,0.371489552,0.084953594,0.881021934,0.679312148,NA,0.942824391
103,L239,YP,TN,1L WP,0.3,9.44,10.21,37,4.06,1.015,,33.91384526,9.492150387,15.3926763,314.4878819,92.7064051,150.334711,7.55,7.156,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,131.8678669,22.85293325,3.193534552,16.31082557,5.001376081,0.993513428,0.017443168,0.018364132,0.949849873,0.595713176,1.252223043,3.489308002,0.77724852,1.474159051,0.204865452,0.852968445,0.371489552,0.084953594,0.881021934,0.679312148,NA,0.942824391
104,L239,YP,TN,1L WP,0.3,9.27,9.57,30,0.75,0.1875,did not look good after being weighted,9.953077296,2.303919997,4.607839994,49.61243876,13.24377216,26.48754431,7.55,7.156,4.878,-0.0552,-0.1104,133.2182919,10.65729061,2.184766424,0.128778397,7.310609493,2.017814539,0.374792419,0.020571852,0.01916834,1.073220301,-0.028932342,0.531817433,0.008785641,1.343936591,1.343936591,5.295054636,0.841145144,0.005601221,0.652656822,0.137653842,0.368936916,0.154691766,0.032423247,0.369345971,0.201110223,NA,0.182007588,131.8678669,22.85293325,3.193534552,16.31082557,5.001376081,0.993513428,0.017443168,0.018364132,0.949849873,0.595713176,1.252223043,3.489308002,0.77724852,1.474159051,0.204865452,0.852968445,0.371489552,0.084953594,0.881021934,0.679312148,NA,0.942824391
105,L239,YP,TN,1L WP,0.7,9.3,10,30,16.35,4.0875,,21.01189328,13.11698452,26.23396903,124.4007992,83.25398732,166.5079746,7.55,7.156,5.291,0.1603,0.3206,136.8351582,11.00818375,2.080548809,0.024560782,7.628837286,2.173596341,0.51443696,0.020136254,0.017987017,1.119488235,0.017335592,0.50964348,-0.013388312,1.311113986,1.311113986,4.041949652,0.801664025,-0.033879897,0.657499372,0.332701001,0.387761718,0.15291615,0.033871324,0.411452769,0.221199818,NA,0.216048972,131.8678669,22.85293325,3.193534552,16.31082557,5.001376081,0.993513428,0.017443168,0.018364132,0.949849873,0.595713176,1.252223043,3.489308002,0.77724852,1.474159051,0.204865452,0.852968445,0.371489552,0.084953594,0.881021934,0.679312148,NA,0.942824391
106,L239,CTL1,TN,1L WP,0.3,9.35,10.05,30,NA,NA,,2.119749307,-0.0460784,-0.0921568,10.1408041,1.402281758,2.804563516,7.55,7.156,5.021,-0.0123,-0.0246,133.2982125,10.41082696,2.073456874,0.017468847,7.078556323,1.91613398,0.383658418,0.020878083,0.018461864,1.130876255,0.028723612,0.526917068,0.003885275,1.337996943,1.337996943,4.570279231,0.820475786,-0.015068136,0.646650456,0.240985767,0.373626109,0.152929449,0.035497155,0.377606724,0.20414712,NA,0.185491225,131.8678669,22.85293325,3.193534552,16.31082557,5.001376081,0.993513428,0.017443168,0.018364132,0.949849873,0.595713176,1.252223043,3.489308002,0.77724852,1.474159051,0.204865452,0.852968445,0.371489552,0.084953594,0.881021934,0.679312148,NA,0.942824391
107,L239,CTL2,TN,1L WP,0.7,9.38,10.15,37,NA,NA,,2.42693864,0.107516267,0.174350702,0.792259048,-3.271990768,-5.305930975,7.55,7.156,5.103,0.0287,0.046540541,133.2182919,10.40256338,2.03851918,-0.017468847,7.129005086,1.994141553,0.44374845,0.020637962,0.019226201,1.073429031,-0.028723612,0.519146517,-0.003885275,1.333629985,1.333629985,5.693980724,0.850612059,0.015068136,0.653104395,0.147172935,0.373110404,0.157393967,0.03367402,0.37623279,0.185745368,NA,0.145074067,131.8678669,22.85293325,3.193534552,16.31082557,5.001376081,0.993513428,0.017443168,0.018364132,0.949849873,0.595713176,1.252223043,3.489308002,0.77724852,1.474159051,0.204865452,0.852968445,0.371489552,0.084953594,0.881021934,0.679312148,NA,0.942824391
108,L239,YP,SN,1L WP,0.3,10.43,11.13,30,3.17,0.7925,,17.93999995,4.699996793,9.399993587,214.770068,62.79106093,125.5821219,7.55,7.156,4.889,-0.0519,-0.1038,133.3858622,11.02770139,2.255614929,0.199626902,7.590909345,1.970108284,0.377554996,0.020620883,0.02015356,1.023188118,-0.078964525,0.54410316,0.021071368,1.300004157,1.300004157,4.438051089,0.816110591,-0.019433331,0.661380919,0.226350799,0.389025748,0.153814433,0.040114172,0.395722113,0.245547537,NA,0.218956509,131.8678669,22.85293325,3.193534552,16.31082557,5.001376081,0.993513428,0.017443168,0.018364132,0.949849873,0.595713176,1.252223043,3.489308002,0.77724852,1.474159051,0.204865452,0.852968445,0.371489552,0.084953594,0.881021934,0.679312148,NA,0.942824391
109,L239,YP,SN,1L WP,0.3,10.44,11.15,31,3.11,0.7775,,41.28638925,11.70391358,22.65273597,298.9069735,88.03213257,170.3847727,7.55,7.156,5.141,0.0237,0.045870968,133.9077071,10.65325835,2.072215202,0.016227175,7.319273494,2.01579789,0.412120116,0.019709341,0.018895363,1.043078194,-0.059074448,0.557338391,0.034306599,1.365132283,1.365132283,4.876608123,0.829833812,-0.00571011,0.668485087,0.219585814,0.413970506,0.147268072,0.031770999,0.454475966,0.238249623,NA,0.218278037,131.8678669,22.85293325,3.193534552,16.31082557,5.001376081,0.993513428,0.017443168,0.018364132,0.949849873,0.595713176,1.252223043,3.489308002,0.77724852,1.474159051,0.204865452,0.852968445,0.371489552,0.084953594,0.881021934,0.679312148,NA,0.942824391
110,L239,YP,SN,1L WP,0.5,10.46,11.16,30,7,1.75,,12.25699729,4.99182666,9.983653319,311.3717002,152.9525843,305.9051686,7.55,7.156,5.117,0.0275,0.055,133.2982125,10.63117651,2.077619017,0.02163099,7.266973991,1.889513007,0.345318883,0.021122754,0.01830011,1.154241882,0.052089239,0.521368901,-0.001662891,1.273199152,1.273199152,4.919745781,0.831073827,-0.004470095,0.660454036,0.188150101,0.373595486,0.157508473,0.034526051,0.377078297,0.203521754,NA,0.192202964,131.8678669,22.85293325,3.193534552,16.31082557,5.001376081,0.993513428,0.017443168,0.018364132,0.949849873,0.595713176,1.252223043,3.489308002,0.77724852,1.474159051,0.204865452,0.852968445,0.371489552,0.084953594,0.881021934,0.679312148,NA,0.942824391
