Wavelength (nm),BLANK,ELA_FISH931,ELA_FISH1009,ELA_FISH902,ELA_FISH1006,ELA_FISH116,ELA_FISH933,ELA_CTL1-L222-224,ELA_FISH941,ELA_FISH920,ELA_FISH945,ELA_FISH938,ELA_FISH935,ELA_FISH1003,ELA_FISH934,ELA_FISH943,ELA_FISH1014,ELA_FISH936,ELA_FISH111,ELA_FISH904,ELA_FISH918,ELA_FISH114,ELA_FISH119,ELA_FISH917,ELA_FISH910,ELA_FISH940,ELA_FISH942
800.0131836,-0.000929347,0.001251239,-0.000535147,-0.000343837,0.000985327,0.000861407,0.000835263,-4.38E-05,0.000687298,0.000440492,0.000511679,0.000715248,0.00030178,0.003120764,1.75E-05,0.007043931,0.001314925,0.000118496,-0.00027239,0.000907033,0.00353964,0.001225227,0.001559527,0.000797813,-0.000230428,-0.0005716,0.00133497
799.0401611,-0.000725185,0.001399188,-0.000408702,0.000113292,0.000997314,0.000439611,0.001124673,3.67E-05,0.001179983,0.000754013,0.000667491,0.000731428,0.000176889,0.003058089,0.000259403,0.007269012,0.001129864,0.000592105,9.12E-05,0.001411056,0.004420133,0.001460636,0.001894319,0.000791019,0.000168395,0.000223298,0.001273747
798.0667114,-0.00160909,0.000567817,-0.000570411,-0.000485194,0.000966051,0.000130977,0.0007104,-0.000490935,0.000449898,-2.98E-05,0.000269867,0.000290356,-0.000269493,0.002320498,-0.000377202,0.007063979,0.000912325,1.43E-05,-0.000384237,0.000805904,0.003518945,0.000816563,0.001665925,0.000590731,-0.00031021,-0.000468904,0.001046042
796.9537964,-0.000374771,0.001786618,-0.000162947,0.000239744,0.001332841,0.000861562,0.001157427,0.000133799,0.001487727,0.000701636,0.00105336,0.000782876,0.000330897,0.003119147,0.000611106,0.007210921,0.001602239,0.000737937,0.000246789,0.001262506,0.004507903,0.001441858,0.002344545,0.000776263,0.000635473,-3.89E-05,0.001701006
795.9795532,-0.000807512,0.001477649,-0.000191617,1.71E-05,0.001130279,0.000208587,0.001763407,-0.000139917,0.000775978,0.000713641,0.000738559,0.000671509,1.79E-06,0.002301864,0.000348254,0.0066296,0.001268918,0.00041585,-5.39E-05,0.001144709,0.003944998,0.001106506,0.001648722,0.000422172,0.000140609,-0.000237413,0.001627468
795.0049438,-0.00077909,0.001113695,-0.000311866,0.000278415,0.00099708,0.000334342,0.001434222,-5.01E-05,0.001034418,0.00066635,0.00078578,0.000614476,0.000347477,0.001848537,1.37E-05,0.007138918,0.00133471,0.000246064,-0.000200829,0.001128358,0.004225641,0.00077717,0.001722706,0.000771517,-0.0002816,0.000126912,0.001342552
794.0299683,-0.001422999,0.000766072,-0.000666466,-7.64E-05,0.000665935,0.000187455,0.000746649,-0.000276426,0.000632077,2.74E-05,0.000362736,5.52E-05,-0.00050226,0.001836943,-0.000357545,0.006348897,0.000781786,-0.000131947,-0.000433632,0.000852925,0.003730457,0.000801262,0.000967089,0.000317193,-0.000555365,-0.000814333,0.001424067
793.0546265,-0.000626403,0.001421834,0.000207008,1.81E-06,0.001345356,0.00072549,0.001275227,0.000370975,0.00098883,0.000899018,0.000654709,0.001048689,0.000130407,0.002096665,0.000338876,0.007383163,0.001266452,0.000463114,0.000156043,0.00169017,0.004479237,0.00101244,0.002017702,0.001037972,-0.000235136,0.000377193,0.001476558
791.9394531,-0.001546467,0.000701169,-0.000785601,-0.000806685,0.000814126,-7.08E-05,0.00085111,-0.00051767,0.000827793,-0.00035082,0.00029002,0.000304578,-0.000581837,0.001233794,-0.000188047,0.006540926,0.000601618,7.21E-05,-0.000479454,0.000859462,0.003668609,0.000804815,0.001504741,0.000298775,-0.000564155,-0.000360856,0.001195427
790.9633179,-0.001131812,0.000906851,-0.000837587,-0.000572686,0.000599259,0.000200196,0.000952431,-0.000344923,0.000437279,-0.000363856,7.73E-05,0.000417016,-0.000532769,0.000856038,-0.00038734,0.00642014,0.000962133,-3.00E-06,-0.0007871,0.000805412,0.003763408,0.0005969,0.001084863,0.000418933,-0.000336439,-0.000545954,0.001046354
