Wavelength (nm),BLANK,ELA_FISH946,ELA_FISH1004,ELA_FISH949,ELA_FISH1015,ELA_FISH932,ELA_FISH922,ELA_FISH1011,ELA_FISH947
800.0131836,-0.000225253,0.005145297,0.000296003,0.000377815,-0.00055402,-0.000172211,0.002129336,0.002100723,0.000138357
799.0401611,-0.000119577,0.005363919,0.000581477,0.000784432,-0.000545437,-0.000213403,0.002457669,0.002381582,0.000814981
798.0667114,-0.000521341,0.00536785,-0.000128013,0.000289942,-0.000921184,-0.00033618,0.001587637,0.001545005,0.000529613
796.9537964,0.000288569,0.00529754,0.000428987,0.000535652,-0.000270786,-0.000190324,0.002264834,0.00212788,0.000556827
795.9795532,-0.000195188,0.004811211,0.000731195,0.0007139,-0.000482402,-7.02E-05,0.002220288,0.001753712,0.000605973
795.0049438,-0.000106844,0.005539021,0.000417975,0.001069578,-9.65E-05,0.000351518,0.002484327,0.002381894,0.000801677
794.0299683,8.15E-05,0.00556941,0.000959591,0.000945608,-0.000482453,0.000118833,0.002924142,0.001759898,0.00093287
793.0546265,-0.000320505,0.005272202,4.98E-05,0.000320068,-0.000839188,-0.000381495,0.002005583,0.001466038,0.000463166
791.9394531,0.00012106,0.005469654,0.001042669,0.000976195,-4.56E-05,0.000529328,0.002688746,0.001903158,0.000947553
790.9633179,-0.000229496,0.005415577,0.000629589,0.000752976,-0.000282893,0.000100242,0.002099839,0.002124108,0.000668139
789.9867554,-6.81E-05,0.005081597,0.000263159,0.000577408,-0.000756867,0.00016477,0.002117839,0.001796469,0.000553095
789.0098877,9.99E-06,0.005138015,0.000326312,0.00034056,-0.000493986,-0.000361321,0.001897023,0.001688428,0.000694791
788.0325928,0.000130252,0.005106374,0.000663991,0.000220656,-0.000574651,-0.000201139,0.002047637,0.001920943,0.001116472
787.0549927,-0.000263077,0.005085054,0.000404139,0.000668554,-0.000644755,-0.000647495,0.002448089,0.002001864,0.000546253
785.9371948,0.000104695,0.005479432,0.000649421,0.000693547,-0.000208953,0.000150605,0.00303515,0.002200176,0.000903012
784.9587402,-0.000549625,0.005040008,0.000233917,0.000640425,-0.000854431,-0.000360649,0.001885687,0.001676241,0.000889628
783.9799194,-0.0004929,0.004941918,-2.23E-06,0.00021659,-0.000576512,-0.000625886,0.00232284,0.001791946,0.000102003
783.0007324,0.000108113,0.005228237,0.000409917,0.00108655,-0.000341198,-0.000148198,0.002485603,0.002188989,0.000767809
782.0212402,0.000124685,0.004981874,0.000353306,0.000289709,-0.000637156,-0.000138675,0.002088706,0.002125564,0.000477341
781.0412598,-0.000498433,0.004789879,5.09E-05,0.00034157,-0.000882436,-0.000224943,0.002104911,0.00234798,0.000331026
780.0609741,-1.37E-05,0.004676878,0.000338436,0.000299474,-0.00061353,-0.000342647,0.002356257,0.00207838,0.000507532
778.9402466,-0.000303329,0.005077668,-0.000118645,0.000320535,-0.000533338,-0.00076126,0.001953497,0.001895879,0.00021211
777.9591675,0.000249069,0.00508364,0.000208199,0.00031626,-0.000560277,-0.000231359,0.002161906,0.002236472,0.000568491
776.9777222,0.000158296,0.005046922,9.43E-05,0.000373669,-0.000584009,-9.49E-05,0.002383534,0.002626395,0.000564707
775.9958496,0.000254249,0.005313813,0.000174455,0.000573209,-0.00024088,0.000347166,0.002474981,0.002374814,8.66E-05
775.0136719,-0.000391995,0.004909533,-0.000292723,6.68E-06,-0.000992937,-0.000398616,0.001441936,0.002115446,-4.75E-05
774.0311279,-0.000351544,0.004980434,-4.12E-05,0.000581296,-0.000881196,-0.000183337,0.001919201,0.001621726,0.000410357
773.0482178,-0.000828492,0.005360565,6.48E-05,0.000487318,-0.000950734,-0.0002133,0.001795845,0.002197054,0.000340145
772.0649414,0.000310095,0.005326234,0.000667154,0.000874505,-0.000201346,0.000312504,0.00251242,0.002719404,0.000786506
770.9407959,-0.000413047,0.004859505,-0.000244295,0.000390743,-0.000947428,-0.000713039,0.001304202,0.002270013,0.000176993
769.9567261,-5.90E-05,0.005068842,0.000273546,0.000279788,-0.000736297,-6.31E-05,0.002042071,0.002391655,0.000128569
768.97229,-0.000286515,0.004777342,0.000319524,0.000205506,-0.000573099,-0.000148612,0.002035023,0.002536842,0.000267977
767.9875488,-0.00022665,0.005126176,-3.57E-05,0.000185021,-0.000696757,-0.000397582,0.001740379,0.002548794,0.000369135
767.0023804,-0.000119059,0.005429758,0.000365172,0.000677109,-0.000629711,1.57E-05,0.00233554,0.00283544,0.000481409
766.0168457,0.000169638,0.005740451,0.000243733,0.000567662,-0.000790821,0.000134731,0.002102726,0.002777288,0.000602448
