Wavelength (nm),BLANK,ELA_FISH905,ELA_FISH923,ELA_FISH110,ELA_FISH104,ELA_FISH937,ELA_FISH121,ELA_PREFILTER1,ELA_FISH915
800.0131836,-3.64E-05,0.000978971,0.000369731,0.000211307,0.000226199,0.000959669,0.000547756,-0.000231307,-0.000154356
799.0401611,0.000672131,0.001548045,0.000937332,0.000804011,0.000907967,0.001358444,0.001010287,0.000471484,0.001222891
798.0667114,0.000827534,0.000961407,0.000838116,0.000737496,0.000602033,0.001012622,0.000500587,0.000370379,0.000597782
796.9537964,0.000669046,0.001274941,0.000645921,0.001050505,0.000815526,0.001324065,0.000869629,0.000592572,0.00104996
795.9795532,0.000896372,0.001052529,0.000257823,0.000551177,0.000909653,0.001321208,0.000554443,0.000134084,0.000303049
795.0049438,6.57E-05,0.000530339,0.000546253,-5.50E-05,0.000452438,0.000437486,0.00027339,2.31E-05,0.000162128
794.0299683,0.000576397,0.000757722,0.00036284,0.000549622,0.000261708,0.000824007,0.000862522,0.000230602,0.000403206
793.0546265,0.000244924,0.000906748,0.000547263,0.001006291,0.000564007,0.00079216,0.000578756,3.24E-05,0.000251063
791.9394531,0.000618494,0.000681568,0.000706018,0.000586791,0.000624871,0.000856583,0.000711618,0.000153427,0.000319758
790.9633179,0.00017821,0.000700936,0.000379214,-0.000250193,0.000158425,0.000737003,-0.000363442,1.93E-05,0.000278493
789.9867554,0.000266086,0.000920678,0.000779453,9.72E-05,0.000859565,0.001141932,0.000287222,0.000178261,0.000629304
789.0098877,0.000716467,0.001323234,0.000475267,0.000542728,0.000808264,0.001253004,0.000411912,0.000323022,0.000713822
788.0325928,0.000697125,0.000573442,0.000711644,0.000330223,0.000290486,0.001207186,0.00033341,0.00012629,0.00053446
787.0549927,0.000629744,0.001174117,0.000550814,0.000407351,0.000626608,0.001091558,0.000709622,3.73E-05,0.000885789
785.9371948,0.000899173,0.000776263,0.000323384,0.000489832,0.000719786,0.001010391,0.00079605,9.09E-05,0.000569036
784.9587402,0.000228063,0.000704644,0.0009681,0.000352814,0.000545812,0.00087531,0.000531324,0.000169793,0.000511264
783.9799194,0.000297065,0.000847219,0.000526348,0.000352555,0.000475164,0.000573675,0.000412197,-0.000333076,0.000294708
783.0007324,0.000501208,0.000764879,2.89E-05,0.000387867,0.000324576,0.00115016,0.000264014,0.000154385,0.000547056
782.0212402,0.000341415,0.00119252,0.000143018,0.000712837,0.000751187,0.000535782,0.000185487,0.000297169,-1.36E-05
781.0412598,0.000163009,0.000567273,0.000288802,0.000253808,0.000570876,0.000413492,0.000250519,-0.000367425,-7.04E-05
780.0609741,0.00064268,0.0005793,0.000660283,0.000317348,0.000903427,0.001128929,0.000816071,-0.000164655,0.00037981
778.9402466,0.000368151,0.000674361,0.000264428,2.33E-07,0.000144778,0.000603018,0.000439222,-0.000186805,0.000286186
777.9591675,0.000455858,0.00069391,-0.000209677,-0.000398823,0.000459201,0.000460937,5.63E-05,-0.000121543,7.69E-05
776.9777222,0.000773877,0.000873234,0.00067742,0.000146721,0.000944466,0.000878189,0.000541976,0.000462155,0.00086592
775.9958496,5.13E-06,0.000799758,0.000373928,0.000184658,0.000675631,0.000352166,0.000125021,5.99E-05,-1.60E-05
775.0136719,0.000587232,0.00068372,4.82E-05,0.000340456,0.000320742,0.000406807,7.40E-05,0.000192893,0.00019323
774.0311279,-2.70E-05,0.000689243,0.000549363,-4.47E-05,0.000762467,0.000695076,0.000564474,0.000152702,5.68E-05
773.0482178,6.22E-05,0.000659117,4.76E-05,-0.000206469,0.00029375,0.000650224,6.97E-05,0.000176164,0.000185124
772.0649414,-0.000240983,0.000119014,0.000196467,-0.000364839,-8.42E-05,0.000363151,-6.21E-05,-0.000489073,-0.000357959
770.9407959,0.000311831,5.37E-05,-3.84E-05,-0.000436632,0.000222599,0.000263211,0.000347218,-0.000308969,-7.35E-05
769.9567261,0.000279166,0.000416213,0.000375431,-0.000190789,0.000171839,0.000521423,0.000358695,-6.41E-05,0.000150864
768.97229,0.000584406,0.000576319,0.000198953,-4.66E-07,0.000564759,0.000456247,0.000104255,-0.000227789,5.54E-05
767.9875488,0.000505018,0.000735629,0.000413207,-0.000143954,0.000430801,0.000772503,0.000196234,-0.00020176,0.000108761
767.0023804,0.000533656,0.000988752,0.000776081,0.000228581,0.000764827,0.000966622,0.000297299,0.00018313,0.000609991
766.0168457,-7.40E-05,0.000480062,-0.000132671,-0.000510999,0.000141179,0.000458268,-6.84E-05,-9.62E-05,-3.36E-05
765.0310059,0.000271914,0.000437797,0.000141904,-0.000234826,9.96E-05,0.000105187,-9.30E-05,-0.000451941,6.94E-05
764.0447998,0.000176034,0.000326804,1.81E-06,-0.000570669,-0.000142298,0.000113551,-0.000167398,-0.00023674,2.93E-06
763.0581665,0.000213405,0.000318877,0.000292273,5.85E-06,4.90E-05,9.54E-05,3.68E-05,0.000143018,-0.000404875
761.9302368,0.000117279,0.000351285,0.000249638,-0.000100581,-0.000125891,0.000435828,9.58E-05,-0.000334266,-0.000306744
760.9428711,0.000679028,0.000312504,4.88E-05,-0.000459181,1.73E-05,0.0005031,0.00061108,-0.000510844,-0.000142298
759.9551392,0.000363177,0.000157519,8.40E-05,-0.000384185,0.00021975,0.000511445,-1.28E-05,-0.00059497,-0.000277616
758.967041,-0.000101875,5.87E-05,-0.000323816,-0.000607378,-0.000186649,4.92E-05,-0.000282376,-0.000693656,-0.000215266
