Wavelength (nm),BLANK,ELA_FISH109,ELA_FISH930,ELA_FISH903,ELA_FISH1010,ELA_FISH105,ELA_FISH913,ELA_FISH909,ELA_CTL2-L222-224,ELA_FISH948,ELA_FISH944,ELA_CTL1-L239,ELA_CTL2-L239
799.9822998,-0.003713367,-0.003706746,-0.003404757,-0.001828664,-0.002739191,-0.001866349,-0.001996957,-0.003346246,-0.003430184,-0.00254257,-0.00318788,-0.002815582,-0.002448112
799.0092773,-0.004215455,-0.004110643,-0.004020732,-0.002590228,-0.003405117,-0.002298123,-0.002757197,-0.003509792,-0.003768647,-0.002633147,-0.003411435,-0.003722607,-0.002817279
798.0358276,-0.004049866,-0.003603556,-0.003480261,-0.002392664,-0.003410613,-0.00221072,-0.002056629,-0.003179298,-0.003102816,-0.002175899,-0.00345114,-0.003764079,-0.002441265
797.0620117,-0.003638982,-0.00394563,-0.00372312,-0.002246157,-0.003106003,-0.002007573,-0.002485486,-0.003381693,-0.003457766,-0.002389729,-0.003377172,-0.003725533,-0.002650848
795.9486694,-0.004303787,-0.003837212,-0.003792975,-0.002610144,-0.003409124,-0.00220969,-0.002217777,-0.003306223,-0.003384929,-0.002590897,-0.003842857,-0.003819507,-0.002393899
794.9740601,-0.004298815,-0.00441706,-0.003743446,-0.002435448,-0.003405014,-0.002617915,-0.002561201,-0.003666499,-0.003781427,-0.002686249,-0.003545996,-0.00400719,-0.002923279
793.9990845,-0.003834184,-0.003253556,-0.003111298,-0.001817219,-0.002568612,-0.002200779,-0.001798968,-0.003191632,-0.003037838,-0.002101971,-0.003096699,-0.003110732,-0.002333501
793.0237427,-0.004230836,-0.003663009,-0.003506813,-0.002088215,-0.002977374,-0.002168017,-0.002797578,-0.002945185,-0.002927392,-0.001978919,-0.00320705,-0.002968478,-0.002659699
792.0480347,-0.003955224,-0.003872003,-0.003478669,-0.001776952,-0.002920244,-0.002297299,-0.002112945,-0.002851124,-0.003151235,-0.00227366,-0.003081843,-0.003423198,-0.002224164
790.9324341,-0.003977796,-0.003800673,-0.003776243,-0.002216489,-0.003325541,-0.002679715,-0.00277942,-0.003477591,-0.003709261,-0.002092027,-0.003734464,-0.003702331,-0.002769595
789.9558716,-0.004221607,-0.003983696,-0.004196997,-0.002518996,-0.003395203,-0.002510039,-0.002472874,-0.003618035,-0.003641549,-0.002854724,-0.00379513,-0.003634156,-0.002969198
788.9790039,-0.004017501,-0.003802931,-0.003708131,-0.00258153,-0.00329754,-0.00213108,-0.002872365,-0.00345792,-0.003564225,-0.002579214,-0.003628252,-0.00330314,-0.002728798
788.001709,-0.004075306,-0.003728356,-0.003585585,-0.002273866,-0.00296128,-0.002404557,-0.002559297,-0.003516519,-0.003255046,-0.002114439,-0.00334491,-0.003577678,-0.002419436
787.0241089,-0.004327931,-0.003623631,-0.003861997,-0.002482191,-0.00341051,-0.002450429,-0.002760386,-0.003278889,-0.0037552,-0.002221537,-0.003423609,-0.003682414,-0.002669835
786.0460815,-0.004670818,-0.004122951,-0.004098386,-0.002817742,-0.00375443,-0.002825715,-0.002883988,-0.004275798,-0.003698224,-0.003021128,-0.004117514,-0.003989646,-0.003085596
785.067688,-0.003826384,-0.004084538,-0.003674919,-0.002456555,-0.002904251,-0.002119746,-0.002476889,-0.00365423,-0.00327262,-0.002560738,-0.003426948,-0.003493923,-0.002547305
783.9490356,-0.004549721,-0.004095668,-0.00361439,-0.002674158,-0.003713624,-0.002674672,-0.002807455,-0.003554982,-0.0039425,-0.002998404,-0.003682157,-0.004271799,-0.003265323
782.9698486,-0.003953941,-0.00417141,-0.00389145,-0.002484405,-0.003495001,-0.002401931,-0.002701685,-0.003652381,-0.003845166,-0.003049251,-0.00398626,-0.003785533,-0.003000512
781.9903564,-0.004578001,-0.004256214,-0.003812374,-0.002537886,-0.004035659,-0.002790274,-0.002471535,-0.003722402,-0.004219762,-0.00297398,-0.004276413,-0.003811861,-0.003438761
781.010376,-0.004273747,-0.003901558,-0.00364119,-0.002692887,-0.00348247,-0.002525687,-0.002532224,-0.003630306,-0.003681079,-0.003407891,-0.003716242,-0.003729536,-0.002819697
780.0300903,-0.004032479,-0.00375443,-0.003681335,-0.002268046,-0.002645548,-0.002032669,-0.002689131,-0.003680514,-0.003570438,-0.002620951,-0.003670504,-0.003278066,-0.002450532
779.0494385,-0.004215558,-0.003740469,-0.003988467,-0.002563517,-0.003104153,-0.0018664,-0.002439103,-0.003668142,-0.003875954,-0.002465718,-0.003503321,-0.003330679,-0.001909442
778.0684204,-0.004248011,-0.00437893,-0.00381417,-0.002479463,-0.003848912,-0.002745364,-0.003034393,-0.003857071,-0.003896119,-0.003248623,-0.00442444,-0.004216532,-0.002538092
776.9468384,-0.003687804,-0.003407788,-0.003630665,-0.002331698,-0.002764193,-0.002062503,-0.002070799,-0.00325777,-0.003528228,-0.00208198,-0.003144451,-0.003353798,-0.001916504
775.9649658,-0.004166744,-0.004088436,-0.003779323,-0.002628567,-0.003280944,-0.002334633,-0.002566399,-0.004015295,-0.003385802,-0.002344984,-0.003956968,-0.003696992,-0.002292818
774.9827881,-0.004262161,-0.004041865,-0.00402581,-0.002669115,-0.003714907,-0.002524452,-0.002907079,-0.00395353,-0.003559398,-0.002961588,-0.00416259,-0.003729434,-0.002644056
774.0002441,-0.004244782,-0.003903662,-0.003700175,-0.002470712,-0.003470503,-0.002263823,-0.002548128,-0.003699918,-0.003418883,-0.00230492,-0.003953326,-0.003429105,-0.002841506
773.017334,-0.00410454,-0.003786508,-0.003841881,-0.002769955,-0.003423712,-0.00268486,-0.002438228,-0.003599294,-0.003809346,-0.002777774,-0.003546149,-0.004038736,-0.002816096
772.0340576,-0.003919156,-0.004186844,-0.003563917,-0.002192331,-0.003082923,-0.002265935,-0.002654142,-0.003539474,-0.003308689,-0.002599234,-0.003207152,-0.003241737,-0.002793772
771.0504761,-0.003586253,-0.003640163,-0.003897043,-0.002516062,-0.003021128,-0.002301212,-0.002383447,-0.003459512,-0.003434652,-0.002628413,-0.003552568,-0.003582556,-0.002351884
770.0664673,-0.004043045,-0.00384065,-0.003725943,-0.002342975,-0.003465059,-0.002413207,-0.002833328,-0.003840085,-0.003942552,-0.002732451,-0.003846551,-0.00386682,-0.002864445
768.9414063,-0.003925519,-0.003845833,-0.003887191,-0.002601756,-0.003129442,-0.002348691,-0.002595735,-0.003722504,-0.00342741,-0.002539945,-0.003891296,-0.003583121,-0.002718149
767.956665,-0.004022835,-0.004209354,-0.003596111,-0.00271393,-0.003602991,-0.002836156,-0.002629184,-0.003939217,-0.003407942,-0.00245743,-0.003758023,-0.003712597,-0.003017118
766.9714966,-0.004256368,-0.004138848,-0.004211353,-0.002721853,-0.003512205,-0.00271393,-0.002776076,-0.004037198,-0.003787894,-0.002752361,-0.003779836,-0.003472609,-0.002833636
765.9859619,-0.004261392,-0.00410813,-0.00372389,-0.002407801,-0.003417085,-0.002489192,-0.002597072,-0.003694888,-0.003613157,-0.003139928,-0.003854095,-0.003719681,-0.003136433
765.0001221,-0.004375957,-0.00424309,-0.00394604,-0.002712849,-0.003752685,-0.002569796,-0.00281836,-0.003683748,-0.003656745,-0.003012697,-0.003948247,-0.003735952,-0.002874937
764.013916,-0.00458589,-0.004531072,-0.004288614,-0.002775459,-0.003799646,-0.002793875,-0.002967964,-0.003969485,-0.003937319,-0.002985087,-0.004377188,-0.003776859,-0.003013365
763.0272827,-0.004223043,-0.003979797,-0.003760743,-0.002714084,-0.003428694,-0.002355746,-0.00258081,-0.00365464,-0.003621167,-0.002787085,-0.003754584,-0.00355909,-0.002687484
762.0403442,-0.00414613,-0.004316397,-0.004191049,-0.002823812,-0.003593903,-0.002882086,-0.002828853,-0.004043455,-0.003733283,-0.003319582,-0.004113976,-0.003975539,-0.003073772
761.0530396,-0.004406042,-0.004420033,-0.004388155,-0.002915668,-0.003803239,-0.002795778,-0.003348403,-0.004286256,-0.004052739,-0.003029663,-0.004318038,-0.004123207,-0.003233721
760.0653687,-0.00459465,-0.004462874,-0.003818327,-0.003141162,-0.003754738,-0.003009561,-0.003238397,-0.003860252,-0.004139669,-0.003331963,-0.004402147,-0.0036301,-0.00322406
758.9361572,-0.003926955,-0.004271748,-0.003797542,-0.00255451,-0.003592825,-0.002694173,-0.002946882,-0.003510665,-0.003865999,-0.002550496,-0.003663471,-0.003486784,-0.003160744
757.9476929,-0.003841112,-0.003863588,-0.004409527,-0.002839243,-0.003452373,-0.002632375,-0.002809821,-0.003478875,-0.004156847,-0.002852975,-0.004011704,-0.00376449,-0.003043133
756.9589233,-0.004489417,-0.004662469,-0.004645259,-0.003243741,-0.004234117,-0.002962565,-0.003327648,-0.003962816,-0.004198227,-0.003498442,-0.004305018,-0.003760846,-0.003317475
755.9697876,-0.004422698,-0.004444938,-0.004501663,-0.002950738,-0.003567716,-0.002909599,-0.003146558,-0.004122848,-0.003932034,-0.003076805,-0.004213865,-0.003933778,-0.003543274
754.9802856,-0.004007241,-0.004222069,-0.004011807,-0.002887691,-0.003582504,-0.002770932,-0.00285781,-0.003784404,-0.003786611,-0.003092433,-0.003892938,-0.003671633,-0.002884194
753.9904175,-0.003827102,-0.003961688,-0.003820431,-0.002525224,-0.003461258,-0.002683882,-0.003196412,-0.003782248,-0.00400442,-0.003005756,-0.004033709,-0.003466548,-0.003153446
753.0001831,-0.004094949,-0.004045866,-0.003993237,-0.002845312,-0.003756021,-0.002632632,-0.003368439,-0.004172897,-0.004057406,-0.003132732,-0.003760589,-0.004221864,-0.003082614
752.0095825,-0.003915052,-0.004497512,-0.00420156,-0.002895508,-0.00357624,-0.002730342,-0.003302781,-0.00406392,-0.004158642,-0.003129956,-0.004082435,-0.00394486,-0.003034547
751.0186768,-0.004221915,-0.004390616,-0.004159155,-0.003009972,-0.003791846,-0.003062771,-0.003052695,-0.003815145,-0.003958661,-0.002878331,-0.004237501,-0.004042429,-0.003337974
750.0273438,-0.004189613,-0.004516521,-0.00439779,-0.003186853,-0.003970768,-0.002720721,-0.003151698,-0.003893297,-0.004015141,-0.00332215,-0.004156129,-0.004033094,-0.003369877
749.0357056,-0.004342181,-0.004739547,-0.004585326,-0.003226629,-0.004085307,-0.002793823,-0.003552004,-0.004349202,-0.00447594,-0.003328213,-0.004153053,-0.004253805,-0.003607869
748.0437622,-0.004307888,-0.004560173,-0.004302813,-0.002888668,-0.003789844,-0.003061897,-0.003479029,-0.004534402,-0.004267493,-0.003226064,-0.004315014,-0.00408741,-0.00328305
747.0513916,-0.004200586,-0.004298097,-0.004432691,-0.003221901,-0.003873645,-0.003266813,-0.00320335,-0.003968254,-0.004173154,-0.003259106,-0.00423827,-0.003824023,-0.00353552
746.0586548,-0.004008575,-0.004623387,-0.004533685,-0.002842586,-0.004083256,-0.002851741,-0.003480621,-0.004141361,-0.003979592,-0.003377275,-0.00423222,-0.004143822,-0.003322459
745.0656128,-0.00418869,-0.00451068,-0.00437319,-0.002867325,-0.003963073,-0.002826795,-0.003549949,-0.004060381,-0.004059868,-0.003425407,-0.004095308,-0.003996469,-0.003515543
743.9302979,-0.004373702,-0.004626922,-0.004368731,-0.003123891,-0.00413572,-0.003199341,-0.003522014,-0.004118233,-0.00426575,-0.003415647,-0.004515343,-0.00415013,-0.003371624
742.9364624,-0.004131002,-0.004674864,-0.004286666,-0.003339053,-0.00398703,-0.003327185,-0.003490584,-0.003994058,-0.004150079,-0.003592209,-0.004235194,-0.004072383,-0.003605353
741.9423218,-0.004077973,-0.004529382,-0.004401737,-0.003038403,-0.004117925,-0.003055317,-0.003331706,-0.004252728,-0.004158796,-0.003351846,-0.004377495,-0.004124848,-0.003364175
740.9478149,-0.003824331,-0.004495258,-0.004254215,-0.002924564,-0.003667321,-0.00296709,-0.003388525,-0.004186075,-0.004256881,-0.00327596,-0.003966972,-0.003893862,-0.003346194
739.9529419,-0.004274875,-0.004725976,-0.004745846,-0.003154628,-0.004311323,-0.003330987,-0.003796054,-0.004356737,-0.004353405,-0.003283462,-0.004354789,-0.004513242,-0.003951735
738.9577637,-0.00404089,-0.004564425,-0.00445324,-0.003290809,-0.004167,-0.00296529,-0.003517341,-0.004213097,-0.00422617,-0.00326928,-0.004434279,-0.004136438,-0.003666191
737.9621582,-0.004156693,-0.004807292,-0.004419366,-0.00340712,-0.003976719,-0.003438042,-0.003859996,-0.004268108,-0.004594752,-0.00368113,-0.004436842,-0.004541832,-0.003723017
736.9663086,-0.004083205,-0.004462669,-0.004290151,-0.003025961,-0.003898479,-0.0029874,-0.003329857,-0.003982259,-0.00409536,-0.003326826,-0.004076845,-0.004031709,-0.003367463
735.9700317,-0.004030786,-0.00410054,-0.003936087,-0.002688513,-0.003802777,-0.003007658,-0.003283924,-0.004135104,-0.003900634,-0.00328305,-0.003916437,-0.003892579,-0.003354722
734.9734497,-0.004031812,-0.004339105,-0.004248268,-0.003005499,-0.003659723,-0.003133246,-0.003313159,-0.004124284,-0.003738262,-0.00325777,-0.003851375,-0.004147412,-0.003271232
733.9765015,-0.004182691,-0.004569087,-0.004273747,-0.003139928,-0.003887345,-0.003008995,-0.003524376,-0.00422253,-0.004242987,-0.003321945,-0.004187049,-0.004170436,-0.003462696
732.979187,-0.004113669,-0.004235245,-0.004021963,-0.003140647,-0.003788715,-0.002971409,-0.003212908,-0.004082794,-0.004039608,-0.003262086,-0.004041249,-0.003940654,-0.003209054
