Wavelength (nm),BLANK,ELA_FISH927,ELA_FISH1013,ELA_FISH1012,ELA_FISH108,ELA_FISH118,ELA_FISH112,ELA_FISH117,ELA_FISH906,ELA_FISH916,ELA_CTL3-L224,ELA_CTL-L224,ELA_FISH911,ELA_FISH926,ELA_FISH929,ELA_FISH921,ELA_FISH928,ELA_FISH901,ELA_FISH907,ELA_FISH908,ELA_FISH912,ELA_FISH914,ELA_FISH919,ELA_FISH939,ELA_FISH113,ELA_FISH115,ELA_FISH120,ELA_FISH122,ELA_FISH1001,ELA_FISH1002,ELA_FISH1005,ELA_FISH1007,ELA_FISH1008
799.9591064,0.000202294,0.000727565,0.000208199,0.000556439,-1.74E-05,0.000763919,0.006966088,0.000254197,0.000162931,0.001191456,-7.35E-05,-0.000405289,0.000411419,0.00030981,0.000807979,-0.000287653,-0.000209574,-0.000175678,-0.000227737,0.000463036,-0.000793043,-0.000159584,-0.000149906,3.53E-05,-0.000494037,-2.12E-05,2.18E-05,-0.000233325,-0.000344716,0.000722664,0.000261864,0.000217419,0.0004542
798.9870605,6.29E-05,0.000630496,2.15E-05,0.000463762,0.000223764,0.00042523,0.007490602,-0.000147214,0.000227157,0.000865349,-0.000224787,-0.000148612,0.000190485,0.000203796,0.000281135,-5.45E-05,-0.000379736,-0.00021154,0.000263599,0.000253239,-0.000425822,-0.000128738,-0.000213352,7.22E-05,-0.000230065,-0.000143695,0.000236481,-0.000356717,-0.000218267,0.000640062,-0.000123044,0.000260698,0.000545164
798.0146484,5.02E-05,0.00071753,0.000344394,0.000575179,0.000320276,0.00044754,0.007392352,0.000123856,0.000336829,0.000981799,8.40E-05,6.64E-05,0.000157545,0.000747272,0.000578989,0.000103323,-0.000488245,0.00011948,-0.000249624,0.000501208,-0.000360494,-0.000391116,-0.000409323,0.000219879,-0.000183337,0.000432045,0.000481539,-1.06E-05,-1.07E-05,0.000684576,0.00069251,0.000260336,0.00080077
797.0418701,0.000265904,0.000957178,0.000711255,0.00069754,0.000158011,0.000838712,0.00699613,0.00043049,0.000377063,0.000893674,0.0002075,9.77E-05,0.000321079,0.000632518,0.00077717,-0.000160256,0.000149569,0.00037797,-1.18E-05,0.000462855,-0.000119991,-4.13E-05,-0.000182561,0.00035043,-0.000274201,0.000304966,0.000279814,0.00018774,0.00026448,0.000939874,0.000251011,0.000504448,0.000956659
796.0687256,0.000157804,0.000508595,-1.43E-05,6.17E-05,-7.08E-05,0.000232337,0.007064532,-1.24E-05,0.000443809,0.000858865,-8.94E-05,-0.000253039,-0.00010172,0.000156949,0.000803674,-0.000388013,-3.96E-05,-0.000332456,-0.000327645,0.000618442,-0.000257386,-0.000339284,-0.000149181,4.75E-05,-0.000386926,0.00043176,3.46E-05,-0.000537164,0.000342192,0.00043163,0.000344213,0.000142241,0.000424789
794.9560547,-6.54E-05,0.00080313,-1.07E-05,0.000638636,0.000493823,0.000801159,0.007292335,0.000412818,0.000343954,0.001360495,-0.000353045,-0.000266285,6.21E-05,0.000285228,0.000911158,-0.000466318,-0.000629453,0.000343254,0.000211825,0.000627826,-0.000179404,-2.69E-05,-0.000210919,0.000485918,-0.000221269,0.00049276,0.000645299,8.51E-05,-6.44E-05,0.000757748,0.000494781,0.000429712,0.000609058
793.9821167,0.000265412,0.000348824,0.000482524,0.000717349,0.000495559,0.000568621,0.007520284,1.91E-05,3.96E-05,0.00088361,-6.72E-05,-2.54E-05,9.70E-05,0.00018414,0.000850176,-0.000289826,-0.000131998,0.00013222,0.000302661,0.000970202,7.65E-05,-0.000316936,-0.000175627,0.000154334,-4.67E-05,0.000611598,0.000294268,-6.91E-05,0.00050634,0.000402143,0.00022019,0.000343358,0.000546667
793.0077515,0.000114069,0.00025342,6.23E-05,0.000271914,4.93E-05,0.00020245,0.006901884,-0.00020678,-7.46E-05,0.000925477,-0.000663416,-0.000189185,0.000226769,0.000207267,0.000409139,-0.00049864,-0.00038315,-8.47E-05,-0.000160256,0.000452153,-0.000837638,-0.00068492,-0.000563741,0.00023661,-0.000510378,-0.00015032,-9.42E-05,-0.000470921,-0.00022665,0.00026018,0.000165469,-0.000275909,-8.92E-05
792.03302,4.15E-05,0.000566858,-0.000295517,0.000446244,0.000104385,0.000702751,0.007021069,-0.000171331,0.000115208,0.000726009,-0.0002608,-0.000335456,0.00010063,0.000393775,0.000494911,-0.000563638,-0.000291947,-0.000224839,-0.00015446,0.0001389,-0.000441907,-0.000177127,-0.000541456,0.000111686,-0.000437304,0.000156457,0.000273364,-0.000227789,-0.00013029,0.000939044,0.000515359,-6.86E-05,0.0001931
791.0579224,9.30E-05,0.000447359,0.000137243,0.000304759,-0.00030007,-6.22E-05,0.006953752,-0.000552624,0.000135379,0.0010845,-0.000459492,-0.000696447,-9.51E-05,0.00030336,0.000649576,-0.00056219,-0.000235395,-0.000173867,-0.000145558,0.00038994,-0.000585043,-0.000682284,-0.000184735,0.000329938,-0.0006385,-0.000100426,6.97E-05,-9.24E-05,-0.000369029,0.000383748,0.000383644,6.15E-05,0.000179608
789.9431152,0.000567714,0.001386801,0.001034314,0.001100823,0.000584614,0.001228342,0.007271986,0.000687739,0.000888123,0.001943694,0.000377685,-8.05E-05,0.000490091,0.00083298,0.00138249,0.000773073,0.000307686,0.000410849,0.000831606,0.00102928,-0.000140435,0.000547186,0.000154385,0.000658106,0.000544438,0.000780464,0.001032809,0.000658131,0.000726346,0.001075521,0.000939667,0.000694688,0.0013156
788.9672241,0.00026018,0.000434584,0.000199782,0.000863093,0.00034157,0.000308101,0.007333245,-0.000224632,9.33E-05,0.001880903,-5.50E-05,0.000235937,8.61E-05,0.000696373,0.000565018,-0.000125788,-0.000492744,-0.000164086,0.00029963,0.000788062,-0.000268924,-0.000551797,-0.000207866,0.000196545,0.000221951,0.000310432,0.000507973,0.000330457,4.62E-05,0.000422043,0.000740841,0.000259584,0.000264868
787.9909058,-0.000212938,0.000641073,-1.03E-05,7.36E-05,0.000312375,0.000732284,0.007379582,-6.34E-05,0.000152832,0.001595743,-0.000200777,-0.000405185,-9.17E-05,0.000355663,0.000488303,0.000229177,0.000124995,-0.000288688,0.000173781,0.000278881,-0.000626351,-0.000306589,-0.000298259,-0.000211592,-0.000182872,0.00021804,0.000383851,-0.000320091,-0.000115333,0.000512093,0.000574194,0.000283673,0.000681335
787.0142822,0.000718334,0.000883117,0.000538218,0.000399423,0.000329887,0.000382297,0.007014571,0.000179893,0.000248628,0.001208354,-0.000299242,-2.58E-05,0.000420307,0.000623937,0.000779634,-0.000100219,-0.000121595,0.000186186,0.000172512,0.000565847,-0.00053794,1.29E-05,-0.000213558,7.37E-05,-0.000273994,0.000670109,0.000268469,-0.000579769,0.000129838,0.000792886,0.000285124,0.000180722,0.000616212
786.0372925,0.000183985,0.000819001,0.000286238,0.000389681,7.19E-05,0.000374835,0.007801192,0.000327892,0.000305873,0.001341384,-0.000534268,-0.000274098,-0.000225719,-2.00E-05,0.000783394,-0.000143592,-0.000262042,-3.35E-05,-6.30E-05,0.000938655,-0.000329972,-0.000419047,-0.000469318,0.00038437,-0.00042334,0.000403335,0.000116736,-0.00033706,-0.000138985,0.000903324,0.000328384,2.80E-06,0.00037569
785.0598755,5.41E-05,0.000519661,0.000227079,0.000265594,0.000127455,0.000283466,0.006939364,-0.000395771,-0.000259352,0.001154338,-0.000367167,-0.000446459,3.78E-05,0.000383126,0.000542157,6.00E-05,-0.000353614,-0.000196948,7.48E-05,0.000738248,-0.000667603,-0.000500346,-0.000457423,-0.000138468,7.91E-05,0.000167799,0.000138875,-0.000295362,0.000106223,0.000458061,0.000268339,0.000308567,0.000271706
783.9424438,-8.48E-05,0.000481331,-0.000240052,0.000675294,0.000139418,0.000350068,0.006776107,-0.000104981,0.000290978,0.000886956,-0.000118749,-0.00076648,-2.30E-05,0.000347011,0.000336985,-0.000706319,-0.000299656,-0.000506035,-0.000398409,0.000460237,-0.000372081,-0.001024083,-0.000520927,0.000141257,-0.000738416,0.000178702,0.000332296,-0.000522685,-0.00016274,0.000779738,0.000172409,0.000383566,0.000303231
782.9642944,0.000120801,0.001009353,5.70E-05,0.000409372,8.68E-05,0.000471562,0.007302522,-8.59E-05,0.000295304,0.00099254,-5.88E-05,-0.000436425,0.000218947,0.000421188,0.000577019,-3.94E-05,-0.000175368,-0.000103273,0.000196079,0.000612609,-0.000404668,-0.000488297,-0.000307572,0.000239693,-0.000449872,0.000284217,0.000286704,-0.000200777,-4.51E-05,0.000781709,0.000864779,0.000329835,0.000697877
781.9857178,0.000238087,0.000894037,0.000520283,0.000725153,0.000263366,0.000540836,0.007350726,0.000192013,0.000211177,0.00093191,-0.00024978,-3.88E-05,0.000147135,0.000636044,0.000669979,0.000215632,-0.000193066,0.000377504,0.000381623,0.000659143,-0.000473352,-0.000476817,-0.000136398,4.46E-05,9.19E-05,7.23E-05,0.000125669,-9.79E-05,0.000264298,0.000550037,0.000337684,0.000343746,0.00080051
781.0068359,0.000235678,0.001113098,0.000155421,0.00057098,6.32E-05,0.000699121,0.007009309,-0.000383771,0.000395355,0.000964235,-2.08E-05,-0.000426702,0.000174351,0.000297843,0.000884725,0.000196105,-0.000298777,-0.000101099,0.00021602,0.000461326,-0.000651889,-0.000101772,-0.000433115,-0.00030752,-0.000155029,0.000110392,0.000369809,-0.000269441,-0.000278754,0.000552914,0.000678898,-2.15E-05,0.000817886
780.0275269,0.000258497,0.000663991,0.000387608,0.000329809,-0.000423857,0.000322089,0.007130313,9.20E-05,6.16E-05,0.001039659,-0.000123251,-0.000376116,0.000501908,0.000688076,0.000507739,-0.000576305,-0.000153632,-0.000249366,0.00055789,0.000554184,-0.000865695,-0.000525995,-0.00019229,0.000145141,-0.000410202,4.50E-05,0.000208665,-0.000258576,-9.29E-05,0.000425023,0.00048794,-8.27E-05,0.000602137
779.0478516,0.000171036,0.000428883,-4.81E-06,-2.85E-05,-0.000134897,9.19E-05,0.00704472,3.49E-05,0.000122069,0.000788166,-6.70E-05,-0.00059378,7.37E-05,0.000219335,0.000239278,-0.000163879,-0.000288067,-0.000340629,0.000288724,0.000497477,-0.000496623,-0.000501329,-0.000185459,-1.04E-05,-0.000395409,-6.96E-05,0.000255466,-0.000515653,5.33E-05,0.000466198,0.00017114,0.000114172,0.000753028
778.0678711,1.60E-05,0.000474646,-9.73E-05,-0.000152028,-0.000244864,0.000308878,0.006741138,-0.00027446,0.000160704,0.000296133,-0.000492434,-0.000642894,-0.000344613,0.000105912,0.000177277,-0.000462595,-0.000623197,-0.000390547,0.000504267,0.000193489,-0.000781002,-0.000837432,-0.00041253,-3.02E-05,-0.000386461,7.99E-05,-0.0002608,-0.000984104,-0.000175782,0.00041813,-0.000155236,-4.52E-05,-0.000196896
