Wavelength (nm),BLANK1,ELAFISH927,ELAFISH1013,ELAFISH1012,ELAFISH108,ELAFISH118,ELAFISH112,ELAFISH117,ELAFISH906,ELAFISH916,ELACTL3L224,ELACTL4L224,ELAFISH911,ELAFISH926,ELAFISH929,ELAFISH921,ELAFISH928,ELAFISH901,ELAFISH907,ELAFISH908,ELAFISH912,ELAFISH914,ELAFISH919,ELAFISH939,ELAFISH113,ELAFISH115,ELAFISH120,ELAFISH122,ELAFISH1001,ELAFISH1002,ELAFISH1005,ELAFISH1007,ELAFISH1008,BLANK2,ELAFISH109,ELAFISH930,ELAFISH903,ELAFISH1010,ELAFISH105,ELAFISH913,ELAFISH909,ELACTL2L222224,ELAFISH948,ELAFISH944,ELACTL1L239,ELACTL2L239,BLANK3,ELAFISH905,ELAFISH923,ELAFISH110,ELAFISH104,ELAFISH937,ELAFISH121,ELAPREFILTER1,ELAFISH915,BLANK4,ELAFISH946,ELAFISH1004,ELAFISH949,ELAFISH1015,ELAFISH932,ELAFISH922,ELAFISH1011,ELAFISH947,BLANK5,ELAFISH931,ELAFISH1009,ELAFISH902,ELAFISH1006,ELAFISH116,ELAFISH933,ELACTL1L222224,ELAFISH941,ELAFISH920,ELAFISH945,ELAFISH938,ELAFISH935,ELAFISH1003,ELAFISH934,ELAFISH943,ELAFISH1014,ELAFISH936,ELAFISH111,ELAFISH904,ELAFISH918,ELAFISH114,ELAFISH119,ELAFISH917,ELAFISH910,ELAFISH940,ELAFISH942
799.9591064,0.000202294,0.000727565,0.000208199,0.000556439,-1.74E-05,0.000763919,0.006966088,0.000254197,0.000162931,0.001191456,-7.35E-05,-0.000405289,0.000411419,0.00030981,0.000807979,-0.000287653,-0.000209574,-0.000175678,-0.000227737,0.000463036,-0.000793043,-0.000159584,-0.000149906,3.53E-05,-0.000494037,-2.12E-05,2.18E-05,-0.000233325,-0.000344716,0.000722664,0.000261864,0.000217419,0.0004542,-0.003713367,-0.003706746,-0.003404757,-0.001828664,-0.002739191,-0.001866349,-0.001996957,-0.003346246,-0.003430184,-0.00254257,-0.00318788,-0.002815582,-0.002448112,-3.64E-05,0.000978971,0.000369731,0.000211307,0.000226199,0.000959669,0.000547756,-0.000231307,-0.000154356,-0.000225253,0.005145297,0.000296003,0.000377815,-0.00055402,-0.000172211,0.002129336,0.002100723,0.000138357,-0.000929347,0.001251239,-0.000535147,-0.000343837,0.000985327,0.000861407,0.000835263,-4.38E-05,0.000687298,0.000440492,0.000511679,0.000715248,0.00030178,0.003120764,1.75E-05,0.007043931,0.001314925,0.000118496,-0.00027239,0.000907033,0.00353964,0.001225227,0.001559527,0.000797813,-0.000230428,-0.0005716,0.00133497
798.9870605,6.29E-05,0.000630496,2.15E-05,0.000463762,0.000223764,0.00042523,0.007490602,-0.000147214,0.000227157,0.000865349,-0.000224787,-0.000148612,0.000190485,0.000203796,0.000281135,-5.45E-05,-0.000379736,-0.00021154,0.000263599,0.000253239,-0.000425822,-0.000128738,-0.000213352,7.22E-05,-0.000230065,-0.000143695,0.000236481,-0.000356717,-0.000218267,0.000640062,-0.000123044,0.000260698,0.000545164,-0.004215455,-0.004110643,-0.004020732,-0.002590228,-0.003405117,-0.002298123,-0.002757197,-0.003509792,-0.003768647,-0.002633147,-0.003411435,-0.003722607,-0.002817279,0.000672131,0.001548045,0.000937332,0.000804011,0.000907967,0.001358444,0.001010287,0.000471484,0.001222891,-0.000119577,0.005363919,0.000581477,0.000784432,-0.000545437,-0.000213403,0.002457669,0.002381582,0.000814981,-0.000725185,0.001399188,-0.000408702,0.000113292,0.000997314,0.000439611,0.001124673,3.67E-05,0.001179983,0.000754013,0.000667491,0.000731428,0.000176889,0.003058089,0.000259403,0.007269012,0.001129864,0.000592105,9.12E-05,0.001411056,0.004420133,0.001460636,0.001894319,0.000791019,0.000168395,0.000223298,0.001273747
798.0146484,5.02E-05,0.00071753,0.000344394,0.000575179,0.000320276,0.00044754,0.007392352,0.000123856,0.000336829,0.000981799,8.40E-05,6.64E-05,0.000157545,0.000747272,0.000578989,0.000103323,-0.000488245,0.00011948,-0.000249624,0.000501208,-0.000360494,-0.000391116,-0.000409323,0.000219879,-0.000183337,0.000432045,0.000481539,-1.06E-05,-1.07E-05,0.000684576,0.00069251,0.000260336,0.00080077,-0.004049866,-0.003603556,-0.003480261,-0.002392664,-0.003410613,-0.00221072,-0.002056629,-0.003179298,-0.003102816,-0.002175899,-0.00345114,-0.003764079,-0.002441265,0.000827534,0.000961407,0.000838116,0.000737496,0.000602033,0.001012622,0.000500587,0.000370379,0.000597782,-0.000521341,0.00536785,-0.000128013,0.000289942,-0.000921184,-0.00033618,0.001587637,0.001545005,0.000529613,-0.00160909,0.000567817,-0.000570411,-0.000485194,0.000966051,0.000130977,0.0007104,-0.000490935,0.000449898,-2.98E-05,0.000269867,0.000290356,-0.000269493,0.002320498,-0.000377202,0.007063979,0.000912325,1.43E-05,-0.000384237,0.000805904,0.003518945,0.000816563,0.001665925,0.000590731,-0.00031021,-0.000468904,0.001046042
797.0418701,0.000265904,0.000957178,0.000711255,0.00069754,0.000158011,0.000838712,0.00699613,0.00043049,0.000377063,0.000893674,0.0002075,9.77E-05,0.000321079,0.000632518,0.00077717,-0.000160256,0.000149569,0.00037797,-1.18E-05,0.000462855,-0.000119991,-4.13E-05,-0.000182561,0.00035043,-0.000274201,0.000304966,0.000279814,0.00018774,0.00026448,0.000939874,0.000251011,0.000504448,0.000956659,-0.003638982,-0.00394563,-0.00372312,-0.002246157,-0.003106003,-0.002007573,-0.002485486,-0.003381693,-0.003457766,-0.002389729,-0.003377172,-0.003725533,-0.002650848,0.000669046,0.001274941,0.000645921,0.001050505,0.000815526,0.001324065,0.000869629,0.000592572,0.00104996,0.000288569,0.00529754,0.000428987,0.000535652,-0.000270786,-0.000190324,0.002264834,0.00212788,0.000556827,-0.000374771,0.001786618,-0.000162947,0.000239744,0.001332841,0.000861562,0.001157427,0.000133799,0.001487727,0.000701636,0.00105336,0.000782876,0.000330897,0.003119147,0.000611106,0.007210921,0.001602239,0.000737937,0.000246789,0.001262506,0.004507903,0.001441858,0.002344545,0.000776263,0.000635473,-3.89E-05,0.001701006
796.0687256,0.000157804,0.000508595,-1.43E-05,6.17E-05,-7.08E-05,0.000232337,0.007064532,-1.24E-05,0.000443809,0.000858865,-8.94E-05,-0.000253039,-0.00010172,0.000156949,0.000803674,-0.000388013,-3.96E-05,-0.000332456,-0.000327645,0.000618442,-0.000257386,-0.000339284,-0.000149181,4.75E-05,-0.000386926,0.00043176,3.46E-05,-0.000537164,0.000342192,0.00043163,0.000344213,0.000142241,0.000424789,-0.004303787,-0.003837212,-0.003792975,-0.002610144,-0.003409124,-0.00220969,-0.002217777,-0.003306223,-0.003384929,-0.002590897,-0.003842857,-0.003819507,-0.002393899,0.000896372,0.001052529,0.000257823,0.000551177,0.000909653,0.001321208,0.000554443,0.000134084,0.000303049,-0.000195188,0.004811211,0.000731195,0.0007139,-0.000482402,-7.02E-05,0.002220288,0.001753712,0.000605973,-0.000807512,0.001477649,-0.000191617,1.71E-05,0.001130279,0.000208587,0.001763407,-0.000139917,0.000775978,0.000713641,0.000738559,0.000671509,1.79E-06,0.002301864,0.000348254,0.0066296,0.001268918,0.00041585,-5.39E-05,0.001144709,0.003944998,0.001106506,0.001648722,0.000422172,0.000140609,-0.000237413,0.001627468
794.9560547,-6.54E-05,0.00080313,-1.07E-05,0.000638636,0.000493823,0.000801159,0.007292335,0.000412818,0.000343954,0.001360495,-0.000353045,-0.000266285,6.21E-05,0.000285228,0.000911158,-0.000466318,-0.000629453,0.000343254,0.000211825,0.000627826,-0.000179404,-2.69E-05,-0.000210919,0.000485918,-0.000221269,0.00049276,0.000645299,8.51E-05,-6.44E-05,0.000757748,0.000494781,0.000429712,0.000609058,-0.004298815,-0.00441706,-0.003743446,-0.002435448,-0.003405014,-0.002617915,-0.002561201,-0.003666499,-0.003781427,-0.002686249,-0.003545996,-0.00400719,-0.002923279,6.57E-05,0.000530339,0.000546253,-5.50E-05,0.000452438,0.000437486,0.00027339,2.31E-05,0.000162128,-0.000106844,0.005539021,0.000417975,0.001069578,-9.65E-05,0.000351518,0.002484327,0.002381894,0.000801677,-0.00077909,0.001113695,-0.000311866,0.000278415,0.00099708,0.000334342,0.001434222,-5.01E-05,0.001034418,0.00066635,0.00078578,0.000614476,0.000347477,0.001848537,1.37E-05,0.007138918,0.00133471,0.000246064,-0.000200829,0.001128358,0.004225641,0.00077717,0.001722706,0.000771517,-0.0002816,0.000126912,0.001342552
793.9821167,0.000265412,0.000348824,0.000482524,0.000717349,0.000495559,0.000568621,0.007520284,1.91E-05,3.96E-05,0.00088361,-6.72E-05,-2.54E-05,9.70E-05,0.00018414,0.000850176,-0.000289826,-0.000131998,0.00013222,0.000302661,0.000970202,7.65E-05,-0.000316936,-0.000175627,0.000154334,-4.67E-05,0.000611598,0.000294268,-6.91E-05,0.00050634,0.000402143,0.00022019,0.000343358,0.000546667,-0.003834184,-0.003253556,-0.003111298,-0.001817219,-0.002568612,-0.002200779,-0.001798968,-0.003191632,-0.003037838,-0.002101971,-0.003096699,-0.003110732,-0.002333501,0.000576397,0.000757722,0.00036284,0.000549622,0.000261708,0.000824007,0.000862522,0.000230602,0.000403206,8.15E-05,0.00556941,0.000959591,0.000945608,-0.000482453,0.000118833,0.002924142,0.001759898,0.00093287,-0.001422999,0.000766072,-0.000666466,-7.64E-05,0.000665935,0.000187455,0.000746649,-0.000276426,0.000632077,2.74E-05,0.000362736,5.52E-05,-0.00050226,0.001836943,-0.000357545,0.006348897,0.000781786,-0.000131947,-0.000433632,0.000852925,0.003730457,0.000801262,0.000967089,0.000317193,-0.000555365,-0.000814333,0.001424067
793.0077515,0.000114069,0.00025342,6.23E-05,0.000271914,4.93E-05,0.00020245,0.006901884,-0.00020678,-7.46E-05,0.000925477,-0.000663416,-0.000189185,0.000226769,0.000207267,0.000409139,-0.00049864,-0.00038315,-8.47E-05,-0.000160256,0.000452153,-0.000837638,-0.00068492,-0.000563741,0.00023661,-0.000510378,-0.00015032,-9.42E-05,-0.000470921,-0.00022665,0.00026018,0.000165469,-0.000275909,-8.92E-05,-0.004230836,-0.003663009,-0.003506813,-0.002088215,-0.002977374,-0.002168017,-0.002797578,-0.002945185,-0.002927392,-0.001978919,-0.00320705,-0.002968478,-0.002659699,0.000244924,0.000906748,0.000547263,0.001006291,0.000564007,0.00079216,0.000578756,3.24E-05,0.000251063,-0.000320505,0.005272202,4.98E-05,0.000320068,-0.000839188,-0.000381495,0.002005583,0.001466038,0.000463166,-0.000626403,0.001421834,0.000207008,1.81E-06,0.001345356,0.00072549,0.001275227,0.000370975,0.00098883,0.000899018,0.000654709,0.001048689,0.000130407,0.002096665,0.000338876,0.007383163,0.001266452,0.000463114,0.000156043,0.00169017,0.004479237,0.00101244,0.002017702,0.001037972,-0.000235136,0.000377193,0.001476558
792.03302,4.15E-05,0.000566858,-0.000295517,0.000446244,0.000104385,0.000702751,0.007021069,-0.000171331,0.000115208,0.000726009,-0.0002608,-0.000335456,0.00010063,0.000393775,0.000494911,-0.000563638,-0.000291947,-0.000224839,-0.00015446,0.0001389,-0.000441907,-0.000177127,-0.000541456,0.000111686,-0.000437304,0.000156457,0.000273364,-0.000227789,-0.00013029,0.000939044,0.000515359,-6.86E-05,0.0001931,-0.003955224,-0.003872003,-0.003478669,-0.001776952,-0.002920244,-0.002297299,-0.002112945,-0.002851124,-0.003151235,-0.00227366,-0.003081843,-0.003423198,-0.002224164,0.000618494,0.000681568,0.000706018,0.000586791,0.000624871,0.000856583,0.000711618,0.000153427,0.000319758,0.00012106,0.005469654,0.001042669,0.000976195,-4.56E-05,0.000529328,0.002688746,0.001903158,0.000947553,-0.001546467,0.000701169,-0.000785601,-0.000806685,0.000814126,-7.08E-05,0.00085111,-0.00051767,0.000827793,-0.00035082,0.00029002,0.000304578,-0.000581837,0.001233794,-0.000188047,0.006540926,0.000601618,7.21E-05,-0.000479454,0.000859462,0.003668609,0.000804815,0.001504741,0.000298775,-0.000564155,-0.000360856,0.001195427
791.0579224,9.30E-05,0.000447359,0.000137243,0.000304759,-0.00030007,-6.22E-05,0.006953752,-0.000552624,0.000135379,0.0010845,-0.000459492,-0.000696447,-9.51E-05,0.00030336,0.000649576,-0.00056219,-0.000235395,-0.000173867,-0.000145558,0.00038994,-0.000585043,-0.000682284,-0.000184735,0.000329938,-0.0006385,-0.000100426,6.97E-05,-9.24E-05,-0.000369029,0.000383748,0.000383644,6.15E-05,0.000179608,-0.003977796,-0.003800673,-0.003776243,-0.002216489,-0.003325541,-0.002679715,-0.00277942,-0.003477591,-0.003709261,-0.002092027,-0.003734464,-0.003702331,-0.002769595,0.00017821,0.000700936,0.000379214,-0.000250193,0.000158425,0.000737003,-0.000363442,1.93E-05,0.000278493,-0.000229496,0.005415577,0.000629589,0.000752976,-0.000282893,0.000100242,0.002099839,0.002124108,0.000668139,-0.001131812,0.000906851,-0.000837587,-0.000572686,0.000599259,0.000200196,0.000952431,-0.000344923,0.000437279,-0.000363856,7.73E-05,0.000417016,-0.000532769,0.000856038,-0.00038734,0.00642014,0.000962133,-3.00E-06,-0.0007871,0.000805412,0.003763408,0.0005969,0.001084863,0.000418933,-0.000336439,-0.000545954,0.001046354
