Wavelength (nm),BLANK1,L470JUNE2022,L377JUNE2422,L375JUNE1722,L222JUNE2822,BLANK2,L378JUNE2722,L373JUNE1022,L239JUNE822,L442JUNE822,L114JUNE1022,L224JUNE2922,L626JUNE622
799.9591064,0.000202294,0.000437952,0.00087007,5.79E-05,0.000631066,-0.001227227,-0.000599261,0.000848931,-0.000896282,0.000292532,-0.000358114,-0.001112809,-0.000228047
798.9870605,6.29E-05,0.000533397,0.000918577,6.98E-05,0.00065445,-0.001183033,-0.000722291,0.000517225,-0.00094097,-6.16E-06,-0.00080653,-0.000912866,-0.000419771
798.0146484,5.02E-05,0.000864882,0.001070746,0.000386779,0.000840606,-0.001671549,-0.001141313,-0.000442425,-0.001678254,-0.000427012,-0.001360091,-0.001434197,-0.001346982
797.0418701,0.000265904,0.000536818,0.001201164,0.000281005,0.001069864,-0.001037254,-0.00054735,0.000311934,-0.000970105,-0.000271355,-0.000499002,-0.001305536,-0.000736039
796.0687256,0.000157804,0.000590653,0.000675035,-2.61E-05,0.000921638,-0.001335111,-0.000894577,0.00017101,-0.001381509,-0.000467353,-0.001330776,-0.001717034,-0.000706733
794.9560547,-6.54E-05,0.001125374,0.000890484,8.78E-06,0.000926048,-0.001137079,-0.000975891,0.000453163,-0.00067696,-0.000189858,-0.000702908,-0.001439873,-0.000880937
793.9821167,0.000265412,0.00112989,0.000941846,0.000522667,0.000855312,-0.001611411,-0.001732453,6.44E-05,-0.001968406,-0.000700995,-0.001299548,-0.001743436,-0.001202084
793.0077515,0.000114069,0.00084032,0.000762363,0.00039976,0.000937669,-0.000836605,-0.000782345,0.00024047,-0.001437499,4.29E-05,-0.00034275,-0.000586904,-0.000967109
792.03302,4.15E-05,0.001033613,0.001405135,0.000602785,0.000985457,-0.001617033,-0.000722342,0.000443705,-0.001238533,-0.000306071,-0.001221754,-0.001558951,-0.000928417
791.0579224,9.30E-05,0.000677887,0.000665676,0.000284839,0.00077883,-0.001039268,-0.000955538,0.000266811,-0.000599364,-0.000364425,-0.001029196,-0.001248548,-0.000479764
789.9431152,0.000567714,0.000775433,0.001233456,-0.000378805,0.000808653,-0.00140179,-0.000718673,0.00032569,-0.00105972,-0.000449976,-0.000590058,-0.000994228,-0.000234671
788.9672241,0.00026018,0.001381061,0.001196569,0.000867554,0.001599251,-0.001465569,-0.000909302,2.51E-05,-0.001251851,-0.000470145,-0.000860683,-0.001147406,-0.001138421
787.9909058,-0.000212938,0.000662072,0.000622823,0.000285176,0.001023079,-0.001558641,-0.001077073,-6.32E-05,-0.001635137,-0.001053987,-0.001287418,-0.001321898,-0.001399932
787.0142822,0.000718334,0.000651961,0.00076602,0.000125565,0.001172274,-0.001947945,-0.001557971,-0.000230634,-0.001760813,-0.000791027,-0.000862698,-0.001836913,-0.00123306
786.0372925,0.000183985,0.000425152,0.000498487,0.000305355,0.00105611,-0.001264396,-0.000789012,2.67E-05,-0.001329847,-0.000237051,-0.00059833,-0.000959103,-0.001008175
