SEM ,BEM ,Abs.Sample,Abs.Blank
ELAFISH927.csv,MILLIQBLANKSEPT12022.csv,ELAFISH927,BLANK1
ELAFISH1013.csv,MILLIQBLANKSEPT22022.csv,ELAFISH1013,BLANK1
ELAFISH1012.csv,MILLIQBLANKSEPT22022.csv,ELAFISH1012,BLANK1
ELAFISH108.csv,MILLIQBLANKSEPT12022.csv,ELAFISH108,BLANK1
ELAFISH118.csv,MILLIQBLANKSEPT12022.csv,ELAFISH118,BLANK1
ELAFISH112.csv,MILLIQBLANKSEPT12022.csv,ELAFISH112,BLANK1
ELAFISH117.csv,MILLIQBLANKSEPT12022.csv,ELAFISH117,BLANK1
ELAFISH906.csv,MILLIQBLANKSEPT162022.csv,ELAFISH906,BLANK1
ELAFISH916.csv,MILLIQBLANKSEPT72022.csv,ELAFISH916,BLANK1
ELACTL3L224.csv,MILLIQBLANKSEPT62022.csv,ELACTL3L224,BLANK1
ELACTL4L224.csv,MILLIQBLANKSEPT12022.csv,ELACTL4L224,BLANK1
ELAFISH911.csv,MILLIQBLANKSEPT22022.csv,ELAFISH911,BLANK1
ELAFISH926.csv,MILLIQBLANKSEPT62022.csv,ELAFISH926,BLANK1
ELAFISH929.csv,MILLIQBLANKSEPT22022.csv,ELAFISH929,BLANK1
ELAFISH921.csv,MILLIQBLANKSEPT72022.csv,ELAFISH921,BLANK1
ELAFISH928.csv,MILLIQBLANKSEPT22022.csv,ELAFISH928,BLANK1
ELAFISH901.csv,MILLIQBLANKSEPT22022.csv,ELAFISH901,BLANK1
ELAFISH907.csv,MILLIQBLANKSEPT62022.csv,ELAFISH907,BLANK1
ELAFISH908.csv,MILLIQBLANKSEPT62022.csv,ELAFISH908,BLANK1
ELAFISH912.csv,MILLIQBLANKSEPT62022.csv,ELAFISH912,BLANK1
ELAFISH914.csv,MILLIQBLANKSEPT92022.csv,ELAFISH914,BLANK1
ELAFISH919.csv,MILLIQBLANKSEPT82022.csv,ELAFISH919,BLANK1
ELAFISH939.csv,MILLIQBLANKSEPT162022.csv,ELAFISH939,BLANK1
ELAFISH113.csv,MILLIQBLANKSEPT162022.csv,ELAFISH113,BLANK1
ELAFISH115.csv,MILLIQBLANKSEPT92022.csv,ELAFISH115,BLANK1
ELAFISH120.csv,MILLIQBLANKSEPT152022.csv,ELAFISH120,BLANK1
ELAFISH122.csv,MILLIQBLANKSEPT162022.csv,ELAFISH122,BLANK1
ELAFISH1001.csv,MILLIQBLANKSEPT122022.csv,ELAFISH1001,BLANK1
ELAFISH1002.csv,MILLIQBLANKSEPT92022.csv,ELAFISH1002,BLANK1
ELAFISH1005.csv,MILLIQBLANKSEPT122022.csv,ELAFISH1005,BLANK1
ELAFISH1007.csv,MILLIQBLANKSEPT132022.csv,ELAFISH1007,BLANK1
ELAFISH1008.csv,MILLIQBLANKSEPT132022.csv,ELAFISH1008,BLANK1
ELAFISH109.csv,MILLIQBLANKSEPT92022.csv,ELAFISH109,BLANK2
ELAFISH930.csv,MILLIQBLANKSEPT152022.csv,ELAFISH930,BLANK2
ELAFISH903.csv,MILLIQBLANKSEPT232022.csv,ELAFISH903,BLANK2
ELAFISH1010.csv,MILLIQBLANKSEPT82022.csv,ELAFISH1010,BLANK2
ELAFISH105.csv,MILLIQBLANKSEPT152022.csv,ELAFISH105,BLANK2
ELAFISH913.csv,MILLIQBLANKSEPT152022.csv,ELAFISH913,BLANK2
ELAFISH909.csv,MILLIQBLANKSEPT82022.csv,ELAFISH909,BLANK2
ELACTL2L222224.csv,MILLIQBLANKSEPT72022.csv,ELACTL2L222224,BLANK2
ELAFISH948.csv,MILLIQBLANKSEPT72022.csv,ELAFISH948,BLANK2
ELAFISH944.csv,MILLIQBLANKSEPT152022.csv,ELAFISH944,BLANK2
ELACTL1L239.csv,MILLIQBLANKSEPT82022.csv,ELACTL1L239,BLANK2
ELACTL2L239.csv,MILLIQBLANKSEPT122022.csv,ELACTL2L239,BLANK2
ELAFISH905.csv,MILLIQBLANKSEPT122022.csv,ELAFISH905,BLANK3
ELAFISH923.csv,MILLIQBLANKSEPT122022.csv,ELAFISH923,BLANK3
ELAFISH110.csv,MILLIQBLANKSEPT82022.csv,ELAFISH110,BLANK3
ELAFISH104.csv,MILLIQBLANKSEPT122022.csv,ELAFISH104,BLANK3
ELAFISH937.csv,MILLIQBLANKSEPT72022.csv,ELAFISH937,BLANK3
ELAFISH121.csv,MILLIQBLANKSEPT72022.csv,ELAFISH121,BLANK3
ELAPREFILTER1.csv,MILLIQBLANKSEPT232022.csv,ELAPREFILTER1,BLANK3
ELAFISH915.csv,MILLIQBLANKSEPT122022.csv,ELAFISH915,BLANK3
ELAFISH946.csv,MILLIQBLANKSEPT192022.csv,ELAFISH946,BLANK4
ELAFISH1004.csv,MILLIQBLANKSEPT222022.csv,ELAFISH1004,BLANK4
ELAFISH949.csv,MILLIQBLANKSEPT202022.csv,ELAFISH949,BLANK4
ELAFISH1015.csv,MILLIQBLANKSEPT222022.csv,ELAFISH1015,BLANK4
ELAFISH932.csv,MILLIQBLANKSEPT232022.csv,ELAFISH932,BLANK4
ELAFISH922.csv,MILLIQBLANKSEPT202022.csv,ELAFISH922,BLANK4
ELAFISH1011.csv,MILLIQBLANKSEPT82022.csv,ELAFISH1011,BLANK4
ELAFISH947.csv,MILLIQBLANKSEPT192022.csv,ELAFISH947,BLANK4
ELAFISH931.csv,MILLIQBLANKSEPT202022.csv,ELAFISH931,BLANK5
ELAFISH1009.csv,MILLIQBLANKSEPT222022.csv,ELAFISH1009,BLANK5
ELAFISH902.csv,MILLIQBLANKSEPT222022.csv,ELAFISH902,BLANK5
ELAFISH1006.csv,MILLIQBLANKSEPT232022.csv,ELAFISH1006,BLANK5
ELAFISH116.csv,MILLIQBLANKSEPT202022.csv,ELAFISH116,BLANK5
ELAFISH933.csv,MILLIQBLANKSEPT202022.csv,ELAFISH933,BLANK5
ELACTL1L222224.csv,MILLIQBLANKSEPT132022.csv,ELACTL1L222224,BLANK5
ELAFISH941.csv,MILLIQBLANKSEPT152022.csv,ELAFISH941,BLANK5
ELAFISH920.csv,MILLIQBLANKSEPT82022.csv,ELAFISH920,BLANK5
ELAFISH945.csv,MILLIQBLANKSEPT192022.csv,ELAFISH945,BLANK5
ELAFISH938.csv,MILLIQBLANKSEPT162022.csv,ELAFISH938,BLANK5
ELAFISH935.csv,MILLIQBLANKSEPT162022.csv,ELAFISH935,BLANK5
ELAFISH1003.csv,MILLIQBLANKSEPT192022.csv,ELAFISH1003,BLANK5
ELAFISH934.csv,MILLIQBLANKSEPT232022.csv,ELAFISH934,BLANK5
ELAFISH943.csv,MILLIQBLANKSEPT222022.csv,ELAFISH943,BLANK5
ELAFISH1014.csv,MILLIQBLANKSEPT132022.csv,ELAFISH1014,BLANK5
ELAFISH936.csv,MILLIQBLANKSEPT232022.csv,ELAFISH936,BLANK5
ELAFISH111.csv,MILLIQBLANKSEPT132022.csv,ELAFISH111,BLANK5
ELAFISH904.csv,MILLIQBLANKSEPT132022.csv,ELAFISH904,BLANK5
ELAFISH918.csv,MILLIQBLANKSEPT232022.csv,ELAFISH918,BLANK5
ELAFISH114.csv,MILLIQBLANKSEPT222022.csv,ELAFISH114,BLANK5
ELAFISH119.csv,MILLIQBLANKSEPT222022.csv,ELAFISH119,BLANK5
ELAFISH917.csv,MILLIQBLANKSEPT132022.csv,ELAFISH917,BLANK5
ELAFISH910.csv,MILLIQBLANKSEPT192022.csv,ELAFISH910,BLANK5
ELAFISH940.csv,MILLIQBLANKSEPT192022.csv,ELAFISH940,BLANK5
ELAFISH942.csv,MILLIQBLANKSEPT82022.csv,ELAFISH942,BLANK5
