Wavelength (nm),Intensity (a.u.),Z Axis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ELA_CTL3-L224_EM_270.00,ELA_CTL3-L224_EM_272.00,ELA_CTL3-L224_EM_274.00,ELA_CTL3-L224_EM_276.00,ELA_CTL3-L224_EM_278.00,ELA_CTL3-L224_EM_280.00,ELA_CTL3-L224_EM_282.00,ELA_CTL3-L224_EM_284.00,ELA_CTL3-L224_EM_286.00,ELA_CTL3-L224_EM_288.00,ELA_CTL3-L224_EM_290.00,ELA_CTL3-L224_EM_292.00,ELA_CTL3-L224_EM_294.00,ELA_CTL3-L224_EM_296.00,ELA_CTL3-L224_EM_298.00,ELA_CTL3-L224_EM_300.00,ELA_CTL3-L224_EM_302.00,ELA_CTL3-L224_EM_304.00,ELA_CTL3-L224_EM_306.00,ELA_CTL3-L224_EM_308.00,ELA_CTL3-L224_EM_310.00,ELA_CTL3-L224_EM_312.00,ELA_CTL3-L224_EM_314.00,ELA_CTL3-L224_EM_316.00,ELA_CTL3-L224_EM_318.00,ELA_CTL3-L224_EM_320.00,ELA_CTL3-L224_EM_322.00,ELA_CTL3-L224_EM_324.00,ELA_CTL3-L224_EM_326.00,ELA_CTL3-L224_EM_328.00,ELA_CTL3-L224_EM_330.00,ELA_CTL3-L224_EM_332.00,ELA_CTL3-L224_EM_334.00,ELA_CTL3-L224_EM_336.00,ELA_CTL3-L224_EM_338.00,ELA_CTL3-L224_EM_340.00,ELA_CTL3-L224_EM_342.00,ELA_CTL3-L224_EM_344.00,ELA_CTL3-L224_EM_346.00,ELA_CTL3-L224_EM_348.00,ELA_CTL3-L224_EM_350.00,ELA_CTL3-L224_EM_352.00,ELA_CTL3-L224_EM_354.00,ELA_CTL3-L224_EM_356.00,ELA_CTL3-L224_EM_358.00,ELA_CTL3-L224_EM_360.00,ELA_CTL3-L224_EM_362.00,ELA_CTL3-L224_EM_364.00,ELA_CTL3-L224_EM_366.00,ELA_CTL3-L224_EM_368.00,ELA_CTL3-L224_EM_370.00,ELA_CTL3-L224_EM_372.00,ELA_CTL3-L224_EM_374.00,ELA_CTL3-L224_EM_376.00,ELA_CTL3-L224_EM_378.00,ELA_CTL3-L224_EM_380.00,ELA_CTL3-L224_EM_382.00,ELA_CTL3-L224_EM_384.00,ELA_CTL3-L224_EM_386.00,ELA_CTL3-L224_EM_388.00,ELA_CTL3-L224_EM_390.00,ELA_CTL3-L224_EM_392.00,ELA_CTL3-L224_EM_394.00,ELA_CTL3-L224_EM_396.00,ELA_CTL3-L224_EM_398.00,ELA_CTL3-L224_EM_400.00,ELA_CTL3-L224_EM_402.00,ELA_CTL3-L224_EM_404.00,ELA_CTL3-L224_EM_406.00,ELA_CTL3-L224_EM_408.00,ELA_CTL3-L224_EM_410.00,ELA_CTL3-L224_EM_412.00,ELA_CTL3-L224_EM_414.00,ELA_CTL3-L224_EM_416.00,ELA_CTL3-L224_EM_418.00,ELA_CTL3-L224_EM_420.00,ELA_CTL3-L224_EM_422.00,ELA_CTL3-L224_EM_424.00,ELA_CTL3-L224_EM_426.00,ELA_CTL3-L224_EM_428.00,ELA_CTL3-L224_EM_430.00,ELA_CTL3-L224_EM_432.00,ELA_CTL3-L224_EM_434.00,ELA_CTL3-L224_EM_436.00,ELA_CTL3-L224_EM_438.00,ELA_CTL3-L224_EM_440.00,ELA_CTL3-L224_EM_442.00,ELA_CTL3-L224_EM_444.00,ELA_CTL3-L224_EM_446.00,ELA_CTL3-L224_EM_448.00,ELA_CTL3-L224_EM_450.00,ELA_CTL3-L224_EM_452.00,ELA_CTL3-L224_EM_454.00,ELA_CTL3-L224_EM_456.00,ELA_CTL3-L224_EM_458.00,ELA_CTL3-L224_EM_460.00,ELA_CTL3-L224_EM_462.00,ELA_CTL3-L224_EM_464.00,ELA_CTL3-L224_EM_466.00,ELA_CTL3-L224_EM_468.00,ELA_CTL3-L224_EM_470.00,ELA_CTL3-L224_EM_472.00,ELA_CTL3-L224_EM_474.00,ELA_CTL3-L224_EM_476.00,ELA_CTL3-L224_EM_478.00,ELA_CTL3-L224_EM_480.00,ELA_CTL3-L224_EM_482.00,ELA_CTL3-L224_EM_484.00,ELA_CTL3-L224_EM_486.00,ELA_CTL3-L224_EM_488.00,ELA_CTL3-L224_EM_490.00,ELA_CTL3-L224_EM_492.00,ELA_CTL3-L224_EM_494.00,ELA_CTL3-L224_EM_496.00,ELA_CTL3-L224_EM_498.00,ELA_CTL3-L224_EM_500.00,ELA_CTL3-L224_EM_502.00,ELA_CTL3-L224_EM_504.00,ELA_CTL3-L224_EM_506.00,ELA_CTL3-L224_EM_508.00,ELA_CTL3-L224_EM_510.00,ELA_CTL3-L224_EM_512.00,ELA_CTL3-L224_EM_514.00,ELA_CTL3-L224_EM_516.00,ELA_CTL3-L224_EM_518.00,ELA_CTL3-L224_EM_520.00,ELA_CTL3-L224_EM_522.00,ELA_CTL3-L224_EM_524.00,ELA_CTL3-L224_EM_526.00,ELA_CTL3-L224_EM_528.00,ELA_CTL3-L224_EM_530.00,ELA_CTL3-L224_EM_532.00,ELA_CTL3-L224_EM_534.00,ELA_CTL3-L224_EM_536.00,ELA_CTL3-L224_EM_538.00,ELA_CTL3-L224_EM_540.00,ELA_CTL3-L224_EM_542.00,ELA_CTL3-L224_EM_544.00,ELA_CTL3-L224_EM_546.00,ELA_CTL3-L224_EM_548.00,ELA_CTL3-L224_EM_550.00,ELA_CTL3-L224_EM_552.00,ELA_CTL3-L224_EM_554.00,ELA_CTL3-L224_EM_556.00,ELA_CTL3-L224_EM_558.00,ELA_CTL3-L224_EM_560.00,ELA_CTL3-L224_EM_562.00,ELA_CTL3-L224_EM_564.00,ELA_CTL3-L224_EM_566.00,ELA_CTL3-L224_EM_568.00,ELA_CTL3-L224_EM_570.00,ELA_CTL3-L224_EM_572.00,ELA_CTL3-L224_EM_574.00,ELA_CTL3-L224_EM_576.00,ELA_CTL3-L224_EM_578.00,ELA_CTL3-L224_EM_580.00,ELA_CTL3-L224_EM_582.00,ELA_CTL3-L224_EM_584.00,ELA_CTL3-L224_EM_586.00,ELA_CTL3-L224_EM_588.00,ELA_CTL3-L224_EM_590.00,ELA_CTL3-L224_EM_592.00,ELA_CTL3-L224_EM_594.00,ELA_CTL3-L224_EM_596.00,ELA_CTL3-L224_EM_598.00,ELA_CTL3-L224_EM_600.00
,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166
230,0.828678548,0.788390696,1.326925635,1.601687074,1.684195638,1.501526237,1.838056922,2.391566515,3.583950996,4.344324589,5.671592712,6.698483467,8.312969208,9.201643944,10.42169189,11.10096836,12.01495934,12.82583904,13.57928371,14.6059351,15.3171711,15.68859577,14.70655155,15.43168068,15.69602776,16.0192585,15.89740944,17.68434334,16.78664398,18.61099625,17.83013916,18.37640762,20.35662651,20.11238098,21.28557396,20.75031662,21.09149742,21.60339355,21.9610157,22.6429863,22.71644592,23.1444912,22.96082306,24.11770248,25.21030807,26.44913483,26.19111252,28.04926682,28.7639122,30.08031654,31.92043877,32.18616867,33.76021576,35.02936554,35.85066986,38.7170639,43.01205826,42.77070618,42.98802948,47.47475052,43.22502136,44.32355499,47.73617935,50.58350372,53.71264648,54.66807175,58.03874207,58.64268494,60.73373413,61.61569977,64.14205933,64.53768158,66.68922424,67.72724152,67.90085602,68.94754028,69.20391846,69.45259094,69.556427,70.44722748,69.70101929,67.27850342,68.39546204,65.78671265,67.04945374,65.04640961,64.47515106,64.08282471,62.82759857,63.14480591,61.37567139,59.55311966,60.21153259,60.04463196,58.04494476,54.58557129,52.86005402,52.60548401,51.93205261,51.54721832,50.87681198,49.32103729,48.99694824,47.66049194,45.79414368,44.37609482,43.48088455,43.52705002,40.83402252,40.66928101,38.95479202,38.50367355,37.92155838,36.41532135,36.40861511,33.52553558,32.51744461,31.29981995,30.66975594,30.12377548,28.58934593,28.26924706,27.09639931,24.1934967,24.89549065,23.78103447,23.227314,21.37603569,21.32383728,20.60002899,19.26716614,19.44829369,18.59340477,18.16613388,15.99618435,15.74105453,15.57706165,14.61135674,14.46471977,14.13115692,13.17569733,12.97298431,11.87423897,10.93447208,10.96582699,10.37346363,9.518286705,9.364507675,9.257874489,8.934412003,7.930887699,7.725623608,7.341429234,7.563993454,7.403588295,6.65420866,6.489415646,5.761035919,5.623849392,5.774400711,5.046792984,4.611420631,4.53140831,4.214102268,4.077778816,4.182175636
235,0.959926426,0.720572472,1.090646863,1.183794379,0.953825235,0.858355105,1.450537562,1.316120148,1.606045246,2.176426172,2.751935005,3.402482033,4.085765839,5.005698204,5.768072605,6.843709946,7.300501823,7.630960941,8.214104652,9.02085495,9.665201187,10.07158947,10.12310982,9.583926201,10.21637726,10.93409157,10.64616966,11.5690136,11.49130821,11.5915184,12.06507587,12.09349346,13.50644684,13.26476765,13.93813896,15.05434799,14.81174183,14.44303226,16.32786179,16.5362587,16.99689293,17.39002228,18.05759048,18.53215981,19.26579857,19.85069275,21.7783947,22.62307167,23.70264244,24.69078445,26.4394207,27.27766991,28.83904457,30.89858818,32.90626526,33.26065063,35.8391304,37.61701584,40.00806808,41.7821579,36.92237473,40.38099289,42.91255188,46.05906296,46.23949814,50.09654236,51.55025864,53.63605499,55.2160759,54.96273041,58.01446152,59.00443649,60.34711456,60.75283813,62.15189743,64.10726166,64.81545258,61.51015091,62.8741188,60.95723724,63.99319839,61.81354141,61.01773453,58.87740326,58.73167419,59.47729492,57.13264084,58.6100235,58.93641663,57.36367035,56.76937103,54.51000977,54.65297318,52.94637299,54.23726273,48.80274582,49.22973633,48.69738007,49.26768494,47.16202927,46.91376495,45.77220917,44.72988129,42.91693115,43.49255753,41.09603119,41.08386612,40.72130966,38.48466873,36.97298813,38.08239746,35.73400497,32.90665436,33.71879959,32.38735199,31.8072052,29.80272865,29.90748405,27.51117897,27.12512016,26.94129944,25.30892754,25.1674366,23.98060226,23.60105705,22.98488235,21.17270088,20.02496338,19.93862915,19.77220535,18.76947403,19.02079201,16.27816582,16.22128105,15.05365658,14.43970108,14.39694881,14.26241875,12.80617619,12.73631096,12.44933319,11.51900005,11.39971638,10.59030533,9.922369957,9.495461464,9.163201332,9.218766212,8.261404991,8.483781815,7.317583084,6.870296478,7.229160309,6.258341789,5.998111725,6.21405983,6.007065296,5.501744747,5.366595745,5.017757416,4.891680717,4.522859573,4.148645878,4.280407906,4.29675293,3.908175945
240,2.042333126,1.195189238,1.080746174,0.789664149,0.550894618,0.474872112,0.654433846,0.805766761,1.030464053,1.461575747,1.189043045,2.008005381,2.386697531,3.028218269,3.374793768,3.828666449,4.809717655,5.060373783,5.670949936,5.198897362,6.352135181,5.792819023,7.13577652,6.414359093,7.225525379,7.141920567,7.165074348,7.134739876,8.612716675,8.920535088,8.876159668,8.452648163,8.946001053,8.810801506,9.3070755,9.774909973,10.6903429,11.03686237,11.8374691,12.40337753,12.73930168,13.32215309,14.4825592,13.74705791,16.06406403,16.64294243,17.65852547,18.50732422,19.04129219,21.40493393,22.41886902,22.88770485,24.74385262,27.47894287,27.73026657,29.94037437,31.77999878,33.52368546,35.27734375,36.3584404,33.9388237,36.77842331,37.72773361,41.01948166,41.36701584,43.11155319,45.36526489,48.51305771,48.04813766,50.8706665,51.03094101,52.77986145,54.33848572,52.83742142,54.98143387,55.06373978,57.55382156,56.31237411,57.6742363,57.80758667,56.46367264,56.49202728,56.0963707,54.40810013,54.1930542,53.57014084,55.05669022,53.13076782,53.78409576,52.20503235,51.38538742,52.15816498,50.56159973,50.3147316,48.57152939,47.48437881,46.8204689,45.00219345,44.67462921,44.10496902,43.55134964,42.61733627,42.62561798,41.77685928,40.06810379,39.71913147,38.53927612,38.00131607,36.14323044,35.69868469,35.97829056,32.96876144,33.1310997,32.38171768,30.48070335,31.08044624,29.18408394,28.83861732,28.05194664,26.49653053,25.83051872,24.74691963,24.82443428,22.98589325,22.13024902,21.96154594,20.75641823,20.26274681,19.4527607,18.9639473,17.61449623,17.53699493,16.63897896,16.23051834,15.28218651,14.79319954,13.8927803,13.09398174,13.27523613,12.27982998,11.9493494,11.60957432,11.0666647,9.800045967,10.32462788,9.258914948,9.176699638,9.223931313,8.548294067,7.658244133,7.733223438,7.069543839,7.053470612,6.355588913,6.158263683,5.638250351,5.302576065,5.324696541,4.995567322,4.979095936,4.484104156,4.604748249,4.157372475,3.737556219,3.729306459,3.929529428
245,14.14272594,9.629137993,4.67277813,2.00250721,1.062695384,0.675053418,0.707243145,0.805086136,0.876372695,0.761919916,1.291690946,1.668828368,2.247678757,3.001013756,3.331059933,3.17681551,3.793063641,4.152189732,4.476884842,5.008637428,5.272402287,5.666096687,5.76879549,5.9960289,6.280900955,6.461975574,6.612257957,6.591690063,7.080135822,6.864686012,7.017036915,7.121118069,7.432200909,8.103568077,7.79568243,8.701895714,8.999741554,8.881275177,9.873044968,10.33180904,10.58627796,11.15696049,12.1382246,12.56434536,13.73627758,14.45209408,15.12255859,16.43558502,17.40798759,18.4527607,20.02968597,21.26324463,22.74778175,23.7562542,25.07543755,27.03526115,28.5098362,29.96209526,31.11922455,33.17008591,31.72906685,33.29945374,34.66788864,36.64139175,38.41382217,39.44964218,41.10190201,42.59486008,44.95930099,46.19289398,47.62540054,47.84399414,49.08411407,50.11185074,50.81274033,52.42287827,52.74180984,51.94419098,53.45077896,52.74888229,52.75429535,52.94662094,51.54669952,51.25074005,50.79569244,51.93564606,50.36118317,49.96223831,50.21914291,48.96848297,48.8940506,48.13373947,48.38179398,47.02139664,47.16086578,42.98555374,43.86141968,43.43664551,42.90047455,42.80778885,42.06610489,41.06402588,40.96497345,39.66993713,38.79686737,37.77713776,37.39851379,36.734272,35.49287796,34.66539001,34.02599716,33.49961472,31.4049263,30.89674759,30.09080505,28.54738808,29.08062363,28.15865898,25.94922829,26.15920258,25.44900322,24.51574707,23.44317055,22.88218117,21.74533272,20.8879776,19.9965992,19.66372681,18.85482025,18.11764145,17.54972267,16.80892944,16.17702293,15.09339333,15.38443565,14.5628767,14.08772278,13.69077492,12.91682148,12.26110363,11.73932362,11.68585873,10.51053238,10.35676956,9.726520538,9.744123459,8.988661766,8.888744354,8.422932625,7.899209023,7.121946812,7.152680397,6.516376972,6.547356606,6.038903236,5.738254547,5.515100479,5.525944233,5.09721899,5.02318716,4.566291809,4.215564728,4.07970047,4.0629673,3.873623848,3.392691612
250,10.97796917,16.2878933,17.24577713,13.0137043,7.691864967,2.741432905,1.553229213,1.105371594,1.134068727,1.273413539,1.316731215,1.896148801,2.37532711,2.720995665,3.1182549,3.598245621,3.966249466,4.041082382,4.720904827,5.225699902,5.509252548,5.674536705,5.886518955,5.439044952,6.166354179,5.703213692,6.28705883,6.428501606,6.645171165,7.022326946,6.495568752,6.921220303,7.549189091,7.597593784,7.522611618,8.207216263,8.255673409,8.840492249,8.86541748,9.133997917,9.804062843,10.28468609,11.0731554,11.51761723,12.0865984,12.76325798,13.65378952,14.96216202,15.88917828,17.19636917,18.28296661,18.37177277,20.22228432,21.94138718,23.18063736,24.06587601,25.42049599,26.30105972,28.73914528,30.35309219,28.28854179,28.94457436,31.39484215,32.52285767,34.59567261,35.69893646,38.08047867,38.86470413,40.53715134,41.58257675,42.36182022,44.37717438,44.60612488,45.1308403,45.76692581,47.29310989,47.80820465,49.28870773,47.84140778,48.66305542,47.86273956,49.17910767,48.96263123,48.18367386,47.61054993,47.49107361,47.11580276,47.61533356,47.21791458,45.98623657,46.26358795,46.35026932,45.5212059,45.6801033,44.50440598,40.88417435,40.89641571,41.10939789,40.24892044,40.28914642,39.87455368,38.95225143,38.47001266,38.74649048,37.08435822,36.55141068,35.54988098,34.35668182,34.06621552,32.50950241,32.55446243,31.79152107,30.40043259,30.1198864,28.47495079,27.62775421,27.49355125,26.96673965,25.16597176,24.34054756,23.79003334,23.88837814,22.43588638,21.48266602,21.57361794,20.19849968,19.71993446,18.81253815,18.48503685,17.57987976,16.82826614,16.84951973,15.36354923,15.7074213,14.81092834,14.51124287,13.82309437,13.5159626,12.65998268,12.00199223,11.4149437,10.79254818,10.5253334,10.16900826,9.720174789,9.186775208,9.093651772,8.530885696,7.79637289,7.369720459,7.285750866,6.506217003,6.644650936,6.465092659,5.758750439,5.544813156,5.586135864,5.353960514,5.316911221,4.989896774,4.31341362,4.43448782,4.069191933,3.831087112,3.887973309,3.738444328
255,1.725517511,1.905124784,4.110487461,8.909207344,13.99930763,13.00008106,11.10420895,7.344448566,4.254713535,3.162004232,2.157738924,2.60680747,3.381491661,3.869969368,4.270876408,4.193646431,4.819373131,4.778916836,4.879510403,5.536652088,5.650816441,6.035984039,5.95186758,6.792320251,6.459809303,6.661723137,5.760622025,6.810078621,7.054297447,6.649792194,6.822664738,7.285302639,6.9961133,7.567153454,7.238288879,8.22298336,8.23456955,8.336296082,8.262774467,9.560911179,9.718667984,10.3333168,10.5576334,11.62174988,11.81477833,12.37845516,12.74565125,13.60018158,14.67981148,14.83909893,16.19281578,16.65925598,18.50659943,18.60105705,19.48435402,21.51999664,21.64952087,23.49279213,24.98011208,26.11735916,24.88570595,26.11187363,27.9880619,29.355196,30.26768684,31.33958817,33.67904282,34.43889999,36.26769638,36.36617661,37.72023773,38.28753281,39.26824951,40.84149551,40.813797,42.37488937,43.06303406,43.34306335,43.24436188,44.90691376,43.66338348,43.82907867,43.93305588,43.18431091,42.89647293,43.52247238,42.35761261,43.46910477,42.7555275,42.43348312,42.04676056,42.94379044,41.04389954,42.32040405,41.44756317,38.18667984,38.38557434,39.23219299,37.13091278,37.7217865,38.19186401,36.85930252,36.15643311,35.09692001,35.29349518,33.31376648,34.14654541,32.23321533,32.41978455,32.12825394,30.53659058,29.79130745,29.57275581,29.20379257,28.0494194,26.75398445,26.82829285,24.97981071,25.15654373,23.69028282,22.94431877,22.82269669,22.37877846,20.49311829,20.67798233,20.05197334,19.066185,17.76388168,17.91933632,17.74765778,16.67018509,16.37090683,16.22941971,14.84968472,13.73007965,14.29679203,12.57592487,12.56723595,12.4746151,11.97028446,10.88634396,11.02240372,10.13887978,9.214265823,9.61046505,8.190078735,8.559467316,8.024003029,7.773061275,7.731864452,6.699628353,6.891452312,5.972871304,6.453227997,6.19822979,5.923839569,5.213103771,5.373957157,4.890339375,4.618255138,4.40626812,4.101858139,3.926393986,3.952047348,3.492139339,3.846812963
260,1.870576501,1.688199162,1.811924458,1.782765031,1.96946454,2.850871801,6.113533974,12.45158291,17.2563839,16.58008194,9.990850449,6.216416359,4.582952499,4.67261982,4.780930519,5.233845234,5.282578468,5.587939739,5.923293114,6.26145649,6.987980366,7.169222355,7.159899712,7.482647419,7.071555614,7.023808956,7.143250465,7.167165279,7.642996788,7.54137516,7.408759117,7.709681511,7.694574356,8.039306641,8.345077515,8.538865089,8.697208405,8.851955414,9.030827522,9.183667183,9.742372513,9.977643967,10.05734253,10.63403416,11.21932888,11.87354755,12.21506405,13.27816772,13.63550091,14.79734325,15.93029404,16.12322044,17.22207642,18.07441902,18.95290756,19.81740761,21.12800789,21.95300674,22.65434456,24.21023178,23.2434063,24.40393257,24.22926521,26.28591347,26.98915291,29.12983322,30.00889778,31.02705765,32.54800415,33.64733887,34.89677811,35.0451622,36.78488541,37.85234833,38.65654755,38.75195694,38.8073349,40.41432953,40.7747612,41.89218521,40.28846359,41.46424484,40.83502579,40.80866623,40.7659111,40.98251724,40.59393311,41.20824432,39.66589355,40.9562912,41.25299835,41.0949707,40.69196701,39.81922913,40.34248734,37.9756012,36.69218445,37.21232605,37.58307648,36.67062378,35.97043991,35.72535706,36.00959015,34.61000443,33.54030991,33.2156868,32.89609528,33.20757294,32.75521088,30.51635933,29.67736435,30.04027557,28.78483582,28.55981445,27.71635628,26.62732506,26.83778763,25.61967087,23.88997459,23.80385208,23.12179184,22.77961922,21.99353409,21.07988739,20.44216537,19.95509338,19.49897385,18.54678917,17.7145977,16.65915489,16.67715645,16.51540756,15.69148445,14.97225952,14.49975109,13.63247681,13.44199753,12.9528265,12.52151299,11.49218178,11.10264969,10.58971119,10.62200546,9.812581062,9.577965736,9.239295006,8.702843666,8.595394135,8.023126602,7.638901711,6.690357685,6.680015564,6.281493664,6.294340134,6.535417557,5.437399864,5.493542671,5.282962322,4.742884636,4.823338032,4.331058502,4.296291351,4.544223785,4.180918694,3.840417147,3.77558732
265,19.44027138,6.7347188,2.776623726,1.661535263,1.715762734,1.588070869,1.659336805,2.734686136,5.525360107,10.2712431,14.62451267,15.88346386,14.49048424,11.21469402,8.328701973,6.538828373,6.339085579,6.715082645,6.834983349,6.849383831,7.111053467,7.456931591,7.271953106,7.546280384,7.142585754,7.087526321,7.293186665,7.38847208,7.709027767,7.26785326,7.44054842,7.74084568,7.923825741,8.026025772,8.173661232,8.118964195,8.562164307,8.592148781,8.473715782,9.053842545,9.475085258,9.947468758,10.08514786,10.49340439,10.94070053,11.37686729,11.52125263,12.47800159,12.15284443,13.33451271,13.48284054,14.66607285,14.81278133,16.43520355,16.64876938,18.48126221,18.41188622,19.13480949,20.48691177,21.2207756,19.408741,21.06244469,21.53463554,22.99255371,24.08453178,25.03972626,26.0729332,27.28304482,27.61060524,28.72232437,30.06152344,30.74456978,31.01829147,32.43050385,32.7517395,32.94481659,34.43647385,34.11306381,35.2444725,34.95666504,35.44010162,35.48863602,35.97631454,35.8024025,36.71985245,35.29236984,34.40213394,34.91371155,35.52739334,36.26600266,35.60292053,34.95127106,34.78136826,35.41017151,34.71759415,31.81374931,32.81074524,32.71138763,32.6738739,32.73633194,32.11193085,31.58351517,31.50841713,31.26877785,30.09244728,29.80706787,29.25177383,28.73393631,28.39118195,27.33402824,26.89728737,25.68329048,26.17432213,24.59195518,24.86768532,23.60930443,23.90846825,22.55272293,22.34789467,21.83144951,20.45398712,20.35586548,19.87025261,18.93847275,18.67702675,18.0446682,17.34414864,16.4749012,15.64640999,15.32792759,14.7630291,14.25945091,13.63226128,12.8139267,12.49223709,12.32168293,12.13374329,11.39210796,11.38341999,10.97398186,10.01485062,9.329236031,9.261634827,9.379261971,8.408981323,8.270029068,8.505457878,7.333815575,7.395595551,7.226624966,6.396500587,6.259623528,5.854266644,5.695520878,5.256783009,4.891816139,4.624803066,4.881279469,4.526690006,4.18132782,4.230809212,4.178385258,3.979161024,3.388820171,3.477563381,3.515402794
270,83.77685547,77.65189362,49.34676361,16.2534523,4.543732643,2.048328876,1.970403552,2.372371912,2.720070362,3.253967047,4.396152496,6.725783825,11.18888569,16.66402245,19.65950012,19.09922791,14.92002773,10.40311909,8.581300735,8.131217003,8.148964882,8.460566521,8.472781181,8.583625793,8.309570313,8.02972126,8.37193203,8.484690666,7.80617094,8.174035072,8.331974983,8.281507492,8.421928406,8.610108376,8.620605469,8.397080421,9.088371277,8.784602165,9.693957329,9.239059448,9.416836739,9.908743858,10.11233807,10.19775772,10.46765518,10.98614883,11.6837225,11.51515198,12.31994057,13.15374279,13.09018517,14.0097332,14.58927155,15.69758987,16.22152519,16.91423035,17.50670624,18.39615631,18.89103889,19.08953667,17.70220184,19.83654594,20.55595398,20.91255188,21.53820801,22.67763519,23.72306824,24.07183075,25.34568214,26.23406792,28.10577202,28.29626274,27.65721512,28.59728241,29.72326088,29.4570694,30.60776138,31.66270065,30.9661026,31.73026276,31.59836578,31.37602806,32.03843307,31.78572845,30.92787361,32.91920471,32.09492874,31.41895485,31.9203968,32.82063293,31.39291954,31.83755875,31.73484421,32.23228073,32.26158524,29.64903831,29.59067345,30.05349922,28.96700668,29.55777168,28.45210266,28.22865295,28.43617058,27.95916748,26.99929237,27.63445854,26.85503387,26.76701355,25.74168968,25.04017448,24.79267883,25.14167213,23.57185936,22.91769028,22.39853287,21.9171505,22.17929077,20.77440262,20.34360313,19.79733086,19.27715874,18.94919777,18.58149529,17.82480621,17.37145233,16.5689888,16.44842529,15.48640442,14.91716194,14.17934418,13.96515846,13.92209244,13.15288639,12.70335674,12.28942299,11.67116165,11.37569618,10.96867085,10.28463936,10.07876492,9.948036194,9.372457504,9.199825287,8.530412674,8.030086517,7.819930077,7.55264616,7.53791523,6.63670826,6.649923801,5.891971111,6.057532787,5.875655651,5.20138979,4.854390621,5.000339031,4.904470444,4.37330389,4.315938473,4.14942503,4.124956608,3.888072729,3.570603609,3.332548141,3.646988869,3.096179724
