Wavelength (nm),Intensity (a.u.),Z Axis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1013_EM_270.00,1013_EM_272.00,1013_EM_274.00,1013_EM_276.00,1013_EM_278.00,1013_EM_280.00,1013_EM_282.00,1013_EM_284.00,1013_EM_286.00,1013_EM_288.00,1013_EM_290.00,1013_EM_292.00,1013_EM_294.00,1013_EM_296.00,1013_EM_298.00,1013_EM_300.00,1013_EM_302.00,1013_EM_304.00,1013_EM_306.00,1013_EM_308.00,1013_EM_310.00,1013_EM_312.00,1013_EM_314.00,1013_EM_316.00,1013_EM_318.00,1013_EM_320.00,1013_EM_322.00,1013_EM_324.00,1013_EM_326.00,1013_EM_328.00,1013_EM_330.00,1013_EM_332.00,1013_EM_334.00,1013_EM_336.00,1013_EM_338.00,1013_EM_340.00,1013_EM_342.00,1013_EM_344.00,1013_EM_346.00,1013_EM_348.00,1013_EM_350.00,1013_EM_352.00,1013_EM_354.00,1013_EM_356.00,1013_EM_358.00,1013_EM_360.00,1013_EM_362.00,1013_EM_364.00,1013_EM_366.00,1013_EM_368.00,1013_EM_370.00,1013_EM_372.00,1013_EM_374.00,1013_EM_376.00,1013_EM_378.00,1013_EM_380.00,1013_EM_382.00,1013_EM_384.00,1013_EM_386.00,1013_EM_388.00,1013_EM_390.00,1013_EM_392.00,1013_EM_394.00,1013_EM_396.00,1013_EM_398.00,1013_EM_400.00,1013_EM_402.00,1013_EM_404.00,1013_EM_406.00,1013_EM_408.00,1013_EM_410.00,1013_EM_412.00,1013_EM_414.00,1013_EM_416.00,1013_EM_418.00,1013_EM_420.00,1013_EM_422.00,1013_EM_424.00,1013_EM_426.00,1013_EM_428.00,1013_EM_430.00,1013_EM_432.00,1013_EM_434.00,1013_EM_436.00,1013_EM_438.00,1013_EM_440.00,1013_EM_442.00,1013_EM_444.00,1013_EM_446.00,1013_EM_448.00,1013_EM_450.00,1013_EM_452.00,1013_EM_454.00,1013_EM_456.00,1013_EM_458.00,1013_EM_460.00,1013_EM_462.00,1013_EM_464.00,1013_EM_466.00,1013_EM_468.00,1013_EM_470.00,1013_EM_472.00,1013_EM_474.00,1013_EM_476.00,1013_EM_478.00,1013_EM_480.00,1013_EM_482.00,1013_EM_484.00,1013_EM_486.00,1013_EM_488.00,1013_EM_490.00,1013_EM_492.00,1013_EM_494.00,1013_EM_496.00,1013_EM_498.00,1013_EM_500.00,1013_EM_502.00,1013_EM_504.00,1013_EM_506.00,1013_EM_508.00,1013_EM_510.00,1013_EM_512.00,1013_EM_514.00,1013_EM_516.00,1013_EM_518.00,1013_EM_520.00,1013_EM_522.00,1013_EM_524.00,1013_EM_526.00,1013_EM_528.00,1013_EM_530.00,1013_EM_532.00,1013_EM_534.00,1013_EM_536.00,1013_EM_538.00,1013_EM_540.00,1013_EM_542.00,1013_EM_544.00,1013_EM_546.00,1013_EM_548.00,1013_EM_550.00,1013_EM_552.00,1013_EM_554.00,1013_EM_556.00,1013_EM_558.00,1013_EM_560.00,1013_EM_562.00,1013_EM_564.00,1013_EM_566.00,1013_EM_568.00,1013_EM_570.00,1013_EM_572.00,1013_EM_574.00,1013_EM_576.00,1013_EM_578.00,1013_EM_580.00,1013_EM_582.00,1013_EM_584.00,1013_EM_586.00,1013_EM_588.00,1013_EM_590.00,1013_EM_592.00,1013_EM_594.00,1013_EM_596.00,1013_EM_598.00,1013_EM_600.00
,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166
230,0.724922776,0.788673818,1.388964057,1.559257627,2.280056715,2.033595562,2.370252371,3.064988852,3.786231279,4.841442108,6.840775967,7.39332819,9.214998245,10.54173756,11.65465832,13.08193111,14.66053867,15.83300018,16.03381157,18.3878746,18.7087326,19.42254066,19.3556118,20.11400986,20.94404221,20.92170715,23.39162827,24.03372002,25.17395592,25.46462822,25.68271828,25.75339508,27.13274956,26.99694061,28.67643166,28.76118469,29.99285126,30.6054821,29.91316605,30.63677597,30.11842918,30.60539436,31.49575806,30.89971161,32.27956009,31.82310295,33.74501038,33.39445496,33.49350357,33.51504898,34.23165131,35.37594986,36.97183609,37.90341568,38.84276199,41.04197311,41.24578476,42.56407928,45.74929428,45.67394257,41.37634659,44.09558105,44.69902039,47.13093948,49.01125717,50.81983566,52.94650269,56.56691742,54.18491745,57.48277283,58.70101166,60.4914856,59.69054031,62.34298325,62.43112183,62.89520264,62.77170944,62.35326385,63.98310089,63.04156876,64.13385773,63.09251785,62.64106369,60.48769379,60.2641449,60.68744278,60.23648834,58.56120682,57.7204895,59.01186752,57.04230118,55.91378784,56.87807846,54.91801071,53.77684784,50.12594986,49.35431671,49.02779007,48.30739594,46.95101929,47.58253098,45.16198349,44.98732376,45.69536972,42.64028931,41.67277908,40.63290405,39.70218277,39.16468048,38.02531052,36.86312485,34.00479507,35.10617447,34.3952713,32.69839859,31.09480476,31.03582954,29.11138344,27.93925095,27.65294456,26.86453819,26.32693672,25.1271019,23.99718857,22.9140892,22.22667885,21.52261162,20.41608429,20.05086136,18.64200974,18.8403492,18.30041885,16.29522514,15.98522854,16.33551788,14.41177654,14.58302879,13.37047577,13.3568058,12.38922882,12.05558014,12.28450012,10.78620052,10.70811176,10.33885574,9.89061451,9.593981743,8.571619034,8.102437973,8.657139778,7.899644852,6.81961441,6.803794384,7.015710831,6.488115311,6.442158222,5.700092793,5.181516647,5.920347691,5.173197746,4.8957901,4.331386089,4.020249844,3.994115353,3.965836763,4.075062275
235,1.026941419,0.886560738,0.615572214,0.926828861,1.311976671,1.158400059,1.147588134,1.755279422,2.431074142,2.399271727,3.467597723,4.083579063,5.116644382,5.969120026,6.305483818,7.88760376,9.060414314,9.629527092,10.41806221,10.96619415,11.63223743,12.24466515,13.02571201,13.4106636,13.72442722,13.49640656,14.34724712,13.76004601,15.82606792,16.2685585,16.306427,16.96455002,18.24253845,18.01852036,18.10678482,18.56355095,20.04494476,18.71208,20.12947464,21.07123566,20.94405746,21.16631508,21.62008286,22.45342636,23.5885067,24.26648712,25.65037346,24.81988335,25.74160385,26.47471428,27.47401619,28.77094078,30.66213608,30.37191963,32.81897354,32.32983398,35.85956955,35.72518539,37.6571312,38.78662109,35.27249527,37.11650848,40.99391556,41.39521408,43.98090363,44.07447815,46.86890411,48.68759537,49.20409775,50.1717453,51.96687698,53.47337341,54.79850388,53.62796402,55.18048477,58.90500259,55.60117722,56.67124939,58.12023926,55.81408691,57.11334991,56.29247284,56.39558411,53.1519928,55.08834839,54.30384445,52.22904587,54.13418579,52.44934082,52.605793,51.54914093,50.62837601,51.79515839,49.8696022,48.1817894,46.54920578,45.33395004,45.11697388,43.37558746,44.39453506,42.22613525,42.49049759,40.12695313,40.19973373,40.21182632,37.52222061,37.47644424,36.78341675,34.83337402,35.01594925,33.02800369,32.61750793,31.74313927,31.63905907,29.93169785,29.44586182,28.18106842,27.67917442,26.93377876,26.84817505,24.39917564,23.96484375,23.40139771,22.55136681,22.08729553,21.62360573,19.01524734,20.55414772,19.59565353,18.74287415,17.43410683,16.8201046,14.93064976,14.83974552,14.55575562,14.42107582,14.32478333,12.76385784,12.53728294,11.98447323,11.29505444,11.24326038,9.843021393,9.903883934,9.681394577,9.014657974,9.194965363,7.980050564,8.728343964,8.058261871,6.901330948,7.031778336,6.834972382,6.11012125,6.567011833,5.913205624,5.796662807,5.253453255,4.942141056,4.485063076,4.814546585,3.852240086,4.048033714,3.650714636,3.811999083,3.232492685
240,1.943289161,1.03002727,1.034031987,0.825922966,0.735077262,0.724968553,0.604098439,0.586605549,0.896799266,1.329348803,1.680454612,1.908808589,2.551016808,3.520657539,4.028888702,4.365529537,4.657456398,5.248270988,5.743484497,6.623942375,6.861423969,7.418106079,7.65072155,8.31204319,8.762209892,7.794695377,8.383980751,9.271356583,9.098701477,9.089941025,10.32702446,9.850441933,11.17979908,10.83785725,10.6328907,11.98820591,11.91926956,12.7598505,13.24942589,13.07516861,13.62242889,14.66502666,16.40292358,16.23436356,17.52313423,18.01753426,17.84673882,19.44154167,19.98861122,20.64956284,21.86574936,23.88897133,24.45117188,25.76675034,27.88691902,28.61056137,32.11138916,32.5403862,32.75466156,34.96221542,30.06891632,33.3884201,34.68226624,36.35477066,38.83550644,40.16784668,42.16072083,43.56766891,45.55949783,44.98083115,45.96681976,48.32137299,48.34136581,49.29281998,51.04236984,50.73868179,51.40789795,51.96446228,51.83919907,50.78967667,51.99702454,51.68060303,50.90346146,50.36233521,50.20477295,49.42740631,48.54508972,49.30340958,47.89090347,49.06367111,48.8362236,49.15767288,47.19379425,47.14891815,47.95573807,43.29921341,42.44776917,42.95821762,41.09784317,41.36191177,40.84026337,38.96342087,39.54556656,38.54516983,37.64361572,36.69833755,36.07116699,33.97641754,33.30800629,33.050457,32.61684418,31.62488747,30.7410202,31.21380234,28.47631454,28.03261757,27.86686134,27.02503204,25.1888485,25.60606956,23.7582283,22.70273018,22.09759331,21.88769531,21.39859962,19.72034836,19.12886047,18.74607658,17.98031425,17.88146019,16.39452744,17.23783875,15.87773037,14.44868088,14.18026066,14.40740681,13.53787136,13.08868599,12.52910709,11.76482105,12.13210106,11.41540527,10.15738964,9.916954994,9.042490959,8.699087143,8.741825104,8.370952606,7.915655136,7.82802248,6.455436707,6.3355093,6.342383385,5.99138546,6.250134945,5.598605156,5.427306652,4.974865437,4.854757786,4.486540794,4.082679749,3.942538023,4.159101486,3.760645151,4.170809746,3.779722929
245,14.42300129,9.752356529,4.867815018,2.013855457,1.053419948,0.611113608,0.617532253,0.557234347,0.90962863,0.986601353,1.088157415,1.658790231,1.97944808,2.691555023,3.109152794,3.664925575,4.030960083,4.39978981,4.874599934,5.350548744,5.999103069,6.264025211,6.4301548,6.754065514,6.887122631,6.673734665,7.211444855,7.515724182,8.013676643,8.072787285,8.746418953,8.520562172,8.752381325,9.221449852,9.309085846,9.914079666,9.955730438,10.3937664,10.93354988,11.17616081,11.98579597,12.26148224,12.52720165,13.85353565,14.84990883,15.222435,16.23754692,16.42536736,17.87755013,18.70822906,19.94595718,22.00318336,21.74617386,23.77782249,23.73315048,25.8426342,27.84018898,28.12496376,28.72106934,31.47755623,28.53613091,30.85607147,32.23959732,33.6183815,35.10853958,36.23825455,37.71350861,39.80397415,40.05593491,41.38792801,42.45942688,43.49642563,44.30567169,45.39974594,46.91096115,46.62971878,47.54196167,48.44414902,47.35665131,47.9677887,47.50384903,47.54456329,46.78077698,47.92202377,47.06130981,47.52783966,46.4342804,46.34939575,45.58296967,45.60221481,45.79213715,45.44033432,45.34614944,45.70054245,43.86574173,40.48166656,39.33125305,40.59434891,40.62155151,39.27881622,39.69978333,38.53140259,37.54337692,37.36014557,35.4155159,34.44198608,34.90778351,33.2733345,32.20288849,32.41266251,30.99999237,30.89745522,29.7315731,28.34559822,28.18577576,27.25495911,26.161726,25.78616142,24.49659538,24.01589966,22.41800308,22.28853035,21.51066399,21.33534431,20.98543167,18.88572121,19.20474434,17.90045357,17.89738274,16.80534363,16.14715195,16.01617432,15.62131691,14.74523544,14.43531322,13.24302197,12.95180035,12.32189465,11.84330368,11.62996292,10.99171352,10.65753365,10.02307415,9.66196537,9.260188103,8.822161674,8.322232246,8.119657516,7.835821152,7.635667324,6.83328104,6.714445591,6.176182747,5.84628582,5.574278831,5.551371574,5.534187317,5.216189384,4.841524601,4.724238873,4.495377541,4.380814552,4.124893665,3.731672525,3.662542582,3.58453083
250,10.67045879,17.05294609,17.88985825,13.44637966,7.917066097,2.648612738,1.462426186,0.93433696,0.956275582,1.035656214,1.286249161,1.569455504,2.387594938,2.756429672,3.185927391,3.739164829,3.960099459,4.526595592,4.670648098,5.439294338,5.967165947,5.760962486,6.887144089,6.132077694,7.160542488,6.78835535,7.219448566,7.380063057,7.509887218,7.601982117,8.125053406,8.16675663,8.20985508,8.663908958,9.021392822,9.538764954,9.503767014,9.813577652,9.970848083,10.67667961,10.78735733,11.73924541,11.83643913,12.33082771,13.21951103,13.86433411,14.2492342,15.52606201,16.2772522,16.86635208,18.48434639,18.83942986,20.35380745,21.66473198,22.47747612,23.08118439,25.02213097,25.87656784,27.23601151,28.25593567,27.04482651,27.72656822,29.24558258,31.41748238,31.77006721,33.74593735,34.44237518,36.58679962,36.83058167,38.47178268,38.9530983,40.26939392,40.76332474,41.21352005,43.12447357,45.06523132,44.98981476,44.77157974,44.4774437,46.31799698,45.22750473,45.27403259,45.12295532,44.53435516,43.81024551,43.71311188,43.57560349,43.50829697,43.06613541,42.74720764,42.77750397,42.09521866,43.28241348,41.68482208,41.46032333,38.26557159,38.21932983,37.91116333,37.60782623,37.06128693,36.94087219,35.49113464,34.7927475,35.91324615,34.83992386,33.78726196,33.09880066,32.15211487,30.55212593,31.97185707,29.53334427,28.45737648,28.04811287,26.94924927,26.9283886,26.66968536,25.80402946,24.602108,24.66132355,23.40133095,22.67087936,21.83521843,21.10969925,20.36140633,19.06582069,18.89950752,18.87188148,17.97015953,17.31802177,16.17663574,15.96176338,15.1167469,14.64224148,14.48930359,13.8996706,13.36534786,13.24707603,12.13090038,12.15104485,11.82304764,11.03275204,10.43674088,9.939348221,9.739947319,8.715957642,8.999733925,8.39061451,7.912029266,7.818466187,7.385606766,6.699635983,5.978129864,6.378987312,5.764696121,5.909240723,5.648110867,5.043068409,5.071815014,4.698355198,4.729459286,4.388622284,4.202231407,4.070824146,3.72241807,3.796188354,3.669234514
255,1.606106877,2.126139641,4.000349998,9.171439171,14.30885696,13.20401382,11.24767113,7.466573238,3.812671661,2.344103813,2.132664919,2.236690521,2.717585564,2.928460121,3.789804935,4.496695518,4.274159431,4.726200104,5.074090004,6.15209341,6.082805157,6.509311676,6.838633537,6.700459957,6.907342434,7.098288059,7.62967205,7.746344566,8.130962372,8.563196182,7.925492764,8.52337265,8.873931885,8.897648811,9.181410789,9.564810753,10.28937912,9.899643898,10.95271301,10.43958855,10.56912804,12.13597584,12.30720806,12.18559265,12.62757778,13.14402294,13.71906281,14.90596485,15.75741291,16.18811035,16.62298965,18.76527596,18.32925606,19.46410942,19.85960579,21.41611481,23.51008415,23.26465797,25.74152374,25.36652374,23.67289162,23.73921967,25.43957901,27.09197998,28.45053291,30.18198204,31.24059105,32.32276154,33.13991165,34.54683304,36.21636963,36.00073242,37.57090378,37.98547363,38.14378357,39.06654358,41.11095047,41.70829391,41.37547302,41.08936691,41.08258057,41.73920059,41.66742325,39.7105217,40.48600388,39.34247208,39.37105179,40.4464798,40.15707779,39.79301453,39.4846344,38.94730377,39.548069,39.40449905,39.34844971,35.09217453,35.53408432,35.36116409,35.52326202,35.38672638,35.14570618,35.40035248,33.62470627,32.99725342,32.92093658,33.05350876,31.33813095,31.83574677,30.82222748,30.07771873,28.05648232,28.35226631,27.03822327,26.31675339,25.97293854,25.6068325,24.1944809,22.97380447,23.33649445,22.86154175,21.95695877,21.60752869,20.01802254,20.20067978,19.22891045,18.59005928,18.00461006,16.97377586,16.3524704,15.63826656,16.04367828,15.13890076,15.07004356,14.03016853,13.29868412,12.70858955,12.31611633,12.19222069,11.4738903,11.553895,10.08408546,9.900679588,9.551894188,9.361320496,9.295694351,8.296405792,8.199169159,7.694299698,7.351408482,6.819387913,6.515603542,5.942127705,5.868299484,5.824630737,5.35855341,5.458601475,4.897040367,4.624203205,4.592276096,4.651757717,4.098519325,3.908354759,3.796240091,4.031493664,3.386507034,3.139184237
260,1.756659746,1.590948701,1.522150636,1.385941982,1.819218755,2.704008102,5.757098675,11.97384071,16.84144211,16.14957047,10.18695068,6.050502777,4.226290703,4.32605648,4.456022739,4.965558052,5.358766079,5.854258537,5.972395897,6.957931995,7.071384907,7.263114452,8.237379074,8.244372368,8.19182682,8.271738052,8.43371582,8.679455757,8.913300514,9.274636269,9.019667625,9.300940514,9.767775536,9.873636246,10.11049938,9.912140846,10.59978008,10.49649906,11.37494373,11.39519024,11.53154659,12.01031017,12.0649662,12.84823608,13.44256592,14.06727886,13.83974075,14.5864563,15.35504913,15.46997547,16.70366859,17.43911934,18.01455498,19.28034973,19.39072609,20.06694412,21.41107941,22.51942062,23.32963753,23.92760849,21.83481598,23.41199875,24.81342697,25.41959763,26.97278023,27.52936363,28.57779884,30.55173492,30.95344353,32.19251633,33.00830841,34.49094391,34.3929863,34.38782883,36.42699051,35.87179947,37.31348038,37.70578384,38.21010971,38.15453339,38.00242615,38.3728714,38.75220108,38.32640839,37.69246674,37.64721298,38.06380844,38.66183472,38.22325897,37.4409256,37.76953506,38.04069138,37.29154587,37.0921669,37.12228775,34.92604828,34.76454163,34.676548,34.41463852,34.73171234,34.03194427,33.5005455,33.6236496,32.73627853,31.93601227,31.88683891,30.8501358,30.3875351,29.67806244,28.71112442,28.67718315,28.30912018,27.85546875,26.74753761,25.53187752,25.62604332,24.69410324,23.60241699,23.07891464,22.44930077,21.94044304,21.24072647,19.99498367,19.69676018,19.52560997,18.30689621,18.16330338,17.35033417,16.83957863,15.62138367,16.21516609,15.12937164,14.49896049,13.97657776,13.32298851,13.12154484,12.98522186,12.23330784,11.79277706,11.15249538,10.93442345,10.66590214,9.840858459,9.329343796,9.09458065,8.540810585,8.373842239,7.96944809,7.786707401,7.436959267,6.572169304,6.674332619,6.142848969,5.974555016,6.051478386,5.288746834,4.976808548,4.910744667,4.854436874,4.756170273,4.22300005,3.880310059,3.919702291,4.060540676,3.52168417,3.295089006
265,21.64962769,6.798004627,2.121383429,1.778147101,1.801304936,1.478260279,1.635352015,2.698727846,5.327187061,10.46893692,14.49605179,15.55755234,14.28223324,10.55940819,7.758320332,6.126367092,6.065135002,6.350920677,6.313753605,6.601859093,7.654642105,7.668142796,7.664962292,8.070688248,8.273256302,8.32858181,8.37442112,8.822154999,9.024616241,9.181003571,9.416315079,9.510442734,9.457077026,9.897267342,10.13211632,10.32608318,9.942796707,10.84959793,10.7691679,11.30233955,11.58776951,11.41882324,11.62222099,12.25697708,12.46865177,13.27887058,13.5499382,13.79227257,14.09837437,14.72208881,15.29851532,15.64088345,16.11625862,16.88316727,18.30802155,18.02316475,18.78456116,20.1738987,20.5424366,21.36836052,19.06773567,20.38615227,20.72496605,22.1884594,23.12492752,24.29470634,25.20218086,26.20729065,26.44329262,27.51023483,28.50644493,28.92719841,29.26219559,30.23517799,31.41601181,31.62568855,32.10216141,33.06492233,33.05924988,32.79273987,33.10155106,32.69094467,33.46533585,34.09673309,32.76563263,33.39602661,33.07616425,33.11444473,33.26184845,34.14745712,32.79824829,32.47211075,32.34314346,33.09418869,32.6067009,30.55945969,30.30741119,30.14033508,30.2571125,30.63579178,29.82374954,29.33858109,29.47184181,28.01067162,28.56141663,27.94748116,27.85515594,26.38923454,26.13425255,25.93594933,24.75293922,24.41785431,23.79484367,23.35844803,22.59473038,21.95891571,21.77594948,21.29430771,20.14122963,20.15811539,19.57320023,19.65674973,18.57008362,17.26959801,17.35185242,16.71107101,16.32938194,15.54661655,15.36108589,14.55759525,13.83485222,13.56466103,13.45878601,12.60076809,12.05922031,11.99759388,11.89960289,10.97213364,10.76607323,10.01759148,9.775105476,9.435105324,9.135406494,8.930696487,8.449988365,7.970266819,7.476914406,7.713970661,7.050189495,6.553869724,5.879558563,5.765968323,5.473817825,5.441078663,5.022577763,4.979656219,4.681788445,4.671469212,4.271317482,3.866154909,4.042079449,3.453394175,3.750226259,3.310556412,3.503760099,3.032519341
270,92.08232117,86.4103241,49.84723663,17.63718796,4.93143177,1.963911295,1.864116907,1.812801957,2.258263826,2.724273682,4.069562435,6.75558567,11.10612297,16.48316002,19.35251999,18.07329369,14.57885456,10.89865112,9.096913338,8.333228111,8.577713966,8.775348663,8.65049839,9.133214951,9.362184525,9.245492935,9.401254654,9.629467964,10.17853642,10.13988113,10.22582817,10.67855358,10.8118906,11.19424438,11.00210476,11.48320961,11.10161591,11.33705711,11.75111008,11.39435673,12.26677799,12.60109329,12.29166222,12.64944744,12.93073654,13.46290588,13.85834694,14.11894512,14.25727367,14.77609444,15.50084591,15.33768559,15.64038086,16.81059647,17.31413078,17.71087646,17.46298027,18.3451252,19.72567177,19.80327415,18.00329781,19.03530312,20.5530529,21.00459099,21.04821968,22.09722137,23.12246323,23.91456985,24.6555481,25.25576782,25.8963623,26.2244606,27.48967743,27.70161819,28.24357605,28.96653938,28.40927696,28.87844276,29.62075043,29.77023125,29.50984764,30.03177261,29.55058861,29.85173988,30.70370674,29.47579193,30.29634094,30.23322105,29.51480675,29.76500893,30.09057045,30.16665077,29.67224884,29.25149536,29.90807152,27.54911995,27.69935036,27.82821846,27.99804497,27.14888,26.52921104,27.14712906,26.72415924,26.273489,26.35296631,25.9618988,25.63049507,24.67576599,23.86502075,23.60721779,23.33410072,23.55495644,22.24949265,21.46132851,20.99811745,21.12568474,20.24127007,20.21784782,19.10357857,18.67326546,18.24606323,17.97607613,17.43842888,16.66737556,16.18217278,15.97382164,15.48011971,15.25414181,14.62454891,13.45913887,13.56842041,12.95120811,12.54715157,11.93719292,11.47186756,11.09685516,10.82698822,10.5711689,9.724830627,9.574541092,9.392063141,8.674215317,8.630970955,8.51859951,7.792922497,7.576938152,7.301319599,6.485236168,6.542420864,6.595582485,5.970166206,5.814422607,5.2506423,5.005087376,4.808160782,4.588216782,4.435535431,4.248811245,4.191031933,3.938219309,3.932942629,3.732355595,3.398602009,3.330609322,3.041491032,3.084456682
