Wavelength (nm),Intensity (a.u.),Z Axis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ELA_FISH901_EM_270.00,ELA_FISH901_EM_272.00,ELA_FISH901_EM_274.00,ELA_FISH901_EM_276.00,ELA_FISH901_EM_278.00,ELA_FISH901_EM_280.00,ELA_FISH901_EM_282.00,ELA_FISH901_EM_284.00,ELA_FISH901_EM_286.00,ELA_FISH901_EM_288.00,ELA_FISH901_EM_290.00,ELA_FISH901_EM_292.00,ELA_FISH901_EM_294.00,ELA_FISH901_EM_296.00,ELA_FISH901_EM_298.00,ELA_FISH901_EM_300.00,ELA_FISH901_EM_302.00,ELA_FISH901_EM_304.00,ELA_FISH901_EM_306.00,ELA_FISH901_EM_308.00,ELA_FISH901_EM_310.00,ELA_FISH901_EM_312.00,ELA_FISH901_EM_314.00,ELA_FISH901_EM_316.00,ELA_FISH901_EM_318.00,ELA_FISH901_EM_320.00,ELA_FISH901_EM_322.00,ELA_FISH901_EM_324.00,ELA_FISH901_EM_326.00,ELA_FISH901_EM_328.00,ELA_FISH901_EM_330.00,ELA_FISH901_EM_332.00,ELA_FISH901_EM_334.00,ELA_FISH901_EM_336.00,ELA_FISH901_EM_338.00,ELA_FISH901_EM_340.00,ELA_FISH901_EM_342.00,ELA_FISH901_EM_344.00,ELA_FISH901_EM_346.00,ELA_FISH901_EM_348.00,ELA_FISH901_EM_350.00,ELA_FISH901_EM_352.00,ELA_FISH901_EM_354.00,ELA_FISH901_EM_356.00,ELA_FISH901_EM_358.00,ELA_FISH901_EM_360.00,ELA_FISH901_EM_362.00,ELA_FISH901_EM_364.00,ELA_FISH901_EM_366.00,ELA_FISH901_EM_368.00,ELA_FISH901_EM_370.00,ELA_FISH901_EM_372.00,ELA_FISH901_EM_374.00,ELA_FISH901_EM_376.00,ELA_FISH901_EM_378.00,ELA_FISH901_EM_380.00,ELA_FISH901_EM_382.00,ELA_FISH901_EM_384.00,ELA_FISH901_EM_386.00,ELA_FISH901_EM_388.00,ELA_FISH901_EM_390.00,ELA_FISH901_EM_392.00,ELA_FISH901_EM_394.00,ELA_FISH901_EM_396.00,ELA_FISH901_EM_398.00,ELA_FISH901_EM_400.00,ELA_FISH901_EM_402.00,ELA_FISH901_EM_404.00,ELA_FISH901_EM_406.00,ELA_FISH901_EM_408.00,ELA_FISH901_EM_410.00,ELA_FISH901_EM_412.00,ELA_FISH901_EM_414.00,ELA_FISH901_EM_416.00,ELA_FISH901_EM_418.00,ELA_FISH901_EM_420.00,ELA_FISH901_EM_422.00,ELA_FISH901_EM_424.00,ELA_FISH901_EM_426.00,ELA_FISH901_EM_428.00,ELA_FISH901_EM_430.00,ELA_FISH901_EM_432.00,ELA_FISH901_EM_434.00,ELA_FISH901_EM_436.00,ELA_FISH901_EM_438.00,ELA_FISH901_EM_440.00,ELA_FISH901_EM_442.00,ELA_FISH901_EM_444.00,ELA_FISH901_EM_446.00,ELA_FISH901_EM_448.00,ELA_FISH901_EM_450.00,ELA_FISH901_EM_452.00,ELA_FISH901_EM_454.00,ELA_FISH901_EM_456.00,ELA_FISH901_EM_458.00,ELA_FISH901_EM_460.00,ELA_FISH901_EM_462.00,ELA_FISH901_EM_464.00,ELA_FISH901_EM_466.00,ELA_FISH901_EM_468.00,ELA_FISH901_EM_470.00,ELA_FISH901_EM_472.00,ELA_FISH901_EM_474.00,ELA_FISH901_EM_476.00,ELA_FISH901_EM_478.00,ELA_FISH901_EM_480.00,ELA_FISH901_EM_482.00,ELA_FISH901_EM_484.00,ELA_FISH901_EM_486.00,ELA_FISH901_EM_488.00,ELA_FISH901_EM_490.00,ELA_FISH901_EM_492.00,ELA_FISH901_EM_494.00,ELA_FISH901_EM_496.00,ELA_FISH901_EM_498.00,ELA_FISH901_EM_500.00,ELA_FISH901_EM_502.00,ELA_FISH901_EM_504.00,ELA_FISH901_EM_506.00,ELA_FISH901_EM_508.00,ELA_FISH901_EM_510.00,ELA_FISH901_EM_512.00,ELA_FISH901_EM_514.00,ELA_FISH901_EM_516.00,ELA_FISH901_EM_518.00,ELA_FISH901_EM_520.00,ELA_FISH901_EM_522.00,ELA_FISH901_EM_524.00,ELA_FISH901_EM_526.00,ELA_FISH901_EM_528.00,ELA_FISH901_EM_530.00,ELA_FISH901_EM_532.00,ELA_FISH901_EM_534.00,ELA_FISH901_EM_536.00,ELA_FISH901_EM_538.00,ELA_FISH901_EM_540.00,ELA_FISH901_EM_542.00,ELA_FISH901_EM_544.00,ELA_FISH901_EM_546.00,ELA_FISH901_EM_548.00,ELA_FISH901_EM_550.00,ELA_FISH901_EM_552.00,ELA_FISH901_EM_554.00,ELA_FISH901_EM_556.00,ELA_FISH901_EM_558.00,ELA_FISH901_EM_560.00,ELA_FISH901_EM_562.00,ELA_FISH901_EM_564.00,ELA_FISH901_EM_566.00,ELA_FISH901_EM_568.00,ELA_FISH901_EM_570.00,ELA_FISH901_EM_572.00,ELA_FISH901_EM_574.00,ELA_FISH901_EM_576.00,ELA_FISH901_EM_578.00,ELA_FISH901_EM_580.00,ELA_FISH901_EM_582.00,ELA_FISH901_EM_584.00,ELA_FISH901_EM_586.00,ELA_FISH901_EM_588.00,ELA_FISH901_EM_590.00,ELA_FISH901_EM_592.00,ELA_FISH901_EM_594.00,ELA_FISH901_EM_596.00,ELA_FISH901_EM_598.00,ELA_FISH901_EM_600.00
,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166
230,1.049624801,1.56336987,1.680161119,2.376982212,3.097385645,2.904423237,3.495620728,4.208455086,6.003178596,6.852271557,8.284468651,10.07526016,11.27663994,12.8855238,14.35435963,16.33898354,18.41722488,18.14396667,20.3424511,21.06495667,21.71915627,24.77803993,26.51238441,25.90705872,26.28512001,27.56280899,31.57588577,33.14239502,36.05828476,36.26544571,38.11024475,38.7374115,39.33494568,42.32159042,42.55227661,43.45942688,43.73878479,44.46706772,41.88641357,42.97010803,42.82912827,43.46193314,43.87325668,44.54746628,44.28327179,44.7587204,47.19712448,47.5529213,48.51687622,50.98702621,55.25371933,58.61795807,62.55144882,66.4164505,69.95265961,76.29241943,80.55831909,87.27223206,90.87127686,96.53116608,90.40254211,95.57056427,100.6230469,106.7422791,109.4404221,118.3345337,122.9917679,123.3224182,125.5706177,126.5783539,130.805481,129.9237518,132.4090576,131.2736969,129.8639069,128.3098297,130.5988922,129.3943787,123.9133682,123.344429,118.9461899,114.9088898,114.2241364,108.6961136,105.7420731,104.8729172,100.6892624,97.27885437,94.78276825,90.08492279,88.26557159,87.89093781,85.94483948,81.92479706,82.04911041,71.89794159,70.36854553,66.20615387,66.06977844,64.90406036,63.97221756,62.0702858,58.51486588,56.03806686,55.73002243,55.6909256,52.98343277,48.56505585,47.8020668,46.70608139,44.79895401,43.46533966,41.34158325,38.95178604,39.31555176,36.92806625,37.09057617,34.36533356,32.95160675,32.26524353,31.49695396,29.94255257,27.30407715,27.45304489,26.33105469,25.17025566,23.18757629,23.11857986,22.05813408,21.87208748,21.38573647,20.07253265,17.94075584,18.11912727,17.11878777,16.58257103,15.7665863,14.63040733,14.9649086,13.63658524,13.38802719,12.75380421,12.54014015,11.613451,11.26145554,10.31585312,9.870891571,10.09448814,8.873122215,8.690921783,8.02190876,7.86147213,7.762318134,6.474544525,6.118216515,5.847496986,5.497069836,5.806084633,5.519972324,5.244116306,5.155919075,4.527587891,4.118023872,3.921468496,3.826177835,3.950430155
235,0.648765445,0.921352208,1.055772185,1.766264558,1.940159798,1.685260177,1.925336838,2.639156818,2.443390846,3.197324514,4.470667362,4.814835072,6.46076107,6.923585415,8.174542427,9.000914574,10.32774734,11.95225239,11.36911297,13.16996765,14.95338726,15.17928219,15.6709156,15.98146343,17.95295715,17.98251152,18.24231529,19.86290169,19.73732948,21.69680023,22.24475288,23.20519257,23.6452446,24.96133232,25.98703766,27.27419853,26.79820251,26.56167221,27.32468414,27.01235008,28.90807343,30.0883255,31.22683334,30.49987411,31.17508125,32.63906479,34.96068954,36.56503296,37.76053238,40.08126831,43.2150116,46.72275162,50.97636795,54.75167084,59.09975815,65.39177704,67.43405151,73.94777679,79.63709259,83.81851196,76.79977417,83.029953,89.53146362,93.40122986,97.54014587,99.5619278,102.9662781,106.5963593,108.5586166,110.3525925,115.1529541,114.7266006,114.1162262,115.3388062,112.9914856,115.3762054,112.1291046,114.5100784,110.2548141,107.8858414,106.9398499,100.4638672,99.64126587,96.76885986,94.84610748,91.19184113,90.33259583,85.34515381,85.4413681,81.69120026,78.6499176,77.51515198,76.21582031,71.10442352,73.99697113,67.20097351,64.39442444,63.37573624,62.62082291,59.78804779,56.40739441,55.47208405,54.38466644,50.30152512,51.58202362,51.16635513,48.63076019,45.9478302,44.85423279,42.87364197,40.27281189,39.31735229,38.56021118,37.55012512,34.82791901,34.77893829,33.31607056,33.02554321,31.03011894,29.96657753,28.18071556,27.30368233,26.8125267,24.63617325,23.82154274,23.50077057,22.21191406,21.60213661,18.94858551,20.24369431,19.28708839,17.6634655,17.33511925,17.22830391,15.32332897,15.48687363,14.98345852,14.27017021,13.03039265,12.31866932,13.05943012,10.85218716,10.76776123,10.91289806,9.835928917,9.461977959,9.619289398,8.732575417,8.853340149,7.941290855,6.788624287,6.856533051,6.514760971,6.293391228,6.557418823,6.073525429,5.062695503,5.51764822,4.619873047,4.862298012,4.803527355,4.414350986,4.509876728,4.283821583,4.049937725,3.371783018
240,1.982280254,1.147927523,1.17286396,0.941678107,1.115929246,0.951869309,0.802451015,1.090674996,1.523721099,1.582060099,2.009587526,2.717605114,3.230865002,4.026537418,4.884424686,4.853108883,5.455302238,6.013145924,7.293411255,7.869469643,7.768624783,8.234829903,9.005084038,9.769200325,9.399842262,10.12286282,10.50699902,10.75370026,11.69020748,11.41342163,12.14570332,12.23962688,13.17854977,14.54673862,14.50431061,15.56327343,15.51487637,16.13708305,16.93863678,17.8592186,17.16370964,18.44783592,19.9576149,19.69216919,22.41140175,23.72345352,25.68439674,27.4383297,29.76628113,31.04330635,34.71271896,37.92928696,41.35399628,47.17765045,48.86266708,55.08972549,59.17485046,63.63306046,69.29540253,72.28044128,68.38438416,73.76174164,79.07698822,79.60691833,85.63186646,88.71139526,89.91458893,94.61128998,96.28800201,97.76419067,99.97616577,101.1747131,103.7170334,102.290657,100.9804306,101.3907089,101.4481049,99.30912018,97.53331757,95.55071259,95.75450134,92.79875183,91.3169632,86.10452271,82.07489014,81.39427948,81.038414,78.22519684,73.68703461,74.77542877,72.81787109,70.17203522,69.03895569,65.88301849,64.61141205,59.58147049,57.97241592,58.5137558,56.97798157,53.79660416,52.82038116,50.99801636,49.89701843,49.42111206,47.23386765,45.68371964,44.57916641,42.49440002,41.79440308,40.64057159,39.08996964,37.29791641,35.90925598,35.57978821,34.53152847,32.67547607,32.17179871,30.36039162,28.84018707,27.33198166,27.07852364,26.85349846,25.06424904,24.85119057,23.15057755,21.66618538,21.23324394,21.38923645,19.95123672,19.98104477,18.94421005,18.15476608,17.19704247,15.94031429,16.09368706,14.77415657,14.73731327,14.73989677,13.14591694,12.53044701,12.04287243,11.26706696,10.64034843,10.17418194,9.808104515,9.822224617,9.665843964,8.413002014,8.815927505,8.329021454,6.82671833,7.189247131,6.986685276,6.438374996,5.899146557,5.712133408,5.363591671,5.463182926,4.961528778,4.992436409,4.646980762,4.387336731,4.308264256,3.958281279,4.277626991,3.688662767
245,14.17566681,9.929124832,4.44608593,2.169383526,1.365815043,0.807350934,0.847495258,0.966120183,1.255189538,1.325498462,1.605763793,2.139408112,2.596654892,3.218806028,3.417888641,3.977173567,4.389123917,4.987807751,5.226154327,5.892281532,6.335813046,6.930249214,7.086695194,7.262099743,8.247439384,7.881446838,8.340831757,8.651180267,9.107480049,8.94540596,9.299166679,9.729114532,10.85596848,11.20762539,11.65687275,11.9243927,12.3273344,12.17737293,13.31258774,13.96287537,13.96724033,15.28655815,16.37983322,17.28987503,18.0186348,19.08968163,20.85558891,22.14587784,24.64200974,26.46650505,29.50057983,31.7706852,35.52149582,38.95461273,41.92551422,45.55172348,48.96088409,53.50585175,57.54880905,61.72893906,56.62656021,61.12281418,64.88266754,68.54675293,71.13498688,74.42947388,78.18483734,80.35903168,80.68852234,82.38989258,85.43370819,85.5856781,86.45735168,87.36997223,88.25676727,86.88543701,86.74928284,86.09374237,84.11526489,81.7979126,81.89045715,79.22213745,77.60011292,75.99907684,73.91281891,72.3999939,70.60334778,71.08183289,68.89356995,66.26890564,64.9988327,63.30652237,62.32055283,60.35522842,59.76262665,54.13654327,53.67936707,52.6549263,50.48793793,49.41294861,49.54150391,47.16038895,46.53103638,44.85810852,43.60204697,42.01442719,42.26444244,40.18052292,38.39276505,37.51160812,36.18296051,36.32694244,34.70340347,32.83347321,31.9598999,31.38584709,29.31527519,28.72867203,27.64836884,27.64146233,26.10312843,25.22026062,24.34145546,22.948843,22.52171135,21.55321312,21.44605446,19.82416344,18.7816925,18.28606606,17.75387383,17.56310654,16.44361496,16.40141106,15.30480099,14.49628353,14.21234131,13.39410591,12.78608704,12.1231184,12.0822649,11.4264307,10.80618095,9.560503006,10.33878517,9.622322083,8.673404694,8.450596809,8.273737907,7.917380333,7.028823376,6.825783253,6.790895939,6.304131031,5.691690922,5.691060066,5.573056221,5.366547585,4.477484703,5.051372051,4.746170521,4.216751575,4.080348969,4.034236908,3.850110769,3.252878189
250,11.21782589,17.05199623,17.79274559,13.66428661,7.839147568,2.761060238,1.617120862,1.552051425,1.484941483,1.598416448,1.844994783,2.336166859,2.820105314,3.266767502,3.814597368,4.397834301,4.650510788,4.703568935,5.704894543,5.843250751,6.301174164,6.429209709,6.975765705,6.770457268,7.757296562,7.665541649,8.128458977,8.174311638,8.435549736,8.223451614,9.042855263,9.393883705,9.354223251,10.33813477,10.00130844,10.79784203,10.65164375,11.27112198,11.76796818,12.00440979,12.02075768,13.16836643,13.57769775,15.05069828,15.63423061,16.62620735,18.29217148,19.12446594,20.8387413,22.07453537,23.80120087,26.13178444,28.62511063,31.83624268,34.28211975,37.35538864,39.43821335,42.51754761,45.36602402,47.85601044,46.34885406,48.79301071,50.3536644,53.8858223,58.29098511,59.02338028,61.73213196,63.71985626,64.62149048,65.44001007,67.64548492,69.08148956,70.15209961,70.59128571,71.60398102,71.6311264,72.05387878,71.25354767,69.62148285,68.68152618,68.47199249,66.59797668,65.46080017,64.67838287,63.42273712,61.29339218,60.95588303,59.07177353,58.03347015,58.67664719,56.87887955,54.43886185,55.01898956,53.13816071,51.55765152,48.14354324,46.80560303,46.2229538,45.77497864,44.61340332,43.36549759,42.25727844,42.28831482,40.69695282,39.98756409,38.52735901,38.07596207,36.8784523,35.4556694,34.33140564,34.00769424,32.09989929,31.56141281,30.96816635,29.98245621,29.42480087,28.14217186,27.50945473,26.05278778,25.17963409,24.1133976,23.87673187,22.69800568,22.06488991,20.61536598,20.41660118,19.55682564,19.19712448,17.66078758,17.68991661,17.39746666,15.89684963,15.65584469,14.99113083,14.52265263,14.07213593,13.14598846,12.6862812,12.55908394,11.76498222,11.01259422,11.14692497,10.57381248,9.655231476,9.27325058,9.102279663,8.31490612,8.073204041,8.001449585,7.593357563,6.832923889,6.817909241,6.85114336,6.010359287,5.973183155,5.529906273,5.27134037,4.813602448,4.492860317,4.970626831,4.379031658,4.38395071,4.09991312,3.932577372,3.634648085,3.577790976
255,1.861574411,2.200404406,4.64757061,9.597285271,15.40886784,14.03712559,11.55907154,7.466234684,4.54172945,3.56461072,3.158435822,3.31833601,3.633033276,4.363925934,4.669023991,5.1627388,5.735110283,6.276177406,6.488451481,7.250746727,7.359699249,7.096772194,7.651778221,8.07430172,7.825397491,8.31256485,8.709536552,9.219074249,9.276530266,9.310741425,9.672197342,9.556390762,9.816394806,10.53801918,10.48872852,10.6473875,11.18010616,11.14048481,11.24951458,11.66681862,12.5624876,12.46394539,12.69007397,13.83020115,14.15929508,14.93453884,15.52923393,16.56150055,17.1934433,19.37143517,20.3897934,22.15873718,23.29163361,25.26784706,26.85241127,28.40485382,29.89873314,32.13978577,34.30200577,36.85525513,34.77821732,36.28781509,38.98065186,40.57930756,43.11623764,44.95952988,45.66261292,48.64670944,49.90735626,51.12385178,51.7688446,51.84783173,52.11280823,54.03787994,55.47445297,54.36641312,53.58898544,57.52885437,56.58519745,54.35016632,56.2024231,54.33542252,52.28750229,52.54962158,52.36240005,51.92213821,51.06199646,48.26015472,49.45373917,47.48937607,48.58588791,46.35866547,47.09368134,45.49052429,44.99873352,41.40407944,41.43060303,39.73574066,39.75127792,40.53493118,39.31704712,38.56060791,38.03222656,38.03504562,37.86777878,35.20610428,34.75146484,33.44390488,33.41747284,32.20714188,31.09325027,30.15171242,29.56306458,28.68527412,27.87445068,27.03429794,26.18300629,25.7334919,24.62443161,24.20558167,23.18644714,23.20214272,22.01548958,20.65076065,19.99015999,19.94983482,19.70892715,18.51860809,17.7856102,17.2472229,16.37734795,15.95631886,15.05904102,14.58907318,14.29820156,13.13818741,12.8262701,12.26691818,11.94884968,11.46747208,11.3947649,9.93212986,10.12754917,9.702109337,9.344102859,9.369896889,8.115726471,7.915844917,7.692933559,7.083982944,6.460731983,6.331951618,5.869680405,5.561741352,5.427959919,5.28147459,4.824403286,4.82884264,4.698741436,5.069791317,4.258419037,3.958534479,3.910455942,3.682782888,3.403098106,3.700035572
260,2.294728041,2.088038445,2.029464245,2.249194145,2.770499229,3.578730106,7.091014385,13.39472008,17.81972313,17.85058784,11.3034811,7.236526966,6.201966286,5.959545612,6.288007259,6.523254871,6.957251072,7.271444798,7.783014774,8.274458885,8.891338348,9.162218094,9.21432209,9.633024216,9.688996315,9.661389351,9.701317787,10.61231232,10.69942093,10.7019701,11.32163429,11.16935444,11.30979061,11.80895233,11.81785297,12.06557465,12.137743,12.38662529,12.16254997,12.69760704,13.08813095,13.73208714,13.73037815,14.27773857,14.75545406,15.13914394,15.61325359,16.01368141,16.8099823,17.6701355,19.5450573,19.64804077,20.30612564,21.75059128,23.72627258,23.8120079,25.13584328,27.05502319,28.83857346,30.76877975,29.01934242,30.69255638,30.84591866,33.31243515,34.25511932,36.20799637,38.2776947,38.78707504,40.60344696,41.93444443,42.13969421,44.39209747,44.79830551,44.27201843,45.72249985,46.29253769,46.85276413,47.44343185,46.53965378,46.92023468,46.87805939,46.03211975,45.08097839,44.92636108,45.96910095,45.48208618,44.17328262,43.51925659,43.45715714,42.47619247,42.77898026,42.13617325,43.96042633,42.09273529,41.62118912,37.86306763,38.12604523,38.42458725,38.12796021,37.11138535,37.40839386,36.86448669,35.5260582,35.259758,34.85826111,33.65919495,32.76816177,32.05146408,31.65233994,30.81576157,30.39686203,28.75752068,28.3664608,27.82651138,27.64556885,26.31155014,26.04327774,25.00296974,23.73106384,23.67576027,22.57846069,21.93196869,21.18444061,21.16331291,19.50039864,19.16968536,18.60857391,17.50884628,17.66584396,17.27304077,16.57833862,15.55607224,15.21862125,14.30530453,13.98739052,13.59452629,13.29083157,12.30348206,11.64384747,11.35795212,10.91587353,10.59552765,10.12627506,9.6933918,9.531579971,8.886647224,8.438868523,8.188146591,7.591268063,7.355635166,6.77586174,6.387350559,6.130917072,6.005899906,5.608950615,5.435484886,5.283881187,4.798918247,4.794290543,4.480721951,4.597416401,4.271593571,3.935843706,3.849684477,3.666810751,3.578430414
265,25.5435257,7.937017441,3.238001347,2.364924192,2.665254116,2.20932889,2.438989401,3.819952011,7.316857338,12.09702206,15.52109528,17.12895012,15.04998493,12.3067112,9.715755463,8.225152969,8.385278702,8.151007652,8.571645737,8.609822273,9.57516861,9.788437843,9.688749313,10.18540668,10.43748856,10.17158699,10.64108086,10.80554295,11.07574177,12.01504612,11.81774902,11.88375854,11.56626797,12.28020859,12.37144375,12.5626564,12.82577705,12.49519157,12.38072777,12.539217,13.13169384,13.26394272,13.68327808,13.93431664,14.27123737,14.29388237,15.33717632,15.31101513,15.4267931,16.48227119,16.83220863,18.08454704,18.39059258,19.49253654,20.08784103,21.50868797,22.96103859,23.87320709,24.4173069,25.40614891,23.83152008,24.55858994,26.67700386,28.60773277,29.53781319,31.08057213,31.94014359,33.56126404,34.06940842,35.01660538,36.17442703,37.19029617,38.21105576,37.59339523,39.3498764,40.12004089,39.7275238,40.60002136,39.82396698,40.06360245,40.12311554,39.9220314,39.58209991,38.21521378,38.89323044,37.68775558,37.5262413,37.89497375,37.29113388,37.12810135,38.04420471,37.02994919,36.78258133,36.30223083,36.66219711,33.94407654,33.10433578,32.86646271,32.59038162,31.86208725,32.36510468,31.14244843,30.75222397,29.87557793,29.54110146,28.95944214,29.13889313,28.16818237,28.19885635,27.33838272,26.22270584,25.99671173,25.61628723,24.76476097,24.43802643,23.98688698,23.24035454,22.00740242,22.25114632,20.85626793,20.58042336,19.53041458,19.08822632,18.53765297,17.75910378,17.26492691,16.80654907,16.34212112,16.18414688,15.37041855,14.6174984,14.31927013,13.43580627,12.7115736,12.72835255,12.3386755,12.07235718,10.8068018,11.22096634,10.32044601,10.11309719,10.14143372,9.320977211,9.051120758,8.247566223,7.867797852,7.899071693,7.361347675,7.146727085,6.806203365,6.019752979,6.200649261,5.548213482,5.173222542,5.391718864,4.95360136,4.88068676,4.600260735,4.405396938,4.087670803,4.102558613,3.659132004,3.759847641,3.277037144,3.434246063,3.126284838
270,112.6688004,103.9551468,59.05208588,20.828228,5.610723019,2.6072402,2.647711992,3.312577248,4.054227352,4.917136192,6.086702347,8.827287674,13.66174889,19.28774261,22.3162899,20.58744049,17.34204292,13.60560322,11.21980476,11.28477764,11.67543316,11.80986881,11.68995953,12.03282928,12.63075161,11.61897469,12.10810089,12.67837524,13.04736423,13.54708385,13.28962994,13.10602093,13.71863842,13.933218,13.47390079,13.61748791,13.95034504,14.33120537,14.01228714,13.23430538,13.92562962,14.49316788,14.19421482,14.72381306,15.1801157,15.49190998,16.04789543,15.95094967,16.22540474,16.91007805,17.25626373,17.99206543,18.54330254,19.11422729,20.38479424,21.04642677,21.72877312,23.42535973,24.23529434,25.97776031,24.12356377,24.93121719,26.13031769,27.64934158,28.92298126,29.61034584,30.47156715,32.34370041,33.70838928,34.68099213,35.37021255,35.77087784,35.69035721,36.29344177,36.50499725,36.8953743,37.14945221,38.17458725,37.43925476,37.65043259,37.60419083,37.45270157,36.42864227,36.8290062,35.58460617,35.71881104,36.0364151,35.52837753,35.52577972,34.76555634,34.47779846,34.43650055,34.21606064,33.45116425,33.23317337,30.50981712,31.46360207,30.53282928,30.70011902,30.02721596,29.70137405,29.16856194,28.56839371,28.12860107,28.15515518,27.97432518,27.4147644,26.09451485,26.27072716,24.97732735,25.12866592,24.12413406,23.60543633,23.4644413,22.82819176,21.89275551,21.66850853,21.05318642,19.88090706,19.7564621,19.43066788,19.14149666,18.11296082,17.82740784,17.24200439,16.20192337,16.33375359,15.50293064,14.71267033,14.35701084,13.8849268,13.69149303,13.43988228,12.69456768,11.91772461,11.51460171,11.20098591,10.74532795,10.48704529,9.757348061,9.172886848,9.284538269,8.715460777,8.55440712,8.247795105,7.725801945,7.882371902,7.136677742,6.983029842,6.395811558,5.896803379,5.922251701,5.346273422,5.385028839,5.084664345,4.508441925,4.460195541,4.553890228,4.409394264,3.886986017,4.091588974,3.848501921,3.453216553,3.289188147,3.167145967,3.235878468
