Wavelength (nm),Intensity (a.u.),Z Axis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ELA_910_EM_270.00,ELA_910_EM_272.00,ELA_910_EM_274.00,ELA_910_EM_276.00,ELA_910_EM_278.00,ELA_910_EM_280.00,ELA_910_EM_282.00,ELA_910_EM_284.00,ELA_910_EM_286.00,ELA_910_EM_288.00,ELA_910_EM_290.00,ELA_910_EM_292.00,ELA_910_EM_294.00,ELA_910_EM_296.00,ELA_910_EM_298.00,ELA_910_EM_300.00,ELA_910_EM_302.00,ELA_910_EM_304.00,ELA_910_EM_306.00,ELA_910_EM_308.00,ELA_910_EM_310.00,ELA_910_EM_312.00,ELA_910_EM_314.00,ELA_910_EM_316.00,ELA_910_EM_318.00,ELA_910_EM_320.00,ELA_910_EM_322.00,ELA_910_EM_324.00,ELA_910_EM_326.00,ELA_910_EM_328.00,ELA_910_EM_330.00,ELA_910_EM_332.00,ELA_910_EM_334.00,ELA_910_EM_336.00,ELA_910_EM_338.00,ELA_910_EM_340.00,ELA_910_EM_342.00,ELA_910_EM_344.00,ELA_910_EM_346.00,ELA_910_EM_348.00,ELA_910_EM_350.00,ELA_910_EM_352.00,ELA_910_EM_354.00,ELA_910_EM_356.00,ELA_910_EM_358.00,ELA_910_EM_360.00,ELA_910_EM_362.00,ELA_910_EM_364.00,ELA_910_EM_366.00,ELA_910_EM_368.00,ELA_910_EM_370.00,ELA_910_EM_372.00,ELA_910_EM_374.00,ELA_910_EM_376.00,ELA_910_EM_378.00,ELA_910_EM_380.00,ELA_910_EM_382.00,ELA_910_EM_384.00,ELA_910_EM_386.00,ELA_910_EM_388.00,ELA_910_EM_390.00,ELA_910_EM_392.00,ELA_910_EM_394.00,ELA_910_EM_396.00,ELA_910_EM_398.00,ELA_910_EM_400.00,ELA_910_EM_402.00,ELA_910_EM_404.00,ELA_910_EM_406.00,ELA_910_EM_408.00,ELA_910_EM_410.00,ELA_910_EM_412.00,ELA_910_EM_414.00,ELA_910_EM_416.00,ELA_910_EM_418.00,ELA_910_EM_420.00,ELA_910_EM_422.00,ELA_910_EM_424.00,ELA_910_EM_426.00,ELA_910_EM_428.00,ELA_910_EM_430.00,ELA_910_EM_432.00,ELA_910_EM_434.00,ELA_910_EM_436.00,ELA_910_EM_438.00,ELA_910_EM_440.00,ELA_910_EM_442.00,ELA_910_EM_444.00,ELA_910_EM_446.00,ELA_910_EM_448.00,ELA_910_EM_450.00,ELA_910_EM_452.00,ELA_910_EM_454.00,ELA_910_EM_456.00,ELA_910_EM_458.00,ELA_910_EM_460.00,ELA_910_EM_462.00,ELA_910_EM_464.00,ELA_910_EM_466.00,ELA_910_EM_468.00,ELA_910_EM_470.00,ELA_910_EM_472.00,ELA_910_EM_474.00,ELA_910_EM_476.00,ELA_910_EM_478.00,ELA_910_EM_480.00,ELA_910_EM_482.00,ELA_910_EM_484.00,ELA_910_EM_486.00,ELA_910_EM_488.00,ELA_910_EM_490.00,ELA_910_EM_492.00,ELA_910_EM_494.00,ELA_910_EM_496.00,ELA_910_EM_498.00,ELA_910_EM_500.00,ELA_910_EM_502.00,ELA_910_EM_504.00,ELA_910_EM_506.00,ELA_910_EM_508.00,ELA_910_EM_510.00,ELA_910_EM_512.00,ELA_910_EM_514.00,ELA_910_EM_516.00,ELA_910_EM_518.00,ELA_910_EM_520.00,ELA_910_EM_522.00,ELA_910_EM_524.00,ELA_910_EM_526.00,ELA_910_EM_528.00,ELA_910_EM_530.00,ELA_910_EM_532.00,ELA_910_EM_534.00,ELA_910_EM_536.00,ELA_910_EM_538.00,ELA_910_EM_540.00,ELA_910_EM_542.00,ELA_910_EM_544.00,ELA_910_EM_546.00,ELA_910_EM_548.00,ELA_910_EM_550.00,ELA_910_EM_552.00,ELA_910_EM_554.00,ELA_910_EM_556.00,ELA_910_EM_558.00,ELA_910_EM_560.00,ELA_910_EM_562.00,ELA_910_EM_564.00,ELA_910_EM_566.00,ELA_910_EM_568.00,ELA_910_EM_570.00,ELA_910_EM_572.00,ELA_910_EM_574.00,ELA_910_EM_576.00,ELA_910_EM_578.00,ELA_910_EM_580.00,ELA_910_EM_582.00,ELA_910_EM_584.00,ELA_910_EM_586.00,ELA_910_EM_588.00,ELA_910_EM_590.00,ELA_910_EM_592.00,ELA_910_EM_594.00,ELA_910_EM_596.00,ELA_910_EM_598.00,ELA_910_EM_600.00
,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166
230,1.103868008,1.188112974,1.302117109,1.656933784,2.397498369,1.94792223,2.703799725,3.400556564,3.950683117,5.041806698,6.972214699,8.259526253,10.13085175,10.86924934,13.18755913,14.57007217,15.73370934,16.23377991,17.80503082,18.14770889,19.4244194,21.68169975,20.53375626,22.60324669,21.998703,20.99907303,22.65768814,22.76844978,24.42831421,24.2375927,25.35506439,24.62290001,25.6903553,25.44406509,26.62639427,27.29341507,27.6314888,27.27125549,26.27685356,26.97225571,27.59001732,28.16969109,28.62670135,30.19989204,31.50394821,31.60236931,32.07709885,34.13594437,33.73925018,36.78785706,38.39035416,40.18657684,41.85936737,44.39677429,45.84332657,47.22219849,50.0182991,52.66309357,54.65303421,59.88198853,52.90597916,55.44640732,60.7046814,62.25037384,65.68939209,67.60282135,68.61373138,69.86039734,73.36876678,74.9210968,76.15868378,76.99959564,79.36808014,78.21047211,78.8130722,80.11872101,79.8574295,78.62348175,79.41973114,77.18927002,76.80134583,74.59505463,73.25823212,72.50460815,71.92958069,70.84883118,69.57694244,67.64717102,66.6584549,64.9984436,64.30400085,64.15600586,63.81838226,61.9535141,61.7766037,54.84177399,53.84533691,53.68103409,52.86759567,51.80537796,52.60776138,49.98939133,50.18890381,48.11936188,45.87185669,46.07788467,42.65025711,41.33406067,41.64674377,40.55812836,38.21398163,36.93549728,36.08122253,35.5549202,34.86644745,33.11557388,32.54581833,31.62947845,29.35513687,28.28928757,28.09068871,25.85110664,25.42492676,25.59757042,23.74982262,24.20645905,21.18027115,21.59754753,20.04069328,19.37842751,18.56540298,17.66296959,16.83618736,17.46028519,16.29953384,15.43874168,15.04196167,14.13705063,13.75054264,13.55256081,12.59815502,11.77926826,11.61628151,10.83697414,10.41800785,10.07803631,10.55235004,9.481586456,8.646134377,8.566550255,7.3277421,6.898736477,7.341333866,7.208961964,5.950144291,6.25061655,6.444832325,5.001193523,5.224617958,5.133784294,4.684118748,4.993075848,4.200273991,3.918703794,4.91229248,3.755031109
235,0.766578317,1.101122499,1.313796163,1.321213841,1.271487832,1.284823418,1.322185993,1.779923201,2.155864716,2.588163376,3.542875767,5.230010986,5.971179008,6.33237505,7.107933521,8.980324745,10.11446857,10.55053329,11.51092434,12.26459694,13.70540524,13.28469849,13.9322319,14.40331268,13.91194439,14.28011894,15.00669003,15.99494362,15.24745178,15.84352207,16.56767082,16.74883842,17.67689323,18.06600761,17.54278946,17.78167534,17.78320694,18.64100266,20.26486206,19.56446266,21.04372025,22.15538406,21.9185276,21.44971848,22.9292202,25.65215302,25.50660133,26.64401817,26.04256821,28.54052353,31.43107033,32.9442482,33.87324905,36.7351532,36.79684067,39.05022049,43.09716415,46.66965103,47.68822479,51.10749817,47.62647629,49.51657867,51.29475784,55.35995865,58.23929977,59.08589935,62.47725677,63.55555725,64.80015564,65.84075165,67.85153961,67.25998688,69.08335876,69.11972046,69.84951782,71.9983139,71.59978485,70.05703735,71.81348419,69.69245911,68.03743744,68.92723846,67.49615479,64.82801819,65.77732086,63.06217194,62.97933578,61.1768074,60.97393417,59.26496887,59.33876419,57.62307358,55.66558838,57.93725204,54.88627625,50.62216949,51.34634018,50.54283524,48.57123566,47.76910019,48.15820313,47.15088654,44.71321869,42.69284058,44.06801224,40.86100769,40.81196594,42.03186035,38.03336334,35.86761475,37.35133743,35.8201828,35.76296234,32.11036682,31.48631287,30.49489403,30.57692528,30.07527161,29.43268967,26.64281845,26.90712166,25.19432259,24.94042778,23.82589912,22.32359123,20.63789177,21.39765549,20.9092865,19.89839363,18.89795494,18.7383461,17.92104721,16.44159508,16.95002365,15.98749352,15.40751076,14.61321545,13.28532696,13.4494009,12.46741581,11.90873528,11.31598759,11.38264942,10.58993435,9.408298492,9.414897919,9.331733704,8.833977699,7.974216461,8.116176605,7.206706524,6.685811043,6.915463924,6.507818699,6.510873318,5.761045933,4.9745965,5.076137066,5.192127705,4.916899681,4.588542461,4.040232658,4.726365566,3.877397776,3.827171803,3.769491673
240,2.236753464,1.108405828,1.078570127,0.921318531,0.94379729,0.794671476,0.56159991,0.734511197,1.572181463,1.45802176,1.765730858,2.511060238,2.982443571,3.644976139,4.601137161,4.840159416,5.594723225,6.216562271,6.448177814,7.411634445,7.842040062,8.342088699,7.532300472,8.584854126,8.558678627,8.869896889,9.40363121,9.562007904,9.872627258,10.09199905,10.3875742,10.78591347,11.07523918,11.13325214,11.82978439,11.77321625,12.19884491,12.90454674,12.95370865,14.13757706,13.87527561,15.14550495,15.78252602,16.64496994,17.24255753,18.97547722,19.50920677,21.73355675,22.5319519,23.18823814,25.0696106,26.65954399,27.92295647,31.7714901,33.45415115,35.198452,37.9526825,37.82128143,42.10451126,44.78249359,40.85790253,42.71372986,45.32746124,48.49448776,49.69385147,51.81797791,54.31778717,56.84126663,56.52931213,59.1254425,60.84869766,63.15982437,62.98097992,63.46722031,62.19036102,63.21545792,65.11601257,64.99482727,63.91479874,63.05946732,61.65028381,62.60824966,60.49644089,61.87639999,60.46154404,58.38650513,57.20118713,55.77605057,54.65836716,54.61583328,53.66244507,54.64247894,53.20064926,52.83229065,52.01031113,48.55632401,46.64023972,45.71123505,45.26511383,44.75441742,44.6595726,43.05160904,42.67470932,41.49383926,42.06662369,38.98190689,38.74055099,37.5336113,37.69491959,36.22714615,35.54094315,33.75077438,33.02019882,32.55672073,30.00967598,30.48832893,29.06454849,28.4946537,27.63450241,26.59758377,25.29470062,25.0100174,23.90699768,23.27856827,21.95753288,21.27283669,20.39523888,20.23780823,19.54337692,17.80449677,17.68115234,17.22278786,16.41789055,15.27911854,15.38946533,14.63761806,13.18917084,12.91472912,12.98417282,11.90431213,11.37390709,10.83059597,11.45737839,10.52394962,9.247015953,9.582173347,9.171179771,8.067552567,8.249669075,7.481843948,7.548872471,6.606616497,6.716648102,6.980625153,5.975500584,5.89636898,5.5609622,5.673435211,4.845780849,4.620722771,4.578379154,4.144138336,4.275498867,3.968674898,3.502335072,3.836789846
245,13.96759033,10.16327763,5.212628365,2.150606871,1.123296142,0.683375776,0.662937403,0.613455653,0.834962964,1.177088737,1.341395736,1.746840119,2.16519022,2.895885944,3.255980253,3.803416491,4.03699398,4.792850971,4.675109863,5.469470978,5.533946514,6.653919697,6.325409412,6.755877495,7.058476925,6.901808739,7.304190636,7.617699146,7.565163136,8.029530525,8.368060112,8.240941048,8.514779091,9.287530899,9.084362984,9.746429443,10.01757526,10.64274979,10.82754517,11.51012897,11.93348789,12.65137768,13.72961712,14.06262016,14.61364937,15.92401981,17.63761711,18.0996666,19.42923546,20.63491249,21.80452538,24.49848747,25.41561127,26.9899292,29.26602364,31.20221901,32.88724136,33.40873718,37.16423798,38.93227768,35.37527847,37.82483292,40.05297852,42.86041641,44.14729309,45.64798737,46.47081757,48.39945221,51.47686005,51.78323364,53.15740204,53.62622833,54.73130417,56.28659821,57.16572952,57.09749985,58.24396896,56.84279251,56.74057388,56.8912468,56.46474838,55.58504486,55.62206268,54.70757675,53.61008453,53.46136475,53.34220505,51.20175552,51.00976563,51.6529007,51.33713531,50.51085281,48.22447205,48.83662796,48.82089615,45.20373535,44.12953186,43.6536293,43.8494072,42.09900665,42.43883133,40.5484848,39.9570961,38.86362076,38.95176315,37.22617722,36.79850388,36.74492645,35.39972305,34.20676422,32.76118469,31.86426544,31.63396835,30.70233917,30.2061348,29.47492599,27.90773773,27.28383255,26.60991859,25.29432869,24.87531662,23.74271965,22.31191444,22.32708168,21.84408188,20.72810555,20.05548286,19.61014748,18.85479164,18.13789749,17.15730858,16.66019058,16.0204277,15.29617977,14.41858006,14.3043375,13.61051464,13.48250198,12.35441113,12.10363579,11.79939365,10.60081673,10.95911407,9.985898972,9.672107697,8.862603188,9.220038414,8.520758629,8.063055992,7.822600365,7.317798615,6.816647053,6.577786922,6.191064835,5.801348209,5.368659973,5.323793888,5.148021221,5.319764614,4.65262413,4.681238174,4.304728508,4.247752666,3.921971798,3.538010597,3.562793493
250,9.917860985,16.15788841,17.62583351,13.5263195,7.953643322,3.037576675,1.584823728,1.083937287,1.092302918,1.303978682,1.449697018,1.51579845,2.238501787,2.445650101,3.033195496,3.625221729,3.812591791,4.441044331,4.707531452,5.172570229,5.825444221,6.040026188,6.277626514,6.649049759,6.770184517,6.564967632,6.940915585,7.476288795,7.698052406,7.434893608,7.64153862,7.880666733,8.199445724,8.56886673,8.509711266,8.61753273,8.963526726,9.557955742,9.874229431,10.70610905,11.24864674,11.30079651,12.20038223,12.93572044,13.37390804,14.23399067,14.88982201,16.55924988,17.87717628,18.64122963,20.20714951,21.30641365,22.43074417,23.92868423,24.77363205,27.11205101,28.46345329,29.8356514,32.18223572,33.67085266,30.84918785,33.07197571,35.19283295,36.98104095,37.54136276,39.83136368,40.70157242,42.36486435,44.15991592,45.94655228,47.06370926,48.05550385,46.64522171,48.56937027,49.31367493,49.86065674,50.94462585,50.64081192,50.63273621,49.62877655,51.0548172,50.04994202,48.63208008,48.66492462,49.42640686,48.7370491,47.1981926,47.86403656,48.10271072,47.0405426,47.85085678,46.09822083,45.47624207,44.07719803,44.07895279,41.23242569,41.40234756,40.10936356,40.24908447,39.52080154,39.13196945,39.23054504,36.96593857,37.75644302,37.28218079,35.57263947,34.86448288,34.16172409,33.33302689,32.75990677,32.16339493,30.96521378,30.77456284,29.30276489,29.45901489,28.09797859,26.88345146,25.67985725,25.39706993,24.50003242,23.85372734,23.18212891,22.00134659,21.72220421,20.33609009,20.23511887,20.28387451,18.42076492,18.80733871,17.84107208,17.03996849,16.25990105,15.59818172,15.0061388,14.24052334,13.23810387,13.09609699,12.86956978,12.60104847,11.72454071,11.17576122,10.63199329,10.16574764,9.824376106,9.359498978,8.655364037,8.507102013,8.176390648,7.840517998,7.521605968,6.635732174,7.042288303,6.433141708,5.790605068,5.591600895,5.702719688,5.157034874,5.065219402,4.597296715,4.856974125,4.363890648,4.148712158,3.938612223,4.007879734,3.899749041,3.322015524
255,1.609097481,2.139676809,3.937516212,8.864128113,13.69605255,12.96315002,11.68402481,7.955345631,4.518773556,2.883277655,2.36891222,2.25479126,2.808930397,3.155109644,4.299847603,4.20108223,4.622454166,4.94939661,5.207798004,6.253368855,6.209322929,6.779873848,6.575866699,7.113500595,7.382960796,6.702539444,7.090134144,7.401560307,7.512112141,8.263529778,8.018665314,8.563173294,8.512709618,8.909934044,8.878970146,8.957489967,9.525845528,9.830792427,9.979657173,9.69230175,10.18480015,11.10691738,11.52919102,12.14756203,11.71536064,13.34348965,13.6272459,15.2069912,15.83925819,17.12587738,18.01397514,18.37525749,18.49015617,20.97564316,22.8929615,23.24504471,23.79056358,25.89118385,27.46625519,28.46346092,26.89804077,27.26539612,28.68858719,31.10889435,31.2246151,33.89748001,35.3807373,36.39788818,37.04729462,38.13574219,40.11985016,41.04798889,41.94034195,42.57969284,42.4576683,43.45317841,43.32047653,43.48776627,44.2461319,43.75182343,43.91504669,44.21593094,44.29548264,43.97617722,42.11835098,43.56697464,43.58477402,43.63797379,42.25696945,41.966362,41.55461884,41.5794754,41.60111237,42.52574158,40.18678284,38.89785385,38.4344101,37.76427841,38.16916656,38.89113235,36.26013565,36.38728714,36.34289551,34.58238602,34.47050858,33.4298439,32.98036957,31.0221138,31.5623188,31.59759712,31.17539597,29.5350647,30.1972332,27.36889839,27.10876656,26.07790756,25.99935532,24.99386597,25.11416817,24.19070435,22.71066093,22.61646843,21.31832123,20.1453228,20.0050621,19.60919762,18.97348022,18.93206596,16.83718109,16.45573807,15.67963886,15.53011131,14.90690422,14.2193594,13.68008232,12.9278574,13.01721668,11.96828461,11.6937542,11.81485081,11.24287891,10.14410877,10.59504986,9.232192039,9.30073452,8.855980873,8.686187744,8.026774406,7.253059864,6.931352615,6.81023407,6.351325989,6.087517738,6.439887524,5.876655579,5.123726368,5.019376278,4.29796648,4.588673115,4.552245617,4.231863976,4.097760677,3.568177223,3.857227564,3.351569891,3.388038635
260,2.128232956,1.872503042,1.728304744,1.673300505,1.800053477,2.412816048,5.729460239,11.59450912,16.87146759,15.98608589,10.67826271,6.091588974,4.494120598,4.071403027,4.49813509,4.908132553,5.050182819,5.687702656,6.321120262,6.419374466,6.782381535,7.279169083,7.474666595,7.751797676,8.036504745,8.436786652,8.312252045,8.312935829,8.292330742,9.096653938,9.32297802,9.162928581,9.596055984,9.43718338,9.679899216,9.980680466,9.743322372,10.07258511,10.81383514,10.73873997,11.50620079,11.57329559,12.15141296,12.10481167,12.84140968,13.27203846,13.9341135,14.79064941,15.17190075,16.07157135,16.83154106,17.56286812,18.75167656,19.91047859,20.50468254,21.57960701,23.21608162,23.66514015,24.84620667,25.45323563,23.94575119,25.19911957,26.04355049,27.37367821,28.22587585,29.67912674,30.71981812,32.62010193,32.99726868,34.64755249,35.04382706,35.58833313,37.2286377,37.36772537,38.75868988,38.6484375,39.18047333,40.87087631,40.24836349,41.11522675,40.75734711,40.08026123,40.58353043,40.06212234,40.30098724,39.9059906,40.50020599,39.75481796,40.15512466,39.67884064,39.938591,39.48276901,38.86330795,39.04292297,38.73479462,35.87335205,36.33720398,37.10369492,37.03708649,36.11636353,35.4756012,35.40089798,35.24453354,33.91877365,33.39907074,33.36757278,32.47695923,31.27712631,31.183218,30.84540176,30.04338646,29.20105553,28.14030266,28.1287365,27.090662,26.46037292,25.92213249,24.28967094,24.42506409,24.07325935,22.65878296,22.61724091,21.56877136,20.73794365,19.95999908,19.36204529,18.96755028,18.20762062,17.70235443,16.69799042,16.35366249,15.78103256,14.88693428,14.10445404,14.03155422,13.59085846,13.00460815,12.42254353,11.95894814,11.54031563,11.36643696,10.49199104,10.36924076,9.532493591,9.101933479,8.942042351,8.861693382,8.039396286,7.938550949,7.26743412,6.393719196,6.733739853,6.12362957,5.84482193,5.629452705,5.660090446,5.560693264,5.050896645,4.900112629,4.627299786,4.545103073,4.149867058,3.747258186,3.949647427,4.040813923,3.455029488
265,31.76654053,9.673800468,3.081819057,1.965353131,1.863671184,1.589337707,1.592116952,2.648975372,5.400137424,9.492588043,14.38475323,15.98547745,14.6146574,10.79580879,8.039692879,6.501635551,6.20954752,6.274143219,6.500405312,6.869924545,7.258455753,7.481164455,7.796950817,8.069262505,8.048669815,8.121911049,8.259552002,8.615887642,8.879712105,8.880913734,9.633473396,9.175006866,9.016104698,9.358335495,9.987360001,9.662536621,9.931881905,9.603633881,10.25656509,10.41126347,10.97871017,11.5748415,11.56629086,12.43329525,12.24101067,12.63199329,12.76279926,13.47078419,14.22681522,14.52581978,15.19349194,15.86388588,17.0477047,16.66601181,17.98052597,18.215168,20.1343441,20.1298275,21.04343796,22.03077316,20.53214836,20.85052109,22.68531418,24.0495472,24.89715004,25.68527794,26.78958893,27.24306488,28.81185722,28.77280045,30.35163689,31.29187775,31.7136364,33.41026688,33.10839462,33.78285599,33.8917923,34.34663773,34.04450226,34.9887886,34.79733276,35.18191147,34.53216553,34.59194946,34.87948227,35.10771561,34.5308075,35.28041077,35.18977737,34.4524498,35.3367691,34.61640167,34.67675781,35.03506851,34.27815628,32.29419708,31.99386597,31.63125229,32.01589966,31.56497574,31.26509666,30.96516037,30.73031807,30.89128113,29.58293724,29.2977314,28.60203743,28.48525047,27.56598663,27.40734673,26.90257454,25.2923336,25.75506973,24.78689957,23.61065674,23.44066048,22.85643768,22.42690659,21.83834839,21.45986366,20.58076096,19.65732574,18.74200058,18.3301754,17.42250443,17.15545082,16.64086151,16.87176323,15.56520653,14.9631319,15.12655926,14.57253456,13.28766251,13.47774887,12.51051903,12.43176651,11.67351913,11.25932407,10.90592194,9.965343475,10.0498457,9.601159096,9.563083649,8.86195755,8.035984039,7.868349552,7.579968929,7.337925434,7.163167,6.736011982,5.973432064,5.891099453,5.518012524,5.715832233,4.997363091,4.910783291,4.746758461,4.647184372,4.361864567,4.152269363,3.991598129,3.851822138,3.499803305,3.530356646,3.320741177,3.148032188
270,108.7003403,104.1221313,64.79581451,24.40242958,6.137867451,2.106754065,2.183763266,2.174360037,2.692084551,2.996564865,3.987127781,6.414584637,10.63379478,15.87225342,19.23402405,18.50519562,15.02305698,11.22092247,9.242690086,8.829586029,8.879629135,8.760356903,9.358216286,9.457326889,9.652276993,9.31234169,9.316604614,9.714726448,9.989582062,10.03009033,10.27781773,10.38494682,10.11807156,10.61362457,10.64800739,10.5446701,10.76934719,10.73787117,11.48284149,11.25678062,11.44742489,11.91366577,11.73997974,12.48479652,12.42470264,13.14408016,13.04272366,13.41940308,14.49750042,14.75277424,15.05636883,15.56066608,15.82018661,16.59235191,17.1291523,18.40732765,18.66083336,19.86035538,19.87040901,20.9137001,20.29998207,20.79145432,22.10304832,22.06725693,23.56820679,24.8295536,24.04729843,26.10778236,27.1229744,26.93944931,28.34775352,28.43307114,28.93561745,28.75805473,30.39891052,30.07020378,30.59362411,31.43394852,31.5038166,32.15621567,32.22299194,32.21862411,31.85718727,31.6442337,31.94233704,32.05440903,31.92192459,31.85488892,32.32296753,31.49250031,31.70053101,32.5347023,31.66110992,31.84292221,31.8052597,28.97376442,29.93935394,29.86641502,29.6915493,29.31900597,28.94599533,28.46385956,27.74150276,27.85973358,27.34729195,27.12779427,26.22556496,26.7483654,25.69527817,25.92338562,24.30046654,23.86649323,23.23393631,23.29175758,22.80252457,22.22898483,21.30392075,21.04996872,20.16611671,19.82244873,18.98046875,18.1473465,18.2100296,18.35665131,17.26963425,16.68758011,15.80031013,15.92572784,15.20972157,14.00232506,13.87551975,13.32628155,13.24016094,12.67590809,12.76643085,11.4762249,11.29816914,10.69714165,10.61350918,9.812743187,9.79294014,8.872644424,8.24467659,8.450708389,7.657909393,7.739837646,7.323282719,6.985117912,7.067185402,6.823924065,5.802803516,5.860298157,5.301603317,5.325706959,5.096648216,4.798874855,4.613778114,4.420339584,4.237895012,4.196323395,3.851633787,4.001656055,3.528954744,3.509255171,3.376338482,3.379604816
