Wavelength (nm),Intensity (a.u.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ELA_921_EM_270.00,ELA_921_EM_272.00,ELA_921_EM_274.00,ELA_921_EM_276.00,ELA_921_EM_278.00,ELA_921_EM_280.00,ELA_921_EM_282.00,ELA_921_EM_284.00,ELA_921_EM_286.00,ELA_921_EM_288.00,ELA_921_EM_290.00,ELA_921_EM_292.00,ELA_921_EM_294.00,ELA_921_EM_296.00,ELA_921_EM_298.00,ELA_921_EM_300.00,ELA_921_EM_302.00,ELA_921_EM_304.00,ELA_921_EM_306.00,ELA_921_EM_308.00,ELA_921_EM_310.00,ELA_921_EM_312.00,ELA_921_EM_314.00,ELA_921_EM_316.00,ELA_921_EM_318.00,ELA_921_EM_320.00,ELA_921_EM_322.00,ELA_921_EM_324.00,ELA_921_EM_326.00,ELA_921_EM_328.00,ELA_921_EM_330.00,ELA_921_EM_332.00,ELA_921_EM_334.00,ELA_921_EM_336.00,ELA_921_EM_338.00,ELA_921_EM_340.00,ELA_921_EM_342.00,ELA_921_EM_344.00,ELA_921_EM_346.00,ELA_921_EM_348.00,ELA_921_EM_350.00,ELA_921_EM_352.00,ELA_921_EM_354.00,ELA_921_EM_356.00,ELA_921_EM_358.00,ELA_921_EM_360.00,ELA_921_EM_362.00,ELA_921_EM_364.00,ELA_921_EM_366.00,ELA_921_EM_368.00,ELA_921_EM_370.00,ELA_921_EM_372.00,ELA_921_EM_374.00,ELA_921_EM_376.00,ELA_921_EM_378.00,ELA_921_EM_380.00,ELA_921_EM_382.00,ELA_921_EM_384.00,ELA_921_EM_386.00,ELA_921_EM_388.00,ELA_921_EM_390.00,ELA_921_EM_392.00,ELA_921_EM_394.00,ELA_921_EM_396.00,ELA_921_EM_398.00,ELA_921_EM_400.00,ELA_921_EM_402.00,ELA_921_EM_404.00,ELA_921_EM_406.00,ELA_921_EM_408.00,ELA_921_EM_410.00,ELA_921_EM_412.00,ELA_921_EM_414.00,ELA_921_EM_416.00,ELA_921_EM_418.00,ELA_921_EM_420.00,ELA_921_EM_422.00,ELA_921_EM_424.00,ELA_921_EM_426.00,ELA_921_EM_428.00,ELA_921_EM_430.00,ELA_921_EM_432.00,ELA_921_EM_434.00,ELA_921_EM_436.00,ELA_921_EM_438.00,ELA_921_EM_440.00,ELA_921_EM_442.00,ELA_921_EM_444.00,ELA_921_EM_446.00,ELA_921_EM_448.00,ELA_921_EM_450.00,ELA_921_EM_452.00,ELA_921_EM_454.00,ELA_921_EM_456.00,ELA_921_EM_458.00,ELA_921_EM_460.00,ELA_921_EM_462.00,ELA_921_EM_464.00,ELA_921_EM_466.00,ELA_921_EM_468.00,ELA_921_EM_470.00,ELA_921_EM_472.00,ELA_921_EM_474.00,ELA_921_EM_476.00,ELA_921_EM_478.00,ELA_921_EM_480.00,ELA_921_EM_482.00,ELA_921_EM_484.00,ELA_921_EM_486.00,ELA_921_EM_488.00,ELA_921_EM_490.00,ELA_921_EM_492.00,ELA_921_EM_494.00,ELA_921_EM_496.00,ELA_921_EM_498.00,ELA_921_EM_500.00,ELA_921_EM_502.00,ELA_921_EM_504.00,ELA_921_EM_506.00,ELA_921_EM_508.00,ELA_921_EM_510.00,ELA_921_EM_512.00,ELA_921_EM_514.00,ELA_921_EM_516.00,ELA_921_EM_518.00,ELA_921_EM_520.00,ELA_921_EM_522.00,ELA_921_EM_524.00,ELA_921_EM_526.00,ELA_921_EM_528.00,ELA_921_EM_530.00,ELA_921_EM_532.00,ELA_921_EM_534.00,ELA_921_EM_536.00,ELA_921_EM_538.00,ELA_921_EM_540.00,ELA_921_EM_542.00,ELA_921_EM_544.00,ELA_921_EM_546.00,ELA_921_EM_548.00,ELA_921_EM_550.00,ELA_921_EM_552.00,ELA_921_EM_554.00,ELA_921_EM_556.00,ELA_921_EM_558.00,ELA_921_EM_560.00,ELA_921_EM_562.00,ELA_921_EM_564.00,ELA_921_EM_566.00,ELA_921_EM_568.00,ELA_921_EM_570.00,ELA_921_EM_572.00,ELA_921_EM_574.00,ELA_921_EM_576.00,ELA_921_EM_578.00,ELA_921_EM_580.00,ELA_921_EM_582.00,ELA_921_EM_584.00,ELA_921_EM_586.00,ELA_921_EM_588.00,ELA_921_EM_590.00,ELA_921_EM_592.00,ELA_921_EM_594.00,ELA_921_EM_596.00,ELA_921_EM_598.00,ELA_921_EM_600.00
,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166
230,1.28132093,1.431824088,1.971755385,2.235808611,2.727128267,2.640777588,3.375020266,4.91173315,5.720859051,7.42610693,8.263257027,9.698681831,11.05307865,12.8004179,13.63037682,14.71529007,16.17948151,17.18183327,17.94142342,18.75903702,18.88776588,20.21286774,21.26917076,21.83335686,22.88321877,23.24875259,26.59317398,28.75447845,30.59837723,32.02347565,30.49793816,32.79385757,32.71512985,34.74067688,35.02600098,36.76424026,37.18279266,35.50533676,36.48547363,36.00089645,35.07690048,35.59276199,36.2926712,36.31113052,35.7584343,35.28829956,36.18093109,35.72547531,37.00854111,36.09791183,37.17296219,38.76814651,37.48241806,39.14654922,40.06934357,40.12348175,41.56399918,44.52413559,46.58375931,48.10792542,42.86387253,45.11930847,47.99183655,49.78629303,49.75761032,54.32860947,54.17444992,57.10957718,59.76461411,60.93274689,62.67480469,63.83844376,65.17475891,65.59440613,65.62313843,66.90061188,66.51545715,67.82778168,65.82579041,66.19051361,65.96295166,62.90965652,65.73408508,62.23159409,62.08241272,61.00217819,61.32492828,60.85667419,58.26958084,58.06658554,56.03413773,56.49657822,54.53436661,55.28926086,55.28301239,48.4693222,50.92782211,50.4470787,46.01318359,48.15481186,46.46493912,45.64174652,44.47270203,43.51301956,43.20478439,40.73458099,40.04114532,38.68828583,39.06187439,36.26428986,36.48959732,35.0173378,34.04810715,32.81710052,33.12447357,30.11196327,29.69105339,29.42806435,27.38094711,27.37412834,26.8896122,25.73845482,24.53276253,24.43806648,22.60622215,21.67988586,21.73909569,20.23463249,19.38055992,18.90008163,18.24674225,17.55733681,16.71722984,15.89432907,15.4208765,15.52914047,14.83885002,14.13436031,12.92558861,12.486413,12.22085857,12.81368542,11.50592232,9.988230705,9.684480667,9.830149651,9.205512047,9.22412014,7.609040737,8.440935135,7.203081608,7.296926975,7.007996082,6.682166576,6.222186089,6.130871773,5.700238705,5.739960194,5.132058144,5.079096317,4.816441059,4.207289696,4.820428848,4.450958729,4.218942165,3.687999249
235,1.312498331,1.180057764,1.097210765,1.454236269,1.729941368,1.60816431,1.990777731,2.284910679,3.087284565,3.685527325,4.472893238,4.766594887,6.58925724,6.470774651,7.675231457,8.837878227,9.287119865,10.06454563,10.65283775,11.13239574,12.69990349,13.46574211,12.85435963,12.71718216,13.59342861,13.69878006,15.04934311,16.5367012,17.3027401,17.73824501,18.49778938,18.77617836,19.4070282,20.95150375,21.26037788,20.83717346,22.38315964,22.27741241,22.77782249,23.02610397,23.19847679,23.74553108,25.40017319,25.25302124,26.33716202,26.37139702,25.41187477,25.95768356,27.01211739,28.42946625,28.9889431,30.11341286,31.96369362,32.22577667,33.11833954,35.26605606,37.52430344,36.97305679,39.90271759,40.59854126,37.99501801,40.45873642,40.89045715,42.78362274,45.40939331,47.48916626,49.08529663,49.24903488,51.57066727,53.83498383,55.58522034,55.07684708,56.49887466,56.51433563,57.22147751,57.96191025,59.56355286,58.39588165,59.2950325,59.10179138,57.86116791,58.27169418,57.34913254,57.33608246,53.61589432,54.60627747,52.14618683,54.56390381,53.96187592,52.72761154,52.32936478,50.24412537,50.97068405,50.49296951,50.17515182,44.12900543,44.52676392,44.84054565,44.69237518,44.28258133,42.0838356,41.52820587,41.31404495,40.51529312,39.34204483,38.67985916,37.60160828,37.14546967,35.59596634,35.66570282,32.12108612,33.32255173,31.83828545,30.6620636,30.47669029,28.49964714,27.92650414,26.79463768,26.15228271,25.35386848,24.10143089,22.55132484,23.9681778,22.40485573,21.6552887,20.85358238,20.18283653,19.55229378,18.65735054,17.92168427,17.34446907,16.57943344,15.44746971,15.32222652,13.94682121,13.13346291,13.7837286,12.85761642,11.98238468,12.31044483,11.72513676,11.01145077,10.17015171,10.49138546,9.545057297,9.374621391,8.892810822,7.924145699,8.229279518,7.416301727,6.902528286,6.376860142,5.985173702,6.086060524,6.343710423,5.869289875,5.62142992,5.217157364,5.021419048,4.416863441,4.813139439,4.520525455,4.32271862,4.199757576,3.705625057,3.726018667
240,2.449801922,1.404796362,1.066176414,1.013544798,0.843839645,0.86128515,0.780316889,1.11572063,1.284389734,1.349532843,2.136319637,2.426647663,2.946175337,3.692503691,3.748984575,4.876027107,4.747620583,5.935496807,5.968384266,6.817887306,7.11556673,7.326941013,8.004319191,7.792021275,7.921983242,8.259672165,9.012311935,9.617025375,9.889299393,10.07584858,10.58920097,10.59945965,11.41911697,12.40237999,12.09654045,13.00266647,13.38334274,14.10488796,14.64153767,14.37209988,14.80482864,15.36251831,16.72216225,16.96594048,17.50003052,18.98194313,20.11291504,19.39258194,20.79839134,22.51058578,22.93081093,23.62223625,25.65821457,27.25118637,27.56595612,28.89184761,29.47406197,31.31879616,34.67878723,35.02379608,33.0779686,35.38559723,36.08018875,37.23199844,39.65942764,42.13533401,43.3277359,45.01657486,47.51818848,47.80336761,48.49149323,50.9753952,51.09728241,51.45452118,51.03068924,51.59434509,53.24223709,53.56626892,52.36384583,52.88162231,51.88831711,52.78777313,51.65645599,52.19990158,51.5095787,50.21604919,48.95628357,50.00519562,49.19305801,47.43283463,47.99225235,48.72180557,46.49331284,45.95782852,45.65704346,43.55391693,42.90810776,41.55343246,40.6339798,42.93280411,40.23779297,39.34070206,38.92512512,37.1595192,38.98425674,37.32817841,37.02025604,35.7610817,32.5532074,33.25429916,32.63061523,31.58601952,29.93065262,29.46542549,28.75206184,27.48574066,28.13917542,25.54751778,25.64427376,25.74848175,23.04241753,22.86580849,21.90802574,22.23850822,21.30153084,19.34693146,19.94192696,17.95380974,17.82225418,16.88493729,16.44556236,15.65115547,16.31056595,14.76457977,14.38442326,13.11095715,13.14798164,12.40597725,11.83855629,10.98207855,11.24303532,10.87721157,10.70393467,9.233515739,9.09204483,9.458891869,8.996979713,8.573212624,8.19185257,7.855491638,6.63059473,6.453796864,5.984193325,6.623159409,5.61399889,5.955709457,5.11749506,5.16976738,4.989916325,5.014565468,4.530682564,4.28839159,4.222540379,3.939886808,3.857187748,3.468501329
245,14.9016161,9.648562431,4.462339878,2.014352083,1.262649179,0.757035732,0.788830161,0.827433467,0.996397197,1.125778317,1.411339879,1.661910534,2.329133511,2.798146725,3.291973352,3.463604689,4.088917255,4.385037422,4.89515543,5.455897331,6.124718666,6.086524963,6.184020042,6.944218159,7.050619125,6.942002296,7.208624363,7.634184361,7.642609119,7.845402718,8.842890739,8.957269669,8.741611481,9.63035202,10.19038773,10.10748386,10.76636887,10.7726984,10.96123791,11.81921768,12.81596661,13.33804131,13.45760441,13.73174572,14.78492641,15.16764545,16.20948792,16.93251991,17.7509079,19.00158691,20.57667732,20.99012375,21.92439651,23.60168457,24.37664795,26.17494774,27.77424622,29.05018806,30.58503151,32.36850357,28.80271912,30.6037178,32.96987152,34.0152359,37.24991989,36.90591431,39.27658844,41.28505325,41.4812851,43.18227768,44.57871246,45.46405792,46.06295395,46.5644722,48.30005646,48.46841049,48.95003128,49.33990479,49.566185,49.51651764,48.08720398,49.28600693,47.71660233,48.08065033,47.22853851,47.30088043,45.54427338,45.92380905,44.53463745,45.18835449,45.49962997,44.29776382,44.56484604,43.63411331,44.44491196,40.5120697,39.84832001,40.52857208,39.13358307,38.87262726,38.20928574,37.59026337,37.38244629,36.29137421,35.38687515,34.49477386,33.52482986,33.13166046,32.51089096,31.48984337,30.67847252,30.75676727,29.08999062,28.44048691,27.70653152,26.56290817,26.47271919,25.9441433,25.22897911,23.51168251,22.57676315,22.82461357,21.41510963,21.42989349,20.26646042,19.54295731,18.75722313,17.9506588,17.40127563,16.39808846,16.375597,15.99117756,15.13683891,14.88457108,13.70046806,13.72030258,13.03411293,12.45998573,12.76084042,11.65532589,10.94939518,10.76523209,10.38888359,10.04063416,9.178418159,9.517319679,8.783657074,7.853220463,8.044992447,7.347044945,6.687225342,6.450404167,6.845141888,6.327485561,5.405770302,5.537393093,5.31912756,4.97692585,4.731183052,4.339796066,4.459198952,4.340164185,3.801240683,3.878783464,4.159001827,3.407327652
250,11.11852074,16.75572968,17.78349304,12.86837578,7.738449097,2.947940826,1.59495914,1.351282597,1.24841392,1.376522541,1.542555213,1.872719049,2.222560167,3.01748991,3.24928093,3.866785765,4.419042587,4.633262634,5.433603764,5.461589813,6.063929081,6.130319118,5.983767986,6.641262054,6.857131481,7.109488487,7.43981123,7.638547421,7.56948185,7.891996861,7.928565979,8.401443481,9.201860428,8.944976807,9.428283691,8.767785072,9.333136559,10.07298279,9.866856575,10.08301163,10.84841537,11.67248821,12.04876328,12.69984913,12.59577274,13.81743336,14.26735687,15.16572857,15.46107292,17.29343987,17.54320526,18.98008728,19.74489212,20.9087429,22.17356873,23.45786667,24.52895546,26.08799744,27.29962921,28.04197884,26.07756615,27.47706032,29.58924484,31.34589195,32.62345505,34.07350922,34.64542007,37.2919426,38.20144653,38.7641983,40.79046631,41.52658463,42.3475914,42.93065262,43.32526779,44.40491104,45.38428497,46.10036469,45.34448624,45.33380127,45.31176758,46.02943039,45.26971817,43.67848587,43.69544983,44.05079651,43.99246597,43.77891159,42.75299454,42.37483978,42.73142624,42.43017197,42.16820526,41.88237,41.61951065,38.28684616,37.28012466,36.35354614,36.85737991,36.91425323,36.24525833,35.79849243,35.67370224,35.14696503,34.36925125,33.4062767,33.10554123,32.00848389,31.78450775,30.47250366,29.53956223,28.54032135,27.89559555,27.75337219,26.6788311,26.88978195,24.57867241,24.30979729,23.83586693,22.92588806,22.34581184,21.88951302,20.63453674,19.90859413,19.55586624,18.85940742,18.45868492,17.91796494,17.13652802,17.06387711,16.35204124,15.50620079,14.2439537,13.80657864,13.56637383,13.35354424,12.77544975,12.51350689,11.76121521,11.29567909,11.3190937,10.47257042,9.617558479,9.214095116,9.149467468,8.444480896,8.495432854,8.009395599,7.892944336,7.551201344,6.489416122,6.044297695,5.779558659,6.12886095,6.005707741,5.579493046,4.902549744,5.360868454,4.787071228,4.607904911,4.527121067,4.36997509,3.974175692,3.796892166,3.86422348,3.495004654
255,1.847074986,2.237762928,4.654129982,8.546359062,14.02717018,14.30615616,11.54532433,7.712301254,4.003573895,2.656668901,2.121176958,2.855075836,3.363552094,3.509380341,3.976777554,4.736116409,4.77590704,5.348062515,5.321656227,5.844731331,6.256899834,6.823945522,6.9490695,7.072495937,7.375323772,6.934215546,7.427287579,7.864922523,8.115901947,8.094783783,8.439305305,8.557173729,8.988009453,8.679595947,9.519414902,9.636181831,9.522628784,9.796141624,10.16287613,10.48424053,10.9139595,11.25073147,11.73448372,12.00845337,13.23163223,13.13399792,13.38975143,14.21245575,15.31468487,15.95032597,17.11022949,16.84887886,17.92392731,18.91252708,19.92185211,21.77967453,22.76299286,23.61157036,24.54916,25.72711182,23.09186172,25.19812012,26.79799461,28.64381218,29.28663826,30.35402489,32.54166794,32.13964844,33.79602432,34.38419724,35.42547226,38.37834167,37.59000015,39.13468933,38.43774796,41.35960007,39.94143677,41.59349823,42.33478546,41.60904312,41.53382874,41.38442993,41.11727142,40.76398087,41.07920456,41.27016449,40.35028839,40.98925018,39.70035934,38.42396164,39.90245438,39.56121826,38.84277344,37.79638672,38.20234299,35.28063965,35.9216156,34.68727493,34.82406235,34.36214066,35.85786819,34.50180435,33.59933472,32.95028687,32.55983353,32.11355591,31.23941994,30.18650818,29.15811539,29.404953,28.95840263,27.62000847,26.88344002,25.93108749,25.04445839,24.16909027,23.72084045,23.77393723,22.68582153,22.13022041,21.13133049,20.77220345,20.26032257,19.87692261,18.27601433,18.35342979,17.82065392,16.57134247,15.77852535,16.15364838,14.85389042,14.48312473,13.94968033,13.10461235,13.73587132,13.1597805,12.21213818,11.5134201,11.09587002,11.11887264,10.25985527,9.512230873,9.477062225,9.448375702,8.507115364,8.374752045,8.40378952,7.799659729,7.316084862,7.388366699,6.164290905,5.97031641,6.217226505,5.851499557,5.57364893,5.283762932,4.77944231,4.747869492,4.859902382,4.498990536,4.201926708,4.272667885,3.477121353,3.761042118,3.933616877,3.177271605
260,2.203125954,1.855007768,1.817459345,1.880621314,2.159166098,3.056848526,6.521903992,12.87556648,17.23367119,16.97274017,10.37343788,6.54873848,4.757296085,4.887033939,5.079536438,5.405416012,5.97319746,6.343001366,6.58700037,7.047392845,7.451708794,7.396908283,8.01693821,8.430430412,8.559130669,8.189180374,8.89695549,9.179724693,9.572127342,9.439285278,9.703587532,9.77102375,10.01508522,10.07772923,10.33224678,10.66797924,10.60984135,11.02612495,10.90266228,11.32908344,11.54554558,11.97616863,12.36173725,12.2045517,12.75975323,13.14210129,13.94287872,13.74707985,14.92577362,15.74888325,16.33121681,16.79951859,17.70080948,17.95810699,18.98168373,19.91106224,20.95904732,21.89702606,22.23408699,24.27332115,21.61443138,23.65398026,25.08442116,25.57486916,26.98929405,29.08262634,29.97469139,30.60217667,31.31837654,32.58852386,33.77895737,34.27501297,35.41278839,35.37259674,36.53386688,37.59054184,38.64714432,39.39897537,38.75760269,38.69313431,38.92167282,39.06147003,38.18569183,38.66219711,38.52789688,38.7175293,38.12047958,38.27358627,37.59574127,37.80596924,37.31657791,37.67691422,38.02649689,38.33173752,37.21965027,35.26826477,34.21993256,34.46718979,33.18554306,33.77209091,33.23725891,32.55540085,32.79055786,32.6955719,31.55618095,31.34375,30.99433899,30.71718597,29.80641747,28.73139954,28.66249466,27.73047066,27.57348824,26.57917213,25.435812,24.89027786,23.92368889,23.58552361,22.44364929,22.39218521,22.02826118,20.65471077,20.62770844,19.62057114,19.37552071,18.2889576,17.37228775,17.24208641,16.50693893,16.24184036,15.28639412,14.79083157,14.36163139,13.92916679,13.28943443,12.80637455,12.62045002,11.86062622,11.4548645,11.22352886,10.65131474,10.04986,9.875675201,9.553711891,9.109171867,8.844799042,8.009447098,7.577860355,7.556646347,7.477683544,6.213684082,6.510002136,6.350339413,5.896572113,5.406418324,5.475577831,5.114559174,4.903683186,4.663025379,4.623357773,4.339067936,4.052109241,3.774184942,3.671186924,3.767976999,3.531702757
265,23.34906006,8.826025963,2.869145155,2.208458185,2.197538614,1.702331662,1.934349418,3.359926462,6.085426807,10.41377544,15.1335392,16.5692215,14.7922039,11.0425005,8.296229362,6.742546082,6.712045193,6.794654369,7.042234898,7.158486366,7.686219215,8.387982368,8.198702812,8.599772453,8.544881821,8.803533554,8.848567009,9.182188034,9.395670891,9.871074677,9.660315514,9.76597023,10.06427383,9.956501007,10.65498352,10.61534119,10.65302181,10.98281574,10.80757999,10.7802124,11.70842648,11.26527691,12.04638672,11.93826962,11.87504387,13.02554226,12.82737732,13.91876507,13.42055321,14.00751495,14.96208477,14.72075367,16.01442719,16.14672089,17.03702736,18.14144707,18.03069115,19.72223091,20.28527451,21.49766922,19.78396034,20.88521194,22.09583855,22.54791451,25.10345078,24.51921654,25.59727097,26.75899696,27.65953064,28.36018562,28.6339016,30.27801704,31.25273132,30.7842083,32.28044128,32.48278046,32.62705231,33.95352936,33.90011597,33.3937645,34.21191788,33.70720673,33.740345,33.89067459,33.11470795,32.63411331,32.78063583,32.64945602,33.88856506,33.34148788,32.73083115,32.8064537,33.34360886,32.77915573,32.73918152,29.44439507,30.41934586,29.85101128,29.90322304,29.03506851,29.33063316,28.6630249,27.932024,29.20110703,28.07552338,28.42105103,26.76059341,26.24561501,26.04426003,25.72533035,25.18968391,24.37688065,23.81048203,24.12163544,22.84195137,22.55034828,21.28152847,20.26818466,21.02449226,19.35900879,19.48014832,18.78290558,18.08086395,17.76023102,16.52248001,16.59004211,15.68510628,15.52885628,15.31910896,14.2650795,14.03621197,13.56603909,13.17302322,12.65042305,11.87141228,11.70214939,11.75723267,11.32697868,10.34239769,10.01546288,9.342142105,9.060585022,9.223548889,8.926064491,8.051362038,7.866809368,7.243679047,7.209326744,6.576224327,6.45858717,6.219600677,5.440602303,5.577950478,5.297811985,4.792962074,5.15683651,4.580481052,4.136189461,4.255689621,4.151248932,3.987081528,3.571823597,3.786748171,3.463747501,3.454835653,3.118773937
270,99.95006561,99.31851959,51.39596939,19.24684525,5.597436428,2.274408579,2.334228754,2.575534821,2.98290658,3.4890275,4.972506523,7.189543724,12.1386013,17.50638199,20.03388596,18.59704399,15.11099148,11.24155235,9.795444489,9.387807846,9.664931297,9.63561821,9.242864609,9.764146805,9.843147278,9.706759453,10.07055569,10.25440598,10.50881863,10.40182972,10.49845982,11.22295952,11.19643307,11.28291321,11.16972256,11.83265781,11.41526318,11.60615253,11.60381889,11.55027962,11.51779461,12.11191463,12.50033665,12.54146576,12.99933052,12.97389412,13.65016842,13.56666279,13.91867828,13.97221184,14.23317432,15.16369629,15.78893948,16.12719727,17.09973717,17.77397346,18.18483925,18.56064796,19.85020447,20.40322495,17.90050888,19.43794632,20.77322578,21.40751076,22.78100967,23.34327888,24.45240784,24.92576599,26.12015343,26.51181793,27.85739517,28.54166222,28.74842834,28.73374557,29.2753334,30.29840469,31.38498497,31.41650391,31.36872673,31.62984085,30.66871834,30.54799652,30.93477058,31.14442825,31.01004791,30.82879639,30.50118065,30.65963745,29.918396,29.60429382,30.62178993,30.44376183,30.02310371,29.6666584,30.40600204,27.38784218,27.43160248,26.56205559,27.5730629,26.79015732,27.15475273,26.88865852,26.5927906,26.543396,25.60042763,25.06937981,24.86244011,24.28191566,23.55724144,23.34434891,23.50921822,23.28191948,22.30326271,21.75431252,21.51546669,20.533041,20.20745659,19.39467239,18.87809181,18.07870865,18.48688698,17.41319275,16.94304848,16.27879715,16.59644508,15.76112843,15.16907406,14.85913563,14.24183941,13.68545914,13.31529427,12.84601116,12.24704456,11.98055267,11.5694828,10.97391701,10.73777199,10.28540039,9.611997604,9.476499557,9.321365356,8.643541336,8.364566803,8.021810532,7.441168785,7.261776924,7.545578957,6.692230225,6.561567783,6.386477947,5.669665813,5.652792454,5.300693035,5.170984268,5.092391014,4.545812607,4.533716679,4.520207405,4.239293098,3.786245584,3.857927322,3.630189419,3.390825748,3.512984037,3.523025036,3.106105804
