Wavelength (nm),Intensity (a.u.),Z Axis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ELA_930_2_EM_270.00,ELA_930_2_EM_272.00,ELA_930_2_EM_274.00,ELA_930_2_EM_276.00,ELA_930_2_EM_278.00,ELA_930_2_EM_280.00,ELA_930_2_EM_282.00,ELA_930_2_EM_284.00,ELA_930_2_EM_286.00,ELA_930_2_EM_288.00,ELA_930_2_EM_290.00,ELA_930_2_EM_292.00,ELA_930_2_EM_294.00,ELA_930_2_EM_296.00,ELA_930_2_EM_298.00,ELA_930_2_EM_300.00,ELA_930_2_EM_302.00,ELA_930_2_EM_304.00,ELA_930_2_EM_306.00,ELA_930_2_EM_308.00,ELA_930_2_EM_310.00,ELA_930_2_EM_312.00,ELA_930_2_EM_314.00,ELA_930_2_EM_316.00,ELA_930_2_EM_318.00,ELA_930_2_EM_320.00,ELA_930_2_EM_322.00,ELA_930_2_EM_324.00,ELA_930_2_EM_326.00,ELA_930_2_EM_328.00,ELA_930_2_EM_330.00,ELA_930_2_EM_332.00,ELA_930_2_EM_334.00,ELA_930_2_EM_336.00,ELA_930_2_EM_338.00,ELA_930_2_EM_340.00,ELA_930_2_EM_342.00,ELA_930_2_EM_344.00,ELA_930_2_EM_346.00,ELA_930_2_EM_348.00,ELA_930_2_EM_350.00,ELA_930_2_EM_352.00,ELA_930_2_EM_354.00,ELA_930_2_EM_356.00,ELA_930_2_EM_358.00,ELA_930_2_EM_360.00,ELA_930_2_EM_362.00,ELA_930_2_EM_364.00,ELA_930_2_EM_366.00,ELA_930_2_EM_368.00,ELA_930_2_EM_370.00,ELA_930_2_EM_372.00,ELA_930_2_EM_374.00,ELA_930_2_EM_376.00,ELA_930_2_EM_378.00,ELA_930_2_EM_380.00,ELA_930_2_EM_382.00,ELA_930_2_EM_384.00,ELA_930_2_EM_386.00,ELA_930_2_EM_388.00,ELA_930_2_EM_390.00,ELA_930_2_EM_392.00,ELA_930_2_EM_394.00,ELA_930_2_EM_396.00,ELA_930_2_EM_398.00,ELA_930_2_EM_400.00,ELA_930_2_EM_402.00,ELA_930_2_EM_404.00,ELA_930_2_EM_406.00,ELA_930_2_EM_408.00,ELA_930_2_EM_410.00,ELA_930_2_EM_412.00,ELA_930_2_EM_414.00,ELA_930_2_EM_416.00,ELA_930_2_EM_418.00,ELA_930_2_EM_420.00,ELA_930_2_EM_422.00,ELA_930_2_EM_424.00,ELA_930_2_EM_426.00,ELA_930_2_EM_428.00,ELA_930_2_EM_430.00,ELA_930_2_EM_432.00,ELA_930_2_EM_434.00,ELA_930_2_EM_436.00,ELA_930_2_EM_438.00,ELA_930_2_EM_440.00,ELA_930_2_EM_442.00,ELA_930_2_EM_444.00,ELA_930_2_EM_446.00,ELA_930_2_EM_448.00,ELA_930_2_EM_450.00,ELA_930_2_EM_452.00,ELA_930_2_EM_454.00,ELA_930_2_EM_456.00,ELA_930_2_EM_458.00,ELA_930_2_EM_460.00,ELA_930_2_EM_462.00,ELA_930_2_EM_464.00,ELA_930_2_EM_466.00,ELA_930_2_EM_468.00,ELA_930_2_EM_470.00,ELA_930_2_EM_472.00,ELA_930_2_EM_474.00,ELA_930_2_EM_476.00,ELA_930_2_EM_478.00,ELA_930_2_EM_480.00,ELA_930_2_EM_482.00,ELA_930_2_EM_484.00,ELA_930_2_EM_486.00,ELA_930_2_EM_488.00,ELA_930_2_EM_490.00,ELA_930_2_EM_492.00,ELA_930_2_EM_494.00,ELA_930_2_EM_496.00,ELA_930_2_EM_498.00,ELA_930_2_EM_500.00,ELA_930_2_EM_502.00,ELA_930_2_EM_504.00,ELA_930_2_EM_506.00,ELA_930_2_EM_508.00,ELA_930_2_EM_510.00,ELA_930_2_EM_512.00,ELA_930_2_EM_514.00,ELA_930_2_EM_516.00,ELA_930_2_EM_518.00,ELA_930_2_EM_520.00,ELA_930_2_EM_522.00,ELA_930_2_EM_524.00,ELA_930_2_EM_526.00,ELA_930_2_EM_528.00,ELA_930_2_EM_530.00,ELA_930_2_EM_532.00,ELA_930_2_EM_534.00,ELA_930_2_EM_536.00,ELA_930_2_EM_538.00,ELA_930_2_EM_540.00,ELA_930_2_EM_542.00,ELA_930_2_EM_544.00,ELA_930_2_EM_546.00,ELA_930_2_EM_548.00,ELA_930_2_EM_550.00,ELA_930_2_EM_552.00,ELA_930_2_EM_554.00,ELA_930_2_EM_556.00,ELA_930_2_EM_558.00,ELA_930_2_EM_560.00,ELA_930_2_EM_562.00,ELA_930_2_EM_564.00,ELA_930_2_EM_566.00,ELA_930_2_EM_568.00,ELA_930_2_EM_570.00,ELA_930_2_EM_572.00,ELA_930_2_EM_574.00,ELA_930_2_EM_576.00,ELA_930_2_EM_578.00,ELA_930_2_EM_580.00,ELA_930_2_EM_582.00,ELA_930_2_EM_584.00,ELA_930_2_EM_586.00,ELA_930_2_EM_588.00,ELA_930_2_EM_590.00,ELA_930_2_EM_592.00,ELA_930_2_EM_594.00,ELA_930_2_EM_596.00,ELA_930_2_EM_598.00,ELA_930_2_EM_600.00
,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166
230,1.179844022,0.994213343,1.494608164,1.697285175,1.787399411,1.771356225,2.569750309,3.525571108,4.110271931,5.3507061,7.099270344,8.556744576,10.22624397,11.52300835,13.20644188,14.44131279,14.89527988,16.57633018,17.51372337,19.3868084,20.07205772,20.72276306,21.00798416,21.16875648,22.14735222,23.03921509,25.43061638,28.08642006,30.03887558,31.67090034,30.86540222,29.442173,32.55143738,31.32432938,31.80217552,32.87578583,34.20151138,33.48754883,32.87997055,33.66748428,33.88823318,32.64958191,33.93647003,33.44643021,35.24910355,35.47219086,36.12499619,37.36745071,36.96160126,37.30207443,39.55553818,42.33889389,43.10985947,45.90107727,47.80658722,50.44983673,55.61310577,58.45985413,61.17114639,66.2274704,61.07130051,64.95811462,69.86023712,74.74879456,77.37142944,82.89012909,85.40445709,89.42163849,92.7323761,93.96281433,96.75074768,95.85569,95.99464417,99.79349518,99.40525818,100.8512878,98.85749817,97.74594116,97.40409851,96.06367493,97.66255188,93.91243744,92.48049927,89.94187164,86.78475189,84.4078598,83.56475067,80.13829803,79.09675598,76.80104828,76.37784576,74.30271149,73.19817352,69.11128235,68.76271057,63.50162125,60.8484993,61.14212799,58.49147034,57.82667923,54.51161575,55.0317955,52.32846069,52.12683487,50.04445648,47.85112381,46.96047592,47.08189011,45.33816528,42.74856949,40.00234222,40.80395889,37.28350067,36.55304337,34.9864006,34.28570557,33.92614365,31.84960938,31.25935936,30.09607124,28.86678123,28.98792458,26.66042709,26.37107468,24.68498039,24.61006165,22.8390255,22.91300774,21.71345139,19.87101936,20.3424511,19.05137253,17.96053505,17.48652458,16.64494324,15.6507988,15.06902981,15.12285042,14.30399609,13.16479015,12.94486523,12.06576824,12.10759354,11.9799633,10.83699799,10.22214794,9.867500305,10.07783031,9.028588295,8.803524017,8.319746017,7.565773964,7.331369877,7.068738937,6.646521091,6.50424099,5.572935581,5.390817642,5.216416836,5.371665478,4.999124527,4.405047417,4.503694057,4.691232204,4.367533684,4.189011097
235,0.947812557,0.937330186,0.92147547,1.155117989,1.398280025,1.326990485,1.77878356,1.757718563,2.507756472,2.965129614,3.703285217,4.383679867,5.774167538,6.307919502,7.530277729,8.794647217,9.79685688,10.88509655,11.82331085,12.33433056,12.43007851,13.41933727,13.94932652,15.44863701,14.57718372,14.26364517,15.34759712,16.20337868,17.31011009,17.61784172,18.6893692,18.99897194,18.89471626,18.35828209,20.44867516,20.03915596,20.91017723,20.06300354,20.58408165,22.16370201,22.34235573,22.88004875,23.0075016,24.0853405,24.02412796,25.07528305,26.65867233,27.56605148,28.68115616,30.32458305,31.66566658,32.88404083,34.42778015,37.22419357,41.09932327,43.38540268,45.41244125,48.13828278,51.30246353,55.10373688,50.24370575,55.20549011,58.64249039,63.03485107,66.83737946,69.87590027,72.65736389,74.09078979,76.65262604,78.24349213,81.3922348,83.70500946,84.10011292,84.24943542,84.92152405,84.32398987,86.54619598,87.3732605,84.90307617,83.53382111,79.63301086,81.69465637,80.08592224,77.81789398,76.28435516,73.95951843,72.01226044,72.84667206,69.31522369,68.00398254,64.98126221,66.0111084,65.22862244,62.30884552,61.13629532,56.19429779,55.91061783,54.76166916,53.09397125,52.32133865,51.62726593,49.51745605,48.18437195,48.25439072,46.05440903,44.4389801,41.60556793,40.78595734,39.36814499,40.45923615,37.12876892,36.58384323,36.33392334,33.7429657,32.10646439,32.41627502,31.84372711,29.17317581,28.91532516,27.65511513,27.48957634,26.79248238,25.15164375,25.12923431,22.88899422,22.73996735,21.15089989,20.7877903,20.23676491,18.83559227,18.02352333,17.21777153,16.52131271,15.33402061,16.08115196,14.85036659,14.27150536,13.64080906,12.48361778,12.96488667,12.30796528,11.19061184,11.21578121,11.33236313,9.763667107,9.804607391,9.21612072,8.719127655,8.824448586,8.161015511,6.751523972,6.979361057,6.3368783,6.472019196,6.427262306,6.081356525,5.835470676,5.694333553,5.606970787,4.733533859,4.681594372,4.812030315,4.560344696,4.219734192,3.851993799,3.380960464
240,2.304167271,1.354483962,1.136927009,0.706188083,0.62741977,0.513409257,0.886446834,0.724670053,1.316695452,1.357921243,1.893491983,2.359292269,2.854747057,3.841528177,4.423398018,4.918153763,5.030041218,6.735157013,6.405718327,6.820884228,7.8102808,9.267859459,8.592485428,9.202993393,9.224387169,8.621629715,9.202451706,10.23704147,10.54195309,10.39818573,10.69564819,10.46346474,11.53734875,11.07689667,12.58578587,12.88999271,12.56461048,13.03920841,13.27026176,14.07579803,14.69004154,14.91925335,16.02409935,17.79618645,17.0951519,18.2840004,20.07309341,20.14135361,21.98716736,22.51993561,25.02864075,26.4323349,29.47115707,30.60598946,33.20846939,34.4805336,37.33350754,39.85912323,41.58620071,45.13718414,43.40848541,45.91693878,49.0504837,51.09064102,54.72399902,55.58845139,59.4373703,61.46597672,64.44940948,65.87574005,67.24198151,69.92092896,69.86237335,72.47853088,72.2206955,72.80917358,72.57091522,73.34234619,73.20785522,71.11394501,69.82423401,68.17192841,68.84682465,66.79917145,66.21566772,65.76123047,63.96637344,63.30406189,60.96675873,60.14393616,58.2980423,57.83779144,57.33076859,57.13194656,55.19181061,51.27790451,48.74369049,49.22677231,50.02096558,47.56194687,44.85634613,45.5364151,43.78279114,43.25635529,41.56921005,39.92717361,39.73421097,38.41874695,38.67286682,35.89955521,36.16593552,33.53139877,34.05715179,32.47949219,31.53580666,30.62886238,29.59713364,29.22047424,27.23580551,26.4386158,25.88480377,24.40584755,23.85857773,22.45903587,21.27210426,21.08735275,20.62587738,20.05344772,18.67274857,17.62866211,18.10573959,17.61861801,16.31826782,15.31380081,15.01129723,13.43610287,13.74189758,13.14752579,12.97138023,12.23776913,11.4327879,11.0482769,10.28989029,10.14858437,9.889063835,9.594631195,8.926049232,8.535017967,7.816271305,8.02913475,7.54452467,7.132272243,6.635107517,6.913454533,5.822892666,5.490078449,5.869639397,5.57738018,5.202561378,5.463619232,4.509532452,4.771393776,4.239213943,3.855978251,4.174938679,3.73800993
245,14.34096527,9.34444046,4.674604893,1.953301311,1.096991539,0.699103594,0.687937438,0.999985635,0.843556464,0.934585452,1.40613544,2.002327204,2.288347244,2.997156143,3.454972982,3.910228491,4.315569878,4.844462395,5.471948147,5.662395954,6.496255875,6.445622921,6.864031315,7.059270382,7.002040863,7.296457291,7.218134403,7.797032833,7.962952614,8.108550072,8.225781441,8.880267143,9.050556183,9.704134941,10.09429455,9.670314789,10.5679636,10.04751968,11.58476353,11.19883728,11.87707615,12.8841362,13.13712215,14.19726658,15.02056599,16.15318108,16.92703056,17.58159256,19.41004181,20.1488266,22.06126595,22.85592842,24.3332653,26.14611244,28.32193565,30.86892509,32.67918396,34.83545685,36.79016876,39.1372261,38.20727921,39.81344986,43.02664185,45.07296371,48.12804794,50.93252563,53.28113174,55.29269791,56.99040985,58.28641891,59.9560318,60.5795784,62.18729401,62.78565216,63.3083992,64.53723145,65.18673706,64.48125458,63.35601807,64.06052399,62.59999084,62.98049927,60.34349823,59.03981018,58.91894913,59.51791,57.37796021,58.44971085,55.66794586,54.13314819,53.12680435,54.09069824,53.15940475,51.75046921,51.35467529,47.60291672,46.92787933,45.89865112,45.69542694,43.35620117,43.43929672,42.56171799,41.23084641,41.07949829,41.20695877,38.91596222,38.21178436,36.62150192,35.72870255,35.21707916,33.83999252,33.28200912,30.86536789,30.12679672,31.02582741,28.9868412,28.22147942,27.27544975,26.66569138,25.51623726,24.48205948,24.23540497,23.01153564,21.74662209,21.98567772,20.90419388,20.36044502,18.95983887,19.072052,18.03092957,16.63463402,16.16766739,15.83445454,15.20203018,14.99323177,13.86367798,14.1231699,13.40201473,12.65013409,12.30609894,11.63076782,11.08824635,10.35954094,9.965608597,9.414494514,9.524903297,8.455208778,8.591573715,8.065144539,7.570166588,7.168079853,7.067427635,6.534790993,6.407281876,6.117199421,5.572388649,5.886902332,4.940283775,5.074886322,4.814571381,4.458772182,4.47642231,3.970312119,3.777833223,3.965749264,3.928198338
250,10.51099777,16.46901321,16.86330223,13.06008339,7.585655689,2.701391459,1.486148238,1.114027619,1.030118585,1.327412963,1.424838305,1.91610682,2.588237286,3.071839333,3.359270096,3.967864275,4.217664719,5.040603161,4.89883852,5.678315163,6.018956661,6.777645588,6.766509056,6.774325848,6.817049503,6.958099365,7.346374512,7.510133743,7.645859718,7.869494438,8.474687576,8.028223991,8.193304062,8.876570702,9.217612267,9.770153999,9.641461372,10.01234055,10.16421127,11.01478195,11.26371574,11.51863003,12.11296749,12.65928936,13.42834854,15.23159599,15.68269634,16.15003204,17.25560951,17.7751503,19.94603348,20.96878815,22.67672539,23.84332085,24.68089294,27.66815948,29.52272034,32.249897,34.23540878,36.46308136,33.74907684,35.7225914,37.93638611,40.47375107,42.53665543,44.25016022,47.43248749,50.45330811,50.99460602,52.50857544,53.8345871,53.58026886,56.44962692,57.25341415,57.71373749,58.71463394,57.78582382,59.34469223,57.68316269,58.18071365,58.4022789,56.93479156,56.31950378,55.45678711,54.58825684,54.46047974,53.58663559,52.60510635,51.38982773,50.74871826,50.58167648,49.69509888,48.88260269,47.54877853,48.64448929,43.43080139,42.60518265,43.31229782,42.83725739,42.43924332,40.80108643,40.2404747,39.55099487,37.54893494,38.14756012,36.57976913,35.60558319,34.65892792,34.10700607,33.92509079,32.15236282,31.49968529,30.40548706,29.08280754,28.20282173,27.9502697,28.39149475,25.81464005,25.7418232,24.82857132,23.76010704,23.14964294,22.83603859,21.86642265,20.51671791,20.29585266,19.19217873,18.39270401,18.1252079,17.47486877,16.1774826,15.61986732,16.00767899,14.77613258,14.9455843,14.29506493,13.74236774,12.73424816,12.33213806,12.02493763,11.4459362,11.11151123,10.13156605,10.34484577,9.49014473,9.019706726,8.912157059,8.175521851,8.200596809,7.696211815,6.48480463,6.736525059,6.535264969,6.521345139,5.865383148,5.41021204,5.51023531,5.252296925,5.032078743,4.78282547,4.322943687,4.321256638,4.127812386,3.745464802,3.914402246,3.590801477
255,1.437403202,1.952203155,4.434403896,8.756708145,14.24497509,13.12784195,11.42058659,7.077692509,4.195250034,2.682909489,2.384939671,2.161254644,3.065125465,4.361675262,4.311642647,4.60637188,5.457810879,5.570462704,6.031843662,6.099824905,6.617506504,7.571109772,7.148173809,7.135032177,7.738423347,7.833738327,7.685884953,8.397435188,7.901203156,8.243040085,8.513961792,9.013302803,8.98850441,9.272285461,9.46102047,9.43096447,9.05994606,10.01484394,10.26720524,10.52219582,11.33372974,11.7802372,12.28485489,12.21779823,12.92335033,13.30647182,14.15570068,15.32686615,16.2060585,17.25067329,17.32372093,18.5879879,21.41319466,22.36377525,23.41278076,24.86507034,27.43869591,29.36852074,30.21809196,32.50239563,31.02301979,33.12521744,34.4151268,36.70804977,37.95493317,40.83393097,43.40308762,44.1018486,45.30143738,46.35273361,48.64654922,49.97290802,50.21020508,51.29208755,52.93493271,52.93905258,53.10253525,51.25243378,54.36362839,53.42263031,52.85897827,52.06715012,51.70552063,52.31906128,50.62046051,49.51697922,48.40959549,47.54747772,46.90534592,47.85242462,46.81651306,47.06898499,45.88763428,45.0696373,44.56596375,41.87214279,40.37624741,39.82741928,39.75455093,39.29150009,38.37322617,38.45836258,37.0983429,35.98366547,36.65574265,35.03591537,33.9779892,33.17985916,32.7123909,32.11448288,30.69172096,30.0454998,28.52536964,29.08306885,27.66033745,25.78770065,26.40121269,26.0665493,24.67846489,23.94102478,22.41699791,22.23702812,21.33820915,21.19839096,20.00652122,20.0512886,18.99530983,17.71545792,17.58467293,16.50883675,16.30030441,15.91970444,15.37550354,14.99021912,14.52714634,13.71649742,13.913661,12.25763988,12.14316845,11.4921484,11.055233,10.81128025,10.25262547,9.456835747,9.689628601,9.032706261,8.443174362,8.486413002,7.341335297,7.394128799,7.392102718,6.533417225,6.24618721,5.947558403,5.498445988,5.6337533,5.305118084,5.062596321,4.466370583,4.75520134,4.668941021,4.210167885,4.103924274,3.459519625,3.764330864,3.700718641
260,2.033237696,1.680594087,1.56850791,1.602190852,1.773761868,2.72189641,6.089754581,12.22823429,17.0273571,16.49869728,10.4531765,6.873618126,5.057394505,4.825994492,5.503979206,6.132915974,6.429057121,6.648604393,7.370647907,7.427804947,8.045641899,8.126481056,8.382805824,8.495955467,8.700092316,8.93652153,9.015141487,9.402456284,9.913949013,9.73359108,9.988981247,9.882137299,10.69570827,10.3813343,10.42136574,10.78949451,10.52689648,10.76836681,10.95141315,11.02561951,11.42991734,11.67479134,12.67479038,12.78398514,13.24917126,14.37479305,14.186553,14.79490757,15.68955231,16.50182915,17.79601288,18.96520805,19.65870476,21.56959724,22.92064476,24.48597527,25.65306664,27.31870842,29.21993256,30.20283127,28.89405251,30.37320518,32.34296417,34.04123688,35.41057205,38.13038254,39.18336868,41.76161957,42.68179321,44.76473236,44.77630615,45.35333633,46.82846451,47.13684464,48.12866592,48.92610931,49.48664474,50.43894958,50.15150833,49.0925827,49.0676651,48.28253937,49.0420723,47.76170731,47.13005066,46.8968544,46.49863815,46.92858505,46.81295776,46.04901505,44.19591141,44.66197205,43.73377609,43.02568436,42.97763062,39.57783508,40.38642883,39.90647507,39.01084137,38.68815231,38.26060104,36.41669464,36.73285294,35.06456757,34.86701202,34.30260086,34.07450867,32.40208817,32.19064713,31.68275833,30.98876572,29.62821007,29.09763527,28.21450424,27.55019569,26.28395081,26.31438828,25.75601196,24.5780201,23.57691765,23.4240036,22.96268272,22.10282516,21.36693954,19.65715218,19.28822136,19.05498505,18.15984344,17.79586983,16.84637642,16.18596649,15.48784924,15.15294456,14.3556776,14.22408295,13.85773182,13.24463081,12.23464775,12.12252903,11.63975716,10.80927086,10.43233395,10.39502621,9.873407364,9.425625801,9.312631607,9.059782028,8.12685585,8.026685715,7.487299442,7.010829926,6.500598431,6.268862724,5.919613361,5.499577045,5.632861614,5.408045292,5.053050041,4.950492382,4.4593153,4.181960106,4.183020592,4.140327454,4.029210091,3.680155754,3.526707172
265,20.79733658,6.295171738,2.504130602,1.871951461,1.617560744,1.468577266,1.808555365,3.316340923,6.383358002,10.33526325,14.74755859,16.5581646,14.6185112,11.54546261,8.873170853,7.740701675,7.62992382,7.971614838,8.077957153,8.227108002,8.761850357,9.091531754,9.005849838,8.947592735,9.35634613,9.607053757,9.541874886,9.899050713,10.34639263,9.636535645,10.0389185,9.823054314,9.71870327,10.25429344,10.52500248,10.41772366,10.72906971,10.84185505,10.95546722,11.2955637,11.39056683,11.68587208,12.18645287,12.57137012,12.51819897,13.1831522,13.54251957,14.22511578,14.64283848,15.64104462,15.88041973,16.81108856,18.12667847,19.6723671,20.27047539,21.60684967,22.53169441,24.34417725,25.88265419,26.50769997,25.21535683,27.59358025,30.06816864,31.00402641,32.54121399,33.86046982,36.15956879,37.26730728,37.78609848,39.56254578,40.32492447,42.24374771,42.7427597,42.37119293,43.18651199,44.20817566,45.95555115,44.3046875,45.59017181,44.7697525,44.00576019,44.52735138,43.03675461,42.61092377,42.39311218,42.15358353,41.13887024,40.80992126,41.22647095,40.61386108,40.44348526,39.73770142,38.48819733,38.03372192,38.21848297,35.21708679,35.32989883,34.5988121,35.10879898,34.06212234,33.64887238,33.22084045,31.96611786,32.57880783,30.79169846,31.27136803,30.7130146,29.06789017,28.5081234,27.92710686,27.46162033,26.73956871,26.52120399,25.03035355,24.90340424,23.51206017,23.10836792,23.16393089,21.8176899,21.54388428,20.87446022,20.04895401,19.63951111,18.65902328,17.96349525,17.52648735,17.01682281,17.11320877,16.00772858,15.19307804,14.82601166,14.1624155,13.55049706,13.50418663,12.80595779,12.63734245,11.87458992,11.37203407,10.72073936,10.92146683,10.37110615,9.735329628,9.3167696,8.748723984,9.211723328,8.436606407,8.306703568,7.251869202,7.499610424,6.791463375,5.964560032,5.944681168,5.587846756,5.947918892,5.310236454,4.775903225,4.916448593,4.639423847,4.146352291,4.325841904,3.816308022,4.101507664,3.932996273,3.780436754,3.417950392,3.418906689
270,84.67025757,79.45461273,45.43483353,15.59425545,4.640553474,2.075884104,2.138963699,2.487405062,3.188542604,3.666846514,5.218220711,7.670313358,12.70890903,17.97405434,20.96461487,19.33829308,16.09472466,12.69955826,10.95151901,10.61984062,9.88391304,10.60870743,10.35499191,10.60099506,11.06406403,10.84344387,10.96478939,10.7587738,11.13142776,11.31363583,10.7196064,11.49395466,11.46374035,11.30668259,11.61697769,11.98906898,11.3102932,11.81172371,12.25694656,11.63874817,12.72380543,12.53018093,12.39434147,13.06139946,13.42193317,13.06126213,13.73979568,14.21132469,14.83549595,14.9654541,16.54267883,16.98477364,17.79879189,18.59575272,19.89037704,21.34351921,23.36198997,24.62718964,25.61591911,26.94629097,25.36213493,28.00792313,29.49739838,31.07962608,32.87473297,35.09300995,35.55250549,37.49584579,39.74487686,40.20473099,41.19677353,42.1041832,42.94984436,43.78151321,44.2808609,44.60404205,44.81655502,44.93659973,44.28307343,44.00242233,44.15459442,42.25220108,41.8241539,41.54582977,41.44073105,40.97493744,40.05818558,39.44329834,38.54894257,38.70353317,37.42440033,37.39906311,38.13381577,36.6263504,36.20002747,33.77520752,33.13244247,32.7223587,32.76462555,31.88430405,31.43292236,31.49576759,30.7113781,30.24312592,29.81890106,28.94076729,27.77582359,27.0706234,26.9324131,25.69551468,26.27918625,24.55643845,24.82725906,23.80942345,23.10029602,23.0314312,21.60054207,20.89146423,21.31373215,20.2964344,19.73798752,19.21113014,18.43769836,17.68967247,17.0922451,16.78962326,16.93465424,16.12998581,15.68698597,14.04529476,14.52173424,14.19391155,12.97809792,12.76834965,12.10182095,12.00587463,11.53454781,10.84934425,10.60745049,9.743117332,9.825828552,9.154173851,9.19066906,8.943223953,8.306214333,8.165467262,7.992050171,7.368652344,6.852283001,6.823740959,6.241864204,5.512864113,5.813475609,5.443181038,5.191336155,4.851228237,4.904867172,4.505007267,4.081995964,4.041283607,4.073710442,3.993533373,3.67984581,3.656018496,3.210441113,3.155209303
