Wavelength (nm),Intensity (a.u.),Z Axis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,L114_EM_270.00,L114_EM_272.00,L114_EM_274.00,L114_EM_276.00,L114_EM_278.00,L114_EM_280.00,L114_EM_282.00,L114_EM_284.00,L114_EM_286.00,L114_EM_288.00,L114_EM_290.00,L114_EM_292.00,L114_EM_294.00,L114_EM_296.00,L114_EM_298.00,L114_EM_300.00,L114_EM_302.00,L114_EM_304.00,L114_EM_306.00,L114_EM_308.00,L114_EM_310.00,L114_EM_312.00,L114_EM_314.00,L114_EM_316.00,L114_EM_318.00,L114_EM_320.00,L114_EM_322.00,L114_EM_324.00,L114_EM_326.00,L114_EM_328.00,L114_EM_330.00,L114_EM_332.00,L114_EM_334.00,L114_EM_336.00,L114_EM_338.00,L114_EM_340.00,L114_EM_342.00,L114_EM_344.00,L114_EM_346.00,L114_EM_348.00,L114_EM_350.00,L114_EM_352.00,L114_EM_354.00,L114_EM_356.00,L114_EM_358.00,L114_EM_360.00,L114_EM_362.00,L114_EM_364.00,L114_EM_366.00,L114_EM_368.00,L114_EM_370.00,L114_EM_372.00,L114_EM_374.00,L114_EM_376.00,L114_EM_378.00,L114_EM_380.00,L114_EM_382.00,L114_EM_384.00,L114_EM_386.00,L114_EM_388.00,L114_EM_390.00,L114_EM_392.00,L114_EM_394.00,L114_EM_396.00,L114_EM_398.00,L114_EM_400.00,L114_EM_402.00,L114_EM_404.00,L114_EM_406.00,L114_EM_408.00,L114_EM_410.00,L114_EM_412.00,L114_EM_414.00,L114_EM_416.00,L114_EM_418.00,L114_EM_420.00,L114_EM_422.00,L114_EM_424.00,L114_EM_426.00,L114_EM_428.00,L114_EM_430.00,L114_EM_432.00,L114_EM_434.00,L114_EM_436.00,L114_EM_438.00,L114_EM_440.00,L114_EM_442.00,L114_EM_444.00,L114_EM_446.00,L114_EM_448.00,L114_EM_450.00,L114_EM_452.00,L114_EM_454.00,L114_EM_456.00,L114_EM_458.00,L114_EM_460.00,L114_EM_462.00,L114_EM_464.00,L114_EM_466.00,L114_EM_468.00,L114_EM_470.00,L114_EM_472.00,L114_EM_474.00,L114_EM_476.00,L114_EM_478.00,L114_EM_480.00,L114_EM_482.00,L114_EM_484.00,L114_EM_486.00,L114_EM_488.00,L114_EM_490.00,L114_EM_492.00,L114_EM_494.00,L114_EM_496.00,L114_EM_498.00,L114_EM_500.00,L114_EM_502.00,L114_EM_504.00,L114_EM_506.00,L114_EM_508.00,L114_EM_510.00,L114_EM_512.00,L114_EM_514.00,L114_EM_516.00,L114_EM_518.00,L114_EM_520.00,L114_EM_522.00,L114_EM_524.00,L114_EM_526.00,L114_EM_528.00,L114_EM_530.00,L114_EM_532.00,L114_EM_534.00,L114_EM_536.00,L114_EM_538.00,L114_EM_540.00,L114_EM_542.00,L114_EM_544.00,L114_EM_546.00,L114_EM_548.00,L114_EM_550.00,L114_EM_552.00,L114_EM_554.00,L114_EM_556.00,L114_EM_558.00,L114_EM_560.00,L114_EM_562.00,L114_EM_564.00,L114_EM_566.00,L114_EM_568.00,L114_EM_570.00,L114_EM_572.00,L114_EM_574.00,L114_EM_576.00,L114_EM_578.00,L114_EM_580.00,L114_EM_582.00,L114_EM_584.00,L114_EM_586.00,L114_EM_588.00,L114_EM_590.00,L114_EM_592.00,L114_EM_594.00,L114_EM_596.00,L114_EM_598.00,L114_EM_600.00
,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166
230,6.171007156,12.52698135,23.22112846,34.09732056,44.24391174,45.28537369,58.16059875,71.2470932,81.81039429,87.68718719,97.32994843,101.9253082,109.2094498,110.8258286,108.8368301,109.8918762,109.0428009,106.1748123,103.7251663,99.11431122,94.26496887,91.39180756,88.87432098,91.90981293,106.0720139,162.8278198,263.1953125,374.6006165,440.2487793,451.389801,449.7611389,462.3991394,491.1069946,543.9145508,597.62323,631.4552612,611.0411987,580.6334839,540.7022095,517.168457,498.5461426,491.0176086,480.1163025,468.9969482,440.9779358,406.3342285,374.1911926,342.8522339,316.6280518,293.6483459,274.6286316,260.6897278,240.7213593,221.4265747,204.3810883,190.4950714,178.7078247,166.1442413,155.3884125,149.4231873,124.9877625,121.3879852,119.5681686,116.2385788,115.3160324,112.7200089,109.0309296,110.0188828,106.7532349,106.6203995,105.9818344,104.4973145,104.9164124,104.9179306,102.4442139,101.477951,101.9069061,103.131897,99.64575195,98.38326263,92.6529541,93.41796875,89.99916077,88.20737457,85.75246429,83.6259079,82.09318542,80.43994141,80.82129669,78.6792984,75.94838715,74.37966919,72.74144745,72.00022888,70.15023041,64.35782623,62.91877365,62.164608,61.3401413,58.71395874,58.8719902,56.54209518,54.70460129,53.6476059,51.93841934,49.40917587,48.56451797,47.78385544,45.43124771,43.93042755,43.09380722,40.71469116,40.45704269,40.21016693,38.08798218,36.30097198,35.09754181,34.03881073,33.16824341,32.88838196,31.18349457,29.7926693,27.00972748,27.5997467,26.55756378,26.14579964,23.45775986,24.13741112,22.92157745,22.3409996,20.60952187,20.26259041,19.66070557,18.96078682,16.96905899,17.39858437,16.162817,16.25076675,15.44923496,14.49569702,13.15341663,12.23578548,13.53326321,11.67908001,11.26322365,10.72846031,10.19711971,9.418861389,9.144875526,9.079566956,7.836787701,8.004742622,7.446385384,7.634663105,6.554537773,5.913747311,5.281574249,5.344081402,5.345822334,4.968458652,4.876495838,4.839327812,4.444750309,4.373785496,3.971492529,3.844691515
235,3.086590767,5.76921463,10.69336796,15.72672844,20.33995438,21.98199654,26.71026611,32.03553391,37.81792068,42.68005753,47.03345108,50.41600418,55.30205917,56.37283707,56.3915329,56.96340942,59.78149414,59.49977875,56.39458084,55.10916138,55.55712891,53.71702576,51.9572258,51.50935745,52.87608719,65.73403931,87.13759613,124.1536865,156.2386627,170.3369141,190.5951691,203.6550903,221.2307129,240.0582123,260.2272644,279.7909851,281.191925,281.7341309,274.7810364,272.8849487,266.1764221,263.5661316,258.4605103,253.0637512,244.5169373,236.1045837,221.8653259,210.0828094,202.7282715,189.1727905,176.6650696,172.3787842,160.0044098,152.8610077,145.625885,138.7484283,132.5945129,123.6041946,120.3192215,116.5287628,100.2130814,99.26342773,101.6024399,98.88207245,97.1807785,95.77703857,99.11379242,95.91246033,96.18012238,96.60650635,94.93656158,95.30656433,96.3478775,95.05106354,93.64626312,95.33722687,93.47148895,92.64916229,92.3949585,89.31397247,86.51320648,87.49550629,85.76898956,82.70218658,81.66877747,80.36804199,77.95884705,76.47373199,74.5562439,74.25788116,72.75997925,70.61262512,70.35987854,67.92344666,64.59261322,60.54602432,60.92228699,59.36611938,58.40195847,57.11386871,54.04740143,53.54021835,53.77519608,51.97806549,49.65169144,47.82861328,46.89310837,45.72612381,43.04332352,43.12145233,41.90356064,40.88005447,38.03184128,37.33537674,36.18232346,36.09337234,35.29447937,33.71902466,32.52590942,31.19816589,29.91014671,29.4800415,27.37994766,27.17901802,25.23080826,24.4444561,23.68679047,22.56939888,22.76935387,21.1176548,20.41072083,20.03493309,19.22646904,18.53135872,17.59456825,16.87935257,16.07028008,15.31218052,14.69596195,14.42148876,13.61079216,12.39174652,12.21958733,11.26158714,10.48321342,10.06938553,9.917022705,9.591745377,9.016394615,9.183554649,8.369776726,7.588393211,7.088299274,6.726876259,6.4116292,6.210138321,6.364987373,5.378173351,4.952040672,4.916516781,4.987163544,4.815786362,4.166247845,4.346576691,3.906574011,3.779192924
240,2.4235816,1.736976504,2.575096846,3.051821947,3.433216095,4.186966896,5.138711452,6.37295866,8.10573864,8.892476082,10.36154366,12.53402519,14.36506844,16.42518425,17.83674431,18.8371582,21.12004089,21.24865723,22.19039917,23.14336967,23.01344109,23.33104706,23.38958549,23.48635674,23.95363045,26.6678772,32.20338821,39.46353531,48.97232819,55.94331741,68.12458801,81.42470551,92.02143097,104.8457718,113.7695389,122.2524338,122.8084183,125.0037384,129.14328,132.322525,133.6112518,133.9271698,136.4853516,132.9589233,131.4873199,128.4183502,123.4393768,120.7925873,117.4884415,111.7747116,107.1459808,105.8860855,101.6298904,97.94256592,95.86125946,93.00711823,88.20956421,89.16312408,87.30699921,86.35041046,74.30776215,75.7289505,76.09423065,77.31468964,78.79477692,78.31633759,78.26898956,80.23550415,79.83098602,81.51796722,81.01721191,81.34953308,80.83370972,80.39918518,80.89852905,81.85827637,80.42533112,81.06175995,79.39072418,78.20285034,75.65416718,75.90595245,75.34598541,70.5182724,71.38140106,72.21942902,69.29669189,68.57388306,66.79525757,65.18565369,63.33029556,62.84606934,62.16596603,60.39339828,59.2317276,55.41326523,53.78531265,54.50256729,53.20663071,51.70225906,52.1157341,51.31138611,46.54841614,46.46696854,46.89755249,45.98373032,44.47995758,43.57857513,41.87307358,40.68463135,39.85894012,37.15327835,37.9858017,36.42651367,34.9979248,33.48345184,32.23130035,31.6725769,31.04585648,29.98247719,28.68554688,26.64984512,26.93915939,26.53702736,24.41201782,24.34399414,24.17461967,22.50015831,21.92011833,20.39409828,18.93619156,19.36792564,18.24651146,17.9650898,17.2333889,16.04125595,15.27639484,14.85016632,14.27800941,13.79831123,12.80666542,12.06461716,11.53805637,11.83257866,10.66563797,10.67639732,10.20015526,8.570049286,8.844031334,8.331055641,8.714112282,7.152482033,6.951451302,6.72642374,6.534000874,6.077661037,5.975703239,5.534806728,5.265986443,5.029387474,5.054381371,4.595119953,4.62326622,4.315218925,3.852285147,3.937066317
245,14.77106285,9.836785316,5.722523212,2.619151354,2.436321497,2.011411428,2.645978689,3.172849178,4.126487255,4.846843719,5.992255688,6.695533752,8.191587448,9.23456192,10.61837959,11.53729725,12.34684658,13.49359035,13.75915718,14.26724625,14.64629173,15.91494274,16.36780548,16.0966835,17.35702324,19.80284691,24.29066086,29.97294998,33.66560745,37.07229233,42.80528259,48.54417419,55.38397598,63.93463135,71.68877411,75.38251495,75.21417236,75.8454895,77.47698212,80.02409363,82.40744781,82.26874542,82.63527679,82.01635742,82.27999878,78.90679932,77.32203674,74.06416321,73.79258728,72.23278809,70.159729,68.78659058,67.71463013,66.40771484,65.3368988,64.79025269,64.16407013,63.90670013,63.58095551,63.76267624,55.86409378,56.92319107,57.68416214,58.77643967,59.29200745,60.38373566,61.57572556,63.56666565,63.70820618,64.33383942,65.09326172,66.09326935,66.04190063,66.80951691,67.99963379,67.49836731,66.88022614,66.36494446,66.41379547,65.08286285,65.36204529,64.42575073,63.92342377,63.4661293,62.36779404,60.49046707,60.69646835,59.36435699,58.89893341,57.28862381,56.06890488,55.7417984,54.95441818,54.69207382,53.52483749,50.42907333,48.58221436,48.71369171,47.96682358,47.08118057,46.8367424,46.39852524,43.68203354,42.78384018,41.97105789,41.8505249,40.84099197,39.84492111,38.33987427,37.73563004,37.05847168,35.69438171,34.44578552,34.07880402,32.9353981,31.94111061,31.31778717,30.10127449,28.92845535,28.17977524,27.03860855,25.38142395,25.55288315,24.24246979,23.31246758,22.45388794,22.20630646,21.88124657,20.09239197,19.77025032,18.96486282,18.14133644,17.04853249,16.707901,16.00564957,15.31087399,14.521698,14.10722828,13.62739944,13.10834312,12.75882912,12.02348518,11.40611649,11.07579517,10.55202579,10.56167507,9.588228226,9.017760277,8.318049431,8.013916969,7.407170773,6.888494015,6.907783508,6.389496326,6.447859764,6.271491051,5.685308933,5.626819611,5.212044239,5.021472454,4.648397923,4.754945755,4.33000946,4.227770329,3.898307085,3.563014746
250,11.20350075,16.98864365,17.7836895,14.13642216,9.222072601,4.696115017,3.875868559,3.971838236,5.015171528,5.329990387,7.02197504,7.507903576,8.51037693,9.461797714,10.08959103,11.16915321,11.73308563,12.36617374,13.29713821,13.63578129,13.49626541,13.39560127,14.74349308,15.4852438,16.1346817,19.17831612,24.39427185,29.71255493,33.77893829,34.31363297,37.52299881,40.24654388,43.44041061,50.81635666,54.89580917,57.24697495,57.00832367,56.76679611,56.07091522,55.83164597,56.21746445,57.21580124,57.36408615,57.15283585,56.36761475,54.00055313,51.0901947,50.81037521,49.4461441,48.21479797,47.34088135,48.69315338,46.74603653,46.91487122,45.61420441,45.86860275,45.9943924,46.09316254,47.17879868,47.13587952,41.91651917,42.85303879,43.02693558,44.84983444,46.1253891,47.10122299,48.59727097,49.18157959,50.07200241,52.14581299,53.39806747,52.74882507,54.12954712,55.3156929,55.25509262,55.89533234,56.49297714,56.81370163,56.82443619,56.59332275,55.30642319,55.41059494,54.4563446,53.59784317,53.33808136,52.59822464,52.62753296,52.16630936,51.53134918,50.52241516,50.57601929,49.36078262,49.08932495,49.12980652,48.45872879,44.41145325,44.15014648,44.31808853,43.57837677,42.77745056,42.03215027,42.43345642,40.66043472,40.52696991,39.05212402,38.2328186,37.42395401,37.03831863,36.41719055,35.68665695,33.63485336,33.00979614,32.48068619,31.6987133,30.83911896,29.54862213,28.89824104,27.70544434,27.10554314,26.20740509,25.39400864,24.69260788,24.01848602,23.01018143,22.80303955,21.62985229,20.75359535,20.76854897,19.34359169,18.68183708,17.3650322,17.35609818,16.4840107,15.62442207,15.18848991,14.72470093,14.17696285,13.20135307,13.19498539,12.31432152,12.35380459,11.35456562,10.86278152,10.44400501,10.20825481,9.292801857,9.081625938,8.684418678,8.575986862,7.992352962,7.254910946,6.894796371,6.427765846,6.395791054,5.814003944,5.695478439,5.489850044,5.418061256,4.628142834,4.812600136,4.908334732,4.382641315,4.104374409,3.905641794,3.75765419,3.326227903
255,1.906710386,2.588957071,4.952563763,10.20263958,17.45616341,16.56830788,14.62892151,11.55988884,9.734211922,9.412947655,9.666555405,11.55994511,11.41458797,13.58933735,13.96744156,15.09458351,15.02629852,15.78468037,16.47839546,16.54162979,16.8193779,16.99905205,17.72267914,17.65974808,19.88536644,22.7211895,28.32645226,36.07415009,40.88886261,40.6003685,41.59258652,43.14428329,44.45829391,49.3834343,52.82287216,56.68550491,55.5189743,54.28162003,51.65940857,50.65585327,49.39180756,50.66926575,50.14949799,49.50068665,47.05513763,46.27919006,44.85258102,42.87483215,41.84553528,40.52976227,39.39822006,39.2784729,38.56176376,38.50448608,37.26652527,36.55575562,38.41402817,36.8540535,37.9108696,38.19161606,34.57080841,35.40058136,35.75681686,37.79374695,38.70446396,38.55184174,41.27090836,41.06402206,43.18391418,42.49692917,43.41721725,45.41587067,46.96104813,45.41004181,46.97681808,47.6506691,48.17087555,48.3404541,48.79341125,49.20730209,48.10511398,48.11524963,48.16007614,46.59856415,45.60719681,45.58947372,45.4757843,45.34376907,46.59998322,45.18717957,44.40311432,45.74213791,44.13250732,44.53565979,43.82525635,39.4422493,41.0852623,40.29321289,39.20598984,40.18993378,38.37424469,37.75786972,37.37732315,36.51224518,35.80969238,36.00896454,35.39737701,34.87647629,33.32105637,32.82003021,32.00307465,30.76917839,30.19617462,30.01762962,29.07235336,29.11047745,27.71307182,25.66307831,25.0412178,24.68437386,24.30689621,23.26490593,22.2914238,23.12144279,21.00881958,20.97457314,20.14756584,19.38451195,18.58826065,17.98753357,16.46303368,16.23219872,15.51514816,15.49467945,14.61040974,13.82277107,13.50900745,12.79920959,12.84169865,11.8688364,11.97007179,11.5138216,10.27386284,10.1950407,9.523180962,9.152417183,8.942968369,8.469425201,8.110972404,7.610491753,7.318606377,5.957444668,6.667457104,5.808762074,5.88604784,5.504400253,4.96796608,5.003859997,5.055929184,4.581707954,4.404648781,4.418516636,3.916202784,3.840429068,3.638492584,3.387401581
260,2.370967388,2.498849392,2.622556925,3.382758856,4.776512146,5.641343117,10.81223106,19.16559219,25.16181183,26.37584305,21.38921738,19.1543541,18.21742821,19.99128151,20.92425919,21.79795265,22.41784477,22.71940613,23.29177094,23.24575043,23.80870247,23.4870739,24.07972908,23.63169861,25.55955887,29.91217232,37.02184677,45.47486496,50.22160339,50.80107117,49.71284485,51.69834518,54.09085464,58.62070084,62.79593277,65.29965973,63.53018951,60.51858902,57.39670944,55.5828743,54.28083801,53.73111725,53.9945488,53.63695526,52.65966034,48.18647003,45.93742371,44.112957,41.10091782,40.40067291,39.02336502,38.91642761,36.7228508,36.55837631,35.62394714,35.21382523,35.41462326,34.77659225,34.72451019,35.76884079,31.22805023,32.49246216,33.41265106,33.87618256,35.6934166,35.86654282,36.71869278,38.21135712,38.43767548,39.05524826,40.24559784,40.98272705,41.52790833,42.6006813,43.36301041,42.10333252,43.65979004,44.67856598,44.25735092,44.53538132,44.13519287,43.42830658,42.91121292,43.22822571,42.84633255,43.34558105,42.25710297,42.64769745,42.696064,43.29704285,42.40403366,41.16599274,40.99526596,41.34542084,41.52318573,38.46261978,38.0031662,38.30271149,37.53155899,37.95096588,37.09175873,36.07112885,35.89156342,35.18570328,35.67288971,34.50614548,33.93920517,33.06700516,32.89730072,32.1892662,30.60508347,30.44391441,29.5410099,28.70384407,28.44259071,27.8349514,26.20931053,26.64712143,24.65364265,24.96457481,24.24892998,23.23066139,22.67645454,21.78524017,20.66806793,20.51079369,19.58156586,18.55089188,18.96210861,16.93733025,16.92069817,16.48462677,15.18167496,15.24244785,14.50070953,13.8839016,13.58465576,13.0437851,12.33829975,12.07640743,11.6409626,11.0488081,10.48243141,10.1524229,9.683768272,8.980974197,9.064693451,8.705006599,7.916741848,7.739615917,6.912157536,6.884841442,6.383966923,6.024304867,5.86563158,6.003316402,5.21068573,4.943282604,5.000357151,4.620277882,4.254921436,4.203166962,4.04516983,3.698904991,3.353141069,3.600294828
265,26.29550934,8.473482132,3.685023308,3.880472422,4.617810249,4.627111912,6.573771477,9.96737957,14.36404705,21.14970589,28.56460953,31.05094147,30.77228928,29.42054367,27.86524963,27.51054955,27.32347298,28.05129814,28.37903023,28.44902992,27.0942421,26.92931747,27.30007553,27.29867744,28.90477943,32.98926544,41.26686859,50.802742,54.87226868,55.63915634,55.86813354,55.22906113,58.51063538,62.47909164,67.2780838,69.72006226,67.3771286,63.97299957,60.72264862,58.78582001,56.6400795,57.22991562,55.76632309,55.41308594,52.64685059,49.11937714,47.03016663,43.93117905,41.72873688,39.49593353,38.40338516,37.45051956,36.81096268,35.30092621,34.64702606,33.23684311,33.07640076,32.55954361,32.09064865,32.40698624,28.04434395,28.97516441,29.39103508,31.28908539,31.05335617,31.51742172,32.29821777,33.67666245,33.63759232,34.52409363,35.43805695,35.75387192,35.67163086,36.52663803,36.66525269,37.86832809,37.885849,37.80895233,37.79314804,38.46191788,37.40959167,38.70838928,38.44226074,38.26596832,36.8551445,36.79738235,36.47031403,37.52492142,37.14218521,36.43693924,35.73308563,36.20961761,35.52807999,35.95105362,35.63176727,32.98770905,34.11874008,32.63107681,33.1366272,32.48939133,32.66707993,32.19131851,31.89594078,31.22568703,30.89191818,29.80261612,29.75576782,28.89497185,28.34471893,27.94791603,27.38006401,26.34604836,25.7436142,25.7115345,24.36543465,24.51730347,23.90014458,23.26291275,23.17534637,21.87892723,21.80578232,20.93887329,19.88121414,19.8949585,18.27245712,18.70034218,17.68682289,16.68011284,16.37090302,15.57991982,15.28208923,14.20721436,14.54025173,13.65565109,13.26501179,12.22711658,12.17248344,11.65721416,11.20193481,10.82068539,10.34810734,9.764037132,9.647783279,9.11320591,8.570106506,8.300495148,7.932614803,7.285413265,7.16727972,6.510946274,6.579762936,6.064846992,5.681935787,5.415727139,5.210185051,5.092511654,5.044874668,4.809625626,4.370818138,4.257660389,3.912541151,3.641759872,3.854773283,3.215788603,3.242877722,2.939864635
270,102.3704681,97.37815857,57.20385742,21.62815094,7.820619106,5.031363487,6.639173985,9.756917,12.23696613,15.64303589,20.51418686,25.29398537,33.38175583,40.95302963,45.89844131,45.0946312,42.67284012,38.90948486,37.60235596,35.98142624,36.0270195,35.39306259,34.64264679,35.43437958,35.35030746,40.25486374,50.62877655,58.2911644,63.80238342,63.8167572,62.88460922,64.15950775,67.01251221,71.57555389,74.33010101,78.02443695,75.88002014,71.865448,68.42687225,66.5080719,63.55387497,63.40040588,62.81752777,61.559021,57.94440079,54.71706772,50.88632202,47.5651207,44.91994476,42.56450653,41.50452423,40.65154648,38.48292542,36.15099335,35.09282303,34.44599152,34.26388168,32.65822601,32.02429962,32.05546188,27.3986187,27.86709404,28.77972603,29.27177429,29.59370041,29.93372345,30.41338921,30.80628777,31.59302711,31.41756248,32.45319366,32.97657013,33.09703064,33.56821442,33.82607269,35.13261032,35.485672,35.04676056,35.08766174,34.66358185,34.03411102,34.81836319,34.27194595,33.74725342,33.99416733,33.34303665,33.53769302,33.59696198,33.67383194,32.50209808,32.95693207,32.84590912,33.05199814,32.63479996,32.38062668,29.84628487,30.31229591,29.7795639,29.77757835,29.3434391,29.78536034,29.07117081,28.32880592,28.9366684,27.15364265,27.32486916,27.38425446,26.33166122,26.20680618,25.12643242,24.65949631,24.23457146,23.98952675,22.93269348,21.71608353,21.71952057,22.03901291,20.5038662,20.66716003,19.86019516,19.56440735,18.89859009,17.80176353,17.98945808,17.83534241,17.19687653,15.99998951,16.19421577,15.09075451,14.70823002,14.10847282,13.44645119,13.1102438,12.8705368,12.33368874,11.93735218,11.99056435,10.60995007,10.51506424,10.14316654,9.301152229,8.963443756,8.705676079,8.514996529,8.328559875,7.697561264,7.273023605,7.049805641,6.819288254,6.236999035,5.726088047,5.444084167,5.288099289,5.139332294,5.107088089,5.24854517,4.404770374,4.169839382,4.262820244,3.931964636,3.937033892,3.73794508,3.311260939,3.532237053,3.222048283,2.884673834
