Wavelength (nm),Intensity (a.u.),Z Axis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,L239_1m_june 8_22_EM_270.00,L239_1m_june 8_22_EM_272.00,L239_1m_june 8_22_EM_274.00,L239_1m_june 8_22_EM_276.00,L239_1m_june 8_22_EM_278.00,L239_1m_june 8_22_EM_280.00,L239_1m_june 8_22_EM_282.00,L239_1m_june 8_22_EM_284.00,L239_1m_june 8_22_EM_286.00,L239_1m_june 8_22_EM_288.00,L239_1m_june 8_22_EM_290.00,L239_1m_june 8_22_EM_292.00,L239_1m_june 8_22_EM_294.00,L239_1m_june 8_22_EM_296.00,L239_1m_june 8_22_EM_298.00,L239_1m_june 8_22_EM_300.00,L239_1m_june 8_22_EM_302.00,L239_1m_june 8_22_EM_304.00,L239_1m_june 8_22_EM_306.00,L239_1m_june 8_22_EM_308.00,L239_1m_june 8_22_EM_310.00,L239_1m_june 8_22_EM_312.00,L239_1m_june 8_22_EM_314.00,L239_1m_june 8_22_EM_316.00,L239_1m_june 8_22_EM_318.00,L239_1m_june 8_22_EM_320.00,L239_1m_june 8_22_EM_322.00,L239_1m_june 8_22_EM_324.00,L239_1m_june 8_22_EM_326.00,L239_1m_june 8_22_EM_328.00,L239_1m_june 8_22_EM_330.00,L239_1m_june 8_22_EM_332.00,L239_1m_june 8_22_EM_334.00,L239_1m_june 8_22_EM_336.00,L239_1m_june 8_22_EM_338.00,L239_1m_june 8_22_EM_340.00,L239_1m_june 8_22_EM_342.00,L239_1m_june 8_22_EM_344.00,L239_1m_june 8_22_EM_346.00,L239_1m_june 8_22_EM_348.00,L239_1m_june 8_22_EM_350.00,L239_1m_june 8_22_EM_352.00,L239_1m_june 8_22_EM_354.00,L239_1m_june 8_22_EM_356.00,L239_1m_june 8_22_EM_358.00,L239_1m_june 8_22_EM_360.00,L239_1m_june 8_22_EM_362.00,L239_1m_june 8_22_EM_364.00,L239_1m_june 8_22_EM_366.00,L239_1m_june 8_22_EM_368.00,L239_1m_june 8_22_EM_370.00,L239_1m_june 8_22_EM_372.00,L239_1m_june 8_22_EM_374.00,L239_1m_june 8_22_EM_376.00,L239_1m_june 8_22_EM_378.00,L239_1m_june 8_22_EM_380.00,L239_1m_june 8_22_EM_382.00,L239_1m_june 8_22_EM_384.00,L239_1m_june 8_22_EM_386.00,L239_1m_june 8_22_EM_388.00,L239_1m_june 8_22_EM_390.00,L239_1m_june 8_22_EM_392.00,L239_1m_june 8_22_EM_394.00,L239_1m_june 8_22_EM_396.00,L239_1m_june 8_22_EM_398.00,L239_1m_june 8_22_EM_400.00,L239_1m_june 8_22_EM_402.00,L239_1m_june 8_22_EM_404.00,L239_1m_june 8_22_EM_406.00,L239_1m_june 8_22_EM_408.00,L239_1m_june 8_22_EM_410.00,L239_1m_june 8_22_EM_412.00,L239_1m_june 8_22_EM_414.00,L239_1m_june 8_22_EM_416.00,L239_1m_june 8_22_EM_418.00,L239_1m_june 8_22_EM_420.00,L239_1m_june 8_22_EM_422.00,L239_1m_june 8_22_EM_424.00,L239_1m_june 8_22_EM_426.00,L239_1m_june 8_22_EM_428.00,L239_1m_june 8_22_EM_430.00,L239_1m_june 8_22_EM_432.00,L239_1m_june 8_22_EM_434.00,L239_1m_june 8_22_EM_436.00,L239_1m_june 8_22_EM_438.00,L239_1m_june 8_22_EM_440.00,L239_1m_june 8_22_EM_442.00,L239_1m_june 8_22_EM_444.00,L239_1m_june 8_22_EM_446.00,L239_1m_june 8_22_EM_448.00,L239_1m_june 8_22_EM_450.00,L239_1m_june 8_22_EM_452.00,L239_1m_june 8_22_EM_454.00,L239_1m_june 8_22_EM_456.00,L239_1m_june 8_22_EM_458.00,L239_1m_june 8_22_EM_460.00,L239_1m_june 8_22_EM_462.00,L239_1m_june 8_22_EM_464.00,L239_1m_june 8_22_EM_466.00,L239_1m_june 8_22_EM_468.00,L239_1m_june 8_22_EM_470.00,L239_1m_june 8_22_EM_472.00,L239_1m_june 8_22_EM_474.00,L239_1m_june 8_22_EM_476.00,L239_1m_june 8_22_EM_478.00,L239_1m_june 8_22_EM_480.00,L239_1m_june 8_22_EM_482.00,L239_1m_june 8_22_EM_484.00,L239_1m_june 8_22_EM_486.00,L239_1m_june 8_22_EM_488.00,L239_1m_june 8_22_EM_490.00,L239_1m_june 8_22_EM_492.00,L239_1m_june 8_22_EM_494.00,L239_1m_june 8_22_EM_496.00,L239_1m_june 8_22_EM_498.00,L239_1m_june 8_22_EM_500.00,L239_1m_june 8_22_EM_502.00,L239_1m_june 8_22_EM_504.00,L239_1m_june 8_22_EM_506.00,L239_1m_june 8_22_EM_508.00,L239_1m_june 8_22_EM_510.00,L239_1m_june 8_22_EM_512.00,L239_1m_june 8_22_EM_514.00,L239_1m_june 8_22_EM_516.00,L239_1m_june 8_22_EM_518.00,L239_1m_june 8_22_EM_520.00,L239_1m_june 8_22_EM_522.00,L239_1m_june 8_22_EM_524.00,L239_1m_june 8_22_EM_526.00,L239_1m_june 8_22_EM_528.00,L239_1m_june 8_22_EM_530.00,L239_1m_june 8_22_EM_532.00,L239_1m_june 8_22_EM_534.00,L239_1m_june 8_22_EM_536.00,L239_1m_june 8_22_EM_538.00,L239_1m_june 8_22_EM_540.00,L239_1m_june 8_22_EM_542.00,L239_1m_june 8_22_EM_544.00,L239_1m_june 8_22_EM_546.00,L239_1m_june 8_22_EM_548.00,L239_1m_june 8_22_EM_550.00,L239_1m_june 8_22_EM_552.00,L239_1m_june 8_22_EM_554.00,L239_1m_june 8_22_EM_556.00,L239_1m_june 8_22_EM_558.00,L239_1m_june 8_22_EM_560.00,L239_1m_june 8_22_EM_562.00,L239_1m_june 8_22_EM_564.00,L239_1m_june 8_22_EM_566.00,L239_1m_june 8_22_EM_568.00,L239_1m_june 8_22_EM_570.00,L239_1m_june 8_22_EM_572.00,L239_1m_june 8_22_EM_574.00,L239_1m_june 8_22_EM_576.00,L239_1m_june 8_22_EM_578.00,L239_1m_june 8_22_EM_580.00,L239_1m_june 8_22_EM_582.00,L239_1m_june 8_22_EM_584.00,L239_1m_june 8_22_EM_586.00,L239_1m_june 8_22_EM_588.00,L239_1m_june 8_22_EM_590.00,L239_1m_june 8_22_EM_592.00,L239_1m_june 8_22_EM_594.00,L239_1m_june 8_22_EM_596.00,L239_1m_june 8_22_EM_598.00,L239_1m_june 8_22_EM_600.00
,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166
230,2.701598644,5.253311634,7.794056892,11.52252102,13.75951099,14.881217,18.17562866,20.97987747,24.29523468,25.88323975,27.25663948,28.97365952,30.71802139,29.85776329,30.09319115,28.79174232,29.28191757,27.84893227,27.37614632,27.3264389,27.27818298,26.87661362,28.07038116,30.02691269,36.46165085,58.27930069,99.69577789,148.704071,184.4246826,195.7309723,202.4173584,214.3706207,233.0732574,257.440155,285.6559448,308.8850403,311.8788757,301.8182068,295.6638794,284.3829346,281.223938,280.431427,279.51828,274.725769,269.0724182,255.2698212,240.7811584,229.6018524,212.96138,205.5838776,196.769104,188.9194641,183.0349426,171.7788086,169.1280212,162.3465881,155.2432556,152.819931,151.0727386,145.2270355,124.2550659,123.1618576,126.2075195,125.9583588,127.3310242,125.8785095,129.2485809,132.046936,131.0496826,133.8547516,135.5171814,135.9385529,136.2029572,136.5449219,138.6941833,137.8946991,139.4762726,137.8855896,136.6622467,135.9204254,133.6419067,133.241806,131.5474243,127.3792648,129.640152,126.4126053,124.7644196,123.8090668,119.9316483,120.0457611,118.4762802,115.0858231,114.5124283,112.6625595,112.1201706,101.9869537,101.0901184,100.1748352,99.20002747,96.13108826,94.77028656,94.35678864,93.02999878,90.09035492,88.33013916,87.08480072,82.55809021,78.76779175,78.52836609,75.48780823,74.38760376,72.25055695,71.64395142,66.54727173,65.10342407,63.49556351,60.40213776,58.89660645,57.40649796,56.72301102,53.54711151,52.87934494,50.51828384,47.8104744,46.80866623,46.59760284,43.43100739,41.89784241,39.95093918,39.00125122,37.27845001,35.69715118,34.76234818,33.96268845,32.08130264,30.96096611,29.58323669,28.64143181,28.26365471,26.86821938,25.37859344,23.22898102,22.45065308,21.9252243,21.3331871,20.10577583,19.0829258,17.86768341,17.18646049,16.71307945,14.82484055,14.23154736,13.62683201,13.08568096,13.33098793,12.36493015,11.53747082,11.55552292,10.57128239,9.979719162,9.266085625,9.698815346,9.054750443,8.846014023,8.209573746,8.196296692
235,1.866755009,3.183171511,3.836149454,5.381687164,7.360546112,7.007175446,8.580096245,10.47476959,11.43328476,11.73059273,12.93685913,14.39100933,15.44945717,15.43223381,15.96623802,17.18469048,16.95850563,16.59323311,18.31622887,17.14815331,18.42687988,18.36887169,17.49497032,19.07000732,21.81558037,26.85712051,37.66609192,55.51528549,78.01672363,87.28728485,101.1419296,113.2261047,125.4716873,144.0280457,156.2924957,170.6804657,181.1721039,181.8929138,182.1278229,185.7787933,184.5873718,186.2399139,185.9262848,185.0320587,182.3851929,180.2797241,174.9026794,168.8397064,166.0628662,161.0055542,155.2882385,149.7173004,146.3528442,141.4885864,138.2548218,136.8842468,132.7967224,128.8896179,127.9158783,126.3116837,111.1741867,111.167778,113.9351349,116.9746857,117.3213501,118.4994965,119.4000015,120.3561096,125.4851608,124.1317291,126.8699875,129.7643127,127.7786407,130.5148315,130.7790375,132.7446289,130.4164734,130.1051331,130.753418,130.704834,127.1259537,123.9043884,123.837471,124.1613617,122.3354797,119.3207474,117.949707,117.4402542,116.3072586,112.9186554,112.7538071,109.2677231,109.7661438,108.4703445,107.0125046,97.55677795,98.76789093,95.09127808,95.52117157,93.35224152,90.38447571,89.58079529,88.68093872,86.29980469,84.08072662,82.40705109,79.94340515,78.2191391,77.46900177,74.77381134,71.14256287,69.20832062,69.12328339,66.68674469,63.45137405,60.26078033,59.54380035,60.47101593,56.67601013,53.96279907,53.14635086,51.30717468,50.02640915,48.25366211,46.89096832,45.4177742,41.41291428,40.05009079,39.84274292,37.56479645,37.08740616,36.08816528,32.66144562,32.06508636,30.13410378,29.26358986,29.65520287,29.06515312,27.21002769,25.37138939,24.35626411,23.71019745,23.02603722,21.40338707,20.49567986,19.46213531,18.2903595,18.97232437,17.18172264,16.04027176,14.10333538,14.39467907,13.85731316,13.82336712,12.28933907,12.27316284,11.81675148,11.11060429,10.84003258,9.973470688,9.512604713,8.933886528,8.734223366,8.078948021,7.900858402,7.173408985
240,1.602484465,1.535866857,1.464044333,1.621652007,1.760605931,1.603675723,1.437374234,2.393460512,2.521954536,2.758295774,3.553365231,3.996349573,4.848413944,5.455863476,6.338050842,7.137967587,7.492685795,8.880150795,9.351108551,10.17106438,10.28191757,10.59886742,11.07001781,11.43279076,12.07021618,13.15281868,16.0743885,21.2568531,26.46016693,32.57309341,40.31008911,49.82040787,59.24806213,67.16574097,78.04805756,84.50782776,90.33828735,93.6966629,99.48683167,101.666626,106.7512741,109.4020233,112.4041977,112.6477203,114.3621292,113.1945572,112.4138947,111.9465256,111.1033401,108.0331573,109.0189972,106.5808334,105.8342667,104.0207214,105.5722809,103.5189972,103.1657715,101.6604767,103.2259369,102.9805756,91.45840454,96.39112091,97.20259857,98.65865326,99.64213562,103.0829926,103.0894012,105.2791519,107.918251,109.9172363,112.0710831,111.7702789,113.807663,114.7529373,118.5341721,116.473938,116.9823761,118.3324432,118.2515717,115.9381104,115.4788055,116.2203293,113.3639832,111.6818924,114.047493,111.4832382,110.7100525,108.8967361,106.1665649,104.8803177,105.5680695,105.0093155,103.5271988,102.5953751,100.055542,93.85664368,90.09773254,91.42312622,89.90534973,88.6304245,87.63034058,85.33917999,82.86469269,81.18100739,80.68579102,80.34255219,77.04383087,76.62481689,74.71221161,72.33798218,69.81974792,68.7690506,66.39476013,64.74607849,62.95066452,59.25249481,60.0461731,56.17494583,55.67237473,54.39343643,51.3156395,50.4903183,47.79704285,45.82604218,45.37078094,42.66373444,42.52932358,39.84832764,39.37001038,38.44575882,35.99959183,34.72134399,32.63215637,32.20701599,31.23108673,30.02382278,27.87047958,27.30029869,26.33601189,25.01019096,24.35570908,23.44634247,21.49419975,21.99343491,20.46097755,19.6597538,18.62017822,18.19150162,17.71020508,16.29305649,14.53394985,13.64133072,13.86951828,12.6499176,12.10573292,11.99686337,12.34739494,11.30326366,10.39361095,10.32962799,9.465706825,9.005714417,9.521008492,7.845834732,8.257111549,7.693748474
245,9.847216606,7.190843105,3.630800486,1.673078537,1.248770833,0.97748667,1.085321307,1.073245525,1.395677447,1.517290831,2.103164911,2.225986242,2.868221283,3.65353775,4.455497742,5.339975834,5.832902431,6.198194504,6.970833302,7.401966095,8.132404327,8.926764488,9.417174339,9.465813637,10.01999474,10.85504723,12.91224289,15.74923515,19.24469566,21.16191864,25.40161896,29.34288788,36.12919617,42.33681107,47.23428345,52.89877701,56.06076431,58.09059143,61.92819595,63.10905457,66.73531342,69.55049133,73.0150528,74.236763,75.6129303,74.60170746,74.16051483,77.52149963,75.08761597,75.60521698,76.90859985,77.20872498,77.90930176,77.38573456,77.14914703,77.83751678,79.70883179,79.74295044,81.10515594,83.32041168,73.62245178,77.60248566,79.05384064,82.40597534,83.50593567,85.264328,88.01829529,91.11962891,94.52509308,95.25062561,97.81781769,98.94102478,100.3664093,103.1604462,103.8152466,104.1392136,103.270668,105.1543961,105.4454193,105.7911453,104.2458496,103.8709106,103.400444,102.2487259,101.4747162,101.4824677,100.048584,98.38218689,99.11756897,96.81952667,97.56221771,96.17886353,96.28314209,95.01038361,93.84651947,85.28556824,86.70085907,86.11840057,84.61322021,84.43774414,81.89694214,81.21339417,80.48109436,77.45608521,76.47444916,75.40333557,73.32173157,73.04503632,69.67373657,68.29928589,67.54208374,66.28315735,64.090271,61.4919014,59.95542145,59.43905258,56.71927261,54.161129,51.88896179,50.79399109,49.88092804,48.44694901,46.83860397,45.67114639,43.19913483,42.72147369,40.77883148,39.26364517,38.02443314,37.5824585,35.70286942,34.51226044,32.13097763,31.91139603,30.34209442,29.68538475,27.73166084,26.81686974,26.15689278,24.49884224,24.15848541,22.77363396,22.09968185,21.55166817,20.01681137,19.57579422,19.0089798,17.64683723,17.26737976,17.0339222,14.44106674,14.50808048,13.5172472,13.04411411,12.87149811,12.09472275,11.90570259,11.14139843,10.68127251,10.17374992,9.434613228,9.156344414,8.868855476,8.217469215,8.566819191,7.745331764
250,8.378480911,12.3596468,12.41944313,10.02112579,5.856986046,2.598238707,1.705768585,1.428928852,1.490121841,1.54607904,1.738651633,1.941571593,2.692223787,3.000305653,3.7835958,4.114094734,4.702974796,5.687614441,5.944536686,6.025030136,6.91326046,7.09337616,7.49915123,7.851944923,8.667815208,9.810016632,12.35035229,14.52851772,16.85122871,19.16294479,20.27388,22.27104378,26.12895012,29.93797684,34.35056305,37.35631943,38.62944412,40.81196594,41.72219086,43.77386093,45.09557724,46.3056221,48.82499695,49.77017212,50.03996277,51.12592697,51.28202057,51.61070633,52.84260559,52.46831894,52.96992874,53.56507874,55.47713852,55.59845734,56.9225769,59.01529694,59.9363327,61.77429962,63.76802826,65.07282257,57.99902725,61.31733322,64.04682159,67.38240814,69.70197296,72.61875916,74.65899658,76.51948547,79.37675476,81.69474792,83.97696686,85.56983948,86.37094879,88.91962433,90.99803925,91.68621826,91.1468277,93.86418915,93.42672729,94.22088623,94.16297913,93.29116058,93.19857788,93.75009918,93.17973328,91.64664459,92.08992767,90.31108856,90.65129089,89.86220551,89.4367218,88.69320679,88.42882538,88.40342712,86.98923492,81.25341034,80.79136658,80.98731232,78.6098175,77.79676056,77.64702606,77.92012024,76.32215118,72.87728882,74.03392029,71.5368576,69.56181335,68.57327271,66.05879211,65.95628357,64.56103516,61.93359756,60.02962112,59.179039,58.75248337,56.32342911,55.47446442,53.00448608,51.56766891,48.85691071,48.38905334,47.77813721,45.46420288,43.48008347,43.05031967,41.6182785,39.48438644,38.72935486,37.0225296,35.87185669,34.58859253,33.63661194,31.98636246,30.96600723,30.00623512,28.1568718,27.4704361,27.108284,25.34191704,24.4818306,23.56197929,23.18141937,21.42963791,20.64399719,19.82695007,19.5200901,18.2427845,17.2865715,16.89783287,16.59269333,14.3830595,13.88749409,13.32250404,13.05752754,12.48480415,11.87326717,10.93835545,11.01222134,10.1500349,9.959653854,9.366291046,9.364744186,8.606775284,8.585356712,8.035300255,7.641336918
255,1.843257546,2.018074512,3.93339467,7.435834885,11.04963303,10.61310863,9.228108406,6.069456577,3.835565567,2.934049845,2.69379282,2.804970503,2.991735935,2.96164155,3.525095701,3.857847452,4.677568436,5.117088795,5.01073122,5.684827805,6.267426014,6.311324596,6.921046257,7.568565369,8.152665138,9.619755745,12.75585938,15.63514614,18.46015167,18.94848824,20.29988861,21.99905586,24.21501923,26.47442627,29.97524261,31.90220642,33.25252533,33.57473755,34.69442368,35.11655426,35.13041687,36.10513306,38.09207535,37.6583786,38.88565826,39.74245834,38.79950333,39.73026276,39.96579742,40.31228256,41.90076447,42.10069275,43.08090973,45.36750031,45.38326645,47.07637024,48.45307922,50.09216309,51.79049683,52.61505508,48.22010422,51.03858185,53.31734085,55.82620621,58.64702988,61.60544968,62.42242432,65.56345367,68.29845428,70.61254883,73.21382141,74.03524017,76.80420685,77.87140656,78.8269577,81.51071167,82.01321411,82.34772491,84.56346893,84.2689743,84.29960632,84.2746582,84.6536026,83.66127014,83.8849411,83.52143097,82.60231781,84.40562439,83.44351959,82.97880554,82.18952179,82.78580475,81.45342255,81.52872467,81.40938568,75.87075043,77.23687744,76.39836884,74.43596649,74.7509079,74.07855225,74.16892242,71.16944122,69.22841644,70.42763519,69.51554108,66.8605957,66.3900528,62.94745255,63.5933876,61.28427887,60.35257721,58.8990097,56.98692703,56.05667877,54.4690094,53.97691727,52.76177216,50.1807785,48.47271347,47.51878738,45.45306778,43.67055511,43.80010986,41.09532547,40.91711807,38.18884277,36.95971298,36.46735382,35.1669426,33.96377945,32.93823242,31.95803833,30.3432827,28.8215332,27.88578606,27.05871391,25.99863243,25.73503685,23.34659767,23.84189606,21.88822174,20.90910149,20.45698357,19.36677742,18.4289341,17.9751339,17.64221382,16.52358627,16.18554688,13.84316921,13.0701704,13.16652298,12.35441589,12.03258133,12.33248615,10.81021023,10.47267628,10.308218,10.07018089,8.862713814,9.192094803,8.668707848,8.439248085,7.929928303,7.476626396
260,2.076273203,2.051891565,2.085559607,1.801884651,2.27706933,2.519772768,5.270370007,10.30497456,13.75650597,13.23516083,8.329089165,5.364777565,3.708631992,4.137712955,4.416629314,4.430034637,4.746634483,4.931279182,5.145118237,5.691797256,6.144410133,6.59884119,7.001943111,7.396222115,8.571717262,10.49299717,13.84082413,17.88241959,20.8311882,21.30677986,22.84789848,23.29257774,26.71478271,28.20666695,32.07184219,34.12531662,34.2735939,34.6670723,34.20946884,33.70538712,34.66765594,36.09078598,35.79368591,37.35143661,36.92982101,37.39942169,36.98551178,36.34679413,37.45373535,37.73122025,38.13610077,38.40909576,39.63802338,40.587677,40.9626236,42.57958984,44.57605362,44.73936462,47.15705872,48.61950684,44.1108284,45.51823425,48.66158676,50.5762558,53.25121307,55.74769974,57.66278839,60.42263031,61.7080574,63.72743988,66.39093018,67.48770142,69.115448,71.33231354,72.97603607,74.86081696,75.91374207,77.17660522,77.43530273,77.93545532,79.08360291,78.9148407,79.72622681,79.38732147,80.23979187,77.75949097,79.69941711,78.41196442,80.07473755,78.0979538,78.93637085,78.96321869,79.82081604,78.90137482,79.2726059,74.11717224,73.80375671,73.70282745,74.09998322,72.8376236,71.59754944,71.80395508,70.48835754,69.82803345,69.57431793,67.20870209,66.66331482,64.97558594,64.03162384,61.74730682,61.10651016,58.69731522,58.51639938,57.23194885,55.59754181,54.43370819,53.33617783,52.35264969,50.26329422,48.17776108,47.62279892,46.53144073,43.51013947,43.81991196,42.20499039,40.73083496,39.12923431,37.3769455,36.86460495,35.31837845,33.98978043,33.09423065,31.51285744,31.50748062,29.2796917,28.80319214,28.0365963,26.51869774,25.26444054,23.62929535,23.86768341,22.64641953,22.11830139,20.80326271,19.75777054,19.36654663,18.44306374,17.38384819,16.82648468,16.01012993,14.47395802,13.54570198,13.55952454,12.74073124,12.20613194,12.18664742,11.60960484,11.15832233,10.14318562,9.929574013,9.92599678,9.72563076,8.934541702,8.560092926,7.710638046,7.580771923
265,32.05013657,10.74031448,3.164390564,2.496055603,2.59532547,1.811057329,2.215918779,2.965413094,5.100714684,8.266084671,11.78288174,12.8483696,10.9131937,8.442602158,6.091010571,5.19568634,4.902300358,5.229464531,5.289557934,5.598125935,5.879667282,6.02948904,6.424076557,7.085647583,8.030639648,9.862351418,14.26334667,19.26498604,21.51254463,23.1373291,23.67758751,25.16938782,27.12192726,30.39530563,32.7951355,34.57691956,34.82862473,35.61874008,35.29000473,34.03932953,34.29087448,34.91339111,35.78050995,36.34010315,36.51316452,35.4900322,35.46268463,36.00370789,35.48085785,35.13346481,35.9997673,35.98476791,36.19420624,37.00293732,38.13723373,37.20195007,39.0774498,40.75118637,41.12929916,43.9590416,39.04539871,41.40437317,43.7095871,44.97903442,47.38122559,47.27754211,49.47748184,51.87100983,53.52371597,56.04874802,57.10148621,59.37995148,60.80526733,61.78813171,63.7826767,65.7337265,66.0482254,66.21835327,68.33099365,67.93369293,69.40553284,69.14654541,69.47879028,69.18360901,70.33283997,69.21205139,69.39716339,69.67144775,70.5993576,69.99372864,69.85396576,69.5931015,69.9654007,70.25476837,71.84432983,63.80156326,66.051651,64.95917511,65.34282684,65.22949219,64.87747955,63.23745728,63.00751114,62.30937195,60.0640564,60.48561478,59.09906387,58.43739319,57.68552399,55.28646469,54.79291153,54.56106186,52.88230896,51.71707535,49.83564758,48.97597885,47.62648773,46.67037964,45.50281906,44.22132492,43.26277161,41.81978607,40.12175369,39.66217804,37.90190887,36.8466568,35.38036728,34.87123108,33.98173904,32.60264969,31.85516548,30.58155823,29.51363182,28.58540916,26.36831474,25.45923996,25.14011192,24.12917519,23.62959862,22.62211227,21.53311348,20.63809776,19.77415276,19.09118271,17.90959549,17.54856873,17.12368202,15.93366814,15.33503819,15.09967899,13.62580776,12.69798851,12.27759361,11.8855648,11.28524113,10.90732002,10.18221092,9.819051743,9.479790688,9.584427834,8.578569412,8.373270035,7.727135658,7.677550793,7.268261909,7.18496418
270,143.9745331,145.3247833,71.50222778,25.70593834,6.249751568,2.494361162,2.086424112,2.419625759,2.515774488,2.81777668,3.546278,5.222833633,9.089414597,12.94481468,15.08290291,13.80073166,11.29731178,8.029704094,6.515030384,6.616500854,6.76098156,6.685517311,7.102413177,7.870196342,9.281321526,11.73939991,15.70190525,20.60703278,24.87643623,25.56261826,26.81863213,27.89917183,29.47672844,33.21474075,36.84275436,39.00310898,39.21449661,39.06160355,39.59893036,37.69711304,38.70480347,38.83194351,38.78939819,38.83770752,38.18245697,37.60454559,37.82342911,37.40598297,36.43130875,36.61618805,36.08240509,36.2687149,37.25846863,36.57989502,37.80086517,37.54392242,38.37490463,39.54365158,39.92684174,40.35606003,36.86286545,38.98607254,40.66047668,41.7379303,43.11271667,45.23035812,46.22197342,47.62450027,49.59599686,51.23046112,52.07742691,54.58542252,55.67648315,55.60483932,58.05950165,57.43237686,59.49161148,60.91698456,60.48038483,61.26332092,61.33853531,62.41851425,61.72434998,62.53477859,62.53251648,63.34926987,64.51082611,63.77093506,63.40296555,64.12771606,63.62849426,63.67404175,63.56960678,64.22327423,63.91823578,59.07816696,60.44192123,59.70874023,60.37672424,60.90882492,58.8849678,59.4099617,59.74084091,57.55821609,57.21526337,56.42847824,55.19060898,54.83511734,54.97649765,52.64700317,51.35084534,50.1205101,50.71044922,48.83523178,47.68724823,47.22118378,44.89045334,44.21158981,43.02459717,42.64951706,41.24468994,39.86011124,39.31587601,38.08244705,37.14076996,34.82482529,35.11398315,32.74739456,32.49724197,31.25844193,30.66610718,28.61995888,28.3086319,26.8061924,26.10229301,25.47922325,24.39785194,23.55614662,22.86625671,21.48594475,20.92464066,20.01946259,19.20186234,18.43810463,17.7876091,17.26438713,16.39052582,15.55751705,15.12720585,14.39221859,13.23249722,12.54627132,12.08503151,11.59915924,11.45927143,11.0690546,10.20172501,9.716222763,9.34354496,9.242501259,8.427382469,8.413961411,7.725104332,7.785147667,7.317857742,6.675278664
