Wavelength (nm),Intensity (a.u.),Z Axis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,l373_EM_270.00,l373_EM_272.00,l373_EM_274.00,l373_EM_276.00,l373_EM_278.00,l373_EM_280.00,l373_EM_282.00,l373_EM_284.00,l373_EM_286.00,l373_EM_288.00,l373_EM_290.00,l373_EM_292.00,l373_EM_294.00,l373_EM_296.00,l373_EM_298.00,l373_EM_300.00,l373_EM_302.00,l373_EM_304.00,l373_EM_306.00,l373_EM_308.00,l373_EM_310.00,l373_EM_312.00,l373_EM_314.00,l373_EM_316.00,l373_EM_318.00,l373_EM_320.00,l373_EM_322.00,l373_EM_324.00,l373_EM_326.00,l373_EM_328.00,l373_EM_330.00,l373_EM_332.00,l373_EM_334.00,l373_EM_336.00,l373_EM_338.00,l373_EM_340.00,l373_EM_342.00,l373_EM_344.00,l373_EM_346.00,l373_EM_348.00,l373_EM_350.00,l373_EM_352.00,l373_EM_354.00,l373_EM_356.00,l373_EM_358.00,l373_EM_360.00,l373_EM_362.00,l373_EM_364.00,l373_EM_366.00,l373_EM_368.00,l373_EM_370.00,l373_EM_372.00,l373_EM_374.00,l373_EM_376.00,l373_EM_378.00,l373_EM_380.00,l373_EM_382.00,l373_EM_384.00,l373_EM_386.00,l373_EM_388.00,l373_EM_390.00,l373_EM_392.00,l373_EM_394.00,l373_EM_396.00,l373_EM_398.00,l373_EM_400.00,l373_EM_402.00,l373_EM_404.00,l373_EM_406.00,l373_EM_408.00,l373_EM_410.00,l373_EM_412.00,l373_EM_414.00,l373_EM_416.00,l373_EM_418.00,l373_EM_420.00,l373_EM_422.00,l373_EM_424.00,l373_EM_426.00,l373_EM_428.00,l373_EM_430.00,l373_EM_432.00,l373_EM_434.00,l373_EM_436.00,l373_EM_438.00,l373_EM_440.00,l373_EM_442.00,l373_EM_444.00,l373_EM_446.00,l373_EM_448.00,l373_EM_450.00,l373_EM_452.00,l373_EM_454.00,l373_EM_456.00,l373_EM_458.00,l373_EM_460.00,l373_EM_462.00,l373_EM_464.00,l373_EM_466.00,l373_EM_468.00,l373_EM_470.00,l373_EM_472.00,l373_EM_474.00,l373_EM_476.00,l373_EM_478.00,l373_EM_480.00,l373_EM_482.00,l373_EM_484.00,l373_EM_486.00,l373_EM_488.00,l373_EM_490.00,l373_EM_492.00,l373_EM_494.00,l373_EM_496.00,l373_EM_498.00,l373_EM_500.00,l373_EM_502.00,l373_EM_504.00,l373_EM_506.00,l373_EM_508.00,l373_EM_510.00,l373_EM_512.00,l373_EM_514.00,l373_EM_516.00,l373_EM_518.00,l373_EM_520.00,l373_EM_522.00,l373_EM_524.00,l373_EM_526.00,l373_EM_528.00,l373_EM_530.00,l373_EM_532.00,l373_EM_534.00,l373_EM_536.00,l373_EM_538.00,l373_EM_540.00,l373_EM_542.00,l373_EM_544.00,l373_EM_546.00,l373_EM_548.00,l373_EM_550.00,l373_EM_552.00,l373_EM_554.00,l373_EM_556.00,l373_EM_558.00,l373_EM_560.00,l373_EM_562.00,l373_EM_564.00,l373_EM_566.00,l373_EM_568.00,l373_EM_570.00,l373_EM_572.00,l373_EM_574.00,l373_EM_576.00,l373_EM_578.00,l373_EM_580.00,l373_EM_582.00,l373_EM_584.00,l373_EM_586.00,l373_EM_588.00,l373_EM_590.00,l373_EM_592.00,l373_EM_594.00,l373_EM_596.00,l373_EM_598.00,l373_EM_600.00
,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166
230,0.913579226,1.394294858,1.776261568,2.403693914,3.242394447,3.152140856,3.59491086,4.535891056,4.825371742,5.844873905,6.469935417,7.934603214,8.951937675,8.924507141,9.835411072,10.70012283,10.97927856,11.39078712,13.26404476,13.01110554,13.66203976,14.29597092,14.92783642,15.6166029,18.71364975,27.47779274,40.2826767,58.62367249,69.44728088,73.18363953,72.79866791,75.8274765,82.00907135,90.66104126,98.89126587,104.8583908,104.7514191,99.6918335,97.62893677,93.57826233,91.58063507,88.87214661,87.85800934,87.92377472,85.68469238,80.57780457,74.53050232,71.97242737,68.32119751,63.58043289,63.39759827,62.29146194,57.34250641,55.7552948,54.06781387,53.13780212,51.92217255,49.53316116,49.44898224,48.78610992,41.3052063,42.5034256,43.26347351,44.26895905,43.85983658,44.72067642,44.90159225,46.06326294,46.65446472,46.76163864,47.2099762,47.09553146,48.27409744,47.91822815,48.23145294,48.8661499,49.75657272,49.29920578,49.40491486,48.20610046,48.38651276,47.75639725,46.78900146,45.43406677,44.19182205,45.29920959,44.76330185,44.02103806,43.81261444,41.97861099,43.05630112,41.16746521,40.44083405,39.87303162,40.72825241,35.60947418,36.72491455,36.30167007,36.19881821,34.36499786,34.58714676,33.63798141,32.36255264,33.03971863,31.50159645,30.94885254,29.32182693,28.81784248,28.00773239,26.45988655,26.83597183,25.88673592,25.11331367,24.23914528,22.89133453,23.72764969,22.30896378,22.60736847,20.62695885,19.8459549,19.18526649,19.08786011,18.17968941,18.06723213,16.35740471,16.77466393,16.21095085,15.25036621,14.73178577,14.07938194,14.06289101,12.42196274,12.30842495,12.18671989,11.22843552,11.15992355,10.39868164,10.64266968,10.23685169,9.812440872,9.113414764,8.703219414,8.399220467,8.077366829,7.741604328,7.28738308,7.041498184,6.535189152,6.662008286,5.827901363,5.552389622,5.478599072,4.846995831,5.157387257,4.899706364,4.490969181,4.251870632,4.0439291,4.03306818,3.722747803,3.942512989,3.747668743,3.405905724,3.21335578,2.891827822,2.907114744
235,0.947310269,0.895184696,1.17127192,1.617484689,1.812520027,1.476507783,1.920102358,2.627370119,2.996581316,3.250220776,4.047433853,4.310340405,4.762278557,5.795733452,6.101046085,7.033871651,6.541852951,7.682400227,7.639573097,8.178607941,8.949990273,8.755335808,10.53947544,10.20706654,11.58109093,13.05662346,16.28423309,22.4736042,27.56584549,32.3091011,35.97089005,39.42317963,40.90498352,44.83451843,48.83285141,51.95981979,53.93101501,54.30961227,52.91795731,53.99414063,53.8249855,52.2409935,54.20986938,53.82519913,53.97402954,51.64182281,50.76673889,48.81551361,48.39487457,45.55057526,45.44345856,44.16409302,43.40113449,41.04484177,42.14207458,40.68759155,41.40760422,39.00723267,40.9075737,40.00846481,35.72576523,35.787323,37.75277328,38.05083466,38.89204788,39.37688446,38.72642136,39.77788162,39.72135925,41.93298721,42.25790405,41.4702301,43.43581009,42.14871216,43.75201797,44.85170746,43.86990738,44.36087799,44.79434204,43.70754242,41.50133896,43.09928131,40.66829681,40.66582108,42.12796021,40.60839081,40.71864319,39.15151596,38.1509819,37.75209808,37.91790009,37.39844894,37.15839767,37.23168182,36.29551315,34.24895477,33.52246475,32.91956711,33.00539017,31.47255325,32.14718246,31.20021439,30.38154411,29.57938004,29.34394264,29.54477692,28.10837173,26.629673,26.04589081,26.34233665,25.061903,23.26470947,24.15504646,22.28728867,22.44995308,21.43759537,20.65667534,19.87479782,19.91446877,18.59871674,19.32270622,18.08008957,16.43961525,16.87386322,16.06001663,16.46051788,13.52288246,14.98430061,13.72921562,13.51367569,12.69333935,12.19839764,12.4388752,11.42034531,11.18064117,9.978232384,10.45053291,9.936590195,9.309592247,8.525379181,8.480813026,8.2653265,8.512018204,7.257351875,7.991384029,6.327013016,6.66482687,6.703551769,5.537124157,5.476397991,5.036679268,4.599234104,4.832132339,4.693330765,4.229415417,4.290734291,4.126508236,3.890295267,3.806469202,3.620414495,3.288394213,3.435333967,3.219398022,3.190686941,2.736319304,2.523655176
240,2.045118809,1.30071497,1.034166336,0.726391375,0.819404006,0.650299489,0.678703725,0.952423215,1.114605665,1.197512627,1.576439261,1.8822577,2.476390839,2.831845999,3.018061399,3.74029541,4.19598341,4.504181385,5.198784828,5.29727459,5.549770355,6.058145523,6.33642149,6.467344284,6.865554333,7.134032726,7.813107967,10.06481171,11.39240646,12.61218739,15.33696079,17.52983856,19.98513031,21.78437424,23.26991081,25.16500664,25.20991898,25.55775642,26.71212196,28.5430069,28.69345665,28.90724945,28.99182892,29.76817131,30.45462608,30.2066288,29.74380302,29.69322205,29.11694145,30.05823898,29.86936951,28.8594532,30.39191628,29.41992378,30.09672928,31.03034782,31.02202606,31.3190155,32.20808792,31.63771439,28.16414452,30.0048275,29.702425,31.84679985,32.02619553,32.65468979,32.95651627,34.10492706,35.94284439,35.95487976,36.45566559,38.00400543,37.83614349,38.58288956,37.14625168,39.00207901,38.44685364,37.90798187,39.75655365,39.36824799,38.0175705,37.21375275,37.35398865,37.04886246,35.86457062,37.25529099,35.4830246,36.615345,36.38212967,36.21577072,33.92596436,34.28775024,34.06060791,34.33090973,32.37782669,30.72991943,31.29744148,30.35988808,29.75522804,29.57622719,28.81694031,30.58120918,28.32242584,27.82534409,26.95797348,25.90997887,26.45419502,25.75092125,24.85591125,24.58193207,24.12922287,23.26703453,21.90727425,21.15117073,21.22480583,20.01221275,19.69693756,19.19753456,17.97252655,17.5048275,17.71598625,17.3690815,16.3155899,15.07894993,15.174757,14.45718384,15.03005409,13.23594761,13.38242531,12.71602631,12.39531517,12.15199375,11.52383518,10.66147709,10.93109608,10.11575031,9.693110466,10.20390511,8.782035828,8.665390968,8.455046654,8.57998848,7.280166149,6.893083096,7.238660336,6.95724535,6.697794437,6.114356041,5.70749855,5.202249527,5.307415009,4.891554832,5.047739506,4.804151058,4.315130711,4.119643688,4.080867767,3.742115498,3.367161036,3.596332312,3.550172567,3.176985264,2.796338797,2.682809114,2.842581034,2.380417347
245,14.62511158,10.50106621,4.958208084,2.0661726,0.939215183,0.657202482,0.634031475,0.526162624,0.712009966,0.84180069,1.045838594,1.200206518,1.487259388,1.958529472,2.415575027,2.574327469,2.686495066,3.436479092,4.185159683,4.295673847,4.27594471,5.321566582,4.918070316,5.4739151,5.951937675,5.960234165,6.762688637,7.726648808,8.342083931,8.79928875,10.12875366,10.60390663,12.2570219,14.31419945,14.65386009,16.16426468,16.64524841,16.95010948,17.39449501,17.58224106,18.89195442,19.02700996,19.65011024,20.38405991,20.25345802,20.50623703,20.84553909,21.20343208,22.08648682,21.46000671,22.32091522,22.87563705,22.78578568,23.2746582,24.47305107,24.34302902,24.34597206,25.68024063,26.00999641,26.33994293,23.59871101,25.36984634,26.41453934,26.85769081,28.39928055,27.7227478,29.74381256,29.62996292,31.45570374,31.30926704,33.59083939,32.60752487,33.06863403,33.63055038,34.54157639,34.69988632,35.24420166,35.06837082,35.21658325,35.2654953,34.63531494,35.21642303,34.94679642,34.88039398,33.95030975,33.59066391,33.82863235,34.42418289,32.80547714,33.57605743,32.04020309,32.22021484,31.78861046,31.64836502,31.11971855,28.9213829,28.83112717,29.35242462,28.98435211,28.70922852,26.87360954,27.5207119,27.0396347,26.39368439,25.87372589,24.47930336,24.90079689,23.42735291,23.61017036,23.96222496,22.78106117,22.39273453,21.20046234,21.19417,20.24056244,19.36470985,18.98675919,18.26412201,18.2013092,17.45247078,16.77731705,16.46021652,16.06856728,15.27859879,14.73784733,14.17269611,13.82642555,13.11458874,12.81074142,12.38743591,12.2314291,11.55595303,11.03232098,11.00544834,10.56104565,9.615355492,9.0959692,8.980208397,8.791446686,8.448566437,8.306153297,7.774381638,7.517685413,6.839517117,6.897125244,6.77435112,6.228164196,5.683651447,5.568484306,5.625301838,4.890111446,4.634866238,4.398009777,4.445874691,4.306417942,3.90673399,3.849025488,4.028657436,3.511329889,3.630878925,3.176949024,3.295036793,2.89880085,2.930809021,2.757558107,2.532983303
250,11.92906189,17.52555656,18.43961525,13.08778572,8.040959358,2.83004427,1.469551921,0.970699549,0.920828819,0.813177526,0.985533297,1.320691228,1.386993527,1.880556464,1.795430183,2.320397615,2.797235966,2.839026928,3.433213234,3.492894411,4.07485199,4.115680218,4.352871418,4.825911045,4.884613037,5.475014687,6.126645088,7.239963055,8.007301331,8.296178818,8.698360443,9.309181213,9.774543762,10.8651495,12.66386414,12.3774271,13.07153416,12.4202776,13.35033035,13.99513912,14.03108501,14.61573887,14.61483479,15.81197262,15.23748684,15.79914951,16.02416611,15.88843155,16.28645515,16.29461098,17.51285553,17.71182251,18.12295151,18.7668457,20.42656136,19.80051422,20.62609863,21.40293694,21.81013107,22.49108887,20.56782341,21.48795891,23.06166649,22.81177139,24.16667747,24.50675011,25.78081131,26.69275284,27.18296814,28.02570343,28.68627739,29.95661163,30.5754528,30.81807137,30.76596832,31.55127525,31.52562714,32.07038498,30.89864731,32.78724289,32.61079788,32.33395767,31.28056145,32.13331604,31.41186142,31.09320641,31.07943535,31.9647541,31.226017,30.30399132,30.13759995,30.40721321,29.72961426,30.05239296,29.48272896,27.6595192,27.20069313,26.71718407,26.90345001,26.21727753,26.07610703,25.88240623,25.02840233,25.10812378,24.21688271,24.74465561,23.62651825,23.39398384,22.53635216,21.83979034,21.86564445,20.70211983,20.3488102,20.33808899,19.871315,18.71664619,18.99656105,17.33553314,17.22402954,16.42318535,16.25252724,15.87810135,14.94360542,14.40173817,14.53790379,13.69276905,13.26465797,12.94849396,12.5981741,11.91760159,11.71463394,11.42931652,10.80148888,10.27363777,10.29691887,9.705663681,9.157185555,8.66648674,8.321097374,8.326964378,7.697225571,7.706064701,7.498152256,6.934695721,6.467230797,6.539667606,5.925691128,6.127156258,5.224878311,5.333707809,4.745131493,4.950574398,4.564736843,3.986136675,4.324323654,3.991730213,3.734152794,3.74264884,3.405986547,3.505762577,3.185606241,3.213787079,2.98922801,3.006383896,2.487545729,2.424144268
255,1.367008328,2.199924231,4.328704834,9.408379555,15.58843994,14.6274519,11.46879005,7.219474316,3.567557812,2.063153028,1.606834531,1.621563911,1.764388919,2.061309576,2.260338306,2.718399525,2.52051115,3.016461611,3.249969959,3.603714466,3.815704107,4.158539295,4.122597694,4.732009888,4.85975647,5.375152588,5.897845745,7.286025047,8.408619881,8.444452286,8.763521194,8.949400902,9.686969757,11.23292255,11.1978941,12.34186649,11.7623806,12.17665482,12.35885143,11.90607452,12.8483057,12.41801548,13.29766941,13.80324841,13.42453957,13.84738541,13.76622868,14.07346249,14.3808918,14.78377247,15.48826218,15.43987846,15.35510921,15.93209076,17.06113625,17.37340164,17.96882439,18.37160492,18.40551567,19.90104866,18.04718971,18.00985146,19.34499741,20.547575,20.78154182,22.34848022,21.8629055,23.51558304,23.77485657,25.3457489,26.25652885,26.34912109,27.009552,26.71144867,28.2886734,28.23591995,28.54510117,29.23774147,28.47288132,29.28135681,29.13316536,29.33769608,29.03084373,28.86115265,28.33221054,29.56744385,28.74068832,28.17318535,28.58016205,27.86408997,28.32704544,27.41153908,28.39991188,27.86073112,27.60670471,24.51944923,25.58129883,24.09599113,26.00545883,23.7030468,24.91022682,24.30387878,24.18135452,23.24885178,22.54176331,22.55452347,22.85481262,22.47959518,21.52923203,21.63293457,20.62030029,19.56039238,19.61859131,19.03093719,17.78738022,18.00330162,17.7335701,17.16137314,16.32361603,16.09393501,15.25877857,14.62268925,14.84000015,14.34844017,14.14116192,13.54423237,13.32646942,12.8117733,12.41660881,11.37833595,11.05724716,10.70561695,10.86632252,10.68848515,10.0102644,9.263654709,8.730401039,8.399736404,8.217188835,8.809152603,7.447543144,7.39017725,7.401510715,6.629393578,6.720168114,6.462289333,5.881586075,5.952292442,5.222072601,5.130412102,4.528618336,4.491373062,4.483048439,4.092141151,4.243824959,4.012066364,3.692332745,3.445378304,3.374452829,3.271996021,3.274041176,2.812167645,2.626972675,2.736878633,2.676276684,2.308306217
260,1.793675184,1.671927571,1.583435416,1.445772767,1.616863251,2.770832539,6.188591957,12.38771915,17.51403809,16.17552757,9.332009315,5.035302639,2.909934759,2.312134981,2.653446198,2.644033194,2.910646677,3.27784276,3.169041157,3.67059207,4.024320602,4.29589653,4.640182018,5.40284729,5.142424583,5.884808064,6.97979784,8.290124893,9.449626923,9.54134655,9.882982254,10.42840481,10.53420353,11.45213127,12.36557961,12.9419651,12.81786633,12.78386021,12.84261894,12.38291836,12.60804081,13.3370676,13.54635906,13.46664143,12.89070702,13.81575584,13.34824371,14.37398529,13.58789349,13.95484447,14.79148769,15.02597237,14.87824535,15.37223244,15.85816383,16.23082352,16.55029488,16.6928215,17.93387032,18.17309189,16.86679077,17.20796394,18.62320518,19.10999489,19.44199371,20.32793999,21.24837685,21.37402916,22.39736557,23.24631119,23.68194771,24.59830093,24.41228485,24.97208786,25.96319199,26.01838875,26.4568615,26.65813637,27.21531487,27.13902855,26.45321655,27.18677711,27.06058693,27.17157364,27.74102402,26.52287102,27.15906906,26.78289986,27.33608437,27.17440033,27.42294502,26.74119568,27.1092701,25.74768066,26.21807861,24.6164341,25.02708054,24.5540638,23.93828583,24.43416214,24.78397751,24.01511574,23.09477997,22.42329597,22.88721275,22.44134331,21.57936287,21.68201256,21.51922989,20.67304039,20.77827644,20.18806076,19.14842224,18.77893257,17.84417343,17.47884178,17.96646309,16.78923416,16.53537369,15.77634335,15.46461487,15.22114182,14.74458981,13.92159176,13.81494045,13.48386574,13.01973057,12.32356262,12.11829281,11.34598732,10.7997942,10.89917183,10.60913944,9.92566967,9.160774231,9.452486992,8.962753296,8.614902496,8.14145565,8.209581375,7.695175648,7.458611965,7.629303455,6.79860878,6.721491337,6.153548241,5.773561001,5.624425888,5.939805508,5.37790966,4.832006931,4.625231266,4.558448315,4.364590168,3.960050344,4.268509388,4.057434559,3.710236549,3.298334122,3.373820305,3.236272335,2.964271307,2.72398901,2.71005249,2.570896387,2.577318668
265,20.03037834,7.778337955,2.394407272,1.788279295,1.602112293,1.283566117,1.413821578,2.347845554,5.37460804,9.689608574,14.36263275,15.11998367,12.07178593,8.518208504,5.405271053,3.857536793,3.479636669,3.450657129,3.492628813,3.941689491,4.000293732,4.366909981,4.631888866,5.011478901,5.444829941,5.724681377,7.195370197,8.440924644,9.627742767,10.03871632,9.933823586,10.70934486,10.88500214,11.40002918,12.53793049,12.72881699,13.08469772,12.75362206,13.15695667,12.68196678,12.07170486,12.58097172,13.11756039,13.14108753,13.2637825,13.39642811,12.93203831,13.15694046,12.9199543,12.79212284,13.3839674,13.27796173,14.10767174,14.15151501,14.76414776,14.42370892,14.97412014,15.52916431,15.25736809,15.48785305,14.32275105,15.33859062,16.07636261,15.94327545,16.57006645,17.30825424,18.52651978,18.89045334,19.35014153,19.69783974,20.18731117,20.62102699,21.27324677,21.82772064,22.26419258,22.21000671,23.3992691,23.26255035,23.83731079,23.74481773,23.49929428,24.5422287,23.6329174,24.10280228,23.32160568,23.20565605,23.83433723,23.89248276,23.65116692,23.37984848,24.03849602,23.25091362,23.45677376,23.39582825,22.85522461,21.77602768,21.36647415,21.17647171,22.61787033,21.38993263,21.16263008,21.04751587,20.84878922,20.45198631,19.4737854,20.12950706,19.04421616,19.46273994,18.51421738,18.56280136,18.3699894,17.64223671,17.14118385,16.83505058,16.40863228,15.7977829,15.34173298,15.32077694,14.81712723,13.92777824,14.14761353,13.37844658,13.1838789,12.04774666,12.40592575,12.05426216,11.91265965,10.7638998,10.74929523,10.42538738,9.787143707,9.455973625,9.407648087,9.153946877,9.238430023,8.626502037,8.348441124,7.634869576,7.579984665,7.384075165,7.02956152,6.993992805,6.652563095,6.284763336,6.001760483,5.463909626,5.703958035,5.1825881,5.156836033,4.800589561,4.678199768,4.467243195,4.195000648,4.010741711,3.779468536,3.825875521,3.718772173,3.31474185,3.248915911,2.973272562,2.717912197,2.872651339,2.802289248,2.477853537,2.608833075,2.256120682
270,82.94420624,89.68994141,45.84928513,16.58822441,4.378685951,1.659923077,1.479282856,1.471295118,1.7946558,1.756987572,2.724669456,4.859580994,9.783290863,14.71997643,17.43912315,15.27178383,11.73478413,7.356663704,5.047109127,4.980070591,4.816253185,5.212712765,5.062829494,5.439238548,6.344155788,6.665041447,8.175168991,9.119439125,10.97512531,10.50542831,10.98204327,11.81115246,11.90811348,12.80629444,13.77104473,14.33988285,14.48065472,13.76281738,14.06125832,13.62421989,13.19233227,13.7798748,13.74157238,14.06523609,13.75169468,13.91586399,13.83033752,13.5787487,13.37951756,13.50021362,13.30979443,13.19617462,13.69350433,13.83920288,13.46084595,13.47948742,13.87568283,14.37871552,14.64889908,14.69868088,13.142313,13.59031296,14.62993813,15.2204628,15.22507572,15.87001419,16.71490669,17.32674599,17.94496155,17.50348854,18.32448196,18.42666626,19.19112206,19.49309349,19.57995033,20.20116043,20.26903343,20.53944206,21.02908707,21.51486969,21.25203705,21.32561111,21.56043053,21.16339684,20.77007866,20.94807053,20.73556137,21.06917572,20.83352852,20.95862389,20.86624718,20.56220245,21.26501656,20.46012115,21.19410515,20.21535301,19.58003426,19.7442627,19.51032066,18.9115448,19.17757416,19.18549538,18.68578339,19.0390377,18.30734062,18.26299286,17.59487152,17.49745369,17.05650139,16.98882675,16.15546799,16.33851624,16.10900497,15.55981731,15.38311195,14.42095661,14.29891777,14.37733364,13.61416435,13.41944599,12.77028656,13.07177067,12.56111336,12.34762859,11.63543034,11.12230968,10.96727562,10.58317661,10.42726803,10.43595695,9.834730148,9.15501976,9.320555687,8.838772774,8.493455887,7.957894802,7.408923149,7.381425381,7.042795658,6.748138428,6.785468578,6.565984249,6.421557426,5.949047565,5.590263844,5.404070854,4.968383312,5.07739687,4.78150177,4.487107754,4.022264004,3.96310091,3.789771557,3.870408297,3.367293835,3.481849909,3.25070858,3.16036129,2.894282103,2.917394638,2.944375753,2.637830019,2.608868361,2.550769806,2.206480742,2.219710112
