Wavelength (nm),Intensity (a.u.),Z Axis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0_EM_270.00,0_EM_272.00,0_EM_274.00,0_EM_276.00,0_EM_278.00,0_EM_280.00,0_EM_282.00,0_EM_284.00,0_EM_286.00,0_EM_288.00,0_EM_290.00,0_EM_292.00,0_EM_294.00,0_EM_296.00,0_EM_298.00,0_EM_300.00,0_EM_302.00,0_EM_304.00,0_EM_306.00,0_EM_308.00,0_EM_310.00,0_EM_312.00,0_EM_314.00,0_EM_316.00,0_EM_318.00,0_EM_320.00,0_EM_322.00,0_EM_324.00,0_EM_326.00,0_EM_328.00,0_EM_330.00,0_EM_332.00,0_EM_334.00,0_EM_336.00,0_EM_338.00,0_EM_340.00,0_EM_342.00,0_EM_344.00,0_EM_346.00,0_EM_348.00,0_EM_350.00,0_EM_352.00,0_EM_354.00,0_EM_356.00,0_EM_358.00,0_EM_360.00,0_EM_362.00,0_EM_364.00,0_EM_366.00,0_EM_368.00,0_EM_370.00,0_EM_372.00,0_EM_374.00,0_EM_376.00,0_EM_378.00,0_EM_380.00,0_EM_382.00,0_EM_384.00,0_EM_386.00,0_EM_388.00,0_EM_390.00,0_EM_392.00,0_EM_394.00,0_EM_396.00,0_EM_398.00,0_EM_400.00,0_EM_402.00,0_EM_404.00,0_EM_406.00,0_EM_408.00,0_EM_410.00,0_EM_412.00,0_EM_414.00,0_EM_416.00,0_EM_418.00,0_EM_420.00,0_EM_422.00,0_EM_424.00,0_EM_426.00,0_EM_428.00,0_EM_430.00,0_EM_432.00,0_EM_434.00,0_EM_436.00,0_EM_438.00,0_EM_440.00,0_EM_442.00,0_EM_444.00,0_EM_446.00,0_EM_448.00,0_EM_450.00,0_EM_452.00,0_EM_454.00,0_EM_456.00,0_EM_458.00,0_EM_460.00,0_EM_462.00,0_EM_464.00,0_EM_466.00,0_EM_468.00,0_EM_470.00,0_EM_472.00,0_EM_474.00,0_EM_476.00,0_EM_478.00,0_EM_480.00,0_EM_482.00,0_EM_484.00,0_EM_486.00,0_EM_488.00,0_EM_490.00,0_EM_492.00,0_EM_494.00,0_EM_496.00,0_EM_498.00,0_EM_500.00,0_EM_502.00,0_EM_504.00,0_EM_506.00,0_EM_508.00,0_EM_510.00,0_EM_512.00,0_EM_514.00,0_EM_516.00,0_EM_518.00,0_EM_520.00,0_EM_522.00,0_EM_524.00,0_EM_526.00,0_EM_528.00,0_EM_530.00,0_EM_532.00,0_EM_534.00,0_EM_536.00,0_EM_538.00,0_EM_540.00,0_EM_542.00,0_EM_544.00,0_EM_546.00,0_EM_548.00,0_EM_550.00,0_EM_552.00,0_EM_554.00,0_EM_556.00,0_EM_558.00,0_EM_560.00,0_EM_562.00,0_EM_564.00,0_EM_566.00,0_EM_568.00,0_EM_570.00,0_EM_572.00,0_EM_574.00,0_EM_576.00,0_EM_578.00,0_EM_580.00,0_EM_582.00,0_EM_584.00,0_EM_586.00,0_EM_588.00,0_EM_590.00,0_EM_592.00,0_EM_594.00,0_EM_596.00,0_EM_598.00,0_EM_600.00
,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166
230,0.694137633,0.464099735,0.675797403,0.674696326,0.392583698,0.10980463,0.379522055,0.281123132,0.4425762,0.546911061,0.499631643,0.472401887,0.454697996,0.596482933,0.321772277,0.68322742,0.592500627,0.57219851,0.520555019,0.560350716,0.472613305,0.754001021,0.434171259,0.534453332,0.594105482,0.685207844,0.62026912,1.17198658,0.86659503,0.809188128,1.019484997,1.214476109,1.452203751,1.642681122,1.400982618,1.748358607,1.643154979,1.772435546,1.745261073,1.720608711,1.671448827,1.910281181,1.71418047,1.943750858,1.591828346,1.847997665,1.911308646,1.336678743,1.687364817,2.021459579,1.777619004,1.530396938,1.557463646,1.571033001,1.557160258,1.395561576,1.297511101,1.44015193,1.508930922,1.214513779,1.061398387,1.184890985,1.030200481,0.975894213,0.950954139,1.339722037,1.1798352,1.093255043,1.000375748,1.034119606,1.108790159,1.272666574,0.820838988,0.899338782,1.023295045,1.011221528,1.161424518,1.077209711,0.921111166,1.012699127,0.848355412,0.747491062,0.901168287,0.925691783,0.910209298,0.707636178,0.69481498,0.806050539,0.455532253,0.791906238,0.769953728,0.686459959,0.73809582,0.755848467,0.76113081,0.582352638,0.543862402,0.743385673,0.469694734,0.593047619,0.672604203,0.521007895,0.430716068,0.480317742,0.417809546,0.340874165,0.543567002,0.393682331,0.481042564,0.378925651,0.405010074,0.431691974,0.318973809,0.329616398,0.304717153,0.20069617,0.226693511,0.21605584,0.415177286,0.355073392,0.162813783,0.189188585,0.292724073,0.27880466,0.316654563,0.188751504,0.137945235,0.328607768,0.1624396,0.290547967,0.291718215,0.201650575,0.24154751,0.225014865,0.214769408,0.215327784,0.125668436,0.29066819,0.112222075,0.048599128,0.175549388,0.151733115,0.21456787,0.151211902,0.150597006,0.010163214,0.329257905,0.100041442,0.215197444,-0.028300289,0.112414524,0.176677823,0.241297156,0.074216835,0.177611411,0.125359818,0.08718732,0.099896967,0.176968828,0.100098401,-0.00284848,0.048599128,0.08737836,0.164499342,0.188987613,0.074325912
235,0.710044384,0.761465609,0.77779001,0.451295704,0.672144771,0.377119154,0.519055903,0.462373197,0.450366914,0.438281536,0.407692403,0.35547936,0.466834188,0.380579382,0.197763801,0.349097937,0.474558294,0.45261535,0.514687479,0.398840487,0.480230242,0.666860461,0.469791085,0.354255289,0.529650211,0.581112921,0.462990344,0.612489402,0.70066756,0.503703117,0.796679318,0.794288576,0.918456256,1.259345651,1.138352394,1.000351429,1.335009098,1.184979916,1.223095775,1.502417684,1.415819287,1.562534809,1.305489302,1.54205966,1.638399959,1.501598477,1.784107685,1.519432664,1.571387649,1.529469848,1.036396027,1.435624361,1.321606874,1.375951767,1.23957777,1.274033666,1.266497731,1.326467991,1.399745226,1.263905883,1.11806953,0.994928718,1.351021647,0.884135246,0.99799484,1.117399335,0.883856058,1.173146605,1.22809732,0.888601542,1.410184145,0.787367582,1.143686652,1.063390493,1.013495326,0.961968362,1.000687599,0.838116765,0.720693469,0.980238199,0.726586103,0.755660474,0.774759412,0.893088043,0.778226554,0.941030383,0.862706184,0.790370107,0.8773157,0.799614489,0.846536756,0.539811015,0.652622879,0.907534361,0.621940315,0.62900877,0.651688814,0.555745304,0.666464686,0.617357433,0.484234035,0.690507948,0.685581386,0.449141413,0.310447782,0.555208027,0.46638763,0.498511463,0.357226819,0.295982271,0.601348281,0.171424732,0.55814147,0.266742438,0.293990374,0.295223445,0.204663798,0.251088202,0.358994275,0.405061156,0.388766736,0.188025922,0.235982016,0.095054582,0.250437409,0.064198539,0.12674123,0.188954383,0.111145049,0.410883725,0.393978864,0.233930171,0.095228598,0.14209348,0.126480743,0.017297771,0.126357213,0.222366557,0.064423919,0.142687261,0.206000119,0.235844582,0.157663971,0.189017892,0.189257085,0.126769319,0.456371903,0.250993609,0.330845803,0.143097743,0.20431143,0.001504846,0.190443099,0.174557596,0.363376349,0.048599128,0.189356089,0.127071127,0.064229257,0.048599128,0.220032156,0.080013067,0.06434989,0.111747384,-0.061385941,0.080199696
240,2.538990974,1.259771347,0.901662111,0.755710959,0.635541558,0.489489228,0.548672318,0.260847092,0.413664758,0.610225379,0.553550124,0.520256281,0.398878753,0.325354099,0.317672759,0.318197042,0.42956087,0.294468522,0.533589303,0.387233675,0.293091953,0.268226504,0.453119963,0.345893741,0.341164291,0.328033924,0.279148072,0.317979187,0.493416995,0.481853247,0.497796178,0.607667804,0.576556265,0.564918458,0.679108322,0.597741246,0.880668044,0.632225275,0.795369387,0.74866426,0.977126896,0.768085003,0.851469994,1.227844477,1.322390914,0.996734858,1.037083268,1.059056759,1.098902464,0.964081764,1.283361316,0.915435851,0.91590184,1.050272584,0.908645093,1.03469646,0.882934451,1.113301158,1.023282051,0.971315384,0.851851702,0.900650859,0.81071806,0.997038543,1.036448598,0.957282662,0.88867569,0.87678206,0.769176543,1.20982182,0.894653916,1.035679698,0.963071287,0.830508471,0.935549855,1.021592379,0.905994117,1.065880299,0.855551302,1.112109423,0.89250195,0.64678216,0.803960919,0.901798606,0.888219118,0.608147502,0.744493365,0.668569624,0.860786855,0.683164239,0.747489691,0.574164152,0.628740609,0.764005423,0.624924719,0.523628831,0.492209852,0.535533071,0.528046012,0.525440931,0.380854756,0.57895571,0.552961886,0.519798636,0.174113736,0.516408801,0.528979421,0.380918443,0.416180938,0.276003927,0.338184118,0.403816372,0.523414671,0.516935825,0.225834504,0.289688349,0.287502706,0.467338353,0.33998549,0.36160776,0.339032501,0.316319674,0.341734648,0.367362857,0.290286362,0.214012459,0.275651097,0.149109215,0.250224739,0.265016288,0.174963862,0.20123592,0.289483547,0.298833698,0.20175606,0.328946739,0.199629918,0.239823207,0.201826468,0.250723958,0.161296353,0.111562699,0.18765305,0.112009868,0.074081704,0.125178576,0.199609011,0.261890978,0.150227726,0.086329758,0.162832618,0.073538341,0.061357483,0.048599128,0.17568168,0.061140828,0.073727913,0.061356343,0.148644149,0.199205324,0.162536159,0.175431862,0.086645573,0.07355047,0.137107015,0.112025946
245,18.10746574,11.54707813,5.473007202,2.116698742,1.038811564,0.688729107,0.407252491,0.465882748,0.494881988,0.520121813,0.501883388,0.428760141,0.514914513,0.331826031,0.456020892,0.475769907,0.306011587,0.455057144,0.223067671,0.33667931,0.271269709,0.236921772,0.236907855,0.258765787,0.199353546,0.185616717,0.348829299,0.209105253,0.249856323,0.320116907,0.374078035,0.208955124,0.349053204,0.56121552,0.429706872,0.570687473,0.4609209,0.525198758,0.650674284,0.549711585,0.536844492,0.630815446,0.543483138,0.689783156,0.656603396,0.665382326,0.762195766,0.657157302,0.908318281,0.771986425,0.753428519,0.790253818,0.965745747,0.792237997,0.761784315,0.728775024,0.857309103,0.885178387,0.854084551,0.717938602,0.600757658,0.718318999,0.654795945,0.752071798,0.695769787,0.716133118,0.620773911,0.667261243,0.871367931,0.797647476,0.767438114,0.729663491,0.845373869,0.846378982,0.836268067,0.72223568,0.769006371,0.705229044,0.842191219,0.547038972,0.776049852,0.759204924,0.742189884,0.695447087,0.756944656,0.708993196,0.592421591,0.646348,0.546593487,0.643817127,0.655186117,0.619666398,0.512481153,0.397162169,0.465718806,0.457123697,0.445805013,0.489839464,0.491269857,0.412031025,0.407190114,0.375993878,0.523532808,0.360657036,0.408582777,0.420853734,0.404949009,0.285610557,0.457971692,0.271184593,0.36189726,0.276089638,0.330389947,0.274719447,0.315599889,0.282390177,0.254336476,0.246477053,0.165726617,0.280741245,0.17922911,0.232391372,0.286335349,0.261743993,0.26617372,0.278661519,0.347741783,0.176874354,0.266265482,0.289195269,0.192883402,0.192452475,0.145572186,0.165290043,0.171880886,0.129770711,0.243608281,0.157545686,0.144211873,0.157900691,0.102927394,0.109899931,0.144022226,0.177189514,0.192186907,0.103404537,0.075954795,0.131017849,0.124486312,0.124326453,0.137493491,0.076340497,0.097153932,0.125198662,0.104185566,-0.020357829,0.117489576,0.185798749,0.028095841,0.159238487,0.055454358,0.069655597,0.110926427,0.145044431,-0.013159338,0.144966751
250,13.9933567,20.89463234,22.01540565,16.60903549,8.797520638,3.154151917,1.592187643,0.804340959,0.627890408,0.492542535,0.467377126,0.524681926,0.393197238,0.476242453,0.328859985,0.417243004,0.443012774,0.358950526,0.267611802,0.346016854,0.33166638,0.261754364,0.33109498,0.295348793,0.301826298,0.16539222,0.177676052,0.259473205,0.304336876,0.258171201,0.233893901,0.257867932,0.238113075,0.409392148,0.328776568,0.360839546,0.399294853,0.346245974,0.390107036,0.402089238,0.372101903,0.511093199,0.491108328,0.404813915,0.549244106,0.499793917,0.427139938,0.479294926,0.550056815,0.561561763,0.555068433,0.472082794,0.457405657,0.535754085,0.503272414,0.507384896,0.422879547,0.540640533,0.498266369,0.539813519,0.478657842,0.440362573,0.560013771,0.51251483,0.575388432,0.477778554,0.584066272,0.544550896,0.693606317,0.533579707,0.696629524,0.652240098,0.720007241,0.595697105,0.545981944,0.625557661,0.549207032,0.681041598,0.526737571,0.599976063,0.532120585,0.517130435,0.582453907,0.540140986,0.522442997,0.536099494,0.45995003,0.553430676,0.466110736,0.477576554,0.4820728,0.526744902,0.500853598,0.511539817,0.376487523,0.458969861,0.487512082,0.434687853,0.392887264,0.34550944,0.406038404,0.317847401,0.428999454,0.272703022,0.47848326,0.380748808,0.361456364,0.306852728,0.341985106,0.396464854,0.299197286,0.345666051,0.307643056,0.2696715,0.302674919,0.259856105,0.302854955,0.268474698,0.250549734,0.175544873,0.242862284,0.156238541,0.164049417,0.235556722,0.213438317,0.220331907,0.15117684,0.126366138,0.270546734,0.180411413,0.151111275,0.291742474,0.15148975,0.186041385,0.182743013,0.144653112,0.179932997,0.212990701,0.249807596,0.108655944,0.10918279,0.18705909,0.157715827,0.078630239,0.091029793,0.134128213,0.066697694,0.174685106,0.138438314,0.151965216,0.132501289,0.146032959,0.097111911,0.127545863,0.126597106,0.157326952,0.108269982,0.150736809,0.048599128,0.084908187,0.115801379,0.078884535,0.102664545,0.162908897,0.03658466,0.144346729
255,1.591794848,2.067929745,4.696936607,10.57590008,17.78732872,16.49562836,13.77678871,8.287046432,3.755535603,2.142351866,0.908253551,0.793783009,0.526887596,0.59869951,0.436729729,0.429533809,0.510573983,0.334447771,0.387371123,0.30767113,0.414016038,0.185905173,0.215505332,0.368128777,0.500090897,0.336087108,0.185090557,0.258998334,0.232272401,0.363609344,0.16925773,0.287798375,0.249158874,0.350691795,0.19527778,0.286285162,0.329281807,0.363542765,0.441943347,0.372818291,0.338669628,0.429983914,0.368257165,0.284089327,0.193529293,0.368420005,0.521838784,0.436625749,0.452966303,0.442631811,0.380759418,0.370393842,0.427257568,0.442819685,0.519700289,0.505474627,0.356489271,0.32812655,0.44858095,0.433796525,0.382836133,0.3795636,0.240539446,0.296902388,0.426155686,0.342301041,0.377729952,0.305954427,0.458300859,0.524238884,0.41729328,0.475572705,0.363387704,0.50057447,0.57638669,0.45147419,0.517822742,0.553276718,0.512132943,0.513406575,0.480487525,0.44029519,0.450900674,0.45116055,0.45380044,0.42498073,0.488776296,0.325211525,0.457372904,0.429579824,0.441012472,0.400842339,0.584731638,0.58946228,0.382210463,0.327541739,0.368277192,0.523075104,0.468916327,0.423330963,0.176870033,0.326709092,0.337638021,0.35273537,0.241362244,0.337705404,0.205634296,0.383935153,0.375140399,0.272749454,0.272575825,0.357183367,0.197257936,0.34659788,0.353367358,0.276883572,0.403603286,0.244086161,0.254087538,0.177656367,0.329256237,0.255065262,0.399529546,0.160336182,0.198493272,0.197416946,0.039282154,0.086177215,0.170904875,0.240014166,0.143262938,0.209224999,0.245335177,0.039341155,0.132841185,0.15125224,0.142053574,0.171508491,0.142643303,0.151381731,0.189145952,0.169219673,0.114804879,0.085650578,0.241534039,0.039105516,0.171580583,0.152648538,0.105652869,0.132998392,0.105680555,0.115307093,0.113758445,0.180733174,0.1525345,0.171090409,0.105098963,0.132950932,0.086608574,0.228409275,0.067361735,0.13343516,0.076473951,0.048599128,0.219042376,0.057995945
260,1.662504196,1.546236157,1.389096379,1.228079438,1.529439688,2.677521944,6.704843998,13.85890961,18.99390221,17.64006996,9.911292076,4.136313438,1.472235918,0.87751615,0.568622768,0.401889712,0.345090628,0.457569957,0.315751404,0.302416056,0.337042361,0.320425689,0.294582754,0.319919467,0.322334737,0.248852417,0.230414301,0.320824355,0.215325072,0.193719193,0.232241586,0.131172791,0.26558283,0.303576618,0.418487996,0.397589803,0.296235591,0.282642037,0.303028136,0.373620152,0.352628052,0.386045307,0.34454304,0.28295964,0.35408923,0.276539147,0.27486971,0.225896224,0.293581098,0.277002752,0.39723748,0.292092592,0.387143821,0.299289912,0.332481295,0.258201092,0.334688425,0.325825542,0.340653598,0.29364121,0.302140445,0.223743901,0.297212422,0.190964252,0.303084403,0.396990716,0.408150166,0.352853149,0.265672207,0.269967854,0.401441485,0.361208797,0.305125207,0.260944188,0.37507093,0.414159924,0.357823968,0.353726983,0.3481116,0.299095839,0.349444836,0.407455415,0.368645817,0.309642375,0.271986693,0.336676121,0.31009376,0.321385115,0.374559283,0.381991744,0.346507162,0.386586696,0.332015932,0.327144444,0.328590393,0.375118703,0.400089055,0.305759072,0.303133726,0.2064915,0.302255064,0.375391066,0.258423328,0.279650182,0.281960994,0.258944839,0.310870081,0.228335023,0.22135593,0.210752532,0.250987321,0.18814154,0.20186539,0.288480848,0.226345301,0.183572382,0.138848275,0.195580631,0.221696451,0.235802367,0.249632224,0.257557213,0.235585973,0.156199694,0.133212,0.199969023,0.249165162,0.133304685,0.160599396,0.099874459,0.127464816,0.156038448,0.156629786,0.196352422,0.116377741,0.127335742,0.143661484,0.140163735,0.065389484,0.156108364,0.174215063,0.161086336,0.09944199,0.07666631,0.181939125,0.099421605,0.104905114,0.126603544,0.144008264,0.088295169,0.08794973,0.150448829,0.149308562,0.082756408,0.116746098,0.088052861,0.082522735,0.026418433,0.082301497,0.082330681,0.026213866,0.138956323,0.093689367,0.093339354,0.099473029,0.071243286
265,16.12799835,5.469468594,1.880594373,1.54839325,1.359576344,0.923828363,1.052031517,2.250253916,5.871786118,10.67430878,14.75850391,15.50702095,12.26374912,7.487839699,3.842494249,1.470564365,0.7069906,0.494728953,0.566980839,0.458072424,0.445849687,0.434338808,0.270634651,0.250574917,0.242015705,0.272881866,0.280286878,0.352349222,0.289786726,0.373598844,0.230723053,0.42840755,0.234566391,0.308057547,0.257924259,0.365058601,0.341691107,0.337966353,0.374909848,0.356778562,0.243819192,0.258223921,0.329027057,0.323060513,0.333222359,0.328854799,0.35712719,0.360896438,0.31382072,0.409649044,0.323620051,0.286180913,0.363592178,0.391312182,0.222783759,0.302991956,0.302073836,0.26741752,0.331112146,0.303881019,0.311560452,0.260825813,0.267810583,0.16245681,0.296897382,0.21191974,0.276433259,0.282576293,0.2711263,0.299779981,0.366470844,0.290480971,0.389756769,0.267051041,0.228830189,0.439938307,0.28271243,0.298317432,0.223656461,0.312517762,0.326169044,0.370224059,0.307224572,0.339164823,0.301167935,0.298797458,0.330577642,0.417150229,0.158852041,0.297111094,0.303461224,0.231385514,0.303183168,0.297553211,0.293163687,0.207775325,0.261153191,0.309638649,0.331984311,0.249460995,0.217716992,0.22175929,0.220043793,0.164343402,0.242418706,0.23942472,0.255682617,0.28004536,0.332390338,0.23098214,0.147517219,0.228090122,0.133722588,0.177678958,0.195521116,0.251294345,0.158261612,0.14157337,0.252839923,0.110218741,0.241943106,0.215924755,0.135355726,0.177560866,0.160165459,0.166232347,0.165555313,0.178472459,0.048599128,0.165877283,0.189153284,0.128206238,0.140699387,0.178781629,0.25135538,0.103339657,0.109926246,0.171741977,0.164721146,0.171544403,0.231888056,0.054712795,0.135948986,0.066901073,0.195542693,0.073505886,0.122234568,0.127463967,0.19006446,0.129801929,0.176990807,0.092224255,0.128254533,0.103445068,0.067208856,0.103525743,0.09141311,0.08541052,0.085547447,0.079252541,0.103784397,0.078977644,0.128079697,0.030230731,0.066953927,0.060786076
270,64.70013428,59.08757019,33.95010376,12.05561638,3.487934589,1.123595357,1.02108717,0.936254025,1.005189419,1.123867989,1.665643215,3.923014164,8.875368118,14.34585094,16.52344322,14.23211098,8.882531166,4.020332336,1.750828028,0.682431221,0.542898953,0.412321746,0.494881123,0.342221349,0.399878711,0.331977189,0.39634937,0.360679269,0.293720186,0.382426232,0.335075378,0.431602061,0.286521941,0.281631768,0.313543826,0.393526107,0.358019441,0.335384458,0.308625758,0.357625842,0.300794274,0.234222576,0.402278423,0.390434116,0.306276381,0.310294271,0.21052891,0.394661635,0.405738235,0.358634293,0.379311234,0.211744994,0.261687964,0.345393717,0.317659736,0.337502599,0.278440952,0.321423739,0.318065464,0.355615765,0.28036961,0.273416936,0.289113194,0.299961567,0.299390167,0.330111235,0.250048518,0.314603746,0.258422077,0.323218465,0.278916389,0.337652057,0.295732915,0.377169967,0.272839516,0.363168478,0.357661456,0.33213681,0.286807805,0.293091416,0.402950138,0.2828058,0.374973387,0.321371615,0.340312868,0.201969296,0.301838487,0.295416743,0.367307872,0.262091875,0.223865345,0.305045009,0.233602256,0.206854522,0.370201141,0.259776771,0.286441416,0.264976233,0.263945818,0.174595281,0.212388039,0.212863639,0.212741002,0.17477943,0.273954868,0.175510734,0.196154699,0.185906634,0.14912717,0.214768171,0.187190399,0.239663675,0.256539255,0.166848823,0.164059848,0.07523483,0.161684141,0.150835961,0.186940417,0.210075244,0.220592201,0.209827036,0.230624631,0.140005335,0.194047391,0.13987577,0.155485272,0.128711492,0.091492727,0.167750552,0.101744257,0.117464542,0.170662314,0.113811553,0.15692389,0.143118575,0.123802856,0.108053446,0.106445149,0.149043724,0.150487274,0.09606047,0.102444202,0.075230852,0.080476716,0.096839428,0.140286341,0.080423288,0.176434129,0.153107852,0.085621282,0.117595389,0.123312414,0.090679139,0.118434533,0.107586056,0.112350926,0.086134449,0.1401328,0.070088677,0.150333971,0.075497188,0.043225989,0.08102525,0.166838646,0.118626013
