Wavelength (nm),Intensity (a.u.),Z Axis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0_EM_270.00,0_EM_272.00,0_EM_274.00,0_EM_276.00,0_EM_278.00,0_EM_280.00,0_EM_282.00,0_EM_284.00,0_EM_286.00,0_EM_288.00,0_EM_290.00,0_EM_292.00,0_EM_294.00,0_EM_296.00,0_EM_298.00,0_EM_300.00,0_EM_302.00,0_EM_304.00,0_EM_306.00,0_EM_308.00,0_EM_310.00,0_EM_312.00,0_EM_314.00,0_EM_316.00,0_EM_318.00,0_EM_320.00,0_EM_322.00,0_EM_324.00,0_EM_326.00,0_EM_328.00,0_EM_330.00,0_EM_332.00,0_EM_334.00,0_EM_336.00,0_EM_338.00,0_EM_340.00,0_EM_342.00,0_EM_344.00,0_EM_346.00,0_EM_348.00,0_EM_350.00,0_EM_352.00,0_EM_354.00,0_EM_356.00,0_EM_358.00,0_EM_360.00,0_EM_362.00,0_EM_364.00,0_EM_366.00,0_EM_368.00,0_EM_370.00,0_EM_372.00,0_EM_374.00,0_EM_376.00,0_EM_378.00,0_EM_380.00,0_EM_382.00,0_EM_384.00,0_EM_386.00,0_EM_388.00,0_EM_390.00,0_EM_392.00,0_EM_394.00,0_EM_396.00,0_EM_398.00,0_EM_400.00,0_EM_402.00,0_EM_404.00,0_EM_406.00,0_EM_408.00,0_EM_410.00,0_EM_412.00,0_EM_414.00,0_EM_416.00,0_EM_418.00,0_EM_420.00,0_EM_422.00,0_EM_424.00,0_EM_426.00,0_EM_428.00,0_EM_430.00,0_EM_432.00,0_EM_434.00,0_EM_436.00,0_EM_438.00,0_EM_440.00,0_EM_442.00,0_EM_444.00,0_EM_446.00,0_EM_448.00,0_EM_450.00,0_EM_452.00,0_EM_454.00,0_EM_456.00,0_EM_458.00,0_EM_460.00,0_EM_462.00,0_EM_464.00,0_EM_466.00,0_EM_468.00,0_EM_470.00,0_EM_472.00,0_EM_474.00,0_EM_476.00,0_EM_478.00,0_EM_480.00,0_EM_482.00,0_EM_484.00,0_EM_486.00,0_EM_488.00,0_EM_490.00,0_EM_492.00,0_EM_494.00,0_EM_496.00,0_EM_498.00,0_EM_500.00,0_EM_502.00,0_EM_504.00,0_EM_506.00,0_EM_508.00,0_EM_510.00,0_EM_512.00,0_EM_514.00,0_EM_516.00,0_EM_518.00,0_EM_520.00,0_EM_522.00,0_EM_524.00,0_EM_526.00,0_EM_528.00,0_EM_530.00,0_EM_532.00,0_EM_534.00,0_EM_536.00,0_EM_538.00,0_EM_540.00,0_EM_542.00,0_EM_544.00,0_EM_546.00,0_EM_548.00,0_EM_550.00,0_EM_552.00,0_EM_554.00,0_EM_556.00,0_EM_558.00,0_EM_560.00,0_EM_562.00,0_EM_564.00,0_EM_566.00,0_EM_568.00,0_EM_570.00,0_EM_572.00,0_EM_574.00,0_EM_576.00,0_EM_578.00,0_EM_580.00,0_EM_582.00,0_EM_584.00,0_EM_586.00,0_EM_588.00,0_EM_590.00,0_EM_592.00,0_EM_594.00,0_EM_596.00,0_EM_598.00,0_EM_600.00
,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166
230,0.422660351,0.573347032,0.483722329,0.427464396,0.275662482,0.193427384,0.344559491,0.325114995,0.150176689,0.207826301,0.230951354,0.347176433,0.19564046,0.451926172,0.30322811,0.303546935,0.207974568,0.139340222,0.40539366,0.432266951,0.360610336,0.302960902,0.452620029,0.372798324,0.327770591,0.290402919,0.557649255,0.303063005,0.463812947,0.338570923,0.53479892,0.420550704,0.550172865,0.327394247,0.48159641,0.446641296,0.751599252,0.517903745,0.676276565,0.656604886,0.647175193,0.663761079,0.482105374,0.460437477,0.73028779,0.469713867,0.495357335,0.601009011,0.492515564,0.678869784,0.717257559,0.590240598,0.673016667,0.504068732,0.390026212,0.737187862,0.570560396,0.368142575,0.497889638,0.446607471,0.402121574,0.640699387,0.364795178,0.306692392,0.428238243,0.438162416,0.47456032,0.448921621,0.435994416,0.402802676,0.485143423,0.556579411,0.436531782,0.286273032,0.558788538,0.384338528,0.500815272,0.311041653,0.4749704,0.438676745,0.204633683,0.391100109,0.320012182,0.406497598,0.299067765,0.440722793,0.509301782,0.28467688,0.249878004,0.225833669,0.414620906,0.444518238,0.263168246,0.273679733,0.285592437,0.344347209,0.311342388,0.308885753,0.037112463,0.299405813,0.191923246,0.203699723,0.155788943,0.096413314,0.131901473,0.025086492,0.131249607,0.167100191,0.227782384,0.156162992,0.167817369,0.181363031,0.26396057,0.167637005,0.179614857,0.048491884,0.229278967,0.202812463,0.013284001,0.155795738,0.001253709,0.096407086,0.109127015,0.178800598,0.037424695,0.048665311,0.226844743,0.167615369,0.179182872,0.037162889,0.025180999,0.107687816,-0.118821606,0.108611628,0.204742357,0.122367963,0.121964082,0.061986703,0.061547909,0.277855277,0.168738663,0.167078689,-0.010621365,-0.070331484,-0.010532578,0.263423622,0.193078294,0.013498772,-0.022513054,0.013647083,0.10911499,0.037470382,0.049401458,-0.107025206,0.037373047,0.254406154,0.013532165,-0.02246942,0.001272865,0.001605146,0.050356891,-0.212964863,0.025925357,0.061481114,0.001458667,-0.010486066
235,0.688870668,0.354762018,0.599725604,0.66736275,0.528005123,0.180178553,0.503960371,0.387611359,0.321404904,0.459731668,0.466881573,0.478794515,0.234109566,0.406708598,0.306752086,0.32548359,0.313263297,0.280137271,0.348148465,0.353927732,0.234829023,0.293808609,0.44901818,0.204651341,0.193835169,0.283745944,0.226450428,-0.034472059,0.396655351,0.195757017,0.342328638,0.629807055,0.31135425,0.169520363,0.358506739,0.368399858,0.658738792,0.256305933,0.57307899,0.394792348,0.844908655,0.326252282,0.470272541,0.410463572,0.370310158,0.312815487,0.661603808,0.38605547,0.618961394,0.588183939,0.580490172,0.387051821,0.558330476,0.489171922,0.527730644,0.631229818,0.66214931,0.61821264,0.415507615,0.766915083,0.588012695,0.299539,0.457582682,0.511121929,0.273839146,0.539876699,0.575567484,0.433774948,0.331688821,0.416568249,0.49145931,0.595149457,0.451000571,0.626223922,0.696020186,0.362621814,0.346095562,0.241923735,0.508679092,0.423166811,0.3060669,0.622021437,0.389864385,0.377310842,0.372729599,0.420213401,0.392670661,0.156766281,0.449129462,0.361329496,0.112327695,0.418492705,0.344299287,0.185495093,0.288691431,0.34763366,0.25922665,0.344382048,0.127159536,0.15660888,0.128187269,0.290438235,0.096893713,0.126320794,0.127180919,0.024346281,-0.064083263,0.188400611,0.083214805,0.097531453,0.260269761,0.273965925,0.351204515,0.112610549,0.319249392,-0.123414978,0.242944732,0.142274037,0.053789195,-0.034472059,-0.108658239,0.322097749,0.126875028,0.055110935,-0.034472059,0.187060937,0.055889387,0.367618829,0.190334603,0.174930096,-0.01966295,0.188732252,-0.094094351,-0.049400106,0.173598096,0.010150213,0.100742251,0.115304783,0.160670385,0.159699783,0.219115451,0.130159169,0.18877545,0.098544002,0.145340934,0.05513769,-0.079621509,-0.124756008,0.08527945,-0.200409606,0.174729839,-0.00455657,0.191397548,0.040397298,0.144522876,0.29052943,-0.094684914,0.040715914,0.114605889,-0.109034374,0.114881977,0.100982383,0.232713148,0.055632915,-0.049408358,0.100498915
240,1.963452816,1.046350718,0.840202749,0.596609294,0.715211034,0.4225052,0.40336591,0.440199256,0.478960931,0.25238651,0.483856916,0.42213878,0.419399142,0.430196524,0.460872829,0.220805511,0.280467302,0.254995793,0.289380252,0.142764151,0.241887078,0.296920776,0.165492386,0.236047998,0.222948357,0.10012348,0.369359881,0.259592384,0.247682229,0.16910179,0.314634919,0.238851562,0.24798508,0.268330544,0.424028099,0.067765817,0.35032618,0.177460879,0.357316077,0.235475972,0.340638787,0.469334483,0.369513959,0.337266773,0.428940952,0.332341343,0.316377342,0.302686155,0.476038814,0.438256055,0.581284523,0.419047832,0.740121305,0.469087183,0.621933579,0.530786455,0.535848498,0.415905565,0.777922094,0.55350554,0.240133747,0.480313778,0.321706504,0.57091707,0.416842431,0.413912028,0.445100427,0.599117398,0.465653002,0.504852772,0.362362355,0.489278913,0.622671783,0.350628078,0.576817155,0.516207695,0.288142055,0.508594275,0.56350404,0.475494981,0.285802484,0.443599284,0.419058114,0.44603318,0.437150121,0.161119074,0.319684148,0.296419531,0.253214955,0.264443815,0.424997032,0.38895613,0.270706594,0.173473775,0.151637211,0.356135011,0.245143905,0.151626378,0.184381604,0.183527857,0.334774345,0.172676876,0.253059447,0.24065949,-4.87E-05,0.163808718,0.116374999,0.174039856,0.150638133,0.185963482,0.289189965,0.128654361,0.324544489,0.245336279,0.163499311,0.069930241,0.140198395,0.128027648,0.024062928,0.047203455,0.035888541,0.185845882,0.058898624,0.035134312,0.011719983,0.148938462,0.115577564,0.00011446,0.18740502,0.104113668,0.034819204,0.277923077,0.057514746,0.069832236,0.107761964,-0.04609713,0.081550688,0.081595123,0.13962467,0.186060697,0.259130955,0.140571415,0.057746965,-0.02277752,0.114194512,-0.069718495,0.059087526,-0.139671236,0.011551503,-0.13921091,0.094522372,-0.081116572,0.059271712,-0.022800043,0.220010296,0.116030961,0.000492569,-0.022755459,0.000653867,0.012335654,0.023762956,-0.011347463,0.012431707,0.047232058,0.080884159,0.07026802
245,16.40859413,11.23821163,5.502599239,2.014503479,1.043684959,0.406464219,0.442872435,0.272832602,0.330011219,0.34438172,0.295970917,0.446243823,0.321275443,0.433909148,0.296930164,0.259575665,0.175330654,0.161569133,0.243741915,0.070041701,0.199086621,0.125332236,0.096261546,0.182737112,0.149491236,0.152383283,0.133117378,0.146251574,0.109885126,0.191566303,0.244433388,0.254850686,0.071177721,0.177195817,0.237618282,0.166087002,0.145967081,0.127056748,0.179595977,0.171598911,0.240030393,0.380833507,0.252649307,0.204529166,0.325937569,0.295737803,0.346206933,0.260969341,0.358022451,0.264146835,0.359728843,0.400499672,0.478733599,0.256253183,0.337036401,0.325665176,0.332096875,0.258346289,0.469525278,0.288862765,0.439431638,0.344571888,0.253385961,0.531334341,0.299725145,0.359674215,0.355036348,0.35814923,0.349078745,0.339679092,0.394125491,0.403703868,0.270032704,0.275332958,0.37292996,0.307105511,0.306501627,0.271211773,0.409473479,0.314938426,0.227391645,0.332997978,0.245804146,0.305891246,0.263420522,0.341453433,0.255177796,0.157445639,0.348610997,0.245353177,0.332356542,0.18994014,0.17047748,0.240983561,0.150191918,0.21411927,0.255710095,0.194068894,0.138972864,0.145676821,0.10566248,0.15731436,0.028978508,0.139455542,0.067623451,0.087467417,0.100657851,0.194652185,0.105582178,0.054350842,0.156349421,0.067497879,0.2389483,0.132940441,0.210034564,0.092523351,0.13718538,0.118503302,0.067728445,0.067106202,0.061234538,0.168145508,0.054758456,0.067786574,0.02913348,0.054966521,0.132444978,0.010347448,0.080068916,0.054804545,0.055799853,0.067609772,0.0426686,-0.021580894,0.113172054,0.029436324,0.030398976,0.023397569,0.036397833,0.060616311,0.062658072,0.112765625,0.079801321,0.010422759,-0.034472059,0.087032288,-0.015333792,0.055338319,0.029220585,0.035815936,0.054285523,0.054642018,0.017133188,0.010244947,-0.01518479,0.080986574,-0.00203675,0.00442281,-0.008894322,-0.028016115,0.01656495,-0.034472059,0.036377754,-0.028046852,-0.002150811,-0.008702682
250,13.23618031,19.29284286,20.92986679,15.52008915,8.993070602,2.717558384,1.259510636,0.624705315,0.394229829,0.33763054,0.368860722,0.234498784,0.337533176,0.426982611,0.31766817,0.288622409,0.225729778,0.273929358,0.182233125,0.23495774,0.215771213,0.105814233,0.127524629,0.128538117,0.078620687,0.129164502,0.106863499,0.155251622,0.124823406,0.102201417,0.122890547,0.173491254,0.123103067,0.095032439,0.132838756,0.089018673,0.149990588,0.18370609,0.181784764,0.168199822,0.228194609,0.146662742,0.212749496,0.168548435,0.168331131,0.164790094,0.208958149,0.347246498,0.208195701,0.242412582,0.250535429,0.177354738,0.244959489,0.22758992,0.278280288,0.313502878,0.223221526,0.250779301,0.334542125,0.257033139,0.185797364,0.18210645,0.205044791,0.287523657,0.254609168,0.187898397,0.314725965,0.238489375,0.239511475,0.275107712,0.256426275,0.274203449,0.293500572,0.177747175,0.31582886,0.296459168,0.229986921,0.240125909,0.325418949,0.240784124,0.172986045,0.239281788,0.207328305,0.243450448,0.138170928,0.184313565,0.239942208,0.185432792,0.240743086,0.172444701,0.144011974,0.229530081,0.119926587,0.167953581,0.096594006,0.242095724,0.163404837,0.080922768,0.164046049,0.220721707,0.109047726,0.064437613,0.120660231,0.091702223,0.161981374,0.087204993,0.128774196,0.075336754,0.094504207,0.081284091,0.086022303,0.088204384,0.182099789,-0.005593361,0.161144972,0.098069102,0.141275883,0.035308365,0.098326221,0.057113517,0.011684537,0.058007609,0.098714575,-0.005604699,0.08225219,0.017315771,0.017964188,-0.051809091,0.117188916,0.005511262,-0.005745674,0.123124987,0.011908788,0.028733615,0.046545055,0.097670078,0.039895672,0.034888092,0.042036328,0.046685476,0.052592475,0.099036962,0.063784182,-0.011141915,0.017734542,0.058628064,0.028805245,-0.028670654,-0.028697986,-0.011398021,-0.005411923,0.018052321,0.076463237,0.000180177,0.080754563,0.011818614,-0.103664234,0.023682352,-0.011293329,0.051829074,-0.069113687,0.024092752,0.005799253,0.040529381,-0.011163395,0.02948143
255,1.544625163,2.062922955,4.44791317,10.34590721,15.89839268,15.30937386,11.98226929,7.950227737,3.586179256,1.468770623,0.802779734,0.634435594,0.407565743,0.490168571,0.410135776,0.494186342,0.316480219,0.237641409,0.396291345,0.162726,0.313124031,0.300772458,0.281448632,0.265308708,0.13758871,0.138032436,0.229636446,0.227420017,0.182649255,0.111143202,0.246714041,0.137900114,0.087954789,0.087416515,0.232398912,0.119191527,0.18286255,0.20446229,0.216104701,0.156329557,0.17297709,0.120581388,0.197686151,0.264550567,0.23671557,0.200988263,0.14793995,0.017398749,0.157249078,0.27548191,0.297469437,0.157305896,0.202397063,0.176453903,0.190472558,0.116019696,0.026421864,0.173611999,0.175330997,0.251276881,0.122653574,0.203344256,0.168344438,0.30363819,0.183851376,0.17523016,0.219931766,0.29715082,0.238867626,0.149229258,0.143991008,0.194736108,0.097930327,0.221623465,0.231995657,0.359835893,0.166369736,0.248353377,0.275240511,0.133202121,0.0451493,0.160414815,0.088726178,0.292698115,0.157869264,0.203658864,0.201585248,0.064013064,0.358987778,0.158686608,0.177043185,0.216962442,0.18557705,0.168238983,0.249351755,0.195203826,0.258397907,0.027635887,0.073153198,0.172976226,0.036686491,0.055027816,0.037385736,0.106976897,0.080203801,0.045950424,0.117076844,-0.061027311,0.13408719,0.063115746,0.001352258,0.183757365,0.257798702,0.147306457,0.117852226,0.08048673,0.137836963,-0.078867964,0.168308675,0.009393748,0.045829158,0.098622292,0.090654179,0.001078442,-0.079616338,0.116439164,0.035908964,0.037249807,0.136736125,0.089467809,-0.04333448,0.143676266,0.009608764,0.018670432,0.178853691,0.010191534,-0.016629891,0.05594958,0.115032375,0.179712296,0.081419319,0.045256507,0.124797434,-0.061249167,-0.061319381,0.117574304,0.063949615,-0.007662889,0.010038458,-0.007392338,0.001401737,0.02771147,-0.043316998,0.154444814,0.125573471,0.062909275,-0.070362598,-0.069907606,-0.007693039,-0.05221498,0.010257863,-0.09697932,-0.070002034,0.063365728,0.019178886,0.082541749
260,1.684984446,1.329248905,1.280674219,1.081350207,1.356128812,2.729315281,6.547982216,12.57674026,17.84972191,16.56847572,8.685274124,4.150001526,1.368471503,0.752572,0.463756204,0.348679394,0.320164442,0.338307023,0.194387078,0.186949462,0.250659108,0.167231321,0.182286933,0.19016099,0.132887706,0.164741293,0.163118348,0.142321512,0.11892961,0.1224415,0.12085335,0.14182815,0.02635951,0.156925127,0.208176449,0.057418119,0.082609653,0.077351779,0.127793983,0.118512675,0.113134682,0.128265172,0.183247253,0.131672665,0.195116252,0.062065791,0.170411333,0.09011589,0.203892142,0.165344521,0.155431241,0.076818913,0.186208248,0.128850743,0.190579221,0.099300995,0.162316144,0.208737478,0.12472108,0.100033194,0.177716896,0.104426831,0.124547958,0.226579115,0.12556842,0.100052685,0.115510345,0.110702693,0.104574889,0.161685318,0.053759877,0.140863389,0.048567612,0.141764954,0.104838192,0.152993768,0.166738287,0.069834769,0.169148207,0.204883128,0.141881973,0.17806448,0.132301435,0.130982131,0.073084563,0.244083866,0.102884039,0.141342103,0.121349424,0.142011046,0.109447584,0.209018454,0.172016844,0.127495795,0.094965711,0.138691738,0.126091465,0.091264024,0.138085067,0.111616164,0.120634839,0.069791809,0.05448148,0.080986232,0.08069551,0.074196041,0.127105772,0.079537079,0.058636848,0.017299566,0.053821277,0.038747016,0.188605577,0.09048824,0.100463197,0.006938379,0.142923549,0.007034201,0.074555978,0.028163653,0.054664318,0.074310303,0.043500651,-0.013487022,0.039266486,-0.034472059,0.039221842,0.037963215,0.006917812,0.02345347,0.017348662,0.033173915,0.007323038,0.002353765,0.089848071,0.002149351,0.02830882,0.012653787,0.048422191,0.044117514,0.085965082,0.038733233,0.084893122,-0.055210449,0.033774432,0.033527393,-0.008395623,0.007533055,0.023355719,-0.003205288,0.002223458,-0.034472059,-0.081208065,-0.029256146,0.023305297,0.038999472,0.017801307,-0.055418856,-0.055400878,-0.055352155,-0.024032012,0.023017526,-0.029218525,-0.055529457,0.038932826,0.03366461
265,21.94042206,7.907265663,2.199252129,1.537983179,1.17788589,0.882847965,1.056944013,1.904111385,4.78612566,9.266893387,13.98148823,14.84235191,11.29836559,7.149666309,3.519305944,1.357581258,0.66545409,0.451802015,0.320823848,0.315743923,0.236067817,0.277944535,0.199550211,0.224043146,0.213452294,0.181811839,0.189144105,0.218347743,0.121565744,0.203598887,0.187949136,0.210468218,0.085796654,0.137411267,0.237596676,0.072893202,0.130438402,0.1310011,0.075180858,0.153455034,0.119278595,0.175334409,0.128106907,0.107881546,0.149653971,0.155374035,0.2067312,0.140129268,0.134457693,0.134000361,0.207211435,0.040261198,0.185953245,0.052456241,0.163750932,0.181307867,0.099637941,0.081926793,0.218646303,0.105938762,0.080331922,0.029002052,0.047190119,0.135477364,0.110740006,0.151912555,0.122346953,0.059548806,0.146466359,0.1114375,0.16015619,0.052954789,0.059686024,0.127981439,0.187062234,0.169884816,0.193359613,0.223792389,0.206197575,0.118504196,0.094237089,0.15221265,0.128477797,0.130366668,0.060275938,0.105986416,0.141932115,0.048307445,0.09942013,0.024325185,0.072242036,0.135366872,0.095742434,0.094931319,-0.01104339,0.059707087,0.170406386,0.054110792,0.048919346,0.123196781,0.094189689,0.036712032,0.111349836,0.052295338,0.143790588,0.114212662,0.102032125,0.105869785,0.116756663,0.018358175,0.065159887,0.025179572,0.154157132,0.00642487,0.058111425,0.017676461,0.095228851,0.018283542,0.012105372,0.017483491,0.030486014,0.018629044,0.100249082,0.083023638,-0.028631108,0.048390243,-0.02273435,0.089802995,0.048735965,0.070511147,0.029782902,0.124103338,0.018384859,0.018548336,0.123266786,-0.028591506,0.059438433,0.018883724,0.071448922,0.08434923,0.036127802,0.048418205,0.144074917,-0.010940848,0.019228507,0.090724677,0.00675898,0.0008067,-0.016664417,0.048838463,0.024522904,-0.05229377,-0.016751409,-0.063748635,0.030583981,0.053372066,-0.016608005,0.060974542,-0.016604068,-0.06414336,-0.010488655,-0.046297491,-0.04044738,-0.004893785,-0.046281222,-0.022657104
270,80.59560394,78.4588623,48.72950745,18.79177094,4.83995676,1.294093966,1.103890657,1.035407662,0.951423943,0.915952981,1.485994697,3.47382021,7.865722179,12.54947662,15.3589859,13.35827923,8.55674839,4.046107769,1.568451285,0.633565485,0.433567554,0.386639029,0.293872654,0.219353631,0.176803321,0.144418806,0.148171946,0.076888666,0.182536587,0.118483573,0.211538717,0.188364848,0.145623058,0.114655301,0.128775209,0.080686674,0.099402502,0.12500447,0.14628996,0.118910253,0.225753829,0.105286971,0.110416278,0.110556364,0.155165002,0.120925829,0.113062635,0.156815991,0.113248602,0.103099793,0.196534976,0.067563802,0.115900949,0.142165631,0.174960181,0.1326271,0.09940736,0.157119527,0.21171692,0.112963304,0.134085923,0.093750134,0.16069369,0.118256107,0.06937626,0.094041035,0.145074576,0.029671308,0.12990576,0.065658107,0.129830465,0.10831967,0.109015584,0.090658069,0.176270813,0.141045719,0.045300197,0.133948147,0.218564376,0.080268621,0.040795896,0.203175232,0.095976681,0.053305846,0.06569773,0.169983059,0.040662434,0.100588039,0.0703623,0.090899661,0.054768946,0.159508422,0.058999222,0.005611915,0.05057897,0.034727644,0.139279529,0.088844061,-0.014466358,0.087106034,0.030247059,0.14806731,0.054060515,0.020190399,0.045952987,-0.00454702,0.021081813,0.01036898,0.064839214,-0.009822818,5.73E-05,0.030566316,0.08498916,0.040599633,0.073695049,0.000530388,0.113619044,-0.004996141,0.010271784,0.055318277,0.010021821,0.070302159,0.000326108,0.035630297,-0.01448565,0.060072239,0.065480962,-0.024498887,-0.014458751,0.010451123,0.010546621,-0.029514227,0.020953611,0.005952805,0.080719158,-0.019457044,-0.024387602,-0.009436259,0.064617798,0.077248439,0.035747726,0.005457666,0.000845626,0.025741398,-0.014283702,0.031431478,-0.039523277,0.000665504,0.005749967,-0.039473709,0.02572418,-0.01953844,0.040485594,-0.019485323,0.025152899,-0.009281494,-0.059409842,0.020988263,-0.029435292,-0.034472059,-0.079484433,0.011655055,-0.034472059,0.000698693,-0.00929012,-0.024438899
