Wavelength (nm),Intensity (a.u.),Z Axis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sample 1_EM_270.00,Sample 1_EM_272.00,Sample 1_EM_274.00,Sample 1_EM_276.00,Sample 1_EM_278.00,Sample 1_EM_280.00,Sample 1_EM_282.00,Sample 1_EM_284.00,Sample 1_EM_286.00,Sample 1_EM_288.00,Sample 1_EM_290.00,Sample 1_EM_292.00,Sample 1_EM_294.00,Sample 1_EM_296.00,Sample 1_EM_298.00,Sample 1_EM_300.00,Sample 1_EM_302.00,Sample 1_EM_304.00,Sample 1_EM_306.00,Sample 1_EM_308.00,Sample 1_EM_310.00,Sample 1_EM_312.00,Sample 1_EM_314.00,Sample 1_EM_316.00,Sample 1_EM_318.00,Sample 1_EM_320.00,Sample 1_EM_322.00,Sample 1_EM_324.00,Sample 1_EM_326.00,Sample 1_EM_328.00,Sample 1_EM_330.00,Sample 1_EM_332.00,Sample 1_EM_334.00,Sample 1_EM_336.00,Sample 1_EM_338.00,Sample 1_EM_340.00,Sample 1_EM_342.00,Sample 1_EM_344.00,Sample 1_EM_346.00,Sample 1_EM_348.00,Sample 1_EM_350.00,Sample 1_EM_352.00,Sample 1_EM_354.00,Sample 1_EM_356.00,Sample 1_EM_358.00,Sample 1_EM_360.00,Sample 1_EM_362.00,Sample 1_EM_364.00,Sample 1_EM_366.00,Sample 1_EM_368.00,Sample 1_EM_370.00,Sample 1_EM_372.00,Sample 1_EM_374.00,Sample 1_EM_376.00,Sample 1_EM_378.00,Sample 1_EM_380.00,Sample 1_EM_382.00,Sample 1_EM_384.00,Sample 1_EM_386.00,Sample 1_EM_388.00,Sample 1_EM_390.00,Sample 1_EM_392.00,Sample 1_EM_394.00,Sample 1_EM_396.00,Sample 1_EM_398.00,Sample 1_EM_400.00,Sample 1_EM_402.00,Sample 1_EM_404.00,Sample 1_EM_406.00,Sample 1_EM_408.00,Sample 1_EM_410.00,Sample 1_EM_412.00,Sample 1_EM_414.00,Sample 1_EM_416.00,Sample 1_EM_418.00,Sample 1_EM_420.00,Sample 1_EM_422.00,Sample 1_EM_424.00,Sample 1_EM_426.00,Sample 1_EM_428.00,Sample 1_EM_430.00,Sample 1_EM_432.00,Sample 1_EM_434.00,Sample 1_EM_436.00,Sample 1_EM_438.00,Sample 1_EM_440.00,Sample 1_EM_442.00,Sample 1_EM_444.00,Sample 1_EM_446.00,Sample 1_EM_448.00,Sample 1_EM_450.00,Sample 1_EM_452.00,Sample 1_EM_454.00,Sample 1_EM_456.00,Sample 1_EM_458.00,Sample 1_EM_460.00,Sample 1_EM_462.00,Sample 1_EM_464.00,Sample 1_EM_466.00,Sample 1_EM_468.00,Sample 1_EM_470.00,Sample 1_EM_472.00,Sample 1_EM_474.00,Sample 1_EM_476.00,Sample 1_EM_478.00,Sample 1_EM_480.00,Sample 1_EM_482.00,Sample 1_EM_484.00,Sample 1_EM_486.00,Sample 1_EM_488.00,Sample 1_EM_490.00,Sample 1_EM_492.00,Sample 1_EM_494.00,Sample 1_EM_496.00,Sample 1_EM_498.00,Sample 1_EM_500.00,Sample 1_EM_502.00,Sample 1_EM_504.00,Sample 1_EM_506.00,Sample 1_EM_508.00,Sample 1_EM_510.00,Sample 1_EM_512.00,Sample 1_EM_514.00,Sample 1_EM_516.00,Sample 1_EM_518.00,Sample 1_EM_520.00,Sample 1_EM_522.00,Sample 1_EM_524.00,Sample 1_EM_526.00,Sample 1_EM_528.00,Sample 1_EM_530.00,Sample 1_EM_532.00,Sample 1_EM_534.00,Sample 1_EM_536.00,Sample 1_EM_538.00,Sample 1_EM_540.00,Sample 1_EM_542.00,Sample 1_EM_544.00,Sample 1_EM_546.00,Sample 1_EM_548.00,Sample 1_EM_550.00,Sample 1_EM_552.00,Sample 1_EM_554.00,Sample 1_EM_556.00,Sample 1_EM_558.00,Sample 1_EM_560.00,Sample 1_EM_562.00,Sample 1_EM_564.00,Sample 1_EM_566.00,Sample 1_EM_568.00,Sample 1_EM_570.00,Sample 1_EM_572.00,Sample 1_EM_574.00,Sample 1_EM_576.00,Sample 1_EM_578.00,Sample 1_EM_580.00,Sample 1_EM_582.00,Sample 1_EM_584.00,Sample 1_EM_586.00,Sample 1_EM_588.00,Sample 1_EM_590.00,Sample 1_EM_592.00,Sample 1_EM_594.00,Sample 1_EM_596.00,Sample 1_EM_598.00,Sample 1_EM_600.00
,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166
230,0.801964402,1.156694174,1.772350311,2.456881762,2.711060286,2.247857332,2.516533375,3.114830494,2.799277782,3.013958216,3.711416006,3.776422977,3.510786295,3.948809624,4.152761936,3.82395792,3.48931694,3.490522146,3.030377865,2.335642099,2.079338789,1.727868199,1.90668416,1.652267933,1.73456955,2.340843678,3.056686401,4.610006809,4.853402615,4.552702427,4.639649391,4.925503731,4.754823208,5.448542118,6.177386761,6.177200317,6.317155361,5.816748142,5.619417667,4.982297421,5.578381538,5.238032818,5.124266148,5.130925179,5.218650341,4.986355305,4.662856102,4.822297573,3.950509787,4.045448303,4.021504879,3.755173445,3.555459023,3.076649189,3.418223858,3.346083641,2.842833281,2.346167564,2.533277273,2.554813147,1.779479384,2.227304697,1.789123297,1.549816012,1.469304562,1.785588503,1.655275106,1.429601431,1.581438065,1.362568378,1.352499604,1.199453473,1.347099304,1.108080029,1.108223438,1.466202021,1.260106564,0.982190907,1.240574241,1.203108907,0.793268263,0.936780751,1.08298409,0.730104744,0.799751639,1.116225243,1.078181744,0.917708576,0.74800694,0.960782826,0.663740695,0.812371135,0.630589545,0.552255511,0.818087697,0.605102301,0.772158682,0.521113932,0.550946951,0.662601829,0.660451055,0.508714437,0.39536199,0.432728678,0.479778409,0.197976351,0.477310359,0.564169943,0.406806052,0.295826077,0.36737904,0.496244848,0.283954024,0.310790628,0.185174286,0.381313622,0.255130619,0.156067029,0.184813157,0.253949612,0.227043077,0.269680589,0.212917,0.29938674,0.366113573,0.171930775,0.282637119,0.254692048,0.156873852,0.365682513,0.284660995,0.297999173,0.212191761,0.269038647,0.170506775,0.212367579,0.22778295,0.128327519,0.100277349,0.043318421,0.072811201,0.155942723,-0.027471019,0.085981622,0.000872849,0.156837255,0.000965539,0.043953471,0.07170441,0.171641514,0.270549268,0.029171763,0.043009095,0.141502604,0.198808521,0.043387644,0.057530463,0.171135888,0.11391969,0.185150176,0.04326234,0.170952931,-0.013373208,0.100648329,0.086446904,-0.070004299
235,0.755747676,0.925850272,1.226596236,1.60602057,1.596235037,1.213223696,1.245006561,1.324816823,1.684393287,2.158904552,1.606295705,1.92208004,1.842005491,2.095310688,1.644883871,1.670750022,1.616410494,1.776937842,1.396619797,1.209586382,1.145958304,0.880903184,1.049120665,1.099539638,0.856582046,1.197504997,1.130907893,1.3643291,1.380814433,1.735061526,2.158747196,2.077431917,2.337801933,2.366714478,2.918823719,2.465698242,2.669272423,2.75756526,2.627502441,2.942893982,2.741905928,2.688322067,3.148501873,3.071207285,2.880105972,2.684509754,2.692165375,2.84826684,2.790051937,2.989068985,2.120738506,2.509827137,2.188473701,2.143917084,2.135071516,1.876745224,2.161228418,2.04547596,1.697308302,1.540481925,1.565021992,1.571059585,1.308854699,1.318882704,1.740424633,1.55720818,1.514205575,1.362665653,1.343002081,1.169949293,1.452876091,1.387197256,1.121047854,1.295257568,1.215695739,0.896363914,1.175050735,1.036012053,0.632858813,0.759189904,0.472236067,1.029214978,0.780519485,0.765058517,0.592716098,0.624050677,0.745127499,0.827346742,0.639252663,0.822883904,0.454888433,0.486597359,0.592001081,0.576800287,0.639002025,0.48580575,0.486447632,0.434746951,0.450051337,0.608551919,0.628130972,0.451874346,0.401558876,0.352862298,0.178106993,0.212386444,0.401073486,0.24850525,0.386036903,0.6291278,0.266738266,0.398162335,0.57481426,0.371647447,0.407780915,0.007434824,0.177969739,0.4399077,0.283576369,0.436885357,0.249489352,0.180242062,0.215470657,0.409072965,0.337397367,0.093360297,0.110820055,0.075932682,0.024239747,0.215732321,0.265667796,0.180483222,-0.13228184,-0.061962694,0.076507904,0.093934506,0.287412465,-0.045057766,0.111601368,0.214020699,0.198765457,0.113126516,0.042122036,0.007518483,0.041592136,-0.114989176,0.234986976,0.269404799,0.095357545,-0.027471019,-0.166928872,0.059461311,0.059345089,-0.096743487,0.166628361,0.182657152,-0.097358324,0.076396309,0.165932164,-0.045100242,0.217858955,0.077782899,-0.185980335,0.095381252,0.042369917,0.146061763
240,2.331893206,1.117025018,0.88683033,0.711547852,0.630202949,0.483158171,0.488791227,0.628786683,0.514505744,0.511525333,0.633779705,0.648269892,0.50736171,0.567806482,0.583419144,0.457508117,0.523463547,0.398522854,0.407488883,0.339451611,0.594646633,0.414878428,0.451626658,0.445732147,0.440556079,0.309565246,0.648049533,0.54128021,0.74638623,0.740451753,0.566066325,1.034964323,1.048762202,1.031690717,1.180373192,0.872569919,1.034257054,1.348612666,1.359377265,1.47786665,1.709645271,1.343100786,1.604991674,1.404306054,1.386315346,1.501476526,1.773838878,1.675101638,1.43648088,1.538319111,1.481670618,1.726008773,1.434240222,1.572572708,1.328743339,1.27639842,1.312241793,1.221842527,1.361058593,1.399469614,1.185151219,1.057985187,0.960183322,1.038420439,0.946279466,1.114458323,1.17192924,1.288154483,1.170430541,0.877841532,1.022542715,1.144280076,1.033363819,1.008970261,1.109333634,0.978987038,0.881056726,0.880444348,0.677708626,0.823300838,0.687541485,0.721790135,0.448738903,0.646791458,0.758183241,0.705068946,0.710351408,0.651735544,0.573851883,0.319678903,0.46648857,0.42939654,0.625007689,0.683893025,0.44496119,0.346210748,0.687696159,0.413835257,0.4382689,0.428645104,0.307986915,0.455867618,0.360560954,0.220917895,0.32314536,0.307019114,0.491237521,0.197402835,0.389236182,0.312539756,0.36461997,0.395666122,0.210647553,0.181734011,0.099002749,0.267303079,0.127657384,0.155689478,0.181994006,0.167298034,0.322350562,0.167547643,0.210191503,0.138396263,0.112555578,0.11124447,-0.082971074,0.15515171,0.310129195,0.014477635,0.125982374,0.083492145,0.152551979,0.16935724,0.069675647,0.027851721,0.112569302,0.041425124,0.096521541,0.056785621,0.02753902,-0.041280884,0.05642394,-0.013315134,0.000681737,0.02768846,-0.013677725,0.069075376,0.02832788,0.16859369,-0.027471019,0.112551674,0.069230087,0.153318062,0.125149906,0.124439597,0.069507413,0.097702831,-0.027471019,0.000329541,0.084115878,0.097725466,-0.165419176,0.056694619,0.014155177,0.110074893
245,18.16269684,11.57670689,5.448461533,1.985911608,0.806519032,0.369184852,0.473531008,0.340151221,0.455693722,0.337291449,0.307460845,0.470916778,0.457991272,0.481844306,0.359964162,0.386601448,0.368216753,0.279992849,0.265442729,0.195459619,0.296107322,0.217975199,0.287114531,0.23218061,0.23489289,0.236363813,0.217978865,0.300522506,0.375030458,0.258056521,0.450167179,0.522496998,0.617264509,0.542771459,0.710890532,0.715761065,0.774844468,0.653042853,0.602314055,0.654378176,0.708138585,0.71092242,1.02484405,0.931707263,1.005302787,1.054437518,0.92005682,0.903634548,0.965371609,0.912154317,1.041612864,1.099441767,0.961750984,0.901595175,1.05568552,0.933381796,0.976116478,0.852307618,0.860815704,0.787045479,0.821074784,0.776944339,0.649643302,0.728613198,0.707394183,0.734844923,0.800063312,0.639660358,0.656184375,0.737668931,0.749257624,0.670936048,0.786941826,0.688310862,0.557096422,0.804243028,0.683936954,0.531717181,0.582275867,0.715432048,0.526348054,0.489871204,0.514973342,0.493685663,0.426579148,0.555543303,0.413191527,0.482801974,0.472707093,0.537569821,0.356303006,0.372332841,0.383588016,0.475996017,0.473420739,0.347338706,0.460062593,0.470212877,0.247554377,0.405516446,0.478128314,0.343073785,0.387116313,0.275524855,0.230705187,0.284909964,0.222396478,0.095219903,0.125208899,0.356692255,0.234591559,0.305965722,0.223157451,0.156552657,0.188003108,0.257499486,0.202253848,0.194793776,0.170404106,0.156880602,0.199048355,0.243527606,0.176024571,0.170343891,0.169610664,0.230570003,0.163835987,0.056289367,0.093653008,0.086922772,0.002838671,0.041627929,0.140933275,0.124641046,0.071821712,0.06255351,0.010271953,0.147763073,0.079513542,0.07104443,0.09249419,0.002801968,0.086814694,-0.019899564,0.13285391,0.131915718,0.048664346,-0.00467865,0.139054343,-0.019816102,-0.07309562,0.018412819,0.063608497,-0.07308764,-0.042868428,0.003079193,0.033353917,0.041352101,-0.004562911,0.003235145,-0.027471019,-0.042802799,-0.004590517,-0.065481693,0.003060536,0.0186665
250,13.7024622,21.78581047,22.17304993,16.22320747,8.58455658,3.041984558,1.289470673,0.589395702,0.408468932,0.453421742,0.403377771,0.363963306,0.307057709,0.312377185,0.445578307,0.332983166,0.410136759,0.429303378,0.298712909,0.303475112,0.368743837,0.265471727,0.311473757,0.211869985,0.33881259,0.168173924,0.349072307,0.360883683,0.48520267,0.456585377,0.511286259,0.392868072,0.513026237,0.328279048,0.684132099,0.578122854,0.500355363,0.581110656,0.499206185,0.595398366,0.487152278,0.585022569,0.645729721,0.710371077,0.60142231,0.620129645,0.563184857,0.544119,0.687756062,0.676082969,0.532114923,0.563934386,0.576013267,0.561652064,0.659653723,0.775540948,0.40765214,0.60251081,0.595297098,0.473445177,0.427649438,0.605828702,0.47239235,0.539395928,0.433996439,0.518217087,0.513733089,0.560830414,0.492175639,0.583747506,0.456995785,0.43305397,0.496528864,0.397137403,0.425587475,0.413466722,0.630401611,0.31304431,0.426207125,0.424233675,0.425213337,0.321316272,0.344736606,0.35535422,0.418429732,0.357294977,0.370333642,0.460495859,0.448687524,0.387339771,0.224361584,0.295713454,0.337490052,0.222341627,0.225435719,0.231037661,0.224316999,0.326590836,0.221231684,0.250619531,0.281975359,0.14280203,0.230166569,0.222572908,0.202889085,0.282032788,0.356905758,0.074806362,0.139081284,0.094285525,0.18094635,0.195468813,0.192546576,0.246335074,0.220992863,0.18139571,0.158911109,0.2033097,0.141216531,0.066135019,0.119441479,0.148665234,0.121800944,0.067193292,0.153323263,0.154307976,0.173914507,0.182351366,0.086596146,0.06655813,0.065889701,0.119339526,0.045928858,0.019759262,0.019669568,0.060012743,0.073063828,0.026170576,0.032448292,0.119964272,-0.007393789,0.026525391,-0.040998884,0.019247038,0.053145967,0.013131524,-0.014054864,0.093443088,-0.020792019,0.019393099,0.060594119,0.032860406,0.006259663,0.115091294,-0.087699488,0.059425049,0.06694559,0.100579441,0.026975567,-0.054247826,-0.054381311,-0.013782327,0.060245909,-0.007122379,0.040620111,-0.047900446
255,1.705753446,2.125715733,4.791388988,10.83556652,17.90135384,16.70076942,12.66441345,8.047844887,3.5073874,1.778498769,0.968432367,0.747971296,0.629970908,0.470567375,0.328299612,0.454169065,0.484677136,0.493590295,0.411882848,0.27818048,0.492263615,0.530040443,0.295944273,0.437274039,0.414491296,0.205993593,0.423857331,0.484619439,0.426502287,0.43716982,0.475547075,0.366458327,0.652274668,0.71801722,0.624492526,0.589513242,0.486452103,0.40330708,0.568409204,0.355762035,0.453908831,0.627287269,0.76191479,0.534777999,0.337951869,0.541385591,0.52393204,0.539124191,0.481901467,0.343311369,0.392176688,0.503742933,0.49259752,0.440117985,0.334252447,0.532120407,0.484692931,0.355353624,0.548827946,0.263807297,0.266449898,0.410045534,0.331768632,0.441132575,0.313956559,0.313804746,0.422560185,0.531460702,0.278168023,0.433405668,0.211450294,0.283567756,0.274389058,0.438927561,0.358210832,0.416899949,0.276607841,0.345203668,0.319971234,0.342773974,0.324853301,0.411235452,0.276818424,0.287360728,0.294002354,0.233143821,0.289851636,0.200946152,0.273705661,0.233170971,0.329566836,0.30120945,0.450749189,0.243170634,0.241529748,0.288341731,0.347564161,0.148034588,0.416152686,0.350978404,0.255865633,0.234778658,0.213867038,0.239480391,0.157981277,0.220061392,0.118427664,0.189673021,0.293015301,0.378010273,0.212189704,0.179305032,0.232607022,0.126138806,0.129717201,0.169075966,0.376176298,0.075308129,0.127668768,-0.017193949,0.156422004,0.148185104,0.179948375,0.274282277,0.065808691,0.168882996,0.055925727,0.065763272,-0.069434047,0.106155604,0.024075901,0.159759834,-0.006799186,0.138407722,0.117831051,0.035299674,0.117488027,0.098158434,0.045283459,0.14921844,0.11686185,0.14955698,0.182531387,0.097570658,-0.017035438,0.106998757,0.077209234,0.140157759,0.04579442,0.045597106,0.085779257,-0.027471019,0.003580702,0.024590081,-0.037828669,-0.090212189,-0.006491484,-0.058625609,0.014770752,0.0873743,0.221781224,-0.079773366,0.02499708,-0.129686013,-0.016886543,0.056253023
260,1.815135002,1.439920902,1.401489615,1.189021707,1.496524096,2.530959606,6.557184696,13.79493523,18.8666935,17.69953156,10.14181232,4.075407982,1.440036774,0.866031945,0.597273707,0.72199893,0.439617455,0.532625496,0.413512677,0.378744692,0.419605523,0.580764115,0.363232613,0.385425746,0.418443739,0.306938529,0.474783182,0.464352399,0.519353151,0.499719143,0.519050896,0.551974654,0.561738431,0.537726343,0.562517226,0.561950982,0.513954222,0.636237681,0.438132524,0.630476832,0.484955311,0.661556244,0.440617919,0.512356639,0.439801902,0.58283776,0.525862515,0.520460963,0.497586966,0.502911925,0.532525599,0.510385156,0.53055793,0.362604022,0.485863447,0.421242267,0.311707109,0.271320403,0.385093093,0.308417112,0.259760648,0.309856027,0.256924182,0.295262843,0.286379009,0.345364571,0.305260539,0.348698348,0.3064107,0.169455692,0.307302684,0.263478577,0.329449862,0.344910681,0.178046823,0.257022262,0.325297594,0.249716446,0.290080428,0.223506883,0.205832422,0.202657104,0.276389897,0.202199996,0.209818393,0.24566482,0.364678532,0.206566691,0.138816878,0.216939598,0.127949432,0.126032233,0.157416284,0.268243015,0.170291796,0.303291112,0.102104217,0.162304372,0.180659533,0.151120201,0.059858143,0.145721287,0.227934524,0.141327739,0.191074088,0.149342075,0.150416896,0.162829772,0.155745164,0.089433357,0.090286143,0.102084234,0.125668332,0.083087303,0.0898716,0.107383311,0.15592885,0.126365677,0.046816289,0.065616891,0.113146722,0.15281333,0.122209027,0.053155132,0.034514889,0.046407863,0.046993308,0.127097085,0.208828285,0.114962354,0.107432082,0.06496124,0.104102165,0.085191637,0.034960307,0.00995343,0.028296592,0.096572295,-0.021264579,0.009459561,0.059933923,0.047434874,-0.015074837,0.070521355,0.080166832,0.003747959,-0.039831884,0.016054822,0.022090977,0.022901738,-0.021342142,0.066406891,0.034675524,0.07907331,0.022015864,0.016210182,-0.090135127,0.003490265,0.035101324,-0.046103284,-0.015046034,0.072506487,-0.021232793,0.059603944,0.003696973,0.003816133
265,18.91954231,5.674378872,1.826261282,1.420655966,1.292024612,0.94601655,1.127365947,2.224870682,5.61875248,10.6164856,16.17546463,15.83395672,12.54665852,7.873656273,3.669925451,1.522624016,0.968911231,0.632106304,0.605398238,0.53738296,0.423085451,0.452990234,0.404345214,0.385683298,0.488476455,0.432230711,0.54685396,0.517880678,0.570349932,0.391853094,0.570298195,0.55976373,0.499556005,0.541099191,0.523606598,0.671004593,0.559747815,0.446106732,0.523665607,0.543022275,0.490762651,0.60852927,0.684765637,0.592173755,0.595296025,0.712447584,0.564433873,0.490649939,0.4152354,0.48894012,0.51029712,0.577367723,0.478864908,0.417290896,0.467310399,0.418655783,0.353970826,0.370685309,0.323212177,0.476197124,0.286391705,0.309536368,0.294121951,0.244214579,0.266311049,0.25820443,0.21613434,0.258461118,0.314893603,0.135579094,0.102743566,0.268915147,0.210491478,0.095561318,0.13539432,0.211954907,0.261868894,0.164455712,0.164491236,0.128629461,0.17557466,0.117112264,0.246837869,0.26049608,0.11588347,0.231009528,0.074207351,0.148150057,0.244891658,0.201733708,0.239692524,0.157383248,0.073926918,0.164089367,0.163474083,0.074832164,0.22956188,0.181432307,0.113623872,0.054436326,0.217034385,0.150264218,0.195765913,0.15359728,0.169977129,0.11655499,0.080594003,0.16784279,0.191462636,0.080640741,0.106603295,0.11529775,0.127828404,0.117015779,0.040482692,0.115576848,0.117103308,0.013482654,0.143310338,0.095870718,0.109987915,0.129367113,0.075748749,-0.034265883,0.020348417,0.08807227,0.061247408,0.01305501,0.130822167,0.14401792,0.103246137,-0.013769292,0.062062509,0.143213555,0.027720043,-0.048027977,0.040785566,0.097147331,-0.013704689,0.103581533,0.027637923,0.027348282,0.007050546,0.115834564,0.041341208,0.027543182,0.048752718,0.0549981,-0.034385644,0.034203656,-0.013743429,-0.000111425,0.028087238,0.040970564,-0.055184517,0.013215775,-0.007044652,0.075652942,-0.027471019,0.049075209,0.041465014,0.048288643,0.021127606,0.041598812,0.014228949,0.041919455
270,83.31597137,66.28220367,36.97597885,13.07258415,3.304695129,1.42635572,1.052304626,0.90834254,1.011878133,0.907173157,1.716731787,3.864627123,8.843571663,14.33285809,16.40017509,14.81856251,9.188107491,4.257332325,1.659053445,0.760222733,0.651614904,0.397853374,0.538945675,0.423182458,0.426750392,0.448924482,0.594897032,0.618268251,0.609401584,0.621624529,0.548120439,0.633726656,0.631644011,0.70706439,0.822994471,0.708871603,0.777672648,0.593475997,0.612093627,0.754592121,0.610981047,0.49326396,0.575774074,0.611694574,0.498573899,0.516901076,0.45396781,0.571122587,0.544965088,0.427387238,0.443068624,0.431892544,0.417137682,0.504671574,0.379265934,0.420287609,0.333426356,0.339880615,0.385141194,0.341206193,0.321149349,0.270954221,0.229263917,0.305358231,0.185775116,0.255785018,0.161934137,0.239798352,0.27191788,0.280314207,0.251644611,0.198187545,0.184283718,0.113771096,0.198705986,0.200986594,0.254240632,0.212916344,0.211121634,0.204266593,0.212469041,0.185341462,0.17007935,0.166085318,0.181182295,0.178509474,0.119276181,0.107296705,0.205131739,0.158459812,0.16809313,0.145455584,0.145646185,0.171640009,0.180867136,0.281945795,0.153782666,0.186655551,0.126267791,0.059129059,0.124828696,0.143967345,0.071902923,0.216584489,0.030400356,0.077014908,0.059325993,0.072004102,0.013089174,0.065485217,0.031250611,0.123818427,0.065979287,0.013646195,0.078762531,0.084555298,0.067464747,0.043926105,0.118882731,0.097199485,0.170950934,-0.009872615,0.115634859,0.078561023,0.043295376,0.049293533,0.066904217,0.108243003,0.120092124,0.049015768,0.013884006,0.091297351,0.054406069,0.008209283,0.061203472,0.037831806,0.084587015,0.083888859,-0.003796916,-0.021586208,0.031934686,0.026250063,0.091511443,0.008310145,0.132182717,0.068300664,0.025653278,0.02624076,0.068310402,0.031903297,-0.039348207,-0.027471019,0.037666686,0.00229248,-0.033461086,-0.027471019,-0.027471019,0.097464286,-0.086911678,-0.027471019,0.008464443,-0.00952586,0.079687782,-0.027471019,-0.033393435,-0.003509741
