Wavelength (nm),Intensity (a.u.),Z Axis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MILLIQBLANK220920_EM_270.00,MILLIQBLANK220920_EM_272.00,MILLIQBLANK220920_EM_274.00,MILLIQBLANK220920_EM_276.00,MILLIQBLANK220920_EM_278.00,MILLIQBLANK220920_EM_280.00,MILLIQBLANK220920_EM_282.00,MILLIQBLANK220920_EM_284.00,MILLIQBLANK220920_EM_286.00,MILLIQBLANK220920_EM_288.00,MILLIQBLANK220920_EM_290.00,MILLIQBLANK220920_EM_292.00,MILLIQBLANK220920_EM_294.00,MILLIQBLANK220920_EM_296.00,MILLIQBLANK220920_EM_298.00,MILLIQBLANK220920_EM_300.00,MILLIQBLANK220920_EM_302.00,MILLIQBLANK220920_EM_304.00,MILLIQBLANK220920_EM_306.00,MILLIQBLANK220920_EM_308.00,MILLIQBLANK220920_EM_310.00,MILLIQBLANK220920_EM_312.00,MILLIQBLANK220920_EM_314.00,MILLIQBLANK220920_EM_316.00,MILLIQBLANK220920_EM_318.00,MILLIQBLANK220920_EM_320.00,MILLIQBLANK220920_EM_322.00,MILLIQBLANK220920_EM_324.00,MILLIQBLANK220920_EM_326.00,MILLIQBLANK220920_EM_328.00,MILLIQBLANK220920_EM_330.00,MILLIQBLANK220920_EM_332.00,MILLIQBLANK220920_EM_334.00,MILLIQBLANK220920_EM_336.00,MILLIQBLANK220920_EM_338.00,MILLIQBLANK220920_EM_340.00,MILLIQBLANK220920_EM_342.00,MILLIQBLANK220920_EM_344.00,MILLIQBLANK220920_EM_346.00,MILLIQBLANK220920_EM_348.00,MILLIQBLANK220920_EM_350.00,MILLIQBLANK220920_EM_352.00,MILLIQBLANK220920_EM_354.00,MILLIQBLANK220920_EM_356.00,MILLIQBLANK220920_EM_358.00,MILLIQBLANK220920_EM_360.00,MILLIQBLANK220920_EM_362.00,MILLIQBLANK220920_EM_364.00,MILLIQBLANK220920_EM_366.00,MILLIQBLANK220920_EM_368.00,MILLIQBLANK220920_EM_370.00,MILLIQBLANK220920_EM_372.00,MILLIQBLANK220920_EM_374.00,MILLIQBLANK220920_EM_376.00,MILLIQBLANK220920_EM_378.00,MILLIQBLANK220920_EM_380.00,MILLIQBLANK220920_EM_382.00,MILLIQBLANK220920_EM_384.00,MILLIQBLANK220920_EM_386.00,MILLIQBLANK220920_EM_388.00,MILLIQBLANK220920_EM_390.00,MILLIQBLANK220920_EM_392.00,MILLIQBLANK220920_EM_394.00,MILLIQBLANK220920_EM_396.00,MILLIQBLANK220920_EM_398.00,MILLIQBLANK220920_EM_400.00,MILLIQBLANK220920_EM_402.00,MILLIQBLANK220920_EM_404.00,MILLIQBLANK220920_EM_406.00,MILLIQBLANK220920_EM_408.00,MILLIQBLANK220920_EM_410.00,MILLIQBLANK220920_EM_412.00,MILLIQBLANK220920_EM_414.00,MILLIQBLANK220920_EM_416.00,MILLIQBLANK220920_EM_418.00,MILLIQBLANK220920_EM_420.00,MILLIQBLANK220920_EM_422.00,MILLIQBLANK220920_EM_424.00,MILLIQBLANK220920_EM_426.00,MILLIQBLANK220920_EM_428.00,MILLIQBLANK220920_EM_430.00,MILLIQBLANK220920_EM_432.00,MILLIQBLANK220920_EM_434.00,MILLIQBLANK220920_EM_436.00,MILLIQBLANK220920_EM_438.00,MILLIQBLANK220920_EM_440.00,MILLIQBLANK220920_EM_442.00,MILLIQBLANK220920_EM_444.00,MILLIQBLANK220920_EM_446.00,MILLIQBLANK220920_EM_448.00,MILLIQBLANK220920_EM_450.00,MILLIQBLANK220920_EM_452.00,MILLIQBLANK220920_EM_454.00,MILLIQBLANK220920_EM_456.00,MILLIQBLANK220920_EM_458.00,MILLIQBLANK220920_EM_460.00,MILLIQBLANK220920_EM_462.00,MILLIQBLANK220920_EM_464.00,MILLIQBLANK220920_EM_466.00,MILLIQBLANK220920_EM_468.00,MILLIQBLANK220920_EM_470.00,MILLIQBLANK220920_EM_472.00,MILLIQBLANK220920_EM_474.00,MILLIQBLANK220920_EM_476.00,MILLIQBLANK220920_EM_478.00,MILLIQBLANK220920_EM_480.00,MILLIQBLANK220920_EM_482.00,MILLIQBLANK220920_EM_484.00,MILLIQBLANK220920_EM_486.00,MILLIQBLANK220920_EM_488.00,MILLIQBLANK220920_EM_490.00,MILLIQBLANK220920_EM_492.00,MILLIQBLANK220920_EM_494.00,MILLIQBLANK220920_EM_496.00,MILLIQBLANK220920_EM_498.00,MILLIQBLANK220920_EM_500.00,MILLIQBLANK220920_EM_502.00,MILLIQBLANK220920_EM_504.00,MILLIQBLANK220920_EM_506.00,MILLIQBLANK220920_EM_508.00,MILLIQBLANK220920_EM_510.00,MILLIQBLANK220920_EM_512.00,MILLIQBLANK220920_EM_514.00,MILLIQBLANK220920_EM_516.00,MILLIQBLANK220920_EM_518.00,MILLIQBLANK220920_EM_520.00,MILLIQBLANK220920_EM_522.00,MILLIQBLANK220920_EM_524.00,MILLIQBLANK220920_EM_526.00,MILLIQBLANK220920_EM_528.00,MILLIQBLANK220920_EM_530.00,MILLIQBLANK220920_EM_532.00,MILLIQBLANK220920_EM_534.00,MILLIQBLANK220920_EM_536.00,MILLIQBLANK220920_EM_538.00,MILLIQBLANK220920_EM_540.00,MILLIQBLANK220920_EM_542.00,MILLIQBLANK220920_EM_544.00,MILLIQBLANK220920_EM_546.00,MILLIQBLANK220920_EM_548.00,MILLIQBLANK220920_EM_550.00,MILLIQBLANK220920_EM_552.00,MILLIQBLANK220920_EM_554.00,MILLIQBLANK220920_EM_556.00,MILLIQBLANK220920_EM_558.00,MILLIQBLANK220920_EM_560.00,MILLIQBLANK220920_EM_562.00,MILLIQBLANK220920_EM_564.00,MILLIQBLANK220920_EM_566.00,MILLIQBLANK220920_EM_568.00,MILLIQBLANK220920_EM_570.00,MILLIQBLANK220920_EM_572.00,MILLIQBLANK220920_EM_574.00,MILLIQBLANK220920_EM_576.00,MILLIQBLANK220920_EM_578.00,MILLIQBLANK220920_EM_580.00,MILLIQBLANK220920_EM_582.00,MILLIQBLANK220920_EM_584.00,MILLIQBLANK220920_EM_586.00,MILLIQBLANK220920_EM_588.00,MILLIQBLANK220920_EM_590.00,MILLIQBLANK220920_EM_592.00,MILLIQBLANK220920_EM_594.00,MILLIQBLANK220920_EM_596.00,MILLIQBLANK220920_EM_598.00,MILLIQBLANK220920_EM_600.00
,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166
230,0.794308662,1.215485573,1.696363211,2.034628391,1.952693462,1.934703588,2.466118813,2.39874053,3.135159492,3.280165434,3.08743763,3.449947596,3.424561262,3.640297174,3.42064476,3.154939651,3.177627802,3.131656885,3.264424324,2.713851213,2.712901831,2.472568274,3.573242664,3.826245785,5.080132008,5.224589825,5.939506531,6.32369709,6.833276272,6.912601948,7.58049202,7.943200588,7.72479248,9.009140015,9.517771721,10.4915247,9.950277328,10.36408615,10.29540825,9.95021534,9.947281837,8.999202728,8.780765533,8.856487274,8.805491447,9.258821487,8.617454529,7.959030151,6.828578949,7.470719814,6.604012012,6.14598608,5.631372452,5.57743454,5.127254963,4.513661385,3.986274242,4.360479832,4.400157928,4.180286407,3.211088181,3.146306753,3.278982401,3.15354681,3.043554068,2.906769514,2.87946558,2.555212021,2.616983891,2.294245481,2.448205709,2.517473936,2.318173885,2.702888489,2.436419249,2.159772873,2.309830904,2.060189962,2.090322971,1.921984196,2.017573833,1.799309254,1.765265942,1.435379982,1.622538328,1.522627115,1.51915431,1.754908085,1.640441895,1.395213604,1.324542046,1.011934757,1.291733265,1.303606987,1.133322954,1.030322552,0.907053232,0.845562398,1.07785058,0.964935958,0.735685349,1.046930075,0.715242207,0.854381561,0.738298893,0.934300959,0.861189187,0.828760982,0.854429483,0.980127752,0.409237504,0.349322468,0.614107311,0.612192035,0.536921263,0.528738081,0.290537268,0.480668634,0.494688898,0.625168383,0.290866166,0.33460623,0.378565967,0.408819377,0.290747494,0.262647808,0.305617988,0.275983989,0.232829511,0.377587318,0.440155983,0.440016687,0.306258917,0.278392136,0.101468258,0.468136817,0.336399108,0.333950937,0.159782216,0.276508272,0.072432987,0.334923744,0.204631016,0.174735755,0.27577129,0.292550385,-0.059132226,0.218951195,0.174485356,0.13137494,0.320639312,0.248557031,0.072221234,0.249017164,0.321616709,0.232076466,0.45048064,0.189568698,0.101666786,0.1159674,0.145991594,0.101849079,0.057575457,0.116354503,0.10169477,0.218878537
235,0.692004502,0.774666846,0.917571127,1.262259245,1.195222139,1.250482798,1.316793919,1.310529709,1.439726353,2.105464697,1.804452419,1.725631237,1.643537521,1.94877243,1.749552011,1.122024536,2.273761272,1.890912294,1.683739185,1.383888006,1.41326046,0.920793235,1.806751013,2.25370574,2.682904005,2.297379732,2.301406384,2.407341003,3.013812542,3.322360992,3.701266527,4.111400127,4.49657774,4.732643604,5.497374535,4.859756947,5.715060234,6.249019623,6.111748219,6.173399448,6.048603058,6.7717309,5.332104683,5.872947216,5.728385448,5.715222836,5.860569954,6.002161026,5.293777943,5.476804733,5.544948101,4.738283634,5.286755562,4.859753132,4.15221405,4.117393017,3.832222223,3.876645088,3.789804459,3.673326492,2.897632837,2.708291054,2.832440853,2.823255539,2.337336302,2.59237504,2.338033438,2.321285009,2.502993345,2.20094347,2.360886335,2.171466827,1.949684858,1.86547184,1.617263794,2.229779243,1.986066818,1.999892235,1.808406591,1.918777943,1.767510653,1.822652102,1.768205404,1.665678978,1.459666967,1.206490278,1.417032242,1.335788965,1.061582565,1.02733779,1.393506289,1.121939659,1.311760426,1.087754726,1.289442301,1.539028406,1.193047047,0.908205092,0.948796511,1.210753918,0.829513073,0.834495664,0.53299588,0.911265135,0.761482596,0.840299785,0.617467523,1.06133914,0.588958085,0.934575379,0.676243424,0.621203959,0.620820761,0.499426931,0.37162587,0.319397032,0.534730136,0.244107112,0.210285649,0.512927771,0.565068007,0.422668606,0.355181247,0.300506413,0.426992089,0.573495626,0.295460165,0.35461241,0.118621826,0.406165928,0.100945495,0.064295635,0.353087634,0.245501369,0.317837983,0.316290349,0.282420516,0.046634272,0.225681096,0.154374301,0.173868403,0.046405692,0.100285627,0.208200589,0.100162826,0.316186756,-0.060704835,-0.079171702,0.207068771,0.35140875,-0.115854144,0.010446761,0.244968101,0.082635909,0.046465755,0.155744225,0.010212811,0.173945233,0.172332987,0.207855016,0.064153165,0.064936548,-0.062595464,0.046536177,-0.061391652,0.155371845
240,2.000172377,1.401786089,0.828421474,0.701613128,0.587089837,0.640836775,0.4732095,0.514853001,0.617348254,0.499282897,0.561567366,0.625664651,0.689466119,0.402942151,0.867268622,0.638836503,0.711397767,0.780828178,0.498685479,0.754772902,0.833289623,0.669554293,0.865435481,0.966778338,1.093744278,0.936009169,1.032166719,1.057560205,1.206893921,1.697839022,1.629187584,2.296636343,2.296377659,2.44776535,2.972992659,3.042518377,3.547646523,3.642413616,3.813384056,3.898565054,3.774490595,3.836284399,4.118384838,3.883282661,3.984866619,3.564396381,3.756443739,3.717413187,4.318583965,3.637114048,3.320224285,3.920137405,3.784227371,2.885624647,3.274473429,3.017685175,2.880938053,2.48771739,2.460851669,2.754042864,2.222014904,2.357004166,2.380622387,2.140816212,2.434126139,2.131262779,2.33458519,1.800126791,1.981194735,2.026235104,2.023868084,1.810926676,2.100231171,2.094108343,1.364141703,1.768124104,1.785235643,1.498970509,1.514657259,1.639111042,1.229545832,1.272508621,1.729023457,1.244440794,1.063589573,1.244388103,1.161584854,1.056581497,1.387092829,1.003298879,1.231532812,1.238240004,0.972268045,0.890139878,1.047072172,0.867973447,0.926687002,0.934192598,0.893482745,0.780860186,0.79905349,0.785818517,0.8205176,0.729310036,0.558108509,0.709797978,0.571493864,0.43249315,0.753822207,0.584968388,0.430640578,0.624021053,0.788197041,0.567325652,0.414099008,0.32699585,0.487284184,0.343062907,0.342783988,0.244665772,0.172952667,0.257148266,0.328563064,0.187524289,0.173095047,0.171589166,0.186341867,0.071511395,0.071571797,0.362305373,0.14268598,0.387374699,0.186888576,0.129792854,0.100637719,0.200034171,0.144055977,0.129479036,0.274895519,0.358882844,0.14420855,0.232418075,-0.043092646,0.072125718,0.227999091,0.085752711,0.216844603,0.042909883,0.028318584,-0.000596521,0.216438115,0.244176984,0.157614067,0.276207864,0.042702518,0.042847767,0.158308759,0.129876778,-0.0298125,-0.000342922,0.056949317,-0.014715612,0.246449634,0.158859313,0.275017172,0.05740907
245,17.73485565,11.695117,5.225765228,1.96702981,0.797211409,0.382353783,0.547725499,0.40567404,0.45169875,0.458762735,0.334667087,0.50790894,0.392926276,0.444278896,0.563962519,0.4779163,0.627069771,0.505076647,0.477042079,0.49402228,0.493247449,0.567730844,0.680431783,0.712533712,0.807699323,0.72325635,0.739803612,0.854465008,1.090090036,1.177825928,1.141729832,1.279481888,1.534942389,1.783541918,1.681250095,2.051062584,2.058379412,2.051787853,2.491915703,2.540861607,2.452353954,2.422783375,2.253780365,2.521813869,2.664005518,2.340656042,2.44432354,2.520457983,2.313435793,2.260118008,2.243106127,2.265245914,2.090399742,1.879863977,2.157571316,1.907419443,2.034509659,1.787065506,1.825558662,1.760589838,1.696226597,1.519742966,1.629786253,1.604312897,1.487815619,1.402290106,1.414767742,1.537872553,1.362498999,1.310227871,1.396917343,1.513872147,1.422707558,1.442172766,1.404291153,1.285414457,1.33352828,1.357947826,1.23047924,1.172293663,1.193081856,1.127867699,1.087294102,0.956013858,1.121085882,0.856877863,0.997486413,1.004150987,0.91007638,0.989993513,1.080234051,0.830463946,0.943311036,0.761005878,0.829739094,0.674415231,0.756068826,0.710826755,0.616766214,0.640991449,0.699459553,0.736316562,0.586661458,0.708370149,0.575668216,0.591542423,0.465726316,0.502274692,0.390323788,0.453007162,0.568939567,0.512218952,0.462045163,0.473969132,0.46047762,0.350177526,0.377857834,0.23221457,0.39872399,0.249063924,0.116185024,0.272749901,0.437120378,0.296987116,0.291531056,0.210727975,0.282631993,0.289982438,0.234499246,0.235061586,0.249993652,0.200542077,0.138787046,0.146763638,0.23554109,0.264807194,0.249834061,0.169961646,0.207500741,0.106861457,0.185299516,0.218306229,0.137401283,0.162567973,0.107658476,0.170238614,0.122238077,0.084407426,0.067746714,0.108042426,0.146842256,0.114353545,0.297553003,0.200905502,0.036192972,0.083274856,0.059955645,0.131243229,0.100289218,0.012652829,0.162268609,0.012486406,0.130647749,0.052288093,0.051924087,-0.00337965
250,14.6394558,21.47471237,22.09097481,15.32234287,8.571233749,2.661458254,1.454224586,0.701256514,0.536459565,0.488681346,0.4714306,0.395469844,0.643498719,0.445715696,0.506387174,0.543405771,0.5175246,0.636174023,0.537956357,0.636429489,0.661670506,0.617523551,0.599110723,0.808252871,0.828641474,0.878317893,0.919106543,0.891034544,1.033856153,0.967048883,1.148407698,1.147951365,1.105343103,1.369162321,1.46714735,1.728317976,1.55198431,1.49589777,1.490769386,1.660743713,1.508535385,1.614968777,1.578877926,1.784128189,1.715662241,1.571071386,1.519127607,1.568284988,1.556981087,1.407850027,1.55440259,1.548488617,1.451150894,1.391682863,1.397895813,1.3984375,1.196211815,1.195763588,1.260077,1.333194494,1.091700315,1.092543125,0.869455755,1.028177738,1.220415354,1.065692186,0.942427754,0.969624937,1.074418068,1.052937508,1.012185931,1.042374611,1.022480488,0.872449756,0.977031887,1.015043259,0.943502188,0.998795271,1.056290627,0.96468091,0.908728421,1.079835892,0.834476233,0.921231806,0.839863718,0.697261989,0.879423976,0.753345251,0.714237154,0.783426046,0.76701653,0.76372087,0.64022857,0.691897869,0.664936006,0.558154523,0.592405081,0.556378722,0.698981285,0.641999483,0.565983057,0.614403248,0.39888835,0.381248981,0.562765837,0.533964992,0.485797644,0.41106388,0.322489798,0.373172879,0.514988065,0.42750898,0.460281014,0.346461207,0.317550004,0.35623318,0.314287961,0.259197593,0.327997297,0.339154005,0.259969056,0.3222633,0.216912165,0.154532507,0.209756121,0.266680896,0.119900122,0.369207114,0.132774681,0.269724548,0.293078989,0.19882521,0.16760695,0.239831969,0.133862451,0.154793233,0.16006358,0.083782472,0.119008243,0.098111026,0.105228215,0.049218681,0.210767046,0.147839099,0.119942725,0.08465939,0.112866707,0.231523618,0.132633746,0.063755952,0.049246091,0.118866749,0.112484224,0.049405396,0.035334356,0.077218682,0.028318584,0.021291573,0.084598348,0.049200058,0.09826871,0.084075481,0.035329141,0.113316461,0.028318584,0.070888385
255,1.72379756,2.016009808,5.295611382,11.65353489,18.70063019,16.27355385,12.91828251,8.082267761,3.835453033,1.803291559,1.179815054,0.940093517,0.84550786,0.837816715,0.842376828,0.709481239,0.776245534,0.603018761,0.890312254,0.653365731,0.660524666,0.883732021,1.079910994,1.023438215,1.024547935,1.094083786,0.966244936,1.201530218,1.098276615,0.865202308,1.096980095,1.150192976,1.174281597,1.14883256,1.389789104,1.38112092,1.240531683,1.390112638,1.227359295,1.488713264,1.345575809,1.343900204,1.346147299,1.499269962,1.471910715,1.393354654,1.373857021,1.420211315,1.263820171,1.252882242,1.042626858,1.175685644,1.018229961,1.20788002,1.026161909,1.061565399,0.92537111,1.052290201,0.95201683,1.024021864,0.886301041,0.888988197,0.744402289,0.776221216,0.706949234,0.77579987,0.781725287,0.594742715,0.507485747,0.690850735,0.825114429,0.782359242,0.644337177,0.68122077,0.756413221,0.921290994,0.884510756,0.806747437,0.653035879,0.732596517,0.725526512,0.541561306,0.524891138,0.684979975,0.755202591,0.678222716,0.666046143,0.681815326,0.632378697,0.505159259,0.523245573,0.607351184,0.553157389,0.707541943,0.51201272,0.63376981,0.452807337,0.519860864,0.610007465,0.428162962,0.516769409,0.559898794,0.450172782,0.335100651,0.351779163,0.529495299,0.309694737,0.57206285,0.288910568,0.42841807,0.486733764,0.423206985,0.382338852,0.270470679,0.213987157,0.337421119,0.191431209,0.452572852,0.282106906,0.157843873,0.362233579,0.276730895,0.231801346,0.219024837,0.263821781,0.299268425,0.125763357,0.145674437,0.137398392,0.29346928,0.136578843,0.201963603,0.159583762,0.136062115,0.028318584,0.18102698,-0.036646008,0.126123413,0.202116385,0.049850121,0.104341082,0.333575547,0.093478605,0.039252087,0.180002809,0.082191512,0.071169913,0.125523403,0.017490096,0.125418529,0.071246713,0.245059669,0.049956113,0.050063387,0.061228476,0.050057713,0.169587612,0.071692184,0.146529526,0.039151527,0.104276747,0.200821593,0.182813272,0.028318584,-0.015161566,0.09372437
260,1.627039671,1.591991663,1.355650187,1.319890976,1.629533291,2.952239275,7.042765617,14.54707623,19.89127922,18.33524895,9.62539196,4.082234383,1.805026531,1.127122641,0.95383364,0.78359133,0.80493176,0.641013324,0.685168624,0.830749869,0.776883304,0.772779346,0.975116074,1.053882122,1.17104435,1.084745646,0.961189628,1.215572834,1.282574177,1.241458416,1.132301092,1.231118202,1.082247734,1.295164824,1.35836935,1.312807322,1.328841209,1.534654617,1.454699755,1.362002611,1.440747976,1.340083599,1.390250444,1.345360041,1.170907259,1.387005568,1.219888926,1.160341501,1.074933767,1.138217211,1.087297916,1.001594305,0.929505348,0.929551125,0.877095819,0.884620786,0.875379205,0.914069593,0.691884279,0.681014121,0.74521035,0.770580828,0.697671235,0.671190441,0.684815943,0.539435387,0.536358297,0.595769584,0.70854789,0.624228358,0.610875189,0.60298723,0.577341199,0.657478929,0.664341629,0.661245823,0.699219406,0.621561944,0.629572988,0.619959295,0.712729216,0.648761213,0.537856519,0.602697492,0.519791245,0.607125401,0.570337832,0.526899576,0.413962364,0.547822416,0.519719064,0.542310536,0.439984143,0.5032987,0.449925274,0.387724608,0.560557485,0.414482534,0.466458321,0.414692461,0.388079345,0.329697222,0.432799995,0.387631536,0.375319928,0.310209036,0.330619931,0.459494531,0.331605047,0.336720616,0.31873861,0.362171978,0.344453722,0.248652846,0.151067913,0.286323011,0.293508828,0.201685563,0.243233696,0.195178851,0.181069046,0.150283113,0.253109843,0.194017604,0.213260487,0.202055931,0.249965221,0.259339571,0.131101429,0.163475469,0.149303019,0.16454953,0.246653587,0.130916893,0.118581183,0.1770771,0.188869342,0.156119838,0.19618614,0.150433615,0.112172782,0.182107568,0.118135296,0.09230794,0.09305691,0.08552137,0.034702688,0.041147567,0.099267557,0.079981819,0.149893686,0.10512203,0.054014295,0.073091075,0.041234978,0.118213147,0.060305074,0.041230723,0.066686906,0.130941242,-0.023332309,0.105785914,0.047554284,0.053862836,0.05389861,0.09898179
265,15.60647106,5.263507366,1.684656858,1.577149868,1.388794899,1.008640051,1.069383621,2.441233158,5.797740936,11.04025555,15.85877228,16.02129173,13.19187546,8.370909691,4.211945534,1.887261629,1.081716776,1.049587965,0.790911973,0.780374289,0.840926886,0.869379282,0.911498606,0.941477239,1.11223793,0.963805139,1.069763899,1.267325878,1.383043766,1.515307426,1.082014561,1.341838598,1.262322903,1.367769718,1.437126398,1.390405655,1.367716312,1.299715757,1.323477745,1.315713882,1.172499418,1.271838903,1.152545691,1.228632212,1.202478647,1.205087662,1.060821533,1.104290724,1.282156706,1.087551355,0.814581454,0.932609797,0.91223973,0.991743863,0.797428846,0.853682876,0.767784774,0.798855543,0.764379919,0.592418969,0.486017197,0.584388971,0.62467289,0.644015968,0.498648584,0.522752643,0.536926091,0.412659824,0.503270149,0.528210998,0.579033852,0.469141632,0.506724477,0.554556787,0.51332891,0.493618488,0.493753046,0.436524957,0.458216965,0.463632345,0.507918,0.550758839,0.490012199,0.516437531,0.580581784,0.481056958,0.467502296,0.595433056,0.460443139,0.526152968,0.405376405,0.518253624,0.414828002,0.474702865,0.421405971,0.482644618,0.434026957,0.433151007,0.400875479,0.350352108,0.285856962,0.299625069,0.344251662,0.440227002,0.355327398,0.263997525,0.382946104,0.333054036,0.405669004,0.256832898,0.350839108,0.186109513,0.27101624,0.302062243,0.199948207,0.204502717,0.27293697,0.369792759,0.248888507,0.25531882,0.31112802,0.192677081,0.31313163,0.148190528,0.11379537,0.233897582,0.241199285,0.128431574,0.156034306,0.192682967,0.148447186,0.238993257,0.162635967,0.191552594,0.156149507,0.205073237,-0.021872498,0.135570228,0.163922459,0.113814853,0.143367738,0.178895086,0.113604605,0.128108323,0.107595578,0.178801209,0.100032471,0.099743076,0.042524241,0.042529285,0.042638771,0.106752194,0.19175908,0.092519,0.12228588,0.071072504,0.164822653,0.128114,0.085098051,0.142837435,-0.00035114,0.128554136,-0.029253598,0.035460219,0.121020116,-0.007568732
270,67.50749207,61.76220322,35.63473129,12.26629257,3.627116203,1.435607433,1.264435291,1.210031033,1.255740643,1.217720032,2.073622704,4.518848419,9.227597237,14.94018459,17.66598701,14.64019585,9.738152504,4.606288433,2.176883459,1.306029797,1.20012331,1.037042856,1.10485816,1.254954576,1.153611183,1.062334776,1.170871735,1.153502703,1.400118589,1.314121246,1.343675375,1.327011824,1.350287437,1.410845757,1.490457058,1.447546482,1.507113457,1.23641634,1.320087194,1.31294179,1.36108613,1.327474356,1.302690983,1.452955246,1.14501977,1.127873421,1.088278532,1.108896255,1.025351763,1.123700142,1.011825562,0.99877429,0.921459734,0.872531176,0.926878452,0.787108421,0.799432456,0.906529725,0.691242874,0.731263697,0.50391674,0.652782857,0.621561766,0.6464715,0.607043445,0.520779669,0.663929939,0.490256667,0.534586668,0.579720497,0.582712471,0.485687017,0.436953217,0.577473998,0.637899995,0.46753785,0.521424174,0.57633239,0.57793504,0.476114541,0.329046965,0.519778728,0.43717429,0.481575698,0.529883683,0.518737316,0.404096663,0.422743231,0.429758906,0.448504567,0.438852757,0.372218281,0.451128572,0.423611552,0.425485879,0.408167034,0.371992826,0.368012726,0.432215571,0.303396523,0.291665018,0.310456216,0.198626608,0.366092116,0.409341186,0.273739934,0.241481066,0.233535931,0.297420233,0.264583409,0.162292555,0.246460736,0.342955232,0.282572716,0.198612094,0.197793692,0.251293689,0.220010296,0.290566474,0.243228406,0.264146268,0.144444138,0.19821015,0.142978102,0.187135026,0.168143019,0.058974624,0.229719862,0.241478473,0.125636265,0.168853834,0.156555027,0.125048518,0.088488504,0.083024174,0.052671853,0.125886708,0.126425728,0.107613958,0.095761456,0.095577128,0.077094316,0.071196288,0.089439169,0.064827591,0.083650082,0.095599346,0.08946234,0.058756836,0.089917704,-0.020568624,0.07702186,0.08923848,0.138252318,0.058981769,0.095664009,0.028318584,0.112997197,0.095242396,0.040590253,0.059056796,0.058949083,0.125881344,-0.014561225,0.058895133,0.070772156
