Wavelength (nm),Intensity (a.u.),Z Axis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ELA_CTL1L239_EM_270.00,ELA_CTL1L239_EM_272.00,ELA_CTL1L239_EM_274.00,ELA_CTL1L239_EM_276.00,ELA_CTL1L239_EM_278.00,ELA_CTL1L239_EM_280.00,ELA_CTL1L239_EM_282.00,ELA_CTL1L239_EM_284.00,ELA_CTL1L239_EM_286.00,ELA_CTL1L239_EM_288.00,ELA_CTL1L239_EM_290.00,ELA_CTL1L239_EM_292.00,ELA_CTL1L239_EM_294.00,ELA_CTL1L239_EM_296.00,ELA_CTL1L239_EM_298.00,ELA_CTL1L239_EM_300.00,ELA_CTL1L239_EM_302.00,ELA_CTL1L239_EM_304.00,ELA_CTL1L239_EM_306.00,ELA_CTL1L239_EM_308.00,ELA_CTL1L239_EM_310.00,ELA_CTL1L239_EM_312.00,ELA_CTL1L239_EM_314.00,ELA_CTL1L239_EM_316.00,ELA_CTL1L239_EM_318.00,ELA_CTL1L239_EM_320.00,ELA_CTL1L239_EM_322.00,ELA_CTL1L239_EM_324.00,ELA_CTL1L239_EM_326.00,ELA_CTL1L239_EM_328.00,ELA_CTL1L239_EM_330.00,ELA_CTL1L239_EM_332.00,ELA_CTL1L239_EM_334.00,ELA_CTL1L239_EM_336.00,ELA_CTL1L239_EM_338.00,ELA_CTL1L239_EM_340.00,ELA_CTL1L239_EM_342.00,ELA_CTL1L239_EM_344.00,ELA_CTL1L239_EM_346.00,ELA_CTL1L239_EM_348.00,ELA_CTL1L239_EM_350.00,ELA_CTL1L239_EM_352.00,ELA_CTL1L239_EM_354.00,ELA_CTL1L239_EM_356.00,ELA_CTL1L239_EM_358.00,ELA_CTL1L239_EM_360.00,ELA_CTL1L239_EM_362.00,ELA_CTL1L239_EM_364.00,ELA_CTL1L239_EM_366.00,ELA_CTL1L239_EM_368.00,ELA_CTL1L239_EM_370.00,ELA_CTL1L239_EM_372.00,ELA_CTL1L239_EM_374.00,ELA_CTL1L239_EM_376.00,ELA_CTL1L239_EM_378.00,ELA_CTL1L239_EM_380.00,ELA_CTL1L239_EM_382.00,ELA_CTL1L239_EM_384.00,ELA_CTL1L239_EM_386.00,ELA_CTL1L239_EM_388.00,ELA_CTL1L239_EM_390.00,ELA_CTL1L239_EM_392.00,ELA_CTL1L239_EM_394.00,ELA_CTL1L239_EM_396.00,ELA_CTL1L239_EM_398.00,ELA_CTL1L239_EM_400.00,ELA_CTL1L239_EM_402.00,ELA_CTL1L239_EM_404.00,ELA_CTL1L239_EM_406.00,ELA_CTL1L239_EM_408.00,ELA_CTL1L239_EM_410.00,ELA_CTL1L239_EM_412.00,ELA_CTL1L239_EM_414.00,ELA_CTL1L239_EM_416.00,ELA_CTL1L239_EM_418.00,ELA_CTL1L239_EM_420.00,ELA_CTL1L239_EM_422.00,ELA_CTL1L239_EM_424.00,ELA_CTL1L239_EM_426.00,ELA_CTL1L239_EM_428.00,ELA_CTL1L239_EM_430.00,ELA_CTL1L239_EM_432.00,ELA_CTL1L239_EM_434.00,ELA_CTL1L239_EM_436.00,ELA_CTL1L239_EM_438.00,ELA_CTL1L239_EM_440.00,ELA_CTL1L239_EM_442.00,ELA_CTL1L239_EM_444.00,ELA_CTL1L239_EM_446.00,ELA_CTL1L239_EM_448.00,ELA_CTL1L239_EM_450.00,ELA_CTL1L239_EM_452.00,ELA_CTL1L239_EM_454.00,ELA_CTL1L239_EM_456.00,ELA_CTL1L239_EM_458.00,ELA_CTL1L239_EM_460.00,ELA_CTL1L239_EM_462.00,ELA_CTL1L239_EM_464.00,ELA_CTL1L239_EM_466.00,ELA_CTL1L239_EM_468.00,ELA_CTL1L239_EM_470.00,ELA_CTL1L239_EM_472.00,ELA_CTL1L239_EM_474.00,ELA_CTL1L239_EM_476.00,ELA_CTL1L239_EM_478.00,ELA_CTL1L239_EM_480.00,ELA_CTL1L239_EM_482.00,ELA_CTL1L239_EM_484.00,ELA_CTL1L239_EM_486.00,ELA_CTL1L239_EM_488.00,ELA_CTL1L239_EM_490.00,ELA_CTL1L239_EM_492.00,ELA_CTL1L239_EM_494.00,ELA_CTL1L239_EM_496.00,ELA_CTL1L239_EM_498.00,ELA_CTL1L239_EM_500.00,ELA_CTL1L239_EM_502.00,ELA_CTL1L239_EM_504.00,ELA_CTL1L239_EM_506.00,ELA_CTL1L239_EM_508.00,ELA_CTL1L239_EM_510.00,ELA_CTL1L239_EM_512.00,ELA_CTL1L239_EM_514.00,ELA_CTL1L239_EM_516.00,ELA_CTL1L239_EM_518.00,ELA_CTL1L239_EM_520.00,ELA_CTL1L239_EM_522.00,ELA_CTL1L239_EM_524.00,ELA_CTL1L239_EM_526.00,ELA_CTL1L239_EM_528.00,ELA_CTL1L239_EM_530.00,ELA_CTL1L239_EM_532.00,ELA_CTL1L239_EM_534.00,ELA_CTL1L239_EM_536.00,ELA_CTL1L239_EM_538.00,ELA_CTL1L239_EM_540.00,ELA_CTL1L239_EM_542.00,ELA_CTL1L239_EM_544.00,ELA_CTL1L239_EM_546.00,ELA_CTL1L239_EM_548.00,ELA_CTL1L239_EM_550.00,ELA_CTL1L239_EM_552.00,ELA_CTL1L239_EM_554.00,ELA_CTL1L239_EM_556.00,ELA_CTL1L239_EM_558.00,ELA_CTL1L239_EM_560.00,ELA_CTL1L239_EM_562.00,ELA_CTL1L239_EM_564.00,ELA_CTL1L239_EM_566.00,ELA_CTL1L239_EM_568.00,ELA_CTL1L239_EM_570.00,ELA_CTL1L239_EM_572.00,ELA_CTL1L239_EM_574.00,ELA_CTL1L239_EM_576.00,ELA_CTL1L239_EM_578.00,ELA_CTL1L239_EM_580.00,ELA_CTL1L239_EM_582.00,ELA_CTL1L239_EM_584.00,ELA_CTL1L239_EM_586.00,ELA_CTL1L239_EM_588.00,ELA_CTL1L239_EM_590.00,ELA_CTL1L239_EM_592.00,ELA_CTL1L239_EM_594.00,ELA_CTL1L239_EM_596.00,ELA_CTL1L239_EM_598.00,ELA_CTL1L239_EM_600.00
,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166
230,0.862058043,1.229550004,1.278442621,1.776594043,2.453068256,2.296511412,2.916766405,3.584283352,4.964364529,5.721090794,6.142477512,7.668771267,8.172513008,9.489451408,11.13652515,12.31399632,13.00854683,12.49147892,14.09687996,13.49582481,14.46802044,14.98958588,15.79180622,15.62999249,15.90071487,17.45057297,20.18548584,22.59309769,24.00621605,24.4474659,24.88883591,26.33494759,26.83479309,27.73229218,30.00110817,30.48503685,31.34340858,30.66637611,30.95790672,30.67621231,32.34557343,31.69503593,31.95720863,33.19013596,32.3744278,31.47231865,32.33129883,32.30013275,32.95741272,33.08958435,33.87782669,35.89484024,36.76265717,36.03855896,38.02616501,39.30586624,39.85977554,40.97389221,43.10279846,46.01386261,42.10357666,43.76922607,45.37622833,49.40961838,50.20923615,51.99880219,54.96560669,56.34135437,55.34390259,57.30493164,60.42020035,61.49375534,62.02406693,63.20649719,65.13975525,65.22528076,66.95428467,65.64850616,65.64971161,65.90211487,67.87172699,65.79003143,64.61254883,63.35274506,64.97953796,62.92950058,62.07969666,62.72683716,61.87227249,61.20308685,60.27762985,61.08205795,59.60105133,58.326931,59.52571487,53.98232269,53.45847321,53.09903717,51.96713257,51.1968956,50.32471085,50.51833725,48.728302,47.99215317,45.79059219,45.50930023,44.5691452,43.34814835,41.12669754,40.99817657,40.66409302,37.73345947,36.68281937,36.67494202,34.04166031,32.82600021,33.04506302,33.0210228,30.84757614,29.56108475,28.07732964,28.04218674,26.79824448,26.57653427,25.00105286,23.23878479,22.59817314,23.05473137,21.44054222,21.11057663,20.48663521,19.34705544,18.60272408,17.40319252,16.63753891,16.634758,15.834548,15.35679626,14.11364746,14.0705843,12.95874882,12.27123451,12.22464085,12.08993626,11.52023125,10.60703182,10.12357616,8.866890907,9.456192017,8.839990616,8.016778946,7.662847042,7.262048244,7.609550953,6.547193527,6.159842491,6.454342842,5.93077755,5.392430782,5.40633297,4.800474167,4.868039608,4.814124107,4.577741146,4.510100842,4.039218426
235,0.834977925,1.027909636,1.03942287,1.126971602,1.30983603,1.37313056,1.756496549,2.23943305,2.662955046,2.831066132,3.051444054,4.263088703,4.44854641,5.269987583,6.055623055,6.299292564,7.220884323,8.103412628,8.398645401,8.789940834,9.712433815,9.21031189,10.46852779,10.54838562,11.14282322,10.6799221,11.52108288,13.06318855,13.47571087,13.98347187,14.87514973,15.07469749,15.74284458,17.28447723,19.02475548,18.94616508,19.74390221,20.51121902,20.94433594,20.97060013,21.97029114,22.86989212,22.72180367,22.97295952,22.91903114,23.42092323,24.86994934,25.6107502,26.60478783,27.64974403,27.64701653,30.47122002,29.63077736,31.26764488,32.81764221,34.38657761,34.53022385,38.38080597,37.90672684,40.729599,36.72813797,39.54968643,40.05052567,41.71551132,46.10385895,45.91785812,47.44694901,49.44110489,51.14899445,54.12807846,53.22436905,55.02200317,57.22606659,56.39022064,57.36069489,60.69501877,59.93190765,60.30364609,60.72022629,59.68597031,61.22948456,60.61808014,60.03264999,58.26828766,58.28090668,59.38589096,57.28541565,56.38578033,57.60534286,57.28652954,55.27530289,55.22404861,54.87197495,56.87494659,52.54205322,47.57092285,48.12475967,48.73402786,49.0967865,46.4163208,46.26184082,45.90613556,43.8144722,43.5094986,40.90779495,42.112854,41.91698074,40.0626297,38.4854126,38.6301918,36.18799973,35.34769058,35.02006531,32.61117554,33.17578125,31.87796974,31.02031326,29.39364815,28.29146957,28.90874481,27.17621994,25.34464264,25.01852226,24.20714378,22.13162994,22.16900063,21.15410423,21.56296539,19.21235847,19.19031906,18.85380173,18.82632256,17.05051994,16.96353912,15.49097729,15.11036491,14.44992828,13.87553596,13.39369678,12.73748493,11.6182785,12.20130539,10.93957329,10.92219925,10.55620289,9.90705204,9.245905876,8.517086029,8.652731895,8.842841148,6.96484375,7.634260178,6.812364578,7.131402493,6.950766563,5.910890579,6.290452957,5.586674213,4.964661598,5.263076782,4.742961884,5.049362183,4.464215755,3.949556112,3.673795223,4.075479031
240,2.281854391,1.237643242,0.9854213,0.447588742,0.952032566,0.802365243,0.87838012,0.8799842,1.184649348,1.055867314,1.53272593,2.344510317,2.390650988,2.756740808,3.354515791,3.767255783,4.036049843,4.484518051,4.88238287,5.030144691,5.557761669,5.95638895,6.235254288,6.345513821,6.426256657,6.493755341,7.127635956,7.231479645,7.940191269,8.422865868,9.240477562,9.759236336,10.39873314,10.78941441,11.30871773,11.36580944,12.51076412,13.07148647,13.25990105,13.90225983,14.01997948,15.10761452,16.32792473,16.43075371,17.77682114,18.13197136,18.20622253,19.82126236,19.85493469,21.10270309,22.54753876,23.73160934,24.88520813,25.96442413,28.06082344,29.72328758,30.5310421,31.05562782,33.94192505,35.12891388,32.15456009,33.26386261,34.74228287,38.54927444,40.02222824,41.53507996,42.45971298,45.22528458,45.58695602,48.17820358,48.74552155,49.30655289,51.59220123,52.56068039,52.71242142,52.97868347,53.92253494,55.05098343,56.53043747,55.15886307,54.59495163,55.04948807,54.93392181,54.29437637,53.85282516,53.77553558,52.88338089,52.90403748,51.8719635,51.19425201,51.45539474,49.85599899,50.19060898,50.78380585,49.694561,46.22986984,46.57242203,46.34711075,43.99248886,45.12479019,42.81884003,42.6998291,42.52809143,41.56373596,40.44920731,38.63133621,38.16317368,38.02331161,36.65605927,35.82169724,34.19725037,33.60360718,33.92435837,32.75468445,31.74202347,30.17117882,29.78616333,29.01686478,28.23921204,26.78947067,26.38988113,25.47007751,23.98643875,23.41669846,22.75609207,21.57455826,20.83711433,20.18341446,18.92108345,19.01402283,17.68844986,18.02563286,16.72786903,16.20464325,16.30093384,14.75675774,15.07610989,13.57444382,13.60126781,12.10403919,12.23297596,11.47393227,11.12871838,11.35901928,10.16332531,10.05345726,9.264941216,8.634269714,9.021062851,7.971731186,7.792542458,7.575703144,6.196003437,6.621323109,5.973362446,5.551394463,5.596979618,5.441466808,5.241858959,5.131593227,5.007963181,4.613410473,4.398898602,4.391724586,3.819045544,3.675388336
245,14.40836143,10.01319885,4.712139606,1.774995685,1.030644059,0.684855521,0.872535527,0.877509713,1.01232326,1.157265663,1.397139788,1.676729202,2.154957771,2.682521582,3.018040419,3.139806271,3.292495012,3.825241089,4.054096699,4.306747913,4.630311012,4.938553333,5.001324177,5.273204327,5.287842274,6.160823345,5.926317215,6.022569656,6.279756069,6.835159302,6.883854389,7.28458786,8.147583961,8.317892075,8.69085598,9.153958321,9.686803818,10.02328396,10.83964348,11.1524992,12.09368706,12.47229481,13.40175343,14.14207745,14.3593359,16.07493019,15.76954174,16.05991745,17.77915192,19.61186028,19.64504623,20.24046707,22.13996696,23.35521698,24.26827431,26.29565048,26.82917595,29.33898354,30.04408455,32.1664505,28.198452,30.89470291,33.92217255,35.89308929,35.37104034,37.44749451,39.2919426,40.51523209,41.59812546,42.6176796,45.16513443,46.20186615,45.9234848,47.8371315,47.65681839,49.84448242,50.33562088,50.5368576,50.99093246,50.39094925,51.40909576,50.73999023,51.19388199,51.22505569,50.17079544,50.52344894,49.0182724,49.65378189,48.80903625,48.49840546,48.61125183,48.22085571,48.32638168,47.60050583,47.04169846,43.68772888,42.77811813,43.22712708,43.32555771,42.68997574,41.4284935,40.67890549,40.312603,40.43535614,39.11074829,38.73112488,36.37203217,36.9345932,35.5998497,34.59367371,34.01578522,33.46163177,31.87332153,31.13341141,29.93082809,29.28686142,28.27647209,28.19451332,26.67253494,26.61604309,25.29838753,24.20742798,23.91835022,22.74250221,21.90846443,20.77151489,20.50748062,20.0390377,19.12484741,18.13383484,17.42668343,17.30838776,16.33161163,16.37477684,14.92784786,14.2935524,14.19658661,13.69057655,13.03595161,12.35518169,11.32034111,11.50220108,10.64945793,10.37045765,10.69394112,9.631855011,9.271486282,8.910345078,8.112192154,7.748061657,7.445555687,7.394602299,6.887541771,6.301629543,6.04404974,5.6949687,6.026339054,5.30650568,5.249192715,5.081938267,4.638553143,4.530645847,4.29921627,3.98873353,3.667977095,3.836775541
250,10.46610165,16.17299461,17.82781601,13.56571293,7.484391689,2.859230995,1.496519685,1.185898542,1.271423101,1.30551815,1.695774317,1.928581595,2.379286766,2.738901615,3.18423295,3.51907444,3.545814514,4.216688633,4.031887054,4.284546852,4.992505074,4.888233185,5.079312801,5.41873312,5.439721107,5.399001122,5.693744659,6.022936344,6.517003536,6.370906353,6.649540901,7.005234718,7.438408375,7.604799747,8.021323204,8.187443733,8.403847694,9.041942596,9.798659325,9.908680916,10.68147182,10.80901241,11.49795341,11.91925716,12.1002388,13.2964735,14.6554718,15.22453403,15.44334793,16.62727165,17.91041946,18.13683701,19.91610527,21.00771523,21.80794144,23.19194221,24.58569527,26.49291992,26.28752136,27.80095863,25.99534035,27.76673889,30.25813866,31.1321106,33.19018555,34.02661133,35.6221199,36.80443573,37.56367111,39.89200592,40.25805664,41.72273636,43.73347855,43.83342743,44.77607346,45.79981232,46.27777481,46.30005264,46.78909302,47.02595139,47.33666229,47.04691696,47.12810516,46.46612549,47.34399796,45.465065,46.59262848,46.30089951,47.20960617,45.59225464,46.2748909,44.99341202,45.74633026,45.35922241,43.41528702,41.57266235,41.0222435,40.52587891,40.33320618,39.83883286,39.37770844,38.6031456,38.4915123,38.74057388,36.98778152,36.16502762,35.37846375,34.01343536,33.75362015,32.92081451,33.03430939,31.59391975,30.82255745,30.421772,29.95526314,28.63139915,28.17865181,26.10378456,26.23264503,25.74761772,24.50635147,24.08517838,22.72624588,22.31267166,21.20912933,20.14758873,20.22090912,19.03863144,18.70236588,18.10838509,16.93702888,16.6493187,16.27594376,16.1127739,14.75865936,13.93329525,14.01608467,13.03864765,12.5766449,12.39432526,11.09409809,11.24360561,10.63825226,10.10582352,9.83546257,8.846042633,9.140348434,8.908707619,7.878111362,7.770829678,7.264352798,7.103806973,6.87553072,6.296885967,6.13743639,6.212500095,5.563892365,5.371716022,5.164470196,4.973087311,4.656785488,4.372962952,4.233469486,3.803643703,3.690201759,3.889338017
255,1.578535676,2.127824306,4.706064701,9.102535248,14.57583523,13.88308907,12.0931263,7.966594696,4.624274731,2.99450922,2.686564684,3.095981121,3.640924215,3.907780409,4.300870419,4.774591446,4.894731998,4.300608158,5.229865551,5.314784527,5.645047188,5.652109623,5.917446613,6.234362602,6.223126411,5.254320621,6.435419559,6.725659847,6.804568291,7.296527386,7.203140259,7.449947357,7.497240543,8.267930984,7.958870888,8.455471039,8.994401932,8.646491051,8.759026527,9.336215019,9.843990326,10.3658514,11.29107952,10.73048401,11.54532433,12.17003727,13.4472084,13.58494759,14.95072079,15.05531025,16.50516891,17.88105392,17.89118767,18.80382729,18.79648018,21.21900558,21.94845963,22.52281189,24.52380943,24.9672966,23.69337082,25.16620255,27.1652565,27.90892982,28.69215202,30.53750992,32.14707565,33.45868683,34.83409119,35.97890472,37.93240738,37.91574097,37.9028511,40.04549408,41.08722687,41.27622223,42.0645752,42.99600601,42.9103775,44.18078613,43.01065826,42.93484879,43.38234711,42.47113419,43.31846237,42.90388489,43.24831009,42.12028122,43.07900238,43.05449295,42.39129639,41.99298477,41.33349991,41.40348816,41.63752747,38.68997574,38.55848694,37.64299393,37.08056259,36.84355545,37.78406906,37.01522827,35.37017441,35.67710114,35.89375305,35.72438431,34.42114258,34.12068558,33.41890717,30.97920799,30.56448936,30.51716805,30.26606941,27.85877037,28.008255,27.0232296,27.35233688,25.90831184,25.23484612,23.98698425,24.31570816,21.58501053,21.70199203,21.26586342,21.15216446,20.29214096,19.99119377,19.72953033,18.33650208,17.17477226,17.19523811,15.88611698,16.12214088,14.55137157,14.36517715,13.80847454,13.14538765,13.64276314,12.43181992,11.92110729,11.31272411,10.72417641,10.69030666,9.972151756,9.905486107,9.234711647,8.353025436,8.42505455,8.52361393,7.773947716,6.668832302,6.634553432,6.224684238,5.865792274,5.77762413,5.376463413,5.466879845,5.343590736,5.009719849,4.822432041,4.373018265,4.439388752,3.769496441,3.809485435,4.241316319,3.848141432
260,1.580291748,1.692785263,1.747262955,1.626831651,2.020300865,3.303921938,6.372153282,13.02111149,18.26757622,18.0413475,11.80806828,7.474074364,5.715965271,5.5594697,5.882397175,6.084334373,6.453536034,6.209387779,6.624996662,6.37554884,7.154642105,6.894481659,7.14787674,7.384047508,7.284088612,6.692507267,7.660204887,7.448090076,7.814623833,7.746086121,8.209980011,7.772003651,8.920383453,8.681438446,8.820587158,9.491601944,9.479829788,9.297381401,9.839982033,9.648793221,10.41557217,10.74626064,11.49306011,11.4117775,11.71826267,11.89301586,12.865201,12.97713375,14.26778889,14.73070812,15.2570982,16.45040894,17.45875359,17.34380531,18.51122665,20.1690464,21.08428955,21.1463623,22.46922302,24.35103035,21.45586967,23.58963013,24.31927872,25.9901886,26.96650696,28.39265442,29.83355522,30.48340988,31.84928513,33.19657135,34.30821228,35.03795624,35.8279953,36.62689209,37.99888992,38.02754974,39.11816025,39.74166107,40.21520233,40.15325928,40.6607666,40.789608,40.50801086,39.77456665,40.43759155,40.44839096,40.78200531,40.28881073,40.49467087,41.1348381,39.82826614,40.08107758,40.28370667,40.09109879,40.18575287,37.03749466,37.55988312,37.76574326,36.54489899,36.6015358,36.77905655,36.72253799,36.25499344,35.09890747,33.84421921,34.44874191,33.01851654,32.84633255,32.7508316,31.43196297,30.68845177,29.68224335,29.0845356,28.18359375,27.81589508,27.5620079,26.06408882,25.15655518,24.40646553,24.06824684,23.7610836,22.61634254,22.21169472,21.90517235,21.34742737,20.21445274,19.63387871,17.97622108,17.87206841,17.33689117,16.79938126,16.55808449,15.55742931,14.44766903,14.53887177,13.99749565,13.77406216,13.09141827,12.62293434,12.3440094,11.20152378,11.23181057,11.04831409,9.943224907,10.02544785,9.497204781,8.998519897,8.37057209,7.93663311,7.596346855,7.465218067,6.846509457,6.614556789,6.460258007,5.854474545,5.818302155,5.548196316,5.246284008,5.026434898,4.521310329,4.400698662,4.266350746,4.274105072,3.920415401,4.031315327,3.617073774
265,21.01694298,7.341427326,2.517901659,2.115314245,2.349523306,1.831178427,2.428780794,3.778167248,6.925447464,11.66499519,16.86501122,18.06795883,15.74324131,12.88671684,9.828909874,8.49471283,7.730569839,7.954801559,7.559175014,7.751943111,8.119727135,7.660758972,7.552497864,7.51261425,7.70767498,7.786392689,7.597977638,7.965127945,8.139578819,7.918437481,8.264878273,8.391639709,8.188253403,8.946349144,8.907773018,8.562273979,8.931791306,8.978812218,9.10688591,9.822197914,10.45634174,9.924452782,10.43973446,10.88937378,10.66223335,11.24219418,11.90511703,12.48691368,12.5191927,13.48185539,13.68340874,14.60684967,15.36898232,16.01743317,16.26918221,18.00638199,18.51058006,18.93683434,19.79870605,20.91957092,18.86013222,20.02677536,21.98599625,22.5891037,23.43862534,24.3805027,26.10449982,26.64185905,27.95334625,28.19036293,29.79077148,29.45491028,31.13020897,30.9425621,32.28580093,33.63808441,33.19982147,34.5079689,34.90240097,35.56390762,34.98187637,35.20668411,35.07894135,35.4422493,36.23523712,35.87529755,34.90336609,35.64165878,35.64656067,36.02910614,35.07726669,36.27865982,34.89688492,36.38675308,35.53753662,33.30273438,32.58361816,33.55391693,32.46893311,32.25279999,32.33029556,31.68118858,30.55272484,30.53897858,30.22621155,30.51436806,29.25230408,28.86575699,28.6191864,28.04075623,27.48591995,27.21016121,26.26324654,26.25315475,25.04518509,23.7165451,23.96705055,23.0074482,22.44800758,21.99134254,20.52139282,20.55151367,19.45296478,19.48286247,18.42095184,18.22020912,17.49164009,16.82863235,16.06098366,15.18020916,14.98156548,14.66264725,13.81100845,13.70601273,13.47319221,12.69346142,11.85023785,11.3401289,11.13059044,10.37161922,10.34054279,10.05840397,9.44660759,8.684147835,8.594284058,8.614159584,8.407464027,7.924731255,7.523889065,7.186089039,6.079443455,5.937325001,5.903193474,5.960907936,5.356402874,5.234144688,5.112510204,4.915482521,4.418462276,4.679242134,4.141829967,3.917706966,3.8262887,3.417889595,3.430147409,3.152222157
270,90.45162201,95.10942078,48.00170135,18.23357964,5.10243082,2.580359697,2.713044643,3.514817238,4.205817699,5.089754581,6.58861351,8.574015617,13.62135124,18.97897911,21.65297127,21.08042145,16.73479462,12.58100891,10.0939045,9.278431892,9.673636436,9.104006767,9.48780632,9.274394035,9.05345726,8.710055351,8.745379448,9.171334267,8.95248127,8.983691216,9.046654701,9.267206192,9.554995537,9.457715988,9.561865807,9.700251579,9.798719406,9.923855782,9.723192215,10.44107056,10.4363308,10.90190887,10.82662773,11.44040108,11.53449917,11.64945507,11.81263924,12.4086256,12.65757561,13.78371906,13.49881268,14.20158482,14.40973282,15.33859825,15.54701805,16.79861069,17.23448944,18.58522415,19.13625526,19.71660423,17.94426537,18.51632881,19.85374451,20.50403595,21.85062027,22.21089745,23.16806412,24.18662643,25.44061089,26.31495476,26.71284676,27.38765526,27.81359482,28.68923759,29.51509476,29.90736961,30.07420921,30.90536308,31.06573105,31.43375969,32.03941345,31.8169899,31.65085793,31.9988842,31.33163071,31.32693291,31.58873177,31.97189522,32.45448685,31.88328934,31.46670914,31.61506081,31.42712402,32.25050354,31.77331924,29.86863518,29.75548172,30.16863632,29.78611946,29.68039513,29.42758942,29.54795265,28.70005798,29.35100365,28.088974,27.56496811,27.94177818,27.12553978,26.40529251,25.92668343,25.90241051,24.73397446,24.47410774,23.03524208,22.96267319,22.86388016,21.52933693,21.26062584,20.40857315,20.63988876,19.77564049,19.14996719,18.6582222,17.98474884,17.30662537,16.98675728,16.58690262,15.9090538,15.13886452,15.08816147,14.61395836,13.91423607,13.23438358,12.56129742,12.61693192,11.89246845,11.70100975,10.92377758,10.33267689,10.36627293,9.851046562,9.603549957,8.719382286,8.733654022,8.160009384,7.888446331,7.741753578,7.097351074,7.138709545,6.465724945,6.257107735,5.652117252,5.405736923,5.426531792,4.959679604,5.025164604,4.777796745,4.654218197,4.491085529,4.135234356,4.060913563,3.689319849,3.337525129,3.642936468,3.157656193,3.094792604
