Wavelength (nm),Intensity (a.u.),Z Axis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ELA_CTL2-L239_EM_270.00,ELA_CTL2-L239_EM_272.00,ELA_CTL2-L239_EM_274.00,ELA_CTL2-L239_EM_276.00,ELA_CTL2-L239_EM_278.00,ELA_CTL2-L239_EM_280.00,ELA_CTL2-L239_EM_282.00,ELA_CTL2-L239_EM_284.00,ELA_CTL2-L239_EM_286.00,ELA_CTL2-L239_EM_288.00,ELA_CTL2-L239_EM_290.00,ELA_CTL2-L239_EM_292.00,ELA_CTL2-L239_EM_294.00,ELA_CTL2-L239_EM_296.00,ELA_CTL2-L239_EM_298.00,ELA_CTL2-L239_EM_300.00,ELA_CTL2-L239_EM_302.00,ELA_CTL2-L239_EM_304.00,ELA_CTL2-L239_EM_306.00,ELA_CTL2-L239_EM_308.00,ELA_CTL2-L239_EM_310.00,ELA_CTL2-L239_EM_312.00,ELA_CTL2-L239_EM_314.00,ELA_CTL2-L239_EM_316.00,ELA_CTL2-L239_EM_318.00,ELA_CTL2-L239_EM_320.00,ELA_CTL2-L239_EM_322.00,ELA_CTL2-L239_EM_324.00,ELA_CTL2-L239_EM_326.00,ELA_CTL2-L239_EM_328.00,ELA_CTL2-L239_EM_330.00,ELA_CTL2-L239_EM_332.00,ELA_CTL2-L239_EM_334.00,ELA_CTL2-L239_EM_336.00,ELA_CTL2-L239_EM_338.00,ELA_CTL2-L239_EM_340.00,ELA_CTL2-L239_EM_342.00,ELA_CTL2-L239_EM_344.00,ELA_CTL2-L239_EM_346.00,ELA_CTL2-L239_EM_348.00,ELA_CTL2-L239_EM_350.00,ELA_CTL2-L239_EM_352.00,ELA_CTL2-L239_EM_354.00,ELA_CTL2-L239_EM_356.00,ELA_CTL2-L239_EM_358.00,ELA_CTL2-L239_EM_360.00,ELA_CTL2-L239_EM_362.00,ELA_CTL2-L239_EM_364.00,ELA_CTL2-L239_EM_366.00,ELA_CTL2-L239_EM_368.00,ELA_CTL2-L239_EM_370.00,ELA_CTL2-L239_EM_372.00,ELA_CTL2-L239_EM_374.00,ELA_CTL2-L239_EM_376.00,ELA_CTL2-L239_EM_378.00,ELA_CTL2-L239_EM_380.00,ELA_CTL2-L239_EM_382.00,ELA_CTL2-L239_EM_384.00,ELA_CTL2-L239_EM_386.00,ELA_CTL2-L239_EM_388.00,ELA_CTL2-L239_EM_390.00,ELA_CTL2-L239_EM_392.00,ELA_CTL2-L239_EM_394.00,ELA_CTL2-L239_EM_396.00,ELA_CTL2-L239_EM_398.00,ELA_CTL2-L239_EM_400.00,ELA_CTL2-L239_EM_402.00,ELA_CTL2-L239_EM_404.00,ELA_CTL2-L239_EM_406.00,ELA_CTL2-L239_EM_408.00,ELA_CTL2-L239_EM_410.00,ELA_CTL2-L239_EM_412.00,ELA_CTL2-L239_EM_414.00,ELA_CTL2-L239_EM_416.00,ELA_CTL2-L239_EM_418.00,ELA_CTL2-L239_EM_420.00,ELA_CTL2-L239_EM_422.00,ELA_CTL2-L239_EM_424.00,ELA_CTL2-L239_EM_426.00,ELA_CTL2-L239_EM_428.00,ELA_CTL2-L239_EM_430.00,ELA_CTL2-L239_EM_432.00,ELA_CTL2-L239_EM_434.00,ELA_CTL2-L239_EM_436.00,ELA_CTL2-L239_EM_438.00,ELA_CTL2-L239_EM_440.00,ELA_CTL2-L239_EM_442.00,ELA_CTL2-L239_EM_444.00,ELA_CTL2-L239_EM_446.00,ELA_CTL2-L239_EM_448.00,ELA_CTL2-L239_EM_450.00,ELA_CTL2-L239_EM_452.00,ELA_CTL2-L239_EM_454.00,ELA_CTL2-L239_EM_456.00,ELA_CTL2-L239_EM_458.00,ELA_CTL2-L239_EM_460.00,ELA_CTL2-L239_EM_462.00,ELA_CTL2-L239_EM_464.00,ELA_CTL2-L239_EM_466.00,ELA_CTL2-L239_EM_468.00,ELA_CTL2-L239_EM_470.00,ELA_CTL2-L239_EM_472.00,ELA_CTL2-L239_EM_474.00,ELA_CTL2-L239_EM_476.00,ELA_CTL2-L239_EM_478.00,ELA_CTL2-L239_EM_480.00,ELA_CTL2-L239_EM_482.00,ELA_CTL2-L239_EM_484.00,ELA_CTL2-L239_EM_486.00,ELA_CTL2-L239_EM_488.00,ELA_CTL2-L239_EM_490.00,ELA_CTL2-L239_EM_492.00,ELA_CTL2-L239_EM_494.00,ELA_CTL2-L239_EM_496.00,ELA_CTL2-L239_EM_498.00,ELA_CTL2-L239_EM_500.00,ELA_CTL2-L239_EM_502.00,ELA_CTL2-L239_EM_504.00,ELA_CTL2-L239_EM_506.00,ELA_CTL2-L239_EM_508.00,ELA_CTL2-L239_EM_510.00,ELA_CTL2-L239_EM_512.00,ELA_CTL2-L239_EM_514.00,ELA_CTL2-L239_EM_516.00,ELA_CTL2-L239_EM_518.00,ELA_CTL2-L239_EM_520.00,ELA_CTL2-L239_EM_522.00,ELA_CTL2-L239_EM_524.00,ELA_CTL2-L239_EM_526.00,ELA_CTL2-L239_EM_528.00,ELA_CTL2-L239_EM_530.00,ELA_CTL2-L239_EM_532.00,ELA_CTL2-L239_EM_534.00,ELA_CTL2-L239_EM_536.00,ELA_CTL2-L239_EM_538.00,ELA_CTL2-L239_EM_540.00,ELA_CTL2-L239_EM_542.00,ELA_CTL2-L239_EM_544.00,ELA_CTL2-L239_EM_546.00,ELA_CTL2-L239_EM_548.00,ELA_CTL2-L239_EM_550.00,ELA_CTL2-L239_EM_552.00,ELA_CTL2-L239_EM_554.00,ELA_CTL2-L239_EM_556.00,ELA_CTL2-L239_EM_558.00,ELA_CTL2-L239_EM_560.00,ELA_CTL2-L239_EM_562.00,ELA_CTL2-L239_EM_564.00,ELA_CTL2-L239_EM_566.00,ELA_CTL2-L239_EM_568.00,ELA_CTL2-L239_EM_570.00,ELA_CTL2-L239_EM_572.00,ELA_CTL2-L239_EM_574.00,ELA_CTL2-L239_EM_576.00,ELA_CTL2-L239_EM_578.00,ELA_CTL2-L239_EM_580.00,ELA_CTL2-L239_EM_582.00,ELA_CTL2-L239_EM_584.00,ELA_CTL2-L239_EM_586.00,ELA_CTL2-L239_EM_588.00,ELA_CTL2-L239_EM_590.00,ELA_CTL2-L239_EM_592.00,ELA_CTL2-L239_EM_594.00,ELA_CTL2-L239_EM_596.00,ELA_CTL2-L239_EM_598.00,ELA_CTL2-L239_EM_600.00
,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166
230,0.647927999,0.89345634,0.911713183,1.303769946,1.535540938,1.291422367,1.789114237,2.560883284,2.742163181,3.762893677,4.429397106,5.932679653,6.643528461,7.350395203,7.973963261,9.499535561,9.855120659,10.65452766,10.94677448,12.29942036,12.58008003,13.01036835,13.52763653,14.33529377,14.48882675,13.93690777,15.40694237,15.76016426,15.83752918,16.62355614,17.24838638,17.27572823,18.13379097,18.54787445,19.5702343,19.35661697,19.63204575,19.92210007,21.11113167,21.46979332,21.45023346,22.54559517,22.05459023,22.6915741,24.02908516,26.23591423,26.14912415,25.73725128,27.5501709,28.42940712,29.36798096,29.32507706,30.82485962,32.85645294,35.21571732,35.66388321,37.45627594,39.03767395,41.43060303,43.21665192,39.28636551,41.04753876,44.8204422,45.92310333,48.03568268,50.49221039,51.01903152,54.55926514,55.27356339,57.3125,58.85356522,61.29646301,59.49455643,63.22776413,64.2726059,61.84360504,66.57357788,65.61878967,63.84364319,65.91362,66.5012207,64.82565308,65.78726196,64.15467072,64.56777954,64.05324554,61.41055679,63.34846878,60.43401718,61.62848282,60.09921646,60.3821106,59.70278931,59.67448044,56.81885529,53.97608185,53.22819901,54.13780975,52.46958542,50.53975677,51.62348938,49.07089615,48.08740234,47.80829239,47.05171585,45.67438126,42.8708992,43.59648132,42.23630524,41.06899261,41.29911423,38.75664902,38.3523941,35.72183228,35.35219574,34.34735489,33.03921127,31.96878624,31.59383202,29.41545486,28.43035316,28.15548706,27.03300476,27.25681114,25.21356583,24.32282639,23.70831299,22.49354172,22.91923332,20.8023777,20.56506729,19.69355965,19.43959808,18.12929344,17.3400116,16.33929443,15.67913151,15.35213184,14.7829771,14.26416302,13.08655548,13.12069321,12.6154213,12.29901695,11.36047649,10.87809849,10.77407837,10.12319374,9.883546829,8.564164162,7.660317898,8.131007195,7.315295219,7.369185925,6.643996716,6.685736179,6.10292244,5.916093826,5.449180603,5.728726387,4.990227699,5.094601154,4.84815073,4.480161667,4.232134819,4.329432964
235,0.670824707,0.685254335,0.821977437,0.852569938,1.080828547,0.96976161,1.019312978,1.441908717,2.060354471,2.387850046,2.370423317,3.514931917,3.707836628,4.801553249,5.3860116,5.768752098,6.171979427,7.377910614,7.349236488,8.180681229,8.288618088,7.995587349,8.763858795,9.763853073,9.623370171,9.448964119,10.05061531,10.26263428,11.26984692,10.77185059,12.01604939,12.6467762,12.05176067,13.16328621,13.77341557,14.11022854,14.29254436,15.08104324,14.68622208,15.55234241,16.50291824,16.68708992,16.8214283,18.63680077,18.40615845,19.17972565,20.00705719,21.89528084,24.15489769,23.79829979,25.11564636,26.36966324,27.06324005,28.80101967,30.39113808,30.98300362,34.08592606,34.5682106,34.42926407,38.41439819,35.64822388,36.4749527,40.43272018,40.63248062,43.04346466,44.96439362,45.56677628,46.61549759,49.06724167,52.51338577,53.63932419,55.0306282,54.93603516,58.14990616,57.54629898,57.96786499,58.04345703,58.76502228,58.72375488,58.05781937,59.98443985,58.79513168,58.62630463,57.65234756,59.98775482,57.67908859,57.05701828,54.71538925,57.2612648,55.41983032,55.76963806,53.06653976,54.51761627,54.18094635,53.9094162,49.09139633,49.53743362,49.01348877,48.39134216,49.65044785,46.40879059,45.14329147,45.61136627,45.85142899,43.76841736,41.19350433,41.65219498,40.51910019,39.68206024,39.10491943,37.87099457,34.37888718,34.0227623,33.5424881,33.19320297,32.66035461,31.02305412,29.82285881,28.84319687,28.16891289,27.02648926,26.7485714,25.28866577,24.25492859,24.67691994,22.36041069,22.87818336,19.99945068,19.86795616,19.91932869,19.14295769,19.15620041,17.57699966,16.85015678,15.93068886,15.89097404,15.41196537,14.12390995,14.81040192,13.44148445,12.58134365,12.37826252,12.16292381,11.85504532,10.32247829,10.65686512,9.777889252,9.776626587,9.107934952,8.696994781,7.861340046,6.686161518,6.988453388,7.066259384,7.02711916,6.127168655,6.334933758,5.722009659,6.067941189,5.520049572,5.465796947,4.491193771,4.549688816,4.190608025,4.423757076,4.137552738
240,2.143842459,1.087403536,0.776149213,0.787776887,0.949550331,0.689865649,0.549115598,0.735799551,1.106739402,1.068320394,1.639178991,1.956200361,1.970931649,2.633654833,3.059475899,3.392343521,3.375131845,4.276235104,4.777029991,4.248493671,5.266444683,5.616899014,6.044332027,6.071095943,5.795768261,5.957031727,6.804541588,6.608549595,6.867743492,7.963842392,7.209681511,7.807693481,8.107833862,8.962976456,8.930135727,9.732393265,9.973044395,10.49948883,10.25104332,11.12068081,12.19048119,12.9774189,13.84078884,14.30621719,15.04622555,15.77265453,17.27215195,17.44788742,18.39656258,19.43063545,21.25165749,22.67280006,23.84469223,24.78123283,26.03361511,26.88362122,29.83062935,30.95210266,32.51570511,34.11779404,30.67827415,33.43955231,35.35021591,38.4311676,37.98754883,41.10054398,41.99223709,43.97412872,45.50437927,45.81602859,47.77857208,49.12338257,50.49129105,50.24420929,52.70274353,53.28331757,53.70044708,55.60167694,54.61267853,54.69260025,53.63107681,55.39941788,53.62112045,53.8475647,52.12663269,51.95526505,53.69786835,51.51848221,52.32355118,50.63090897,51.12559509,50.608181,51.05678177,50.34949112,49.37928391,46.85588455,44.60964203,47.13033295,45.27416992,46.17221069,44.65714264,43.25996399,42.25849915,41.58469009,41.14130783,39.94108963,39.13583755,37.08013916,37.18344879,36.33542252,34.44900894,34.39182663,33.48384857,32.88800049,31.9611721,30.61865616,29.49825859,28.4514637,28.65232277,27.17330742,26.36559868,25.98075867,24.18019867,24.09850311,23.90354538,22.43532372,21.57800865,20.19122887,20.22449875,18.34138489,18.38672066,18.3063221,17.65755463,16.43130302,16.33340263,15.55623245,14.36460876,14.49441814,12.79840565,13.35751343,12.80918121,11.91164207,11.58759785,10.06710148,10.83395386,10.41005993,9.20986557,8.669654846,8.709920883,9.123730659,7.239861488,7.1283741,6.500161648,7.198214054,6.850066662,5.648688316,5.855209827,5.316710472,4.864890099,5.225078106,4.967466831,4.939998627,4.596125603,4.461821079,4.144322872,3.933082342
245,13.79947948,9.377192497,4.835454464,2.117189646,1.167828202,0.449085921,0.592121124,0.668728769,0.675590813,0.902174652,1.210935235,1.52092135,1.737927437,1.864485502,2.234777451,2.834303856,2.840705633,3.341557026,3.155595779,4.112349987,4.433528423,4.558908939,4.445983887,4.817280293,5.273015022,5.162801266,5.682447433,5.557173729,5.887326241,6.114136696,6.324709415,6.624407768,7.060510159,7.556782722,8.008922577,7.955917835,8.062666893,8.708884239,8.982886314,10.0816803,10.26535225,11.2951746,12.11665535,11.98464584,13.26946259,14.13088894,14.39381123,15.98703766,16.27383804,18.23347092,18.21323776,20.41400337,21.08874893,23.13937187,23.84443283,25.52267647,26.54179573,28.86995125,29.83130646,30.86130333,28.02331734,30.67709732,32.76091003,33.97406006,35.4499855,38.02376556,39.34296799,40.84274292,42.02470016,43.188591,44.36051941,46.24514389,47.19804764,46.79441833,47.81628799,49.43351746,50.55630875,50.05165863,50.71793365,50.15063095,50.9621048,50.52975082,50.71355438,50.02781677,50.89479446,50.55652618,50.76235199,48.79625702,50.04483032,48.77315521,48.57545853,48.17234802,48.15224075,47.89533615,47.24129868,43.85504913,43.37694931,43.62427902,42.4632988,41.97816086,42.57250595,40.82431793,40.34337234,40.7117157,39.27719879,37.90184784,36.62138367,37.00330734,34.74068451,34.43489075,34.51807785,33.86687851,32.45278168,32.53049469,30.37216759,29.12086487,28.71081352,27.4018631,27.82507515,26.83506584,26.41138268,24.54058266,24.16922569,23.10554886,23.25247574,21.50166702,21.88148117,20.20284843,19.62184143,19.13138008,17.84577942,17.80294228,16.43484116,16.10178947,15.87027645,14.87384319,14.50511169,14.07610226,13.47121334,13.08569622,11.88379478,11.69326687,11.33569908,10.58855247,10.41423893,9.674813271,9.384867668,9.099431038,8.55621624,8.04888916,7.385346413,7.27395916,7.150671005,6.678271294,6.45148468,5.913884163,5.954798222,5.738546848,5.668861866,4.872964382,5.201252937,4.835559845,4.694432735,4.182006359,4.216124535,3.75333333
250,10.43029213,15.59371376,17.10879517,13.10355186,7.62899065,2.731308699,1.422935486,0.959507287,0.985307097,1.041565657,1.208494782,1.614858866,1.740041971,2.078622341,2.266819954,2.750081778,2.95773983,3.152993441,3.378224611,3.786162376,4.320772648,4.330871582,4.651943207,4.817005634,5.476392269,4.975455284,5.266302586,5.437749386,5.684530735,5.885805607,6.133231163,6.54112339,6.783917904,6.534688473,7.314062119,7.442093372,7.711770058,8.341691017,8.239585876,8.9408741,9.864654541,10.14826202,10.52778625,10.91961861,11.80092144,12.844944,13.20417023,14.36855888,15.46345139,16.24660301,16.52643967,18.29230118,19.65880013,20.37214088,20.86774063,22.93088722,25.07440948,25.77432632,26.44729614,28.14677238,26.70439148,27.85354042,29.45810509,31.01856422,32.74124908,34.22414017,35.82998657,38.04430771,39.3875618,39.79410553,41.0057373,42.34091949,42.89325333,43.68073273,45.47086716,45.46199036,47.19394684,47.15244293,47.56114578,47.08913422,47.73329926,47.41970444,46.64032364,47.59025955,47.77906799,47.26702118,46.58374023,46.39992523,46.81118774,45.83231354,46.12638855,45.89649963,45.41623306,45.68202972,44.55553436,41.39488602,41.41277695,41.2301712,41.90237427,40.81386948,40.64739227,39.30201721,39.84861374,38.95671463,37.29100037,36.25994492,36.21481323,35.97327042,35.60648346,33.93465805,32.91905212,32.47639084,30.7702713,31.25537872,29.86859894,29.31020927,28.0505619,27.94081879,25.97015953,26.13189697,24.9797802,24.50570869,23.37036324,22.92006111,21.65468025,21.90428352,20.19579124,19.22959518,19.56858444,17.62893295,18.08666229,16.96793938,16.30757523,15.91603565,15.32847404,14.09605694,13.40714073,13.46870995,13.19330597,13.10542107,11.48121262,11.4761095,11.46197033,10.32067108,10.43533039,9.667661667,9.552636147,8.71776104,8.191236496,8.286305428,7.465789795,6.903830528,7.034882545,6.432032585,6.478971481,6.071922779,5.523740292,5.585021496,5.225827694,4.867268085,4.744589329,4.601463795,4.438184738,4.173194885,3.990407944,3.643796444
255,1.592317343,1.971889257,3.747956991,8.526228905,14.19203758,12.58295536,10.75374603,7.300909996,4.124937057,2.282216311,2.085428953,1.929203868,2.508202791,2.704334974,2.73918581,3.06846118,3.565582514,3.668312073,3.867709637,4.323271275,4.823250294,4.516335487,4.949919224,4.978095055,5.514140606,5.530524254,5.32900238,5.477751255,5.782726288,6.10565424,6.075365543,6.195515156,6.746829033,7.375938416,7.012265682,7.162732601,7.378548145,7.646602631,7.878759384,8.101716042,9.331338882,8.602311134,10.40681362,9.927695274,10.76903534,12.2101841,12.33787727,13.40135956,14.3797245,15.17922497,15.5514164,15.69178963,17.67048836,18.30968857,18.93906212,20.74539185,20.84059715,23.36925125,24.51202965,24.90630341,23.31734276,24.96218872,26.51425362,27.54260445,29.87096786,30.75848007,32.69045639,34.08224869,34.24034882,36.09838867,37.69525909,38.32423019,38.20239258,40.1119194,41.3109169,41.17287827,42.64785004,43.31175613,43.67741776,43.91679764,42.18690872,43.90987778,42.83258057,44.02064896,41.95223236,42.52835083,42.96390533,42.80301285,43.62010193,43.91281509,42.23478699,43.89521027,42.24238205,43.5935173,43.01922989,38.13294601,39.27978134,38.63302612,38.61594772,37.90220642,37.24710846,38.37966537,37.44045639,37.1317749,35.21857452,34.70602417,34.44301224,33.674366,33.58526993,31.98679924,32.32032013,30.88670158,29.13101959,28.82831764,29.57390785,26.86058426,27.45674515,25.58312416,25.2996521,24.95976067,24.66419983,23.46196175,22.33968925,22.53999329,22.03477478,20.81227684,19.92448807,18.87406158,18.72451019,17.39264488,16.54827118,17.03092384,16.2343235,15.26184464,14.8931284,14.51051712,13.81918335,12.96657562,12.69776917,11.72800159,12.02143574,11.14193344,10.23409271,10.4583168,9.212198257,9.351186752,9.0041399,8.809620857,8.003365517,8.134168625,7.14201355,7.066766262,6.394878864,6.503471851,6.64943552,5.801270485,5.500567913,4.949093819,5.063693523,5.069294453,4.972216129,4.368664742,4.091017246,3.890540123,3.967420101,3.874761581
260,1.751527786,1.661022425,1.450398445,1.508221745,1.744585395,2.718218088,6.009347916,11.59735584,16.85769272,15.25031853,9.769446373,5.400618553,3.849531412,3.566266298,3.538990974,3.653266907,4.089998245,4.177089214,4.606248856,4.636286259,5.284235477,5.363624573,5.627840996,5.810814857,5.946154594,5.861579895,6.152901649,6.068319321,6.362548351,6.314164162,6.846724987,7.011015415,7.144557476,7.105624199,7.249162674,7.600745678,7.752846718,8.186976433,8.214337349,8.690878868,8.90685463,10.03625202,10.22139168,10.31892204,11.09635735,12.29331398,11.88383579,12.5733757,13.17096806,14.02838421,14.94400597,16.51468086,16.57150841,17.35088921,18.38883781,19.71190262,20.92685509,21.64537239,22.54432487,23.56051064,21.67532539,23.10157013,24.76563644,26.2108345,27.67032433,28.32421303,29.5706501,31.32941437,31.90613747,33.21144104,34.35842133,35.47321701,35.73622894,36.59929276,38.36148071,38.84194946,39.59044266,39.63455582,40.20472336,40.78500748,40.4094162,40.41062164,40.96621323,41.44185257,42.13953018,41.07162857,41.18297958,41.64814758,40.89783478,41.03928757,41.24081039,41.28524017,40.32831573,41.6568985,40.29654694,38.17329788,38.17150116,37.6398735,37.7745285,37.40298843,36.97167969,36.94372559,36.14723206,36.19043732,36.02740097,34.31714249,33.16126251,33.33394623,32.10469818,32.26323318,31.46009827,30.02534294,30.00131989,29.10799026,28.58584976,28.54099274,27.36417961,26.24702454,25.68707466,24.42409325,23.41838837,23.55564499,22.66828537,21.47091866,20.9362011,20.52090836,20.3124218,18.98666763,18.45612907,17.78718185,16.93876076,16.75696754,15.79267311,15.71656895,14.98459244,14.37751675,14.00680637,13.28425217,12.54171562,11.86585236,12.30680943,11.40119171,11.28397846,10.58323574,10.45198154,9.66599369,8.715044975,9.052078247,8.428762436,8.376065254,7.180467606,7.146725178,6.967208385,6.408110619,6.163322926,5.943415642,5.624700069,5.254361629,5.418427944,4.783297062,4.573441029,4.61609745,4.570101261,4.103522778,4.076116085,3.714100122
265,22.54506874,7.674463272,2.814467669,1.691349149,1.880336881,1.533495426,1.802341104,2.972382784,5.562644958,9.742822647,13.9767952,14.81429577,13.52716255,9.468457222,6.820621014,5.009557724,4.686872959,4.819961071,4.799340248,4.822011948,5.369639874,5.638475895,5.807370663,6.089225769,6.067998409,6.111660004,5.719239235,6.295239925,6.529023647,6.473362446,6.586507797,6.672701359,7.048404694,7.457622528,7.163038731,7.431119919,7.804524422,7.903809547,7.89128685,8.325031281,8.486826897,8.815873146,8.992559433,9.765340805,10.69373894,10.72185612,11.28426933,11.73335552,12.27882195,12.55005741,13.12612247,13.94070911,15.12471485,15.25337601,16.52383614,17.2467289,17.906847,19.07709885,19.91911888,20.89284134,18.72047043,20.29398346,21.59156036,22.58458328,23.30561829,24.2677269,25.95593452,26.72468376,28.11033249,28.95640755,29.68710518,31.19698906,30.7701683,32.26852798,32.46537399,33.55052185,33.8623848,34.54285049,34.87526321,35.16892242,35.25950623,35.59759903,36.05770874,35.59024811,35.28681946,35.82474518,35.49993515,35.95049667,36.06339264,35.823452,36.05154037,36.31906509,35.32037354,35.45396042,35.83808517,33.44550323,33.67116547,33.08852386,33.42201233,32.59363937,32.53939056,32.82520676,31.59149742,32.15223694,32.19439316,30.97470093,30.05966377,29.85250854,29.14418602,28.93842506,28.12951851,27.24825478,26.75336647,26.02956009,25.57879639,24.07050133,24.61897469,23.8268261,23.0033989,22.00863266,21.12935257,21.14075089,20.93714905,19.44746208,18.46338654,18.74352837,17.98286629,17.40052223,16.57112503,16.35763359,15.63855553,15.08729172,14.13364124,13.78221416,13.39977932,12.98457146,12.76308537,12.10554409,11.67053127,11.21704483,10.84253502,10.17811775,9.671269417,9.502940178,9.27312851,8.560622215,7.846814156,7.534105301,7.687050819,7.21340847,6.806661606,6.273154259,6.150499821,6.046665668,5.653395653,5.646581173,5.136492729,4.656579971,4.870165348,4.503578663,4.22944212,4.003056049,3.643998861,3.584788084,3.670628071,3.218990564
270,86.30005646,83.01794434,50.70753479,18.57069588,5.127388477,1.853613377,2.056591749,1.916854143,2.336496353,2.942841768,3.528340101,5.730331421,9.87451458,15.20188713,18.31589699,16.47856712,12.49231148,9.121935844,6.631135464,6.348528385,6.496594906,6.169987202,6.610718727,6.564310074,6.852483749,6.689856529,6.491110325,6.934995174,7.321745396,7.217372894,7.400644302,7.185621738,7.478704453,7.650102615,7.758714199,7.726486683,8.113884926,8.264324188,8.372076035,8.706711769,8.712779045,9.327306747,9.824744225,10.05766582,9.86336422,10.91896725,11.05791759,11.04223537,11.95308876,13.08483887,13.21445084,13.39615822,14.27530956,14.55739403,15.84551239,16.06363487,16.9138279,17.72166252,18.62374115,18.99800301,18.03475571,18.91607285,19.34947205,20.30940628,21.36678696,22.11644363,24.07217026,24.1470089,24.65232849,26.31640816,26.5835762,27.51140213,28.59438705,28.65128136,28.94346046,30.8583622,29.78714371,31.15020752,31.33543968,31.39885139,31.45171547,32.5553627,31.54316521,32.21071625,32.61965942,32.27444077,31.25689507,32.57582474,32.76287079,31.59522629,32.48003006,33.45058823,32.21551895,32.03722382,32.20357132,30.29200554,30.17020607,30.49414444,30.32221031,30.28274918,30.00319099,29.99315834,29.32305527,29.04361153,28.83158302,28.25245285,28.51635742,27.61051941,27.62739372,26.02724838,25.85041237,25.30674744,25.19861412,23.81759071,23.65663719,22.70153618,22.79676437,22.20075226,21.43335915,20.98540115,20.73338318,19.67330551,19.0807724,18.11842155,17.87132454,17.60420799,17.12119865,15.73821259,15.52075481,15.46846485,14.90534496,14.20902824,14.04633427,13.3477478,12.80361843,12.4763813,11.91499043,11.56571007,10.90037251,10.73968506,10.11976719,9.761600494,9.410352707,9.166807175,8.753426552,8.267471313,7.906591892,7.992512226,7.496529579,6.876173973,6.194018364,5.973101616,5.672194481,5.614975929,5.900895596,5.03710413,4.796864033,4.888167381,4.603537083,4.344606876,4.03800869,3.908468485,4.157718658,3.847369432,3.555907249,3.639233351
