Wavelength (nm),Intensity (a.u.),Z Axis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ELA_116_EM_270.00,ELA_116_EM_272.00,ELA_116_EM_274.00,ELA_116_EM_276.00,ELA_116_EM_278.00,ELA_116_EM_280.00,ELA_116_EM_282.00,ELA_116_EM_284.00,ELA_116_EM_286.00,ELA_116_EM_288.00,ELA_116_EM_290.00,ELA_116_EM_292.00,ELA_116_EM_294.00,ELA_116_EM_296.00,ELA_116_EM_298.00,ELA_116_EM_300.00,ELA_116_EM_302.00,ELA_116_EM_304.00,ELA_116_EM_306.00,ELA_116_EM_308.00,ELA_116_EM_310.00,ELA_116_EM_312.00,ELA_116_EM_314.00,ELA_116_EM_316.00,ELA_116_EM_318.00,ELA_116_EM_320.00,ELA_116_EM_322.00,ELA_116_EM_324.00,ELA_116_EM_326.00,ELA_116_EM_328.00,ELA_116_EM_330.00,ELA_116_EM_332.00,ELA_116_EM_334.00,ELA_116_EM_336.00,ELA_116_EM_338.00,ELA_116_EM_340.00,ELA_116_EM_342.00,ELA_116_EM_344.00,ELA_116_EM_346.00,ELA_116_EM_348.00,ELA_116_EM_350.00,ELA_116_EM_352.00,ELA_116_EM_354.00,ELA_116_EM_356.00,ELA_116_EM_358.00,ELA_116_EM_360.00,ELA_116_EM_362.00,ELA_116_EM_364.00,ELA_116_EM_366.00,ELA_116_EM_368.00,ELA_116_EM_370.00,ELA_116_EM_372.00,ELA_116_EM_374.00,ELA_116_EM_376.00,ELA_116_EM_378.00,ELA_116_EM_380.00,ELA_116_EM_382.00,ELA_116_EM_384.00,ELA_116_EM_386.00,ELA_116_EM_388.00,ELA_116_EM_390.00,ELA_116_EM_392.00,ELA_116_EM_394.00,ELA_116_EM_396.00,ELA_116_EM_398.00,ELA_116_EM_400.00,ELA_116_EM_402.00,ELA_116_EM_404.00,ELA_116_EM_406.00,ELA_116_EM_408.00,ELA_116_EM_410.00,ELA_116_EM_412.00,ELA_116_EM_414.00,ELA_116_EM_416.00,ELA_116_EM_418.00,ELA_116_EM_420.00,ELA_116_EM_422.00,ELA_116_EM_424.00,ELA_116_EM_426.00,ELA_116_EM_428.00,ELA_116_EM_430.00,ELA_116_EM_432.00,ELA_116_EM_434.00,ELA_116_EM_436.00,ELA_116_EM_438.00,ELA_116_EM_440.00,ELA_116_EM_442.00,ELA_116_EM_444.00,ELA_116_EM_446.00,ELA_116_EM_448.00,ELA_116_EM_450.00,ELA_116_EM_452.00,ELA_116_EM_454.00,ELA_116_EM_456.00,ELA_116_EM_458.00,ELA_116_EM_460.00,ELA_116_EM_462.00,ELA_116_EM_464.00,ELA_116_EM_466.00,ELA_116_EM_468.00,ELA_116_EM_470.00,ELA_116_EM_472.00,ELA_116_EM_474.00,ELA_116_EM_476.00,ELA_116_EM_478.00,ELA_116_EM_480.00,ELA_116_EM_482.00,ELA_116_EM_484.00,ELA_116_EM_486.00,ELA_116_EM_488.00,ELA_116_EM_490.00,ELA_116_EM_492.00,ELA_116_EM_494.00,ELA_116_EM_496.00,ELA_116_EM_498.00,ELA_116_EM_500.00,ELA_116_EM_502.00,ELA_116_EM_504.00,ELA_116_EM_506.00,ELA_116_EM_508.00,ELA_116_EM_510.00,ELA_116_EM_512.00,ELA_116_EM_514.00,ELA_116_EM_516.00,ELA_116_EM_518.00,ELA_116_EM_520.00,ELA_116_EM_522.00,ELA_116_EM_524.00,ELA_116_EM_526.00,ELA_116_EM_528.00,ELA_116_EM_530.00,ELA_116_EM_532.00,ELA_116_EM_534.00,ELA_116_EM_536.00,ELA_116_EM_538.00,ELA_116_EM_540.00,ELA_116_EM_542.00,ELA_116_EM_544.00,ELA_116_EM_546.00,ELA_116_EM_548.00,ELA_116_EM_550.00,ELA_116_EM_552.00,ELA_116_EM_554.00,ELA_116_EM_556.00,ELA_116_EM_558.00,ELA_116_EM_560.00,ELA_116_EM_562.00,ELA_116_EM_564.00,ELA_116_EM_566.00,ELA_116_EM_568.00,ELA_116_EM_570.00,ELA_116_EM_572.00,ELA_116_EM_574.00,ELA_116_EM_576.00,ELA_116_EM_578.00,ELA_116_EM_580.00,ELA_116_EM_582.00,ELA_116_EM_584.00,ELA_116_EM_586.00,ELA_116_EM_588.00,ELA_116_EM_590.00,ELA_116_EM_592.00,ELA_116_EM_594.00,ELA_116_EM_596.00,ELA_116_EM_598.00,ELA_116_EM_600.00
,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166
230,1.062619328,1.41442728,1.385998011,1.936342716,2.033286572,2.032037258,2.64116168,3.967196465,5.456301689,7.396892548,10.04084206,11.40239048,14.19659042,17.73342705,20.22235107,23.06543159,24.94462204,26.53819466,29.62429047,30.86017799,34.1871109,35.48184586,37.82496643,41.87195206,44.30914688,42.72673416,46.22781754,47.55359268,49.40756607,49.58334732,52.27001953,52.51939011,53.81710052,55.22222519,55.50106049,55.17181396,55.05277634,56.38180923,56.18529129,56.67202377,56.72579193,57.23480225,55.63551712,57.19022751,57.9690361,54.97156525,54.05054092,56.08209229,54.74499893,54.40763855,54.89778137,54.84280777,54.50077057,55.58047867,55.93954849,56.88437653,57.39243698,57.7213974,60.20397568,61.39858627,53.56734848,56.95543671,57.87091446,61.12997055,63.16197586,64.90483093,66.41841888,67.64649963,67.80405426,71.27415466,71.89370728,74.30841064,74.89298248,74.66648102,75.73054504,73.6962204,76.09315491,77.62851715,73.92954254,75.61876678,74.1680603,75.8681488,73.02677155,72.77198029,70.52602386,68.73204803,68.83618927,67.96100616,66.84626007,67.90917969,66.76269531,65.95928192,64.50972748,64.15235138,62.21961975,58.32123184,58.15892029,56.43942261,55.76435471,54.98645401,53.46395874,53.56072235,49.98426056,50.0079422,50.07309723,46.8817215,45.69062424,44.7545433,43.07967377,43.46204376,41.32466888,40.43195343,39.32259369,37.36007309,36.78606033,34.99136734,34.59964752,33.06860352,32.58883667,32.13545609,29.82850838,28.79468727,28.59989166,26.58015633,25.93840408,26.08941269,24.55934715,24.20372009,22.42240906,22.15924263,21.29906654,19.61758423,19.52218819,18.76490021,17.82195473,17.40225601,16.8990612,16.46611595,15.4382391,14.95002937,13.6585598,13.56613445,12.85647202,12.24959755,11.27142811,11.57416248,10.76611233,10.36223793,9.256754875,9.577157021,8.305317879,7.993528843,7.906034946,7.356155872,7.487260818,7.040555,6.81447649,6.272699833,5.365572453,5.857568741,5.288178444,5.120936394,4.598629475,4.617063522,4.274419308,4.25915432
235,1.098645568,0.902040362,1.285053968,1.353088021,1.573296428,1.017946839,1.469366908,2.007418394,2.802019358,3.705679655,4.8752141,5.813341618,7.529052734,8.056892395,9.905759811,12.28065586,12.26893044,14.8691721,15.92238712,17.39663124,18.69849205,21.41272736,21.71729279,22.39770126,24.1531868,24.32694817,25.1045742,25.25383377,28.18435287,28.57326126,29.04946899,30.23817444,32.16786575,31.75100708,33.24728012,32.77924347,33.24925613,32.95806503,34.808815,35.1181488,34.54814911,35.4695816,35.00995636,35.74379349,35.61154175,35.32416916,36.31170654,37.24627304,36.29434586,39.0277977,39.19961929,37.98986435,40.04251862,41.16598129,41.89544678,43.44573975,43.53837585,45.14717484,47.74975586,48.95405197,43.36243439,45.55201721,47.48574448,50.90393448,52.15286636,54.30659103,53.56216431,57.06280136,59.61159515,60.42095566,61.12234116,61.01839447,63.34785461,64.09977722,65.89299011,66.9495163,65.41506958,67.59442139,69.29092407,67.65050507,67.51319885,66.30574036,66.94301605,64.19598389,65.53366852,61.82133484,62.15522385,62.56567764,61.29540253,59.2274704,59.74079895,59.8284111,58.20153046,58.03568649,57.35287857,53.61024475,52.44272995,53.32913208,50.43305969,50.8817749,49.55662155,46.64900208,47.61621857,45.91239548,44.82710266,45.47416306,43.18637085,42.62423706,40.02203751,39.7559967,38.84590912,38.01111603,35.91977692,35.64927673,34.39806366,33.60568619,32.11503601,32.15235138,30.3291626,30.80854225,28.53930664,27.76226997,27.18754959,25.22737312,24.30647278,25.39839363,23.35839462,22.5300312,21.88367462,20.35475731,21.9059906,18.70513725,18.98695374,17.81864166,17.08633995,16.63388443,15.59938526,14.39515877,13.81682682,13.5083046,12.91773415,13.22138214,11.24081612,11.58699703,10.53334999,11.01189804,9.889614105,9.818703651,9.071430206,7.906472683,8.075223923,6.835680008,6.849968433,7.28101635,6.872006893,6.099033356,5.845543861,6.355454922,5.426921368,5.323777199,5.131127357,5.281785488,4.827970982,4.322185516,4.082672596,4.48500824
240,2.241130352,1.361335874,1.40974164,1.070998788,0.92387867,0.895563483,0.754842162,0.89825809,1.26377058,1.534424663,1.936747551,2.602533102,3.043774128,3.399461508,4.18442297,5.026288033,5.689905167,6.092600346,6.460084438,8.234190941,8.718960762,9.729663849,10.18588734,9.899329185,10.62430286,12.27368355,12.72607517,12.60412502,14.23441601,13.9614172,14.18171692,14.92570877,16.00727081,16.22117615,17.48747063,16.39983749,17.79221916,18.66527367,18.2133007,19.10593224,20.16969872,20.69317627,19.98393059,22.72725868,21.73696899,22.64720726,21.89837265,23.71315002,25.02714729,26.22212601,27.09598541,27.17860603,28.40660858,30.67305946,31.6726532,33.37637711,35.37030029,35.28035736,37.32591629,40.13627243,36.49211502,38.35508728,41.20685196,41.91958618,45.52975464,45.37625122,47.67075729,49.38146973,52.18702316,51.52589417,55.93844604,56.06626511,57.61531067,56.51758957,58.4737854,60.0292778,59.01898575,59.53193283,58.5293045,58.51113892,60.10004807,58.91436768,60.71376801,58.942173,58.87455368,57.02588654,58.12454987,56.82909012,57.43823242,54.58137512,55.10971451,54.7261467,53.17934418,54.23502731,53.91313171,49.23271561,48.62879562,47.84023666,47.51889801,48.06254578,46.66577148,46.04024506,44.95946503,43.77309036,44.12948608,42.48781586,41.94429016,38.89845276,38.64278793,38.80148697,37.11931229,36.60800934,34.41637039,34.74956131,33.67493057,31.74313545,30.98952103,30.111166,30.07735825,28.42799568,27.37960052,25.92486763,26.67472076,24.00620651,23.53631783,23.18183136,22.77409363,22.33307266,20.85391808,19.89595032,18.16122627,19.50443649,17.20047379,17.15615654,17.04459572,17.19526291,15.04219246,14.62799931,13.60049343,13.02794552,12.68919468,12.5833931,11.87495995,11.19114017,11.08220959,9.525651932,9.605525017,9.377836227,9.30051899,7.931431293,8.047296524,6.919258118,7.393404484,7.133651257,6.273620129,5.825743675,6.089219093,5.094006062,5.203793049,4.784564018,4.791410446,4.780953884,4.833635807,4.334607601,4.404592037,4.000880241
245,13.95739555,9.443425179,4.362023354,1.876812458,1.193152666,0.698713064,0.653030515,0.921969056,1.112923145,1.080463409,1.447600484,1.786016107,2.176352739,2.74800539,2.940570354,3.593760967,3.946840286,4.309886456,5.029702663,5.541754723,6.27024889,6.35243082,6.996333599,7.902675152,8.044975281,8.376116753,9.065166473,9.326252937,10.29555607,10.61487103,10.40423107,11.01181316,11.16792774,12.5022583,12.32373047,13.4509697,13.5778656,13.81892872,14.49624729,15.10532475,15.26037693,15.65696907,16.41366005,16.84312439,18.07269859,18.71782112,19.65272331,20.45805359,21.09316635,22.22366905,23.06013107,24.76748276,24.36749077,26.86749077,28.49389839,28.90712357,31.14660835,32.30748367,34.28268433,35.59054947,32.51737213,34.15076065,37.11472702,38.83931732,40.40565872,42.5659256,43.253582,45.73593521,46.2959137,47.90031052,49.15164185,50.61665344,51.88442993,51.84785843,52.77404785,55.18566895,54.54950714,54.71146011,55.03172302,55.30989456,54.93460464,54.67298508,56.4758606,55.06352615,53.77471161,54.30434418,54.139431,53.41053391,54.26385117,51.94350052,52.95665359,52.21464539,51.21776581,50.72361374,49.63195801,46.66795731,46.42573929,46.07183075,45.7886734,45.73484421,44.63143158,43.53087997,43.18791199,41.08730698,41.09197998,40.33483124,39.07163239,38.36909103,38.09141922,36.68094254,35.90906906,35.46779251,33.82969284,32.67813492,32.10572052,30.70223236,29.89836884,30.1307869,28.61720848,27.15195274,26.66846275,26.25482559,24.4434185,23.83010101,23.16348267,22.47390556,21.43578529,21.08843613,19.75647736,19.08496475,18.95309258,18.00652313,17.99603462,17.0625782,15.40661144,15.52007961,15.27231121,14.0329237,14.12567616,13.51558399,12.89387989,11.68471813,12.06579494,10.852705,11.01639843,9.98395443,9.726491928,9.420320511,9.10594368,8.476243973,7.500602245,7.296604633,7.28984499,6.812634945,6.509148598,6.39586401,5.895201206,5.897912979,5.31342411,5.300202847,5.012038231,4.940176964,4.28523922,4.335802555,3.998296261,3.979077339
250,11.66983414,16.44066429,17.12935829,12.69917011,7.381720066,2.816605806,1.387524724,1.145361543,1.206719398,1.200707078,1.502296805,1.85537672,2.388211489,2.68750596,3.128648043,3.6720469,3.944652081,4.481004238,4.938618183,5.885365486,5.924348354,6.474033356,7.213645458,7.666461945,8.168809891,8.124017715,9.029675484,9.209130287,9.685255051,10.06696701,10.73677349,11.42206573,11.21691132,11.65803719,11.85057735,12.1740818,12.80484009,13.45555878,13.69249725,14.15449905,14.70116329,15.09776211,15.53378296,16.45043755,16.51799393,18.0665741,17.63640594,18.83095169,19.30500793,21.14040565,21.45511436,22.82495499,23.09598541,24.68896103,25.21107864,27.11215401,27.45353699,30.1336956,30.75834656,32.0959816,29.50629425,31.49547386,33.65803528,34.50714493,36.8067627,38.40825272,40.24592209,41.3717804,42.81650925,43.77721024,44.83797836,44.80330276,46.7840271,48.41801071,49.16937637,49.86396027,51.12842941,50.69391251,52.21130753,50.436409,51.23788071,52.07063293,51.7401886,50.73489761,50.67912674,49.97027206,49.97951889,48.80722046,51.53883362,49.18370056,47.41129303,47.91185379,48.85966492,48.21718597,47.83715057,43.91941452,43.99362946,43.47716522,43.02147293,41.88872147,42.03953552,42.00407028,40.62834549,39.75914001,39.41125488,38.76480103,36.80791473,36.14002228,36.17758942,34.5667572,34.20944214,33.49052429,32.14798737,31.60560417,30.30608177,30.40333176,29.07424164,28.0310421,27.64076996,26.22603798,26.10672188,25.19439507,24.43585777,24.06211662,22.70839119,22.42600441,21.55704308,21.34344864,20.1588974,18.99952507,18.79321671,17.84669495,17.1941185,16.76572609,15.50086117,15.17506695,14.53742123,14.31569767,13.62834549,13.64778042,12.57881546,11.88020992,11.34213543,11.30402088,10.82152939,10.37381077,9.641551971,9.362375259,9.168129921,8.461910248,7.438898563,7.442397118,7.169529915,6.66820097,6.170280457,6.521339417,5.980848312,5.86061573,5.406367779,4.965493679,4.971272469,4.535741329,4.63065958,4.180593967,3.986416817,3.933160782
255,2.196918726,2.204415083,5.195634842,9.44311142,14.33112907,13.51625633,11.21136665,7.104011536,4.273344517,3.102524996,2.469855785,2.658937931,3.145534515,3.641479731,4.453602314,4.880697727,4.876022816,5.835969448,6.243138313,6.649003506,7.562823772,7.99350214,8.1902771,8.555529594,9.129863739,9.386338234,10.83510017,10.44059372,10.83506203,11.41055393,12.27466583,12.30406094,13.09710217,12.77900696,13.80219841,13.88715744,15.01550865,14.90687847,14.71062565,14.64975452,16.12991905,15.57780647,17.10455513,17.11570358,17.61565971,17.82601738,18.01425552,19.05836105,20.06064224,20.58175468,20.7566433,22.06678391,23.04676628,23.58057022,25.10433578,25.43312836,25.75022125,27.39370346,28.40608025,30.37780762,26.79898071,28.38249969,30.54102898,32.13598633,34.03103256,35.94490814,35.51142502,37.11210632,38.05242157,39.5290947,41.55061722,42.13041306,42.57521439,42.71566772,45.72087479,46.01891708,45.93551636,47.44830322,46.71971512,48.01356125,48.1229248,47.38146973,46.28748322,46.47875977,46.85993958,45.59780884,46.71917343,46.88597107,45.55686569,46.11419678,44.81443024,45.32426071,46.67152023,45.34493637,44.49781799,40.76917267,42.33786774,41.65821457,40.39028168,41.00247192,40.13213348,38.47567749,37.53224564,37.97494125,37.54810333,36.78649139,37.09818268,34.55279922,33.98125458,33.6349411,31.68276596,32.54256058,31.86212158,30.6598568,30.43906784,29.51253891,27.99402809,27.48402214,26.45153999,26.37092209,24.97069931,24.99176788,23.50411415,23.33448029,22.55907631,21.52535057,20.19260788,19.72296143,19.19839287,18.85143852,17.95829964,17.87169266,16.05037117,16.79198837,16.02601433,14.68338585,14.5055418,13.99148941,12.94026184,13.11180687,12.95068169,11.58417988,11.31923199,11.60930443,10.51200867,10.20153999,9.405874252,9.419137955,8.396338463,8.19748497,7.873190403,7.516070843,6.931246758,6.688259602,6.311987877,6.514235973,5.723109722,5.424263954,5.071420193,5.229015827,4.734597683,4.500757694,4.164849281,4.072482586,3.970767975,4.017810822
260,2.428266764,2.055470705,1.99364686,1.682863474,2.26608181,2.810551167,6.678131104,12.75955677,17.11083984,15.88490582,10.13716412,6.46694994,5.112661362,4.967267513,5.706489563,6.528038502,6.783985138,7.326187611,8.225376129,8.704607964,9.535461426,9.838541985,10.44820786,11.36189365,12.1613369,12.2856741,12.40325832,13.91516685,14.07451057,14.21554375,15.5422821,15.81334591,15.5972023,16.59607124,16.51653099,16.62745285,17.3721447,17.34609032,17.9321022,18.48632431,18.88937759,19.05894661,19.86455345,19.45552063,20.24599838,20.55710793,20.88509941,20.50054169,21.4394722,21.92055321,22.63189125,23.40006447,23.17221642,24.55437279,24.81039619,24.91745758,25.37929726,27.25538445,28.53927612,28.71371841,26.31832314,28.47007561,29.07253075,30.48178482,30.72232628,32.70168686,33.8934021,34.68132401,36.45090485,37.31077957,38.3164711,39.26978302,40.64138794,41.44012833,42.22180176,42.89857483,43.87020493,44.859375,44.64252853,44.33523941,44.74409866,44.32337952,45.23028183,44.11146545,44.27136612,44.81692886,44.65449905,44.56145859,44.60679245,44.27366638,44.16622925,43.46772766,44.13520432,43.84574509,43.62163925,41.2924118,41.49748993,41.10245132,39.70814896,40.23473358,38.98233414,38.73979187,37.54051971,37.90348053,36.37102509,36.520401,35.89509964,34.49472427,34.68944168,33.35100937,32.97970581,32.30059814,30.90795517,30.64486313,30.78432846,29.17527962,28.50741768,28.0782299,27.53503418,25.96283531,25.32712746,24.51164818,24.85816574,23.84100914,23.29095268,21.94547272,21.58402634,20.71790123,19.98827362,19.25728416,18.94698143,17.56888008,16.87858391,16.76189423,16.03495979,15.26407909,14.85238361,14.25946712,13.73173904,13.21637535,12.94265652,11.82683372,11.891922,11.13643646,10.87164211,10.59489632,9.703965187,9.202290535,8.985634804,8.633579254,8.160356522,7.271728992,7.000920296,7.171755314,6.681127071,6.25737381,5.945382595,5.972344875,5.372599602,5.3414011,4.873029232,4.937479019,4.794413567,4.335342407,4.314631462,4.144498348
265,31.96269226,9.104002953,3.626339674,2.038432837,2.061989307,1.73967433,2.096850395,3.067235947,6.831805229,10.52769184,15.77261353,16.67424011,14.49817944,11.37906265,9.106787682,7.542656898,8.483489037,9.146911621,9.275584221,9.583978653,10.56128502,11.57069588,12.42947769,12.71384621,13.4914217,13.75258255,14.63120174,14.75470161,15.73890686,16.29355431,15.99812794,16.64344978,17.08180809,18.11355782,18.05241203,18.79287338,18.87231636,19.31186295,19.15164757,18.89470291,20.1580677,20.31885338,20.52875328,20.58088112,20.28853989,20.36147118,21.3586483,21.70548058,21.24187279,21.69283104,21.81806374,22.64473534,22.5528717,23.42131615,23.79626083,23.75605392,24.49687195,25.49871063,26.23559761,26.30388832,24.09479523,25.30856705,26.09626579,28.3153801,28.55232048,29.29213524,30.38817215,30.5228672,32.12311554,33.68413925,33.32181549,35.47380829,35.56145096,36.97251511,38.3513298,38.07500458,39.30439758,39.62262344,39.29030228,40.13024521,39.69342804,39.95991135,40.22579193,39.63933945,39.93035507,39.90986633,39.49940491,40.07180405,39.64597321,40.26894379,39.41399002,39.95442963,39.66271973,38.93395233,39.90029526,36.20363998,36.68615341,35.27058792,36.22784805,36.89763641,35.3523941,34.19995117,34.06974792,33.79426956,33.3600235,32.94303513,32.36997986,31.06230736,31.04861069,30.17442131,29.80787659,29.33349228,28.15310669,28.27717209,27.75058937,26.00018883,26.19111252,25.02408409,24.79408836,23.61014748,22.58480453,23.01036263,22.56906128,21.84631729,21.39772415,19.93253517,19.79818153,18.87914085,18.05385017,18.44190216,17.22080803,16.30846405,16.15513229,15.80148602,14.95921898,14.30796146,14.14270878,13.42568207,12.98142338,12.44056225,11.4591732,11.47636127,11.21929455,10.36558342,9.907497406,9.614138603,9.082324028,8.5284338,8.458396912,7.972956181,6.922862053,7.16180706,6.630307198,6.267007828,6.416999817,5.689610004,5.712050915,5.413300514,5.049559116,4.909871101,4.74434185,4.615747929,4.61191082,4.251853466,3.669243574,3.642899513
270,143.3381653,127.9372635,75.37500763,23.97648621,6.190884113,2.238501072,2.451800346,2.497477055,3.026752949,3.89503479,5.401740074,8.486856461,13.14129734,18.7798996,22.0895195,20.62197685,17.68612671,14.45142841,13.10316563,13.41133022,14.21696281,14.53759766,15.81536674,15.63033867,16.14911652,16.55492401,17.68516922,18.45780945,18.96769714,19.40887451,20.16451645,21.00248909,21.49619293,21.94572449,22.0205555,21.69028473,22.2404995,22.39286041,22.34631157,23.14225197,22.95145035,23.80889511,23.50444603,23.37868881,23.25466347,23.3601265,23.55779648,23.99172592,23.83652687,24.45934486,24.4715538,24.54270935,24.04953957,25.0360775,25.20072365,24.6157093,25.59096909,26.14068794,26.64974022,26.6953373,23.97617149,25.15080452,25.98493385,26.69316292,28.45071602,29.1182766,29.88582039,30.09566879,30.97763062,31.66147614,32.55159378,32.83885956,35.27570343,35.02244949,34.9457016,36.92354584,36.68989182,37.80569458,37.42646027,37.23285675,38.53385544,37.61804962,38.13718033,37.81622696,37.53096008,38.30367661,37.19073105,36.65803146,37.78364944,36.84317398,37.20468521,36.97837067,37.71400833,36.86371231,37.20699692,33.98096466,34.4957428,34.31273651,34.16238022,34.88312531,32.98748398,32.79615402,32.48852158,32.00695801,31.30649757,31.29750061,30.9406395,30.35212898,28.47012901,29.13856888,27.93474197,27.75642967,27.4731636,26.72681999,25.40030098,24.95154572,24.43583298,23.56875229,23.19498634,22.58675003,23.01216316,21.45787048,21.88725471,20.3799572,20.60155678,20.25527,18.84370613,18.83368111,17.46699715,17.18924713,16.6495533,16.13696861,14.86100578,15.41169548,14.83500862,13.83098412,13.69984531,13.24896812,12.62850189,11.90540314,11.53512287,11.11363602,11.09848976,10.24152088,9.90901947,9.159064293,9.153572083,8.58220768,8.404943466,7.830591202,6.734994411,6.707816124,6.522707462,6.186209679,6.375734806,5.863185406,5.367450714,5.18753767,5.250533581,4.903457165,4.481055737,4.232484341,4.068720341,3.658200264,3.705853701,3.507920027
