Wavelength (nm),Intensity (a.u.),Z Axis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,928_EM_270.00,928_EM_272.00,928_EM_274.00,928_EM_276.00,928_EM_278.00,928_EM_280.00,928_EM_282.00,928_EM_284.00,928_EM_286.00,928_EM_288.00,928_EM_290.00,928_EM_292.00,928_EM_294.00,928_EM_296.00,928_EM_298.00,928_EM_300.00,928_EM_302.00,928_EM_304.00,928_EM_306.00,928_EM_308.00,928_EM_310.00,928_EM_312.00,928_EM_314.00,928_EM_316.00,928_EM_318.00,928_EM_320.00,928_EM_322.00,928_EM_324.00,928_EM_326.00,928_EM_328.00,928_EM_330.00,928_EM_332.00,928_EM_334.00,928_EM_336.00,928_EM_338.00,928_EM_340.00,928_EM_342.00,928_EM_344.00,928_EM_346.00,928_EM_348.00,928_EM_350.00,928_EM_352.00,928_EM_354.00,928_EM_356.00,928_EM_358.00,928_EM_360.00,928_EM_362.00,928_EM_364.00,928_EM_366.00,928_EM_368.00,928_EM_370.00,928_EM_372.00,928_EM_374.00,928_EM_376.00,928_EM_378.00,928_EM_380.00,928_EM_382.00,928_EM_384.00,928_EM_386.00,928_EM_388.00,928_EM_390.00,928_EM_392.00,928_EM_394.00,928_EM_396.00,928_EM_398.00,928_EM_400.00,928_EM_402.00,928_EM_404.00,928_EM_406.00,928_EM_408.00,928_EM_410.00,928_EM_412.00,928_EM_414.00,928_EM_416.00,928_EM_418.00,928_EM_420.00,928_EM_422.00,928_EM_424.00,928_EM_426.00,928_EM_428.00,928_EM_430.00,928_EM_432.00,928_EM_434.00,928_EM_436.00,928_EM_438.00,928_EM_440.00,928_EM_442.00,928_EM_444.00,928_EM_446.00,928_EM_448.00,928_EM_450.00,928_EM_452.00,928_EM_454.00,928_EM_456.00,928_EM_458.00,928_EM_460.00,928_EM_462.00,928_EM_464.00,928_EM_466.00,928_EM_468.00,928_EM_470.00,928_EM_472.00,928_EM_474.00,928_EM_476.00,928_EM_478.00,928_EM_480.00,928_EM_482.00,928_EM_484.00,928_EM_486.00,928_EM_488.00,928_EM_490.00,928_EM_492.00,928_EM_494.00,928_EM_496.00,928_EM_498.00,928_EM_500.00,928_EM_502.00,928_EM_504.00,928_EM_506.00,928_EM_508.00,928_EM_510.00,928_EM_512.00,928_EM_514.00,928_EM_516.00,928_EM_518.00,928_EM_520.00,928_EM_522.00,928_EM_524.00,928_EM_526.00,928_EM_528.00,928_EM_530.00,928_EM_532.00,928_EM_534.00,928_EM_536.00,928_EM_538.00,928_EM_540.00,928_EM_542.00,928_EM_544.00,928_EM_546.00,928_EM_548.00,928_EM_550.00,928_EM_552.00,928_EM_554.00,928_EM_556.00,928_EM_558.00,928_EM_560.00,928_EM_562.00,928_EM_564.00,928_EM_566.00,928_EM_568.00,928_EM_570.00,928_EM_572.00,928_EM_574.00,928_EM_576.00,928_EM_578.00,928_EM_580.00,928_EM_582.00,928_EM_584.00,928_EM_586.00,928_EM_588.00,928_EM_590.00,928_EM_592.00,928_EM_594.00,928_EM_596.00,928_EM_598.00,928_EM_600.00
,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166
230,0.54416883,0.822614014,1.155685902,1.100799799,1.273067236,1.422033548,2.043504,2.794131279,4.278693199,5.056057453,6.538043976,8.218835831,10.07875824,11.67544651,13.0275135,14.04075146,16.97260666,16.62020302,18.28728104,18.50343513,19.68053055,19.31512451,21.49724388,21.82273293,22.45891571,21.37288475,22.86016655,24.68734932,24.33818054,25.28892517,26.40550804,25.49597168,26.76605034,25.74991798,27.07313347,26.38965416,27.89200401,26.75973892,28.32156181,28.4757328,28.35786819,28.96924973,28.65123177,29.71152115,30.69591522,29.9587822,31.54612732,31.89128304,31.15525436,34.51990891,33.80014801,35.62466431,37.95988846,38.70229721,40.43616867,42.41934586,43.829422,46.7532692,49.04518509,51.40804291,47.19668198,49.89848709,53.82893753,54.63718033,58.43575668,61.84085464,63.98054504,64.64302063,66.3952179,66.79351044,70.17254639,71.70820618,70.76203918,73.09365082,75.8175354,74.19072723,73.39855194,74.4050827,72.76556396,73.01535797,72.12069702,72.50372314,68.41437531,69.12427521,68.58027649,67.93619537,66.89460754,64.92807007,64.77925873,62.76564407,61.80447006,62.29302216,61.07592392,59.36737442,58.73321152,51.80680847,53.61419678,52.51134491,51.78565216,49.65448761,48.52362442,47.43198395,47.78679276,46.00305557,45.05391312,43.70282364,41.66144562,40.99543381,40.8458786,39.16671371,36.81254959,36.34317017,35.85073471,33.61689758,32.82388687,31.8974514,31.67687035,29.92673111,28.85935974,28.27803993,27.33779716,26.64704704,24.77542877,25.12603569,23.31231499,22.85307884,22.27323532,21.11661339,19.95630455,19.44034004,18.81150818,18.54322815,17.04440308,16.19834518,16.22203445,14.8926878,14.24312019,13.75949192,13.78272533,13.27523327,12.35239792,11.57290268,11.51000404,11.26574802,10.31526279,9.557278633,9.267564774,9.117525101,9.33514595,8.205681801,6.790149212,6.731686592,7.068831921,6.414909363,6.390732288,5.927027225,5.287925243,5.56825304,4.87088871,5.085859299,4.669931412,4.550623417,4.508176327,4.197844028,3.719465971,3.613868952
235,0.887835324,0.737567782,0.582825243,0.683022797,1.096436858,0.935057223,0.717313886,1.123249769,2.195030212,2.048754215,3.142139196,4.19527626,5.820322037,6.613730431,6.957310677,8.287529945,9.866130829,9.709195137,10.73611832,11.49243927,12.41964149,12.69519043,13.07466316,13.0367136,14.0819788,13.53551865,13.9567585,15.18235111,14.73529625,15.9098177,15.93020725,17.1221447,17.43003845,16.2700367,17.27022362,17.94849777,18.74849319,19.33362198,18.82327652,19.82751656,20.52801895,18.8507309,21.53044891,21.33288765,22.47729111,23.23490715,23.07331085,25.43935585,26.02949524,25.95079613,28.61467934,30.44490433,31.67844582,32.31501389,34.63536453,36.55682373,38.92278671,41.62597656,42.40589142,42.43078613,40.16976166,42.90166473,45.15976715,48.63372421,50.81158066,51.76549911,55.03580093,55.79860306,58.08284378,60.10334015,60.51548767,60.00114822,64.88874817,64.10375977,65.35652161,65.53900146,63.09687424,64.50953674,65.48105621,66.46347046,65.17929077,64.94979095,61.42495346,63.3265152,62.3439064,59.49110794,58.35279465,57.64127731,59.67351913,57.38280106,55.51587677,55.59853363,56.39081955,54.15310287,55.62550354,48.7366066,45.87446594,47.16866302,47.46308899,45.83229446,45.97455597,43.00801086,44.27981949,40.61323166,39.64826202,40.80151367,39.11817932,36.79976273,36.90057373,36.36238098,34.87277222,33.53580856,34.71435165,31.62830353,30.43950462,30.83168221,29.01495171,27.74286842,27.27656174,26.25213242,25.07027245,24.94281197,23.27020073,23.94157219,21.51012802,21.1738739,20.70314217,19.68073845,17.86821556,17.16467094,17.56181908,17.27097893,17.34059906,14.92406654,14.11968994,14.17471981,13.22773933,12.87728977,12.42726898,11.35727215,11.24192905,11.10919476,10.22336102,10.06945229,9.532457352,9.285839081,9.124302864,7.783791065,8.580356598,7.088322639,6.990772724,6.988381863,5.650598526,5.977696896,5.550779819,5.447236538,5.342932224,5.095670223,4.953580379,4.716481209,4.489644527,4.422602654,4.264078617,4.076272488,3.99563241,3.265631199
240,1.805445552,1.333286405,1.010044694,0.677958786,0.763253152,0.476140141,0.476442158,0.897845089,1.147475123,1.641572714,2.092263699,2.562092066,2.39116931,3.807750702,4.012886047,4.813673496,4.935292721,5.752244949,6.292237759,6.834701061,6.761337757,7.63647747,7.683433533,8.053710938,8.227975845,8.769578934,8.134759903,8.836156845,8.942974091,9.325083733,10.4438343,9.746322632,9.669153214,10.43179703,10.66658783,11.29018116,11.94120979,12.25269032,12.55423355,13.44364357,13.67865562,13.1862669,15.23508263,15.19940186,15.86614227,17.96859169,18.68792534,19.44844437,20.97149467,21.04101563,22.41312599,23.44790077,25.08302307,26.6031208,28.67871094,30.27490997,33.39395142,34.7674942,36.05075455,36.74164581,35.00269318,37.41261292,40.05894089,41.30136871,44.64152908,46.59635925,46.83265686,49.20918655,50.88051987,53.67161942,53.24522018,53.91068649,55.89716339,58.55841064,58.72320557,57.24186325,59.07504272,58.70300674,58.42406845,59.08036804,59.86037064,57.34637451,57.12449265,56.82812881,56.00214005,54.37931442,53.43267822,54.38235855,53.1120491,52.59791946,51.1920433,51.14297485,50.00351715,49.54024887,47.93029022,45.3876915,43.44376373,44.5314827,43.09659576,44.17157745,43.17062759,41.31933594,40.72736359,39.94509125,39.48175812,37.85746765,37.48264694,37.2015686,35.34042358,34.2971077,32.91977692,32.7955246,31.62061119,29.37776375,28.57930565,28.99643898,27.97089386,27.96369934,25.54409599,24.2098465,24.92236328,23.7226429,22.16351509,21.92610359,21.40983582,19.82922935,18.61010361,19.36129379,19.07095718,17.89723969,17.57379723,16.53746223,15.12200451,15.78888988,13.76312733,14.1350708,13.51678658,12.35855293,12.43913269,12.37718296,11.79304695,11.141325,9.983988762,10.14982986,9.258051872,8.878686905,8.855045319,8.641244888,7.097133636,7.657258511,6.900328636,6.013902187,6.15628624,6.285378456,5.595357895,5.265162468,5.053547382,5.031971455,4.557575703,4.976006508,4.410079956,4.104150772,3.884781837,3.602617025,3.598973274,3.421924591
245,14.23961735,9.757863045,4.534759045,2.000926495,0.896074355,0.553151429,0.51290369,0.593391657,0.839491904,1.118255615,1.33123672,1.957660317,2.413334846,2.898175955,3.167714596,3.988216639,4.10107708,4.843791485,5.04159832,5.284364223,6.079275608,6.546397686,6.62818861,6.813738346,7.295750141,7.181641579,7.24460125,7.597066402,7.618310452,7.776127338,8.148846626,8.212189674,8.729786873,8.555608749,9.004076958,9.581625938,9.131801605,9.619994164,9.985137939,11.03950882,11.47959518,12.13657093,12.58439541,13.55113602,14.02540016,14.82827759,15.81494045,16.6830864,18.25957108,18.3932209,20.47150993,20.80015564,22.96407127,24.61654282,24.79623222,26.78161049,28.81035423,30.5705719,32.44574738,33.87324905,30.82991219,33.87872314,35.30145645,37.6036377,39.8238945,41.44762421,43.02558517,44.65494156,44.77669907,47.3947525,49.23455429,49.22657394,50.49866486,52.22960663,51.76639175,52.52072525,53.59337997,53.38188553,53.50868225,54.34493256,51.98810196,52.14630127,51.95169067,51.82019806,52.08073807,50.27581024,49.9810257,50.26488876,49.70103073,49.44044495,48.63139725,47.97409439,47.75897217,46.62848663,46.22137833,42.26386261,42.25948715,42.44934845,41.25201035,41.09663391,39.91349792,39.98213959,38.95081329,36.78452301,36.9326973,36.1793251,33.94474411,34.04029846,34.19922256,32.62773895,31.6800518,30.96103477,30.99810791,30.24819183,28.75710869,28.03820038,26.72876167,26.53814316,25.08054543,24.4627285,23.61784172,22.59577751,21.71275711,21.20592308,20.33436966,19.89163017,19.3129921,18.46599388,18.02845764,17.48835945,16.28926659,15.57963467,15.43663692,14.50610447,13.78999805,13.70937443,13.53726292,12.28181934,11.99040127,11.66156006,10.86290264,10.22973633,9.871848106,9.829803467,9.487783432,8.712301254,8.459296227,7.988134384,7.612848759,7.406580925,6.904215336,6.342386246,6.227341175,5.910791874,5.571433544,5.224707127,5.099722385,5.235896587,4.570207119,4.331036091,4.472121716,4.424692154,4.062447071,4.034031391,3.34893012,3.529390097
250,10.87092781,16.61889839,18.20228195,13.65011215,7.749633789,2.607758284,1.313335299,0.957367003,0.995630682,1.167229533,1.5158571,2.164717913,2.612211227,3.241221905,3.561964989,4.189968586,4.602669239,5.174449444,5.70437336,5.777796745,6.300559044,6.49998045,6.721480846,7.332443714,6.984436989,6.950815678,7.335218906,7.270652294,7.509022713,7.458918571,7.777729034,8.118920326,8.203391075,8.321936607,8.838110924,9.135861397,9.314522743,9.395506859,9.840309143,10.05679321,10.39095211,11.33524895,11.59121418,12.05463028,12.82968998,13.29226494,14.09855652,14.91673183,16.69625664,17.31083298,18.47568512,19.30084419,20.47534943,21.41822624,22.83666611,24.54640579,26.0257988,27.45914841,29.66356659,29.97634315,27.8832283,29.60738564,31.77509117,34.31570816,35.18398666,37.35788345,38.46177292,39.89178085,41.03415298,42.71652985,43.61248398,44.46325684,45.26943588,47.70011902,47.77791595,48.05740356,47.53562164,49.94794846,47.98737335,47.67492676,49.70864487,48.44364548,47.7976532,47.44081116,47.15234375,48.28517151,47.47062683,46.12792206,45.61737442,45.01122665,45.34709549,45.17873764,44.27406693,42.78701782,43.34879684,40.27523804,40.19210815,39.55850983,38.9283638,38.49813843,38.00160217,37.4307785,36.33359909,35.96443176,34.60952759,34.46091461,33.46404266,34.14620209,33.0057106,31.99655724,31.11694527,29.56287193,29.00968933,28.06142616,26.87013245,26.22310257,26.10169411,24.15685272,24.47194099,22.97950935,22.89034271,22.38329697,21.47101212,20.81020927,19.71637154,19.38000488,18.87390327,18.22709465,16.77547073,16.3119297,16.29841232,15.8181572,14.83890724,14.60757542,13.29062462,13.63333988,12.50971127,12.20664883,11.7394104,11.6031189,10.87629509,10.13940525,9.906214714,9.591065407,8.931908607,8.355885506,8.136436462,8.03225708,7.835580826,7.144583225,6.385690689,6.350622177,6.086331367,6.006566525,5.561172009,5.565841675,4.855010509,5.160511494,4.483778,4.615767956,4.579231262,3.982470751,3.932039499,3.839998722,3.456121206,3.094918013
255,1.504353285,1.909539342,4.524140358,8.781223297,14.3523531,13.31950665,11.56647873,7.385995388,4.436321259,3.034325123,2.674221754,3.472298861,4.148023129,4.392516136,5.016570091,5.428683281,5.670050621,6.361410618,6.621650696,6.637159824,7.063119411,7.908021927,7.95791626,7.813717365,8.092467308,7.495962143,8.349429131,8.19153595,8.210057259,7.955407143,8.188501358,8.523132324,8.700153351,8.731579781,8.627778053,8.674302101,9.280777931,8.7342062,9.753000259,9.860074043,10.24059582,10.3508482,10.95654964,11.36700058,11.81059074,12.81478024,13.20577908,14.28280449,15.09885311,15.4363966,16.35667992,17.33722878,17.7766037,19.59505844,20.40689278,22.10299683,23.29728317,24.11610031,25.49312019,27.0363369,24.36223602,26.47132492,28.72544289,29.53160667,31.74480057,33.01810074,34.5123291,34.91940689,36.20713043,37.89516068,38.06981277,40.26902771,40.49522781,42.07997131,44.70838928,43.52123642,44.99300385,44.66252136,44.80329514,44.09230423,43.07254028,44.94323349,44.8139801,43.73679733,44.47433853,43.04294586,42.57532883,42.89467621,43.44830322,42.4618721,40.91121292,42.11854935,41.61323547,41.43247986,41.00867081,36.8930397,37.90721893,35.89769745,36.27224731,35.48077393,36.26887131,35.80274963,33.74158096,34.78821182,33.61203766,33.72177124,32.62512589,30.805933,31.38323212,29.69024658,29.87622643,29.18512344,27.72302246,26.77311707,25.98912811,25.4121933,24.34329796,24.01469803,22.87273598,21.79672623,22.69566154,21.48246956,21.00877571,19.53646851,18.70253754,19.49190712,17.74694824,16.79050636,16.38097954,15.99786091,16.17868233,14.86559677,14.07227802,13.92696762,13.50803947,12.96503925,12.31156445,11.78354645,11.89360237,11.27545738,11.06727505,10.0610733,9.828289986,9.812562943,8.606966972,7.976423264,8.388202667,8.003798485,7.709599972,7.03749752,6.084488392,5.945637703,5.99839735,5.523338795,5.875814915,5.007956028,4.956179619,4.993619442,4.346446514,4.234314442,4.365589619,3.898885489,4.048021317,3.486554146,3.577239513,2.984886646
260,1.663913012,1.653280377,1.374540687,1.332017064,1.585163593,2.686818123,6.15783596,12.62592888,18.23968887,17.59835243,11.93003941,7.232350826,6.477411747,6.537796974,6.881924629,7.309536457,7.987840652,8.689332008,8.821270943,8.62586689,9.208522797,9.400418282,9.154676437,9.338712692,9.468999863,9.239631653,9.339155197,9.104058266,9.187940598,9.33049202,9.724064827,9.611376762,9.467463493,9.820121765,9.414592743,9.884055138,10.43261337,9.797460556,10.05811214,10.63873863,10.54453754,11.42676258,12.1674366,12.15932655,12.32259083,12.92979336,13.16453838,14.0944128,14.39459801,15.023983,15.32392406,16.92608261,17.12205505,18.7224865,19.39866257,20.4593811,21.50013351,22.78957558,24.08094025,25.05856133,23.22961044,24.10523033,26.01550865,27.25614929,29.24198151,29.89900589,31.34276009,32.86871338,33.48809433,35.14907455,36.22854233,35.98736572,37.07318115,38.43197632,40.40575409,40.35268784,41.24165726,41.72350693,41.27096558,41.1612587,41.18149567,41.29772949,41.5810051,41.29822922,41.07542801,40.69575119,40.5280304,40.06446457,40.45124435,39.9187355,40.67615891,39.38171768,39.38729095,39.09276581,38.7146759,36.82240295,36.5573082,35.8993454,35.68471527,35.10695648,34.92502975,34.07594299,33.24025726,33.1011467,32.90058899,31.53807259,31.79214478,30.38135719,29.99136925,29.51628113,28.36374664,27.71881866,27.77416992,26.91524887,26.09310341,25.71762657,24.73885918,23.44476891,24.01778793,22.61100578,21.5006218,22.15576172,20.93071556,19.9929657,19.32549477,18.34643555,18.86525726,17.21612549,16.86061478,15.72107029,15.07286739,15.42411041,14.51900291,13.82896805,13.40193462,12.80334854,13.02245235,12.0651722,11.43146706,11.16164112,10.55460835,10.10464096,9.877536774,9.325208664,9.323649406,8.737346649,8.08271122,8.029602051,7.490537643,7.361658096,6.43173027,6.251214027,5.829092026,5.819674969,5.449221611,5.258828163,5.345515728,4.624855042,4.655550003,4.553854465,4.178963661,3.985337019,3.740003347,3.345516443,3.475440502,3.148213863
265,20.23208237,8.45950985,2.31637311,1.594314694,1.646967292,1.561410189,2.034656048,3.43236351,6.775547028,11.69200897,16.65516281,18.15036392,16.09425735,13.38740826,10.86676788,9.238911629,9.408711433,9.423156738,9.64379406,9.69770813,10.18869019,10.63891506,9.941182137,10.60312748,9.682880402,10.09948158,9.429003716,9.91310215,9.669463158,9.883547783,9.936944962,9.407538414,10.0905571,10.19231415,9.964461327,10.14173126,9.991048813,10.14627457,10.57365799,10.08766174,10.78949833,10.68704891,11.16433811,11.23940945,11.46123219,12.1526289,12.17340946,12.82501888,13.17757225,13.64294624,14.46136093,15.10632992,15.54411411,16.04500389,17.06327057,18.54361725,19.50473213,20.51129913,20.85338593,21.68957138,20.51704025,22.08485413,22.41202927,24.60596657,24.7772522,26.50695419,27.05578041,28.32962227,28.96829796,31.09530258,30.35730553,32.10115051,33.62949753,33.2181282,34.41679764,35.27848053,35.5750885,35.33234406,35.55356598,36.08273315,35.82948685,36.51431274,36.43443298,36.08760452,35.68162155,35.54903793,35.48697662,35.29043961,35.29285431,35.3174324,35.25991058,35.18796921,34.2101326,34.48417282,34.02939224,31.24778748,31.48927498,31.25356102,31.44155884,31.28924179,30.75671577,30.59570313,29.84928513,29.86816597,29.50318718,28.00530434,27.01601601,28.50036812,26.78663063,26.44374275,25.84010124,24.97218132,24.39632034,23.87416077,23.03162193,22.56296539,22.46649361,21.74740028,20.83387375,20.31196976,18.43496132,19.41367722,18.08825874,17.53742981,17.44961166,16.33093452,15.62983227,15.63806725,14.66382885,14.23071766,14.22917938,12.9192915,13.08516502,11.80631161,12.31271076,11.9690485,11.38983059,10.53526211,10.5927887,9.776244164,9.494397163,8.725289345,8.647760391,8.610012054,7.811213017,8.006809235,7.715651989,7.444945335,6.794381142,6.591547966,5.558430672,5.723483562,5.011903763,5.442196369,5.268294811,5.304648876,4.657848835,4.317603588,4.417703152,3.903000116,3.869837046,3.730398893,3.293194771,3.412252665,3.343539,3.090649843
270,84.36682129,117.2967453,48.25156021,16.08141327,5.076685905,2.187656879,2.367851734,3.281280518,4.071061611,4.879193306,6.53537941,9.621731758,15.00935364,20.25053787,23.71001625,22.95863152,18.33823204,14.934618,12.86440945,12.05558205,12.16020298,12.22323895,12.45403671,11.8313036,11.91891956,11.35153961,10.81397629,11.27230835,11.09080887,11.25760078,10.50352669,10.6179266,11.14091587,10.96319008,10.72446728,10.78765774,10.69540405,10.63957691,11.06881714,11.07830238,11.35093784,11.07812309,10.98394108,11.8999548,11.96846962,12.48096561,12.28417778,12.98928928,13.49168777,14.17241001,13.8827877,14.86422634,15.36420822,16.17744827,16.38892555,17.98003006,17.9712162,19.28492165,20.52566528,21.05493164,19.7647953,20.49603653,22.34511948,23.3907814,23.89255524,25.1407299,26.25667191,27.30192184,28.40374756,28.71573067,29.86747932,30.76723289,30.91695213,30.93564034,32.03535461,32.65867615,33.14756393,32.84193039,33.20069885,33.59324265,33.35045624,33.4149437,33.28280258,33.10671234,32.29016495,33.31343842,32.57799149,32.75673676,32.32685852,32.35821915,31.0198555,31.60308647,31.49020958,31.12829971,32.03222275,29.48467827,29.59863472,28.93504906,28.49284363,28.93908691,28.51846695,28.65538406,27.60816765,27.20523262,26.40642929,26.18966293,26.28303719,25.30562019,24.80919075,24.03977013,22.59875107,23.31645012,23.14464378,22.28748703,21.09967804,21.37311745,19.54071045,19.96740723,19.6932869,18.70783615,18.49651909,17.97013283,17.30431557,16.39754868,15.95301723,15.67133999,15.01158237,14.70265865,14.28059196,13.34544849,13.62817287,12.68931007,11.95835018,12.55020523,11.32704544,11.01019859,10.91938686,10.42944145,10.01187611,9.497681618,9.163348198,8.245942116,8.550702095,8.039312363,8.120071411,7.650966644,7.167933464,6.499514103,6.51459837,6.15901947,5.682286739,5.662789345,5.131307602,5.124760151,4.57902813,4.610104084,4.654040337,4.622477055,3.93954587,3.773881912,3.540127039,3.393708467,3.291805267,3.167709351,3.057490826,2.869314432
