Wavelength (nm),Intensity (a.u.),Z Axis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ELA_PREFILTERED1_EM_270.00,ELA_PREFILTERED1_EM_272.00,ELA_PREFILTERED1_EM_274.00,ELA_PREFILTERED1_EM_276.00,ELA_PREFILTERED1_EM_278.00,ELA_PREFILTERED1_EM_280.00,ELA_PREFILTERED1_EM_282.00,ELA_PREFILTERED1_EM_284.00,ELA_PREFILTERED1_EM_286.00,ELA_PREFILTERED1_EM_288.00,ELA_PREFILTERED1_EM_290.00,ELA_PREFILTERED1_EM_292.00,ELA_PREFILTERED1_EM_294.00,ELA_PREFILTERED1_EM_296.00,ELA_PREFILTERED1_EM_298.00,ELA_PREFILTERED1_EM_300.00,ELA_PREFILTERED1_EM_302.00,ELA_PREFILTERED1_EM_304.00,ELA_PREFILTERED1_EM_306.00,ELA_PREFILTERED1_EM_308.00,ELA_PREFILTERED1_EM_310.00,ELA_PREFILTERED1_EM_312.00,ELA_PREFILTERED1_EM_314.00,ELA_PREFILTERED1_EM_316.00,ELA_PREFILTERED1_EM_318.00,ELA_PREFILTERED1_EM_320.00,ELA_PREFILTERED1_EM_322.00,ELA_PREFILTERED1_EM_324.00,ELA_PREFILTERED1_EM_326.00,ELA_PREFILTERED1_EM_328.00,ELA_PREFILTERED1_EM_330.00,ELA_PREFILTERED1_EM_332.00,ELA_PREFILTERED1_EM_334.00,ELA_PREFILTERED1_EM_336.00,ELA_PREFILTERED1_EM_338.00,ELA_PREFILTERED1_EM_340.00,ELA_PREFILTERED1_EM_342.00,ELA_PREFILTERED1_EM_344.00,ELA_PREFILTERED1_EM_346.00,ELA_PREFILTERED1_EM_348.00,ELA_PREFILTERED1_EM_350.00,ELA_PREFILTERED1_EM_352.00,ELA_PREFILTERED1_EM_354.00,ELA_PREFILTERED1_EM_356.00,ELA_PREFILTERED1_EM_358.00,ELA_PREFILTERED1_EM_360.00,ELA_PREFILTERED1_EM_362.00,ELA_PREFILTERED1_EM_364.00,ELA_PREFILTERED1_EM_366.00,ELA_PREFILTERED1_EM_368.00,ELA_PREFILTERED1_EM_370.00,ELA_PREFILTERED1_EM_372.00,ELA_PREFILTERED1_EM_374.00,ELA_PREFILTERED1_EM_376.00,ELA_PREFILTERED1_EM_378.00,ELA_PREFILTERED1_EM_380.00,ELA_PREFILTERED1_EM_382.00,ELA_PREFILTERED1_EM_384.00,ELA_PREFILTERED1_EM_386.00,ELA_PREFILTERED1_EM_388.00,ELA_PREFILTERED1_EM_390.00,ELA_PREFILTERED1_EM_392.00,ELA_PREFILTERED1_EM_394.00,ELA_PREFILTERED1_EM_396.00,ELA_PREFILTERED1_EM_398.00,ELA_PREFILTERED1_EM_400.00,ELA_PREFILTERED1_EM_402.00,ELA_PREFILTERED1_EM_404.00,ELA_PREFILTERED1_EM_406.00,ELA_PREFILTERED1_EM_408.00,ELA_PREFILTERED1_EM_410.00,ELA_PREFILTERED1_EM_412.00,ELA_PREFILTERED1_EM_414.00,ELA_PREFILTERED1_EM_416.00,ELA_PREFILTERED1_EM_418.00,ELA_PREFILTERED1_EM_420.00,ELA_PREFILTERED1_EM_422.00,ELA_PREFILTERED1_EM_424.00,ELA_PREFILTERED1_EM_426.00,ELA_PREFILTERED1_EM_428.00,ELA_PREFILTERED1_EM_430.00,ELA_PREFILTERED1_EM_432.00,ELA_PREFILTERED1_EM_434.00,ELA_PREFILTERED1_EM_436.00,ELA_PREFILTERED1_EM_438.00,ELA_PREFILTERED1_EM_440.00,ELA_PREFILTERED1_EM_442.00,ELA_PREFILTERED1_EM_444.00,ELA_PREFILTERED1_EM_446.00,ELA_PREFILTERED1_EM_448.00,ELA_PREFILTERED1_EM_450.00,ELA_PREFILTERED1_EM_452.00,ELA_PREFILTERED1_EM_454.00,ELA_PREFILTERED1_EM_456.00,ELA_PREFILTERED1_EM_458.00,ELA_PREFILTERED1_EM_460.00,ELA_PREFILTERED1_EM_462.00,ELA_PREFILTERED1_EM_464.00,ELA_PREFILTERED1_EM_466.00,ELA_PREFILTERED1_EM_468.00,ELA_PREFILTERED1_EM_470.00,ELA_PREFILTERED1_EM_472.00,ELA_PREFILTERED1_EM_474.00,ELA_PREFILTERED1_EM_476.00,ELA_PREFILTERED1_EM_478.00,ELA_PREFILTERED1_EM_480.00,ELA_PREFILTERED1_EM_482.00,ELA_PREFILTERED1_EM_484.00,ELA_PREFILTERED1_EM_486.00,ELA_PREFILTERED1_EM_488.00,ELA_PREFILTERED1_EM_490.00,ELA_PREFILTERED1_EM_492.00,ELA_PREFILTERED1_EM_494.00,ELA_PREFILTERED1_EM_496.00,ELA_PREFILTERED1_EM_498.00,ELA_PREFILTERED1_EM_500.00,ELA_PREFILTERED1_EM_502.00,ELA_PREFILTERED1_EM_504.00,ELA_PREFILTERED1_EM_506.00,ELA_PREFILTERED1_EM_508.00,ELA_PREFILTERED1_EM_510.00,ELA_PREFILTERED1_EM_512.00,ELA_PREFILTERED1_EM_514.00,ELA_PREFILTERED1_EM_516.00,ELA_PREFILTERED1_EM_518.00,ELA_PREFILTERED1_EM_520.00,ELA_PREFILTERED1_EM_522.00,ELA_PREFILTERED1_EM_524.00,ELA_PREFILTERED1_EM_526.00,ELA_PREFILTERED1_EM_528.00,ELA_PREFILTERED1_EM_530.00,ELA_PREFILTERED1_EM_532.00,ELA_PREFILTERED1_EM_534.00,ELA_PREFILTERED1_EM_536.00,ELA_PREFILTERED1_EM_538.00,ELA_PREFILTERED1_EM_540.00,ELA_PREFILTERED1_EM_542.00,ELA_PREFILTERED1_EM_544.00,ELA_PREFILTERED1_EM_546.00,ELA_PREFILTERED1_EM_548.00,ELA_PREFILTERED1_EM_550.00,ELA_PREFILTERED1_EM_552.00,ELA_PREFILTERED1_EM_554.00,ELA_PREFILTERED1_EM_556.00,ELA_PREFILTERED1_EM_558.00,ELA_PREFILTERED1_EM_560.00,ELA_PREFILTERED1_EM_562.00,ELA_PREFILTERED1_EM_564.00,ELA_PREFILTERED1_EM_566.00,ELA_PREFILTERED1_EM_568.00,ELA_PREFILTERED1_EM_570.00,ELA_PREFILTERED1_EM_572.00,ELA_PREFILTERED1_EM_574.00,ELA_PREFILTERED1_EM_576.00,ELA_PREFILTERED1_EM_578.00,ELA_PREFILTERED1_EM_580.00,ELA_PREFILTERED1_EM_582.00,ELA_PREFILTERED1_EM_584.00,ELA_PREFILTERED1_EM_586.00,ELA_PREFILTERED1_EM_588.00,ELA_PREFILTERED1_EM_590.00,ELA_PREFILTERED1_EM_592.00,ELA_PREFILTERED1_EM_594.00,ELA_PREFILTERED1_EM_596.00,ELA_PREFILTERED1_EM_598.00,ELA_PREFILTERED1_EM_600.00
,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166
230,0.857529461,1.202624083,1.860707521,1.394060612,1.972387075,1.464342713,1.745261908,2.911692142,3.18170476,3.912371874,5.556570053,6.253767967,7.119512558,9.175891876,10.21775055,11.18368149,12.12264252,12.92171288,14.08847046,15.13583755,14.4827137,15.44214058,15.66230965,15.68760109,15.76281166,15.49417686,16.85022545,17.24781227,17.90253258,18.63007164,19.15341377,19.44078827,18.87659264,19.67085266,19.77297783,20.38780975,21.47627068,21.28119087,21.27381325,22.22600555,22.69456673,23.0852375,23.81458664,24.02904129,24.28354836,25.02673912,25.88179207,25.88456345,28.23795509,29.19216156,29.61108017,30.67547989,32.47862625,33.32300186,33.29750443,37.26285553,36.45294189,39.58441162,41.4451828,44.6656456,41.0259819,43.30157089,45.21286392,46.06687546,49.04913712,50.84210587,54.44438553,54.98076248,56.8556633,59.36048889,60.29921722,60.17113876,63.11481857,64.13889313,64.74261475,67.5824585,66.08869934,67.14358521,67.78387451,67.09963989,69.11391449,66.4355011,66.45197296,65.40582275,65.17261505,64.27072144,63.32139969,63.61050415,62.89678955,62.45262527,60.79882813,60.75964737,62.2184906,60.30043411,58.07086182,53.55881882,55.19412613,53.64789581,53.02347565,52.47034073,52.49771118,51.06723404,49.28269196,48.41676331,44.9262886,46.47385788,44.8063736,43.64230728,43.07325745,40.34406662,40.56390762,37.11219788,38.40354156,35.94293976,35.59440613,33.73916245,33.02814484,30.86034966,30.92016029,30.2138958,28.82660866,28.90710831,27.34264565,26.3653698,25.56832695,24.85666847,23.49236107,22.48341751,22.12948418,22.16337967,20.42480659,19.04345131,19.20398331,17.7206459,16.86825752,16.39319992,16.43213272,15.56528282,14.70259666,14.98868561,13.76543808,13.26273727,12.13381386,12.2617054,11.14440155,10.64274406,10.05415535,10.37512016,9.818181992,9.106832504,8.130263329,7.817179203,7.806083679,7.153147697,6.994921207,6.56897831,6.060607433,6.313727856,5.814673424,5.699583054,5.030848026,4.792778492,4.90309763,4.712852478,5.018115044,4.363677979
235,1.27294147,1.422939777,1.445589781,1.46650207,1.302149296,1.294868469,1.450379848,1.834484339,1.763322353,2.826649189,3.781583786,3.957445383,4.785715103,5.168215275,6.107850552,6.745098591,6.923893929,7.218517303,8.878744125,9.004507065,9.952838898,9.703651428,10.66243172,10.76267624,10.99263191,11.00265312,11.21832085,11.89731979,11.66034698,12.0023632,13.84680367,12.55052185,13.59998131,13.87734413,13.68774605,14.33901215,14.78809929,14.96990395,16.5810585,15.83235741,17.60170746,17.54528236,18.41660309,17.55859947,19.07603264,20.65735817,19.9749527,20.88928795,21.62714005,23.08313179,25.11121178,24.64880562,26.74004745,27.93417358,30.41746521,30.64842415,33.36015701,35.72052002,36.83136749,38.56918716,35.52356339,37.54032516,39.05546951,42.31900787,43.9769249,45.15587997,48.3332901,47.87591553,50.78244019,51.14349365,53.98054886,54.70030975,56.9331131,56.84991074,59.15668869,59.60025024,59.56852341,60.9768219,61.04131699,60.60226822,59.71582794,60.51073456,60.23419189,60.53340912,59.44587326,59.34503174,57.47429657,57.5394783,57.46796417,54.42461395,55.85118103,54.1919899,54.07878876,54.51774216,55.70005798,49.89293671,50.84467316,50.53428268,50.02023697,48.48120499,48.8446846,46.32656479,43.84908295,44.46829224,43.74277496,43.38427734,41.34524155,41.41112518,38.87075424,38.68059921,37.6528244,36.15316391,34.46977234,34.24398422,32.91240311,30.80997849,32.08337784,29.730793,30.2183609,26.53474426,27.46883202,26.2205677,26.02959824,24.33177376,24.14712334,23.15336037,21.29240608,21.10756683,20.05935287,20.0421505,19.0831871,18.72564507,18.21776199,16.58272171,16.47112465,15.8280983,15.21311188,14.69736671,13.92295456,13.40462303,13.13108253,11.52786827,11.37924385,11.1578598,11.09095955,10.59622574,10.42075348,9.113819122,8.841142654,8.574155807,7.588398457,7.85562706,7.765446186,6.74079752,6.117459297,6.189170837,6.213612556,5.495093346,5.780900955,5.082221985,5.253629208,5.173683643,5.101434708,5.078636646,4.336688519,3.92408824
240,2.413377047,1.738909364,1.459292293,1.290810466,1.428792477,1.151776791,1.136310697,1.254955649,1.279763341,1.641367435,2.201867819,2.271195173,2.912981272,3.351241589,4.059410095,4.103199959,4.49268055,5.203033924,5.328109264,5.698740005,5.884486198,6.381970406,6.746035576,6.297326088,6.808652878,7.047768593,6.815955639,7.689072609,7.424277782,7.749753952,8.123888016,8.684650421,9.139442444,9.67423439,9.740501404,9.899848938,9.817937851,11.11885834,11.6840992,11.39645195,12.10188103,12.01812744,13.59055138,14.41823769,15.00745201,15.47934914,16.21453476,17.42251396,18.44257927,19.60386467,20.88578415,22.3508873,23.08695793,25.09290504,25.39874649,27.83456993,29.81674576,31.04366684,31.48353386,32.73724747,31.39946365,32.485672,35.08160019,36.38318634,38.39453125,40.8889389,41.45309067,44.13053894,44.76997375,47.68972015,47.57655716,50.42114258,50.28367996,51.58935928,52.16215897,54.24134445,55.61215591,55.06364441,55.36670685,55.1808548,55.73525238,55.5769043,55.97695541,54.25435257,52.84235764,53.63336563,52.84056854,52.5473175,53.26492691,52.43420792,52.57155609,52.75762177,50.84430313,50.68698883,50.96495056,46.49096298,46.57988358,47.11796188,45.56042099,44.67855453,44.36866379,43.28138733,43.65014648,41.72143936,42.65811539,40.41007233,39.96873093,39.11439133,36.81797409,36.11262131,36.22312546,34.50266266,33.80760574,33.23892212,30.57907677,31.80668068,30.73110962,28.79821396,27.14636421,27.65167236,26.5283432,25.93999863,24.80281448,23.9672718,23.18787575,22.34220695,21.2822113,20.23412132,19.89680672,19.94877434,18.36038208,18.58706474,17.97849274,16.64834595,16.20568466,14.98841667,13.66932297,14.45681381,13.29768753,12.48818207,13.02614403,12.2126255,11.18449974,11.32642937,10.43582153,10.08120728,9.886476517,9.828216553,8.571641922,8.835914612,7.747469425,7.378289223,7.135325432,7.088873863,6.062601566,6.614215374,6.41340971,5.944058418,5.288859367,5.170313835,4.954999447,4.848457813,4.447320938,4.276607513,4.071366787,3.943650007
245,14.94952202,9.658405304,5.047920227,2.556614399,1.519966364,1.090964317,1.256613612,1.285481811,1.352142811,1.526759982,1.614546657,2.156486988,2.632300138,2.96487999,3.316276789,3.554994345,3.347755432,4.03930521,4.694658279,4.817630291,4.929830074,5.116187572,5.775183678,5.789694786,5.74657917,6.025704384,6.009522438,6.253968716,6.77174902,6.909948826,7.330893993,7.231385231,7.905958652,8.146308899,7.776316643,8.571363449,8.825086594,9.351236343,8.83200264,9.968603134,10.51549149,11.10301971,12.42087364,12.43096161,12.88693237,14.19417763,14.43776131,16.04304504,16.64669037,18.0214901,18.49938393,20.18675995,21.21029472,21.3390274,24.09379387,25.98504639,27.05981827,28.10810089,29.93998146,31.53489876,28.37566566,30.21158981,32.90703964,35.20188141,36.11504745,37.3938942,38.73701096,41.58164215,41.60480499,44.6473465,44.62151337,45.75912094,48.07391739,47.93584824,48.74705887,49.53541565,49.71447372,51.76508713,52.54437637,52.14386749,51.2657814,51.20801544,51.46253967,50.74125671,51.86236191,49.84677887,50.80947876,50.23939514,49.39387894,48.84223175,48.33732605,48.30546188,49.05881882,48.37049866,48.72342682,44.48637009,44.73562241,43.94906998,43.60823822,42.4329834,41.86075211,41.96710587,41.0450592,40.95063019,39.80160141,39.13405228,37.87203979,36.68041992,36.71663666,35.92853165,34.26802444,33.47915268,32.80840302,31.50545311,30.91739273,29.32369423,29.75608253,28.55377197,26.9852047,26.84066772,25.12711716,25.02719688,24.42001724,22.85644913,22.66000175,21.10024071,20.18680763,20.24324226,19.46026993,18.81163597,18.52937508,17.51545334,16.47499275,16.16583252,15.4613781,14.95951843,14.62170601,14.1822052,13.86629868,12.64986992,12.44407463,11.66245651,11.43192673,10.81216431,10.66994476,9.890497208,9.608026505,9.064962387,8.591897964,8.294034958,7.633693218,7.31918335,7.134502411,6.845776558,6.682609081,6.361555099,5.703805447,5.402133942,5.685113907,5.453604221,4.871809006,4.530106068,5.005576134,4.300443649,4.210961819,3.788211346
250,10.82207108,16.44296265,17.58699799,13.70719337,8.171624184,3.341098309,1.995744467,1.890757203,1.903921604,2.093288898,2.261509895,2.594320297,2.661009073,3.272565603,3.525686264,3.830000401,3.886928797,4.720517159,4.720952988,5.188363075,5.304718018,5.614180088,5.529884338,5.508492947,6.175113201,6.04371357,6.479420185,6.480566025,6.383526325,6.796960831,6.793616772,7.01487112,7.139407158,7.370288849,7.761402607,7.92219305,8.387311935,8.382064819,8.829528809,9.445199966,9.657011032,9.923154831,10.77846527,11.44708443,11.72214317,12.41190338,14.04995155,14.30487061,15.22557449,16.09354401,17.55907059,18.23448372,19.00803375,21.25102425,21.23204994,23.20500374,25.28053856,25.77893448,27.35688019,28.34407997,26.50061607,28.31316566,29.92603111,31.29139328,33.22060776,34.41665268,35.71688843,37.83646393,39.67952728,39.50535202,41.47981262,43.10524368,43.50473022,45.17990494,45.76392365,46.44604111,46.67089844,47.85410309,48.90203094,48.32084656,48.11953735,48.66073608,48.37724686,49.23706436,48.35293579,47.29485703,46.74243546,47.58804321,46.98090744,46.48169327,47.42778397,46.6997261,45.87797546,45.95149612,46.30685806,42.545578,41.90411758,41.72409058,42.29402542,41.17477417,40.81529617,40.34363937,38.87528229,38.97417068,38.15535736,37.29943848,35.79479599,35.39884567,35.08205414,33.73143387,32.62813187,32.31595612,31.45162964,30.58298874,29.94677162,29.71808624,28.00254059,26.77235985,26.47292137,26.14397049,24.51464081,24.40286064,23.30378151,22.0835495,21.87849236,21.61526108,21.30971146,19.61424446,19.52604866,19.08271027,17.43759537,16.82604027,16.59988403,16.27769279,15.45568275,14.97559738,14.13989639,13.47462654,12.66867447,12.60749054,12.06613731,11.73196602,10.7045002,11.13381004,10.04733849,9.457860947,9.241258621,8.774465561,8.68535614,8.20208931,7.10417223,6.775292873,7.215596199,6.147879124,6.643757343,6.131762505,5.848000526,5.975589752,5.269153595,5.035727978,4.729452133,4.562386036,4.673726559,4.043870926,4.25520277,4.098414421
255,1.944303989,2.756844044,4.790576935,9.91466713,15.20235062,13.92632866,12.28840256,8.345117569,4.977929592,3.758911133,3.697155237,3.439407587,3.891937971,4.305139542,4.732306957,4.837259293,5.678855896,5.475787163,5.673821926,5.592964649,6.161711216,6.263747692,6.6873312,6.275073528,6.201296806,6.216494083,6.465954304,6.517271519,7.758063793,6.851860046,7.5666008,7.724838257,7.179704189,8.174617767,8.119310379,8.137937546,8.531602859,8.429271698,9.279518127,9.623836517,9.638406754,10.01000786,10.3049736,10.46006775,11.18590927,12.31633186,13.37654114,12.94054985,14.4756279,14.95475006,15.36154556,16.3200531,17.8297863,18.95566368,19.9845562,21.02635002,22.43172264,23.5189743,24.34021187,26.16737747,24.07670403,24.66959,27.35862541,29.29574585,29.77534294,30.70705414,33.40229416,33.44270325,35.94067383,36.32007217,37.13310623,38.55268097,40.10945892,40.02586746,39.81394577,42.4349556,43.53952408,43.75478363,43.40572357,43.13175201,44.39149857,44.95959854,44.4982605,43.85509872,44.65283585,43.0715065,45.10865021,42.78977585,42.83145142,44.71446228,43.57620621,42.11131287,43.24654007,43.64547729,42.58115387,39.22292328,39.41784286,40.13095093,39.02331924,38.41222763,37.78980637,37.75292969,37.82416534,35.91119385,36.52280807,35.71774292,34.26184845,35.03200531,33.13662338,33.48790741,31.01466751,30.78507233,29.84233093,30.248909,28.47414017,28.80913162,26.86645317,26.76336288,25.66481209,25.22371483,23.42974472,22.98068619,22.07496071,21.40986633,21.67140007,19.31287575,19.65117645,18.86161804,18.36095238,17.9397316,17.00431252,17.42578888,16.34702492,14.96474838,15.30217934,13.73379898,13.56108856,13.15721512,12.43627167,12.28023529,11.82405663,11.05674553,10.58224487,10.28206062,9.715122223,9.656288147,9.242351532,8.28455925,8.282627106,8.05471611,6.996503353,6.979184151,6.964553833,6.389072895,6.457247734,5.751770973,5.759481907,5.95609045,4.998116493,4.853521347,4.933058739,4.697964668,4.676885128,4.440358162,3.825410366,3.952217817
260,2.267808199,2.402952194,2.679013014,2.388639688,2.917711496,3.559720993,7.085613728,13.28354454,18.6000309,17.88349724,11.95403862,7.787869453,6.261435986,6.012768269,6.105757713,6.365170002,6.847614765,6.686378002,7.320981026,6.99374342,7.325705051,7.745482445,7.80395937,7.57773304,8.490325928,7.4334445,7.879016876,7.798353195,7.909665108,8.102706909,8.349697113,8.227848053,8.433856964,8.09435463,8.564409256,8.379135132,8.871061325,8.919019699,9.447000504,9.333271027,9.883955002,10.08178139,10.62772369,11.34664345,11.7726841,11.69199181,12.39622498,13.10325432,13.93904877,14.33231544,15.26028442,16.40947914,16.80425262,17.82907867,18.54763412,20.29739952,20.10408974,21.78592873,23.39682007,24.55971527,21.77952766,23.31139183,25.32564545,26.78525543,27.26807594,28.53636932,30.31519699,31.58664322,32.76025009,33.29594421,34.73942566,35.18400192,36.23345566,37.82742691,38.25043869,39.65175629,40.71131897,40.19355392,40.86155701,40.18128586,41.00906754,40.90827942,42.52936554,41.70414734,41.83948898,41.20371246,40.23743439,41.40773773,42.07689667,40.71212006,41.19424057,41.33213806,41.11780548,40.45168686,41.69415665,37.84399796,38.32888031,38.7625885,37.3775177,37.42264557,37.17472458,36.85324097,36.26293945,35.94997406,35.84334564,34.97891998,33.11849594,33.20587921,32.74247742,32.3262558,31.47489166,30.54914093,30.385355,28.66466522,28.57933044,26.91371918,27.39399719,26.77067566,25.13610268,24.11595154,24.83047104,23.35679245,22.5932827,21.96248055,21.74846458,20.7318573,19.99847603,18.81791496,18.87070084,17.994133,17.26225662,16.45991325,15.8542881,15.39182854,15.01960564,14.61889648,13.48441696,13.20028496,12.50985718,12.12565231,11.82917976,11.50219536,10.7988472,10.08097267,9.879890442,9.969154358,9.444709778,8.928253174,8.391836166,8.356731415,7.320415497,6.80079174,6.90864563,6.659416199,6.381598473,5.946532726,5.357277393,5.556245327,5.158616066,5.140024662,4.804918289,4.858509541,4.220729351,4.216316223,4.15440464,3.817754507
265,22.30999947,7.856751442,3.341669798,2.599617481,2.81654191,2.291967154,2.918245077,4.119988441,7.396280289,11.54737663,16.36802483,17.96031189,16.33257294,13.38539124,9.796442032,8.12603569,7.97283268,7.910446644,8.538158417,8.174905777,8.301866531,8.331790924,8.530189514,8.335691452,7.987580776,7.774656296,8.184425354,8.156636238,8.684173584,8.009852409,8.244129181,8.184259415,8.261533737,8.38363266,8.592008591,8.972385406,8.753078461,8.750284195,8.822799683,9.472837448,9.462844849,9.257644653,9.799102783,10.36178398,11.00685501,11.28388214,10.94689369,11.85802078,12.96668625,13.19813919,13.64100266,14.93911362,15.05535316,15.68833923,16.95960808,17.91704369,18.18150902,19.08794975,20.32356834,20.45279503,19.47572517,20.78948593,21.8234272,22.7250309,24.26573181,25.70368958,26.67182732,27.25073814,28.12905502,29.56801987,29.97327614,30.8314743,31.33610725,32.91578293,33.36874008,34.35820389,35.79449081,34.87277222,35.56524658,35.28720093,36.24863052,35.37867737,35.57170868,35.87567139,36.94795609,36.7259407,36.41293716,36.23664856,35.89701462,36.2724762,36.40494537,36.3728714,36.24466324,36.53741455,36.36104584,33.50927353,33.0932579,34.22986984,33.77716446,34.0026207,32.9069519,32.95138168,32.84629822,31.27392197,31.63071632,30.59135437,30.09793472,29.83865547,30.38150215,28.815382,27.46568298,27.98743439,27.09561348,26.9126606,25.11907196,25.14354706,24.66346169,23.71916389,22.17846107,22.77375221,21.41244507,20.82533264,19.29182243,20.02890587,20.13138962,18.40556335,17.47280121,17.52122879,16.98175049,15.70336723,15.93945694,15.43013191,14.32818222,13.92592049,13.62225723,13.41790581,12.57237625,12.22725105,11.95254326,11.00782776,10.38393021,10.21961594,9.851312637,9.884624481,9.090583801,8.475379944,8.622947693,8.408157349,7.135288239,7.409931183,6.660989761,6.471770763,6.00313282,6.246178627,5.45250988,5.611087322,5.383072853,4.666642189,4.699067116,4.70374155,4.439558983,4.280226231,4.460597515,3.898075104,3.883840322,3.841860056
270,83.72531891,80.95938873,46.6697731,17.23377419,5.224530697,2.590843439,2.799104929,3.385327101,4.344510078,5.197057724,6.889791012,9.08880806,13.3749485,18.76558876,21.98820686,21.53313828,16.84696007,12.92216873,11.2244873,9.990037918,9.976829529,10.51002693,10.08173943,9.754192352,9.30291748,9.388017654,9.397390366,9.140516281,9.008146286,9.188856125,8.833873749,9.527946472,9.14607811,9.281686783,9.212888718,8.986019135,9.14509201,9.326032639,9.655920029,9.384880066,9.77000618,10.03530693,10.26276779,10.89386368,10.96541214,11.02679062,11.30052376,12.43903732,12.30467224,12.86726379,14.08848,13.89011192,14.77634621,15.05613708,15.79794502,15.67841148,17.540205,18.05396843,18.21789169,19.57991982,17.82870865,18.51486969,19.49305725,20.7954731,21.98666382,22.88264656,24.04962349,24.81230927,25.23941231,26.27970123,27.32514381,27.08273315,28.16295433,28.9853611,29.98376083,30.22822762,30.81777382,31.59183121,31.65662575,32.26912689,31.69924355,32.18400574,32.93637085,32.14296722,32.87153244,32.55767059,32.83805084,32.27822876,32.27880096,32.79018402,32.28558731,33.33347321,32.42573166,32.23649979,32.42353439,30.49022865,30.22535515,30.42214584,30.17348862,30.41576767,30.50877762,29.60620499,29.09297752,29.56888771,28.79657936,27.97846985,28.73407745,26.60709,27.31920624,26.2187233,25.78862572,25.32466698,24.60894012,23.92836571,23.19941711,23.0358448,22.5351162,21.75209045,20.88213539,20.33327484,19.94661522,19.94220924,18.56686592,18.65309143,18.19655609,17.48792839,17.25258827,15.93959808,15.53796577,15.39406967,15.03973961,14.13581467,13.36772156,13.27296638,12.29423141,12.35980988,12.02301979,11.31752396,11.27871513,10.83909416,10.13221359,9.782756805,9.594335556,8.894695282,8.636768341,8.55529213,7.971585751,7.421691418,7.564098358,7.208051682,6.360818863,6.141479492,5.782408237,5.917965889,5.831602097,5.611296177,5.160681725,4.675675392,4.725003719,4.47287178,4.348938942,4.011259079,3.969813585,4.367620945,3.899765491,3.702130556
