Wavelength (nm),Intensity (a.u.),Z Axis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,L224_1m_june29_22_EM_270.00,L224_1m_june29_22_EM_272.00,L224_1m_june29_22_EM_274.00,L224_1m_june29_22_EM_276.00,L224_1m_june29_22_EM_278.00,L224_1m_june29_22_EM_280.00,L224_1m_june29_22_EM_282.00,L224_1m_june29_22_EM_284.00,L224_1m_june29_22_EM_286.00,L224_1m_june29_22_EM_288.00,L224_1m_june29_22_EM_290.00,L224_1m_june29_22_EM_292.00,L224_1m_june29_22_EM_294.00,L224_1m_june29_22_EM_296.00,L224_1m_june29_22_EM_298.00,L224_1m_june29_22_EM_300.00,L224_1m_june29_22_EM_302.00,L224_1m_june29_22_EM_304.00,L224_1m_june29_22_EM_306.00,L224_1m_june29_22_EM_308.00,L224_1m_june29_22_EM_310.00,L224_1m_june29_22_EM_312.00,L224_1m_june29_22_EM_314.00,L224_1m_june29_22_EM_316.00,L224_1m_june29_22_EM_318.00,L224_1m_june29_22_EM_320.00,L224_1m_june29_22_EM_322.00,L224_1m_june29_22_EM_324.00,L224_1m_june29_22_EM_326.00,L224_1m_june29_22_EM_328.00,L224_1m_june29_22_EM_330.00,L224_1m_june29_22_EM_332.00,L224_1m_june29_22_EM_334.00,L224_1m_june29_22_EM_336.00,L224_1m_june29_22_EM_338.00,L224_1m_june29_22_EM_340.00,L224_1m_june29_22_EM_342.00,L224_1m_june29_22_EM_344.00,L224_1m_june29_22_EM_346.00,L224_1m_june29_22_EM_348.00,L224_1m_june29_22_EM_350.00,L224_1m_june29_22_EM_352.00,L224_1m_june29_22_EM_354.00,L224_1m_june29_22_EM_356.00,L224_1m_june29_22_EM_358.00,L224_1m_june29_22_EM_360.00,L224_1m_june29_22_EM_362.00,L224_1m_june29_22_EM_364.00,L224_1m_june29_22_EM_366.00,L224_1m_june29_22_EM_368.00,L224_1m_june29_22_EM_370.00,L224_1m_june29_22_EM_372.00,L224_1m_june29_22_EM_374.00,L224_1m_june29_22_EM_376.00,L224_1m_june29_22_EM_378.00,L224_1m_june29_22_EM_380.00,L224_1m_june29_22_EM_382.00,L224_1m_june29_22_EM_384.00,L224_1m_june29_22_EM_386.00,L224_1m_june29_22_EM_388.00,L224_1m_june29_22_EM_390.00,L224_1m_june29_22_EM_392.00,L224_1m_june29_22_EM_394.00,L224_1m_june29_22_EM_396.00,L224_1m_june29_22_EM_398.00,L224_1m_june29_22_EM_400.00,L224_1m_june29_22_EM_402.00,L224_1m_june29_22_EM_404.00,L224_1m_june29_22_EM_406.00,L224_1m_june29_22_EM_408.00,L224_1m_june29_22_EM_410.00,L224_1m_june29_22_EM_412.00,L224_1m_june29_22_EM_414.00,L224_1m_june29_22_EM_416.00,L224_1m_june29_22_EM_418.00,L224_1m_june29_22_EM_420.00,L224_1m_june29_22_EM_422.00,L224_1m_june29_22_EM_424.00,L224_1m_june29_22_EM_426.00,L224_1m_june29_22_EM_428.00,L224_1m_june29_22_EM_430.00,L224_1m_june29_22_EM_432.00,L224_1m_june29_22_EM_434.00,L224_1m_june29_22_EM_436.00,L224_1m_june29_22_EM_438.00,L224_1m_june29_22_EM_440.00,L224_1m_june29_22_EM_442.00,L224_1m_june29_22_EM_444.00,L224_1m_june29_22_EM_446.00,L224_1m_june29_22_EM_448.00,L224_1m_june29_22_EM_450.00,L224_1m_june29_22_EM_452.00,L224_1m_june29_22_EM_454.00,L224_1m_june29_22_EM_456.00,L224_1m_june29_22_EM_458.00,L224_1m_june29_22_EM_460.00,L224_1m_june29_22_EM_462.00,L224_1m_june29_22_EM_464.00,L224_1m_june29_22_EM_466.00,L224_1m_june29_22_EM_468.00,L224_1m_june29_22_EM_470.00,L224_1m_june29_22_EM_472.00,L224_1m_june29_22_EM_474.00,L224_1m_june29_22_EM_476.00,L224_1m_june29_22_EM_478.00,L224_1m_june29_22_EM_480.00,L224_1m_june29_22_EM_482.00,L224_1m_june29_22_EM_484.00,L224_1m_june29_22_EM_486.00,L224_1m_june29_22_EM_488.00,L224_1m_june29_22_EM_490.00,L224_1m_june29_22_EM_492.00,L224_1m_june29_22_EM_494.00,L224_1m_june29_22_EM_496.00,L224_1m_june29_22_EM_498.00,L224_1m_june29_22_EM_500.00,L224_1m_june29_22_EM_502.00,L224_1m_june29_22_EM_504.00,L224_1m_june29_22_EM_506.00,L224_1m_june29_22_EM_508.00,L224_1m_june29_22_EM_510.00,L224_1m_june29_22_EM_512.00,L224_1m_june29_22_EM_514.00,L224_1m_june29_22_EM_516.00,L224_1m_june29_22_EM_518.00,L224_1m_june29_22_EM_520.00,L224_1m_june29_22_EM_522.00,L224_1m_june29_22_EM_524.00,L224_1m_june29_22_EM_526.00,L224_1m_june29_22_EM_528.00,L224_1m_june29_22_EM_530.00,L224_1m_june29_22_EM_532.00,L224_1m_june29_22_EM_534.00,L224_1m_june29_22_EM_536.00,L224_1m_june29_22_EM_538.00,L224_1m_june29_22_EM_540.00,L224_1m_june29_22_EM_542.00,L224_1m_june29_22_EM_544.00,L224_1m_june29_22_EM_546.00,L224_1m_june29_22_EM_548.00,L224_1m_june29_22_EM_550.00,L224_1m_june29_22_EM_552.00,L224_1m_june29_22_EM_554.00,L224_1m_june29_22_EM_556.00,L224_1m_june29_22_EM_558.00,L224_1m_june29_22_EM_560.00,L224_1m_june29_22_EM_562.00,L224_1m_june29_22_EM_564.00,L224_1m_june29_22_EM_566.00,L224_1m_june29_22_EM_568.00,L224_1m_june29_22_EM_570.00,L224_1m_june29_22_EM_572.00,L224_1m_june29_22_EM_574.00,L224_1m_june29_22_EM_576.00,L224_1m_june29_22_EM_578.00,L224_1m_june29_22_EM_580.00,L224_1m_june29_22_EM_582.00,L224_1m_june29_22_EM_584.00,L224_1m_june29_22_EM_586.00,L224_1m_june29_22_EM_588.00,L224_1m_june29_22_EM_590.00,L224_1m_june29_22_EM_592.00,L224_1m_june29_22_EM_594.00,L224_1m_june29_22_EM_596.00,L224_1m_june29_22_EM_598.00,L224_1m_june29_22_EM_600.00
,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166
230,1.006329536,1.311976075,2.360735893,3.074696779,3.957016468,3.653142929,4.467513561,5.324523449,6.512020588,6.818889618,8.642170906,9.818206787,10.7796278,11.2145319,11.16875553,12.67367744,12.47309017,13.40733624,13.70749855,14.05867577,14.30821896,14.24785995,14.06995583,14.78280735,15.51504326,18.30661964,24.31274223,28.24591255,31.75695038,32.17364502,32.9058876,34.46942902,35.50318909,38.37322998,40.52403259,42.68695831,40.83605957,41.25908661,39.60321045,37.63214493,38.23194504,37.75288391,37.28726959,37.71028519,36.49285889,34.34518433,33.99487305,31.94620895,31.63070488,30.90833664,30.88597298,29.99715614,31.78934479,30.2561779,29.66914749,29.62504959,29.73215294,29.34078217,28.53697777,30.51684189,26.96207809,27.85446167,28.11618423,30.2215538,29.71461678,31.74489594,31.84845161,31.83088684,33.73812103,33.86292648,35.12229919,35.68804169,35.42398071,36.26166534,35.82975006,36.43828964,35.47271729,36.08843994,36.11182404,35.83996964,35.40140533,35.66772079,35.30178452,35.65843201,33.45815659,33.70794296,33.85930252,33.71986389,32.67989731,30.98679352,31.61679459,31.56393242,31.91558838,30.44857025,31.04401398,28.78250122,27.93063545,28.85225677,27.02530289,26.53719139,26.8344574,26.33432388,25.48633957,24.33435631,23.94887161,24.33137894,23.07695007,22.80356979,21.04500008,22.47637177,20.91871643,20.10352135,20.00978279,19.18426132,18.87662506,17.81521797,17.08170128,17.49015427,15.98612309,16.13923454,15.32222366,15.17149544,14.46344471,13.82222557,13.51842403,12.36527538,12.06937981,12.30785656,11.00909424,11.0627079,10.65291786,10.89120674,9.577431679,9.819132805,9.093977928,9.024457932,8.741681099,7.999932766,7.240643978,6.829140186,7.066175461,6.437710285,6.32396841,6.273675919,6.057479858,5.882623196,5.118279934,5.30309391,5.255404949,4.597671032,4.039010525,3.969978809,4.083142757,4.178721905,3.793463469,3.256988525,3.131213665,2.866625071,3.243247032,2.538016558,2.77204299,2.337300777,2.07527113,2.731915951,2.263258696,2.224257231
235,1.037994981,1.118710399,1.480793834,1.553350568,2.040241957,1.773519397,2.648252249,3.031141281,3.267989397,3.737248421,4.400810242,5.096334934,6.222146511,6.182156563,6.721271515,7.26617527,7.867289066,8.733281136,8.783125877,8.908821106,9.736465454,9.682281494,9.966274261,9.849113464,10.47192669,10.10982418,11.78702831,13.52470875,15.34524155,15.96960163,16.39618111,18.26237679,18.22202682,19.48602676,20.51769066,22.40565109,21.9824028,22.29024124,23.1305275,23.27235413,22.29375076,23.14907265,24.10903549,23.74147797,22.42563629,22.94248962,21.92264175,22.37077522,22.95932579,22.78809738,22.42001724,22.88949585,23.55715179,23.20415306,23.97273636,23.97066307,24.37840652,24.8890419,24.77726746,26.50435829,23.75179291,23.64345741,24.74152184,24.53363419,25.81615829,27.72731972,27.75468063,28.49907112,29.90465546,29.47397232,29.89529228,30.44126892,30.29024315,30.39511108,32.04272461,33.04376602,32.05076218,32.81108856,32.89612579,32.5086174,31.85989189,32.62810516,32.6496048,31.56410599,32.9414978,31.55319214,31.35304642,30.63875961,30.72419739,30.57292175,29.44165611,31.25012016,30.04531097,29.24895477,28.6520443,26.12013054,26.13497353,25.7278862,24.84093285,25.51380348,25.68395615,23.93215752,23.34744453,21.18927956,22.11467171,21.65312386,21.62350464,21.14302444,21.40028,20.13660431,20.03442383,18.77593803,17.64659691,18.2893219,17.02157402,15.93363667,16.239048,15.61905289,15.69375992,14.34131908,14.99180508,13.45483208,13.34842968,12.25649166,12.71641445,12.23385334,11.64761543,11.01915359,11.05933666,10.58564663,9.675081253,9.674600601,9.5974617,9.070692062,8.27359581,7.771053791,7.80678463,7.643010139,6.947922707,6.943442345,6.284984112,6.782181263,5.792388439,6.168448448,5.829473019,5.076703072,5.283967018,4.87220335,4.668528557,4.588347912,3.883472919,4.040815353,3.935543537,3.841181517,3.503502131,3.692169189,3.173824072,2.689843655,3.173695087,2.49218297,2.488117456,2.67078042,2.649095535,2.410712481,1.943839192,1.704213381
240,2.039745569,1.445115566,0.902183414,0.663519323,0.629181802,0.860516787,0.682984412,0.702427745,1.076506019,0.865416348,1.643537283,2.030137062,2.549723387,2.482241869,3.002033472,3.199978352,3.527074337,3.883220911,4.450360775,4.911572933,5.001755238,5.264530659,5.644766331,5.994452477,6.154902458,6.239835262,6.515722275,7.083402634,7.259165764,7.801900864,8.601829529,8.766278267,10.24061394,11.01713943,10.53669071,11.58156204,11.39604664,12.87564754,13.20997334,13.74989128,13.74268246,14.43562603,14.68998909,14.75040913,15.22223282,15.15222263,16.25663567,15.53502178,15.6701889,15.75301075,16.87360573,16.80247307,17.79091072,18.40054321,18.32949257,18.08683395,19.15020752,19.98901749,20.71693611,21.1879673,19.06239128,19.43585777,21.20847321,22.21651459,22.26497459,23.65912437,23.88644981,25.44889259,25.32580948,26.31775475,26.78603935,27.23418045,27.74668121,27.90197372,28.98023415,29.44939232,29.7100563,28.97656059,28.93997002,29.89759445,29.72308922,29.40175629,29.60245323,29.36496735,29.04432678,28.26984787,27.27843285,27.92750931,27.8710022,27.27768707,27.12972069,27.31384277,27.20246124,26.36603165,25.5022583,23.44623184,24.16674042,23.8080349,23.11125755,22.91906738,22.0802803,22.04622269,21.70265198,21.76293755,21.9201088,20.94217682,20.20340157,19.49987411,19.02048111,19.58761215,18.19360352,17.87189865,17.21259117,17.32324791,16.61792374,15.56728649,15.69184017,14.69741917,14.58836937,14.14384747,12.66578674,12.97955608,12.37189007,12.16911697,11.67985725,11.45349312,10.99898243,11.25559521,10.07865238,10.2064209,9.774497032,9.303398132,8.524950027,8.7474823,8.175069809,7.55023241,7.481547832,6.847542286,6.86643362,6.653747082,6.245522976,5.703566074,6.099698544,5.619708061,5.346918583,5.271193504,5.016651154,4.80089283,4.392985821,4.1615448,3.803179264,3.802832842,3.383381128,3.443522215,3.022150993,3.173375845,2.878130436,2.804770708,3.041325331,2.833592653,2.542150259,2.280296326,2.543798685,2.033104658,2.301410675,2.02284503
245,15.60521412,10.15111542,4.732863426,1.815894485,1.003407836,0.578106701,0.539746583,0.42052567,0.552875102,0.676611781,0.756834388,1.14460659,1.513868093,1.890163541,2.174108982,2.615887642,2.937868357,3.109509706,3.210032225,3.555583715,3.857150555,4.202345371,4.531234741,4.760983944,4.508110523,4.705871105,5.109566212,5.230555058,5.693568707,5.902844429,6.691899776,6.956328869,7.305391312,8.108516693,8.608736038,9.080652237,8.58660984,8.829814911,9.518106461,9.672439575,10.07926941,10.7312994,10.64508057,11.41793823,11.40585709,11.88773823,12.20845032,12.27571106,12.82453537,13.22749805,13.76191044,14.55116749,14.73610687,14.96736622,15.40863895,16.70420265,16.36752892,18.00815582,17.88364792,18.70762825,17.00673676,17.72826195,18.82255936,19.39020729,21.13048363,20.84777069,22.52193832,22.74123383,23.171772,23.85839081,24.30164337,24.8148632,25.57732201,25.50933456,26.42162895,27.15571404,27.46437073,27.26632309,27.25470543,27.00143051,26.89562225,27.58787346,26.97310448,26.70965385,26.3774147,26.57151604,25.70454597,25.57817841,26.24982643,26.26122475,25.62965393,25.07696533,25.53816032,24.73806953,24.66968155,22.78868866,22.88475227,22.75358963,22.89798164,22.06903267,21.79760742,21.37486649,21.51397324,21.07369232,20.08977127,20.54980469,20.25667381,19.22350121,18.7527256,18.22846985,17.49751472,17.57308197,17.38854599,16.54206085,16.42147446,15.39044189,15.70780277,14.34307957,14.44562244,13.76717567,13.28467178,12.77667427,12.47768593,11.63424683,11.45667839,10.76563263,10.86146832,10.79067898,10.52412796,9.944142342,9.783280373,8.848442078,8.921273232,8.092195511,7.74370718,7.735254288,7.526036739,6.910889626,6.455718517,6.511359215,6.128551483,5.864753723,5.834047794,5.46655035,5.292277336,5.25612402,4.845980644,4.750010967,4.551193237,4.209471703,3.858450651,3.710702419,3.537195921,3.68945384,3.134956837,3.022866011,2.851286888,2.871213675,2.638419867,2.396261215,2.557252407,2.176982164,2.255418777,2.177112818,1.911537051,1.893749595
250,11.39899158,18.09473991,19.3337307,13.91168785,7.685065269,2.64473176,1.246932387,0.876330495,0.706315517,0.701738596,1.114118457,1.150199294,1.47401762,1.575993896,1.986095548,2.287768602,2.585034132,2.888902187,3.133059025,3.233246803,3.65218997,3.979773045,4.057873249,4.2989645,4.077394485,4.726532936,4.635066509,5.103433609,5.6970191,5.906755447,6.099555969,6.21949625,6.355867386,6.649793625,7.082493782,7.116788387,7.373826981,7.981026173,8.037154198,7.742942333,8.213705063,9.148727417,8.861288071,9.507043839,9.51211834,9.66515255,9.6816082,10.50843048,10.76042938,11.11874199,11.64508152,12.5077467,12.09203529,13.34248638,14.0287466,14.27805901,15.38801861,16.20765114,15.83082294,16.69728088,15.35233784,15.86707783,16.78809929,17.701931,18.92857742,19.16771698,19.61860847,20.31521797,21.3331852,21.79223824,21.90789604,22.92019463,23.43583679,23.34827805,23.83763885,24.54517174,25.50173759,24.61310387,25.20722961,25.43881798,24.98818779,25.00484848,25.47617531,25.72109222,24.55135918,24.14764595,23.94460106,24.23747444,23.82080078,23.0112381,23.99503136,23.7057457,23.89438248,23.78148651,23.74213028,21.98922157,21.18424416,21.65466499,21.20124817,20.5479126,20.88584709,21.02795792,19.66757202,19.93063164,19.10137749,19.51638794,18.01174545,18.3771019,17.88264465,17.2212429,17.78972816,16.46298981,16.21399689,15.40453434,15.42264175,15.00427628,14.5,14.19508266,13.97253227,13.49010754,12.89466667,12.49120998,12.05969524,11.81055641,11.5634346,10.84119892,10.40154743,10.67248917,9.941082001,9.351351738,8.988248825,9.19875145,8.495358467,7.849864006,8.102994919,7.411705017,7.329532146,6.966121674,6.472459316,6.337965012,6.51679945,5.661370754,5.951650143,5.510123253,5.280835629,5.017030239,4.832798958,4.485564709,4.448132515,4.101774216,3.802190781,3.522844553,3.807623625,3.478378296,3.051398516,3.035967112,2.602289677,2.608714581,2.803440809,2.677263737,2.175220966,2.323777914,2.389840841,2.191984415,1.897329092,1.922270417
255,1.540461659,1.940710902,4.386164665,8.905609131,15.60965443,14.24734974,12.15008163,7.477621078,3.762778759,2.028431416,1.685220718,1.67862463,1.720147371,2.100241423,2.195447683,2.49601984,2.501953125,2.958341122,3.39675951,3.748187304,3.9279356,3.95224762,3.683817148,4.271456242,4.536663055,4.370759487,4.848260403,5.862840652,6.073163033,5.51222229,5.918776989,5.916211128,6.403420925,7.006446362,7.089831829,7.140983105,6.999206543,7.47073555,7.49524498,7.342532635,7.676143646,8.092972755,8.287461281,8.721137047,8.760924339,8.645935059,9.125442505,9.289855003,9.390337944,10.70749855,10.53364468,10.65759373,11.09125519,11.66271496,12.13038349,12.34670067,12.8521843,14.48281097,13.94519711,14.87465191,13.4761219,14.4513216,14.84754181,15.38026047,15.55366325,16.09241486,17.61041641,17.91535759,18.52737808,19.79084778,20.03765869,20.6809082,21.21914482,22.31414223,20.4662056,21.80692673,21.9226799,22.17550087,23.6625824,22.20194626,22.47301483,23.1565609,22.26113319,22.46353722,21.97036171,21.90717697,22.73140144,22.54472351,22.00901604,22.71665382,22.64058495,22.27414513,22.81839371,22.53978539,21.56284142,19.94415092,20.11931229,20.70046997,20.03086281,19.30158424,19.52998352,18.33026886,19.04581261,19.01353836,18.68536377,17.36335373,18.6565609,18.03976059,16.82951164,16.71500587,16.1545372,16.12262726,15.53480816,15.00827789,14.48143673,14.83612919,13.60530949,13.3849678,12.36454487,12.66924286,12.98244095,12.12528801,11.61891747,10.72553349,11.21009064,9.981247902,10.25708771,9.689711571,9.489315033,9.865875244,8.62455368,8.281988144,8.304242134,7.723245144,7.59642601,6.948732853,6.637070179,6.829078674,6.790335655,5.706169128,6.334263802,6.190176487,5.466727734,5.515433311,4.878261089,4.530286312,4.688518524,4.190851212,4.05937767,3.755506039,3.631471872,3.57486248,3.462179661,3.088312149,2.966387987,2.721763849,2.840579271,2.661772013,2.675094128,2.435104132,2.37129426,2.110476732,2.03601408,2.003946543,2.060691833,1.8344208
260,1.796444654,1.544323444,1.179705739,1.414722085,1.701442957,2.764698744,6.351706505,13.0843544,17.71958733,15.6748991,9.633918762,5.122677803,3.225932837,2.593643904,2.682551146,2.586690426,3.184445858,3.457969427,3.474055529,3.465787411,3.855138779,4.351612568,4.473662853,4.629258633,4.89703846,5.198077679,5.776928425,6.064645767,6.435312748,6.082014084,7.136361599,7.018508434,7.308794975,7.061855316,7.496116638,7.625339985,7.810694218,7.87058115,7.558429241,7.894796371,8.153453827,8.215240479,8.171229362,8.701577187,8.875349045,9.299985886,9.167159081,8.854808807,9.732585907,9.829637527,10.66576385,10.30904102,11.21466351,11.1904974,11.66166019,12.22701073,12.25371265,12.54068375,13.0768795,13.20698833,12.68701363,12.99203682,13.84798908,14.52647114,15.09121418,15.26645279,16.66200256,16.78556442,17.02128029,17.97072029,18.04758453,18.52919769,19.58532906,19.99378395,19.80224037,20.61157799,20.31256866,21.59145546,21.57287788,21.31988525,21.61970711,22.68390465,21.23253632,21.78606796,21.06570816,20.8076973,21.0316391,21.01554108,21.27531815,20.59519768,21.39757729,21.27928352,21.17144012,20.99403763,20.92864037,19.00636673,19.2713356,19.26794815,20.10739708,19.3013134,18.98810959,18.4695797,18.62707901,17.91266441,18.27687645,18.09190559,17.95228004,17.25550461,16.93263817,16.22350121,15.90798283,15.85037327,15.25750923,14.51499271,14.09891033,14.01291943,14.01851082,12.96316242,13.03146362,12.59427643,12.19803619,11.64998436,11.74781513,11.36300659,11.10775089,10.36894608,10.24187565,9.951385498,9.565903664,9.254796982,8.501394272,8.263987541,8.025472641,7.734308243,7.536348343,6.833668232,7.099208832,6.961466789,6.729399681,6.492870331,6.018327236,5.776129246,5.451234818,5.163193226,5.157810211,4.904073238,4.306015491,4.614439964,4.259397984,4.089108944,3.625275135,3.506252527,3.224384308,3.533802509,3.150122643,2.971872091,2.952368021,2.714785576,2.542351961,2.711901903,2.643171787,2.461722374,2.34818244,2.069242477,2.075708628,1.948764682
265,22.55452538,6.940469265,2.336798906,1.704668164,1.389626861,1.298607349,1.363285899,2.164507389,5.633693695,10.00549507,14.58157063,15.3740406,13.07604599,8.787448883,5.539552689,3.904024124,3.42236352,3.300811529,3.638741732,3.960133076,3.953448772,4.221935272,4.396688938,4.464668274,5.022352695,4.968336582,5.663675308,6.195738792,6.235571861,6.464672089,6.728800297,6.693190575,6.989668846,6.966527939,7.335061073,8.003791809,7.811243057,7.586774826,7.362186432,7.430333614,7.929485798,7.769164085,8.360086441,8.196520805,8.588335991,8.686666489,8.71359539,8.705673218,8.933047295,9.068993568,8.844727516,9.482648849,9.320250511,9.889730453,9.977585793,10.20113945,10.76945782,11.25580502,11.62194633,11.98786449,10.51412487,11.59434795,11.36087894,12.92967319,12.86452484,13.28253937,13.77320099,14.45662308,15.2417345,15.64381123,15.57821465,15.83512592,16.89939499,17.25296402,17.24622536,16.98667336,18.10247612,18.27827644,18.56675911,18.26508141,18.27156258,17.83183289,19.60676765,18.71458054,18.62146378,18.05390549,18.42756653,18.64341354,18.32967949,18.22930145,18.7605896,18.13713837,18.21453857,18.55660057,18.70742035,17.06275749,16.56219864,17.22607613,17.36509132,16.46191406,16.867733,16.41019058,16.6950798,16.20187759,15.66535473,15.52450848,15.35972309,15.24095821,14.87836838,14.57133484,14.08664322,13.96206284,13.41868019,13.51417732,12.87340069,12.58699417,12.17927265,12.12727737,11.63154602,11.24947834,11.16882038,10.76017475,10.45124245,10.09778976,9.562555313,9.018803596,9.261490822,9.119391441,8.346939087,8.187885284,7.583631039,7.780083656,7.148649216,7.028853416,6.745366573,6.521165371,6.233200073,6.043421268,5.398384094,5.598419189,5.39125061,5.328934669,5.111839771,4.919273376,4.38589859,4.387031555,4.621510983,3.998274803,3.709041357,3.66788435,3.427103996,3.263190269,3.02770257,3.051185608,2.795589209,2.738420963,2.526598215,2.708563328,2.133802891,2.459629297,2.170675278,2.069277525,1.948753953,2.003051758,1.535161495,1.795722604
270,95.51026154,89.83089447,48.71638489,17.42510605,4.769199848,1.660106421,1.367754459,1.422884464,1.482837558,1.954426408,2.906698704,5.083470821,9.726888657,15.1435957,17.71375656,15.66635895,12.08269787,7.244259834,5.358855724,4.797334194,4.900863647,4.834390163,5.170350552,5.178812981,5.806138039,5.678781033,6.292872906,6.685247898,7.429049015,7.062547207,7.435376167,7.325445175,7.339179516,7.797657967,7.974051952,8.209143639,8.363519669,8.46032238,8.364142418,8.300204277,8.418496132,8.562979698,8.576086998,8.417972565,8.761294365,8.500287056,8.554330826,8.722759247,8.757754326,8.921857834,9.228451729,9.253181458,9.49840641,9.701152802,9.864848137,10.66632462,10.17101574,10.55014515,10.60811901,11.0931778,10.01396751,10.31353951,10.74683475,11.34723091,12.31609344,12.36046696,12.9672718,12.80672741,13.69323349,13.57231045,14.61719894,14.68565559,15.07802391,15.00636101,15.28333092,15.82661533,16.34878731,16.27198029,16.24676704,16.48283195,16.35295868,17.01392174,16.59184074,16.54484749,16.23459625,16.69979095,16.15813828,16.85305977,16.70956421,16.0667572,16.48314476,16.69063568,16.77530861,16.34461594,16.39977074,15.42482185,15.53602409,15.35496807,15.25995255,15.633461,15.00082874,14.97201252,14.75837135,15.03104877,14.55364323,13.75137234,14.05624771,13.93603611,13.52101517,13.42585564,13.20986652,12.82055283,12.23907185,12.06357574,11.65013504,11.72734928,11.62151051,11.24987125,10.80933857,10.96508598,10.27307129,10.12618351,9.50048542,9.097468376,9.316160202,8.682573318,8.333106041,8.0275774,7.728359699,7.775190353,7.618826389,7.445947647,6.78562355,6.411305428,6.32626152,6.185105801,5.995696545,5.609252453,5.851302147,5.471021175,4.993729115,4.604394913,4.74313736,4.471608162,4.329813957,4.138837814,4.043536186,4.108281612,3.667067766,3.32597661,3.089197874,3.004998446,2.952609777,2.808130741,2.517542124,2.522664785,2.465061188,2.330137491,2.091976643,2.048608303,2.107094288,2.106425047,1.841747761,1.875231385,1.67759645,1.547435045
