Wavelength (nm),Intensity (a.u.),Z Axis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,L626_EM_270.00,L626_EM_272.00,L626_EM_274.00,L626_EM_276.00,L626_EM_278.00,L626_EM_280.00,L626_EM_282.00,L626_EM_284.00,L626_EM_286.00,L626_EM_288.00,L626_EM_290.00,L626_EM_292.00,L626_EM_294.00,L626_EM_296.00,L626_EM_298.00,L626_EM_300.00,L626_EM_302.00,L626_EM_304.00,L626_EM_306.00,L626_EM_308.00,L626_EM_310.00,L626_EM_312.00,L626_EM_314.00,L626_EM_316.00,L626_EM_318.00,L626_EM_320.00,L626_EM_322.00,L626_EM_324.00,L626_EM_326.00,L626_EM_328.00,L626_EM_330.00,L626_EM_332.00,L626_EM_334.00,L626_EM_336.00,L626_EM_338.00,L626_EM_340.00,L626_EM_342.00,L626_EM_344.00,L626_EM_346.00,L626_EM_348.00,L626_EM_350.00,L626_EM_352.00,L626_EM_354.00,L626_EM_356.00,L626_EM_358.00,L626_EM_360.00,L626_EM_362.00,L626_EM_364.00,L626_EM_366.00,L626_EM_368.00,L626_EM_370.00,L626_EM_372.00,L626_EM_374.00,L626_EM_376.00,L626_EM_378.00,L626_EM_380.00,L626_EM_382.00,L626_EM_384.00,L626_EM_386.00,L626_EM_388.00,L626_EM_390.00,L626_EM_392.00,L626_EM_394.00,L626_EM_396.00,L626_EM_398.00,L626_EM_400.00,L626_EM_402.00,L626_EM_404.00,L626_EM_406.00,L626_EM_408.00,L626_EM_410.00,L626_EM_412.00,L626_EM_414.00,L626_EM_416.00,L626_EM_418.00,L626_EM_420.00,L626_EM_422.00,L626_EM_424.00,L626_EM_426.00,L626_EM_428.00,L626_EM_430.00,L626_EM_432.00,L626_EM_434.00,L626_EM_436.00,L626_EM_438.00,L626_EM_440.00,L626_EM_442.00,L626_EM_444.00,L626_EM_446.00,L626_EM_448.00,L626_EM_450.00,L626_EM_452.00,L626_EM_454.00,L626_EM_456.00,L626_EM_458.00,L626_EM_460.00,L626_EM_462.00,L626_EM_464.00,L626_EM_466.00,L626_EM_468.00,L626_EM_470.00,L626_EM_472.00,L626_EM_474.00,L626_EM_476.00,L626_EM_478.00,L626_EM_480.00,L626_EM_482.00,L626_EM_484.00,L626_EM_486.00,L626_EM_488.00,L626_EM_490.00,L626_EM_492.00,L626_EM_494.00,L626_EM_496.00,L626_EM_498.00,L626_EM_500.00,L626_EM_502.00,L626_EM_504.00,L626_EM_506.00,L626_EM_508.00,L626_EM_510.00,L626_EM_512.00,L626_EM_514.00,L626_EM_516.00,L626_EM_518.00,L626_EM_520.00,L626_EM_522.00,L626_EM_524.00,L626_EM_526.00,L626_EM_528.00,L626_EM_530.00,L626_EM_532.00,L626_EM_534.00,L626_EM_536.00,L626_EM_538.00,L626_EM_540.00,L626_EM_542.00,L626_EM_544.00,L626_EM_546.00,L626_EM_548.00,L626_EM_550.00,L626_EM_552.00,L626_EM_554.00,L626_EM_556.00,L626_EM_558.00,L626_EM_560.00,L626_EM_562.00,L626_EM_564.00,L626_EM_566.00,L626_EM_568.00,L626_EM_570.00,L626_EM_572.00,L626_EM_574.00,L626_EM_576.00,L626_EM_578.00,L626_EM_580.00,L626_EM_582.00,L626_EM_584.00,L626_EM_586.00,L626_EM_588.00,L626_EM_590.00,L626_EM_592.00,L626_EM_594.00,L626_EM_596.00,L626_EM_598.00,L626_EM_600.00
,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166
230,0.37785244,0.626337051,0.574648261,1.115450144,1.138608456,0.957806826,1.13578105,1.783804774,2.079836369,2.644749641,4.591375828,4.696589947,5.434551239,6.341812611,7.338811874,8.105948448,8.853085518,9.139321327,10.04083252,10.66686153,11.37101936,12.06724548,13.08467484,12.32216167,12.85159779,13.27669907,14.35871124,15.40649414,17.41838264,17.59364891,17.77724457,18.55690956,18.83463669,19.30437088,20.5247345,21.87194252,20.90660095,22.02315712,22.08356667,22.16008568,22.83580017,23.22425652,23.48082542,25.24836159,24.94123459,24.42160225,25.69221306,25.88147163,27.21589088,28.35887909,29.47024536,30.31988335,31.33619118,32.32360077,33.23896027,34.80629349,36.68257141,38.56856918,38.72056961,41.44742203,37.65906525,39.4103775,42.17189789,45.39128494,46.94485092,47.37245941,50.22332382,51.54784012,54.42359543,56.66703796,58.30249405,57.31263733,60.02953339,59.17891312,61.43608856,61.06768799,62.10177994,64.40705109,63.51860046,63.18568802,63.77510071,62.42496109,63.07741547,60.3268013,59.50694275,58.43463898,59.52542496,59.71132278,58.41556168,57.80890656,58.41686249,57.25893402,57.04503632,55.65513611,53.65268707,48.98887634,51.42455292,49.25324249,48.24354172,47.92452621,48.5889473,48.07811737,45.87086105,43.74593353,44.71085739,42.33343506,41.69968796,40.59963226,39.45710373,38.44214249,37.95071793,37.24071884,35.33517456,33.76695251,33.17214203,32.03864288,31.55196762,29.72262192,29.20239067,29.15450859,27.53136444,25.97999001,24.43922234,23.71689415,22.69417572,23.76814461,22.42745972,20.76827049,20.32653999,19.30783653,19.24072647,17.25416374,17.53519249,16.98341751,16.65364075,15.7812748,15.30151081,14.23761368,14.15193272,12.62950993,12.79001999,12.14216423,11.26690769,10.92556572,10.63700867,9.630725861,9.576221466,8.914198875,8.52920723,8.848089218,7.61579895,7.648933411,7.110218525,7.056305885,6.366614819,5.314582348,5.512996197,5.402040958,5.297224522,4.76508522,4.828056812,4.796527386,4.363540173,4.26307869,3.878635883,3.635703087
235,0.804809928,0.684109926,0.790271878,1.105703592,0.779956579,0.575572491,0.73704493,0.789113879,1.466479897,1.544169307,2.03584528,2.685834646,3.233425856,3.929781914,4.225618362,4.863584042,5.572653294,5.964840889,6.101347923,7.368923664,8.124111176,8.112109184,7.76143074,8.420744896,8.709685326,8.87014389,9.455979347,9.67979908,11.29801941,11.50411797,10.76438904,12.09406471,13.36308289,13.74529552,13.6668272,14.81775856,14.34701157,14.92623234,16.33613777,15.25186634,15.86907387,16.97353554,17.98278427,18.62272453,19.09171295,19.63155937,19.58043861,20.99547386,21.58193398,22.77584648,24.606287,25.25510025,25.68288803,28.70521545,29.64740181,30.56958199,32.36212921,33.53071213,35.00223541,36.11893463,33.94732285,36.32325363,38.68919373,39.51372147,40.66656494,43.04983521,44.53736115,46.81916046,47.78049469,49.19866943,50.70724106,51.62047958,52.56054688,54.56483459,54.76816559,56.40606308,58.0782547,56.76483917,56.27388382,57.82779312,56.69372559,56.74962234,55.49049377,55.12362289,56.04108429,53.98246384,54.16625214,55.15044785,53.09763718,52.80745697,50.39535904,51.42044067,49.98625565,49.67987442,49.412117,47.46507263,46.89791107,46.86058044,43.39696503,43.85374451,45.04076767,43.40823746,41.70923996,40.23765564,41.52622604,40.44631958,38.97092438,38.69261551,35.78467178,35.17521667,34.55415726,35.3047142,32.17510605,32.65318298,30.98335075,29.95976639,29.56059837,27.7784996,26.32158089,26.18617439,25.70654869,24.11290169,24.90069199,22.66482735,22.218153,21.33289146,20.63313293,19.9679985,18.38741493,17.38216591,17.58497047,17.13119888,15.91000557,15.99788666,15.20522213,15.0052042,14.38411331,13.21741676,12.65066433,12.65184975,11.78071117,11.87562656,11.76964188,9.696130753,9.860005379,9.691830635,8.656347275,8.574666023,8.218649864,7.95868206,6.895267487,7.49119854,6.823909283,6.25710535,5.730937481,5.800989628,6.530221462,5.061048508,5.218844414,4.779802799,5.034142494,4.413209438,4.265491486,3.863408804,3.408574343,3.247545719
240,1.980933428,1.036716819,0.710384965,0.745686293,0.658544183,0.339282572,0.704289675,0.653580785,0.885406375,0.84277153,1.029014349,1.250379801,1.7732656,2.193819761,2.373331547,2.967429399,3.084032774,3.581112623,4.038639069,4.468615055,4.479743481,5.219055653,5.123554707,5.770270348,5.896913052,5.553345203,6.544696331,6.539888382,6.547241211,6.481411457,7.88229847,7.667823792,8.457037926,8.301728249,8.822506905,9.373431206,9.867339134,10.68173504,10.84450054,11.8195982,11.93925953,12.24453926,13.09198284,13.56497478,14.88625813,15.32485294,15.67026329,16.48778915,18.28415489,19.4863739,20.73483276,21.0762558,22.34830856,24.61459351,24.87508965,26.51441765,28.2159214,29.9832325,31.18574142,31.48587608,29.52195549,30.82055092,33.15438843,35.0687294,37.6234436,38.48459625,39.79494858,42.64548492,43.01089859,43.98614883,46.62927246,46.42024231,47.51317596,47.53551102,50.03180313,51.23041153,50.72971344,51.62182236,51.3584137,52.12678528,51.17447662,52.31214523,51.5535965,49.43571091,49.68572998,49.35798645,49.78350449,49.20661545,49.53992081,48.83021927,48.77482605,48.48832703,48.69088745,48.42151642,45.90065002,42.77415085,43.15932846,43.30428314,42.55301285,41.42908478,40.76622391,40.64000702,40.03635406,40.39321136,38.5188942,38.13010406,36.24495316,36.63170624,34.86824799,32.83712769,33.18723297,31.96807098,30.65179253,30.5316906,29.80847359,29.08577728,27.94145966,26.70252037,26.27002525,24.9887352,24.72454643,23.90389061,22.96199226,21.98201561,21.56243515,20.89325523,20.63946915,19.8830452,18.60898781,17.80675507,16.72813988,16.3751564,15.40765572,14.6445055,14.346982,14.08612633,13.88129807,13.41319656,12.30349636,12.92823029,11.85661697,11.54126835,10.40717506,10.45015621,10.2283926,10.066782,9.147908211,8.822831154,8.004858971,8.005992889,6.891933441,6.797962189,6.528627872,6.106323242,5.957074165,5.594447136,5.662328243,5.024558067,5.137022495,4.291465759,4.372825623,4.363331318,4.147902012,3.92112112,3.658797979,3.777508974
245,13.88649654,8.929926872,4.617143631,1.82735908,0.852061152,0.480517656,0.315960079,0.489733309,0.590347171,0.648849964,0.716946006,0.931867361,1.385313869,1.571620703,1.835002899,2.200426102,2.345771074,3.1868999,3.098133564,3.537649155,3.759109259,4.16254282,4.303384781,4.714157104,4.38831234,4.693768978,4.781750202,5.443556309,5.349140644,5.628333569,5.637185097,6.27120018,6.968274593,6.620867729,7.480133533,7.584336758,8.107481956,8.759180069,8.647569656,9.328647614,9.772294044,10.62553978,11.05084991,12.04714394,12.63699818,13.30730152,14.09523487,14.88095856,15.94604301,17.02708435,17.74933052,19.15277481,20.20606422,21.44046402,22.22173691,23.73104477,24.50752449,26.52778244,28.43458176,29.02607727,27.22472763,29.10927391,30.27022171,32.28152847,33.55850983,35.40571213,36.96234131,37.90738678,39.37197495,41.11798477,42.35824203,43.07833099,44.41359329,44.05506897,46.62973022,46.48098373,47.73723984,49.17406464,47.96698761,48.26052475,47.98213196,47.93864441,47.12621307,47.50848007,47.28094864,47.37844849,46.93146133,46.92114639,46.1837616,46.48980331,44.64320374,44.6687355,45.40311813,44.34440613,44.23801804,40.617733,40.62255859,40.13501358,40.08852005,39.37322235,39.00745773,39.29372406,37.00748062,37.3851738,36.8377533,36.26160431,34.78223419,34.01821899,33.35311127,32.43833923,31.89253616,30.56190109,30.29301071,29.22633362,28.54659271,27.63347054,27.00392342,26.03394508,25.69457054,24.97268867,23.77689362,22.64157295,23.17847061,22.20987129,20.79664803,20.05760384,19.52865791,18.5821991,18.3527832,17.11881065,17.30318832,16.18577766,15.83267593,14.38224411,14.29265881,13.66035652,13.241642,13.03799152,12.31336308,11.73638725,11.5056839,11.05508423,10.44346237,10.55342579,9.369170189,9.313583374,8.859941483,8.182314873,7.974639893,7.669830799,7.02026701,6.507296562,6.325171471,6.196480751,5.76753664,5.52319479,4.937743187,5.009022713,4.59274435,4.81149435,4.232674599,4.642542362,3.913131237,3.865236521,3.665881395,3.60210371
250,10.16729927,16.27744484,17.48789406,13.07061577,7.513041973,2.647137642,1.129126906,0.71586442,0.656586051,0.637012005,0.806687951,1.006551862,1.287103772,1.461205244,1.802986622,2.158337831,2.292291164,2.688436031,2.991626024,3.315942764,3.482201338,4.018715858,3.85798049,4.143732071,4.692263126,4.819901466,4.783222198,4.984023094,5.865542412,5.545333862,5.794969559,6.160783291,6.401036739,6.175729275,6.93846035,7.189116001,7.507975578,7.877931595,8.081752777,8.330979347,8.839694977,9.240050316,9.714024544,10.05643177,11.16274834,11.78448868,12.59102249,13.0217123,13.74884129,15.02429008,16.26725388,17.21422577,18.21870804,19.14473724,20.53442192,21.86484337,22.84211159,24.53220749,25.56123543,26.08816338,25.08870888,26.76100731,27.88070679,29.54644966,31.1684494,32.36592102,33.38550949,34.59640884,36.62330246,37.31916428,39.05000305,39.43719482,40.70173645,41.93549347,43.40392303,43.45301437,43.40181732,43.80492401,44.95153809,44.64828491,44.318367,44.99986649,44.51509094,45.27981567,43.54907608,44.641716,44.42536545,43.68868637,44.06503677,43.90843582,43.33665466,43.04480743,41.98690796,41.84976578,43.12731171,38.13374329,38.80646896,38.86206055,37.66514587,37.67421722,37.23996735,36.75504303,36.40378571,36.58061218,35.88024139,34.80314255,33.26464081,33.35517883,32.05396652,31.53915215,31.06062126,30.06678772,29.91221237,28.19701767,27.71447563,27.2609005,26.67446518,25.49293137,24.422369,24.13835716,23.66591835,22.02215195,22.62026596,21.35949326,20.29009819,19.4198513,18.89700699,18.4280529,17.11875153,16.42980766,16.38924599,16.14297485,14.87177181,15.00477409,13.79147148,13.49942493,12.70527267,12.45719528,11.76963043,11.90732765,11.04886055,10.38175869,10.14939022,9.823320389,9.008546829,9.052286148,8.503959656,7.765027523,7.980557442,7.119770527,6.812585831,6.274140835,6.039317608,6.082685947,6.203836441,5.53964138,5.178344727,4.973229885,4.800684929,4.677800179,4.234718323,4.050397396,4.003006458,3.774739742,3.690076351,3.35422802
255,1.216117501,1.949137688,3.859598398,8.97634697,14.10545921,13.30947304,11.1353054,6.631034374,3.558160782,2.106654644,1.29049027,1.182300687,1.598215103,1.948523521,2.016263962,2.290163755,2.498035669,2.967147827,3.05599308,3.139971972,3.734474897,4.106992722,4.111319542,4.487231255,4.630047798,5.022222996,5.148782253,5.344102859,6.128937244,5.674317837,5.778425217,5.961530685,6.322404385,6.383636475,6.871554852,6.928486824,6.886015892,7.302338123,7.858882427,8.066040039,8.886651039,8.778699875,9.602828026,9.521497726,9.914326668,10.75844669,11.15241718,12.48025322,12.38239098,13.4162159,14.53812981,15.74194145,17.2385807,17.12380028,18.78755569,19.62162781,20.41798782,22.58320427,21.92378616,23.43558121,21.6025753,23.17758369,24.95132446,26.17058945,27.49869728,28.1882782,29.55819702,31.47211838,31.98069,33.91898727,35.58740616,35.33115768,36.34173203,36.95391083,38.41713715,38.4854126,39.93024445,38.88916779,40.44730377,41.0411911,41.32167435,40.53210449,41.3330574,40.82524872,40.86711884,40.92471695,40.09128952,40.57303619,41.08965683,39.82047653,39.83396149,40.2935524,40.60773468,40.62851715,38.94113159,36.28190231,37.00138474,35.81482315,35.78653336,36.12666321,36.18172455,35.23241043,34.82069778,35.31739807,33.1319809,33.04784775,32.77116013,31.62648773,30.97306061,29.88773537,30.26003647,29.07187653,28.22634506,26.14467239,26.11452293,25.50749779,24.81599426,24.30456924,23.3170433,22.91607857,22.26365662,22.56604767,21.55373001,20.17876244,19.98250961,19.15512848,17.48924828,17.87867737,17.10410881,16.47981071,16.29685974,15.14552975,14.93643951,13.89706802,12.86990261,13.78103065,12.07678986,12.04864502,11.45070839,11.56851292,10.3935833,10.44617844,9.471101761,9.501497269,8.776275635,8.638828278,8.539808273,7.671730518,7.490272999,7.608599663,6.854537964,6.642495155,5.89588213,5.886267185,5.504527092,5.444363117,5.251874447,4.746068001,4.949109077,4.647829533,4.281195164,4.477782249,3.725419283,3.636187077,3.541919708,3.217106581
260,1.542253137,1.315585732,1.277565002,1.400507569,1.421320081,2.246426105,5.440103054,10.9243927,15.7365284,15.02844238,8.809495926,4.406695366,2.680910826,2.603098631,2.253618956,2.708166838,2.820302248,3.302420378,3.724807262,3.454594612,3.896660805,4.399019718,4.446163654,4.60095787,4.750650406,5.168385029,5.311067104,5.396395206,5.763201714,5.726918221,6.332450867,6.629333496,6.58998394,6.847882748,7.068011761,7.291546822,7.650755405,8.053210258,7.983317375,8.368327141,8.887056351,9.198741913,9.219385147,10.09318256,10.28239822,11.02292442,11.89141464,12.09558296,12.2206974,13.41612434,14.12964916,14.31324196,15.7452364,16.50346565,17.44539261,17.93844414,19.65306664,19.31921959,20.72145653,21.89992523,20.08378792,21.35814476,22.21704865,24.16179466,25.60219193,27.19519806,28.1820507,29.03519058,29.56241798,30.79973793,32.20454407,32.99393845,33.56536102,34.57537079,35.47293472,36.49968338,36.61172867,37.10504913,37.67908859,37.59079742,37.23771286,37.43676758,37.20438004,39.32077408,38.56774902,38.41572571,38.34783936,38.3895874,38.20252228,38.15049744,37.79777145,37.62860107,38.68371582,37.80314636,37.54484558,35.05235291,35.32181168,34.43254471,35.17370224,34.75297546,34.75246811,34.23096466,33.49140167,33.31126022,32.44187164,32.05496216,31.00440979,30.64486504,30.05733681,29.81809616,29.39953232,27.95253754,27.37381935,27.02244949,26.35454559,25.43337822,24.94257164,24.49059486,23.15419388,22.9459343,22.08649063,21.68605042,21.62328148,20.13487053,20.13730812,19.4307518,17.71686935,17.77086639,17.31156921,16.22089005,15.76653957,15.16838551,14.63895416,14.01256752,13.39465523,13.29419804,12.62859726,12.04930115,11.83023453,11.75638866,10.88464737,10.43745327,10.04616642,9.594445229,8.606612206,8.556768417,8.564253807,7.987884521,7.588303089,7.363667488,6.69153595,6.406711578,6.084688187,6.311470032,5.597127438,5.861801624,5.139007568,4.744894505,4.695112228,4.725245476,4.342082977,4.114933014,4.101699829,3.878736019,3.749524355,3.567232847
265,18.42816925,5.591789246,1.906602502,1.747163534,1.518001676,0.908932686,1.191680431,2.020381689,5.028315067,8.932514191,12.9105463,13.93959808,11.52926826,8.836671829,5.663631439,3.583378077,3.112479448,3.562703609,3.660295248,3.568735361,3.837586403,4.216355801,4.665732861,4.889891624,4.837112904,4.925992012,5.263363361,5.305373192,6.172401428,5.709323406,5.840072155,6.100696087,6.189600468,6.538982391,7.030283451,7.501002312,7.32048893,7.662872314,7.456045628,7.963942528,8.123743057,8.118465424,8.314269066,8.948849678,9.693468094,9.939142227,10.48737621,10.73425007,11.58572006,11.78602409,12.47169209,13.37721539,13.49399757,14.37684536,15.40411854,15.78619003,16.67802811,17.79196548,19.03859329,19.63090515,17.26688957,18.70804787,20.0276432,20.96351433,21.93815994,22.59111977,23.6818409,24.98561668,25.54640961,26.66327095,26.95378876,28.32760048,28.83047104,29.53078842,30.21819496,30.94656944,32.21017075,31.8674736,31.203022,32.64306259,32.96970749,32.4582901,33.19968033,34.19942474,33.20115662,33.06150436,32.99778748,33.43496704,34.12848663,33.92464066,33.27701187,33.44385147,33.14350128,32.91847992,33.83485794,31.22201729,31.40437508,31.35684013,30.14682579,30.97078896,29.87582207,29.38358116,30.18414879,29.51934814,29.12255096,28.26664352,27.46930504,27.22156334,26.42457771,26.74281883,25.93989372,25.11883545,25.38975906,23.48295593,23.84451103,22.90604782,22.06185722,22.1091404,20.93393135,20.95586395,19.92022133,19.67019844,18.60628128,18.31816483,17.85297585,17.20463562,16.9314785,15.99736023,15.58352661,14.52961254,14.47212219,14.16353893,13.23664188,12.69601631,11.96096897,11.72204018,11.66517925,10.35253906,10.54813671,10.26324081,9.46761322,9.291000366,8.770031929,8.376169205,8.018705368,7.782672882,8.160298347,6.962397099,7.006452084,6.91120863,5.865967274,5.966802597,5.884464264,5.584005833,5.444805145,4.962703228,4.623746872,4.612714291,4.637120724,4.118476868,3.998826981,3.658442497,3.763401031,3.198760271,3.503856659,3.1039083
270,77.03209686,71.11560822,42.44522095,17.7267952,4.648323059,1.435590863,1.255125642,1.404779673,1.358060002,1.842966199,2.379035473,4.498282433,8.897215843,13.68426991,16.71665001,14.75176716,11.02415848,7.045793533,5.427175999,5.049915791,4.66168642,5.03291893,5.207174301,5.523717403,5.319757462,5.662128925,5.595617294,5.863117218,6.075701714,5.972900391,6.499713898,6.769360542,6.816887379,7.131409645,7.358187199,6.939033985,7.286471844,7.598776817,8.151119232,8.21937561,8.450258255,8.635206223,8.793545723,9.207615852,9.503115654,9.746207237,10.19784451,10.49294758,11.16395092,11.81657124,12.02685452,12.87780476,13.06506062,14.03849506,14.43015671,15.29019451,15.87173557,15.98342323,17.46669197,17.74886703,16.31251717,17.60788727,17.86129761,19.08276939,19.55224609,20.76643753,21.71565628,22.22977066,23.26300812,23.97588539,24.63145828,25.20666504,26.07385445,26.53855324,27.23664093,27.87973022,28.0358181,28.84884071,28.62796783,29.20885086,28.89761734,29.33091164,29.52211189,29.88830948,29.21467781,29.70507431,29.01662827,29.47467613,29.82183266,30.3210392,29.38561821,29.68113518,29.75184631,29.6114521,29.86261368,27.68933296,27.7766819,27.84944153,28.03688049,27.575243,27.30781364,27.3607235,27.2608242,26.6716423,26.41033936,25.78972244,26.00623894,25.18049431,25.27789497,23.72483826,23.68191528,23.10849762,22.36755371,21.88594055,21.84789085,21.58163452,20.93886375,20.25884438,19.52509117,18.8014183,18.54550171,17.74631691,17.81952286,17.45143127,16.74650383,15.82215405,15.41749954,14.526371,13.87790203,13.80374622,13.23477173,13.16906834,12.72488594,12.36389637,11.94223976,11.3174324,10.91156673,10.54959011,9.8742733,9.389478683,9.33820343,8.776170731,8.742580414,8.28707695,7.479424953,8.016921997,7.293210983,6.893376827,6.373949051,6.472493172,5.647172451,5.648843288,5.456418991,5.712262154,4.825982571,4.663043022,4.557163715,4.237455368,4.355059624,3.975175858,3.83428812,3.818431854,3.528317451,3.411022663,3.255744219,3.092423916
