Wavelength (nm),Intensity (a.u.),Z Axis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0_EM_270.00,0_EM_272.00,0_EM_274.00,0_EM_276.00,0_EM_278.00,0_EM_280.00,0_EM_282.00,0_EM_284.00,0_EM_286.00,0_EM_288.00,0_EM_290.00,0_EM_292.00,0_EM_294.00,0_EM_296.00,0_EM_298.00,0_EM_300.00,0_EM_302.00,0_EM_304.00,0_EM_306.00,0_EM_308.00,0_EM_310.00,0_EM_312.00,0_EM_314.00,0_EM_316.00,0_EM_318.00,0_EM_320.00,0_EM_322.00,0_EM_324.00,0_EM_326.00,0_EM_328.00,0_EM_330.00,0_EM_332.00,0_EM_334.00,0_EM_336.00,0_EM_338.00,0_EM_340.00,0_EM_342.00,0_EM_344.00,0_EM_346.00,0_EM_348.00,0_EM_350.00,0_EM_352.00,0_EM_354.00,0_EM_356.00,0_EM_358.00,0_EM_360.00,0_EM_362.00,0_EM_364.00,0_EM_366.00,0_EM_368.00,0_EM_370.00,0_EM_372.00,0_EM_374.00,0_EM_376.00,0_EM_378.00,0_EM_380.00,0_EM_382.00,0_EM_384.00,0_EM_386.00,0_EM_388.00,0_EM_390.00,0_EM_392.00,0_EM_394.00,0_EM_396.00,0_EM_398.00,0_EM_400.00,0_EM_402.00,0_EM_404.00,0_EM_406.00,0_EM_408.00,0_EM_410.00,0_EM_412.00,0_EM_414.00,0_EM_416.00,0_EM_418.00,0_EM_420.00,0_EM_422.00,0_EM_424.00,0_EM_426.00,0_EM_428.00,0_EM_430.00,0_EM_432.00,0_EM_434.00,0_EM_436.00,0_EM_438.00,0_EM_440.00,0_EM_442.00,0_EM_444.00,0_EM_446.00,0_EM_448.00,0_EM_450.00,0_EM_452.00,0_EM_454.00,0_EM_456.00,0_EM_458.00,0_EM_460.00,0_EM_462.00,0_EM_464.00,0_EM_466.00,0_EM_468.00,0_EM_470.00,0_EM_472.00,0_EM_474.00,0_EM_476.00,0_EM_478.00,0_EM_480.00,0_EM_482.00,0_EM_484.00,0_EM_486.00,0_EM_488.00,0_EM_490.00,0_EM_492.00,0_EM_494.00,0_EM_496.00,0_EM_498.00,0_EM_500.00,0_EM_502.00,0_EM_504.00,0_EM_506.00,0_EM_508.00,0_EM_510.00,0_EM_512.00,0_EM_514.00,0_EM_516.00,0_EM_518.00,0_EM_520.00,0_EM_522.00,0_EM_524.00,0_EM_526.00,0_EM_528.00,0_EM_530.00,0_EM_532.00,0_EM_534.00,0_EM_536.00,0_EM_538.00,0_EM_540.00,0_EM_542.00,0_EM_544.00,0_EM_546.00,0_EM_548.00,0_EM_550.00,0_EM_552.00,0_EM_554.00,0_EM_556.00,0_EM_558.00,0_EM_560.00,0_EM_562.00,0_EM_564.00,0_EM_566.00,0_EM_568.00,0_EM_570.00,0_EM_572.00,0_EM_574.00,0_EM_576.00,0_EM_578.00,0_EM_580.00,0_EM_582.00,0_EM_584.00,0_EM_586.00,0_EM_588.00,0_EM_590.00,0_EM_592.00,0_EM_594.00,0_EM_596.00,0_EM_598.00,0_EM_600.00
,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166
230,0.580095589,0.523965657,0.414690495,0.377817333,0.562799752,0.236403242,0.188498721,0.43388024,0.249941483,0.483178705,0.356268406,0.310260087,0.428895861,0.598370373,0.646558404,0.512281299,0.622612655,0.467398137,0.619427979,0.324623704,0.561723948,0.335369825,0.491806656,0.63479799,0.602397203,0.274213642,0.668997288,0.683358848,0.587339222,0.789605141,0.908420324,0.732521653,0.890597343,0.781324029,1.106140733,0.950301349,1.092851877,1.451632023,1.150471568,0.912749231,1.125059366,0.958375394,0.910601497,1.092621565,0.821328402,1.182238698,0.988813877,0.775657177,1.336921573,0.920293868,0.939125896,0.958482444,0.874807656,0.677653134,0.609028339,0.87515676,0.978881001,0.894075453,0.655923367,0.804052114,0.58669728,0.5837183,0.513153791,0.59949404,0.879322886,0.731474698,0.612361848,0.622472942,0.682930708,0.730629861,0.566436589,0.72244972,0.61960417,0.639045656,0.941583693,0.589690506,0.451221973,0.843081832,0.281752408,0.548007607,0.524781883,0.402969569,0.501777411,0.638558269,0.46519044,0.318824589,0.380134821,0.442115933,0.428754866,0.454796523,0.29546532,0.462211698,0.353125334,0.271570951,0.372465849,0.368215173,0.47678408,0.30827418,0.185959443,0.479496807,0.321405083,0.283156395,0.284163982,0.385218769,0.370244235,0.259405404,0.062177338,0.346067786,0.235359773,0.495162517,0.001321295,0.050639458,0.209936261,0.235781625,0.222206771,0.348183066,0.148987085,0.14961192,0.187456459,-0.060565472,0.148332968,0.075956382,0.211002186,0.075931668,0.357658625,0.112945363,0.163113862,0.271919608,0.063130356,0.025705812,0.235066548,0.050393902,0.100472912,0.199113786,0.026132422,0.038204439,0.137050956,0.088043392,0.246779844,0.001286563,0.075899549,0.13751024,0.026382999,0.248594835,0.100440651,0.013795624,0.100542106,0.162671521,0.088054456,0.001460899,-0.048267759,-0.085111573,0.050916165,0.063337721,0.100736246,0.149851963,-0.147536844,-0.023490446,0.211376116,0.051964171,0.175898924,-0.073130555,-0.048581086,0.026423452,0.174882889,0.088465177
235,0.753376186,0.632610619,0.795378685,0.410273761,0.528169632,0.3615008,0.455082506,0.389093369,0.264669061,0.378311902,0.652350426,0.446841836,0.337749898,0.339148968,0.294419438,0.45484668,0.266717911,0.338754892,0.093734264,0.33807382,0.411771566,0.543815315,0.429203063,0.291298926,0.510296881,0.376715362,0.427943945,0.297569603,0.590356231,0.683036149,0.373428285,0.761206508,0.633347988,0.562152505,0.668867111,1.003369331,0.95150882,0.718381703,0.828248322,0.813403368,0.901837111,0.838553309,0.666498899,0.695111096,0.462067872,0.763016582,0.85621047,0.823027194,1.116960526,0.904194355,0.70618093,0.775846839,0.756678522,0.902803063,0.983812451,0.817887604,0.617376506,0.940257847,0.653338492,0.926704705,0.548751414,0.376485854,0.75623095,0.762463212,0.778338909,0.731550574,0.537842572,0.641678393,0.671190083,0.571057558,0.686253726,0.881715238,0.595494747,0.555737555,0.783274472,0.450204641,0.683616757,0.780296326,0.628351808,0.552682579,0.525813282,0.56901437,0.599340796,0.454899758,0.573088229,0.380973607,0.366478354,0.55969584,0.471002728,0.363350987,0.230400041,0.47493872,0.530824959,0.244685963,0.439970851,0.499858409,0.249775097,0.320929199,0.338462263,0.455071449,0.427352607,0.368867636,0.26175198,0.308459729,0.382542908,0.188515127,0.262232423,0.292137653,0.339107573,0.263228416,0.309338599,0.233307138,0.355619103,0.157535061,0.326836258,0.310663074,0.266510606,0.358066618,0.173089087,0.007106032,0.204407275,0.11317344,0.232807681,0.143916875,0.235292956,0.067369089,0.129410073,0.173413619,0.037446149,0.278651744,0.097865097,0.114204243,0.265250176,0.281755209,-0.008174633,0.309016645,0.267501056,0.022093253,0.297399461,0.266559303,0.067490324,0.112842202,0.233043626,0.129323632,0.037516788,0.099197656,0.129679412,0.267371893,0.037502833,0.128635511,0.296841472,-0.084676847,-0.008211141,-0.161279991,-0.008231191,0.037364572,0.022392338,0.037205741,0.175834909,0.067801796,-0.008185182,0.068552449,0.174553499,-0.069364816,0.022042749,0.173802093
240,2.324315071,1.021211267,0.817851424,0.563757896,0.449680716,0.271836281,0.536780417,0.336856931,0.282352328,0.416976899,0.342425108,0.438682467,0.374938607,0.338536412,0.420113474,0.421237111,0.348356128,0.339490175,0.349270076,0.279741317,0.324134111,0.326649606,0.254168421,0.384135634,0.059273392,0.162460923,0.247550592,0.119274914,0.236932382,0.30987066,0.356873274,0.332237959,0.281702518,0.457205474,0.503657699,0.225407287,0.412819982,0.738767266,0.398346633,0.493645579,0.644457459,0.554591954,0.418992698,0.564959466,0.537145913,0.608635604,0.705552578,0.712974072,0.547068775,0.761130989,0.451789051,0.750007629,0.360395908,0.542307138,0.695201516,0.603340387,0.701802075,0.481821328,0.481766671,0.445310265,0.6937325,0.762382925,0.405525297,0.554676533,0.552518785,0.468996108,0.797864854,0.639048457,0.574138165,0.74260962,0.601021647,0.552691638,0.643708408,0.360963196,0.67186147,0.554238141,0.716639102,0.698574662,0.420580596,0.628943503,0.43509227,0.687344372,0.544746339,0.55836302,0.422410876,0.397526711,0.316488653,0.435180843,0.426669508,0.439517647,0.330517769,0.243918493,0.450569928,0.34763369,0.283668816,0.558370054,0.254109621,0.571863413,0.206227854,0.268925011,0.306212068,0.098410226,0.426193565,0.399291456,0.278248757,0.331440657,0.302478373,0.144983307,0.304745108,0.384388804,0.205180004,0.230743781,0.328566641,0.340768456,0.196179807,0.230639175,0.198512509,0.304804981,0.277246952,0.210499704,0.183234185,0.121070445,0.219901472,0.145489648,0.207515404,0.121028677,0.170052469,0.14403981,0.074344948,0.161639899,0.110886961,0.111219391,0.086281717,0.135523185,0.000661226,0.073414654,0.099160783,0.173631579,0.086551495,-0.023490446,0.013069952,0.147093564,0.08656764,0.049794681,0.109338939,0.062006779,0.098544113,0.098084196,-0.01121629,0.036393382,-0.047713198,0.148501843,-0.109421134,0.06264326,0.098447397,-0.011436589,0.208163202,-0.110266939,0.050155394,0.099202923,0.086202778,0.037396803,0.100301042,0.086686201,-0.048061676,0.049657986
245,17.43800354,11.69535828,5.210635185,2.060252428,1.061305523,0.508488476,0.421361029,0.285980672,0.323486328,0.371132314,0.35257858,0.391694963,0.358485371,0.364627957,0.337669045,0.271808386,0.297123075,0.263735652,0.137247145,0.161532879,0.235750571,0.152777582,0.1736366,0.283727258,0.21469216,0.233752564,0.099818118,0.191330925,0.235399202,0.238017544,0.252267241,0.207234427,0.247279897,0.307480663,0.195223778,0.306333393,0.280468792,0.225723565,0.403268635,0.329220623,0.311712265,0.40708974,0.414385825,0.335870892,0.35830009,0.418720841,0.523103416,0.430430114,0.396067381,0.333747506,0.451553464,0.340234905,0.495878726,0.490983218,0.446602374,0.559027493,0.514799476,0.455568761,0.433216959,0.611874759,0.420362204,0.506368101,0.480185717,0.448497385,0.499258906,0.475072891,0.476593941,0.591841817,0.462718308,0.672271311,0.515568316,0.47388196,0.496709555,0.506087482,0.52998507,0.403231531,0.419516951,0.594285607,0.474951923,0.473563224,0.459754825,0.514086902,0.506704152,0.508180082,0.341742069,0.476131558,0.388699889,0.379351884,0.299374998,0.27198872,0.317813188,0.403265148,0.461828619,0.301047236,0.355067492,0.402948767,0.178880572,0.303104132,0.280458897,0.279791594,0.308830708,0.228783324,0.239930883,0.225081906,0.220465064,0.147355378,0.257221371,0.252035022,0.127238289,0.2808007,0.233892843,0.189310879,0.200890526,0.202823162,0.153069004,0.228346989,0.114324719,0.189025402,0.148355842,0.15353784,0.135252312,0.149502665,0.103659391,0.16375418,0.095939472,0.183782846,0.164304242,0.177692503,0.083183333,0.042973287,0.069346517,0.05635944,0.056288302,0.109161064,0.090215839,0.109024823,0.114701092,0.104250953,0.076521561,0.084027044,0.103184655,0.04975304,0.016292868,0.083763972,0.023244767,0.023113461,0.222405747,0.143532544,0.075340062,0.043551214,0.117401868,-0.016781153,0.122446537,0.050479032,-0.010035932,-0.030158669,0.023541817,0.035323858,-0.003600108,-0.069981068,-0.043569155,0.042954735,-0.043441899,0.029678771,-0.043440305,0.043549858
250,14.08004284,20.7963028,22.05591965,16.33214188,8.916307449,2.873848915,1.3793118,0.594335318,0.555410326,0.510873735,0.35218212,0.334870338,0.394513071,0.352391601,0.23509489,0.285819769,0.289064586,0.258985847,0.354116321,0.248247162,0.216763541,0.283098996,0.213360116,0.195719048,0.250563502,0.253658861,0.123437896,0.151876688,0.153079316,0.090385318,0.205455139,0.167730272,0.226319373,0.197608024,0.204021424,0.232633784,0.24049668,0.329846591,0.234469876,0.147195876,0.252816498,0.310720861,0.275755227,0.141102731,0.292059392,0.309787333,0.368153691,0.261187613,0.326709896,0.274890244,0.340223581,0.291117072,0.285708189,0.329217136,0.321315348,0.348053902,0.434332579,0.358622104,0.302611411,0.33728677,0.401289105,0.296708971,0.313209862,0.340486228,0.302981228,0.310216844,0.367421985,0.423273057,0.436354607,0.372970134,0.39123401,0.267427772,0.314950615,0.34257105,0.284457505,0.329457521,0.418198049,0.330163479,0.294986427,0.427424282,0.333119988,0.328799129,0.25654152,0.216202751,0.367923766,0.370452106,0.357838303,0.34265238,0.269345373,0.31864363,0.302467853,0.315344632,0.363598108,0.255482912,0.276685029,0.23919557,0.197452635,0.231870696,0.252848059,0.183673993,0.210941285,0.152254418,0.20159699,0.168755636,0.213212341,0.222079292,0.121543869,0.179622412,0.183939084,0.224162608,0.203566611,0.185121775,0.162994102,0.250210941,0.199396521,0.116806284,0.092283122,0.115956068,0.20416835,0.121629745,0.104081288,0.184126809,0.09883514,0.123927385,0.110788673,0.109952748,0.210482404,0.110904798,0.17447862,0.120181933,0.112391159,0.069310524,0.023055552,0.104254618,0.126733437,-0.006032547,0.15213199,0.041334793,-0.006044121,0.040802449,0.047186762,0.069375157,-0.005951202,0.058211282,0.076965749,0.040719129,0.023098921,0.01162705,0.017457439,0.064611144,-0.000237877,0.123429239,0.005641311,0.053703032,0.0938894,-0.011749635,-0.000128552,-0.006049193,-0.040978163,-0.040981732,0.082222767,0.05847197,-0.011782009,0.006014347,-0.035221338,0.017509965
255,1.412198424,2.032090187,4.4280653,11.41865635,17.48126602,16.06559563,13.77248859,7.840659618,3.593480349,1.806969881,0.843091667,0.494186431,0.405566335,0.287882417,0.407145709,0.255015016,0.457333386,0.255136251,0.174600676,0.395438284,0.295984566,0.295846701,0.3644858,0.299042374,0.344394922,0.055181578,0.296456963,0.221202776,0.13347353,0.144204453,0.312272757,0.169280633,0.037921146,0.213175192,0.233051375,0.204102591,0.20311673,0.32525754,0.196187422,0.090469673,0.169387117,0.196715668,0.212916166,0.302592665,0.189674243,0.358609468,0.191230461,0.183247402,0.244493529,0.07327155,0.273686379,0.260099441,0.250751168,0.108894423,0.145353422,0.325806022,0.294238836,0.364982486,0.452246934,0.224255502,0.205649048,0.35245949,0.396609992,0.307472438,0.26734814,0.28733331,0.252212137,0.173426896,0.146448299,0.135929972,0.209128037,0.252917677,0.147491261,0.351255238,0.303584278,0.318808705,0.287360907,0.334467381,0.278385609,0.33100006,0.140348479,0.191706017,0.379399598,0.361183435,0.163685337,0.289649785,0.199427277,0.36110428,0.236954287,0.225970536,0.409824222,0.227506801,0.185302451,0.263304412,0.432452887,0.314723223,0.120413855,0.196330026,0.138611838,0.1667597,0.282755136,0.262798965,0.284659177,0.31574434,0.111516982,0.193954036,0.177663445,0.211285248,0.076691709,0.164946705,0.147683814,0.16801405,0.267291725,0.272219062,0.132257104,0.220811442,0.14023672,0.039411113,0.195136592,0.067089267,0.093296304,0.129542768,0.138263687,0.121621102,0.092892729,0.333332151,0.122351259,0.104179218,0.120399624,0.068112329,0.057665944,0.075242192,0.057692297,0.030146593,0.075814426,0.184428558,0.003652981,0.120507106,0.00365519,0.130101338,0.185708866,0.0392465,0.112290561,0.085004732,0.149073675,-0.005189504,0.147340596,0.121614531,0.003674855,0.102948934,-0.01447754,0.059172399,0.148262516,0.04904823,0.18750906,0.067099117,0.076296374,0.058388777,0.085480601,0.094761252,-0.032575324,0.040036775,0.01284379,0.013089677,0.00412827,0.103605509
260,1.441608667,1.267825007,1.249057531,1.189382076,1.302646995,2.857246161,6.91875124,13.72418785,19.14336967,17.34073448,9.452450752,4.104432583,1.229379654,0.934011221,0.494827837,0.369642138,0.321292073,0.23067607,0.312661916,0.256835341,0.206194207,0.150499612,0.233168289,0.211807355,0.281918973,0.234217092,0.121868208,0.228866205,0.170830145,0.192230895,0.055899836,0.186868697,0.192546904,0.270922512,0.21325323,0.20238547,0.176621199,0.24951987,0.251675308,0.208586857,0.1502029,0.102916479,0.125884309,0.243389741,0.201201007,0.312473714,0.239806041,0.24197422,0.266294599,0.141297117,0.19235824,0.107979864,0.157511786,0.183398426,0.176901907,0.268747181,0.211802408,0.253785193,0.224998787,0.180918336,0.194505379,0.108991474,0.121159136,0.073350914,0.18391113,0.141826138,0.168024391,0.16102542,0.19550325,0.229653642,0.093603082,0.293145239,0.243282929,0.210310847,0.163783491,0.190272689,0.20501782,0.214131609,0.238366619,0.237918183,0.162531346,0.196189672,0.302225053,0.136289701,0.293579191,0.155168965,0.260309905,0.288641632,0.195663631,0.191853926,0.160313204,0.282748044,0.24501349,0.111558542,0.280337244,0.184093282,0.159624234,0.167298272,0.20502378,0.116074651,0.078756839,0.164988637,0.095704235,0.113306955,0.085212886,0.156889662,0.174980238,0.079508446,0.181204617,0.21001485,0.156120941,0.134318098,0.217520922,0.125016242,0.144340217,0.143251523,0.088577695,0.062939979,0.1992255,0.110724762,0.17122519,0.041762769,0.073069863,0.187805787,0.154363021,0.117248654,0.123875797,0.112191096,0.116805151,0.127188966,0.15038386,0.134750351,0.144079834,0.133201107,0.101712331,0.057732448,0.100854039,0.063936472,0.051886171,0.05774124,0.025606444,0.146405146,0.024854025,0.030597815,0.041232727,0.128194615,0.052597754,0.122423172,0.074481532,-0.001834175,0.003603071,0.036675721,0.041564308,0.080272891,0.041758157,0.058235161,0.041439004,-0.012498717,0.003716294,0.025713274,0.092427269,0.009591462,-0.023490446,-0.006798649,-0.040002268,-0.001599027
265,15.79728985,5.194992542,1.868393421,1.403579712,1.144909739,0.994341731,1.050144553,2.290576458,5.729069233,10.64229107,15.52721786,15.22942638,12.10287476,7.68328476,3.421751022,1.396802664,0.809253514,0.550275385,0.353765696,0.385933131,0.308978826,0.310482025,0.242155209,0.266044021,0.259885758,0.192004204,0.129915163,0.219572142,0.145071089,0.219953939,0.232333913,0.234055653,0.239931181,0.184663415,0.200558648,0.271096081,0.203206286,0.256765783,0.245208427,0.276537806,0.150165886,0.1837551,0.147108838,0.162125483,0.236580089,0.298840642,0.288323849,0.141624346,0.117170557,0.261399895,0.25255087,0.224926606,0.237757728,0.19254145,0.215603098,0.243785128,0.192532629,0.205087677,0.298627317,0.198448837,0.099730909,0.197812006,0.083019063,0.169876486,0.175869271,0.182588294,0.245561019,0.171426371,0.263852388,0.157934025,0.174890995,0.171603829,0.217935979,0.228708968,0.158487827,0.193879724,0.210003018,0.200922087,0.166112229,0.193763003,0.153193206,0.157096997,0.158253118,0.099303655,0.177999392,0.108496621,0.087995544,0.141512439,0.193747684,0.180776328,0.200364217,0.192852199,0.14120768,0.105987579,0.196561649,0.139547661,0.155143723,0.113752529,0.161456108,0.118577704,0.171295211,0.148229122,0.095284984,0.129352733,0.096587852,0.18912974,0.149993956,0.093819864,0.053582221,0.168038011,0.219876319,0.124581367,0.101432964,0.059144422,0.077393174,0.076637365,0.106688619,0.189105898,0.041781388,0.118219525,0.148744151,0.047538586,0.036111414,0.01189818,0.041234098,0.123997837,0.131073654,0.10694176,0.096683085,0.064703867,0.071612351,0.083046801,0.082499772,0.083657511,0.118886173,0.083605878,0.089358278,0.060496286,0.131909713,0.113539934,0.071579583,0.000343479,0.090266347,0.047226325,0.148662359,0.036172934,0.031118887,0.078145899,0.036554106,0.053942129,0.101941854,0.115092993,0.018021541,0.06771715,0.036544375,-0.017500557,0.04284215,0.078969188,0.073453985,0.03151606,0.030680409,0.018761719,-0.029528728,-0.017457627,0.037230797,0.031040134
270,64.84583282,59.43575287,33.86359024,12.5431366,3.377598763,1.240461588,0.937743187,0.994040847,0.94873184,0.904857099,1.582891345,3.796077728,8.661937714,13.90441608,16.95490646,13.57218647,8.884213448,3.886654854,1.531391978,0.783473909,0.519079506,0.39915961,0.29241696,0.35439527,0.306222707,0.238362148,0.099912114,0.194580719,0.205982909,0.189250246,0.24257575,0.245441899,0.263408184,0.245711371,0.210984334,0.21547246,0.207712978,0.241524115,0.205306083,0.264979213,0.240964785,0.243914887,0.140422806,0.262470365,0.224643484,0.208925515,0.226171985,0.266602129,0.266307145,0.252183557,0.209671229,0.325259298,0.299894214,0.197698444,0.244381145,0.240997925,0.142931625,0.148445562,0.252885878,0.187687919,0.195761949,0.177140266,0.211235762,0.12831606,0.265465349,0.162113875,0.164404079,0.170120403,0.209124148,0.217655152,0.191399962,0.139714897,0.154720023,0.192582354,0.220867679,0.166369006,0.139395893,0.215078548,0.190875113,0.191957146,0.156431317,0.222018793,0.214569062,0.151536331,0.10727255,0.160962239,0.261730522,0.196074307,0.059369467,0.19753696,0.114802301,0.155501992,0.266080737,0.121669233,0.205770373,0.153004467,0.220594391,0.055006593,0.140452385,0.109855205,0.172130734,0.134488255,0.109850422,0.109580159,0.090072013,0.149556041,0.105617791,0.135325909,0.079016887,0.104454204,0.139326274,0.115796089,0.084340103,0.08421623,0.146863788,0.078662433,0.074674897,0.059264041,0.108724818,0.157623976,0.131252423,0.073782332,0.105275303,0.152795926,0.058988035,0.132364228,0.084631585,0.100210063,0.017503032,0.120296165,0.130740896,0.115022242,0.1359303,0.085273325,0.059487209,0.09014827,0.043861486,0.043910377,0.063686803,0.039290436,0.079677857,0.017807977,0.017447023,0.060495973,0.063541763,0.075362854,0.096061498,0.064071625,0.007386139,0.075210348,-0.002951926,-0.018299496,0.007505134,0.055873796,0.013128093,0.049884818,0.018389767,0.049392439,0.054742537,0.059672669,0.002525475,0.081601799,0.075525649,0.044790812,-0.033918899,-0.007764868
