Wavelength (nm),Intensity (a.u.),Z Axis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MILLIQBLANK_EM_270.00,MILLIQBLANK_EM_272.00,MILLIQBLANK_EM_274.00,MILLIQBLANK_EM_276.00,MILLIQBLANK_EM_278.00,MILLIQBLANK_EM_280.00,MILLIQBLANK_EM_282.00,MILLIQBLANK_EM_284.00,MILLIQBLANK_EM_286.00,MILLIQBLANK_EM_288.00,MILLIQBLANK_EM_290.00,MILLIQBLANK_EM_292.00,MILLIQBLANK_EM_294.00,MILLIQBLANK_EM_296.00,MILLIQBLANK_EM_298.00,MILLIQBLANK_EM_300.00,MILLIQBLANK_EM_302.00,MILLIQBLANK_EM_304.00,MILLIQBLANK_EM_306.00,MILLIQBLANK_EM_308.00,MILLIQBLANK_EM_310.00,MILLIQBLANK_EM_312.00,MILLIQBLANK_EM_314.00,MILLIQBLANK_EM_316.00,MILLIQBLANK_EM_318.00,MILLIQBLANK_EM_320.00,MILLIQBLANK_EM_322.00,MILLIQBLANK_EM_324.00,MILLIQBLANK_EM_326.00,MILLIQBLANK_EM_328.00,MILLIQBLANK_EM_330.00,MILLIQBLANK_EM_332.00,MILLIQBLANK_EM_334.00,MILLIQBLANK_EM_336.00,MILLIQBLANK_EM_338.00,MILLIQBLANK_EM_340.00,MILLIQBLANK_EM_342.00,MILLIQBLANK_EM_344.00,MILLIQBLANK_EM_346.00,MILLIQBLANK_EM_348.00,MILLIQBLANK_EM_350.00,MILLIQBLANK_EM_352.00,MILLIQBLANK_EM_354.00,MILLIQBLANK_EM_356.00,MILLIQBLANK_EM_358.00,MILLIQBLANK_EM_360.00,MILLIQBLANK_EM_362.00,MILLIQBLANK_EM_364.00,MILLIQBLANK_EM_366.00,MILLIQBLANK_EM_368.00,MILLIQBLANK_EM_370.00,MILLIQBLANK_EM_372.00,MILLIQBLANK_EM_374.00,MILLIQBLANK_EM_376.00,MILLIQBLANK_EM_378.00,MILLIQBLANK_EM_380.00,MILLIQBLANK_EM_382.00,MILLIQBLANK_EM_384.00,MILLIQBLANK_EM_386.00,MILLIQBLANK_EM_388.00,MILLIQBLANK_EM_390.00,MILLIQBLANK_EM_392.00,MILLIQBLANK_EM_394.00,MILLIQBLANK_EM_396.00,MILLIQBLANK_EM_398.00,MILLIQBLANK_EM_400.00,MILLIQBLANK_EM_402.00,MILLIQBLANK_EM_404.00,MILLIQBLANK_EM_406.00,MILLIQBLANK_EM_408.00,MILLIQBLANK_EM_410.00,MILLIQBLANK_EM_412.00,MILLIQBLANK_EM_414.00,MILLIQBLANK_EM_416.00,MILLIQBLANK_EM_418.00,MILLIQBLANK_EM_420.00,MILLIQBLANK_EM_422.00,MILLIQBLANK_EM_424.00,MILLIQBLANK_EM_426.00,MILLIQBLANK_EM_428.00,MILLIQBLANK_EM_430.00,MILLIQBLANK_EM_432.00,MILLIQBLANK_EM_434.00,MILLIQBLANK_EM_436.00,MILLIQBLANK_EM_438.00,MILLIQBLANK_EM_440.00,MILLIQBLANK_EM_442.00,MILLIQBLANK_EM_444.00,MILLIQBLANK_EM_446.00,MILLIQBLANK_EM_448.00,MILLIQBLANK_EM_450.00,MILLIQBLANK_EM_452.00,MILLIQBLANK_EM_454.00,MILLIQBLANK_EM_456.00,MILLIQBLANK_EM_458.00,MILLIQBLANK_EM_460.00,MILLIQBLANK_EM_462.00,MILLIQBLANK_EM_464.00,MILLIQBLANK_EM_466.00,MILLIQBLANK_EM_468.00,MILLIQBLANK_EM_470.00,MILLIQBLANK_EM_472.00,MILLIQBLANK_EM_474.00,MILLIQBLANK_EM_476.00,MILLIQBLANK_EM_478.00,MILLIQBLANK_EM_480.00,MILLIQBLANK_EM_482.00,MILLIQBLANK_EM_484.00,MILLIQBLANK_EM_486.00,MILLIQBLANK_EM_488.00,MILLIQBLANK_EM_490.00,MILLIQBLANK_EM_492.00,MILLIQBLANK_EM_494.00,MILLIQBLANK_EM_496.00,MILLIQBLANK_EM_498.00,MILLIQBLANK_EM_500.00,MILLIQBLANK_EM_502.00,MILLIQBLANK_EM_504.00,MILLIQBLANK_EM_506.00,MILLIQBLANK_EM_508.00,MILLIQBLANK_EM_510.00,MILLIQBLANK_EM_512.00,MILLIQBLANK_EM_514.00,MILLIQBLANK_EM_516.00,MILLIQBLANK_EM_518.00,MILLIQBLANK_EM_520.00,MILLIQBLANK_EM_522.00,MILLIQBLANK_EM_524.00,MILLIQBLANK_EM_526.00,MILLIQBLANK_EM_528.00,MILLIQBLANK_EM_530.00,MILLIQBLANK_EM_532.00,MILLIQBLANK_EM_534.00,MILLIQBLANK_EM_536.00,MILLIQBLANK_EM_538.00,MILLIQBLANK_EM_540.00,MILLIQBLANK_EM_542.00,MILLIQBLANK_EM_544.00,MILLIQBLANK_EM_546.00,MILLIQBLANK_EM_548.00,MILLIQBLANK_EM_550.00,MILLIQBLANK_EM_552.00,MILLIQBLANK_EM_554.00,MILLIQBLANK_EM_556.00,MILLIQBLANK_EM_558.00,MILLIQBLANK_EM_560.00,MILLIQBLANK_EM_562.00,MILLIQBLANK_EM_564.00,MILLIQBLANK_EM_566.00,MILLIQBLANK_EM_568.00,MILLIQBLANK_EM_570.00,MILLIQBLANK_EM_572.00,MILLIQBLANK_EM_574.00,MILLIQBLANK_EM_576.00,MILLIQBLANK_EM_578.00,MILLIQBLANK_EM_580.00,MILLIQBLANK_EM_582.00,MILLIQBLANK_EM_584.00,MILLIQBLANK_EM_586.00,MILLIQBLANK_EM_588.00,MILLIQBLANK_EM_590.00,MILLIQBLANK_EM_592.00,MILLIQBLANK_EM_594.00,MILLIQBLANK_EM_596.00,MILLIQBLANK_EM_598.00,MILLIQBLANK_EM_600.00
,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166
230,0.615065992,0.616444826,0.689445317,0.700040936,0.938422859,0.497950286,0.560521066,0.371742189,0.757726908,0.960693598,1.033705235,0.947719812,0.710709691,1.371128321,1.159657359,1.076583505,1.057031274,1.064283729,1.136100769,1.238079429,0.966951609,0.656866848,1.284691691,1.192282557,1.249573827,1.035021305,1.43324995,1.294222474,1.409596562,1.573931336,1.657219529,1.543322802,1.605098486,1.45031321,1.628676772,1.698840618,1.666925788,2.019135952,1.630378008,1.461995959,1.630937099,1.689352512,1.599400759,1.509512782,1.520381451,1.479336381,1.391051054,1.484127283,1.736435652,1.531926632,1.118869185,1.234126687,1.367007852,1.503222585,1.250286341,1.505677581,0.97972703,1.196219444,1.290482283,1.464252353,1.120820999,0.938905597,1.145566583,0.959921181,1.093033314,1.037555695,1.101897836,1.210420489,1.168489337,0.962383211,1.265582919,1.079606771,1.420414209,1.256344438,0.89875406,1.341970801,1.047170162,1.190791011,0.856146336,1.105993271,0.760911703,1.095514655,0.883301139,0.68642658,1.159696937,0.75851959,0.906898081,1.051044703,0.767989755,0.954551578,0.678289413,0.695539892,0.574270546,0.492235214,0.635383129,0.461472392,0.402443558,0.682273388,0.701295018,0.637529731,0.443925947,0.461958438,0.506538868,0.458561897,0.396330386,0.515445292,0.477178812,0.39588058,0.429497957,0.540426791,0.494055063,0.559079468,0.462796122,0.208299622,0.208971202,0.51058501,0.334822416,0.369543523,0.416749388,0.239802793,0.208457276,0.191090629,0.224004805,0.272256136,0.207999244,0.207753107,0.271055132,0.238981918,0.161991864,0.064448342,0.112946473,0.176182568,0.287888795,0.452107757,0.016390203,0.175742239,0.255108476,0.399347901,0.256107926,0.241039976,0.048372805,-0.031551816,0.112201087,0.111824505,-0.015596488,0.096374847,0.275958151,0.256016731,0.159359366,0.1128866,0.191192552,-0.031641416,0.240912423,0.177329555,0.016449148,0.175815478,0.000400439,-0.112778217,0.080077462,0.03237588,0.032852344,0.096640557,0.368403524,0.016568711,0.128343627,0.112812363
235,1.061469436,1.06780684,0.796781838,0.803747594,0.616938114,0.471267551,0.454478562,0.520923853,0.433035195,0.622098804,0.612497807,0.43046701,0.563053191,0.790265679,0.98871839,0.78498441,0.654420257,0.949761927,1.009280086,0.934424937,0.603168964,1.016182303,0.670961797,0.864949107,0.69347775,0.704744816,0.817736864,0.879658639,0.913529694,0.848220825,0.943105578,1.065262914,1.071889877,0.791324258,1.052179098,0.790930748,0.823642612,1.131990671,0.961571574,1.355707526,0.982971609,1.002283692,0.917030513,1.483511686,1.077381968,1.206851482,1.183848739,1.170464396,1.045539856,1.272101283,0.993919134,1.058477521,1.200298548,1.187772989,1.184307456,1.234173775,1.090556741,1.213179231,1.433005929,1.484070182,1.178522468,1.171369076,1.06794858,1.19318223,1.055610657,1.300737262,0.915207505,1.089417219,0.861809373,0.830745459,1.114921927,1.019950986,0.953064501,0.988857269,0.933206141,1.451313376,1.144871473,1.247886896,1.22049737,0.885338247,0.920470178,1.047768593,0.891552925,0.92605859,0.744339645,0.732192814,1.242524981,1.035020709,0.94458425,0.793571532,0.63624543,0.584778726,0.65787977,0.607197762,0.697268844,0.547773182,0.308367312,0.543489575,0.585884631,0.589902163,0.514144659,0.383165449,0.289002955,0.269287556,0.399842739,0.32607621,0.341680676,0.271045983,0.343619287,0.684997082,0.345441788,0.255301356,0.463183969,0.19494997,0.652622938,0.21416533,0.136410952,0.233665302,0.390090853,0.195159733,0.428264737,0.269509584,0.466554314,0.117762245,0.234033868,0.31016764,0.216054782,0.175948709,0.00351995,-0.053680122,0.252587348,0.136653945,0.080078982,0.022510363,0.448064119,0.314892054,-0.225981891,-0.034677543,0.022801546,0.022575824,0.100262702,0.117861412,0.118410714,0.25230509,0.022549612,0.120186113,0.080075324,0.079433449,0.156658903,0.079914503,0.079757847,-0.015596488,0.137877777,0.003540803,0.121371053,-0.015596488,-0.054342665,0.159035325,0.003476562,-0.034821711,0.175846025,0.13832958,0.216673553,0.194684327,-0.111715212,0.022857653
240,2.179199696,1.067704558,1.239997387,1.049675584,0.621877134,0.549356997,0.608346462,0.531335056,0.702138066,0.633965015,0.48811844,0.567210674,0.597623229,0.560182393,0.660535991,0.637977421,0.916561365,0.600766301,0.518073201,0.533073783,0.395490199,0.57022655,0.597732067,0.447263032,0.420259982,0.722162306,0.49143061,0.302616447,0.655973136,0.758497179,0.551848412,0.648984551,0.591857135,0.647694409,0.563311934,0.717959583,0.524457514,0.575808406,0.662873387,0.820940912,0.54893434,0.659511805,0.477378637,0.869243205,0.488009959,0.49970147,0.597801387,0.897615731,0.99507165,0.945341349,0.984387577,0.493917137,0.835235059,1.023821473,0.828782797,1.030529618,0.771615326,1.130581617,1.298186779,0.873464823,0.72560972,0.85642606,0.860335171,0.837407887,1.09580946,0.637842,1.026104569,1.201168537,1.020052433,1.05684185,1.02836597,0.831916332,1.045506716,1.154830694,0.938679159,1.144795418,0.763004959,1.017911673,1.069072366,0.811855435,1.081605673,1.164479852,0.806663692,0.969706118,1.06516099,0.909579873,0.908312976,0.814444304,0.914141834,0.818112016,0.694443107,0.592496097,0.788789868,0.414952636,0.745829046,0.445233017,0.69112891,0.529948235,0.42646122,0.511126459,0.685210288,0.618243873,0.445909023,0.514916241,0.43030864,0.45917514,0.261877507,0.363835037,0.413043261,0.509251773,0.06813737,0.592146456,0.261082709,0.297640234,0.523557544,0.449713022,0.247552738,0.35102129,0.229009941,0.180366665,0.247990593,0.394286633,0.267628282,0.131751254,0.132245019,0.181179658,-0.048392512,0.082502037,0.263256609,0.000854939,0.000727911,0.199283093,0.033661358,0.34427464,0.245965376,0.082791589,-0.048678398,0.164752066,0.100027636,0.131954163,0.067231596,0.033507369,0.146917924,0.099831253,-0.03198617,0.164749116,0.165969595,-0.098275281,0.117641352,0.148510113,-0.150181472,0.280948758,0.116173185,0.017580362,-0.065034546,0.11606475,0.249791875,0.165804923,-0.081347033,0.067183599,-0.032062545,-0.064658582,-0.015596488,0.033861943,0.117234297,-0.133014634
245,18.37008667,9.893372536,5.045481205,2.305129766,0.925650358,0.514207125,0.555330157,0.376354277,0.43170765,0.430945456,0.594542265,0.632756412,0.595239758,0.57068795,0.4332017,0.506034076,0.523591876,0.509613574,0.606791675,0.535825789,0.451410353,0.455332398,0.41063872,0.42502147,0.456344485,0.454718143,0.481587589,0.385540664,0.494753212,0.333843112,0.563808322,0.37580657,0.378080219,0.473871052,0.488413483,0.451512039,0.536125183,0.33386752,0.507174551,0.569004893,0.565813959,0.723720372,0.621796668,0.616903484,0.544338048,0.419352978,0.564997792,0.743070006,0.645364702,0.58123517,0.601571083,0.656255484,0.799263716,0.772562027,0.634942532,0.834293783,0.712092042,0.629744828,0.791513085,0.823329687,0.636259973,0.792129576,0.713253796,0.934627712,0.72992599,0.854978025,0.913087547,0.870315731,0.984492064,0.885462046,0.779760718,0.80458343,0.753318369,0.99260819,0.782905817,0.940025151,1.097743273,0.978631675,0.742639482,0.917587459,0.809310377,0.792086244,0.751514018,0.775577903,0.764364779,0.814007998,0.790024936,0.843654633,0.616398215,0.728121698,0.658365488,0.643431246,0.606880248,0.47292766,0.610842764,0.744370222,0.61383611,0.464557171,0.463084489,0.373846084,0.335992426,0.383633465,0.339214742,0.503125846,0.276612192,0.505310416,0.356658131,0.394564807,0.347273916,0.45074755,0.470956951,0.248655483,0.313711017,0.317260921,0.416030318,0.37100938,0.312790334,0.268832773,0.213680401,0.176734731,0.11698731,0.098956093,0.256533861,0.170982271,0.090905458,0.126419961,0.13491258,0.082013831,0.200849816,0.134811372,0.116941608,0.099311493,0.291712016,0.207839236,0.046760425,0.127491891,0.100121588,0.236168101,0.010942789,0.138025835,0.118842222,0.181760713,0.117772408,0.020030955,0.199509308,0.181394905,0.064617418,0.038694784,0.047240697,-0.015596488,0.082084909,0.161565557,0.162507415,0.092700899,-0.006583664,0.002472317,0.074191876,-0.033373475,0.065215945,0.074079961,0.011224188,0.002387667,0.038473152,0.020387033,0.110808633,0.038332701
250,13.82494164,22.29328918,23.26095581,16.39623451,8.19111824,3.32772398,1.217221498,0.749833345,0.752903998,0.538685679,0.665214241,0.586863041,0.448346883,0.751491666,0.621834338,0.736410677,0.594954729,0.58047539,0.470439345,0.42901209,0.552526593,0.58047694,0.574726641,0.561861634,0.518798769,0.427764207,0.415175498,0.445202678,0.4390845,0.43769896,0.440607905,0.429881543,0.41221261,0.351719856,0.553270042,0.372489274,0.517136514,0.418655515,0.270328492,0.478404433,0.474137634,0.381142765,0.469999969,0.394065589,0.487494975,0.5195086,0.513749063,0.46773234,0.441536278,0.425898135,0.447870553,0.496060401,0.404884636,0.5311867,0.459801674,0.502983451,0.595609426,0.409843326,0.567851543,0.754946291,0.394196838,0.379448324,0.529781997,0.660455644,0.617961168,0.611788869,0.565322518,0.598332226,0.51875633,0.548139989,0.854863822,0.817288816,0.813941061,0.892010629,0.819316387,0.826780319,0.876889229,0.893570185,0.723141551,0.940615058,0.780081093,0.57873255,0.644564688,0.691569149,0.644114077,0.606157303,0.667655468,0.799375057,0.592977643,0.568835139,0.646122336,0.745591819,0.419950157,0.620735824,0.602929473,0.481092274,0.388486266,0.470352113,0.400012285,0.301418155,0.443785816,0.374468863,0.432370961,0.370825261,0.382184952,0.265984327,0.283612102,0.33053872,0.338623255,0.325199008,0.329060584,0.307928264,0.173052847,0.334091067,0.225501701,0.30260703,0.387837172,0.411209971,0.174031615,0.1654495,0.224407703,0.218744248,0.189469382,0.198013514,0.145279899,0.137549892,0.189200312,0.114286549,0.189458489,0.1913286,0.08452443,0.144958869,0.190277785,0.053426154,0.106220104,0.137011185,0.22885184,0.129076123,0.099127144,0.244612917,0.15097931,0.007438263,0.091298223,0.090860106,0.076810725,0.045613796,-0.008022854,0.174665153,0.037912562,0.075937398,-0.061479621,0.068098255,0.159392282,0.060912266,0.022988522,0.083694726,0.022641508,0.022680147,0.076606236,0.023057429,0.046188161,0.084466629,-0.00029825,-0.046412654,0.128405079,0.099870734
255,1.674301386,2.367763281,5.184019089,10.70038795,18.53597641,16.43126678,13.29958057,8.114195824,4.183676243,2.044779539,1.157093883,0.948043704,0.910200834,1.028741479,1.053015351,1.004870176,0.854175925,0.910393715,0.825466037,0.663704395,0.977326095,0.788496256,0.795574427,0.726353347,0.724570632,0.578920245,0.831143498,0.660931408,0.662712574,0.724730849,0.731566072,0.497948259,0.497481197,0.540261269,0.485837847,0.47057721,0.512448549,0.510307133,0.460218191,0.64147228,0.321049124,0.566076159,0.319725662,0.502896369,0.442006588,0.46205619,0.427746564,0.340193719,0.484176874,0.56972903,0.456003964,0.2475584,0.420423329,0.342090338,0.474256545,0.432957798,0.508298934,0.480985194,0.531054974,0.537743151,0.325255185,0.179662168,0.499951988,0.493745297,0.53542465,0.350340664,0.443008661,0.653731823,0.429503918,0.620565772,0.675925851,0.606148183,0.546438038,0.659934998,0.55598855,0.69881469,1.031234145,0.71475184,0.520980179,0.456535906,0.561226964,0.567854524,0.531364858,0.453870565,0.607764244,0.316873997,0.512653112,0.560453653,0.494418353,0.739462376,0.475183845,0.658900559,0.390850931,0.540846944,0.438166261,0.415769666,0.288493514,0.417309016,0.371146441,0.34777987,0.560609698,0.404787481,0.17296268,0.171277925,0.269310594,0.382529974,0.28814894,0.297041029,0.267542571,0.207050189,0.327952504,0.218760192,0.362922549,0.241536036,0.336227149,0.326034158,0.259342253,0.375486821,0.269283503,0.396357238,0.279489726,0.223944545,-0.027552919,0.138311595,0.149542645,0.126890853,0.187799022,0.235464528,0.115265541,0.114882119,0.198656067,0.01976919,0.105907246,0.197941825,0.257998079,0.175409511,0.185887381,0.129402831,0.162877202,0.163307175,0.173622742,0.114702843,0.199233964,0.175487056,-0.217929274,0.008174831,0.043417275,0.103658408,0.092187941,0.032467723,0.174147815,0.067255519,0.138138682,-0.063338868,0.032269865,0.115207963,0.152015984,0.125959679,0.031894222,0.02095901,0.067419603,-0.06327229,-0.124389373,0.031999893,0.043598928,0.032127663
260,2.139719725,1.67224884,1.625383615,1.519704223,1.948908567,2.765460014,7.667809486,14.08565331,19.78383636,17.65724754,10.40469646,4.310899734,1.985418439,1.25203371,1.078336835,0.928409398,1.069242358,0.991386294,0.863670528,0.707696438,0.763248026,1.061840653,0.736590624,0.922516704,0.699690402,0.76680243,0.504108369,0.577571094,0.647707522,0.51851058,0.53703028,0.559705377,0.674428225,0.500368953,0.513947606,0.377220154,0.373186052,0.458842218,0.376985162,0.394557774,0.391143769,0.662154496,0.289199948,0.449323505,0.55848515,0.331011444,0.335851967,0.355993629,0.488908023,0.354124129,0.443784744,0.319280207,0.329811424,0.360862285,0.291893095,0.375712037,0.483376235,0.281804532,0.373906046,0.360063642,0.356633693,0.380955011,0.32202813,0.426206976,0.37942335,0.33565557,0.425100416,0.287216753,0.303527206,0.448334694,0.311833203,0.427420467,0.46499145,0.530295312,0.524972022,0.515320063,0.479135007,0.429606438,0.400856376,0.347724408,0.440993756,0.449252099,0.299997538,0.437918276,0.449212939,0.325035781,0.414432675,0.392028332,0.452530652,0.368241757,0.370487005,0.346890479,0.333367527,0.32357654,0.217408687,0.19120276,0.13192986,0.318167359,0.358298331,0.221957892,0.284100145,0.287979066,0.263372213,0.21372059,0.18421109,0.205071256,0.168791041,0.147495747,0.222243905,0.222741678,0.267975032,0.206879511,0.179699868,0.169227257,0.043654874,0.223459244,0.202260241,0.088811778,0.20684652,0.155905783,0.166191384,0.066935912,0.095030323,0.187670842,0.179126516,0.141342446,0.134046972,0.126983002,0.102818534,0.127870113,0.118468739,0.140355289,0.073858954,0.104006432,0.133857995,0.15705803,0.132389411,0.088743307,0.075387046,0.021608381,0.059250452,0.014365161,0.117103808,-0.00073069,0.067271031,0.029196342,-0.038116813,0.133789897,0.120143987,0.11241556,0.118447788,0.104355231,0.01436202,-0.06004554,0.067293517,0.147986874,0.036564469,0.08927086,0.014573291,0.022314755,0.065921225,0.066563576,0.112923644,0.118757941,-0.008053873,0.014484579
265,22.20383072,6.041872501,2.585412025,1.631887913,1.695195317,1.254655361,1.578733444,2.974121571,6.821688175,12.20689964,16.71998596,16.55878067,11.92987347,7.513634682,3.8327806,1.981415391,1.318983436,1.099589467,1.019840956,1.132415056,1.045379758,1.044832826,0.798966944,0.747360826,0.736701787,0.696413994,0.78500247,0.691732943,0.638727188,0.672384977,0.675892889,0.436081499,0.597287655,0.49315092,0.525314629,0.650913656,0.341139764,0.69285363,0.546054006,0.433192194,0.490178376,0.478526443,0.441080123,0.395418733,0.342078626,0.403823406,0.545856357,0.477743417,0.459434241,0.411760479,0.291112989,0.292618573,0.28320086,0.305526704,0.39160648,0.391666621,0.436558038,0.305649072,0.373721242,0.39960587,0.365569443,0.330705613,0.377001524,0.361517251,0.318920314,0.297875971,0.318298399,0.400931329,0.350251585,0.4602395,0.365527242,0.384926468,0.436071247,0.442380309,0.404992491,0.349414229,0.520600677,0.367735326,0.310279608,0.303567022,0.245293751,0.225864723,0.28934896,0.350324124,0.303019822,0.402835846,0.279520452,0.253246844,0.25744313,0.264411718,0.370972157,0.438178927,0.249957368,0.248405024,0.256796479,0.287645191,0.216902331,0.252571911,0.204387128,0.274340421,0.14358364,0.305097431,0.266908824,0.211003289,0.191246167,0.107355602,0.145862475,0.211967573,0.165697023,0.23590298,0.183414564,0.21214205,0.143790245,0.084131941,0.159382969,0.076248452,0.153679848,0.10766723,0.236608401,0.069562607,0.185332417,0.153945982,0.13770251,0.107542008,0.114242889,0.19436501,0.118708052,0.122357808,0.129109174,0.11595089,0.19903855,-0.054022849,0.060847342,0.138803124,0.13083896,0.053490788,0.077038988,0.069802597,0.13822481,0.170167774,0.147440657,0.022990907,-0.023454541,0.060708515,-0.038905788,0.069811225,0.016000835,0.053211905,0.038508952,0.06902606,-0.007942569,-0.015596488,0.093256354,0.015092243,0.061519377,0.093165874,0.070249133,0.061795108,0.02284967,-0.038889498,0.117336474,-0.007856071,0.100973561,0.038287386,-0.038838431,0.11637982
270,97.00217438,85.8375473,48.47257614,17.15955734,4.404016972,1.78555131,1.436120272,1.438928962,1.406731963,1.726148367,2.066776037,5.41432333,10.27586079,15.73141479,17.78378868,15.76610279,8.707492828,4.176788807,2.319416523,1.436340928,1.15442121,1.07451725,1.029906392,0.911934257,0.967601538,0.759876728,0.889558196,0.708180249,0.75850153,0.697034895,0.835403562,0.565316379,0.731536567,0.671702921,0.531086802,0.682410419,0.455898583,0.446347505,0.495825261,0.522774339,0.506465733,0.490161628,0.37906605,0.509161294,0.364624053,0.486233562,0.498339862,0.517147243,0.448615462,0.39028886,0.441398919,0.386732966,0.467551976,0.362941116,0.305189788,0.386560172,0.247274056,0.330203742,0.366985142,0.337688386,0.24639295,0.256847829,0.339176238,0.391966224,0.35171935,0.297654003,0.234236956,0.314061522,0.329488516,0.289638996,0.373543739,0.296591341,0.391392708,0.358087838,0.327993125,0.313024312,0.419152588,0.398994386,0.378278762,0.24738656,0.270022243,0.237497047,0.206446305,0.369685739,0.374631107,0.353165299,0.147626624,0.208739161,0.250882506,0.186162293,0.149504006,0.259425342,0.206548586,0.235064968,0.240402177,0.24568142,0.265258133,0.169808686,0.164023548,0.269620925,0.122096188,0.087352663,0.095618121,0.265423715,0.164258376,0.248584107,0.163286999,0.136346638,0.229285464,0.158918709,0.109303765,0.110201113,0.116398372,0.095278241,0.082204387,0.163634747,0.292673558,0.105656274,0.165232822,0.165064439,0.238115802,0.110658176,0.144201189,0.206803337,0.251017809,0.186335087,0.055516139,0.194322899,0.061122723,0.074857801,0.08966741,0.191690326,0.062215716,0.138169006,0.123652123,0.131468505,0.11806608,0.091002718,0.040130503,0.158024266,0.0474751,0.033916168,-0.008570662,0.110690944,0.068284988,0.12492498,0.068355992,0.060973726,-0.029711612,-0.001627862,0.019593218,0.062020257,0.019353392,0.151452988,-0.001526151,0.068150349,0.041468516,-0.093170531,0.026444459,-0.050531961,0.026467448,0.061083682,-0.065167345,0.012790425,-0.001487241,0.092116475
