Wavelength (nm),Intensity (a.u.),Z Axis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MilliQBlank02_09_22_EM_270.00,MilliQBlank02_09_22_EM_272.00,MilliQBlank02_09_22_EM_274.00,MilliQBlank02_09_22_EM_276.00,MilliQBlank02_09_22_EM_278.00,MilliQBlank02_09_22_EM_280.00,MilliQBlank02_09_22_EM_282.00,MilliQBlank02_09_22_EM_284.00,MilliQBlank02_09_22_EM_286.00,MilliQBlank02_09_22_EM_288.00,MilliQBlank02_09_22_EM_290.00,MilliQBlank02_09_22_EM_292.00,MilliQBlank02_09_22_EM_294.00,MilliQBlank02_09_22_EM_296.00,MilliQBlank02_09_22_EM_298.00,MilliQBlank02_09_22_EM_300.00,MilliQBlank02_09_22_EM_302.00,MilliQBlank02_09_22_EM_304.00,MilliQBlank02_09_22_EM_306.00,MilliQBlank02_09_22_EM_308.00,MilliQBlank02_09_22_EM_310.00,MilliQBlank02_09_22_EM_312.00,MilliQBlank02_09_22_EM_314.00,MilliQBlank02_09_22_EM_316.00,MilliQBlank02_09_22_EM_318.00,MilliQBlank02_09_22_EM_320.00,MilliQBlank02_09_22_EM_322.00,MilliQBlank02_09_22_EM_324.00,MilliQBlank02_09_22_EM_326.00,MilliQBlank02_09_22_EM_328.00,MilliQBlank02_09_22_EM_330.00,MilliQBlank02_09_22_EM_332.00,MilliQBlank02_09_22_EM_334.00,MilliQBlank02_09_22_EM_336.00,MilliQBlank02_09_22_EM_338.00,MilliQBlank02_09_22_EM_340.00,MilliQBlank02_09_22_EM_342.00,MilliQBlank02_09_22_EM_344.00,MilliQBlank02_09_22_EM_346.00,MilliQBlank02_09_22_EM_348.00,MilliQBlank02_09_22_EM_350.00,MilliQBlank02_09_22_EM_352.00,MilliQBlank02_09_22_EM_354.00,MilliQBlank02_09_22_EM_356.00,MilliQBlank02_09_22_EM_358.00,MilliQBlank02_09_22_EM_360.00,MilliQBlank02_09_22_EM_362.00,MilliQBlank02_09_22_EM_364.00,MilliQBlank02_09_22_EM_366.00,MilliQBlank02_09_22_EM_368.00,MilliQBlank02_09_22_EM_370.00,MilliQBlank02_09_22_EM_372.00,MilliQBlank02_09_22_EM_374.00,MilliQBlank02_09_22_EM_376.00,MilliQBlank02_09_22_EM_378.00,MilliQBlank02_09_22_EM_380.00,MilliQBlank02_09_22_EM_382.00,MilliQBlank02_09_22_EM_384.00,MilliQBlank02_09_22_EM_386.00,MilliQBlank02_09_22_EM_388.00,MilliQBlank02_09_22_EM_390.00,MilliQBlank02_09_22_EM_392.00,MilliQBlank02_09_22_EM_394.00,MilliQBlank02_09_22_EM_396.00,MilliQBlank02_09_22_EM_398.00,MilliQBlank02_09_22_EM_400.00,MilliQBlank02_09_22_EM_402.00,MilliQBlank02_09_22_EM_404.00,MilliQBlank02_09_22_EM_406.00,MilliQBlank02_09_22_EM_408.00,MilliQBlank02_09_22_EM_410.00,MilliQBlank02_09_22_EM_412.00,MilliQBlank02_09_22_EM_414.00,MilliQBlank02_09_22_EM_416.00,MilliQBlank02_09_22_EM_418.00,MilliQBlank02_09_22_EM_420.00,MilliQBlank02_09_22_EM_422.00,MilliQBlank02_09_22_EM_424.00,MilliQBlank02_09_22_EM_426.00,MilliQBlank02_09_22_EM_428.00,MilliQBlank02_09_22_EM_430.00,MilliQBlank02_09_22_EM_432.00,MilliQBlank02_09_22_EM_434.00,MilliQBlank02_09_22_EM_436.00,MilliQBlank02_09_22_EM_438.00,MilliQBlank02_09_22_EM_440.00,MilliQBlank02_09_22_EM_442.00,MilliQBlank02_09_22_EM_444.00,MilliQBlank02_09_22_EM_446.00,MilliQBlank02_09_22_EM_448.00,MilliQBlank02_09_22_EM_450.00,MilliQBlank02_09_22_EM_452.00,MilliQBlank02_09_22_EM_454.00,MilliQBlank02_09_22_EM_456.00,MilliQBlank02_09_22_EM_458.00,MilliQBlank02_09_22_EM_460.00,MilliQBlank02_09_22_EM_462.00,MilliQBlank02_09_22_EM_464.00,MilliQBlank02_09_22_EM_466.00,MilliQBlank02_09_22_EM_468.00,MilliQBlank02_09_22_EM_470.00,MilliQBlank02_09_22_EM_472.00,MilliQBlank02_09_22_EM_474.00,MilliQBlank02_09_22_EM_476.00,MilliQBlank02_09_22_EM_478.00,MilliQBlank02_09_22_EM_480.00,MilliQBlank02_09_22_EM_482.00,MilliQBlank02_09_22_EM_484.00,MilliQBlank02_09_22_EM_486.00,MilliQBlank02_09_22_EM_488.00,MilliQBlank02_09_22_EM_490.00,MilliQBlank02_09_22_EM_492.00,MilliQBlank02_09_22_EM_494.00,MilliQBlank02_09_22_EM_496.00,MilliQBlank02_09_22_EM_498.00,MilliQBlank02_09_22_EM_500.00,MilliQBlank02_09_22_EM_502.00,MilliQBlank02_09_22_EM_504.00,MilliQBlank02_09_22_EM_506.00,MilliQBlank02_09_22_EM_508.00,MilliQBlank02_09_22_EM_510.00,MilliQBlank02_09_22_EM_512.00,MilliQBlank02_09_22_EM_514.00,MilliQBlank02_09_22_EM_516.00,MilliQBlank02_09_22_EM_518.00,MilliQBlank02_09_22_EM_520.00,MilliQBlank02_09_22_EM_522.00,MilliQBlank02_09_22_EM_524.00,MilliQBlank02_09_22_EM_526.00,MilliQBlank02_09_22_EM_528.00,MilliQBlank02_09_22_EM_530.00,MilliQBlank02_09_22_EM_532.00,MilliQBlank02_09_22_EM_534.00,MilliQBlank02_09_22_EM_536.00,MilliQBlank02_09_22_EM_538.00,MilliQBlank02_09_22_EM_540.00,MilliQBlank02_09_22_EM_542.00,MilliQBlank02_09_22_EM_544.00,MilliQBlank02_09_22_EM_546.00,MilliQBlank02_09_22_EM_548.00,MilliQBlank02_09_22_EM_550.00,MilliQBlank02_09_22_EM_552.00,MilliQBlank02_09_22_EM_554.00,MilliQBlank02_09_22_EM_556.00,MilliQBlank02_09_22_EM_558.00,MilliQBlank02_09_22_EM_560.00,MilliQBlank02_09_22_EM_562.00,MilliQBlank02_09_22_EM_564.00,MilliQBlank02_09_22_EM_566.00,MilliQBlank02_09_22_EM_568.00,MilliQBlank02_09_22_EM_570.00,MilliQBlank02_09_22_EM_572.00,MilliQBlank02_09_22_EM_574.00,MilliQBlank02_09_22_EM_576.00,MilliQBlank02_09_22_EM_578.00,MilliQBlank02_09_22_EM_580.00,MilliQBlank02_09_22_EM_582.00,MilliQBlank02_09_22_EM_584.00,MilliQBlank02_09_22_EM_586.00,MilliQBlank02_09_22_EM_588.00,MilliQBlank02_09_22_EM_590.00,MilliQBlank02_09_22_EM_592.00,MilliQBlank02_09_22_EM_594.00,MilliQBlank02_09_22_EM_596.00,MilliQBlank02_09_22_EM_598.00,MilliQBlank02_09_22_EM_600.00
,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166
230,2.809457302,4.942970753,8.359787941,11.88620186,14.1798048,15.25169945,19.31196976,22.29203415,25.77299118,25.93610382,25.63491058,27.38433647,26.53044891,26.75612068,26.45601273,25.77560616,23.90246391,23.18340492,22.98912048,22.26257706,20.862854,21.02649307,22.39178085,25.5041523,35.79639435,72.03338623,135.2193146,200.7814941,250.344162,261.6359253,267.635376,273.0279846,284.7585449,316.6977844,352.2123108,371.6366272,369.2177734,351.2530212,328.9098816,314.1036072,304.9173279,295.7056885,290.0175171,284.4844971,270.6917114,247.1958771,228.9455566,206.9705505,192.7016907,175.9442291,166.1277466,153.9997253,139.8665771,127.408577,118.3622208,106.7855148,95.10751343,84.83096313,81.25144958,74.18321228,59.15926361,55.75458527,53.39305115,47.77590179,45.87454605,42.67213821,40.8190918,37.73585129,36.22118378,34.10471725,31.18660545,30.37306786,28.77161598,27.36496925,26.55072784,25.718256,23.16955185,23.83951569,22.35479736,20.27618408,20.33921242,19.59725189,18.08743286,17.50772476,16.57720184,15.62883186,15.74328899,15.37649441,14.38418579,13.61232281,13.20651436,12.79989052,11.74684811,12.48612213,11.46807575,9.841740608,10.29980564,9.971940994,9.292381287,9.040971756,8.852229118,9.103775024,8.128520966,8.098331451,8.418437958,7.321931362,7.531873226,6.591427326,6.84009552,6.210925102,6.184257507,6.055363655,5.418848991,5.623268604,5.423038483,4.906771183,4.835074902,4.745411396,4.020914555,4.061136246,4.143249512,4.074272633,3.553854465,3.564964533,3.384071589,3.43757391,3.175085068,3.254198313,3.164513588,3.178053617,2.576118708,2.65657258,2.496810436,2.666813374,2.27765131,2.446257591,2.084790707,1.865185499,1.850189924,2.012294292,1.310127974,1.432250381,1.801826596,1.291900873,1.288960218,1.245176673,1.166332722,1.148875117,1.380986571,0.806815505,1.04618144,1.00587213,0.974779308,0.770659864,0.704838514,0.78145349,0.577557802,0.704478323,0.563287437,0.455109626,0.372208446,0.656069338,0.650006235,0.440352827,0.565174222,0.34262535
235,2.094983101,2.720534325,4.006253719,5.151480198,6.52340126,7.134637356,8.691747665,10.25781918,12.04819202,12.28652382,11.92250347,13.26758957,12.60875225,14.1125412,14.10460663,14.63414669,13.03263092,13.34052753,12.60199833,13.35786915,13.19073677,13.56217861,13.61937237,13.93545914,16.53275108,24.82458115,42.52305603,66.38098145,89.46755219,105.8235626,115.550148,123.4389343,131.3428497,144.1692047,155.5271606,169.4312439,174.9623413,175.9815521,170.6886292,168.6078491,163.6547394,162.7521667,159.4847565,155.2989044,149.9458923,144.4922485,134.3219604,128.3598633,118.9083557,114.3671494,102.9259567,97.17925262,92.03354645,85.89067841,78.49372864,74.5071106,68.18886566,62.58552551,58.37198639,54.05893326,44.77759933,41.9271431,40.60234833,37.21121216,34.35617447,34.07865143,32.08989716,31.24271393,31.17474174,28.35119247,28.19607925,25.79893494,24.42644882,23.93207741,23.31106949,22.52050591,21.84204102,19.54499626,19.61337471,18.72466278,18.05145073,17.43683624,16.88370323,14.94245243,14.8611784,14.1150198,13.08336926,13.03798294,12.95624352,12.15038681,13.06566334,12.04899883,11.96311378,10.11759186,9.418235779,9.263757706,9.058001518,8.329194069,8.213791847,7.453519344,7.440006733,8.066561699,7.188430786,7.440130234,6.736588955,5.907509804,5.999131203,6.410581589,5.702186108,5.715238094,5.569517136,5.054367542,5.46045351,5.130706787,4.590601444,4.152007103,4.10905838,3.850831032,4.465043545,3.638912916,3.586401939,3.434921503,3.059654713,3.029529572,2.806898832,2.648340464,2.895688057,2.415500164,2.687490463,2.628430843,2.241238832,1.763100386,2.454936743,2.134001732,1.775812149,1.580628872,1.675722361,1.843957186,1.192736149,1.535631657,1.353569269,1.403876662,1.270303726,1.087713957,1.062484264,1.029709697,1.097546577,0.694115222,1.165737391,0.738230228,0.756925821,0.756302476,0.901268542,0.369598836,0.567754865,0.554892302,0.580769658,0.611361146,0.406765878,0.609818101,0.553895712,0.576926351,0.407567173,0.421677589,0.443322867,0.421976537
240,2.865998268,1.679827571,1.513137937,1.33392024,1.597001314,1.357011557,1.831049919,2.422441721,2.47957015,3.085881472,2.704827309,3.442031384,3.808701277,4.285580635,4.850282669,6.181740761,6.131468296,7.333464146,7.158044815,8.470181465,8.352497101,8.339308739,9.254161835,9.188132286,10.02482891,11.41082954,14.01648426,19.48284721,25.10878754,31.34053993,38.37628555,43.54523087,49.7412529,54.4484787,60.80836487,65.1133194,67.37597656,70.06977081,71.0304718,71.10079193,73.48982239,72.04141235,72.33930969,72.34815979,73.08594513,68.80593872,66.97066498,63.05276489,63.00760651,58.54064178,56.43956375,52.96305084,50.54859161,47.81694031,45.32551575,42.367733,39.5595665,36.98641205,36.30727005,34.61429977,28.24555397,26.92825699,26.00160217,25.10809898,22.94050789,23.17981911,21.45584679,21.25384331,19.75491524,20.05749702,19.22817993,18.02243233,18.3967762,17.34990883,16.57650375,16.33883286,14.95452118,14.83481216,13.82822895,13.86130619,13.1982851,12.54006767,11.88400745,11.96918011,11.21033669,10.15905857,9.696904182,10.11513996,10.01266766,9.073914528,8.47595787,8.280471802,8.364487648,7.989547253,7.274364948,6.460456848,6.810318947,6.854018688,6.610305786,5.645270824,6.224703789,5.368181705,5.492623806,5.794367313,5.36635685,4.772813797,4.618655682,4.543526173,4.795904636,4.184495449,4.774990559,3.724268675,3.471338034,3.426147461,3.032231092,3.619096994,3.21638608,2.991701603,3.332793713,2.554675579,2.896520138,2.637639284,2.627709389,2.611531496,2.248673677,2.293330431,1.92406714,1.733220577,1.884709597,1.742884278,1.680764079,1.651281714,1.610000968,1.336487532,1.355959415,1.400673389,1.260864854,1.132966638,1.187856913,1.219347,0.975896657,0.968966186,0.980312109,1.004580855,0.781635702,0.728863001,0.606526196,0.709685206,0.756746531,0.684931517,0.615434051,0.745156467,0.577576578,0.49850449,0.418935895,0.643985569,0.408903182,0.444408536,0.608659148,0.177319482,0.394778043,0.486815393,0.405910045,0.429311216,0.285846502,0.309518367
245,18.23423958,12.07488537,5.716482639,2.391137362,1.289018393,0.965596199,1.094422817,1.243220448,1.108302116,1.185744762,1.621317863,2.011365891,2.683684826,3.010900736,3.732467413,4.242397308,4.808354855,5.503240108,5.854261875,6.268285751,6.797324657,6.969679356,7.53745079,7.29073,7.640475273,8.946163177,10.9203577,14.3973093,16.56131935,18.84523201,21.00452614,24.09041786,27.30400467,31.37068748,33.96121597,37.5693512,39.44777298,38.94423676,38.77386475,39.67964554,40.31787491,39.80256271,40.95873642,41.07324219,40.89470673,39.47633362,36.83368301,36.62333298,33.97111511,33.71286774,32.05217361,30.71187019,29.43807793,28.16571999,26.1232338,25.43792915,24.08035088,22.05151749,21.67639542,20.07781982,16.5945797,16.27846909,15.69488811,15.71873188,14.60604191,14.11993217,13.61327934,12.76043129,12.73019218,12.62648201,12.12660027,11.72952938,11.57160187,10.74624252,10.36664104,10.18136311,9.935408592,9.35648632,9.49214077,8.521277428,8.403113365,8.083816528,8.033882141,7.220190048,7.450549603,6.863631725,6.43527174,6.646390915,6.308428288,6.063533306,5.601968765,5.551108837,5.367710114,5.291044712,5.17652607,4.391226292,4.298895359,4.629698277,3.939694166,4.037834167,3.915835142,3.866160154,3.890906572,3.432183027,3.597893,3.543857098,3.107732058,3.130226374,3.168438435,3.02398777,3.068362713,3.033744812,2.992419243,2.493492126,2.362478018,2.425668001,2.292014122,2.100148439,2.097174168,1.914340615,1.962205648,1.739105105,1.776703238,1.719027877,1.808278084,1.603819847,1.743146896,1.550019622,1.449136734,1.260074973,1.236338019,1.172376156,1.177812934,1.228887558,1.034691691,0.93780005,1.177978516,1.128204346,0.87398988,0.795498073,0.795024812,0.673573256,0.756003559,0.728117824,0.517893255,0.639852345,0.589490652,0.620220661,0.607627988,0.550139725,0.423171997,0.473043889,0.34150216,0.47159037,0.3250615,0.352900535,0.28502208,0.365007013,0.319431841,0.216076061,0.357781738,0.344906032,0.118903413,0.191360801,0.102709323,0.243537039
250,13.35162354,21.23048592,22.94830513,16.76108742,9.483026505,3.256994724,1.916734934,1.547897816,1.356954932,1.342030764,1.651119232,1.791033149,2.107885361,2.377112389,3.097401619,3.113120794,3.871763229,3.921643257,4.570009708,4.74632597,5.096694946,5.568093777,5.482357025,5.997357368,6.394971848,7.486018658,10.58989143,13.6323595,15.84003162,16.59506226,17.10711098,18.07711601,19.6362133,22.80472946,24.75627136,26.47775841,27.07550621,26.76896286,25.95223808,26.10419464,26.14902687,26.1005497,26.06997299,25.49662399,25.86310005,24.1843071,23.77100945,21.77798462,21.12194633,20.423769,19.00821114,17.46442413,17.79190445,16.4756279,15.71970654,14.48936176,13.22598839,12.45463943,12.20998859,11.68565178,9.595128059,9.289282799,8.880914688,8.628223419,8.675616264,8.456900597,7.956651211,8.005486488,7.381589413,7.192270279,6.942394733,6.625855923,7.059520245,6.335414886,5.722024918,5.809768677,6.080906868,5.645999432,5.344797611,5.018780231,4.691231251,4.370025635,4.709374428,4.575588226,4.33108139,4.491969109,3.898559809,3.982588291,3.580499887,3.83965683,3.761881351,3.519749641,3.510427952,3.360656261,3.453344584,3.024114847,2.909916401,2.783928394,3.179228067,2.746754408,2.675568104,2.642091751,2.639049053,2.561721563,2.526827335,2.3675282,2.431399822,2.524443388,2.192386866,2.070379972,2.070044994,2.207232475,1.899268031,2.074127436,1.802165151,1.978531718,1.956580639,1.775070429,1.793455839,1.698758006,1.498243451,1.497510552,1.363784671,1.386345506,1.3576895,1.311954379,1.202454329,1.241469026,1.179960012,1.301939964,1.0047189,0.97542578,1.073322177,0.981711566,0.863066614,0.945968866,0.688324213,0.73412931,0.634040773,0.751102567,0.639415383,0.793466449,0.602548659,0.620483696,0.596507847,0.425442785,0.511797249,0.570565283,0.464510739,0.487376928,0.312725991,0.386383593,0.301962107,0.351633459,0.308910131,0.280009896,0.314187527,0.277537525,0.222357377,0.306323677,0.213993907,0.123010792,0.272055984,0.239747554,0.103781536,0.21298568
255,1.737444282,2.401209354,5.142608643,11.77665424,18.70055008,17.1967411,14.72621822,9.304505348,4.958399296,3.378446102,2.235244274,2.100234032,2.448760271,2.567663431,2.830104351,3.021357536,3.041314363,3.156954288,3.694840193,3.74187088,4.083096027,4.516988277,5.019520283,5.080407143,5.141490459,7.545091629,11.24890137,14.74401951,17.64241219,17.74902916,17.78878212,18.24519348,20.08753014,22.16315651,23.03220558,25.53286743,25.00100327,24.0418148,23.67498589,22.27524376,22.12607193,21.69886971,22.4691658,22.02205086,20.663908,18.45405579,18.11236,16.64453888,16.22332573,15.69913101,14.09431553,13.69195652,11.75747395,11.25293827,11.15822601,10.05986881,9.565653801,8.041096687,8.008542061,7.964325905,5.942733288,6.066653252,6.129212379,5.503621101,4.896813393,4.94325161,4.877612114,4.639072418,4.470152378,4.365647793,4.455055237,4.047973156,4.194446087,4.068128586,3.94562912,3.55374527,3.680336475,3.625977278,3.441412687,3.141618967,2.908697128,3.191233158,2.923191786,3.083846569,2.613137007,2.808324575,2.702729464,2.671582699,2.560665846,2.528797388,2.652387142,2.370525122,2.474904537,2.370255709,2.494210005,2.116112709,2.029107094,2.129680395,1.848264337,2.398746967,1.959555507,2.341873407,2.071733713,1.992532969,2.105429649,2.176116467,2.083827019,1.820633173,2.029923916,1.767275572,1.693119645,1.852709532,1.514817119,1.498952746,1.536512136,1.524267912,1.729303598,1.659952641,1.30258286,1.408718109,1.469433784,1.198334217,1.196809769,1.224444747,1.282776475,1.128478169,1.008275867,1.092818022,1.094135761,1.040031195,1.182424068,0.949955523,0.852558732,0.789534211,0.881048322,0.876153708,0.691549122,0.838298261,0.681895673,0.638862848,0.56986326,0.530228019,0.405219227,0.489887327,0.476445705,0.462506771,0.404606611,0.313181937,0.398747951,0.338874936,0.394385576,0.356259465,0.42826125,0.271394968,0.436776578,0.346380323,0.312307954,0.319734633,0.317838669,0.138913691,0.292483181,0.219767034,0.019945946,0.220471799,0.161072746,0.238099962
260,2.032752991,1.853492498,1.793631673,1.796805024,2.354708433,3.596078157,7.860803127,15.16372013,21.4875946,19.61644745,11.50033855,6.280165672,3.495548964,2.864398718,2.809037924,3.116971731,3.215737104,3.240888357,3.165781498,3.450837135,3.524634123,3.771836281,3.881456375,4.325173378,5.253435612,7.96926403,11.79527092,16.65759659,19.19313049,19.95088577,19.87066269,20.4272728,21.85131073,24.19292831,26.72287369,27.83983421,27.12958908,26.05106354,24.78443909,23.97044373,23.14743614,22.86619759,22.15909386,21.68304253,20.39826775,20.00564957,18.36279488,16.35801697,15.88941956,14.41411495,13.48127556,12.71818924,11.66156483,10.39240646,10.23561954,9.058530807,8.162637711,8.123246193,7.315891266,6.535250664,5.74055481,5.00490427,5.063291073,4.640054703,4.719651222,4.360778332,3.988812208,3.748973608,3.744294405,3.598083496,3.35912466,3.504756927,3.334484577,3.220878839,2.969642401,2.955459595,3.1739676,2.838003159,2.624875307,2.596301556,2.55183816,2.611371756,2.331510067,2.405635357,2.226801157,2.194499969,2.182510138,2.249705315,2.075498343,2.36366415,2.21001029,2.078397274,2.107848644,2.255847216,2.157375336,1.842861772,1.797522783,2.045919418,2.034721136,2.036877632,1.64937079,1.802125454,1.979012966,1.863643408,1.894109607,1.772626281,1.807848215,1.692390203,1.617910504,1.730489731,1.771452904,1.575449109,1.471427321,1.728721738,1.415373206,1.581304312,1.370141625,1.353834271,1.317682385,1.29662931,1.290967345,1.176505685,1.300679922,1.348187447,1.330010414,1.093153596,1.10289669,0.967036664,0.999497235,0.895438075,0.965151966,0.958638132,0.799927831,0.954826593,0.886169672,0.693271697,0.69812566,0.710613191,0.674916983,0.471472919,0.543953836,0.530810893,0.448937833,0.460061312,0.523342252,0.434909552,0.430917442,0.412151903,0.346850544,0.400348961,0.240315288,0.26577273,0.326215893,0.308383882,0.29928112,0.213292897,0.219861194,0.376299143,0.270393699,0.258638829,0.250726819,0.14862375,0.184549078,0.263637215,0.187382504,0.089907035
265,22.71049881,7.591160774,2.506282091,2.135733366,1.959858418,1.78275156,2.172968388,3.178961039,6.534390926,11.96203613,16.47918129,17.44347,15.01878166,10.07381439,5.909337997,3.809092522,3.306119204,3.487613916,3.304029465,3.36704731,3.485810518,3.374520779,3.666895628,3.925283432,4.911457539,7.713351727,12.49169636,17.16604424,21.02576828,21.44009972,21.38863754,22.02908325,22.97307014,25.22280312,27.62804985,30.13568115,29.06472778,27.2752533,26.25006485,24.92970085,24.0626812,24.19106293,23.18759918,22.06942749,21.42413139,20.06075096,18.40723419,16.82384491,15.29851437,14.44142056,13.44997215,12.93561649,12.10754871,10.11774826,9.816115379,8.977931976,8.003943443,7.728940964,7.167153358,6.524513721,5.146992207,4.97299242,4.660310268,4.224751472,4.28535223,3.99110198,3.606563807,3.657066107,3.823004246,3.330536127,3.290698051,3.026960373,3.22734499,2.637880087,2.894948959,2.79953742,2.459750891,2.575719118,2.581908226,2.378042698,2.480013132,2.220505238,2.154398441,2.109335899,2.050244093,1.923948169,1.923655748,1.885758281,1.991172552,1.811701179,1.973398447,1.802669525,1.918646693,1.703210592,2.044535637,1.713824034,1.532344341,1.724511027,1.610872984,1.831058621,1.533914685,1.664340496,1.521664262,1.630696177,1.691548109,1.535405755,1.532661915,1.454354882,1.574193716,1.398444533,1.61760366,1.471970081,1.377082229,1.225788951,1.29734993,1.243322849,1.069857717,1.145839572,1.217249393,1.032479763,1.112266541,1.077361107,1.112628579,0.923175693,0.97620827,1.02955544,1.025030613,0.822384775,0.821338892,0.668767869,0.817574501,0.730814457,0.873958051,0.766921043,0.51302892,0.606835723,0.778367937,0.540106177,0.556595981,0.45075649,0.553302586,0.317913443,0.439742208,0.358661354,0.438808769,0.480563492,0.34461683,0.334667623,0.238904223,0.335930765,0.30857107,0.251653939,0.26579538,0.196731642,0.235954165,0.255008638,0.137720272,0.300991952,0.193239287,0.171465501,0.244702533,0.138776004,0.059652425,0.098152123,0.171101034,0.117301285
270,89.52366638,83.82423401,47.010849,17.1649704,4.634622574,1.822910905,1.993813515,2.114353657,2.502340794,2.462618113,3.090207577,5.653245926,10.58656502,16.46129417,18.90909195,17.33920288,11.79904079,6.938759804,4.4611516,3.787920713,3.819363832,3.615381241,3.751784563,4.345873833,5.390731335,8.614563942,14.15204716,19.33848572,23.19793129,23.95602989,24.52180481,24.62999535,27.13262939,29.04487228,31.58802605,32.5146904,32.77531815,31.35152626,29.82393837,28.10780716,27.09929276,26.39504433,26.48433876,25.30276871,24.5407486,21.64908409,20.26144791,18.81804466,17.15133286,15.6703558,14.68001842,14.32006454,13.20491219,11.44714069,10.61223984,9.934586525,9.063660622,8.117803574,7.599376678,7.061546803,5.786360264,5.44503212,5.378658772,4.857832432,4.522037029,4.206236839,4.323333263,3.877300978,3.974277973,3.603085518,3.363414049,3.303490639,3.473673582,3.125978708,3.029448271,2.947591543,3.086191654,3.024987221,2.652204752,2.565031767,2.543041468,2.46066308,2.36699605,2.12223649,2.056279421,2.074884892,2.098483801,1.983863711,1.944405556,1.807642341,1.757288098,1.710062981,1.76750052,1.805831194,1.762694478,1.480617285,1.613166213,1.461536288,1.491470456,1.469169855,1.58602953,1.485319734,1.514989972,1.351495981,1.248712063,1.280817866,1.48057723,1.317861199,1.227604747,1.301506042,1.225399017,1.157630682,1.093384147,1.078859448,1.133560777,1.056949615,1.090524912,1.119528055,1.004232526,0.835431337,0.89111799,1.000943661,0.901120424,0.79559958,0.830736041,0.773408651,0.684833765,0.731553972,0.872555852,0.736309826,0.544787288,0.550307274,0.597479284,0.664372563,0.560182035,0.499299258,0.396151692,0.473183453,0.464462906,0.463460147,0.401145816,0.442585856,0.413029075,0.289076328,0.411673486,0.258228898,0.348596632,0.354299873,0.220700592,0.262824088,0.240813255,0.262277156,0.1931445,0.169399649,0.21792458,0.146014929,0.150939167,0.27261731,0.186502844,0.178818643,0.062685922,0.104716308,0.034648836,0.074228875,0.090549976,0.114715733
