Location_ID,SubLocation_ID,Station,Data_Set_ID,Date,Measur_Time,Atten_Coeff_Best,R2_Best,Num_Pts_Best,Atten_Coeff_All_Pts,R2_All_Pts,Num_All_Pts,,,,
222,LA,CB,G06,05/19/2016,10:30,1.277,0.991,6,1.277,0.991,6,,,,
222,LA,CB,G06,06/08/2016,14:29,1.239,0.987,6,1.239,0.987,6,,,,
222,LA,CB,G06,07/13/2016,15:40,1.712,0.968,5,1.712,0.968,5,,,,
222,LA,CB,G06,08/09/2016,14:50,1.896,0.996,5,1.896,0.996,5,,,,
222,LA,CB,G06,09/07/2016,14:26,1.771,0.976,5,1.771,0.976,5,,,,
222,LA,CB,G06,10/04/2016,14:20,1.629,0.986,5,1.629,0.986,5,,,,
222,LA,CB,G06,10/25/2016,09:29,2.007,0.994,5,2.007,0.994,5,,,,
222,LA,CB,G06,05/24/2017,10:24,1.308,0.993,6,1.308,0.993,6,,,,
222,LA,CB,G06,06/20/2017,14:53,1.283,0.981,6,1.283,0.981,6,,,,
222,LA,CB,G06,07/18/2017,13:41,1.53,0.991,5,1.53,0.991,5,,,,
222,LA,CB,G06,08/22/2017,15:00,1.5,0.99,5,1.5,0.99,5,,,,
222,LA,CB,G06,09/19/2017,10:30,1.244,0.985,6,1.244,0.985,6,,,,
222,LA,CB,G06,10/24/2017,09:30,2.063,0.996,5,2.063,0.996,5,,,,
222,LA,CB,G06,05/28/2018,13:10,1.528,0.995,5,1.528,0.995,5,,,,
222,LA,CB,G06,06/25/2018,13:06,1.365,0.989,6,1.365,0.989,6,,,,
222,LA,CB,G06,07/23/2018,08:15,1.4,0.994,6,1.4,0.994,6,,,,
222,LA,CB,G06,08/27/2018,13:02,1.327,0.985,6,1.327,0.985,6,,,,
222,LA,CB,G06,10/15/2018,14:22,1.978,0.991,5,1.978,0.991,5,,,,
222,LA,CB,G06,05/21/2019,08:20,1.418,0.995,6,1.418,0.995,6,,,,
222,LA,CB,G06,06/17/2019,14:00,1.296,0.985,6,1.296,0.985,6,,,,
222,LA,CB,G06,07/22/2019,08:55,1.927,0.99,5,1.927,0.99,5,,,,
222,LA,CB,G06,08/19/2019,13:06,1.713,0.983,5,1.713,0.983,5,,,,
222,LA,CB,G06,09/16/2019,13:18,1.663,0.998,5,1.663,0.998,5,,,,
222,LA,CB,G06,10/21/2019,08:32,2.293,0.972,4,2.293,0.972,4,,,,
,,,,,,,,,,,,,,,
377,LA,CB,G06,08/27/2007,11:10,0.555,0.996,9,0.57,0.994,10,,,,
