study_name,sample_num,location,sublocation,station,year,date,start_time,water_colour,epilimnion_depth,plan_therm_depth,method_sample_code,method_sample_desc,gear_type_code,gear_type_desc,comments,update_date,account,version
LTER,2022053103-04,114,LA,CB,2022,2022-05-31,,yellow orange,1.75,1.88,,,RBR2,RBR #2 XRX620 Serial No 18033,,2023-04-25,chay,1
LTER,2022061403-04,114,LA,CB,2022,2022-06-14,,brown yellow,3,3.38,,,,,Thermal epi depth comment: Determination of epilimnion depth less accurate since YSI only shows one decimal place for temperature.,2023-04-25,chay,1
LTER,2022062803-04,114,LA,CB,2022,2022-06-28,,brown yellow,4.25,,,,,,Thermocline was noted as N/A in field,2023-04-25,chay,1
LTER,2022072603-04,114,LA,CB,2022,2022-07-26,,brown yellow,4.5,,,,,,,2023-04-25,chay,1
LTER,2022080903-04,114,LA,CB,2022,2022-08-09,,yellow green,4.5,,,,,,,2023-04-25,chay,1
LTER,2022082303-04,114,LA,CB,2022,2022-08-23,,green yellow,2,2.13,,,RBR2,RBR #2 XRX620 Serial No 18033,,2023-04-25,chay,1
LTER,2022090607-04,114,LA,CB,2022,2022-09-06,14:19,green yellow,4,,,,RBR1,RBR #1 XRX620 Serial No 18018,,2023-04-25,chay,1
LTER,2022092004-04,114,LA,CB,2022,2022-09-20,9:40,yellow green,4.5,,,,RBR1,RBR #1 XRX620 Serial No 18018,,2023-04-25,chay,1
LTER,2022100402-04,114,LA,CB,2022,2022-10-04,10:07,light green,4.5,,,,RBR1,RBR #1 XRX620 Serial No 18018,Thermocline was noted as N/A in field,2023-04-25,chay,1
LTER,2022102406-04,114,LA,CB,2022,2022-10-24,10:40,white green,4.6,,,,RBR2,RBR #2 XRX620 Serial No 18033,Thermocline was noted as N/A in field,2023-04-25,chay,1
LTER,2022060608-01,224,LA,CB,2022,2022-03-31,10:00,,,,,,RBR1,RBR #1 XRX620 Serial No 18018,,2023-04-25,chay,1
LTER,2022053003-10,224,LA,CB,2022,2022-05-30,,yellow green,1.5,2.25,,,RBR1,RBR #1 XRX620 Serial No 18018,,2023-04-25,chay,1
LTER,2022061303-05,224,LA,CB,2022,2022-06-13,,Blue Green,2.5,2.63,,,RBR2,RBR #2 XRX620 Serial No 18033,,2023-04-25,chay,1
LTER,2022062703-10,224,LA,CB,2022,2022-06-27,,yellow-green,4,4.38,,,RBR2,RBR #2 XRX620 Serial No 18033,,2023-04-25,chay,1
LTER,2022072502-05,224,LA,CB,2022,2022-07-25,,blue green,4.25,5.88,,,RBR2,RBR #2 XRX620 Serial No 18033,,2023-04-25,chay,1
LTER,2022080802-10,224,LA,CB,2022,2022-08-08,,light green,4.5,5.63,,,RBR2,RBR #2 XRX620 Serial No 18033,,2023-04-25,chay,1
LTER,2022082202-05,224,LA,CB,2022,2022-08-22,,blue green,4.75,5.88,,,RBR2,RBR #2 XRX620 Serial No 18033,,2023-04-25,chay,1
LTER,2022090604-10,224,LA,CB,2022,2022-09-06,11:05,green blue,5.25,6.13,,,RBR1,RBR #1 XRX620 Serial No 18018,,2023-04-25,chay,1
LTER,2022091905-05,224,LA,CB,2022,2022-09-19,,yellow brown,6.75,7.13,,,RBR1,RBR #1 XRX620 Serial No 18018,,2023-04-25,chay,1
LTER,2022100305-10,224,LA,CB,2022,2022-10-03,11:00,blue green,7.75,8.13,,,RBR2,RBR #2 XRX620 Serial No 18033,,2023-04-25,chay,1
LTER,2022103105-10,224,LA,CB,2022,2022-10-31,10:59,na,14,14.88,,,RBR2,RBR #2 XRX620 Serial No 18033,"Secchi depth comment: secchi not recorded|Water colour comment: secchi not recorded| Secchi depth comment: originally had ""na"" but was set to null.",2023-04-25,chay,1
LTER,2022040302-10,239,LA,CB,2022,2022-04-04,,,,,,,RBR2,RBR #2 XRX620 Serial No 18033,,2023-04-25,chay,1
LTER,2022052502-10,239,LA,CB,2022,2022-05-25,,yellow orange,2.5,4.63,,,RBR2,RBR #2 XRX620 Serial No 18033,,2023-04-25,chay,1
LTER,2022060703-04,239,LA,CB,2022,2022-06-07,,Yellow Orange,3,4.38,,,RBR2,RBR #2 XRX620 Serial No 18033,,2023-04-25,chay,1
LTER,2022062103-10,239,LA,CB,2022,2022-06-21,,yellow,,3.38,,,RBR2,RBR #2 XRX620 Serial No 18033,"Profile? comment: PAR and profile samples collected June 21. Temp oxygen collected June 22.| Epi depth comment: originally had ""brown"" but was set to null.",2023-04-25,chay,1
