retriever_date,dataset_name,monitoring_location_name,monitoring_location,monitoring_sublocation,monitoring_station,site_code,year,activity_start_date,activity_start_time,activity_end_date,activity_end_time,activity_depth_height_measure,activity_depth_height_unit,characteristic_name,characteristic_name_long,method_speciation,result_sample_fraction,result_value,result_unit,layer_collection_end_depth,layer_collection_start_depth,result_detection_quantitation_limit_measure,result_detection_quantitation_limit_unit,result_detection_quantitation_limit_type,result_status_id,result_comment,result_analytical_method_name,result_analytical_method_instrument,result_analytical_reference_method,activity_media_name,analysis_start_date,laboratory_name,laboratory_sample_id,field_comment,precip_rain_gauge_mm,digital_object_identifier,update_date,update_account
2022-05-31,LTER,114 LA CB,114,LA,CB,,2022,2022-05-31,,,,,epi,PARTP,Phosphorus,as P,Non-Filterable (Particle),4.00000,ug/L,1.25,0.00,1,ug/L,Method Detection Level,Preliminary,,ELA-PartP,Shimadzu UV1800 Scanning Spectrophotometer,"The Chemical Analysis of Fresh Water - Fourth Edition, 20XX",Lake Water,2023-05-03,jthoroski,2022053103-05,,,,2023-05-16,chay
2022-05-31,LTER,114 LA CB,114,LA,CB,,2022,2022-05-31,10:20:09,,,,epi,PARTP,Phosphorus,as P,Non-Filterable (Particle),4.00000,ug/L,1.25,0.00,1,ug/L,Method Detection Level,Preliminary,,ELA-PartP,Shimadzu UV1800 Scanning Spectrophotometer,"The Chemical Analysis of Fresh Water - Fourth Edition, 20XX",Lake Water,2023-05-03,jthoroski,2022053103-01,,,,2023-05-16,chay
2022-05-31,LTER,114 LA CB,114,LA,CB,,2022,2022-05-31,10:25:16,,,,meta,PARTP,Phosphorus,as P,Non-Filterable (Particle),5.00000,ug/L,4.00,1.75,1,ug/L,Method Detection Level,Preliminary,,ELA-PartP,Shimadzu UV1800 Scanning Spectrophotometer,"The Chemical Analysis of Fresh Water - Fourth Edition, 20XX",Lake Water,2023-05-03,jthoroski,2022053103-02,,,,2023-05-16,chay
2022-05-30,LTER,224 LA CB,224,LA,CB,,2022,2022-05-30,10:26:06,,,,epi,PARTP,Phosphorus,as P,Non-Filterable (Particle),5.00000,ug/L,1.00,0.00,1,ug/L,Method Detection Level,Preliminary,,ELA-PartP,Shimadzu UV1800 Scanning Spectrophotometer,"The Chemical Analysis of Fresh Water - Fourth Edition, 20XX",Lake Water,2023-05-03,jthoroski,2022053003-01,,,,2023-05-16,chay
2022-05-30,LTER,224 LA CB,224,LA,CB,,2022,2022-05-30,10:30:33,,,,meta,PARTP,Phosphorus,as P,Non-Filterable (Particle),5.00000,ug/L,10.00,1.50,1,ug/L,Method Detection Level,Preliminary,,ELA-PartP,Shimadzu UV1800 Scanning Spectrophotometer,"The Chemical Analysis of Fresh Water - Fourth Edition, 20XX",Lake Water,2023-05-03,jthoroski,2022053003-02,,,,2023-05-16,chay
2022-06-13,LTER,224 LA CB,224,LA,CB,,2022,2022-06-13,09:10:53,,,,epi,PARTP,Phosphorus,as P,Non-Filterable (Particle),4.00000,ug/L,2.00,0.00,1,ug/L,Method Detection Level,Preliminary,,ELA-PartP,Shimadzu UV1800 Scanning Spectrophotometer,"The Chemical Analysis of Fresh Water - Fourth Edition, 20XX",Lake Water,2023-05-04,eloewen,2022061303-01,,,,2023-05-16,chay
2022-05-25,LTER,239 LA CB,239,,,,2022,2022-05-25,09:11:36,,,,epi,PARTP,Phosphorus,as P,Non-Filterable (Particle),3.00000,ug/L,2.00,0.00,1,ug/L,Method Detection Level,Preliminary,,ELA-PartP,Shimadzu UV1800 Scanning Spectrophotometer,"The Chemical Analysis of Fresh Water - Fourth Edition, 20XX",Lake Water,2023-05-02,jthoroski,2022052502-01,,,,2023-05-16,chay
2022-05-25,LTER,239 LA CB,239,,,,2022,2022-05-25,09:15:39,,,,meta,PARTP,Phosphorus,as P,Non-Filterable (Particle),4.00000,ug/L,6.00,2.50,1,ug/L,Method Detection Level,Preliminary,,ELA-PartP,Shimadzu UV1800 Scanning Spectrophotometer,"The Chemical Analysis of Fresh Water - Fourth Edition, 20XX",Lake Water,2023-05-02,jthoroski,2022052502-02,,,,2023-05-16,chay
2022-06-07,LTER,239 LA CB,239,,,,2022,2022-06-07,09:18:21,,,,meta,PARTP,Phosphorus,as P,Non-Filterable (Particle),4.00000,ug/L,6.00,3.00,1,ug/L,Method Detection Level,Preliminary,,ELA-PartP,Shimadzu UV1800 Scanning Spectrophotometer,"The Chemical Analysis of Fresh Water - Fourth Edition, 20XX",Lake Water,2023-05-04,eloewen,2022060703-02,,,,2023-05-16,chay
2022-06-07,LTER,239 LA CB,239,,,,2022,2022-06-07,09:09:33,,,,epi,PARTP,Phosphorus,as P,Non-Filterable (Particle),3.00000,ug/L,2.50,0.00,1,ug/L,Method Detection Level,Preliminary,,ELA-PartP,Shimadzu UV1800 Scanning Spectrophotometer,"The Chemical Analysis of Fresh Water - Fourth Edition, 20XX",Lake Water,2023-05-04,eloewen,2022060703-05,,,,2023-05-16,chay
2022-06-07,LTER,239 LA CB,239,,,,2022,2022-06-07,09:09:15,,,,epi,PARTP,Phosphorus,as P,Non-Filterable (Particle),4.00000,ug/L,2.50,0.00,1,ug/L,Method Detection Level,Preliminary,,ELA-PartP,Shimadzu UV1800 Scanning Spectrophotometer,"The Chemical Analysis of Fresh Water - Fourth Edition, 20XX",Lake Water,2023-05-04,eloewen,2022060703-01,,,,2023-05-16,chay
2022-06-01,LTER,373 LA CB,373,LA,CB,,2022,2022-06-01,09:48:37,,,,epi,PARTP,Phosphorus,as P,Non-Filterable (Particle),5.00000,ug/L,2.75,0.00,1,ug/L,Method Detection Level,Preliminary,,ELA-PartP,Shimadzu UV1800 Scanning Spectrophotometer,"The Chemical Analysis of Fresh Water - Fourth Edition, 20XX",Lake Water,2023-05-03,jthoroski,2022060102-01,,,,2023-05-16,chay
2022-06-01,LTER,373 LA CB,373,LA,CB,,2022,2022-06-01,09:55:47,,,,meta,PARTP,Phosphorus,as P,Non-Filterable (Particle),5.00000,ug/L,9.00,3.25,1,ug/L,Method Detection Level,Preliminary,,ELA-PartP,Shimadzu UV1800 Scanning Spectrophotometer,"The Chemical Analysis of Fresh Water - Fourth Edition, 20XX",Lake Water,2023-05-03,jthoroski,2022060102-02,,,,2023-05-16,chay
2022-05-31,Quaternary ammonia compounds,375 LA CB,375,LA,CB,,2022,2022-05-31,14:38:10,,,,meta,PARTP,Phosphorus,as P,Non-Filterable (Particle),4.00000,ug/L,7.00,1.00,1,ug/L,Method Detection Level,Preliminary,,ELA-PartP,Shimadzu UV1800 Scanning Spectrophotometer,"The Chemical Analysis of Fresh Water - Fourth Edition, 20XX",Lake Water,2023-05-03,jthoroski,2022053104-02,,,,2023-05-16,chay
2022-05-31,Quaternary ammonia compounds,375 LA CB,375,LA,CB,,2022,2022-05-31,14:35:58,,,,epi,PARTP,Phosphorus,as P,Non-Filterable (Particle),4.00000,ug/L,0.50,0.00,1,ug/L,Method Detection Level,Preliminary,,ELA-PartP,Shimadzu UV1800 Scanning Spectrophotometer,"The Chemical Analysis of Fresh Water - Fourth Edition, 20XX",Lake Water,2023-05-03,jthoroski,2022053104-01,,,,2023-05-16,chay
2022-05-31,Microplastics,378 LA CB,378,LA,CB,,2022,2022-05-31,09:14:20,,,,epi,PARTP,Phosphorus,as P,Non-Filterable (Particle),4.00000,ug/L,0.75,0.00,1,ug/L,Method Detection Level,Preliminary,,ELA-PartP,Shimadzu UV1800 Scanning Spectrophotometer,"The Chemical Analysis of Fresh Water - Fourth Edition, 20XX",Lake Water,2023-05-03,jthoroski,2022053102-01,,,,2023-05-16,chay
2022-05-31,Microplastics,378 LA CB,378,LA,CB,,2022,2022-05-31,09:20:30,,,,meta,PARTP,Phosphorus,as P,Non-Filterable (Particle),4.00000,ug/L,6.00,1.25,1,ug/L,Method Detection Level,Preliminary,,ELA-PartP,Shimadzu UV1800 Scanning Spectrophotometer,"The Chemical Analysis of Fresh Water - Fourth Edition, 20XX",Lake Water,2023-05-03,jthoroski,2022053102-02,,,,2023-05-16,chay
2022-06-08,LTER,442 LA CB,442,LA,CB,,2022,2022-06-08,09:35:42,,,,meta,PARTP,Phosphorus,as P,Non-Filterable (Particle),6.00000,ug/L,7.00,1.50,1,ug/L,Method Detection Level,Preliminary,,ELA-PartP,Shimadzu UV1800 Scanning Spectrophotometer,"The Chemical Analysis of Fresh Water - Fourth Edition, 20XX",Lake Water,2023-05-04,eloewen,2022060802-02,,,,2023-05-16,chay
2022-06-08,LTER,442 LA CB,442,LA,CB,,2022,2022-06-08,09:30:38,,,,epi,PARTP,Phosphorus,as P,Non-Filterable (Particle),6.00000,ug/L,1.00,0.00,1,ug/L,Method Detection Level,Preliminary,,ELA-PartP,Shimadzu UV1800 Scanning Spectrophotometer,"The Chemical Analysis of Fresh Water - Fourth Edition, 20XX",Lake Water,2023-05-04,eloewen,2022060802-01,,,,2023-05-16,chay
