# Generated at 2023-05-12 02:04:19 (05:00) by AQUARIUS Time-Series 22.3.301.0,,,,
# UTC-06,,,,
# Period Selected: 2022-01-01 00:00 - 2022-12-31 23:59,,,,
#,,,,
# Comment: ,,,,
# Description: ,,,,
# ReportTitle: [Untitled Report],,,,
# 654a3b08-b079-42e9-8594-4206b32530c0 Lake#.Lake#@RBR Logger 1: None,,,,
# a1e7b902-02d6-45a3-ab9c-ce708c7261da Depth.Depth AVG@RBR Logger 1: None,,,,
# 13121fbb-b10f-4351-a7d5-73d2554e6a33 Cond.Conductivity AVG@RBR Logger 1: None,,,,
# 457e375b-03d8-43f3-8837-b1ded67e52ae Sp Cond.Specific Conductivity at 25C@RBR Logger 1: None,,,,
#,,,,
# CSV data starts at line 15,,,,
#,,,,
TimeStamp,Lake,Depth@RBR Logger 1,Cond@RBR Logger 1,Sp Cond@RBR Logger 1
05/31/2022 09:53,114,0.037,11.77,23.69842648
05/31/2022 09:54,114,0.493,10.74,24.32541635
05/31/2022 09:54,114,1.069,10.65,24.36924433
05/31/2022 09:56,114,1.275,10.57,24.42064808
05/31/2022 09:57,114,1.483,10.62,24.37470876
05/31/2022 09:59,114,1.764,10.56,24.33042988
05/31/2022 10:01,114,2.007,10.46,21.87499135
05/31/2022 10:02,114,2.253,10.66,21.42937808
05/31/2022 10:03,114,2.539,10.65,20.89776351
05/31/2022 10:04,114,2.774,10.96,20.0728032
05/31/2022 10:05,114,3.049,11.06,19.66620602
05/31/2022 10:06,114,3.26,11.12,19.47224898
05/31/2022 10:07,114,3.506,11.25,18.89133751
05/31/2022 10:09,114,3.79,11.86,18.10351043
05/31/2022 10:10,114,4.043,12,17.83956366
05/31/2022 10:11,114,4.267,12.42,17.48007824
05/31/2022 10:15,114,4.503,12.83,16.84574225
08/23/2022 09:44,114,0.032,13.02,30.52457137
08/23/2022 09:44,114,0.498,12.85,30.47132895
08/23/2022 09:45,114,0.969,12.78,30.47229448
08/23/2022 09:46,114,2.009,12.74,30.41129018
08/23/2022 09:48,114,2.297,12.81,29.98027819
08/23/2022 09:50,114,2.505,13.17,29.61060504
08/23/2022 09:50,114,2.746,13.09,29.50089253
08/23/2022 09:51,114,3.009,13.66,28.98880019
08/23/2022 09:53,114,3.257,14,28.48461831
08/23/2022 09:54,114,3.499,14.04,28.33061832
08/23/2022 09:56,114,3.75,14.58,27.74108652
08/23/2022 09:57,114,4.026,15.98,26.66367048
08/23/2022 09:58,114,4.26,16.55,26.19826975
09/06/2022 14:05,114,0.061,10.72,29.4808402
09/06/2022 14:06,114,0.533,10.65,29.42493267
09/06/2022 14:07,114,1,10.6,29.09126021
09/06/2022 14:08,114,2.022,10.52,28.58596247
