retriever_date,dataset_name,monitoring_location_name,monitoring_location,monitoring_sublocation,monitoring_station,site_code,year,activity_start_date,activity_start_time,activity_end_date,activity_end_time,activity_depth_height_measure,activity_depth_height_unit,characteristic_name,characteristic_name_long,method_speciation,result_sample_fraction,result_value,result_unit,layer_collection_end_depth,layer_collection_start_depth,result_detection_quantitation_limit_measure,result_detection_quantitation_limit_unit,result_detection_quantitation_limit_type,result_status_id,result_comment,result_analytical_method_name,result_analytical_method_instrument,result_analytical_reference_method,activity_media_name,analysis_start_date,laboratory_name,laboratory_sample_id,field_comment,precip_rain_gauge_mm,digital_object_identifier,update_date,update_account
2022-06-28,LTER,114 LA CB,114,LA,CB,,2022,2022-06-28,09:30:11,,,,epi,TDN,"Total Nitrogen, mixed forms",as N,Dissolved,283.00000,ug/L,3.75,0.00,19.2,ug/L,Method Detection Level,Preliminary,,ELA-TDN/TDP,AutoAnalyzer 3,"The Chemical Analysis of Fresh Water - Fourth Edition, 20XX",Lake Water,2022-12-05,bcooney,2022062803-01,,,,2023-05-16,chay
2022-06-28,LTER,114 LA CB,114,LA,CB,,2022,2022-06-28,09:30:39,,,,epi,TDN,"Total Nitrogen, mixed forms",as N,Dissolved,265.00000,ug/L,3.75,0.00,19.2,ug/L,Method Detection Level,Preliminary,,ELA-TDN/TDP,AutoAnalyzer 3,"The Chemical Analysis of Fresh Water - Fourth Edition, 20XX",Lake Water,2022-12-05,bcooney,2022062803-05,,,,2023-05-16,chay
2022-06-28,LTER,114 LA CB,114,LA,CB,,2022,2022-06-28,09:30:39,,,,epi,TDP,"Total Phosphorus, mixed forms",as P,Dissolved,2.70000,ug/L,3.75,0.00,0.34,ug/L,Method Detection Level,Preliminary,,ELA-TDN/TDP,AutoAnalyzer 3,"The Chemical Analysis of Fresh Water - Fourth Edition, 20XX",Lake Water,2022-12-05,bcooney,2022062803-05,,,,2023-05-16,chay
2022-06-28,LTER,114 LA CB,114,LA,CB,,2022,2022-06-28,09:30:11,,,,epi,TDP,"Total Phosphorus, mixed forms",as P,Dissolved,2.80000,ug/L,3.75,0.00,0.34,ug/L,Method Detection Level,Preliminary,,ELA-TDN/TDP,AutoAnalyzer 3,"The Chemical Analysis of Fresh Water - Fourth Edition, 20XX",Lake Water,2022-12-05,bcooney,2022062803-01,,,,2023-05-16,chay
2022-07-26,LTER,114 LA CB,114,LA,CB,,2022,2022-07-26,09:55:10,,,,epi,TDN,"Total Nitrogen, mixed forms",as N,Dissolved,448.00000,ug/L,4.00,0.00,12.0,ug/L,Method Detection Level,Preliminary,,ELA-TDN/TDP,AutoAnalyzer 3,"The Chemical Analysis of Fresh Water - Fourth Edition, 20XX",Lake Water,2022-12-06,bcooney,2022072603-05,,,,2023-05-16,chay
2022-07-26,LTER,114 LA CB,114,LA,CB,,2022,2022-07-26,09:51:39,,,,epi,TDN,"Total Nitrogen, mixed forms",as N,Dissolved,459.00000,ug/L,4.00,0.00,12.0,ug/L,Method Detection Level,Preliminary,,ELA-TDN/TDP,AutoAnalyzer 3,"The Chemical Analysis of Fresh Water - Fourth Edition, 20XX",Lake Water,2022-12-06,bcooney,2022072603-01,,,,2023-05-16,chay
2022-07-26,LTER,114 LA CB,114,LA,CB,,2022,2022-07-26,09:51:39,,,,epi,TDP,"Total Phosphorus, mixed forms",as P,Dissolved,3.80000,ug/L,4.00,0.00,0.50,ug/L,Method Detection Level,Preliminary,,ELA-TDN/TDP,AutoAnalyzer 3,"The Chemical Analysis of Fresh Water - Fourth Edition, 20XX",Lake Water,2022-12-06,bcooney,2022072603-01,,,,2023-05-16,chay
2022-07-26,LTER,114 LA CB,114,LA,CB,,2022,2022-07-26,09:55:10,,,,epi,TDP,"Total Phosphorus, mixed forms",as P,Dissolved,3.80000,ug/L,4.00,0.00,0.50,ug/L,Method Detection Level,Preliminary,,ELA-TDN/TDP,AutoAnalyzer 3,"The Chemical Analysis of Fresh Water - Fourth Edition, 20XX",Lake Water,2022-12-06,bcooney,2022072603-05,,,,2023-05-16,chay
2022-08-09,LTER,114 LA CB,114,LA,CB,,2022,2022-08-09,09:50:41,,,,epi,TDN,"Total Nitrogen, mixed forms",as N,Dissolved,481.00000,ug/L,4.00,0.00,12.0,ug/L,Method Detection Level,Preliminary,,ELA-TDN/TDP,AutoAnalyzer 3,"The Chemical Analysis of Fresh Water - Fourth Edition, 20XX",Lake Water,2022-12-06,bcooney,2022080903-01,,,,2023-05-16,chay
2022-08-09,LTER,114 LA CB,114,LA,CB,,2022,2022-08-09,09:50:52,,,,epi,TDN,"Total Nitrogen, mixed forms",as N,Dissolved,489.00000,ug/L,4.00,0.00,12.0,ug/L,Method Detection Level,Preliminary,,ELA-TDN/TDP,AutoAnalyzer 3,"The Chemical Analysis of Fresh Water - Fourth Edition, 20XX",Lake Water,2022-12-06,bcooney,2022080903-05,,,,2023-05-16,chay
2022-08-09,LTER,114 LA CB,114,LA,CB,,2022,2022-08-09,09:50:52,,,,epi,TDP,"Total Phosphorus, mixed forms",as P,Dissolved,4.20000,ug/L,4.00,0.00,0.24,ug/L,Method Detection Level,Preliminary,,ELA-TDN/TDP,AutoAnalyzer 3,"The Chemical Analysis of Fresh Water - Fourth Edition, 20XX",Lake Water,2022-12-06,bcooney,2022080903-05,,,,2023-05-16,chay
2022-08-09,LTER,114 LA CB,114,LA,CB,,2022,2022-08-09,09:50:41,,,,epi,TDP,"Total Phosphorus, mixed forms",as P,Dissolved,4.00000,ug/L,4.00,0.00,0.24,ug/L,Method Detection Level,Preliminary,,ELA-TDN/TDP,AutoAnalyzer 3,"The Chemical Analysis of Fresh Water - Fourth Edition, 20XX",Lake Water,2022-12-06,bcooney,2022080903-01,,,,2023-05-16,chay
2022-08-23,LTER,114 LA CB,114,LA,CB,,2022,2022-08-23,10:00:14,,,,epi,TDN,"Total Nitrogen, mixed forms",as N,Dissolved,517.00000,ug/L,1.50,0.00,,ug/L,Method Detection Level,Preliminary,,ELA-TDN/TDP,AutoAnalyzer 3,"The Chemical Analysis of Fresh Water - Fourth Edition, 20XX",Lake Water,2022-12-07,bcooney,2022082303-01,,,,2023-05-16,chay
2022-08-23,LTER,114 LA CB,114,LA,CB,,2022,2022-08-23,10:04:30,,,,epi,TDN,"Total Nitrogen, mixed forms",as N,Dissolved,526.00000,ug/L,1.50,0.00,,ug/L,Method Detection Level,Preliminary,,ELA-TDN/TDP,AutoAnalyzer 3,"The Chemical Analysis of Fresh Water - Fourth Edition, 20XX",Lake Water,2022-12-07,bcooney,2022082303-05,,,,2023-05-16,chay
2022-08-23,LTER,114 LA CB,114,LA,CB,,2022,2022-08-23,10:07:37,,,,meta,TDN,"Total Nitrogen, mixed forms",as N,Dissolved,555.00000,ug/L,4.00,2.00,,ug/L,Method Detection Level,Preliminary,,ELA-TDN/TDP,AutoAnalyzer 3,"The Chemical Analysis of Fresh Water - Fourth Edition, 20XX",Lake Water,2022-12-07,bcooney,2022082303-02,,,,2023-05-16,chay
2022-08-23,LTER,114 LA CB,114,LA,CB,,2022,2022-08-23,10:07:37,,,,meta,TDP,"Total Phosphorus, mixed forms",as P,Dissolved,2.60000,ug/L,4.00,2.00,,ug/L,Method Detection Level,Preliminary,,ELA-TDN/TDP,AutoAnalyzer 3,"The Chemical Analysis of Fresh Water - Fourth Edition, 20XX",Lake Water,2022-12-07,bcooney,2022082303-02,,,,2023-05-16,chay
2022-08-23,LTER,114 LA CB,114,LA,CB,,2022,2022-08-23,10:00:14,,,,epi,TDP,"Total Phosphorus, mixed forms",as P,Dissolved,2.20000,ug/L,1.50,0.00,,ug/L,Method Detection Level,Preliminary,,ELA-TDN/TDP,AutoAnalyzer 3,"The Chemical Analysis of Fresh Water - Fourth Edition, 20XX",Lake Water,2022-12-07,bcooney,2022082303-01,,,,2023-05-16,chay
2022-08-23,LTER,114 LA CB,114,LA,CB,,2022,2022-08-23,10:04:30,,,,epi,TDP,"Total Phosphorus, mixed forms",as P,Dissolved,2.60000,ug/L,1.50,0.00,,ug/L,Method Detection Level,Preliminary,,ELA-TDN/TDP,AutoAnalyzer 3,"The Chemical Analysis of Fresh Water - Fourth Edition, 20XX",Lake Water,2022-12-07,bcooney,2022082303-05,,,,2023-05-16,chay
2022-06-13,LTER,224 LA CB,224,LA,CB,,2022,2022-06-13,09:15:59,,,,meta,TDN,"Total Nitrogen, mixed forms",as N,Dissolved,193.00000,ug/L,11.00,2.50,11.7,ug/L,Method Detection Level,Preliminary,,ELA-TDN/TDP,AutoAnalyzer 3,"The Chemical Analysis of Fresh Water - Fourth Edition, 20XX",Lake Water,2022-08-15,bcooney,2022061303-02,,,,2023-05-16,chay
2022-06-13,LTER,224 LA CB,224,LA,CB,,2022,2022-06-13,09:10:53,,,,epi,TDN,"Total Nitrogen, mixed forms",as N,Dissolved,207.00000,ug/L,2.00,0.00,11.7,ug/L,Method Detection Level,Preliminary,,ELA-TDN/TDP,AutoAnalyzer 3,"The Chemical Analysis of Fresh Water - Fourth Edition, 20XX",Lake Water,2022-08-15,bcooney,2022061303-01,,,,2023-05-16,chay
2022-06-13,LTER,224 LA CB,224,LA,CB,,2022,2022-06-13,09:15:59,,,,meta,TDP,"Total Phosphorus, mixed forms",as P,Dissolved,3.50000,ug/L,11.00,2.50,0.29,ug/L,Method Detection Level,Preliminary,,ELA-TDN/TDP,AutoAnalyzer 3,"The Chemical Analysis of Fresh Water - Fourth Edition, 20XX",Lake Water,2022-08-15,bcooney,2022061303-02,,,,2023-05-16,chay
2022-06-13,LTER,224 LA CB,224,LA,CB,,2022,2022-06-13,09:10:53,,,,epi,TDP,"Total Phosphorus, mixed forms",as P,Dissolved,3.60000,ug/L,2.00,0.00,0.29,ug/L,Method Detection Level,Preliminary,,ELA-TDN/TDP,AutoAnalyzer 3,"The Chemical Analysis of Fresh Water - Fourth Edition, 20XX",Lake Water,2022-08-15,bcooney,2022061303-01,,,,2023-05-16,chay
2022-06-27,LTER,224 LA CB,224,LA,CB,,2022,2022-06-27,09:40:58,,,,epi,TDN,"Total Nitrogen, mixed forms",as N,Dissolved,184.00000,ug/L,3.50,0.00,19.2,ug/L,Method Detection Level,Preliminary,,ELA-TDN/TDP,AutoAnalyzer 3,"The Chemical Analysis of Fresh Water - Fourth Edition, 20XX",Lake Water,2022-12-05,bcooney,2022062703-01,,,,2023-05-16,chay
