retriever_date,dataset_name,monitoring_location_name,monitoring_location,monitoring_sublocation,monitoring_station,site_code,year,activity_start_date,activity_start_time,activity_end_date,activity_end_time,activity_depth_height_measure,activity_depth_height_unit,characteristic_name,characteristic_name_long,method_speciation,result_sample_fraction,result_value,result_unit,layer_collection_end_depth,layer_collection_start_depth,result_detection_quantitation_limit_measure,result_detection_quantitation_limit_unit,result_detection_quantitation_limit_type,result_status_id,result_comment,result_analytical_method_name,result_analytical_method_instrument,result_analytical_reference_method,activity_media_name,analysis_start_date,laboratory_name,laboratory_sample_id,field_comment,precip_rain_gauge_mm,digital_object_identifier,update_date,update_account
2022-05-31,LTER,114 LA CB,114,LA,CB,,2022,2022-05-31,10:20:09,,,,epi,CHLA,Chlorophyll a,,Suspended,2.43000,ug/L,1.25,0.00,0.5,ug/L,Method Detection Level,Preliminary,,ELA-Chla,Turner Designs Trilogy Fluorometer,"The Chemical Analysis of Fresh Water - Fourth Edition, 20XX",Lake Water,2022-08-12,mpries,2022053103-01,,,,2023-05-16,chay
2022-05-31,LTER,114 LA CB,114,LA,CB,,2022,2022-05-31,,,,,epi,CHLA,Chlorophyll a,,Suspended,2.19000,ug/L,1.25,0.00,0.5,ug/L,Method Detection Level,Preliminary,,ELA-Chla,Turner Designs Trilogy Fluorometer,"The Chemical Analysis of Fresh Water - Fourth Edition, 20XX",Lake Water,2022-08-12,mpries,2022053103-05,,,,2023-05-16,chay
2022-05-31,LTER,114 LA CB,114,LA,CB,,2022,2022-05-31,10:25:16,,,,meta,CHLA,Chlorophyll a,,Suspended,2.79000,ug/L,4.00,1.75,0.5,ug/L,Method Detection Level,Preliminary,,ELA-Chla,Turner Designs Trilogy Fluorometer,"The Chemical Analysis of Fresh Water - Fourth Edition, 20XX",Lake Water,2022-08-12,mpries,2022053103-02,,,,2023-05-16,chay
2022-06-14,LTER,114 LA CB,114,LA,CB,,2022,2022-06-14,13:00:46,,,,epi,CHLA,Chlorophyll a,,Suspended,3.95000,ug/L,2.50,0.00,0.5,ug/L,Method Detection Level,Preliminary,,ELA-Chla,Turner Designs Trilogy Fluorometer,"The Chemical Analysis of Fresh Water - Fourth Edition, 20XX",Lake Water,2022-08-19,mpries,2022061403-05,,,,2023-05-16,chay
2022-06-14,LTER,114 LA CB,114,LA,CB,,2022,2022-06-14,13:03:40,,,,meta,CHLA,Chlorophyll a,,Suspended,4.49000,ug/L,4.00,3.00,0.5,ug/L,Method Detection Level,Preliminary,,ELA-Chla,Turner Designs Trilogy Fluorometer,"The Chemical Analysis of Fresh Water - Fourth Edition, 20XX",Lake Water,2022-08-19,mpries,2022061403-02,,,,2023-05-16,chay
2022-06-14,LTER,114 LA CB,114,LA,CB,,2022,2022-06-14,12:56:32,,,,epi,CHLA,Chlorophyll a,,Suspended,3.79000,ug/L,2.50,0.00,0.5,ug/L,Method Detection Level,Preliminary,,ELA-Chla,Turner Designs Trilogy Fluorometer,"The Chemical Analysis of Fresh Water - Fourth Edition, 20XX",Lake Water,2022-08-19,mpries,2022061403-01,,,,2023-05-16,chay
2022-06-28,LTER,114 LA CB,114,LA,CB,,2022,2022-06-28,09:30:11,,,,epi,CHLA,Chlorophyll a,,Suspended,5.31000,ug/L,3.75,0.00,0.5,ug/L,Method Detection Level,Preliminary,,ELA-Chla,Turner Designs Trilogy Fluorometer,"The Chemical Analysis of Fresh Water - Fourth Edition, 20XX",Lake Water,2022-08-19,mpries,2022062803-01,,,,2023-05-16,chay
2022-06-28,LTER,114 LA CB,114,LA,CB,,2022,2022-06-28,09:30:39,,,,epi,CHLA,Chlorophyll a,,Suspended,5.62000,ug/L,3.75,0.00,0.5,ug/L,Method Detection Level,Preliminary,,ELA-Chla,Turner Designs Trilogy Fluorometer,"The Chemical Analysis of Fresh Water - Fourth Edition, 20XX",Lake Water,2022-08-19,mpries,2022062803-05,,,,2023-05-16,chay
2022-05-30,LTER,224 LA CB,224,LA,CB,,2022,2022-05-30,10:30:33,,,,meta,CHLA,Chlorophyll a,,Suspended,5.23000,ug/L,10.00,1.50,0.5,ug/L,Method Detection Level,Preliminary,,ELA-Chla,Turner Designs Trilogy Fluorometer,"The Chemical Analysis of Fresh Water - Fourth Edition, 20XX",Lake Water,2022-08-05,mpries,2022053003-02,,,,2023-05-16,chay
2022-05-30,LTER,224 LA CB,224,LA,CB,,2022,2022-05-30,10:26:06,,,,epi,CHLA,Chlorophyll a,,Suspended,2.41000,ug/L,1.00,0.00,0.5,ug/L,Method Detection Level,Preliminary,,ELA-Chla,Turner Designs Trilogy Fluorometer,"The Chemical Analysis of Fresh Water - Fourth Edition, 20XX",Lake Water,2022-08-05,mpries,2022053003-01,,,,2023-05-16,chay
2022-06-13,LTER,224 LA CB,224,LA,CB,,2022,2022-06-13,09:10:53,,,,epi,CHLA,Chlorophyll a,,Suspended,1.55000,ug/L,2.00,0.00,0.5,ug/L,Method Detection Level,Preliminary,,ELA-Chla,Turner Designs Trilogy Fluorometer,"The Chemical Analysis of Fresh Water - Fourth Edition, 20XX",Lake Water,2022-08-12,mpries,2022061303-01,,,,2023-05-16,chay
2022-06-13,LTER,224 LA CB,224,LA,CB,,2022,2022-06-13,09:15:59,,,,meta,CHLA,Chlorophyll a,,Suspended,4.90000,ug/L,11.00,2.50,0.5,ug/L,Method Detection Level,Preliminary,,ELA-Chla,Turner Designs Trilogy Fluorometer,"The Chemical Analysis of Fresh Water - Fourth Edition, 20XX",Lake Water,2022-08-12,mpries,2022061303-02,,,,2023-05-16,chay
2022-06-27,LTER,224 LA CB,224,LA,CB,,2022,2022-06-27,09:40:58,,,,epi,CHLA,Chlorophyll a,,Suspended,1.17000,ug/L,3.50,0.00,0.5,ug/L,Method Detection Level,Preliminary,,ELA-Chla,Turner Designs Trilogy Fluorometer,"The Chemical Analysis of Fresh Water - Fourth Edition, 20XX",Lake Water,2022-08-19,mpries,2022062703-01,,,,2023-05-16,chay
2022-06-27,LTER,224 LA CB,224,LA,CB,,2022,2022-06-27,09:43:03,,,,meta,CHLA,Chlorophyll a,,Suspended,5.79000,ug/L,11.00,4.00,0.5,ug/L,Method Detection Level,Preliminary,,ELA-Chla,Turner Designs Trilogy Fluorometer,"The Chemical Analysis of Fresh Water - Fourth Edition, 20XX",Lake Water,2022-08-19,mpries,2022062703-02,,,,2023-05-16,chay
