retriever_date,dataset_name,monitoring_location_name,monitoring_location,monitoring_sublocation,monitoring_station,site_code,year,activity_start_date,activity_start_time,activity_end_date,activity_end_time,activity_depth_height_measure,activity_depth_height_unit,characteristic_name,characteristic_name_long,method_speciation,result_sample_fraction,result_value,result_unit,layer_collection_end_depth,layer_collection_start_depth,result_detection_quantitation_limit_measure,result_detection_quantitation_limit_unit,result_detection_quantitation_limit_type,result_status_id,result_comment,result_analytical_method_name,result_analytical_method_instrument,result_analytical_reference_method,activity_media_name,analysis_start_date,laboratory_name,laboratory_sample_id,field_comment,precip_rain_gauge_mm,digital_object_identifier,update_date,update_account
2022-06-14,LTER,114 LA CB,114,LA,CB,,2022,2022-06-14,12:56:32,,,,epi,PARTC,Carbon,as C,Non-Filterable (Particle),796.00000,ug/L,2.50,0.00,10,ug/L,Method Detection Level,Preliminary,,UA-C/N,Exeter CE 440 Elemental Analyzer,"The Chemical Analysis of Fresh Water - Fourth Edition, 20XX",Lake Water,,BASL - UAlberta,2022061403-01,,,,2023-05-16,chay
2022-06-14,LTER,114 LA CB,114,LA,CB,,2022,2022-06-14,13:03:40,,,,meta,PARTC,Carbon,as C,Non-Filterable (Particle),862.00000,ug/L,4.00,3.00,10,ug/L,Method Detection Level,Preliminary,,UA-C/N,Exeter CE 440 Elemental Analyzer,"The Chemical Analysis of Fresh Water - Fourth Edition, 20XX",Lake Water,,BASL - UAlberta,2022061403-02,,,,2023-05-16,chay
2022-06-14,LTER,114 LA CB,114,LA,CB,,2022,2022-06-14,13:00:46,,,,epi,PARTC,Carbon,as C,Non-Filterable (Particle),788.00000,ug/L,2.50,0.00,10,ug/L,Method Detection Level,Preliminary,,UA-C/N,Exeter CE 440 Elemental Analyzer,"The Chemical Analysis of Fresh Water - Fourth Edition, 20XX",Lake Water,,BASL - UAlberta,2022061403-05,,,,2023-05-16,chay
2022-06-14,LTER,114 LA CB,114,LA,CB,,2022,2022-06-14,12:56:32,,,,epi,PARTN,Nitrogen,as N,Non-Filterable (Particle),90.00000,ug/L,2.50,0.00,10,ug/L,Method Detection Level,Preliminary,,UA-C/N,Exeter CE 440 Elemental Analyzer,"The Chemical Analysis of Fresh Water - Fourth Edition, 20XX",Lake Water,,BASL - UAlberta,2022061403-01,,,,2023-05-16,chay
2022-06-14,LTER,114 LA CB,114,LA,CB,,2022,2022-06-14,13:03:40,,,,meta,PARTN,Nitrogen,as N,Non-Filterable (Particle),116.00000,ug/L,4.00,3.00,10,ug/L,Method Detection Level,Preliminary,,UA-C/N,Exeter CE 440 Elemental Analyzer,"The Chemical Analysis of Fresh Water - Fourth Edition, 20XX",Lake Water,,BASL - UAlberta,2022061403-02,,,,2023-05-16,chay
2022-06-14,LTER,114 LA CB,114,LA,CB,,2022,2022-06-14,13:00:46,,,,epi,PARTN,Nitrogen,as N,Non-Filterable (Particle),95.00000,ug/L,2.50,0.00,10,ug/L,Method Detection Level,Preliminary,,UA-C/N,Exeter CE 440 Elemental Analyzer,"The Chemical Analysis of Fresh Water - Fourth Edition, 20XX",Lake Water,,BASL - UAlberta,2022061403-05,,,,2023-05-16,chay
2022-06-28,LTER,114 LA CB,114,LA,CB,,2022,2022-06-28,09:30:39,,,,epi,PARTC,Carbon,as C,Non-Filterable (Particle),1276.00000,ug/L,3.75,0.00,10,ug/L,Method Detection Level,Preliminary,,UA-C/N,Exeter CE 440 Elemental Analyzer,"The Chemical Analysis of Fresh Water - Fourth Edition, 20XX",Lake Water,,BASL - UAlberta,2022062803-05,,,,2023-05-16,chay
2022-06-28,LTER,114 LA CB,114,LA,CB,,2022,2022-06-28,09:30:11,,,,epi,PARTC,Carbon,as C,Non-Filterable (Particle),1182.00000,ug/L,3.75,0.00,10,ug/L,Method Detection Level,Preliminary,,UA-C/N,Exeter CE 440 Elemental Analyzer,"The Chemical Analysis of Fresh Water - Fourth Edition, 20XX",Lake Water,,BASL - UAlberta,2022062803-01,,,,2023-05-16,chay
2022-06-28,LTER,114 LA CB,114,LA,CB,,2022,2022-06-28,09:30:39,,,,epi,PARTN,Nitrogen,as N,Non-Filterable (Particle),166.00000,ug/L,3.75,0.00,10,ug/L,Method Detection Level,Preliminary,,UA-C/N,Exeter CE 440 Elemental Analyzer,"The Chemical Analysis of Fresh Water - Fourth Edition, 20XX",Lake Water,,BASL - UAlberta,2022062803-05,,,,2023-05-16,chay
2022-06-28,LTER,114 LA CB,114,LA,CB,,2022,2022-06-28,09:30:11,,,,epi,PARTN,Nitrogen,as N,Non-Filterable (Particle),144.00000,ug/L,3.75,0.00,10,ug/L,Method Detection Level,Preliminary,,UA-C/N,Exeter CE 440 Elemental Analyzer,"The Chemical Analysis of Fresh Water - Fourth Edition, 20XX",Lake Water,,BASL - UAlberta,2022062803-01,,,,2023-05-16,chay
2022-07-26,LTER,114 LA CB,114,LA,CB,,2022,2022-07-26,09:55:10,,,,epi,PARTC,Carbon,as C,Non-Filterable (Particle),156.00000,ug/L,4.00,0.00,10,ug/L,Method Detection Level,Preliminary,,UA-C/N,Exeter CE 440 Elemental Analyzer,"The Chemical Analysis of Fresh Water - Fourth Edition, 20XX",Lake Water,,BASL - UAlberta,2022072603-05,,,,2023-05-16,chay
2022-07-26,LTER,114 LA CB,114,LA,CB,,2022,2022-07-26,09:51:39,,,,epi,PARTC,Carbon,as C,Non-Filterable (Particle),1441.00000,ug/L,4.00,0.00,10,ug/L,Method Detection Level,Preliminary,,UA-C/N,Exeter CE 440 Elemental Analyzer,"The Chemical Analysis of Fresh Water - Fourth Edition, 20XX",Lake Water,,BASL - UAlberta,2022072603-01,,,,2023-05-16,chay
2022-07-26,LTER,114 LA CB,114,LA,CB,,2022,2022-07-26,09:55:10,,,,epi,PARTN,Nitrogen,as N,Non-Filterable (Particle),145.00000,ug/L,4.00,0.00,10,ug/L,Method Detection Level,Preliminary,,UA-C/N,Exeter CE 440 Elemental Analyzer,"The Chemical Analysis of Fresh Water - Fourth Edition, 20XX",Lake Water,,BASL - UAlberta,2022072603-05,,,,2023-05-16,chay
2022-07-26,LTER,114 LA CB,114,LA,CB,,2022,2022-07-26,09:51:39,,,,epi,PARTN,Nitrogen,as N,Non-Filterable (Particle),139.00000,ug/L,4.00,0.00,10,ug/L,Method Detection Level,Preliminary,,UA-C/N,Exeter CE 440 Elemental Analyzer,"The Chemical Analysis of Fresh Water - Fourth Edition, 20XX",Lake Water,,BASL - UAlberta,2022072603-01,,,,2023-05-16,chay
2022-08-09,LTER,114 LA CB,114,LA,CB,,2022,2022-08-09,09:50:41,,,,epi,PARTC,Carbon,as C,Non-Filterable (Particle),1536.00000,ug/L,4.00,0.00,10,ug/L,Method Detection Level,Preliminary,,UA-C/N,Exeter CE 440 Elemental Analyzer,"The Chemical Analysis of Fresh Water - Fourth Edition, 20XX",Lake Water,,BASL - UAlberta,2022080903-01,,,,2023-05-16,chay
2022-08-09,LTER,114 LA CB,114,LA,CB,,2022,2022-08-09,09:50:52,,,,epi,PARTC,Carbon,as C,Non-Filterable (Particle),1599.00000,ug/L,4.00,0.00,10,ug/L,Method Detection Level,Preliminary,,UA-C/N,Exeter CE 440 Elemental Analyzer,"The Chemical Analysis of Fresh Water - Fourth Edition, 20XX",Lake Water,,BASL - UAlberta,2022080903-05,,,,2023-05-16,chay
2022-08-09,LTER,114 LA CB,114,LA,CB,,2022,2022-08-09,09:50:52,,,,epi,PARTN,Nitrogen,as N,Non-Filterable (Particle),190.00000,ug/L,4.00,0.00,10,ug/L,Method Detection Level,Preliminary,,UA-C/N,Exeter CE 440 Elemental Analyzer,"The Chemical Analysis of Fresh Water - Fourth Edition, 20XX",Lake Water,,BASL - UAlberta,2022080903-05,,,,2023-05-16,chay
2022-08-09,LTER,114 LA CB,114,LA,CB,,2022,2022-08-09,09:50:41,,,,epi,PARTN,Nitrogen,as N,Non-Filterable (Particle),186.00000,ug/L,4.00,0.00,10,ug/L,Method Detection Level,Preliminary,,UA-C/N,Exeter CE 440 Elemental Analyzer,"The Chemical Analysis of Fresh Water - Fourth Edition, 20XX",Lake Water,,BASL - UAlberta,2022080903-01,,,,2023-05-16,chay
2022-08-23,LTER,114 LA CB,114,LA,CB,,2022,2022-08-23,10:00:14,,,,epi,PARTC,Carbon,as C,Non-Filterable (Particle),1565.00000,ug/L,1.50,0.00,10,ug/L,Method Detection Level,Preliminary,,UA-C/N,Exeter CE 440 Elemental Analyzer,"The Chemical Analysis of Fresh Water - Fourth Edition, 20XX",Lake Water,,BASL - UAlberta,2022082303-01,,,,2023-05-16,chay
2022-08-23,LTER,114 LA CB,114,LA,CB,,2022,2022-08-23,10:04:30,,,,epi,PARTC,Carbon,as C,Non-Filterable (Particle),1448.00000,ug/L,1.50,0.00,10,ug/L,Method Detection Level,Preliminary,,UA-C/N,Exeter CE 440 Elemental Analyzer,"The Chemical Analysis of Fresh Water - Fourth Edition, 20XX",Lake Water,,BASL - UAlberta,2022082303-05,,,,2023-05-16,chay
2022-08-23,LTER,114 LA CB,114,LA,CB,,2022,2022-08-23,10:07:37,,,,meta,PARTC,Carbon,as C,Non-Filterable (Particle),1628.00000,ug/L,4.00,2.00,10,ug/L,Method Detection Level,Preliminary,,UA-C/N,Exeter CE 440 Elemental Analyzer,"The Chemical Analysis of Fresh Water - Fourth Edition, 20XX",Lake Water,,BASL - UAlberta,2022082303-02,,,,2023-05-16,chay
2022-08-23,LTER,114 LA CB,114,LA,CB,,2022,2022-08-23,10:00:14,,,,epi,PARTN,Nitrogen,as N,Non-Filterable (Particle),176.00000,ug/L,1.50,0.00,10,ug/L,Method Detection Level,Preliminary,,UA-C/N,Exeter CE 440 Elemental Analyzer,"The Chemical Analysis of Fresh Water - Fourth Edition, 20XX",Lake Water,,BASL - UAlberta,2022082303-01,,,,2023-05-16,chay
2022-08-23,LTER,114 LA CB,114,LA,CB,,2022,2022-08-23,10:04:30,,,,epi,PARTN,Nitrogen,as N,Non-Filterable (Particle),169.00000,ug/L,1.50,0.00,10,ug/L,Method Detection Level,Preliminary,,UA-C/N,Exeter CE 440 Elemental Analyzer,"The Chemical Analysis of Fresh Water - Fourth Edition, 20XX",Lake Water,,BASL - UAlberta,2022082303-05,,,,2023-05-16,chay
2022-08-23,LTER,114 LA CB,114,LA,CB,,2022,2022-08-23,10:07:37,,,,meta,PARTN,Nitrogen,as N,Non-Filterable (Particle),197.00000,ug/L,4.00,2.00,10,ug/L,Method Detection Level,Preliminary,,UA-C/N,Exeter CE 440 Elemental Analyzer,"The Chemical Analysis of Fresh Water - Fourth Edition, 20XX",Lake Water,,BASL - UAlberta,2022082303-02,,,,2023-05-16,chay
2022-06-13,LTER,224 LA CB,224,LA,CB,,2022,2022-06-13,09:10:53,,,,epi,PARTC,Carbon,as C,Non-Filterable (Particle),463.00000,ug/L,2.00,0.00,10,ug/L,Method Detection Level,Preliminary,,UA-C/N,Exeter CE 440 Elemental Analyzer,"The Chemical Analysis of Fresh Water - Fourth Edition, 20XX",Lake Water,,BASL - UAlberta,2022061303-01,,,,2023-05-16,chay
