retriever_date,dataset_name,monitoring_location_name,monitoring_location,monitoring_sublocation,monitoring_station,site_code,year,activity_start_date,activity_start_time,activity_end_date,activity_end_time,activity_depth_height_measure,activity_depth_height_unit,characteristic_name,characteristic_name_long,method_speciation,result_sample_fraction,result_value,result_unit,layer_collection_end_depth,layer_collection_start_depth,result_detection_quantitation_limit_measure,result_detection_quantitation_limit_unit,result_detection_quantitation_limit_type,result_status_id,result_comment,result_analytical_method_name,result_analytical_method_instrument,result_analytical_reference_method,activity_media_name,analysis_start_date,laboratory_name,laboratory_sample_id,field_comment,precip_rain_gauge_mm,digital_object_identifier,update_date,update_account
2022-06-14,LTER,114 LA CB,114,LA,CB,,2022,2022-06-14,12:56:32,,,,epi,PARTC,Carbon,as C,Non-Filterable (Particle),796,ug/L,2.5,0,10,ug/L,Method Detection Level,Preliminary,,UA-C/N,Exeter CE 440 Elemental Analyzer,"The Chemical Analysis of Fresh Water - Fourth Edition, 20XX",Lake Water,,BASL - UAlberta,2022061403-01,,,,2023-05-16,chay
2022-06-14,LTER,114 LA CB,114,LA,CB,,2022,2022-06-14,13:03:40,,,,meta,PARTC,Carbon,as C,Non-Filterable (Particle),862,ug/L,4,3,10,ug/L,Method Detection Level,Preliminary,,UA-C/N,Exeter CE 440 Elemental Analyzer,"The Chemical Analysis of Fresh Water - Fourth Edition, 20XX",Lake Water,,BASL - UAlberta,2022061403-02,,,,2023-05-16,chay
2022-06-14,LTER,114 LA CB,114,LA,CB,,2022,2022-06-14,13:00:46,,,,epi,PARTC,Carbon,as C,Non-Filterable (Particle),788,ug/L,2.5,0,10,ug/L,Method Detection Level,Preliminary,,UA-C/N,Exeter CE 440 Elemental Analyzer,"The Chemical Analysis of Fresh Water - Fourth Edition, 20XX",Lake Water,,BASL - UAlberta,2022061403-05,,,,2023-05-16,chay
2022-06-14,LTER,114 LA CB,114,LA,CB,,2022,2022-06-14,12:56:32,,,,epi,PARTN,Nitrogen,as N,Non-Filterable (Particle),90,ug/L,2.5,0,10,ug/L,Method Detection Level,Preliminary,,UA-C/N,Exeter CE 440 Elemental Analyzer,"The Chemical Analysis of Fresh Water - Fourth Edition, 20XX",Lake Water,,BASL - UAlberta,2022061403-01,,,,2023-05-16,chay
2022-06-14,LTER,114 LA CB,114,LA,CB,,2022,2022-06-14,13:03:40,,,,meta,PARTN,Nitrogen,as N,Non-Filterable (Particle),116,ug/L,4,3,10,ug/L,Method Detection Level,Preliminary,,UA-C/N,Exeter CE 440 Elemental Analyzer,"The Chemical Analysis of Fresh Water - Fourth Edition, 20XX",Lake Water,,BASL - UAlberta,2022061403-02,,,,2023-05-16,chay
2022-06-14,LTER,114 LA CB,114,LA,CB,,2022,2022-06-14,13:00:46,,,,epi,PARTN,Nitrogen,as N,Non-Filterable (Particle),95,ug/L,2.5,0,10,ug/L,Method Detection Level,Preliminary,,UA-C/N,Exeter CE 440 Elemental Analyzer,"The Chemical Analysis of Fresh Water - Fourth Edition, 20XX",Lake Water,,BASL - UAlberta,2022061403-05,,,,2023-05-16,chay
2022-06-28,LTER,114 LA CB,114,LA,CB,,2022,2022-06-28,9:30:39,,,,epi,PARTC,Carbon,as C,Non-Filterable (Particle),1276,ug/L,3.75,0,10,ug/L,Method Detection Level,Preliminary,,UA-C/N,Exeter CE 440 Elemental Analyzer,"The Chemical Analysis of Fresh Water - Fourth Edition, 20XX",Lake Water,,BASL - UAlberta,2022062803-05,,,,2023-05-16,chay
2022-06-28,LTER,114 LA CB,114,LA,CB,,2022,2022-06-28,9:30:11,,,,epi,PARTC,Carbon,as C,Non-Filterable (Particle),1182,ug/L,3.75,0,10,ug/L,Method Detection Level,Preliminary,,UA-C/N,Exeter CE 440 Elemental Analyzer,"The Chemical Analysis of Fresh Water - Fourth Edition, 20XX",Lake Water,,BASL - UAlberta,2022062803-01,,,,2023-05-16,chay
2022-06-28,LTER,114 LA CB,114,LA,CB,,2022,2022-06-28,9:30:39,,,,epi,PARTN,Nitrogen,as N,Non-Filterable (Particle),166,ug/L,3.75,0,10,ug/L,Method Detection Level,Preliminary,,UA-C/N,Exeter CE 440 Elemental Analyzer,"The Chemical Analysis of Fresh Water - Fourth Edition, 20XX",Lake Water,,BASL - UAlberta,2022062803-05,,,,2023-05-16,chay
2022-06-28,LTER,114 LA CB,114,LA,CB,,2022,2022-06-28,9:30:11,,,,epi,PARTN,Nitrogen,as N,Non-Filterable (Particle),144,ug/L,3.75,0,10,ug/L,Method Detection Level,Preliminary,,UA-C/N,Exeter CE 440 Elemental Analyzer,"The Chemical Analysis of Fresh Water - Fourth Edition, 20XX",Lake Water,,BASL - UAlberta,2022062803-01,,,,2023-05-16,chay
2022-07-26,LTER,114 LA CB,114,LA,CB,,2022,2022-07-26,9:55:10,,,,epi,PARTC,Carbon,as C,Non-Filterable (Particle),156,ug/L,4,0,10,ug/L,Method Detection Level,Preliminary,,UA-C/N,Exeter CE 440 Elemental Analyzer,"The Chemical Analysis of Fresh Water - Fourth Edition, 20XX",Lake Water,,BASL - UAlberta,2022072603-05,,,,2023-05-16,chay
2022-07-26,LTER,114 LA CB,114,LA,CB,,2022,2022-07-26,9:51:39,,,,epi,PARTC,Carbon,as C,Non-Filterable (Particle),1441,ug/L,4,0,10,ug/L,Method Detection Level,Preliminary,,UA-C/N,Exeter CE 440 Elemental Analyzer,"The Chemical Analysis of Fresh Water - Fourth Edition, 20XX",Lake Water,,BASL - UAlberta,2022072603-01,,,,2023-05-16,chay
2022-07-26,LTER,114 LA CB,114,LA,CB,,2022,2022-07-26,9:55:10,,,,epi,PARTN,Nitrogen,as N,Non-Filterable (Particle),145,ug/L,4,0,10,ug/L,Method Detection Level,Preliminary,,UA-C/N,Exeter CE 440 Elemental Analyzer,"The Chemical Analysis of Fresh Water - Fourth Edition, 20XX",Lake Water,,BASL - UAlberta,2022072603-05,,,,2023-05-16,chay
2022-07-26,LTER,114 LA CB,114,LA,CB,,2022,2022-07-26,9:51:39,,,,epi,PARTN,Nitrogen,as N,Non-Filterable (Particle),139,ug/L,4,0,10,ug/L,Method Detection Level,Preliminary,,UA-C/N,Exeter CE 440 Elemental Analyzer,"The Chemical Analysis of Fresh Water - Fourth Edition, 20XX",Lake Water,,BASL - UAlberta,2022072603-01,,,,2023-05-16,chay
2022-08-09,LTER,114 LA CB,114,LA,CB,,2022,2022-08-09,9:50:41,,,,epi,PARTC,Carbon,as C,Non-Filterable (Particle),1536,ug/L,4,0,10,ug/L,Method Detection Level,Preliminary,,UA-C/N,Exeter CE 440 Elemental Analyzer,"The Chemical Analysis of Fresh Water - Fourth Edition, 20XX",Lake Water,,BASL - UAlberta,2022080903-01,,,,2023-05-16,chay
2022-08-09,LTER,114 LA CB,114,LA,CB,,2022,2022-08-09,9:50:52,,,,epi,PARTC,Carbon,as C,Non-Filterable (Particle),1599,ug/L,4,0,10,ug/L,Method Detection Level,Preliminary,,UA-C/N,Exeter CE 440 Elemental Analyzer,"The Chemical Analysis of Fresh Water - Fourth Edition, 20XX",Lake Water,,BASL - UAlberta,2022080903-05,,,,2023-05-16,chay
2022-08-09,LTER,114 LA CB,114,LA,CB,,2022,2022-08-09,9:50:52,,,,epi,PARTN,Nitrogen,as N,Non-Filterable (Particle),190,ug/L,4,0,10,ug/L,Method Detection Level,Preliminary,,UA-C/N,Exeter CE 440 Elemental Analyzer,"The Chemical Analysis of Fresh Water - Fourth Edition, 20XX",Lake Water,,BASL - UAlberta,2022080903-05,,,,2023-05-16,chay
2022-08-09,LTER,114 LA CB,114,LA,CB,,2022,2022-08-09,9:50:41,,,,epi,PARTN,Nitrogen,as N,Non-Filterable (Particle),186,ug/L,4,0,10,ug/L,Method Detection Level,Preliminary,,UA-C/N,Exeter CE 440 Elemental Analyzer,"The Chemical Analysis of Fresh Water - Fourth Edition, 20XX",Lake Water,,BASL - UAlberta,2022080903-01,,,,2023-05-16,chay
2022-08-23,LTER,114 LA CB,114,LA,CB,,2022,2022-08-23,10:00:14,,,,epi,PARTC,Carbon,as C,Non-Filterable (Particle),1565,ug/L,1.5,0,10,ug/L,Method Detection Level,Preliminary,,UA-C/N,Exeter CE 440 Elemental Analyzer,"The Chemical Analysis of Fresh Water - Fourth Edition, 20XX",Lake Water,,BASL - UAlberta,2022082303-01,,,,2023-05-16,chay
2022-08-23,LTER,114 LA CB,114,LA,CB,,2022,2022-08-23,10:04:30,,,,epi,PARTC,Carbon,as C,Non-Filterable (Particle),1448,ug/L,1.5,0,10,ug/L,Method Detection Level,Preliminary,,UA-C/N,Exeter CE 440 Elemental Analyzer,"The Chemical Analysis of Fresh Water - Fourth Edition, 20XX",Lake Water,,BASL - UAlberta,2022082303-05,,,,2023-05-16,chay
2022-08-23,LTER,114 LA CB,114,LA,CB,,2022,2022-08-23,10:07:37,,,,meta,PARTC,Carbon,as C,Non-Filterable (Particle),1628,ug/L,4,2,10,ug/L,Method Detection Level,Preliminary,,UA-C/N,Exeter CE 440 Elemental Analyzer,"The Chemical Analysis of Fresh Water - Fourth Edition, 20XX",Lake Water,,BASL - UAlberta,2022082303-02,,,,2023-05-16,chay
2022-08-23,LTER,114 LA CB,114,LA,CB,,2022,2022-08-23,10:00:14,,,,epi,PARTN,Nitrogen,as N,Non-Filterable (Particle),176,ug/L,1.5,0,10,ug/L,Method Detection Level,Preliminary,,UA-C/N,Exeter CE 440 Elemental Analyzer,"The Chemical Analysis of Fresh Water - Fourth Edition, 20XX",Lake Water,,BASL - UAlberta,2022082303-01,,,,2023-05-16,chay
2022-08-23,LTER,114 LA CB,114,LA,CB,,2022,2022-08-23,10:04:30,,,,epi,PARTN,Nitrogen,as N,Non-Filterable (Particle),169,ug/L,1.5,0,10,ug/L,Method Detection Level,Preliminary,,UA-C/N,Exeter CE 440 Elemental Analyzer,"The Chemical Analysis of Fresh Water - Fourth Edition, 20XX",Lake Water,,BASL - UAlberta,2022082303-05,,,,2023-05-16,chay
2022-08-23,LTER,114 LA CB,114,LA,CB,,2022,2022-08-23,10:07:37,,,,meta,PARTN,Nitrogen,as N,Non-Filterable (Particle),197,ug/L,4,2,10,ug/L,Method Detection Level,Preliminary,,UA-C/N,Exeter CE 440 Elemental Analyzer,"The Chemical Analysis of Fresh Water - Fourth Edition, 20XX",Lake Water,,BASL - UAlberta,2022082303-02,,,,2023-05-16,chay
2022-06-13,LTER,224 LA CB,224,LA,CB,,2022,2022-06-13,9:10:53,,,,epi,PARTC,Carbon,as C,Non-Filterable (Particle),463,ug/L,2,0,10,ug/L,Method Detection Level,Preliminary,,UA-C/N,Exeter CE 440 Elemental Analyzer,"The Chemical Analysis of Fresh Water - Fourth Edition, 20XX",Lake Water,,BASL - UAlberta,2022061303-01,,,,2023-05-16,chay
2022-06-13,LTER,224 LA CB,224,LA,CB,,2022,2022-06-13,9:15:59,,,,meta,PARTC,Carbon,as C,Non-Filterable (Particle),616,ug/L,11,2.5,10,ug/L,Method Detection Level,Preliminary,,UA-C/N,Exeter CE 440 Elemental Analyzer,"The Chemical Analysis of Fresh Water - Fourth Edition, 20XX",Lake Water,,BASL - UAlberta,2022061303-02,,,,2023-05-16,chay
2022-06-13,LTER,224 LA CB,224,LA,CB,,2022,2022-06-13,9:15:59,,,,meta,PARTN,Nitrogen,as N,Non-Filterable (Particle),86,ug/L,11,2.5,10,ug/L,Method Detection Level,Preliminary,,UA-C/N,Exeter CE 440 Elemental Analyzer,"The Chemical Analysis of Fresh Water - Fourth Edition, 20XX",Lake Water,,BASL - UAlberta,2022061303-02,,,,2023-05-16,chay
2022-06-13,LTER,224 LA CB,224,LA,CB,,2022,2022-06-13,9:10:53,,,,epi,PARTN,Nitrogen,as N,Non-Filterable (Particle),64,ug/L,2,0,10,ug/L,Method Detection Level,Preliminary,,UA-C/N,Exeter CE 440 Elemental Analyzer,"The Chemical Analysis of Fresh Water - Fourth Edition, 20XX",Lake Water,,BASL - UAlberta,2022061303-01,,,,2023-05-16,chay
2022-06-13,LTER,224 LA CB,224,LA,CB,,2022,2022-06-13,9:10:53,,,,epi,PARTP,Phosphorus,as P,Non-Filterable (Particle),4,ug/L,2,0,1,ug/L,Method Detection Level,Preliminary,,ELA-PartP,Shimadzu UV1800 Scanning Spectrophotometer,"The Chemical Analysis of Fresh Water - Fourth Edition, 20XX",Lake Water,2023-05-04,eloewen,2022061303-01,,,,2023-05-16,chay
2022-06-27,LTER,224 LA CB,224,LA,CB,,2022,2022-06-27,,,,25,m,PARTC,Carbon,as C,Non-Filterable (Particle),1825,ug/L,,,10,ug/L,Method Detection Level,Preliminary,,UA-C/N,Exeter CE 440 Elemental Analyzer,"The Chemical Analysis of Fresh Water - Fourth Edition, 20XX",Lake Water,,BASL - UAlberta,2022062703-07,,,,2023-05-16,chay
2022-06-27,LTER,224 LA CB,224,LA,CB,,2022,2022-06-27,,,,20,m,PARTC,Carbon,as C,Non-Filterable (Particle),652,ug/L,,,10,ug/L,Method Detection Level,Preliminary,,UA-C/N,Exeter CE 440 Elemental Analyzer,"The Chemical Analysis of Fresh Water - Fourth Edition, 20XX",Lake Water,,BASL - UAlberta,2022062703-06,,,,2023-05-16,chay
2022-06-27,LTER,224 LA CB,224,LA,CB,,2022,2022-06-27,9:43:03,,,,meta,PARTC,Carbon,as C,Non-Filterable (Particle),768,ug/L,11,4,10,ug/L,Method Detection Level,Preliminary,,UA-C/N,Exeter CE 440 Elemental Analyzer,"The Chemical Analysis of Fresh Water - Fourth Edition, 20XX",Lake Water,,BASL - UAlberta,2022062703-02,,,,2023-05-16,chay
