lake,date,method,mesh_size,counter,thin,rotifers,year,month,cal13,cal45,calnc,dpasha,dpashc,dplepa,dplepc,dpmina,dpminc,dporga,dporgc,dpsisa,dpsisc,eplaca,eplacc,limac,secal,calcop,kasps,bolng,cerio,chsph,daamb,dapar,daret,dasps,dibir,hogla,ltkin,pmped,sicry,acvera,acverc,cybica,cybicc,cyc13,cyc45,cycnc,cyvar,mceda,mcedc,ocmoda,ocmodc,tcexta,tcextc,cyccop,mysid,anfis,apher,appri,aseca,asova,assal,assps,brsps,clsps,cnsps,cosps,cpsps,cusps,ehsps,fisps,glrot,gshyp,gssps,hxsps,klbos,kllon,krcoh,krhem,krsps,lesps,lpsps,malnf,masps,mmsps,mosps,nosps,ntsps,plsps,pmsps,podol,pomaj,porem,posps,povul,rotar,sysps,tesps,tisps,titer,trcyl,trmul,trrou,trsim,trsps,pxsps,apsps,rotsp,ptias,brqua,dplx_grp,dgal_grp,bos_tot,litt_clad,litt_cyc
114,2022-05-31,Salki/Palatas integrating tube,53,biologica,NA,1,2022,5,8.260869565,0,8.115942029,0,0,0,0,0.84057971,2.144927536,0,0,0,0,0.173913043,0.115942029,0,0,0,0,5.391304348,0,0,0,0,0,0,0.202898551,0.057971014,0,0,0,0,0,0,0,0.666666667,0,13.91304348,0,0.173913043,0,0,0,0.057971014,0,0,0,0,0,0.579710145,0,0,0,0,0,0,62.02898551,11.5942029,0,0,0,0,0,1.15942029,4.057971014,0,0.579710145,9.855072464,42.31884058,0,0,0,0,0,0,0,0,0,0,0,0,3.47826087,0,6.956521739,0,20.86956522,0,10.43478261,0,0,0,4.057971014,0,0,0,0,0,0.579710145,1.15942029,0.579710145,0,0,0,5.391304348,0,0
114,2022-06-14,Salki/Palatas integrating tube,53,biologica,NA,1,2022,6,2.308507463,0,9.353283582,0,0,0,0,5.412985075,4.218955224,0,0,0,0,0.079701493,0.517462687,0,0,0,0,1.910447761,0,0,0,0,0,0,1.472686567,0.597014925,0,0,0,0,0,0,0,1.830895522,0,28.65671642,0,0,0,0,0,0.039850746,0,0,0,0,0,0,0,0,0.198955224,0,0,0.198955224,3.781044776,0.795970149,0,0,0,0,0,0.198955224,0.795970149,0,0.795970149,12.93537313,41.59208955,0,0,0,0,0,0,0,0,0,0,0,0,0.398059701,0,0.198955224,0,6.766119403,0,3.184029851,0,0,0,1.194029851,0,0.198955224,0,0,0,0,0,0,0,0,0,1.910447761,0,0
114,2022-06-28,Salki/Palatas integrating tube,53,biologica,NA,1,2022,6,1.818181818,0,35.3030303,0,0,0,0,8.96969697,3.757575758,0,0,0,0,0.242424242,0.363636364,0,0,0,0,0.121212121,0,0,0,0,0,0,4.909090909,0.363636364,0,0,0,0,0,0,0,5.575757576,0,31.06060606,0,0.606060606,1.090909091,0,0,0.484848485,0.121212121,0,0,0,0,0.151515152,0,0,0,0,0,0,0.606060606,0,0,0,0,0,0,0,0.151515152,0,0,17.42424242,15.3030303,0,0,0.151515152,0,0,0,0,0.606060606,0,0,0,0,0.909090909,0,0.757575758,0,6.515151515,0,2.878787879,0,0,0,1.212121212,0,0,0,0,0,0.151515152,0,0,0,0,0,0.121212121,0,0
224,2022-05-30,"2-barrel, 2 net, closing",53,biologica,NA,1,2022,5,0.048025318,0,0.540284827,0,0,0,0,0.006003165,0,0,0,0.024012659,0.024012659,0,0,0,0,0,0,0.012006329,0,0,0,0,0,0,0,0,0,0,0,0,0,1.074566489,1.020538006,3.049607689,0,3.781993788,0,0.012006329,0.012006329,0,0,0.012006329,0.012006329,0,0,0,0,0,0,0.060031647,0,0,0,0.060031647,0,0.060031647,0,0,0,0,0,0,0.120063295,0,1.560822833,0.480253179,11.94629784,1.440759538,0,0,0,0,0,0,0,0,0,0,0,0.180094942,0,1.140601301,0,3.661930493,0,0.24012659,0,0,0,0.180094942,0,0,0,0,0,0,0.060031647,0,0,0,0.006003165,0.012006329,0,0
224,2022-06-13,"2-barrel, 2 net, closing",53,biologica,NA,1,2022,6,0,0,0.15156505,0,0,0,0,0,0.166721555,0,0,0,0.045469515,0,0.045469515,0,0,0,0,0.045469515,0,0,0,0,0,0,0.03031301,0,0,0,0,0,0,0.727512242,5.577593855,1.136737878,0,1.515650504,0,0.03031301,0,0,0,0,0,0,0,0,0,0,0.303130101,0,0,0,0,0,0,0.15156505,0,0,0,0,0,0,0.15156505,0,1.667215554,1.364085454,112.4612674,1.212520403,0,0,0,0,0,0,0,0,0,0,0,1.212520403,0,3.182866058,0,15.61120019,0,0.15156505,0,0,0,0.454695151,0,0,0,0,0,0,0.303130101,0,0,0,0,0.045469515,0,0
224,2022-06-27,"2-barrel, 2 net, closing",53,biologica,NA,1,2022,6,0.04592421,0,0.229621051,0,0,0,0,0.091848421,0.091848421,0,0,0,0.03061614,0.01530807,0,0,0,0,0,0.153080701,0,0,0,0,0,0,0.01530807,0.01530807,0,0,0,0,0,0.933792275,3.689244891,0.367393682,0,0.229621051,0,0.04592421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.296210513,0,0,0,0,0,0,0,0,2.525831565,0.688863154,135.0171782,0.918484205,0,0,0,0,0,0,0,0,0,0,0,2.525831565,0,1.377726308,0,14.69574728,0,0.229621051,0,0,0,0.229621051,0,0,0,0,0,0,0.229621051,0,0,0,0,0.153080701,0,0
239,2022-05-25,"2-barrel, 2 net, closing",53,biologica,NA,1,2022,5,0,0,0.127567251,0,0,0,0,0.068376046,0.003061614,0,0,0.00510269,0,0,0,0,0,0,0,0.00510269,0,0.001020538,0,0,0,0,0,0,0,0,0,0,0,0.126546713,0.113279719,0.584768277,0,1.849725136,0,0,0,0,0,0.003061614,0.001020538,0,0,0,0,0,0,0.063783625,0,0,0,0,0.701619879,0,0,0,0,0,0,0,0.637836254,0,0.063783625,1.275672507,14.79780109,0,0,0,0,0,0,0,0.063783625,0,0,0,0,0.127567251,0,0,0,0.318918127,0,6.88863154,0,0,0,0,0,0,0,0,0,0,0.446485378,0,0,0,0,0.00510269,0,0
239,2022-06-07,"2-barrel, 2 net, closing",53,biologica,NA,1,2022,6,0.141503169,0,0.900474711,0,0,0,0,0.038591773,0.13721305,0,0,0.004290119,0,0,0,0,0,0,0,0.012863924,0,0.004290119,0,0,0,0,0,0.004290119,0,0,0,0,0,0.424509507,0.90476483,1.466487386,0,0,0,0,0,0,0,0,0,0,6.43E-04,0,0,0,0,0.128639244,0,0,0,0,0.514556978,0,0,0,0,0,0,0,0.257278489,0,0,6.303322977,111.7875034,0.257278489,0,0,0,0,0,0,0,0,0,0,0,0.643196222,0,1.800949422,0,6.817879955,0.128639244,0.514556978,0,0,0,0,0,0,0,0,0.128639244,0,0.128639244,0,0,0,0,0.012863924,0,0
239,2022-06-21,"2-barrel, 2 net, closing",53,biologica,NA,1,2022,6,0.061581991,0,0.395898364,0,0,0,0,0.19355471,0.035188766,0,0,0,0,0,0,0,0,0,0,0.404693906,0,0.017597682,0,0,0,0,0,0.052786449,0,0,0,0,0,1.10851542,1.40763643,0.976549299,0,0,0,0,0,0,0,0,0,0,0.005938475,0,0,0.527864486,0,0,0,0,0,0,0.527864486,0,0,0,0,2.639322429,0,0,5.938475466,0,0,6.334373831,98.9745911,0.131966121,0,0,0,0,0,0,0,0,0,7.258136681,0,0.131966121,0.263932243,1.979491822,0,24.67766471,0.263932243,1.979491822,0,0,0,0,0,0,0,0,0,0.527864486,0.659830607,0,0,0,0,0.404693906,0,0
239,2022-07-19,"2-barrel, 2 net, closing",53,biologica,NA,1,2022,7,1.193510549,0,0.129729407,0,0,0,0,0.298377637,0.389188222,0,0,0,0,0.012972941,0.025945881,0,0,0,0,3.917828106,0,0.194594111,0,0,0,0,0.194594111,0.103783526,0,0,0,0,0,2.023778757,1.894049349,1.868103468,0,1.167564667,0,0,0,0,0,0,0,0,0.001945941,0,0,0,0,0,0,0,0,0.778376445,0.389188222,0,0,0,0,0.129729407,0,0.259458815,2.854046965,0,0.129729407,2.983776372,19.32968172,0.129729407,0,0,0,0,0,0,0,0,0,1.167564667,0,0.908105852,0.51891763,3.243235187,0,10.76754082,0.51891763,0.389188222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.917828106,0,0
