monitoring_location,monitoring_sublocation,monitoring_station,depth_m,depth_bin_m,profile_no,cond_us_cm1,cond_spec_us_cm1,qa_level,data_set_name,collection_method,comments
114,LA,CB,0.040,0.0,1,9.900,13.430,preliminary,RBR PROBE,RBR-18033-138,""
114,LA,CB,0.520,0.5,1,9.900,13.430,preliminary,RBR PROBE,RBR-18033-138,""
114,LA,CB,1.010,1.0,1,9.900,13.440,preliminary,RBR PROBE,RBR-18033-138,""
114,LA,CB,1.920,2.0,1,9.850,13.410,preliminary,RBR PROBE,RBR-18033-138,""
114,LA,CB,2.270,2.3,1,9.680,13.300,preliminary,RBR PROBE,RBR-18033-138,""
114,LA,CB,2.500,2.5,1,9.590,13.320,preliminary,RBR PROBE,RBR-18033-138,""
114,LA,CB,2.770,2.8,1,9.400,13.280,preliminary,RBR PROBE,RBR-18033-138,""
114,LA,CB,3.000,3.0,1,9.370,13.360,preliminary,RBR PROBE,RBR-18033-138,""
114,LA,CB,3.240,3.3,1,9.280,13.390,preliminary,RBR PROBE,RBR-18033-138,""
114,LA,CB,3.520,3.5,1,9.240,13.390,preliminary,RBR PROBE,RBR-18033-138,""
114,LA,CB,3.770,3.8,1,9.190,13.400,preliminary,RBR PROBE,RBR-18033-138,""
114,LA,CB,4.000,4.0,1,9.130,13.390,preliminary,RBR PROBE,RBR-18033-138,""
114,LA,CB,4.140,,1,9.110,13.430,preliminary,RBR PROBE,RBR-18033-138,""
114,LA,CB,4.460,4.5,1,45.650,67.860,preliminary,RBR PROBE,RBR-18033-138,""
114,LA,CB,0.000,0.0,1,9.390,11.300,preliminary,RBR PROBE,RBR-18033-138,""
114,LA,CB,0.490,0.5,1,9.380,11.290,preliminary,RBR PROBE,RBR-18033-138,""
114,LA,CB,0.990,1.0,1,9.370,11.280,preliminary,RBR PROBE,RBR-18033-138,""
114,LA,CB,1.940,2.0,1,9.360,11.270,preliminary,RBR PROBE,RBR-18033-138,""
114,LA,CB,3.000,3.0,1,9.350,11.260,preliminary,RBR PROBE,RBR-18033-138,""
114,LA,CB,4.050,4.0,1,9.330,11.260,preliminary,RBR PROBE,RBR-18033-138,""
114,LA,CB,4.470,4.5,1,52.140,63.710,preliminary,RBR PROBE,RBR-18033-138,""
114,LA,CB,0.030,0.0,1,9.980,11.530,preliminary,RBR PROBE,RBR-18033-138,""
114,LA,CB,0.520,0.5,1,9.950,11.490,preliminary,RBR PROBE,RBR-18033-138,""
114,LA,CB,0.960,1.0,1,9.940,11.480,preliminary,RBR PROBE,RBR-18033-138,""
114,LA,CB,1.980,2.0,1,9.920,11.460,preliminary,RBR PROBE,RBR-18033-138,""
114,LA,CB,2.990,3.0,1,9.920,11.470,preliminary,RBR PROBE,RBR-18033-138,""
114,LA,CB,4.020,4.0,1,9.920,11.470,preliminary,RBR PROBE,RBR-18033-138,""
114,LA,CB,4.260,4.3,1,10.160,11.750,preliminary,RBR PROBE,RBR-18033-138,""
114,LA,CB,0.500,0.5,1,11.730,12.230,preliminary,RBR PROBE,RBR-18033-138,""
114,LA,CB,0.990,1.0,1,11.720,12.210,preliminary,RBR PROBE,RBR-18033-138,""
114,LA,CB,1.780,1.8,1,11.720,12.210,preliminary,RBR PROBE,RBR-18033-138,""
114,LA,CB,2.810,2.8,1,11.710,12.230,preliminary,RBR PROBE,RBR-18033-138,""
114,LA,CB,3.950,4.0,1,11.710,12.230,preliminary,RBR PROBE,RBR-18033-138,""
114,LA,CB,4.440,4.5,1,11.830,12.360,preliminary,RBR PROBE,RBR-18033-138,""
