# Generated at 2020-02-19 09:45:36 (08:00) by AQUARIUS Time-Series 19.4.64.0,,,,,,
# UTC-06,,,,,,
# Period Selected: 2019-04-01 00:00 - 2019-12-01 23:59,,,,,,
#,,,,,,
# Comment: ,,,,,,
# Description: ,,,,,,
# ReportTitle: RBR profiles for Sandra 2019,,,,,,
# 09cad271-15d7-4829-8c0d-a189d7615fd3 Lake#.Lake#@RBR: None,,,,,,
# 6a5a398a-c73e-4f2a-8e24-aba615badaeb Depth.Depth AVG@RBR: None,,,,,,
# 2500a996-d39c-4c52-980b-b1124922697e Water Temp.Temperature AVG@RBR: None,,,,,,
# 1761bf4f-3cb5-42cb-a0a8-2ea573576136 O2 (Dis).Dissolved Oxygen@RBR: None,,,,,,
# b6d3c8c0-0566-44f0-9b57-78ab10134c00 Cond.Conductivity AVG@RBR: None,,,,,,
# 72f08125-81c2-4cf0-9827-565edb2f3ef0 Sp Cond.Specific Conductivity at 25C@RBR: None,,,,,,
#,,,,,,
# CSV data starts at line 17,,,,,,
#,,,,,,
TimeStamp,Lake#@RBR,Depth@RBR,Water Temp@RBR,O2 (Dis)@RBR,Cond@RBR,Sp Cond@RBR
5/6/2019 8:29,239,0.788,4.544,8.03,15.47,5.555168422
5/6/2019 8:29,239,0.981,4.5,8.12,15.43,5.506520332
5/6/2019 8:30,239,0.078,4.277,8.18,15.38,5.239764878
5/6/2019 8:31,239,0.499,4.266,8.18,15.4,5.223844044
5/6/2019 8:32,239,0.984,4.253,8.17,15.4,5.207925157
5/6/2019 8:33,239,2.012,4.231,8.12,15.42,5.178563123
5/6/2019 8:33,239,3.05,4.238,8.12,15.43,5.185918481
5/6/2019 8:34,239,4.003,4.238,8.12,15.44,5.184706706
5/6/2019 8:35,239,4.949,4.227,8.1,15.44,5.171249468
5/6/2019 8:35,239,5.076,4.229,8.09,15.45,5.172487601
5/6/2019 8:36,239,6.022,4.23,8.04,15.47,5.171294547
5/6/2019 8:37,239,6.953,4.226,8.02,15.48,5.165198346
5/6/2019 8:38,239,8.04,4.223,8.03,15.48,5.161531617
5/6/2019 8:38,239,9.04,4.216,7.985,15.5,5.150571132
5/6/2019 8:39,239,9.99,4.217,7.959,15.51,5.150590968
5/6/2019 8:40,239,11.03,4.206,7.805,15.58,5.128780433
5/6/2019 8:40,239,12.03,4.19,7.676,15.59,5.108080398
5/6/2019 8:41,239,13,4.193,7.679,15.6,5.110547742
5/6/2019 8:42,239,13.91,4.2,7.655,15.62,5.116697245
5/6/2019 8:42,239,14.04,4.186,7.639,15.62,5.099641588
5/6/2019 8:43,239,14.93,4.177,7.505,15.67,5.082763748
5/6/2019 8:44,239,15.03,4.174,7.469,15.67,5.079113212
5/6/2019 8:45,239,15.95,4.168,7.334,15.71,5.067101406
5/6/2019 8:46,239,17.05,4.169,7.23,15.74,5.064788965
5/6/2019 8:47,239,17.26,4.161,7.166,15.76,5.052725144
5/6/2019 8:47,239,17.24,4.152,7.142,15.78,5.039458768
5/6/2019 9:04,626,0.052,5.51,8.23,11.96,7.337509455
5/6/2019 9:05,626,0.506,5.535,8.16,11.91,7.380186965
5/6/2019 9:05,626,1.043,5.45,8.12,11.85,7.277971783
5/6/2019 9:06,626,2.016,5.453,8.12,11.87,7.278265176
5/6/2019 9:07,626,3.001,5.358,8.09,11.84,7.156939747
5/6/2019 9:07,626,3.936,5.321,8.07,11.83,7.109330846
5/6/2019 9:08,626,4.999,5.309,8,11.84,7.091488077
5/6/2019 9:09,626,5.987,5.28,7.913,11.85,7.05095248
5/6/2019 9:09,626,7.019,5.241,7.89,11.82,7.004231138
5/6/2019 9:11,626,8.01,5.202,7.956,11.82,6.952110357
5/6/2019 9:12,626,8.99,5.133,7.684,11.8,6.863400546
5/6/2019 9:13,626,9.98,4.965,7.309,11.77,6.643855872
