Baseline 100%T,,BLANK,,ELA_109,,ELA_930,,ELA_903,,ELA_1010,,ELA_105,,ELA_913,,ELA_909,,ELA_CTL2_L222_224,,ELA_948,,ELA_944,,ELA_CTL1_L239,,ELA_CTL2_L239,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
799.9822998,0.02437881567,799.9822998,-0.003713367274,799.9822998,-0.003706745571,799.9822998,-0.003404757474,799.9822998,-0.001828664099,799.9822998,-0.002739190822,799.9822998,-0.001866348786,799.9822998,-0.001996956533,799.9822998,-0.003346245736,799.9822998,-0.003430183744,799.9822998,-0.002542569535,799.9822998,-0.003187880386,799.9822998,-0.002815582091,799.9822998,-0.002448112238,
799.0092773,0.02503565326,799.0092773,-0.004215455148,799.0092773,-0.004110642709,799.0092773,-0.004020731896,799.0092773,-0.002590227872,799.0092773,-0.003405116964,799.0092773,-0.002298122505,799.0092773,-0.002757196547,799.0092773,-0.003509791568,799.0092773,-0.003768647322,799.0092773,-0.002633146709,799.0092773,-0.003411435056,799.0092773,-0.003722606692,799.0092773,-0.002817279426,
798.0358276,0.02479654364,798.0358276,-0.00404986646,798.0358276,-0.003603555961,798.0358276,-0.003480261192,798.0358276,-0.002392663853,798.0358276,-0.003410613397,798.0358276,-0.002210720442,798.0358276,-0.002056629397,798.0358276,-0.003179297782,798.0358276,-0.003102816176,798.0358276,-0.002175898757,798.0358276,-0.003451139899,798.0358276,-0.003764079418,798.0358276,-0.002441265155,
797.0620117,0.02483242191,797.0620117,-0.003638982074,797.0620117,-0.003945630044,797.0620117,-0.003723120084,797.0620117,-0.002246157033,797.0620117,-0.003106003162,797.0620117,-0.002007572679,797.0620117,-0.002485485747,797.0620117,-0.003381692804,797.0620117,-0.003457765561,797.0620117,-0.002389729023,797.0620117,-0.003377172165,797.0620117,-0.003725532675,797.0620117,-0.002650848357,
795.9486694,0.02502608299,795.9486694,-0.004303787369,795.9486694,-0.003837211756,795.9486694,-0.003792974632,795.9486694,-0.002610143973,795.9486694,-0.003409123747,795.9486694,-0.002209690167,795.9486694,-0.002217777073,795.9486694,-0.00330622308,795.9486694,-0.00338492915,795.9486694,-0.002590896795,795.9486694,-0.003842856502,795.9486694,-0.003819507081,795.9486694,-0.002393899485,
794.9740601,0.02529906854,794.9740601,-0.004298815038,794.9740601,-0.004417060409,794.9740601,-0.003743446199,794.9740601,-0.002435447881,794.9740601,-0.003405014286,794.9740601,-0.002617914695,794.9740601,-0.002561201109,794.9740601,-0.003666499397,794.9740601,-0.003781427164,794.9740601,-0.002686249092,794.9740601,-0.003545995569,794.9740601,-0.00400719,794.9740601,-0.002923278604,
793.9990845,0.02473364957,793.9990845,-0.003834184026,793.9990845,-0.003253556089,793.9990845,-0.00311129773,793.9990845,-0.001817218843,793.9990845,-0.002568612341,793.9990845,-0.002200779039,793.9990845,-0.001798967831,793.9990845,-0.003191632219,793.9990845,-0.003037837567,793.9990845,-0.002101971069,793.9990845,-0.003096699249,793.9990845,-0.003110732185,793.9990845,-0.002333500655,
793.0237427,0.02505405433,793.0237427,-0.004230836406,793.0237427,-0.003663008567,793.0237427,-0.003506812965,793.0237427,-0.002088214504,793.0237427,-0.002977373777,793.0237427,-0.002168017207,793.0237427,-0.002797578461,793.0237427,-0.00294518494,793.0237427,-0.002927392488,793.0237427,-0.001978919143,793.0237427,-0.003207049798,793.0237427,-0.002968478482,793.0237427,-0.002659698715,
792.0480347,0.0251238253,792.0480347,-0.003955223598,792.0480347,-0.003872002941,792.0480347,-0.003478669096,792.0480347,-0.001776951947,792.0480347,-0.002920244355,792.0480347,-0.002297298517,792.0480347,-0.002112945076,792.0480347,-0.002851123689,792.0480347,-0.003151235403,792.0480347,-0.00227365992,792.0480347,-0.003081843024,792.0480347,-0.003423197893,792.0480347,-0.002224164084,
790.9324341,0.02548206784,790.9324341,-0.003977796063,790.9324341,-0.003800672712,790.9324341,-0.003776243422,790.9324341,-0.002216489287,790.9324341,-0.003325541271,790.9324341,-0.0026797147,790.9324341,-0.00277942,790.9324341,-0.003477590624,790.9324341,-0.00370926084,790.9324341,-0.002092027338,790.9324341,-0.003734463826,790.9324341,-0.003702330869,790.9324341,-0.002769594546,
789.9558716,0.02571128309,789.9558716,-0.004221607465,789.9558716,-0.003983695526,789.9558716,-0.004196996801,789.9558716,-0.002518995665,789.9558716,-0.003395203035,789.9558716,-0.002510039369,789.9558716,-0.002472873777,789.9558716,-0.003618034767,789.9558716,-0.003641549032,789.9558716,-0.002854724182,789.9558716,-0.003795130178,789.9558716,-0.003634156194,789.9558716,-0.002969198395,
