Wavelength (nm),Intensity (a.u.),Z Axis,
,1012_EM_270.00,1012_EM_272.00,1012_EM_274.00,1012_EM_276.00,1012_EM_278.00,1012_EM_280.00,1012_EM_282.00,1012_EM_284.00,1012_EM_286.00,1012_EM_288.00,1012_EM_290.00,1012_EM_292.00,1012_EM_294.00,1012_EM_296.00,1012_EM_298.00,1012_EM_300.00,1012_EM_302.00,1012_EM_304.00,1012_EM_306.00,1012_EM_308.00,1012_EM_310.00,1012_EM_312.00,1012_EM_314.00,1012_EM_316.00,1012_EM_318.00,1012_EM_320.00,1012_EM_322.00,1012_EM_324.00,1012_EM_326.00,1012_EM_328.00,1012_EM_330.00,1012_EM_332.00,1012_EM_334.00,1012_EM_336.00,1012_EM_338.00,1012_EM_340.00,1012_EM_342.00,1012_EM_344.00,1012_EM_346.00,1012_EM_348.00,1012_EM_350.00,1012_EM_352.00,1012_EM_354.00,1012_EM_356.00,1012_EM_358.00,1012_EM_360.00,1012_EM_362.00,1012_EM_364.00,1012_EM_366.00,1012_EM_368.00,1012_EM_370.00,1012_EM_372.00,1012_EM_374.00,1012_EM_376.00,1012_EM_378.00,1012_EM_380.00,1012_EM_382.00,1012_EM_384.00,1012_EM_386.00,1012_EM_388.00,1012_EM_390.00,1012_EM_392.00,1012_EM_394.00,1012_EM_396.00,1012_EM_398.00,1012_EM_400.00,1012_EM_402.00,1012_EM_404.00,1012_EM_406.00,1012_EM_408.00,1012_EM_410.00,1012_EM_412.00,1012_EM_414.00,1012_EM_416.00,1012_EM_418.00,1012_EM_420.00,1012_EM_422.00,1012_EM_424.00,1012_EM_426.00,1012_EM_428.00,1012_EM_430.00,1012_EM_432.00,1012_EM_434.00,1012_EM_436.00,1012_EM_438.00,1012_EM_440.00,1012_EM_442.00,1012_EM_444.00,1012_EM_446.00,1012_EM_448.00,1012_EM_450.00,1012_EM_452.00,1012_EM_454.00,1012_EM_456.00,1012_EM_458.00,1012_EM_460.00,1012_EM_462.00,1012_EM_464.00,1012_EM_466.00,1012_EM_468.00,1012_EM_470.00,1012_EM_472.00,1012_EM_474.00,1012_EM_476.00,1012_EM_478.00,1012_EM_480.00,1012_EM_482.00,1012_EM_484.00,1012_EM_486.00,1012_EM_488.00,1012_EM_490.00,1012_EM_492.00,1012_EM_494.00,1012_EM_496.00,1012_EM_498.00,1012_EM_500.00,1012_EM_502.00,1012_EM_504.00,1012_EM_506.00,1012_EM_508.00,1012_EM_510.00,1012_EM_512.00,1012_EM_514.00,1012_EM_516.00,1012_EM_518.00,1012_EM_520.00,1012_EM_522.00,1012_EM_524.00,1012_EM_526.00,1012_EM_528.00,1012_EM_530.00,1012_EM_532.00,1012_EM_534.00,1012_EM_536.00,1012_EM_538.00,1012_EM_540.00,1012_EM_542.00,1012_EM_544.00,1012_EM_546.00,1012_EM_548.00,1012_EM_550.00,1012_EM_552.00,1012_EM_554.00,1012_EM_556.00,1012_EM_558.00,1012_EM_560.00,1012_EM_562.00,1012_EM_564.00,1012_EM_566.00,1012_EM_568.00,1012_EM_570.00,1012_EM_572.00,1012_EM_574.00,1012_EM_576.00,1012_EM_578.00,1012_EM_580.00,1012_EM_582.00,1012_EM_584.00,1012_EM_586.00,1012_EM_588.00,1012_EM_590.00,1012_EM_592.00,1012_EM_594.00,1012_EM_596.00,1012_EM_598.00,1012_EM_600.00
,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166
230,0.819417297840118,1.35645091533661,1.34328877925873,1.5486513376236,2.02295541763306,1.9361617565155,2.76912355422974,3.62540888786316,3.92898464202881,4.96728086471558,6.47792291641235,7.56450986862183,8.45886898040771,9.85641765594482,11.4835186004639,12.8141603469849,14.0952587127686,16.0205593109131,16.7207336425781,17.194637298584,17.5316848754883,18.7740535736084,20.3786678314209,20.4095268249512,21.4727401733398,22.33078956604,23.4592571258545,25.170560836792,28.3757190704346,27.9825210571289,27.9426498413086,29.1422462463379,29.388708114624,30.3843803405762,31.7387714385986,33.6875381469727,34.0561103820801,33.5000190734863,32.837043762207,34.5342445373535,32.038330078125,33.6129493713379,33.6402206420898,35.7255783081055,35.2647018432617,35.8323707580566,35.0123977661133,36.1834754943848,35.7621002197266,36.6386680603027,37.4070014953613,37.6208572387695,38.6247024536133,37.8737602233887,40.4529571533203,42.2385559082031,41.861629486084,44.4105987548828,44.7104187011719,45.5161361694336,41.4841461181641,43.1711120605469,46.2701835632324,47.6411514282227,50.1627044677734,50.7052536010742,51.2793350219727,54.4299011230469,54.3568267822266,55.5223274230957,57.2018585205078,58.7439842224121,58.5813789367676,60.9685783386231,61.6745338439941,60.4272079467773,63.5944366455078,63.1166725158691,62.9556159973145,61.0806312561035,64.3698654174805,61.200569152832,61.5620651245117,61.7095832824707,59.8217430114746,60.1650238037109,58.8290328979492,60.0748634338379,56.8683967590332,57.780834197998,55.6955909729004,56.5407829284668,55.5236053466797,53.7165412902832,51.4758224487305,49.3071937561035,48.5545654296875,49.2900886535645,48.7392616271973,46.4609527587891,46.5904769897461,45.2971000671387,42.7092742919922,42.4132270812988,43.4753112792969,40.3597793579102,41.2707176208496,39.6996726989746,38.6842422485352,37.7432060241699,36.3357391357422,36.0015716552734,34.2505111694336,34.4457130432129,32.7284774780273,32.0181617736816,30.8476543426514,30.0499210357666,28.331226348877,27.3223838806152,26.3160190582275,25.6910667419434,24.8911590576172,25.2134189605713,22.9106903076172,22.5312366485596,21.3419761657715,20.8119049072266,19.9999141693115,19.5669994354248,17.8978137969971,18.0461177825928,17.2692718505859,16.6723213195801,15.8100461959839,15.3482799530029,14.3527765274048,13.4036273956299,13.7606544494629,12.6826133728027,12.7083616256714,11.9840326309204,11.1840076446533,10.9319915771484,10.5529146194458,9.57139873504639,9.58410930633545,8.50948905944824,8.1279935836792,8.27982234954834,7.58642196655273,7.41645050048828,7.08365440368652,6.40041923522949,6.52902603149414,5.94366645812988,5.82489633560181,5.77685546875,5.48240184783936,5.23862791061401,5.35229253768921,4.36520862579346,4.15892267227173,4.08419227600098,3.99178314208984,3.78902745246887
235,0.94529378414154,0.852287888526916,0.894569754600525,1.06701099872589,1.08689093589783,1.20081508159637,1.10276687145233,1.79168546199799,2.17898654937744,2.96517372131348,3.20905780792236,4.19414567947388,4.90140199661255,5.61856317520142,6.58648681640625,7.22108697891235,8.82533073425293,8.99823951721191,11.4331960678101,11.4504594802856,12.5166215896606,12.2602939605713,12.7752542495728,13.5577793121338,13.9330749511719,14.8134727478027,14.6281499862671,15.4117889404297,16.310848236084,17.1842346191406,18.4959297180176,17.7439956665039,18.7440948486328,19.3875598907471,20.7071762084961,21.0817470550537,21.4480667114258,22.1368789672852,22.6003437042236,23.5356769561768,23.8973274230957,24.7884883880615,24.134370803833,24.311502456665,24.8812770843506,25.0949573516846,25.2250671386719,25.9622402191162,27.2046375274658,28.8531513214111,28.5866546630859,29.3663482666016,30.2982959747314,31.7124271392822,32.3130035400391,34.630744934082,34.4486045837402,35.5471687316895,37.0306701660156,39.6197776794434,34.918041229248,36.6681747436523,39.2629013061523,40.0994300842285,41.9650955200195,44.6529769897461,44.7982749938965,47.1748008728027,48.7080688476562,49.0571670532227,50.9357261657715,52.3293495178223,53.1664924621582,54.595531463623,54.4717750549316,53.7773284912109,55.4772338867188,58.5131568908691,54.6059074401855,56.9956893920898,56.5326499938965,56.1293792724609,54.5348968505859,55.2745704650879,54.0008392333984,54.2050094604492,53.5500335693359,52.3023796081543,52.898265838623,51.7090339660645,52.3141441345215,50.1885070800781,49.6998405456543,50.9841003417969,48.2446022033691,45.5417900085449,45.2788505554199,43.4296112060547,44.9815902709961,43.651481628418,43.0453071594238,42.7879409790039,40.530632019043,39.5456466674805,40.1849555969238,37.859001159668,38.5985946655273,35.3841705322266,35.5060577392578,35.4189300537109,35.050724029541,32.4861869812012,33.1232719421387,31.0920829772949,30.2648029327393,29.5793876647949,27.5078468322754,27.0206623077393,26.2799072265625,25.7211875915527,24.8003635406494,23.9494552612305,22.7117156982422,21.9209690093994,21.2812156677246,21.0538749694824,19.7520217895508,18.7053565979004,18.8854732513428,18.7094764709473,17.8647632598877,17.26979637146,16.0456066131592,14.606333732605,14.6619853973389,15.053201675415,14.9030342102051,13.6471920013428,11.9432363510132,11.9969234466553,11.8619737625122,10.7161350250244,10.4063835144043,9.48876190185547,9.99669742584228,9.60299587249756,9.39076232910156,8.95823955535889,7.82860422134399,7.66386795043945,7.08456230163574,6.92695760726929,6.89626693725586,6.57486534118652,6.05409288406372,5.7956166267395,5.24042129516602,4.92987632751465,5.00297069549561,4.75230073928833,4.82870531082153,4.7211012840271,4.21028852462769,4.17205762863159,3.58124661445618,3.11778330802918
240,1.83798670768738,1.01012825965881,0.984506726264954,0.801234126091003,0.760432183742523,0.4707290828228,0.812271952629089,0.570616126060486,1.02686297893524,1.16411972045898,1.66981148719788,1.7269766330719,2.79368281364441,3.03296566009521,3.75488233566284,4.36491870880127,4.82184171676636,4.96875143051147,5.91819763183594,6.67380475997925,6.62811994552612,7.6174635887146,7.76125383377075,7.96616363525391,8.75712108612061,8.72102355957031,8.75147438049316,8.64391708374023,9.99281978607178,10.3373184204102,10.26353931427,11.099799156189,11.228364944458,11.3898105621338,12.4517421722412,13.1649980545044,12.5969257354736,13.4297695159912,14.3471746444702,14.5575647354126,15.3193588256836,15.3360862731934,16.0938396453857,17.0709266662598,17.661247253418,18.5756740570068,18.9442501068115,21.1708126068115,20.9005851745605,20.9878768920898,22.4608764648438,23.7543029785156,25.4382801055908,25.7660675048828,27.4368362426758,28.9764842987061,29.2407283782959,30.7057819366455,32.052433013916,33.4595565795898,31.8974952697754,32.4526557922363,34.8164367675781,36.5126571655273,37.3259468078613,39.105411529541,40.9384422302246,41.8733367919922,44.0282363891602,44.8830375671387,46.0823707580566,47.8140907287598,46.6998634338379,48.1991386413574,48.971923828125,50.0140037536621,51.5918121337891,52.1722831726074,51.0803680419922,51.8791885375977,51.1283264160156,51.666072845459,50.7842330932617,50.3170547485352,50.9503402709961,49.0238647460937,49.8560104370117,49.4606666564941,48.8943061828613,48.0689926147461,48.4107856750488,48.6024971008301,46.9711875915527,45.8164901733398,45.9974021911621,43.383243560791,42.0015869140625,40.2510681152344,41.6470565795898,40.7782897949219,40.7645149230957,39.4531135559082,38.6803131103516,38.2814102172852,37.228099822998,37.7076454162598,36.1136093139648,35.6798667907715,34.7333908081055,32.9692459106445,33.1943702697754,31.8188514709473,31.2746448516846,30.2907695770264,28.4277000427246,28.7737293243408,27.993745803833,26.4642906188965,26.2507877349854,25.0337829589844,23.9844093322754,23.7998542785645,21.7613048553467,21.5356712341309,21.2612762451172,20.6014442443848,19.5121040344238,18.5875263214111,18.7098693847656,16.7148323059082,16.8435649871826,16.285665512085,15.1486921310425,15.1352844238281,13.3891048431396,13.6289358139038,13.9883842468262,12.0718965530396,13.017861366272,11.6774339675903,10.8002300262451,10.4599370956421,11.0741529464722,10.2135744094849,9.85189437866211,8.78170204162598,8.88931560516357,7.53235721588135,7.77629566192627,7.38313484191895,6.94482851028442,6.67278099060059,5.95240306854248,6.52854490280151,5.6046929359436,5.62818336486816,5.83621025085449,5.08551979064941,4.58405208587646,4.44906854629517,4.5882625579834,4.23507690429687,3.89857649803162,3.72584295272827,3.51139163970947,3.27349257469177
245,14.2794361114502,9.63374996185303,4.56889915466309,1.85679149627686,1.03028273582458,0.678131341934204,0.781409084796905,0.674059450626373,0.698712944984436,1.02000570297241,1.27316153049469,1.52566695213318,2.06578183174133,2.69328188896179,3.01706385612488,3.30627942085266,3.86417865753174,4.23385810852051,4.78469181060791,5.48354148864746,5.84035205841064,6.21197652816772,6.31207180023193,6.28332710266113,7.10571956634521,6.71709680557251,6.86781978607178,7.61843919754028,8.1266393661499,8.21437072753906,8.22784614562988,8.80940532684326,9.35839748382568,9.2782564163208,9.85125732421875,10.0252952575684,10.6759195327759,10.7312440872192,11.710186958313,11.7560739517212,12.8797006607056,13.2379140853882,14.0091571807861,14.3186531066895,14.6927499771118,15.6657934188843,16.5821189880371,17.6962146759033,18.2736473083496,19.454418182373,20.2482967376709,20.6800003051758,22.6996974945068,22.6370525360107,24.5354843139648,26.2869815826416,27.2294483184814,28.4803924560547,29.4336242675781,30.8281574249268,28.3421325683594,29.9999485015869,31.8688220977783,33.6883697509766,34.9982261657715,35.7633934020996,37.5472068786621,38.6519432067871,40.4944190979004,41.093017578125,42.4000473022461,43.0839004516602,44.2371940612793,45.3149642944336,46.3483695983887,47.4134063720703,48.2715454101562,48.0903091430664,48.5123519897461,48.6219749450684,48.872200012207,47.6416931152344,47.7469177246094,47.1705017089844,45.6615791320801,46.2660293579102,46.0599555969238,45.5762596130371,46.2821578979492,45.1930236816406,44.9258728027344,44.9258918762207,44.7548217773438,44.0721282958984,43.1175231933594,39.7510299682617,40.212345123291,40.6073608398438,39.1284484863281,40.133544921875,38.5942878723145,38.369197845459,37.4063949584961,37.7512283325195,36.2528991699219,34.5687446594238,34.0437927246094,33.4958457946777,33.0393142700195,31.5961303710937,31.0594482421875,30.7566776275635,29.8214683532715,29.0071907043457,28.0639495849609,27.1250495910645,26.6442928314209,26.4012336730957,25.8745174407959,24.4308776855469,23.0168151855469,22.6262111663818,22.3589134216309,21.2717094421387,20.0161972045898,19.7372493743896,19.4928283691406,18.6688060760498,18.1708641052246,17.1275634765625,16.1453628540039,16.4269008636475,15.3458089828491,14.7046642303467,14.5087747573853,14.0604953765869,13.5664682388306,12.6875228881836,12.4352169036865,11.0498037338257,11.2021360397339,10.4776029586792,9.59010314941406,9.60862827301025,9.8946418762207,9.57894992828369,8.62938594818115,8.43472290039063,8.10060405731201,7.89860963821411,6.79374170303345,6.41535091400146,6.32891893386841,5.94609022140503,5.86599636077881,5.5800256729126,5.14859485626221,5.11447048187256,4.82080411911011,4.56420564651489,4.68856000900269,4.33561658859253,3.98278474807739,3.72293543815613,3.66960549354553,3.65443062782288
250,10.7336311340332,16.1656303405762,17.5307846069336,12.896505355835,7.39164209365845,2.61578011512756,1.42959320545197,1.1903440952301,1.15560269355774,1.1905654668808,1.50224757194519,1.63694000244141,2.2152373790741,2.8811092376709,3.26121616363525,3.93670320510864,3.9605917930603,4.48753356933594,4.88479900360107,5.57706642150879,5.55447006225586,5.9258861541748,6.07831716537476,6.54817533493042,6.64768218994141,6.49377012252808,7.28515625,7.08748054504394,7.97046279907227,7.95177745819092,8.1690092086792,8.83220863342285,8.65185260772705,9.08947849273682,9.19051361083984,9.59964275360107,9.97772121429443,10.1811246871948,10.4383096694946,10.9737434387207,11.1300935745239,12.2969741821289,12.6622676849365,13.1752500534058,13.8363466262817,14.2915287017822,14.7663326263428,15.8843269348145,16.6317691802979,17.4398078918457,18.9908409118652,19.2527694702148,19.9858074188232,22.4607601165771,22.3201637268066,23.4861240386963,24.7023029327393,25.2588596343994,27.1739196777344,28.8276538848877,25.3041915893555,27.2981624603271,29.2843647003174,29.7708415985107,31.2896022796631,32.9916076660156,34.4031562805176,35.4630126953125,37.2280616760254,37.4878997802734,38.8677444458008,40.7845726013184,40.8702354431152,41.6754837036133,42.5224990844727,43.2617645263672,44.0122184753418,44.6898002624512,44.6901054382324,44.251823425293,44.8395347595215,45.7237243652344,44.9090118408203,45.3906784057617,43.7449493408203,43.214111328125,44.2579956054687,44.3710632324219,43.1540145874023,43.511287689209,42.3134346008301,42.5933456420898,43.5129089355469,41.9093322753906,41.4486618041992,39.185375213623,39.0873565673828,38.4267501831055,36.9098167419434,37.6475372314453,37.214298248291,36.4022789001465,36.0141639709473,35.2773780822754,34.7133026123047,33.1352653503418,32.671875,33.1854209899902,31.5551452636719,31.3366565704346,31.0872592926025,29.1264667510986,28.8828277587891,27.2113761901855,26.9767189025879,26.5763912200928,25.6200160980225,25.0685539245605,23.8930397033691,23.6176681518555,22.9821166992187,21.7018413543701,21.7265167236328,20.7147560119629,19.2058296203613,19.133695602417,18.7217655181885,18.7266731262207,16.8937091827393,16.9732513427734,16.0303153991699,16.1161193847656,14.9625568389893,14.4412994384766,13.8004703521729,13.2433853149414,13.3920993804932,12.3842639923096,11.7730779647827,10.746187210083,10.6779460906982,10.5407934188843,9.92482376098633,9.37569522857666,9.27484512329102,9.09482192993164,8.14489364624023,8.29128265380859,7.5716495513916,7.21909618377686,6.54464817047119,6.30038595199585,5.91439771652222,6.21044778823853,5.32303380966186,5.55890893936157,4.97382736206055,4.9078049659729,4.86160039901733,4.4469838142395,4.29217767715454,4.1550931930542,3.79403018951416,3.44204378128052,3.58314323425293,3.02954816818237
255,1.53032183647156,1.89920508861542,4.26736545562744,9.02179431915283,14.4108123779297,13.7235803604126,11.1713342666626,7.42815494537353,3.73317432403564,2.53905391693115,2.08762359619141,2.45679974555969,3.20785188674927,3.78323864936829,3.71311640739441,4.14151573181152,4.76498222351074,4.94429636001587,5.30728578567505,5.71090745925903,6.15313243865967,6.64997625350952,6.62926578521729,7.19430732727051,7.24114513397217,7.09652757644653,7.54857444763184,7.9721794128418,8.71463584899902,8.53589630126953,8.5837984085083,8.71098136901855,9.03082656860352,9.30462169647217,9.34585571289063,10.192102432251,10.7376689910889,10.39271068573,10.4136981964111,11.3697347640991,11.6491022109985,11.3440217971802,12.3331995010376,13.1676435470581,12.5051460266113,14.0137767791748,14.2751665115356,15.3833589553833,15.5339765548706,15.9783773422241,17.3197689056396,17.3981838226318,17.6648330688477,19.1985893249512,21.4404258728027,20.9075260162354,22.4920997619629,23.9470615386963,24.9109115600586,25.9052925109863,22.728874206543,23.9813251495361,26.3856468200684,27.960205078125,28.7648601531982,29.9021778106689,31.1039867401123,33.0081672668457,32.8938369750977,34.3703422546387,34.8208541870117,35.4914512634277,36.6987228393555,38.0064582824707,38.5601806640625,40.0775527954102,39.3942337036133,41.8857955932617,40.4077568054199,41.1976661682129,39.8873672485352,40.9589424133301,41.5037384033203,41.8480644226074,41.4962959289551,40.3417510986328,40.0511283874512,39.4423866271973,40.4963912963867,39.7377777099609,39.298885345459,39.9814758300781,39.0789413452148,39.0438919067383,39.8686485290527,36.1448287963867,37.6419143676758,36.8498077392578,35.5164375305176,35.9234313964844,34.1796722412109,34.8334045410156,34.1733741760254,32.9150238037109,32.720272064209,32.8826713562012,31.9208393096924,30.9781799316406,29.4172420501709,29.5233020782471,29.7692470550537,28.4503192901611,27.2959632873535,27.2184810638428,25.4501552581787,25.2847290039062,24.1562080383301,24.0501308441162,22.3145370483398,21.9618644714355,21.6218967437744,21.9656162261963,20.9208126068115,19.6833877563477,19.0055103302002,18.7372226715088,18.1023006439209,17.7006149291992,17.1034908294678,16.0576858520508,15.8678350448608,15.4403848648071,14.9989776611328,14.1594572067261,13.3644428253174,12.842960357666,12.6971826553345,12.4850587844849,11.6848239898682,11.0786399841309,10.0190944671631,10.5435934066772,9.81858158111572,9.5154972076416,8.72055721282959,8.67957878112793,8.57112407684326,8.36513996124268,7.35239934921265,7.02931690216065,6.38478231430054,6.03962373733521,5.90867328643799,5.87039566040039,5.63489770889282,5.31016445159912,5.1006817817688,4.85939741134644,4.64798212051392,4.40673351287842,4.40169239044189,3.68101119995117,4.08038377761841,3.59011220932007,3.66385722160339,3.25767135620117
260,1.84972834587097,1.70005309581757,1.72731506824493,1.71561229228973,1.90514254570007,2.93129515647888,5.85475492477417,11.7703971862793,16.7523403167725,16.4375133514404,10.4616231918335,6.21783542633057,4.92382431030273,4.75984048843384,4.99663686752319,5.8594012260437,5.7982931137085,6.44012498855591,6.727210521698,6.44339370727539,7.48559045791626,7.80502414703369,7.8368353843689,8.43600940704346,8.54360961914062,8.45104217529297,8.63174629211426,9.66259574890137,9.1516809463501,9.61026096343994,10.5417423248291,9.88095760345459,9.80471992492676,10.4396142959595,10.3292236328125,11.1690473556519,11.0224084854126,11.7929277420044,11.4269437789917,11.8511610031128,12.3063726425171,12.7480421066284,12.6140069961548,12.6841440200806,13.950590133667,14.3907012939453,14.856595993042,15.1077213287354,16.0005340576172,16.1107864379883,16.8982963562012,17.3140544891357,17.6695938110352,19.2157020568848,20.4467010498047,20.8932723999023,21.3212280273438,22.5383129119873,23.1966609954834,23.9214668273926,22.0451469421387,23.6446876525879,24.8522605895996,26.1737022399902,26.7919235229492,28.3680820465088,29.1417541503906,29.6545219421387,31.0906639099121,31.8362102508545,32.3853607177734,33.863712310791,34.8530120849609,36.1051177978516,36.3237075805664,37.4463195800781,37.4515190124512,37.7513732910156,37.6499862670898,37.6288299560547,38.0587501525879,38.497314453125,38.669261932373,38.5243263244629,38.1221542358398,38.9376907348633,37.885555267334,38.4282188415527,38.6613693237305,37.6496391296387,37.813159942627,37.564281463623,37.8677520751953,37.3331451416016,37.9059867858887,34.8829765319824,35.4196510314941,35.0883827209473,34.7453575134277,34.2702560424805,33.9097747802734,33.190258026123,34.0623779296875,32.3711242675781,32.0402526855469,31.6687107086182,30.902042388916,30.4458427429199,29.3782539367676,29.7403678894043,28.3710403442383,28.1177806854248,27.0666122436523,26.5845813751221,25.9227809906006,25.62331199646,25.1094398498535,24.2390975952148,23.2474632263184,22.796817779541,22.2436618804932,20.9509105682373,20.5528411865234,19.8669319152832,19.4404239654541,18.6750965118408,18.3247985839844,17.6868286132813,17.0331249237061,16.064884185791,14.9586505889893,15.3610305786133,14.7714900970459,14.5314292907715,13.6344347000122,13.3634347915649,12.7454099655151,12.053092956543,11.8767156600952,11.0451326370239,10.6512308120728,10.3504705429077,9.86116790771484,9.40796089172363,9.01612854003906,8.73122596740723,8.13310146331787,7.93608951568604,7.38824892044067,7.60012722015381,6.61518049240112,6.18773365020752,6.00419950485229,5.81897974014282,5.4281268119812,5.51494789123535,5.01168441772461,4.84968280792236,4.8459415435791,4.39771366119385,4.40338611602783,3.91595792770386,3.93603229522705,3.50343036651611,3.42869663238525,3.29057836532593
265,22.536413192749,7.15535163879395,2.73285341262817,1.99663352966309,1.95536804199219,1.3939448595047,1.73361694812775,2.93747329711914,5.89046001434326,10.3485860824585,14.861156463623,15.6795234680176,13.7666692733765,11.0327854156494,7.79528713226318,6.58327674865723,6.95143175125122,6.65939092636108,7.2330379486084,7.21125268936157,7.58564424514771,7.67546892166138,8.49521732330322,8.37313270568848,8.65459632873535,9.03749179840088,9.06535530090332,9.51089096069336,9.74371147155762,9.66019344329834,10.0286302566528,10.2462396621704,10.1835250854492,10.6277322769165,10.7568044662476,11.6026973724365,10.8479137420654,10.9345808029175,11.7910871505737,11.6051721572876,11.7587280273437,12.0906496047974,12.3537902832031,12.9462938308716,13.4513854980469,13.3912515640259,14.2469139099121,13.6515130996704,14.9082441329956,14.9838447570801,15.7066745758057,16.3515796661377,16.8623504638672,17.6994152069092,17.5650730133057,19.0210094451904,18.5879745483398,19.7915172576904,20.3208179473877,21.2806758880615,19.1266822814941,19.8403205871582,21.5679035186768,22.0658531188965,23.0565605163574,23.9506893157959,25.178129196167,25.4276752471924,27.5565452575684,27.3493614196777,28.0642032623291,28.5466575622559,30.0096282958984,30.3757629394531,31.2079334259033,31.7652111053467,31.9801692962646,32.9433937072754,32.9408187866211,32.8798446655273,33.3304786682129,33.7336883544922,33.6239547729492,33.8171119689941,34.1815032958984,33.5689239501953,32.6175384521484,33.4773864746094,32.9053649902344,33.0506820678711,33.4617576599121,32.3757362365723,33.2760009765625,32.543758392334,33.7816429138184,30.9505386352539,30.6281719207764,31.908763885498,30.9806728363037,30.2481365203857,29.6615009307861,29.5943984985352,29.200834274292,29.016487121582,28.0798473358154,27.500617980957,27.6131572723389,27.3483657836914,26.1305103302002,25.359354019165,25.7987442016602,24.8185977935791,24.3770389556885,23.8505573272705,22.8919849395752,22.5726585388184,21.9600486755371,21.4046039581299,20.9408931732178,19.7609195709229,19.5820465087891,18.6243286132813,17.8648262023926,17.8560562133789,16.9800262451172,16.9415130615234,16.4957313537598,15.6630945205688,15.3255214691162,15.0247297286987,14.6181659698486,13.1291828155518,13.0139179229736,12.8815107345581,12.2720909118652,11.5457067489624,11.1261949539185,10.6941766738892,10.6360540390015,9.96036338806152,9.62695693969727,9.27287292480469,8.81853771209717,8.91987609863281,8.67325687408447,7.65237951278686,7.82780694961548,7.19097185134888,6.81898975372314,6.21725368499756,6.02354097366333,5.82152414321899,5.33838939666748,5.48798513412476,5.21441125869751,4.84314680099487,4.8478627204895,4.47944355010986,4.45650386810303,4.38441371917725,3.96965503692627,3.41199421882629,3.52725648880005,3.25261878967285,3.06554198265076,3.32466006278992
270,93.7572860717773,86.78662109375,52.3055381774902,19.0168018341064,4.91233062744141,2.00781631469727,2.18197274208069,2.17373371124268,2.65598559379578,3.20465874671936,4.63916921615601,7.04728364944458,11.0702428817749,16.49192237854,19.9537982940674,18.3096370697021,14.4888601303101,11.3811779022217,9.62391662597656,8.87669563293457,9.22060298919678,9.00204467773437,9.64267253875732,9.43776798248291,10.1017551422119,9.7419900894165,9.90809726715088,10.527660369873,10.6423139572144,11.5597658157349,11.1085748672485,11.5044832229614,11.3724746704102,11.5296974182129,11.6905927658081,12.2804565429688,12.2546539306641,12.3995332717896,12.8745040893555,12.6674194335938,12.9720735549927,13.0841093063354,13.8423557281494,13.8599691390991,13.5935592651367,14.4590063095093,14.5687551498413,14.3140821456909,15.304141998291,15.2660894393921,16.1775989532471,16.3209209442139,16.4427051544189,17.800802230835,17.4082450866699,17.5872993469238,18.3502998352051,18.8614540100098,19.5570812225342,20.3973121643066,18.0787525177002,18.8321418762207,19.6769275665283,20.9277896881104,20.9351139068604,22.0581569671631,23.1531028747559,24.0681304931641,24.380054473877,25.1206359863281,25.9768390655518,26.3739547729492,27.3273124694824,28.2434997558594,27.5148220062256,28.7812366485596,28.6163139343262,28.6900768280029,28.9738845825195,29.6004848480225,30.1609535217285,29.736083984375,29.6465263366699,28.9930362701416,30.2615604400635,29.7299213409424,29.8045349121094,29.7502918243408,29.8672180175781,29.7079524993897,29.427001953125,29.6060390472412,29.442626953125,30.1667766571045,30.2230796813965,28.0415000915527,28.0113525390625,28.8056678771973,27.9643535614014,28.0185394287109,27.6468296051025,27.7418384552002,26.5440349578857,26.544979095459,25.7160396575928,25.4304580688477,25.4228572845459,25.1086177825928,24.779146194458,23.9861679077148,23.6010894775391,23.2743911743164,22.6549777984619,21.9619941711426,21.3228321075439,20.6561737060547,20.7638149261475,20.2010345458984,19.1880168914795,19.285888671875,18.1935958862305,17.7649383544922,17.730583190918,17.0779094696045,16.1458110809326,15.6347990036011,15.3186388015747,14.5865936279297,14.498571395874,14.0016098022461,13.7418222427368,12.9883375167847,12.6254262924194,12.2425241470337,12.1020545959473,11.373272895813,10.7331161499023,10.4559020996094,10.1840562820435,9.33577346801758,9.31454563140869,8.90395832061768,8.85627365112305,8.05993556976318,7.94864845275879,7.68953561782837,7.29597568511963,6.7896146774292,6.59726619720459,6.30062627792358,5.79504013061523,5.59999799728394,5.35409498214722,5.39049863815308,4.90103816986084,5.0473108291626,4.6380443572998,4.32130813598633,4.15834379196167,4.08070659637451,3.6446590423584,3.77523636817932,3.23657608032227,3.33149647712708,3.17479610443115,2.96000957489014
